[00000.00-00003.58] 那我们就正式进入到人的历史厂时的一个学习当中来
[00106.34-00108.94] 就叫我们所说的叫做计划形态
[00110.54-00114.70] 一种是我们所说的叫做完全形态
[00114.70-00119.70] 那合为我们所说的进化形态呢?进化形态呢?
[00119.70-00124.70] 其实看个名字就知道,就是这个时候我们还不是人的样子,对吧?
[00124.70-00143.70] 进化形态就意味着,它其实是正在形成中的人,只得是正在形成中的人,而正在形成中的人,一般情况之下就是我们所说的南方古缘,就是我们所说的南方古缘。
[00143.70-00147.26] 南方古元其实就是在东非大恋古列开之后
[00147.26-00149.98] 我们都知道它东非大恋古列开之后
[00149.98-00152.34] 东部和西部它的环境不一样了
[00152.34-00156.10] 原本我们所说的他们是在草原上生活的
[00156.10-00158.42] 但是东非大恋古列开之后
[00158.42-00159.90] 我们所说的这些西边
[00159.90-00161.62] 它就长出了很多的从里
[00161.62-00162.78] 这种情况之下
[00162.78-00165.46] 它不能在开闷的草原上进生活的时候
[00165.46-00167.14] 它就必须要进行进化
[00167.14-00170.78] 于是就开始我们所说的进行双族职历行走了
[00170.78-00173.78] 而我們所說的現在所謂的人的進化
[00173.78-00175.78] 它其實就是從什麼時候開始的
[00175.78-00178.98] 就是從我們所說的南方古園開始的
[00178.98-00180.26] 南方古園開始的
[00180.26-00183.38] 從南方古園開始人就開始進行了
[00183.38-00186.18] 不斷的進化最終形成了完全形態
[00186.18-00188.98] 也就是我們所說的完全形成的人
[00188.98-00191.58] 而這個完全形態或者是我們所說的叫做
[00191.58-00193.58] 完全形成的人
[00193.58-00201.08] 他其实被称之伟叫做人的发展过程
[00201.08-00205.28] 或者是我们叫做人的竞话立程
[00205.28-00207.78] 人的竞话立程首先在四个人对吧
[00207.78-00211.28] 而我们所说的完全形成的人是在南方古员之后
[00211.28-00215.28] 人的竞话立程其实可以分成两个大的方向
[00215.28-00218.08] 一个就是我们所说的叫做原人
[00218.08-00221.16] 还有一根就是我们所说的叫做质人
[00221.16-00224.48] 原人大助一下它其实分十七的
[00224.48-00227.80] 原人也分为我们所说的早期原人
[00230.12-00233.68] 以及我们所说的叫做晚期原人
[00234.40-00236.36] 都是分 早晚期的
[00236.36-00237.56] 都是分 早晚期的
[00237.56-00240.44] 而我们所说的早期的原人
[00240.44-00242.24] 也被称为什么大助一下
[00242.24-00245.48] 早期原人也被称为叫做能人
[00245.48-00249.50] 这个能人值得是啥呢?能开始制造和使用工具了
[00249.50-00250.94] 所以我们所说的
[00250.94-00252.14] 到了能人这个时候呢?
[00252.14-00254.38] 他就开始制造工具了
[00254.38-00256.08] 这是我们所说的早期愿然
[00256.08-00258.08] 而随着早期愿然的不断计划
[00258.08-00259.84] 就出现了晚期愿然
[00259.84-00263.40] 晚期愿然就是我们所说的叫做职历人
[00263.40-00264.60] 那就只历人
[00264.60-00266.28] 职历人呢?他有一个特点
[00266.28-00269.56] 就是他开始懂得如何使用火了
[00269.56-00271.36] 但是在这种情况之下
[00271.36-00274.28] 我们所说的他们的目前能够使用的
[00274.28-00277.00] 其實是我們所說的天然火的這些類型
[00277.00-00278.08] 這是晚區人
[00278.08-00279.76] 也就是我們所說的質力人
[00279.76-00281.40] 而我們所說的質力人
[00281.40-00283.04] 這一個原始的人種
[00283.04-00285.36] 在中國當時其實也有
[00285.36-00288.56] 這個在中國當時是我們所說的什麼呢
[00288.56-00291.52] 就是我們所說的原夢人
[00291.52-00294.00] 藍田人
[00294.00-00295.96] 以及我們所說的北京人
[00295.96-00298.32] 他們就是我們所說的叫做
[00298.32-00299.08] 質力人
[00299.08-00300.12] 叫做質力人
[00300.12-00302.52] 而晚區人或者是質力人不斷進化
[00302.52-00304.44] 就出現了我們所說的叫做
[00304.44-00305.32] 制人
[00305.32-00306.72] 這個制人他的進化
[00306.72-00308.44] 也分早期和晚期
[00308.44-00311.04] 那首先第一個就是我們所說的早期制人
[00311.04-00312.56] 早期制人在考察上
[00312.56-00313.72] 其實沒有什麼要
[00313.72-00315.36] 台多去強調的點
[00315.36-00317.56] 那第二個就是我們所說的叫做
[00317.56-00318.92] 晚期制
[00320.32-00321.68] 然後晚期制
[00321.68-00322.96] 晚期制人的話
[00322.96-00325.00] 他其實就開始能夠
[00325.00-00327.24] 從自然當中獲得相的力量
[00327.24-00328.64] 或者說他能夠獲得
[00328.64-00330.40] 資配自然的這種能力
[00330.40-00332.04] 比如說像中國
[00332.04-00334.10] 我们所说的出现的人种当中
[00334.10-00335.70] 属于晚期之人的是什么呢
[00335.70-00338.18] 是我们所说的叫做山顶动人
[00339.72-00341.50] 是我们所说的山顶动人
[00341.50-00343.36] 所以在这里面搭住一下
[00343.36-00345.74] 人类的起源在考试的过程当中
[00345.74-00346.94] 如何去考察呢
[00346.94-00348.36] 第一个就是会问
[00348.36-00349.70] 我们所说的
[00349.70-00350.60] 常见的
[00350.60-00352.32] 我们在他人类全上
[00352.32-00354.24] 我们可以把人分成哪几种
[00354.24-00355.24] 一共是四种
[00355.24-00356.68] 叫做南方
[00356.68-00357.52] 古缘
[00357.52-00358.72] 能人
[00358.72-00361.60] 我们所说的职立人以及质人
[00361.60-00363.80] 可能在考試過程當中會出現這一種
[00363.80-00365.12] 你要有點印象
[00365.12-00368.64] 第二種就是我們會考交叉 會考交叉
[00368.64-00370.56] 會考交叉 考的是什麼交叉
[00370.56-00372.64] 考的就是我們所說的中國
[00372.64-00374.44] 我們出現的原始的人種
[00374.44-00376.40] 以及方言世界範圍之內
[00376.40-00378.08] 他們之間的這種交叉重合
[00378.08-00379.20] 比如說他就很問
[00379.20-00382.04] 說中國出現的質力人包括哪些
[00382.04-00383.44] 你這時候就知道
[00383.44-00385.68] 中國最要出現質力人是原某人
[00385.68-00387.04] 藍鐵人以及北京人
[00387.04-00389.52] 如果他說中國出現的晚期制
[00389.52-00391.60] 那這種情況就是山領洞人
[00391.60-00392.80] 說老師我記不住
[00392.80-00394.24] 那你就記住一個點就行了
[00394.24-00395.92] 到了晚期自然這塊
[00395.92-00399.12] 他就可以使用人工取火了
[00399.12-00401.64] 就是人工搞出火的這種能力
[00401.64-00402.00] 已經有了
[00402.00-00404.08] 因為他可以享用到從自然當中
[00404.08-00405.28] 或去相當的支配力了
[00405.28-00405.76] 對吧
[00405.76-00408.16] 所以在晚期自然之前
[00408.16-00410.84] 中國的人種都是職力人
[00410.84-00412.32] 你就這麼去記就行了
[00412.32-00413.64] 所以在這裡考試的時候
[00413.64-00415.12] 第一個就是我們要知道
[00415.12-00416.60] 他會考察我們所說的
[00416.60-00418.64] 分類就是大概分成幾類
[00418.64-00422.16] 你知道南方古元 能人 职立人和制人
[00422.16-00424.32] 第二个呢 就会考察交叉
[00425.32-00426.88] 考察我们所说的交叉
[00426.88-00430.12] 把我们所说的世界范围之内的人类的起源
[00430.12-00433.24] 和我们所说的中国放在一块
[00433.24-00435.20] 和我们所说的中国放在一期
[00435.20-00437.64] 所以这是在考察人类的起源上
[00437.64-00438.80] 我们需要注意的
[00438.80-00441.96] 虽然呢 他不太在考试的过程当中呢
[00441.96-00446.08] 不再会说出的战理的特别考试战理特别大
[00446.08-00447.68] 但是他依旧会考察到
[00447.68-00449.98] 所以在这里同学们就要能够注意了
[00449.98-00452.80] 表解一下我们所说的这个起源的问题
[00452.80-00455.62] 而随着晚期之人都不断的发展
[00455.62-00458.32] 我们就逐渐出现了视阻
[00458.32-00460.18] 还有一些相的文化认知
[00460.18-00461.36] 这种情况之下
[00461.36-00465.34] 视阻社会以及人类文明就逐渐产生了
[00465.34-00470.46] 这个就是从我们的历史的角度来去看一下人类的起源
[00470.46-00472.26] 了解了人类的起源之后
[00472.26-00476.56] 我们要把孟光从世界转回到我们的国家当中来
[00476.56-00480.08] 来看一下中国他在原始社会当中所出现的
[00480.08-00482.68] 我们所说的这些特殊的人种
[00482.68-00484.24] 那么首先来看一下
[00484.80-00486.60] 在就是其实时代当中
[00486.60-00489.16] 也就是我们常说的原始社会当中
[00489.16-00492.36] 中国的原始社会的人种都哪些呢
[00492.36-00494.20] 一共是有这么几个
[00494.20-00497.80] 包括我们所说的原谋人北京人和山领动人
[00497.80-00499.52] 那他们为什么这么命名呢
[00499.52-00503.32] 一般情况之下都是在他们所在地的
[00503.32-00504.72] 我们所说的发觉出来
[00504.72-00508.36] 他们的这些地方以他所在的地区来秘明的
[00508.36-00509.48] 那么首先来看一下
[00509.48-00511.08] 第一个就是原谋人
[00511.08-00512.28] 那既然要原谋人
[00512.28-00515.72] 那顾名思议他就是在我们所说的原谋线
[00515.72-00517.92] 那在原谋人这个地方考什么呢
[00517.92-00519.20] 考他的特点
[00519.20-00523.92] 大家知道原谋人是我国境内以之最早的
[00524.72-00525.52] 人类
[00525.52-00529.64] 是我国境内已经以之最早的这样的一个人类
[00529.64-00531.56] 这个就是我们所说的原谋人
[00531.56-00533.40] 他大概生活在军经
[00533.40-00536.10] 1700年的這樣的一個時間當中
[00536.10-00538.86] 在原某人之後出現的人種是什麼呢
[00538.86-00540.26] 大家注意一下在這裡
[00540.26-00541.54] 沒有給大家去標準
[00541.54-00543.46] 同時在旁邊簡單的記憶下
[00543.46-00546.78] 在原某人之後出現的人種叫做藍田人
[00549.00-00550.36] 叫做藍田人
[00550.36-00552.38] 而藍田人他有什麼樣的特點呢
[00552.38-00552.94] 大家注意一下
[00552.94-00555.48] 藍田人他屬於我們所說的叫做
[00555.48-00556.68] 最早
[00557.92-00559.38] 職歷行走的人
[00560.08-00561.68] 是在我國境內
[00561.68-00563.98] 最早之力行走的人
[00565.78-00568.08] 是最早之力行走的人
[00568.08-00569.10] 这个是蓝天人
[00569.10-00570.78] 蓝天人就是在闪息
[00570.78-00571.08] 对吧
[00571.08-00571.92] 就是在闪息
[00572.18-00573.18] 而蓝天的
[00573.18-00574.88] 大家注意下也是一个地名
[00574.88-00575.18] 对吧
[00575.18-00577.22] 我们经常会听到一个词叫做
[00577.22-00578.40] 蓝天日暖
[00578.40-00579.22] 与声煙
[00579.22-00581.38] 经常会听到叫做蓝天日
[00581.38-00583.18] 那闪息的蓝天日
[00583.18-00585.88] 就是中国的四大名预之一
[00585.88-00586.88] 三名预之一
[00586.88-00588.88] 那大家知道中国的四大名预是
[00588.88-00590.38] 新疆的河田预
[00590.38-00592.14] 善息的蓝天玉
[00592.14-00594.74] 还有河南南洋的独山玉以及
[00594.74-00597.94] 我们所说的东北那边的东北那边的
[00597.94-00599.14] 叫东北那边的
[00599.14-00601.26] 聊宁宣言的宣语
[00601.26-00603.50] 这个就是我们所说的叫做
[00603.50-00605.02] 中国的四大名玉
[00605.02-00605.74] 中国三名玉
[00605.74-00606.94] 其中的蓝天玉
[00606.94-00608.02] 蓝天玉是所裁的位置
[00608.02-00609.30] 是产蓝天玉
[00609.30-00611.74] 这是第二个蓝天玉人
[00611.74-00613.02] 那蓝天玉之后
[00613.02-00615.18] 出现的就是我们所说的北京人了
[00615.18-00616.54] 北京人在哪里发现呢
[00616.54-00618.82] 是在北京周口电发现的
[00618.82-00620.34] 是在北京周口电发现的
[00620.34-00622.54] 北京人最明显的特点是什么呢
[00622.54-00624.70] 同样知道在这里就给他标出来
[00624.70-00626.82] 可以使用天然火
[00626.82-00627.82] 可以使用天然火
[00627.82-00631.34] 就是在这里北京人其实就已经开始动得用火了
[00631.34-00632.58] 开动得用火了
[00632.58-00635.70] 所以北京人在这里使用天然火
[00635.70-00637.86] 可以进行活总的相当暴流
[00637.86-00639.70] 而同样是在北京地区
[00639.70-00641.54] 还在后面发现了什么
[00641.54-00644.26] 还在后面就发现了我们所说的山顶动人
[00644.26-00647.14] 山顶动人也是在北京州后店发现的
[00647.14-00650.30] 山顶动人和北京人最大的一个区别就在于什么
[00650.30-00653.44] 大家知道北京人是天然火
[00653.44-00655.90] 也就是他可以从灾灯中
[00655.90-00657.34] 有原始的活动
[00657.34-00658.34] 他可以保留活动
[00658.34-00660.20] 但是山领动人在这种情况之下
[00660.20-00662.70] 就可以实现人工娶火了
[00662.70-00664.80] 而一旦出现了人工娶火
[00664.80-00666.02] 刚才我们说过了
[00666.02-00667.18] 可以人工娶火
[00667.18-00669.56] 其实他已经发展到了我们所说的什么阶段
[00669.56-00671.50] 他已经发展到了我们所说的
[00671.50-00672.66] 自然阶段
[00672.66-00674.66] 已经发展到我们所说的自然阶段
[00674.66-00676.40] 所以在整个发展的
[00676.40-00677.70] 这样的一个过程当中
[00677.70-00680.06] 山領東人他屬於晚期制
[00681.34-00683.46] 而這裡面我們所說的原某人
[00683.46-00686.10] 藍田人和北京人在世界翻譯之內來看的話
[00686.10-00688.30] 他其實是屬於我們所說的質力人
[00689.46-00691.18] 其實我們所說的質力人
[00691.18-00692.62] 所以大家要注意一下
[00692.62-00693.82] 這是我們所說的
[00693.82-00695.22] 第一個考察的點
[00695.22-00697.18] 就是我剛才說了會考交差嘛
[00697.18-00698.62] 所以在這裡面你就要知道
[00698.62-00700.10] 以山領東人為華分
[00700.10-00702.10] 山東人之前的是質力人
[00702.10-00703.14] 山領東人到這兒
[00703.14-00705.14] 開始人工娶火了
[00705.14-00706.10] 他就屬於
[00706.10-00707.64] 至於第一個點
[00707.64-00710.78] 第二個大層次在這裡考察就是我們所說的
[00711.28-00713.54] 每一個原始社會的人種
[00713.54-00716.74] 它所對應的意義和特點同學沒有知道
[00716.74-00719.42] 原老人是最早發現的人種
[00719.42-00721.26] 第二個就是北京人天火
[00721.26-00723.62] 山領多人是人工取火
[00723.62-00725.10] 人工取火就意味著
[00725.10-00727.26] 其實它的生產力和生產技術
[00727.26-00729.74] 相對來說就會有了很大的進步
[00729.74-00732.50] 既然生產力和生產技術都有的進步
[00732.50-00736.04] 就意味着在整个制造的过程当中大助一下
[00736.04-00739.46] 它的技术进步就体现在第一个我们都知道
[00739.46-00743.22] 在山领动人时期它出现了第一每股针
[00743.22-00744.80] 出现了第一每股针
[00744.80-00745.76] 绵一肤
[00745.76-00747.54] 对吧就不再是以前出操了绵了
[00747.54-00749.42] 开始出现有真的这种形态
[00749.42-00751.14] 就出现了第一门股针
[00751.14-00753.62] 第二个就是在这里它有了相的
[00754.42-00755.74] 钻孔技术
[00755.74-00758.90] 钻孔技术也被称维了一叫做第一项
[00758.90-00761.20] 我们所来在中国竞业第一项的
[00761.20-00763.76] 伟大的基础发明 伟大的就发明
[00763.76-00766.06] 这是我们所说的 赚恐基础
[00766.06-00767.60] 这我们所说的赚恐基础
[00767.60-00771.30] 到这我们在原始社会当中所提到的4个人种
[00771.30-00773.82] 大家就知道从世界发生之内如何发分
[00773.82-00776.26] 第二个他各自有什么样的特点
[00776.26-00777.46] 各自有个特点
[00777.46-00779.64] 这个就是我们所说的
[00779.64-00782.20] 就是其实在当中的原始社会
[00782.20-00784.24] 我们所说到了三领东人这个时候
[00784.24-00786.10] 其实就已经发展到了质人
[00786.10-00788.92] 而质人在不断的发展过程当中
[00788.92-00792.02] 在他的后面就出现了我们所说的叫做
[00792.02-00793.86] 市族这个市族
[00793.86-00795.32] 可以把他补充在这
[00795.32-00796.86] 到了质人的后面
[00796.86-00797.62] 我们说了
[00797.62-00800.32] 质人的后期就出现了我们所说的市族
[00801.32-00802.74] 出现了我们市族
[00802.74-00805.18] 而市族有分为我们所说的
[00805.18-00806.38] 母系市族
[00808.26-00809.94] 以及我们所说的
[00809.94-00810.94] 父系市族
[00813.22-00815.10] 母系市族和父系市族
[00815.10-00817.30] 那这个都是要到什么时候要到
[00817.30-00819.66] 质人往后才可以
[00819.66-00821.02] 要到质人往后才可以
[00821.02-00824.06] 那如果放在中国就是从山顶动人往后
[00824.06-00825.74] 逐渐的分化出现了
[00825.74-00826.50] 市组
[00826.50-00828.02] 逐渐的分化出现了市组
[00828.02-00829.42] 那什么是母席市组呢
[00829.42-00831.02] 母席市组的话大家都知道
[00831.02-00833.66] 市组公社主要要解决了一个问题就是
[00833.66-00835.74] 当时社会生产力比较落后
[00835.74-00837.30] 生生还要比较惡劣
[00837.30-00840.18] 你自己一个人生活其实很难是从回下来
[00840.18-00842.54] 所以在重情往这下需要群居
[00842.54-00843.62] 那一旦群居呢
[00843.62-00845.62] 就會產生世族公射
[00845.62-00847.70] 而在最開始的群居生活裡面
[00847.70-00849.22] 主要是一彩極
[00849.22-00850.66] 還有我們所說的什麼呢
[00850.66-00851.70] 編支為主
[00851.70-00853.06] 那一彩極編支
[00853.06-00854.66] 主要是女性
[00854.66-00856.66] 相對來說比較適合這樣的工作
[00856.66-00858.02] 是不是心比較細
[00858.02-00860.18] 所以先有了母細世族
[00860.18-00862.50] 是以女性為主導的
[00862.50-00863.46] 但是到了後面
[00863.46-00864.74] 農工文明出現的時候
[00864.74-00866.18] 需要大量的努動力
[00866.18-00868.74] 那這樣的話難性的地位有所提升
[00868.74-00869.86] 所以在這種情況之下
[00869.86-00872.26] 產生了我們所說的難細世族
[00872.26-00874.26] 才能相信世族
[00874.26-00875.54] 所以在这里大家知道
[00875.54-00876.90] 这是在世族当中
[00876.90-00879.94] 所提到的母席世族和父席世族
[00879.94-00880.74] 和父席世族
[00880.74-00882.90] 这我们所说的就是戏时代
[00882.90-00883.78] 我们刚才说了
[00883.78-00884.98] 后面产生
[00884.98-00886.58] 随着就是戏时代
[00886.58-00887.70] 不断的发展
[00887.70-00888.74] 自然不断的发展
[00888.74-00890.02] 出现了世族公射
[00890.02-00891.86] 产生了相的文化
[00891.86-00893.06] 我们就来看一下
[00893.06-00894.74] 在新时期时代当中
[00894.74-00897.62] 所产生的世族以及文化
[00897.62-00898.58] 有哪些
[00898.58-00899.86] 世族有文化哪些
[00899.86-00902.86] 这个地方在考察的时候同学们也要知道
[00902.86-00904.46] 他在整体考察上
[00904.46-00906.90] 其实和前面考察的角度是一样的
[00906.90-00909.50] 每一个文化,它所在的地域
[00909.50-00913.34] 以及这个文化之下,它有什么样的特点和特征
[00913.74-00917.18] 这时候我们在这里面需要把我的,需要把我的
[00917.18-00920.42] 那么一个一个来看一下,首先第一个我们来看一下
[00920.42-00921.62] 和不度文化
[00921.62-00924.10] 在和不度文化当中,首先第一个要知道
[00924.10-00925.22] 它大概的时间
[00925.22-00928.10] 亨伦估论画是在剧金我们所说的
[00928.10-00930.82] 七千多年前产生的亨伦估论画
[00930.82-00933.74] 亨伦估论画的发现是在这江宁波的
[00933.74-00935.98] 余要地去挖去出来的它的就纸
[00935.98-00937.38] 所以亨伦估论画大纸
[00937.38-00938.78] 是在我们所说的
[00938.78-00940.22] 草江留域
[00940.22-00941.70] 亨伦估论画是在我们所说的
[00941.70-00942.58] 草江留域
[00942.58-00945.42] 而亨伦估论画它的很明显的一个
[00945.42-00946.38] 我们画的特点
[00946.38-00946.94] 就是第一个
[00946.94-00948.94] 大家知道在亨伦估论画当中
[00948.94-00949.94] 是在第一个
[00949.94-00952.86] 我们发现它种纸的是水道
[00952.86-00954.94] 在亨伦估论画当中种纸水道
[00954.94-00956.80] 很明顯因為我們都知道
[00956.80-00958.50] 很多文化是在哪個留院
[00958.50-00960.20] 是在長江留語
[00960.20-00962.24] 而長江留語偏難方
[00962.24-00964.84] 而南方政治的作物主要就是什麼
[00964.84-00966.94] 主要就是我們所說的水道
[00966.94-00968.44] 所以在這裡大家知道
[00968.44-00969.20] 很多文化
[00969.20-00972.30] 長江留語而長江留語主要是政治水道
[00972.30-00973.72] 而政治水道的話
[00973.72-00974.44] 我們要知道
[00974.44-00975.40] 怎麼樣去把水道
[00975.40-00977.84] 中在地理相當生產力會比較高
[00977.84-00979.44] 到了歇史期時代的時候
[00979.44-00980.94] 已經不再相以前一樣
[00980.94-00982.24] 又我們所說的目共
[00982.24-00987.64] 或者是石頭,相當來說比較粗糙的這種工作工具了
[00987.64-00992.44] 到了新世界時代,製作工藝更精采,開始出現了摩致時期
[00992.44-00998.44] 而摩致時期產生的標誌,就是在宗職,農作物過程當中產生了新的生產工具
[00998.44-01006.44] 我們叫做股四,也是模股頭去重地的這種情況,出現了這他的生產工具
[01006.44-01009.68] 而正是也是因为他处在我们所说的常疆鲁鱼
[01009.68-01012.28] 大家知道南方多降水
[01012.28-01015.20] 所以在很多文化他的防牧的居住
[01015.20-01017.84] 主要是我们所说的这种干蓝式防牧
[01017.84-01019.36] 干蓝式防牧什么样子
[01019.36-01020.92] 在这里给他们来看一下
[01020.92-01023.88] 干蓝式防牧就是这种上面是防子
[01023.88-01025.08] 下面还有一层
[01025.08-01026.88] 下面这层是露空的
[01026.88-01029.00] 然后人者居住在上层
[01029.00-01031.28] 主要的原因就是因为他降水很多
[01031.28-01033.16] 如果说他就一层的话
[01033.16-01035.48] 他的这种排水的效果不是特别的好
[01035.48-01037.78] 第二个大家也知道南方偏演热
[01037.78-01040.20] 像我们所说的蛇双属也会偏多一点
[01040.20-01044.32] 所以在这里面它就会居住这种干蓝时房屋上下两层
[01044.32-01048.20] 上层住人的下层这些地方的空间可以用来厨物
[01048.20-01049.20] 可以用来厨物
[01049.20-01051.72] 这个的蛇层所说的干蓝时房屋
[01051.72-01054.50] 当然了在我们所说的文化产生之后
[01054.50-01056.20] 也产生了很多的讨器
[01056.20-01059.00] 在这里面主要是也黑头维主
[01059.00-01060.80] 黑头主要就是这样的
[01061.44-01063.40] 没有其他的颜色只是黑色的
[01063.40-01069.40] 在上面,雕刻了很多的文路,比如說,在這裡給大家展示的,雕刻的世界頭小豬
[01069.40-01071.40] 這個就是我們所說的黑頭的文化
[01071.40-01075.40] 而這邊,就是我們所說的股四,股四怎麼用呢?
[01075.40-01077.40] 你看看這個換有個溫溫的,對吧?
[01077.40-01081.40] 到時候可以把這個木頭棍子放在這,然後拿布條給它產上
[01081.40-01088.40] 拿布條給它產上,然後拿這個東西去離地,或是個五八地,或是跑地,或者是開盆土地
[01088.40-01090.76] 那就相对来说效率会更高一些
[01090.76-01093.40] 那这是我们所说的在整个
[01093.40-01095.44] 河门温化这一块大家要知道
[01095.44-01097.36] 我们要能够做到的是把河门温温温
[01097.36-01099.40] 这一系列的支点给它穿在一块
[01099.40-01100.76] 怎么去计比较好记呢
[01100.76-01104.08] 就是以流域为花分节点来进行实际
[01104.08-01106.32] 那这是我们所说的河门温化
[01106.32-01107.60] 河门温温温温
[01107.60-01109.00] 河门温温是点型的
[01109.00-01111.04] 我们所说的长江流域的文明
[01111.04-01112.12] 除了河门温温之外
[01112.12-01113.00] 大家注意一下
[01113.00-01114.16] 后面的这几个
[01114.16-01115.48] 就是我们所说的什么呢
[01115.48-01117.16] 就是黄河流域的文明了
[01117.16-01123.16] 大家都知道 黃河被稱為中國的母親和 對吧
[01123.16-01125.16] 那你說老師常常是被常常也是
[01125.16-01129.16] 但是為什麼我們認為 黃河中下的地區是偏下的中央
[01129.16-01130.16] 而並非常常留意呢
[01130.16-01136.16] 主要也是因為大家會發現原本前期最早出現文化是在常常留意
[01136.16-01138.16] 但是後來逐漸過度到了黃河留意
[01138.16-01140.16] 原因就是因為黃河附近的土致
[01140.16-01142.16] 相來說比較輸鬆
[01142.16-01144.26] 你开可能的时候就会比较好
[01144.26-01144.98] 开可能
[01144.98-01146.76] 那种地也会种得比较好
[01146.76-01150.66] 所以整个文明的重新就逐漸的互渡到了我们所说的什么
[01150.66-01151.62] 狂合留语
[01151.62-01153.54] 所以后面这几个朋友要知道
[01153.54-01156.12] 他处在地区是在狂合留语
[01156.12-01159.12] 比我们常见的养少文化大问口文化
[01159.12-01160.96] 还有我们所说的牧山文化
[01160.96-01161.90] 在这里面
[01161.90-01164.70] 我们再来先来看一下这里面的养少文化
[01164.70-01167.24] 养少文化主要是在狂合周围地区
[01167.24-01168.98] 主要是在核南大个地方
[01168.98-01171.14] 在黄河州地区的养少文化
[01171.14-01172.22] 它的特点是什么呢
[01172.22-01173.32] 大家注意一下第一个
[01173.32-01178.38] 养少文化是中国分布地域最大的时间文化
[01178.38-01181.62] 养少文化的一只特别多
[01181.62-01182.82] 是一道我们所说的
[01182.82-01185.70] 和南河北山西 山西 清海 林下
[01185.70-01187.22] 可能都会覆蓋得到
[01187.22-01188.70] 所以养少文化的第一个点
[01188.70-01189.46] 同意没有知道
[01189.46-01193.26] 它是分布地域最大的时间文化
[01193.26-01194.10] 第二个
[01194.10-01197.34] 养少文化它所留下来的一只特别多
[01197.34-01200.88] 那最為典型的移植就是我們所說的半潑移植
[01200.88-01203.44] 那半潑移植 大家要了解半潑移植
[01203.44-01206.72] 它的一個特點 首先第一個在中止的作物上
[01206.72-01208.86] 它要和河母的文化不同
[01208.86-01210.98] 河母的文化主要中的是水道
[01210.98-01213.08] 而養小文化中的主要是什麼呢
[01213.08-01215.98] 中的主要是我們所說的塑塑
[01215.98-01218.98] 那這是我們所說的小米 這是重塑
[01218.98-01220.36] 第二個大家都知道
[01220.36-01222.38] 因為是在黃河流域偏北方
[01222.38-01224.62] 所以它重水道比較少 所以中的是塑
[01224.62-01229.12] 第二个地方就是北方地区相对南方就会冷还是热很多
[01229.12-01231.66] 相对南方其实就会含冷很多了
[01231.66-01236.26] 尤其是在我们所说的冬天尤其是在相来说生产力比较落后的时候
[01236.26-01239.16] 那这里面我们想要居住的环境更好
[01239.16-01244.82] 所以它的房屋相对于我们所说的排水效果比较好的干来是房屋就变成了
[01244.82-01246.82] 叫做半地续式的房屋
[01246.82-01249.32] 半地续式的房屋就是我们所说的
[01249.82-01251.14] 一个原形的顶
[01251.14-01254.22] 然后像像去欠这样的一种形式
