[00000.00-00007.68] 好,我们接下来看一下第3个问题,就是我们所说的这个犯罪,他在时间上的这样一个状态
[00110.04-00111.78] 那把前包偷到手之後
[00111.78-00114.78] 那在這裡面是不是結果發生就發生了記錄
[00114.78-00116.58] 但是問題就是在原
[00116.58-00119.06] 假設我就是一個到期的這樣的一個罪犯
[00119.06-00119.46] 對吧
[00119.46-00123.62] 但是在我拿到這個到期前包這個結果之前
[00123.62-00125.62] 它可能會出現一些特殊情況
[00125.62-00129.42] 比如說我們經常在網上能夠看到我記得當時
[00129.42-00131.76] 應該是還出現了這個熱鬆的新聞
[00131.76-00134.30] 應該是有一個大三的景消的這個學生
[00134.30-00136.56] 然後在公交車上看到一個小頭
[00136.56-00138.26] 然後在偷人家的那個前包
[00138.26-00139.58] 他就上去给人家制止了
[00139.58-00142.66] 然后那个最后把那个小透就纽送到官局了
[00142.66-00144.66] 然后小透还跟大人生放很坏
[00144.66-00145.50] 说你过等着
[00145.50-00146.94] 然后当人那个学生打说的
[00146.94-00149.26] 那个学生当时就说说我不怕你 对吧
[00149.26-00150.90] 我就是警校的学生
[00150.90-00153.30] 那你看在这个小透
[00153.30-00155.10] 他小要追求的那个结果就是
[00155.10-00156.54] 都取到财务
[00156.54-00158.58] 一个是我们所说的取得财产
[00158.58-00161.30] 对吧或者取得人家的相当财产性利益
[00161.30-00162.90] 那这个财就要做计随
[00162.90-00165.34] 但是他在都切到这个钱包
[00165.34-00167.26] 到切到人家的东西之前
[00167.26-00168.66] 他说被制止住了
[00168.66-00172.52] 那就意味着在犯罪寄罪结果发生之前
[00172.52-00174.46] 还有可能存在一些问题
[00174.46-00178.06] 这个问题就是在于你已经开始实施犯罪了
[00178.06-00180.66] 那你在开始实施犯罪之后呢
[00180.66-00182.22] 这时候就可能出现
[00182.22-00185.74] 你也在实行结断的时候
[00185.74-00187.26] 出现了一些意外情况
[00187.26-00190.30] 你在实行结断会出现什么意外情况的比如说刚才
[00190.30-00192.30] 你被正意支持重罚了
[00192.30-00194.66] 有送贸干局你的犯罪结果没有出现
[00194.66-00196.46] 又或者你在实施的过程当中
[00196.46-00197.46] 你良心发现了
[00197.46-00199.26] 你觉得爱透到别人的东西
[00199.26-00199.86] 不对
[00199.86-00200.98] 你经常就想到
[00200.98-00201.70] 金融说法
[00201.70-00202.98] 三边灵说的那句话
[00202.98-00203.42] 对吧
[00203.42-00205.06] 叫墨深守身手
[00205.06-00205.78] 必为着
[00205.78-00207.26] 那你看在这种情况之下
[00207.26-00209.38] 在你开始实行的时候
[00209.38-00211.46] 它就有可能产生两种情况
[00211.46-00212.34] 第一种情况呢
[00212.34-00213.62] 就是我们所说的
[00213.62-00215.10] 你也自动放弃了
[00215.10-00216.66] 那你自动放弃的这种情况
[00216.66-00218.10] 就是你良心发现了
[00218.10-00218.94] 你不想做了
[00218.94-00220.26] 你觉得脱动去不好
[00220.26-00222.18] 那这个时候最终做中止
[00222.18-00223.54] 那还一个情况就是
[00223.54-00224.82] 你不是自动放弃的
[00224.82-00226.50] 你是因为情况发生的
[00226.50-00228.58] 比如说刚才的那个景小的学生
[00228.58-00229.54] 给你制住了
[00229.54-00230.46] 你没有拿到
[00230.46-00232.26] 那这个时候就被称之类什么
[00232.26-00233.34] 被称之类叫做
[00233.34-00234.02] 为随
[00234.02-00235.58] 这个是你已经开始
[00235.58-00236.74] 主儿手去做了
[00236.74-00239.46] 所以在实行阶段有一个非常装的时间节点
[00239.46-00240.18] 什么情况
[00240.18-00242.50] 标志着你的犯罪记录到实行阶段
[00242.50-00243.50] 就是一个标志
[00243.50-00244.78] 就是你已经开始
[00244.78-00246.02] 主儿手去做了
[00246.02-00247.26] 什么叫主儿手呢
[00247.26-00248.38] 一会我们再说
[00248.38-00250.54] 那说在你开始实施犯罪之前
[00250.54-00252.34] 你已经开始主儿手犯罪之前
[00252.34-00254.14] 你是不是要做一些分割准备
[00254.64-00256.14] 比如说我要去强机也好
[00256.14-00257.14] 那我要去强机也好
[00257.14-00258.26] 我是不是要做一些准备
[00258.26-00259.74] 首先第一个我先采点吧
[00259.74-00262.26] 看看哪个银行平时到现金流量
[00262.26-00263.34] 客户流量大吧
[00263.34-00265.70] 第二个我是不是还在看一下那个时间
[00265.70-00269.14] 鸭运的武装车什么时候来什么时候走车的把时间采好
[00269.14-00270.94] 第三个我需要准备赞工具
[00270.94-00271.54] 什么赞工具
[00271.54-00272.66] 就是买一些丝啊
[00272.66-00273.58] 透在头上
[00273.58-00274.86] 然后拿一些菜刀
[00274.86-00276.18] 什么玩具枪的之类的
[00276.18-00277.42] 你看像那个无名之类
[00277.42-00278.14] 还是什么呢
[00278.14-00279.22] 你看就像那种
[00279.22-00280.74] 拿完就像想或者我同时
[00280.74-00281.70] 他泡准死了
[00281.70-00282.82] 然后我就看一下
[00282.82-00283.94] 找人少的时候
[00283.94-00284.62] 我在去
[00284.62-00285.62] 那这种情况之下
[00285.62-00287.30] 你才得而准备工具
[00287.30-00288.90] 你这个时候都处在什么阶段
[00288.90-00289.70] 你还没有开始
[00289.70-00290.82] 左手去搶啊
[00290.82-00292.58] 你这种时候是处在翻罪的
[00292.58-00293.46] 预备阶段
[00293.46-00294.34] 他们来看一下
[00294.34-00295.62] 翻罪的预备阶段
[00295.62-00296.82] 你有没有开始
[00296.82-00298.50] 进入到翻罪过程当中
[00298.50-00299.38] 已经开始了
[00299.38-00301.30] 因为你已经开始去买工具了
[00301.30-00301.94] 就因为这
[00301.94-00303.06] 你已经开始
[00303.06-00305.30] 实行预备行为了
[00305.30-00306.34] 那这种情况之下
[00306.34-00307.54] 我就把这个时候
[00307.54-00308.74] 你已经开始
[00308.74-00310.26] 进入到翻罪阶段
[00310.26-00314.10] 准备为犯罪做了很多的什么准备工作的时候
[00314.10-00315.90] 我们把这个称之为交预备阶段
[00315.90-00316.98] 那你在预备阶段
[00316.98-00318.46] 有可能会出现了一种情况
[00318.46-00319.22] 什么情况呢
[00319.22-00321.18] 就是你预备来预备去之后你觉得
[00321.90-00322.94] 也没啥意思
[00322.94-00325.78] 让你突然就想起来说犯罪要吃老饭的
[00325.78-00327.94] 那我也有这大网的时光干啥不好
[00327.94-00331.22] 那这个时候你就可能在你准备的阶段你良心发现
[00331.22-00332.14] 你停下来
[00332.14-00333.70] 那这个时候就照着什么
[00333.70-00335.34] 叫做中止
[00335.34-00337.06] 那你也可以可能是因为什么呢
[00337.06-00338.42] 可能是因为你这个人
[00338.42-00340.22] 那皮育時就貼沒出現
[00340.22-00342.10] 突然就被靈敘發現了
[00342.10-00342.82] 靈敘說
[00342.82-00343.82] 你天天
[00343.82-00345.82] 往家裡整一些什麼菜刀
[00345.82-00346.42] 私貌人
[00346.42-00347.42] 你買這些東西幹啥
[00347.42-00348.30] 他就覺得
[00348.30-00350.10] 你可能是要實施犯罪
[00350.10-00351.26] 於是又給你舉報了
[00351.26-00352.42] 你看經常就會看到
[00352.42-00353.06] 像我們所說的
[00353.06-00354.14] 朝鑰群眾
[00354.14-00354.50] 對吧
[00354.50-00355.34] 西城大媽
[00355.34-00356.66] 經常在西外能看到
[00356.66-00358.14] 熱心群眾給你舉報了
[00358.14-00359.98] 你因為外利作用
[00359.98-00361.98] 被迫導致你現在所
[00361.98-00364.66] 準所進行的這個犯罪行為停下來
[00364.66-00366.26] 就用情況之下最叫做什麼
[00366.26-00367.50] 最叫做犯罪
[00367.50-00370.02] 預備,所以在這裡面我們看一下
[00370.02-00373.98] 為什麼把它稱之為叫犯罪的時間形態上的分布呢?
[00373.98-00375.42] 原因其實很簡單
[00375.42-00377.22] 就是在不同的階段
[00377.22-00379.02] 你進行不同的犯罪行為
[00379.02-00381.82] 它可能會出現不同的什麼狀態
[00381.82-00384.74] 我們就把這個稱之為叫做犯罪形態
[00384.74-00386.74] 那從這裡我們也不能總結出來
[00386.74-00387.74] 咱們來看一下
[00387.74-00389.46] 整個犯罪形態它包括什麼?
[00389.46-00391.14] 它包括終止,對吧?
[00391.14-00393.14] 一個是預備階段的終止
[00393.14-00395.06] 一個是實行階段的終止
[00395.06-00398.70] 还包括我们所说的这个预备
[00398.70-00400.98] 对吧 犯这一阶段的停下这份的一倍
[00400.98-00404.46] 或者是在实现阶段没有达到结果召作类水
[00404.46-00406.54] 还有一种就是你追求的结果
[00406.54-00408.34] 即机发生了叫做寄水
[00408.34-00409.66] 所以从时间上看
[00409.66-00411.62] 你看随着时间的黄黄流汤
[00411.62-00413.98] 它会呈现出来不同的状态
[00413.98-00416.50] 这个就叫做犯罪醒态
[00416.50-00418.62] 而犯罪醒态怎么考 达住一下
[00418.62-00420.46] 犯罪醒态在考试当中
[00420.46-00423.22] 经常会考一个理解醒的题目
[00423.22-00424.94] 怎么考 给你一个案例
[00424.94-00429.04] 问你他属于犯罪中止呢
[00429.04-00432.98] 还是犯罪一辈是属于犯罪位随还是犯罪寄罪
[00432.98-00437.98] 所以他这里面会考案例让我们通过案例去判断他的截断
[00437.98-00441.50] 这是第一种考察方式也是最常见的考察方式
[00441.50-00444.42] 这是第一个打住一下给你干案例
[00444.42-00446.38] 让你去判断相同的截断
[00446.38-00447.66] 那第二种是什么呢
[00447.66-00450.90] 第二种就是在这里会考察个别的细节
[00450.90-00454.98] 在這個細節當中就會把它變成判斷體
[00454.98-00456.98] 或者是選項比如說
[00456.98-00459.98] 我們在反對當中一個犯罪行為
[00459.98-00462.58] 它可能會存在多個中區形態
[00462.58-00463.74] 證説把對不对呢
[00463.74-00465.98] 又或者說一個人他做了什麼事
[00465.98-00467.70] 比如說九個簡單的例子
[00467.70-00471.14] 比如說現在有一個難道他想和他的妻子離婚對吧
[00471.14-00472.66] 然後他妻子怎麼也不離婚
[00472.66-00474.66] 就像咱們昨天做的那道體一樣
[00474.66-00475.98] 那妻子就不想離婚
[00475.98-00477.62] 於是他就起了殺妻
[00477.62-00479.70] 他要殺死他的妻子
[00479.70-00482.58] 然后就去枪 用手去枪它的亲子
[00482.58-00485.66] 然后在越用力枪的时候它的亲子的气息就越微弱
[00485.66-00488.66] 然后就像它这个丈夫就求着
[00488.66-00491.18] 然后丈夫呢 也想一日夫妻百人呢
[00491.18-00494.06] 一下子就怎么样 心软了 心软了之后呢
[00494.58-00498.26] 它就开始停下来了 它的这个犯罪的行为 对吧
[00498.26-00499.42] 那这种情况之下
[00499.42-00502.90] 那你看它这个时候主动停下 它呈现什么样的犯罪形态呢
[00502.90-00505.98] 这是我们所说的第一个阶段的简单的案例
[00505.98-00507.86] 那第二个阶段简单的案例的考察呢
[00507.86-00508.86] 就是我刚才说的
[00508.86-00511.58] 这是终局形态是互相排斥的
[00511.58-00512.70] 比如说在这个地方
[00512.70-00513.74] 就是还是这个账否
[00513.74-00514.06] 对吧
[00514.06-00515.46] 他想要去杀死他的妻子
[00515.46-00516.62] 然后这次没有用
[00516.62-00517.50] 签博字的方式
[00517.50-00518.26] 而是用什么呢
[00518.26-00519.10] 用平子杂杆
[00519.10-00519.82] 气的脑袋
[00519.82-00521.02] 风狂杂风狂杂
[00521.02-00521.66] 然后杂华了
[00521.66-00523.02] 之后他发现他妻子
[00523.02-00523.66] 验弃了
[00523.66-00525.18] 验弃了之后他就收手了
[00525.18-00525.66] 收手了
[00525.66-00526.78] 他就在旁边
[00526.78-00527.50] 抽之间
[00527.50-00528.06] 冷净一下
[00528.06-00529.02] 想想今天应该
[00529.02-00530.06] 怎么回事灭气
[00530.06-00531.42] 突然这个时候
[00531.42-00533.10] 他的妻子就醒了
[00533.10-00533.74] 然后呢
[00533.74-00534.86] 就回身全都是血
[00534.86-00536.06] 就像他的丈夫
[00536.06-00536.54] 求救
[00536.54-00539.04] 他丈夫一心了 之後給他送到醫院去
[00539.04-00542.54] 送到醫院去之後 經過醫生的強救 活過來了
[00542.54-00543.58] 然後這個時候就問
[00543.58-00546.54] 說這個丈夫 他到底是成立什麼放著行態呢
[00546.54-00547.64] 就會給你選項
[00547.64-00550.04] 說有個學生就說 他前面呢
[00550.04-00551.68] 因為他已經把他的妻子殺死了
[00551.68-00553.34] 那這個時候就叫做犯罪
[00553.34-00555.24] 妻子但是後來呢
[00555.24-00557.34] 又把他的妻子送到醫院去了
[00557.34-00560.34] 然後醫院把他就活了 他主動放棄了
[00560.34-00562.24] 然後就屬於犯罪終止 所以說了
[00562.24-00563.94] 不能說前那個妻子要被水
[00563.94-00566.76] 所以说这个男子是机位随又中止
[00566.76-00567.88] 重说法对不对呢
[00567.88-00568.64] 大注意一下
[00568.64-00570.98] 一会我们就会讲到重说法是不对的
[00570.98-00572.14] 所以你看像这种
[00572.14-00575.42] 它就会考察个别细节的这种编息
[00575.42-00577.42] 所以在整个我们所说的这个
[00577.42-00578.40] 干着形态上
[00578.40-00579.90] 我们要去掌握的内容
[00579.90-00583.06] 其实就是在如何去区分各个犯的形态
[00583.06-00585.16] 它的很意
[00585.16-00587.58] 所以在这里面大家来看一下我们所说的
[00587.58-00588.40] 犯的形态
[00588.40-00589.48] 犯的形态呢
[00589.48-00590.96] 我们分成两个大的阶段
[00590.96-00593.76] 第一个就是我们所说的犯罪的完成形态
[00593.76-00608.66] 翻譯的蠻退行態,你再說話一下就行了,就知道叫做犯罪的,寄罪,這個所謂的犯罪寄罪在本質上,就是已經具備了犯罪的全部構成要件,切,你所追求的結果,已經怎麼樣,已經發生了。
[00608.66-00611.06] 这个就叫做我们所说的犯罪寄水
[00611.06-00612.34] 所以犯罪寄水
[00612.34-00614.54] 他就是产生了你所追求的
[00614.54-00615.70] 是害结果
[00615.70-00617.22] 这个就是要犯罪寄水
[00617.22-00618.66] 所以就像我给大家说的
[00618.66-00620.90] 我想杀一个人我就把它杀死了
[00620.90-00622.46] 这时候寄罪寄过出现
[00622.46-00623.78] 我想要抄炸垃圾
[00623.78-00625.82] 然后我在我们所说的
[00625.82-00627.06] 最终取得财务了
[00627.06-00628.62] 我去骗人 骄炸垃圾
[00628.62-00630.14] 我取得财务之后
[00630.14-00631.94] 我们所说的炸骗罪
[00631.94-00633.10] 不能就要抄炸垃圾
[00633.10-00634.42] 我要去炸骗一个东西
[00634.42-00639.80] 那这个时候我的这天最后一个环境完成取得财务
[00639.80-00641.84] 那这种情况之下就是我们所说的什么
[00641.84-00642.60] 计随
[00642.60-00644.66] 所以说也就是计随他想要
[00644.66-00646.70] 共成完整的形态
[00646.70-00649.52] 他必须符合犯罪过程的每一个过程要讲
[00649.52-00653.10] 也认真在形态分论当中每一个环节他都具备了
[00653.10-00655.92] 那这个时候计随结果就会发生
[00655.92-00657.72] 所以在这个地方大家要注意一下
[00657.72-00659.50] 这是我们所说的计随
[00659.50-00661.06] 计随其实最好判个
[00661.06-00662.26] 不要拿的是什么呢
[00662.26-00665.50] 是犯罪的未完成形态当中的这三种
[00665.50-00668.98] 那首先我们来看一下第一个叫做犯罪预备
[00668.98-00670.46] 犯罪预备他说的是什么呢
[00670.46-00675.18] 同们画一下叫做为了主手实行犯罪
[00675.18-00679.50] 那这个时候开始怎么样准备工具製造条件
[00679.50-00680.38] 由于什么呢
[00680.38-00682.54] 这个次非常关键同们画一下
[00682.54-00684.62] 由于一致以外的原因
[00684.62-00686.62] 未能主手实施犯罪的形态
[00686.62-00688.42] 这个就叫做犯罪预备
[00688.42-00691.62] 我们说了犯罪预备它其实处在犯罪的什么阶段
[00691.62-00694.98] 犯罪预备局是处在犯罪的预备阶段
[00694.98-00698.48] 你说老师我如何判断预备阶段和实行阶段呢
[00700.32-00702.96] 我们前面再花这个图的时候给大家说了
[00702.96-00706.34] 预备阶段和实行阶段它的一个标志是在于我们所说的
[00706.34-00706.98] 主我手
[00706.98-00710.48] 所以在这里面同学要掌握的第一个概念就是你看
[00710.48-00712.22] 他说犯罪预备是为了什么
[00712.22-00716.58] 主我手实行犯罪也就是在主我手之前
[00716.58-00717.86] 这个时候預備结断
[00717.86-00722.06] 在左手之前你因为一只以外的因素
[00724.34-00725.66] 被破停下来
[00725.66-00728.98] 这个时候你的这个分子状态去叫做分罪
[00728.98-00729.78] 預備
[00729.78-00731.06] 去叫做分罪
[00731.06-00732.78] 这里面我们知道
[00732.78-00734.50] 那分子一位是一只以外的因素
[00734.50-00735.66] 这个比较好理解
[00735.66-00737.58] 问题就在于第一个男人在什么呢
[00737.58-00738.90] 就在于这个主手
[00738.90-00741.74] 就是我们要理解到底什么才叫主手
[00741.74-00744.58] 因为你只有你只有怕不敢出来
[00744.58-00746.46] 他的这个主手的这个状态
[00746.46-00748.06] 你才能够判断出来什么
[00748.06-00749.18] 你才能够判断出来
[00749.18-00750.78] 他到底应该属于分之一倍
[00750.78-00752.22] 还属于犯罪为水
[00752.22-00754.94] 所以在这里我们要来看一下什么叫做主手
[00754.94-00755.94] 这个主手呢
[00755.94-00758.26] 他经常会考察的一个点呢
[00758.26-00762.50] 就是在于他适否对法御造成了我们所说的现实
[00762.50-00765.10] 进破以及直接的危险
[00765.10-00767.38] 所以你在这个主手旁边写上
[00767.38-00769.02] 就是他适否对法御
[00770.02-00773.58] 就做对法御产生了
[00774.58-00782.98] 产生了現實緊迫直接的危險
[00787.98-00793.28] 是否對法醫产生了現實緊迫直接的危險
[00793.28-00796.28] 如果對法醫产生了現實緊迫直接的危險
[00796.28-00798.88] 這個時候就被視為叫做左手
[00798.88-00801.18] 這個時候已經進入到了實現階段
[00801.18-00804.48] 如果現在對法醫沒有产生現實緊迫直接的危險
[00804.48-00806.24] 那这个时候就叫左手之前
[00806.24-00807.52] 你就处在什么阶段
[00807.52-00808.40] 遇背阶段
[00808.40-00809.76] 你比如说你看
[00809.76-00810.64] 我现在呢
[00810.64-00811.64] 想要杀死
[00811.64-00812.92] 我的前男友谁呢
[00812.92-00813.52] 够带
[00813.52-00815.96] 那我现在小杀死我的前男友狗大的话
[00815.96-00817.16] 我就想为什么要杀死
[00817.16-00818.32] 因为他是个扎男的
[00818.32-00818.80] 对吧
[00818.80-00819.92] 他抛弃了我
[00819.92-00820.92] 我这个人呢
[00820.92-00821.64] 心里就变态
[00821.64-00823.68] 我当然想的时候得不到就要回掉
[00823.68-00824.40] 于是呢
[00824.40-00825.44] 我现在就想
[00825.44-00826.68] 每一把菜刀
[00826.68-00827.92] 那我想每一把菜刀之后
[00827.92-00829.00] 然后最后给都做了
[00829.00-00830.88] 然后我每一前每菜刀
[00830.88-00832.12] 我就在我当时就想
[00832.12-00832.92] 没有钱怎么办
[00832.92-00833.80] 没有钱就去证
[00833.80-00834.32] 对吧
[00834.32-00836.74] 那财富是要靠双手去创造的
[00836.74-00840.20] 于是我就开了去打工 打工咱钱去买财刀
[00840.20-00843.60] 那你看我打工 正钱这个阶段
[00843.60-00844.76] 你看它属于什么
[00844.76-00846.48] 我打工正钱我是为了什么
[00846.48-00849.28] 我是为了左手实行犯罪
[00849.28-00851.72] 说在这个时候准备工具
[00851.72-00854.92] 那这个时候我要如果说是为了左手实行犯罪
[00854.92-00856.96] 去准备工具 去制造条件
[00856.96-00858.52] 那这个时候我就处在什么
[00858.52-00860.68] 我就处在预备阶段
[00860.68-00866.06] 你看我这个时候我为了买菜刀去超市打工 对吧
[00866.06-00868.12] 我为了买菜刀去超市打工
[00868.12-00871.28] 我说为了主手实行沙腐它的这个反对
[00871.28-00873.90] 我这个时候的行为
[00873.90-00876.46] 我去超市打工赚钱的这个行为
[00876.46-00879.00] 有没有对我前面有狗大的法御
[00879.00-00881.40] 产生现实紧破直接的危险
[00881.90-00882.38] 没有吧
[00882.38-00884.60] 我去超市打个东西打打个东西
[00884.60-00886.22] 我去超市打个工
[00886.22-00889.34] 怎么能对他的生命法医造成非常直接的危险的
[00889.34-00890.82] 什么叫直接紧破通吗
[00890.82-00891.54] 那个刀
[00891.54-00892.94] 我已经从包里抄出来了
[00892.94-00893.42] 无说
[00893.42-00894.90] 我是狗大女看这是什么
[00894.90-00896.78] 这是今天要了你狗命的刀
[00896.78-00899.58] 我这个时候才对他的法意造成了什么
[00899.58-00901.06] 紧破直接的危险
[00901.06-00902.26] 明白这个意思吧
[00902.26-00903.22] 这个情况
[00903.22-00904.46] 这是你要找到这个感觉
[00904.46-00905.34] 就是在不同的
[00905.34-00906.58] 那有很多朋友问
[00906.58-00907.38] 说老师那
[00907.38-00908.34] 那不同的犯罪
[00908.34-00909.14] 他左手的标准
[00909.14-00910.22] 一笔一样不一样
[00910.22-00911.54] 比如说我们所说的
[00911.54-00913.34] 吃侵犯人身权一的犯罪
[00913.34-00915.18] 那侵犯人身权一犯罪比如说
[00915.18-00916.26] 故意伤害罪
[00916.26-00917.22] 故意杀人罪
[00917.22-00917.66] 那你看
[00917.66-00918.62] 故意杀人罪
[00918.62-00919.94] 他都主手标这是什么
[00919.94-00922.22] 这是对生命法医造成的紧破的危险
[00922.22-00924.66] 我拿刀已经开始准备要捅他了
[00924.66-00925.74] 这种情况之下
[00925.74-00927.58] 我把我的手已经放在我的那个
[00927.58-00929.26] 跨包里去偷刀了
[00929.26-00930.34] 这种情况之下
[00930.34-00931.22] 是不是仅有
[00931.22-00933.26] 我们的感觉就是级无一刀之格
[00933.26-00937.58] 这时候就被认为是对法医产生的现实紧破之间的危险
[00937.58-00938.34] 明白了吧
[00938.34-00939.22] 而我说了
[00939.22-00940.26] 我去超市打工
[00940.26-00941.66] 那格子实安发现你
[00941.66-00942.58] 那这种情况之下
[00942.58-00946.70] 没有对于狗道的生命法医产生紧破的危险
[00946.70-00948.46] 那这个时候就在什么呀
[00948.46-00949.30] 就能判则出来
[00949.30-00951.26] 它是在左手之前的什么阶段
[00951.26-00952.18] 遇背阶段
[00952.18-00953.74] 而我去打工是为了什么
[00953.74-00955.34] 是为了左手实行犯罪
[00955.34-00957.74] 我是在准备工具製造条件
[00957.74-00959.62] 那这个时候我的行为就要什么
[00959.62-00962.18] 就叫做犯罪欲备行为
[00962.18-00964.14] 我只是为了实施犯罪去做的事
[00964.14-00966.70] 那这个时候就叫做犯罪欲备行为
[00966.70-00967.98] 就要犯罪欲备行为
[00967.98-00969.34] 而犯罪欲备是什么呢
[00969.34-00971.02] 而犯罪欲备是我们所说的
[00971.78-00974.78] 我比如说去在超市打工的这个阶段
[00974.78-00975.98] 然后我就每天
[00975.98-00977.46] 在超市打工也好
[00977.46-00979.02] 或者在场子里面打工也好
[00979.02-00980.46] 我就天天在那个地方
[00980.46-00981.62] 一边干活一边说
[00981.62-00982.78] 又转到一分钱
[00982.78-00983.90] 狗大利死不远了
[00983.90-00984.94] 又转到一分钱
[00984.94-00985.86] 狗大利死不远了
[00985.86-00986.98] 然后红人我就说
[00986.98-00988.82] 我说我要杀死我的前代有狗大
[00988.82-00989.10] 对吧
[00989.10-00989.90] 他不是个人
[00989.90-00991.06] 那现在这种情况的
[00991.06-00991.90] 我就觉得
[00991.90-00993.06] 他的命就不是命
[00993.06-00993.74] 我就跟他说
[00993.74-00995.18] 我说为什么要来你这打工
[00995.18-00995.50] 对吧
[00995.50-00996.82] 我就是为了展前
[00996.82-00997.50] 我就要去杀了
[00997.50-00998.46] 我就天天度呢
[00998.46-00999.18] 天天度呢
[00999.18-01000.78] 结果场子里所有人都知道了
[01000.78-01002.66] 实际包括我的这个场长都知道了
[01002.66-01004.06] 他们一方面要不就认为
[01004.06-01004.78] 我是经人病
[01004.78-01005.94] 要么呢就会怎么样
[01005.94-01007.98] 就会举报我就会跟警察说
[01007.98-01009.54] 这边有个风子怎么样呢
[01009.54-01011.38] 你看这种情况之下
[01011.38-01013.30] 我的这个意图已经暴露了
[01013.30-01016.62] 然后呢这个场子的这个老板去觉得说不能在
[01016.62-01017.98] 让我在这场地工作了
[01017.98-01020.38] 无论我是出于刚才给大家去付出的
[01020.38-01021.50] 我是个竞生变一号
[01021.50-01023.02] 还是我真的是个坏人一号
[01023.02-01024.06] 他都不会留我了
[01024.06-01025.22] 于是把我此退了
[01025.22-01026.34] 把我此退了之后
[01026.34-01028.78] 我就在任何的场子里都找不到工作了
[01028.78-01030.90] 那我就赚到钱 本不到到
[01030.90-01033.82] 那就是我想要实行杀死狗的这个行为
[01033.82-01035.02] 就没有办法实现 对吧
[01035.02-01037.16] 一分钱难道我这种英雄汉
[01037.16-01038.46] 所以在这里你看
[01038.46-01040.06] 我是在预备阶段
[01040.06-01042.26] 我在实行预备行为
[01042.26-01044.18] 预备行为就是准备工具知道条件
[01044.18-01045.86] 但是是由于我什么
[01045.86-01047.50] 一支以外的因素
[01047.50-01048.70] 什么叫一支以外的因素
[01048.70-01050.30] 这是我控制不了的因素
[01050.30-01051.90] 我被破停下来
[01051.90-01053.14] 我们所说的沙思口
[01053.14-01054.34] 当然这个翻证性为
[01054.34-01055.54] 那这个时候你看
[01055.54-01057.82] 我由于一支以外的因素停下来
[01057.82-01058.86] 那我就属于什么
[01058.86-01060.74] 我这个时候我就属于翻证
[01060.74-01063.42] 我没有办法了 我进行不下去了
[01063.42-01065.92] 这是我控制不了的 这个是反对于被
[01065.92-01069.86] 那如果说在我准备工具 知道条件过程中
[01069.86-01071.10] 我良心发现了呢
[01071.10-01074.22] 我每天在那个场子里去跟他们一块干活的时候
[01074.22-01075.34] 我总能听到
[01075.34-01078.10] 然后我身边的这些小姐妹们也好
[01078.10-01079.66] 或者是这些大哥大姐妹也好
[01079.66-01083.74] 听听跟我们讲他的这个人生就是怎么说呢
[01083.74-01086.70] 他的这个人生当中的一些跃劣
[01086.70-01088.64] 然后讲了他们年轻时候
