[00000.00-00003.14] 好的 那我们了解了什么是形容主体之后呢
[00003.14-00005.80] 来看一下第四个问题就叫做形容行为
[00894.54-00896.54] 哎他出台的一个管理办法
[00896.54-00897.54] 这个管理办法呢
[00897.54-00898.54] 你们就规定了
[00898.54-00900.54] 这共享单车要停在的
[00900.54-00901.54] 然后理程里面怎么收费
[00901.54-00904.54] 如何规犯这些共享单车企业
[00904.54-00905.54] 规犯收费的问题
[00905.54-00907.54] 我这一看他再去调整的时候
[00907.54-00908.54] 我当时的心意想
[00908.54-00910.54] 哎这不是在这个办法里面
[00910.54-00914.54] 他好像说是调整这个车怎么停车的这个问题
[00914.54-00916.54] 但是我这个人呢
[00916.54-00918.34] 这是没有什么工作线
[00918.34-00919.14] 我跟你说
[00919.14-00920.34] 我就提供了单车的时候
[00920.34-00922.42] 我就可喜欢把那个车随便乱停了
[00922.42-00923.62] 我不解随便乱停
[00923.62-00925.50] 不给它停在这个好一点儿地方
[00925.50-00926.26] 我还呢
[00926.26-00927.62] 就是早上起来未来建身
[00927.62-00929.74] 我到了公司楼下的手板那个车
[00929.74-00930.54] 一所
[00930.54-00932.70] 我那个前一副一关
[00932.70-00934.70] 然后我就开始拿这个增车举重了
[00934.70-00936.26] 举重完了之后我列完右闭
[00936.26-00937.06] 然后验左闭
[00937.06-00937.42] 对吧
[00937.42-00938.62] 我这双闭去列
[00938.62-00939.46] 列完了之后呢
[00939.46-00940.18] 我一看
[00940.18-00940.98] 验差不多了
[00940.98-00942.30] 哥哥已经冲血了 对吧
[00942.30-00944.34] 我说公二头积开始已经越预示了
[00944.34-00945.42] 我举起这个车
[00945.42-00949.10] 我把这个车的实践水到了公司的前面
[00949.10-00950.66] 5名元的这个花圆里面
[00950.66-00952.26] 然后这个车的被我选学之后
[00952.26-00954.14] 它就受伤的跑在地上
[00954.14-00956.54] 我当时一想又是完美的一早上
[00956.54-00958.06] 这样的一个早晨
[00958.06-00959.70] 不仅起到了车省的钱
[00959.70-00960.94] 还断烈了身体
[00960.94-00962.42] 潘水真补错
[00962.42-00963.02] 那你看
[00963.02-00964.34] 我在这里面我一看
[00964.34-00964.62] 对吧
[00964.62-00967.34] 我原本是我这样的一个出行的汽车的一个习惯
[00967.34-00969.34] 当然它在这里面出台的这个有关于
[00969.34-00972.14] 共享单车管理实施办法的这样一个
[00972.14-00974.06] 办法一旦出台的话我想
[00974.06-00976.88] 那我以后随便倫车的这个行为
[00976.88-00978.22] 是不是就会受到影响的
[00978.22-00979.18] 我一想适的
[00979.44-00981.74] 那他算不算亲发了我的权异能我想适的
[00982.00-00983.28] 然后当时我就想说
[00983.78-00984.56] 那他呢
[00985.32-00986.34] 就亲发我的协议
[00986.34-00987.38] 我就要去告他
[00987.62-00989.16] 我干嘛呢我一直诉装
[00989.16-00990.70] 就把门沫市施政府
[00990.70-00991.72] 告上了反应
[00991.72-00994.28] 反应开天一神里他就问他说你干啥呢
[00994.28-00995.82] 说你干啥把市政府人告了呀
[00996.08-00997.62] 我说你看啊 法官大人
[00997.62-00999.02] 他是这个样子爹你看看
[00999.02-01001.20] 听我听我漫漫给你到来呀
[01001.46-01003.76] 你看他出台了这个什么什么实施管理办法
[01003.76-01005.76] 对吧,他一定会侵犯我的权益的
[01005.76-01007.76] 我现在,所以必须要高他
[01007.76-01008.76] 高他侵犯我的权益
[01008.76-01011.76] 你觉得法官他会受理我的这个案件吗?
[01011.76-01013.76] 他只能不会法官第一反应就是会觉得什么?
[01013.76-01015.76] 会觉得我有病
[01015.76-01016.76] 因为为什么?
[01016.76-01019.76] 因为某某市政府出台的这样的一个实施管理办法
[01019.76-01021.76] 他属于一个什么行为
[01021.76-01023.76] 他属于一个抽象形状行为
[01023.76-01025.76] 抽象形状行为
[01025.76-01027.76] 抽象形状行为
[01027.76-01028.76] 他有不可素性
[01028.76-01030.76] 因为抽象形状行为
[01030.76-01032.76] 没有办法单独直接起诉
[01032.76-01036.60] 直接起诉 我没有办法单独直接去告示政府
[01036.60-01038.66] 出台这个法案的行为
[01038.66-01043.00] 明白了吧 我没有办法直接去告说示政府出台这个法案的行为他是違反的
[01043.00-01047.48] 因为我们基于刚才的公订力来看的话 他已经成立被推定为何法有效
[01047.48-01050.44] 因为他没有不符合无效的这个要件
[01050.44-01053.92] 所以在这里你看 因为抽象行政行为不可素
[01053.92-01057.00] 所以能不能单独去告 不能直接起诉
[01057.00-01062.72] 所以抽象行政行为是不能直接告的
[01062.72-01067.44] 川行政行为是不能直接告的啊
[01067.44-01069.52] 大家注意一下 这是抽象行政行为
[01069.52-01071.84] 所以你看这就和后面的另外一个点关
[01071.84-01074.40] 它如果只考案例的话 你只要能够判断出来
[01074.40-01078.04] 它是针对于大多数的 它是一个行政立法行为
[01078.04-01080.16] 那就OK 它就属于川行政行为
[01080.16-01082.68] 反而这个点难在那儿的 这个点就难在
[01082.68-01087.28] 你要知道抽象行政行为不是行政诉讼法的双案范围
[01087.28-01088.36] 行政诉讼法
[01088.36-01091.28] 我们再后面会讲 它的双案范围和行政副的双案范围
[01091.28-01093.52] 只有具体形狀行为
[01093.52-01095.62] 所以在这里你只要看到了什么
[01095.62-01097.42] 形狀立法行为都不可俗
[01097.42-01098.32] 都不可俗
[01098.32-01099.48] 所以大家注意一下
[01099.48-01102.48] 这个点特征不可俗行一般
[01102.48-01103.82] 其实不太会考到
[01103.82-01105.16] 但是它后面有关
[01105.16-01107.16] 我们在这里绝大家做了一个讲解
[01107.16-01109.20] 这是抽象形狀行为
[01109.20-01111.00] 和抽象形狀行为相对的
[01111.00-01112.78] 创形成形为是针对于
[01112.78-01114.84] 全社会内的范围的事情
[01114.84-01116.62] 普遍约数立刻反复使用的
[01116.62-01120.08] 有没有说针对特定的人何事
[01120.08-01122.60] 然后形容机关去实施了一个什么行为呢
[01122.60-01125.36] 这种就被称着为交作具体形容行为
[01125.36-01126.92] 具体形容行为是什么呢
[01126.92-01131.80] 说具体形容行为是指形容主体在形容使形容执权是画一下
[01131.80-01134.04] 叫针对特定的把特定的话出来
[01134.04-01138.00] 针对特定的人就特定的事项把特定的事项出来
[01138.00-01143.48] 做出有关影响该形容相对人权利务的单方行为就叫做具体形容行为
[01143.48-01146.20] 具体形容行为大家注意一下考试的时候
[01146.20-01148.32] 特别循环考察理解形的题目
[01148.32-01151.84] 这个点 具形象形为他一定是两星期的支持点
[01151.84-01153.12] 他可以怎么考呢
[01153.12-01154.92] 第一种就是考察的很单一
[01154.92-01156.72] 就是考察啊 给你按立
[01157.52-01160.00] 这个地方大多考的都是按立啊 把它写得着
[01161.20-01163.28] 给你一个按立 让你判断他
[01163.28-01167.52] 事不事我们所说的 具体形象形为就是判断
[01170.88-01172.00] 他事不事
[01175.84-01177.20] 我之前来写了吧 好吧
[01177.20-01184.20] 就是简单写要判断是否是具体形狀行为
[01188.30-01192.30] 是否是具体形狀行为
[01192.30-01195.20] 这个其实比较好掌握
[01195.20-01198.20] 你说老师我怎么去简单的就是从他所给的
[01198.20-01200.60] 这个提案到的判断他是不是具体形狀行为了
[01200.60-01203.70] 具体形狀行为对特定的人特定的事
[01203.70-01206.20] 所以这个具体形狀行为上他一定会有什么
[01206.20-01208.48] 具体形狀形为上它一定会有人民的
[01212.64-01213.76] 你可以把它写在旁边
[01213.76-01216.00] 具体形狀形为上它一定会有人民的
[01216.00-01218.08] 所以只要在提案当中看到什么呢
[01218.08-01219.52] 只要在提案当中看到了
[01219.52-01221.72] 说它是针对招某开除的
[01221.72-01223.00] 针对某某企业开除的
[01223.00-01224.20] 针对某某人给除的
[01224.20-01226.04] 什么形狀处发形狀处刻
[01226.04-01226.96] 形狀强制
[01226.96-01228.40] 它只要上面有人民
[01228.40-01229.56] 它就一定数于什么
[01229.56-01232.36] 它就一定数于具体形狀形为
[01232.36-01234.68] 这个点是我们经常会涉及到的
[01234.68-01236.22] 大助理下 这也是在考
[01236.46-01239.80] 案例提到中比较长间的一种案例考察形式
[01239.80-01241.80] 这种问题就是一下就能变形出来
[01241.80-01244.42] 所以他在考试的难度上没有那么大
[01244.42-01246.20] 也是比较长考的一种形式
[01246.20-01247.94] 这是第一种考理形的题目的
[01248.20-01248.76] 比如说
[01249.52-01252.60] 我因为闯红的是交警罚了20会钱
[01252.60-01255.40] 对吧 交警局我相应的行政处罚
[01255.40-01259.26] 他就会在行政处罚决定书上写上我的性命
