[00000.00-00005.44] 我们接下来看一下第四个案就是我们所说的这款合同
[00289.26-00292.02] 你很难跟他张嘴说说
[00292.02-00293.82] 说那个钱我借给你了
[00293.82-00295.86] 你什么时候把钱还给我
[00295.86-00298.54] 说三个月以后还会结月以后还没有
[00298.54-00300.34] 只要是你旁有跟你张嘴
[00300.34-00302.74] 你说按进入点前面的最近资金周朗不开
[00302.74-00304.18] 说开没有问题要多少
[00304.18-00304.94] 说我要一万
[00304.94-00306.14] 就把前后打回来了
[00306.14-00308.14] 你也不说什么时候把前还给你
[00308.14-00310.14] 你也没有说有没有利息
[00310.14-00311.54] 这个时候我就发现
[00311.54-00313.14] 是不是就出现了第二种情况
[00313.14-00315.14] 也是在生活当中最常见的情况
[00315.14-00318.94] 这是对借款没有约定的
[00318.94-00320.54] 没有约定还款期限的话
[00320.54-00321.94] 这个时候怎么办
[00321.94-00323.54] 什么时候他应到还款的
[00323.54-00324.54] 你就什么时候是要
[00324.54-00325.34] 他什么时候还
[00325.34-00326.34] 所以你看一下
[00326.34-00328.34] 他说在这种情况之下
[00328.34-00330.14] 如果没有约定还款期限
[00330.14-00331.38] 根據民法
[00331.38-00332.94] 我們所說的相應的規定
[00332.94-00334.18] 借款人可以怎麼樣
[00334.18-00335.82] 可以隨時反昏
[00335.82-00337.58] 借款人可以隨時反昏
[00337.58-00339.58] 而貸款人怎麼樣可以隨時要
[00340.70-00341.42] 也就是
[00341.42-00342.74] 5月7
[00342.74-00343.66] 我們所說的
[00343.66-00345.22] 5期限則5月7
[00345.22-00346.58] 既然沒有7線
[00346.58-00348.18] 則沒有於是什麼時候要
[00348.18-00348.98] 都行
[00348.98-00350.26] 所以在這裡面大家注意
[00350.26-00351.02] 這是第一個
[00351.02-00351.90] 我們所提到的
[00351.90-00352.90] 7線問題
[00352.90-00353.78] 這是第一個點
[00353.78-00354.78] 除了緩緩
[00354.78-00356.82] 我們必要擔心緩緩的7線之外
[00356.82-00357.78] 另外一個點
[00357.78-00359.18] 就是我們所說的
[00359.18-00360.46] 如果他到期了
[00360.98-00363.78] 比如说约定了一年一年已经到期了
[00365.32-00367.12] 他人没有把这个钱还给你
[00367.12-00368.40] 这个时候怎么办
[00368.40-00368.66] 对吧
[00368.66-00369.94] 这个事就到他每月了
[00369.94-00372.24] 那这个时候他就要承担相的
[00372.24-00375.06] 每月我们所说的约期利息
[00375.06-00377.10] 所以第二个就是还款不及时的时候会有
[00377.36-00378.38] 约期利息
[00378.38-00381.44] 在于七立期当中大家注意下了这么两个
[00381.44-00382.74] 有这么一个细节的点
[00382.74-00385.54] 你先把这个约期利息给的不要住在旁边
[00385.54-00388.36] 就是到时候了一年之后你会把钱还落了
[00388.36-00390.66] 但是一年之後你沒有把錢給我
[00390.66-00393.48] 這個時候就要按照相當的規定來支付什麼
[00393.48-00394.50] 娛棄
[00394.50-00395.14] 利息
[00395.14-00397.56] 他們提前還款的當時內娛樂另外
[00397.56-00400.40] 有按照實際計款的期限來計算利息
[00400.40-00402.04] 比如說在這裡面我們所說的
[00402.04-00404.24] 如果娛棄還款他就要支付娛棄利息
[00404.24-00405.76] 同樣需要注意的就是
[00405.76-00407.04] 這個娛棄利息
[00407.04-00408.58] 他個計款利息是不一樣的
[00411.14-00411.92] 大注意啊
[00411.92-00413.58] 計款利息是什麼
[00413.58-00415.92] 計款利息就是你問我借了這個錢
[00415.92-00417.84] 你离当按照正常情况之下
[00417.84-00420.96] 是按照相应的比例给我的
[00420.96-00422.48] 比如说我们你接了一万块钱
[00422.48-00424.56] 然后这个时候月定计划立即11百
[00424.56-00425.52] 那就是在一年之后
[00425.52-00427.28] 要环境一万一百块钱
[00427.28-00431.16] 这个计划立即是来自于你所计划的本心的
[00431.16-00432.36] 而于妻律计是吗
[00432.36-00433.60] 而于妻律计事
[00433.60-00436.12] 我说了你要在一年之后把钱还给我
[00436.12-00437.16] 结果一年之后
[00437.16-00438.44] 你没有把钱还给我
[00438.44-00440.56] 于是我们在何况到绿月定于妻律计
[00440.56-00444.16] 如果到期你的计划没有如妻还给我的话
[00444.16-00446.46] 你要承擔相的於七立西200塊錢
[00446.46-00448.90] 那也就是到了最後你超級幻緩之後
[00448.90-00450.80] 你一定要以依供要給我多少錢
[00450.80-00453.46] 一個要給我一萬零三百塊
[00453.46-00454.66] 所以在這裡大家注意
[00454.66-00456.84] 於七立西不等於計款的一些
[00456.84-00458.86] 這個點大家一定要搞清楚
[00458.86-00460.90] 因為有的時候很多情況之下
[00460.90-00462.88] 我們就會把於七立西和計款的一些
[00462.88-00463.84] 搞好小了
[00463.84-00465.02] 說什麼有於七立西
[00465.02-00466.28] 就不能有計款的一些
[00466.28-00467.28] 那怎麼可能呢
[00467.28-00469.22] 大概兩個東西呢
[00469.22-00472.18] 其實是兩個概念、兩個概念
[00472.18-00475.34] 所以这个时候我们可以向他主张娱气理息的
[00475.34-00477.98] 所以这个点相对来说比较简单对不对
[00477.98-00480.94] 所以这是第二个问题就是还款的问题
[00480.94-00482.58] 那了解了还款的问题之后
[00482.58-00486.66] 我们就来看一下在整个接款合同当中的民间借代
[00486.66-00488.90] 你看我们刚才说了它有商业借代
[00488.90-00489.82] 有民间借代
[00489.82-00493.22] 那借代我们就来详细来看看民间借代的问题
[00493.22-00494.06] 首先第一个点呢
[00494.06-00498.22] 它就说民间借代无效借代合同无效的情况
[00498.22-00501.14] 那多数存在于我们所说的这种自然人之间
[00501.14-00503.38] 那什么时候我们所说的无效呢
[00503.38-00505.24] 同时你就不要说
[00505.24-00508.44] 把这几种情形背下来其实我觉得是没有必要的
[00508.44-00511.80] 你只要掌握了我们所说的无效的明示法律行为
[00511.80-00513.44] 强工主义恶
[00513.44-00514.94] 对吧之前给大家记得那个
[00514.94-00518.24] 我之前在参加考试的时候
[00518.24-00520.24] 一下子让我就记住了这个口觉
[00520.24-00522.24] 对吧你就多出两面强工主义恶
[00522.24-00525.54] 如果是你把无效的明示法律行为的这些要件
[00525.54-00526.84] 这无种情况都记住了
[00526.84-00530.24] 那下面这种明天借代合同无效的行程
[00530.24-00534.16] 都不用去被它其实就完全符合无效的明示法律行为的
[00535.04-00535.64] 要素
[00536.04-00537.92] 我们来看一下在这里首先第一个说
[00537.92-00539.72] 套取金融机构带款转带的
[00539.92-00541.92] 高率转带高率转带转
[00542.36-00544.32] 在这里面套取金融带款转带的
[00544.32-00547.84] 它不几是我们所说的法律上的禁止性规定
[00547.84-00549.16] 那它如果严重的话
[00549.16-00551.60] 它都可能过程行法上的分推了
[00551.60-00552.00] 对吧
[00552.00-00554.88] 所以在这里你看套取金融机构带款转带的
[00554.88-00555.88] 你按了什么型
[00556.28-00557.44] 所以这种情况之下
[00557.44-00559.04] 北法无效 第二个
[00559.04-00563.24] 以向其他营利法人借代 向本职
[00563.24-00566.44] 单位直宫及资的 非法吸收公共存款
[00566.44-00568.96] 这是形法当中的非法吸收公共存款罪
[00568.96-00571.76] 是我北法无效 所以你看这种情况不认取费
[00571.76-00574.52] 第三个 说北一法取得放在资格的人出界
[00574.52-00577.84] 以营利美目的效 社会不特定对象提供借款
[00577.84-00580.24] 那这个时候是什么 非法贷款 北法贷款
[00580.24-00585.04] 你这没有资格 你都根本不具有金融资格 你就说去放带
[00585.04-00588.52] 你这指定是不符合金融规范的相应要求的
[00588.52-00588.76] 对吧
[00588.76-00591.40] 所以他属于违反强制行规定无效
[00591.40-00593.24] 对所以说出解日事先知道
[00593.24-00595.40] 或阴浪知道借款人用于违反范罪了
[00595.40-00596.56] 你认题宫借款
[00596.56-00597.96] 你这属于帮助范了
[00597.96-00599.52] 你这时候指定没跑了
[00599.52-00600.60] 所以在这里什么
[00600.60-00601.48] 违法无效吗
[00601.48-00602.72] 所以后面你看他说了
[00602.72-00605.12] 违法法律形狀法规强制规定的被俗的
[00605.12-00606.00] 说都无效
[00606.00-00606.92] 所以我们说了
[00606.92-00609.20] 民间借代和同无效的情况
[00609.20-00610.68] 他只要是违法
[00610.68-00611.96] 违反强制行规定的
[00611.96-00612.92] 被俗的
[00612.92-00614.60] 甚至包括我们前面所提到的
[00614.60-00616.56] 它只要符合无效的
[00616.56-00619.08] 民事法律行为的通通无效
[00619.08-00621.00] 所以这个点通通的不用去备
[00621.00-00622.20] 稍微有个影响就行了
[00622.20-00623.56] 如果它在考试的时候
[00623.56-00626.12] 这里面如果考只能考实际行为的题目
[00626.12-00628.04] 所以以下哪一种情形数语
[00628.04-00629.72] 民间借代无效的行程
[00629.72-00631.48] 你就按照无效的
[00631.48-00634.44] 民事法律行为去推流就可以了
[00635.40-00636.76] 所以这是民间借代的
[00636.76-00639.32] 第一个内容我们说了无效的情形
[00639.32-00640.84] 不需要透出去备
[00640.84-00643.20] 第二个需要我们掌握的重点就是什么呢
[00643.20-00644.96] 就是在民间借代当中
[00644.96-00646.56] 我们刚才给大家提到了
[00646.56-00649.44] 我们在借人钱的时候比较关心的问题
[00649.44-00650.92] 就是什么时候还啊
[00650.92-00653.24] 还的时候它如果不如去还怎么办
[00653.24-00654.44] 还有一个就是刚给说的
[00654.44-00658.52] 就是咱们还还还到底要不要利息的问题
[00658.52-00660.40] 所以在这里面我们来看一下
[00660.40-00662.60] 这是民间借代的利息
[00662.60-00664.20] 民间借代的利息问题
[00664.20-00665.40] 来看一下第一个
[00665.40-00667.24] 它说在人之间的借代
[00667.24-00669.56] 双方没有约定会约定不明的
[00669.56-00675.12] 出現人主張支付借親內的利息人家反源不與支持
[00675.12-00678.20] 說句話說句實話是啥意思
[00678.20-00683.52] 他的意思就是如果對於這句話的利息
[00684.16-00685.96] 如果有約定利息的話
[00685.96-00687.40] 那就是按照約定來
[00687.40-00689.48] 所以就是有約從約
[00689.48-00690.88] 如果沒有約定的話
[00690.88-00692.28] 無約就怎麼樣
[00692.28-00693.92] 視為無利息
[00693.92-00698.02] 五月呢
[00698.02-00698.98] 他是示威
[00698.98-00700.06] 没有立席的
[00700.06-00702.10] 也就是说我们主张
[00702.10-00703.90] 其实是主张什么的主张是
[00703.90-00706.80] 在人之间他相互帮服的这样的一个感觉
[00706.80-00708.52] 所以人家没有主张立席的话呢
[00708.52-00710.76] 被阅阶密席的就示威无力洗
[00710.76-00713.62] 那如果说我问你接了一万块钱
[00713.62-00715.42] 于期没有缓的还想让我缓款
[00715.42-00716.96] 你就可以像法院起诉我
[00716.96-00717.98] 你像法院起诉
[00717.98-00720.02] 你一定会像法院提出你的什么
[00720.02-00721.06] 诉讼请求
[00721.06-00723.30] 那你在提出你的诉讼请求的时候
[00723.30-00728.68] 能不能说主张结瑞环环本接一万元负带利息
[00728.68-00729.96] 然后一千块钱
[00729.96-00733.54] 这个时候你看你的哪一项主张能够得到法院的支持
[00733.54-00734.94] 让我把钱还给你一万
[00734.94-00737.38] 那你这一千块钱的利息按照咱俩的合同的
[00737.38-00739.44] 没有约定是为无力去
[00739.44-00741.48] 法院不会支持你的松文请求
[00741.48-00742.76] 所以在这里大家就知道
[00742.76-00745.32] 有约从约5月11月5月5月5月
[00745.32-00747.88] 利息这是第一个点大家要明确的
[00747.88-00750.94] 那第二点就是我们所说的这个利息
[00750.94-00753.50] 大家一定要知道对于贷款人来说
[00753.50-00756.82] 它是不能够预线在本金当中扣出的
[00756.82-00758.86] 所以在这里的第二句话就是历习
[00760.14-00761.30] 你可以在书上换啊
[00762.14-00764.26] 就是历习不得
[00766.06-00766.82] 预线
[00768.78-00770.90] 在本金中扣出
[00775.50-00776.54] 你看在这里面
[00776.54-00780.34] 就是书上这句话就预线在本金中扣出历习的
[00780.34-00787.18] 人家把援 英当将实际出界的金融 认定为什么 认定为本金
[00787.18-00792.34] 比如说什么情况 举个简单例子还是我问你借了一万块钱
[00792.34-00796.14] 我们借了一万块钱之后 这个时候咱们就说
[00796.14-00801.58] 你看 你借这一万块钱 我也是从牙方里擠出来把这一万块钱借给你了
[00801.58-00803.58] 然后你不代表事表事吗
[00803.58-00805.82] 我这个人也不是不上到的人 或者实话
[00805.82-00810.30] 咱们多少还是懂一点人情事故的 毕竟能握发布纳号里十年了
[00810.30-00812.10] 多少有点懂人情是国说
[00812.10-00813.10] 那不这样吧
[00813.10-00814.50] 我是务分你借一万块钱
[00814.50-00815.70] 我不百借
[00815.70-00817.42] 我到时候还你利息
[00817.42-00818.38] 你平利息
[00818.38-00819.70] 也有眼睛下就亮了
[00819.70-00821.06] 眼睛动得像同零
[00821.06-00822.30] 社出审列办的光面
[00822.30-00822.90] 对吧
[00822.90-00823.30] 你说
[00823.30-00824.90] 这怎么不好意思的
[00824.90-00825.42] 利息
[00825.42-00826.70] 这怎么能不好意思
[00826.70-00827.10] 对吧
[00827.10-00828.50] 利息就给利息吧
[00828.50-00829.70] 我说那要这样
[00829.70-00830.50] 我借你
[00830.50-00832.30] 我朝你借一万块钱
[00832.30-00833.30] 然后我
[00833.30-00834.10] 利息多少钱
[00834.10-00834.90] 在一年之后
[00834.90-00835.74] 我把钱还给你
[00835.74-00836.90] 复带利息一千
[00836.90-00837.70] 同一们来看一下
[00837.70-00839.70] 百分之十的利率
[00839.70-00840.68] 你上点找去
[00841.50-00842.38] 你当时就说
[00842.38-00842.78] 哎呀
[00842.78-00843.10] 你看
[00843.10-00845.18] 我就喜欢你这种实在着
[00845.18-00845.86] 你说OK
[00845.86-00846.74] no problem
[00846.94-00848.10] 然后你这有时候你有说啊
[00848.10-00849.38] 他说要不这样吧
[00849.38-00850.98] 说为了怕到时候啊
[00850.98-00852.62] 你把这个利息的事忘了
[00852.78-00853.38] 我呢
[00853.38-00854.62] 就先把什么给你
[00854.62-00855.98] 我就先把这个利息
[00855.98-00858.26] 从我给你的这一问快钱当中
[00858.26-00859.22] 扣除掉
[00859.22-00859.86] 啥意思呢
[00859.86-00861.46] 就是原则我穿结了一万
[00861.46-00863.70] 然后你给我扣掉了一千快钱的利息
[00863.70-00864.70] 你给了我多少钱
[00864.70-00866.46] 你给了我九千九百块钱
[00866.46-00867.94] 那这有时候就问大家
[00867.94-00872.30] 預先在本金中扣除利息的人民法院
[00872.30-00873.58] 與與人的
[00873.58-00875.10] 人民法院不與人的
[00875.10-00877.42] 也就是他不能在
[00877.42-00880.86] 你給我借的本金當中預先把利息扣除
[00880.86-00882.42] 如果你扣除的話
[00882.42-00884.90] 這個時候應到按照實際計款說
[00884.90-00885.74] 反緩什麼
[00885.74-00887.14] 反緩借款
[00887.14-00888.34] 並計算利息
[00888.34-00889.46] 你說老師他為什麼要這樣
[00889.46-00890.46] 同學想一下
[00890.46-00892.26] 如果說
[00892.26-00893.54] 對於我來說
[00893.54-00893.90] 對於我來說
[00893.90-00895.34] 對於我這個計款人來說
[00895.34-00896.98] 我說我說到時候
[00896.98-00900.62] 就还给你多少钱的还给你正常行为应该是一万零一千
[00900.62-00901.06] 对吧
[00901.06-00905.18] 但是如果你提前把这个利息扣处联值给了我99万块钱
[00905.18-00907.58] 这时候你借给我的本金就只是99万就
[00907.58-00910.86] 我倒是这华尼99万就理外里你根本就没有赚到利息
[00910.86-00913.06] 所以在这里它很容易商集谁的利益
[00913.06-00914.22] 谢款人的利益
[00914.22-00916.22] 大家都知道 谢款人一旦接款的话
[00916.22-00917.50] 它一定会重担什么
[00917.50-00919.26] 它一定会重担一定的风险
[00919.26-00920.42] 它的风险就在于
[00920.42-00922.90] 如果你这个人最后就真的是不讲幸运
[00922.90-00924.06] 拿钱跑路了
[00924.06-00926.18] 我这个钱我也要不回来了
[00926.18-00927.94] 对吧 或者是一托在托托
[00927.94-00930.14] 已经过了诉讼史稍成为自然之債的话
[00930.14-00931.54] 法院也不会支持我的
[00931.54-00934.38] 所以如果说预先在本金当中扣处立西的话
[00934.38-00935.38] 预谁不列
[00935.38-00936.62] 于借款人不利
[00936.62-00937.82] 就是于贷款人不利
[00937.82-00940.02] 就是借钱的 某位借钱的这个人
[00940.02-00940.70] 他是不利的
[00940.70-00941.70] 所以法院说了
[00941.70-00943.54] 说不应当江立西怎么样
[00943.54-00944.26] 预先扣处
[00944.26-00946.18] 如果扣处到我谁还善着
[00946.18-00947.38] 一万块钱给你来的
[00947.38-00948.58] 所以在这里大家注意一下
[00948.58-00951.02] 是不得预先扣处立西
[00951.02-00952.50] 这个点 大家要稍微注意一下
[00952.50-00953.70] 这是 第二个点
[00953.70-00955.74] 第3一个点就是我们所说了
[00955.74-00958.26] 如果在这个过程中约定里期
[00958.26-00960.02] 这个立席咱们多少算呢?
[00960.94-00962.02] 如果约定了里席
[00962.02-00963.30] 我把这个点标注一下
[00963.30-00963.78] 好吧
[00963.78-00965.66] 这是有约从约
[00966.30-00966.94] 有约
[00966.94-00968.38] 如果约定了里席
[00968.38-00970.38] 那这个立席怎么去计算
[00970.38-00972.30] 这次里面有一个数值的问题
[00972.30-00973.66] 来再出上标注一下
[00973.66-00974.66] 说年利率
[00974.66-00976.78] 不得超过合同成立时
[00976.78-00980.02] 一年期贷款市场暴加利率的思贵
[00980.02-00982.38] 也是在这里面的利率的上限
[00982.38-00988.02] 劣率的上程是4倍的LP
[00990.32-00991.78] 4倍的LP
[00991.78-00993.64] 这里面贷款市场爆价力率
[00993.64-01000.04] 这是在我想一下大概是在2019年到2020年对市场劣率调整的这样的一个改革
[01000.04-01003.64] 当然当年这是一个经济学民此上的一个热点
[01003.64-01005.16] 各地区都考察了
[01005.16-01007.22] 这个就是我们所说的这个LP
[01007.22-01010.02] 以前不是市场爆价力率
[01010.02-01011.82] 后来调整市场爆价力率对于
[01011.82-01015.58] 我们所说的明天的这些机构来说对于
[01015.58-01017.42] 贷款的学生来说比如说
[01017.42-01020.46] 有生员地均贷款或高校追贷款的这些学生
[01020.46-01022.26] 对他们来说都是一个立好的消息
[01022.26-01025.58] 以前按照正常的定价的绿绿来的话
[01025.58-01027.02] 它是相对人数偏高的
[01027.02-01029.42] 这个时候给到了市场帮家绿绿LPR的时候
[01029.42-01031.02] 它相对人数比较低了
[01031.02-01033.74] 所以在这里那里说老师LPR怎么计算呢
[01033.74-01034.70] 它是多少啊
[01034.70-01036.86] 这不是咱们法律所考虑的问题
[01036.86-01037.62] 这个点呢
[01037.62-01038.82] 同时不需要去掌握
[01038.82-01040.94] 这个市场帮家绿绿绿它会对外公布的
[01040.94-01042.58] 就只要上网查就可以了
[01042.58-01044.18] 所以在这里面我们说了
[01044.18-01047.86] 这个年利率的上限是不能超过4倍的LPR
[01047.86-01049.14] 所以在这里大家注意下
[01049.14-01050.94] 利率上限是4倍的LPR
[01050.94-01051.68] 如果是
[01052.58-01053.46] 大家注意下
[01053.46-01055.86] 如果现在这个是4倍
[01056.18-01059.18] 这个是我们所说的LPRLPR
[01060.74-01062.18] 正常情况之下
[01062.58-01063.74] 我把现在这边
[01064.22-01065.26] LPR
[01065.26-01066.86] 正常情况之下是可以
[01066.86-01071.22] 越定力息的我这个图局代表的是我们已经越定力息了
[01071.22-01074.54] 如果越定力息的话在4倍的LPR以内
[01075.06-01077.60] 也是在这一刀箭头的左边
[01077.60-01079.40] 这个是在4倍的LPR以内
[01079.40-01082.74] 这个时候越定的利息是合法有效的
[01082.74-01086.06] 这个时候你可以如果他到时候不还钱的话
[01086.06-01088.36] 你写越定力息你可以强制之前利息的
[01090.92-01093.74] 就是他只还你本心利息没还你可以像法院起诉他
[01093.74-01094.76] 可以强制之前了
[01094.76-01096.56] 如果是4倍以外了呢
[01096.56-01097.96] 四倍以外是不是就太高了
[01097.96-01098.80] 他就属于什么
[01098.80-01100.12] 他就属于高利待了
[01100.12-01101.36] 那如果高利待的话
[01101.36-01102.52] 法院还任不任了
[01102.52-01103.48] 高利待的话
[01103.48-01104.48] 法律是不任了
[01104.48-01105.72] 他其实就是维法的
[01105.72-01106.60] 那这个时候
[01106.60-01108.24] 你如果真的朝台借钱了
[01108.24-01110.32] 你比如说像我们经常看到地下权装
[01110.32-01111.28] 跟你约定什么
[01111.28-01112.56] 跟你约定了10%
[01112.56-01113.40] 10%的利率
[01113.40-01115.08] 他立委利益那家没必而了
[01115.08-01116.52] 那本来就没借过钱
[01116.52-01118.56] 最后还的利息比本金还高呢
[01118.56-01120.08] 那这种情况之下怎么办
[01120.08-01121.20] 我们就可以
[01121.20-01121.84] 当然了
[01121.84-01123.24] 只是从法律操作层面上
[01123.24-01124.80] 现实情况会浮加很多
[01124.80-01126.28] 那如果他对你收的
[01126.28-01128.08] 这个历史已经特别高了
[01128.08-01130.38] 超过4.2P2的这种
[01130.88-01132.68] 它拿到的这个钱可以要求它怎么样
[01132.68-01133.18] 繁环
[01134.48-01139.08] 我们就可以把它当作对方的不当得利要求它繁环就可以了
[01139.08-01140.36] 超过部分繁环
[01142.92-01144.72] 繁环超过的部分
[01144.72-01146.76] 这个就是我们所说的
[01147.52-01148.80] 这一个计划合同
[01148.80-01150.60] 所以计划合同说计实话
