[00000.00-00004.60] 今天我们要进入到马斯主义哲学当中的微霧论的内容的学习
[00335.52-00337.44] 我们首先来看一下
[00337.44-00339.08] 第一个物质的概念
[00339.08-00340.08] 物质的概念
[00340.08-00342.24] 从哲学成面上是谁给到的呢
[00342.24-00343.80] 同样把这个人画出来
[00343.80-00345.80] 在前面写上圈一
[00345.80-00348.66] 这个点本身只是一个一星级的知识点
[00348.66-00352.44] 偶尔会在判论体或者是选项通通出现
[00352.44-00354.30] 所谓的在哲学上的误指
[00354.30-00357.28] 他其实是列寭给误指下得定义
[00357.28-00359.68] 所以列寭对误指的定义说的是啥呢
[00359.68-00360.78] 这后面有一句话
[00360.78-00361.46] 他说
[00361.46-00365.94] 误指是标志刻观实在的哲学饭筹
[00365.94-00369.66] 说这种刻观实在是人通过感觉感知的
[00369.66-00371.96] 他不以来以我们的感觉存在
[00371.96-00374.92] 为我们的感觉所复写设引和反应
[00374.92-00376.60] 你说老师没谁了
[00376.60-00376.88] 对吧
[00376.88-00377.80] 不说人化了
[00377.80-00379.32] 我在这儿已经开始迷惑了
[00379.32-00380.40] 同时先不要迷惑
[00380.40-00382.20] 咱们先去区分去看一下
[00382.20-00384.52] 我门在日常生活当中
[00384.52-00385.76] 一般谈到物质的时候
[00385.76-00387.32] 大家会有什么样的感觉呢
[00387.92-00389.52] 我们在日常生活中谈到物质
[00389.52-00390.92] 我说你把那个东西给我
[00390.92-00391.20] 对吧
[00391.20-00393.52] 我们就是用咱们的打土化来说
[00393.52-00395.32] 我感觉物质好像就是个东西
[00395.32-00397.16] 你比如说物质就是个手机
[00397.16-00399.64] 物质就是我们所说的面梦
[00399.64-00400.00] 对吧
[00400.00-00401.20] 或者物质就是
[00401.20-00403.56] 我們經常看到的什麼風扇電視
[00403.56-00406.24] 在我們模糊的概念裡面在生活當中
[00406.24-00407.60] 我們就會默尼尾物質
[00407.60-00409.60] 它就是某個東西
[00409.60-00411.80] 又或者說物質它是一個形容詞
[00411.80-00413.40] 對吧比如說我們看到
[00413.40-00415.44] 有一些人它比較喜歡錢
[00415.44-00417.44] 按沒有錢的時候我就活不下去了
[00417.44-00419.08] 對吧你這個時候你就會說
[00419.08-00420.68] 這個人真物質
[00420.68-00424.56] 所以這種情況之下物質又變成了一個形容詞
[00424.56-00427.84] 那這個其實都是我們生活當中理解的物質
[00427.84-00429.68] 但是我們之前給大家講過
[00429.68-00431.16] 哲學當中的物質
[00431.16-00434.12] 他其實和我們日常生活當中的用語
[00434.12-00435.56] 有很大的不同
[00435.56-00437.80] 但其實又有一部分重點
[00437.80-00440.00] 我們來看一下哲學上的物質
[00440.00-00441.36] 到底是怎麼說的
[00441.36-00444.68] 他和我們剛才那種魔乎概念的某個東西
[00444.68-00446.68] 或者說是那種形容詞
[00446.68-00449.12] 到底有什麼不一樣又相通的地方
[00449.12-00450.24] 我們來看一下
[00450.24-00451.44] 在這裡他說
[00451.44-00452.64] 他說物質是啥呢
[00452.64-00454.16] 他說物質是標誌
[00454.16-00457.96] 課關實在的哲學憤仇
[00457.96-00458.88] 在這裡面
[00458.88-00462.28] 第一个就接定了 同们你看 饭仇是啥意思
[00463.28-00466.68] 饭仇就意味着 它是一个饭蕾
[00466.68-00470.28] 在这里面我们先把什么歌 这个形容似拿掉
[00470.28-00473.28] 就是物质就是一个折学饭仇
[00473.28-00476.28] 那既然是折学饭仇 那就意味着物质
[00476.28-00479.08] 它本身其实是一个饭蕾
[00479.08-00481.08] 而不是一个具体的东西
[00481.08-00483.48] 而不是一个具体的食物
[00483.48-00486.48] 那它既然是一个饭蕾的话 那就意味着
[00486.48-00489.52] 他这这个范围一定会有边界
[00489.52-00491.52] 如果老是你这跟这干啥呢 对吧
[00491.52-00494.40] 你这还给我给我这搞成边界了 对吧
[00494.40-00496.36] 所以我最讨厌没有边界感的误指
[00496.36-00498.08] 这里面的边界是啥呢
[00498.08-00500.68] 大家想如果误指是一个圈的话
[00500.68-00501.92] 我在这里给大家画个圈
[00501.92-00503.40] 如果误指是一个圈
[00503.40-00504.68] 那他想要成为误指
[00504.68-00507.08] 他一定是在圈内才能成为误指
[00507.08-00509.84] 圈外的东西是不能成为误指的
[00509.84-00512.40] 那既然圈内的东西是误指
[00512.40-00514.72] 那符合什么样的条件
[00514.72-00517.80] 我才能让这个东西走到圈内
[00517.80-00521.76] 这个时候就要给物质加上一个限定鱼
[00521.76-00522.92] 什么样的条件呢
[00522.92-00527.00] 叫做符合客观实在的这些饭蚝
[00527.00-00528.56] 就叫做物质
[00528.56-00531.08] 所以在这里面其实我们就会发现
[00531.08-00533.36] 我们哲学上所说的这个物质
[00533.36-00536.28] 他和生活当中的物质最大的一个不同就在于
[00536.28-00537.44] 哲学上的物质
[00537.44-00539.80] 他本身是一个饭围
[00539.80-00541.04] 而这个饭围呢
[00541.04-00542.60] 他需要一定的边界
[00542.60-00546.28] 換句話說只要符合這個範圍條件
[00546.28-00548.30] 它就是物質
[00548.30-00550.34] 這個範圍條件就是我們剛剛所說的
[00550.34-00555.20] 第一個叫做客觀第二個叫做實在
[00555.20-00556.52] 在這裡面大家注意一下
[00556.52-00558.00] 那什麼叫做客觀呢
[00558.00-00559.86] 我一般請問之下談到客觀
[00559.86-00562.06] 這個東西你一定控制不了
[00562.06-00563.34] 你能夠掌控的料的
[00563.34-00565.64] 那是你自身的叫做主觀
[00565.64-00568.20] 我們控制不了的都叫做客觀
[00568.20-00569.44] 所以所謂的客觀
[00569.44-00573.84] 同時知道他強調的是不以人的意志為轉移的
[00574.84-00577.36] 不以人的意志為轉移
[00577.36-00579.32] 這個就叫做我們所說的
[00579.32-00579.80] 可觀
[00579.80-00580.60] 那換句話說的
[00580.60-00582.04] 就是不是你想控制
[00582.04-00583.32] 就能控制得了的
[00583.32-00584.12] 比如說我現在
[00584.12-00584.36] 對吧
[00584.36-00585.48] 窮的定當想
[00585.48-00587.32] 那我的人生目標就幹嘛呢
[00587.32-00588.32] 一頁報復
[00588.32-00590.04] 那我能不能每天就坐在那
[00590.04-00591.08] 然後盤頭打坐
[00591.08-00592.88] 然後前程起到
[00592.88-00593.12] 對吧
[00593.12-00594.04] 我說讓我報復
[00594.04-00594.84] 讓我報復
[00594.84-00597.08] 然後第二天我就能一頁報復了嗎
[00597.08-00598.48] 只要是不可能的
[00598.48-00600.20] 所以我们所说的物质
[00600.20-00602.00] 拖符合的第一个条件就是
[00602.00-00603.28] 他不能也
[00603.28-00604.88] 人的意志为转移
[00604.88-00606.28] 就是你的想法
[00606.28-00608.24] 和他自身是什么样子
[00608.24-00609.56] 没有任何的关系
[00609.56-00610.88] 这个就叫做
[00610.88-00611.60] 客观
[00611.60-00614.36] 所以小符合物质的第一个条件
[00614.36-00616.00] 就是要做到客观
[00616.00-00617.20] 第二个是啥呢
[00617.20-00618.24] 第二个就是
[00618.24-00620.32] 实在实在是啥意思
[00620.32-00622.36] 实在就是实实在在
[00623.36-00624.72] 有很多人说老生个人
[00624.72-00625.80] 组辞呢
[00625.80-00627.24] 还辞职在在
[00627.24-00629.48] 其实实实在在他本身就意味着
[00629.48-00632.44] 这个东西他一定是真实存在的
[00635.64-00637.72] 只有他是真实存在的
[00637.72-00640.64] 他才能够被我们怎么样 赶紧
[00643.72-00646.04] 所以在这里面 大家注意一下
[00646.04-00648.60] 所谓的物质 他本身是什么呢
[00648.60-00651.44] 他本身只要是符合客观
[00651.44-00653.24] 只要是符合实在
[00653.24-00655.44] 他只要同时满足在两条件
[00655.44-00657.70] 無論是有型,還是無形的
[00657.70-00660.48] 無論是具體的概念,還是抽象的概念
[00660.48-00664.54] 只要在這個過程當中,他只要符合這兩個詞
[00664.54-00668.28] 他就能被稱為,叫做哲學上的物質
[00668.28-00670.84] 在這個過程當中,他就和我們生活當中的
[00670.84-00674.68] 我們認為,物質他是某一個東西,是否有了很大的一個區別
[00674.68-00676.68] 我們生活當中認為的,那個物質
[00676.68-00678.60] 他可能是某一個東西
[00678.60-00681.04] 這個東西,他只要符合科官是在
[00681.04-00683.44] 他就叫做哲學上的物質
[00683.44-00686.48] 所以到了马克思这一块同一份没有发现
[00686.48-00690.80] 他对于物质的定义是把它从万千事务当中
[00690.80-00694.28] 把这些事务共同的本质抽象了出来
[00694.28-00696.04] 然后把本质命了个名容
[00696.04-00698.52] 所以按照只要符合这个科官时代
[00698.52-00699.68] 那你就是物质
[00699.68-00700.88] 所以它是一个什么
[00700.88-00707.04] 它是一个从个别到一般从具体到抽象的一个过程
[00707.04-00709.76] 所以它就相当于下了一个定义
[00709.76-00711.76] 就是把它所观测到的所有东西
[00711.76-00714.72] 下了一个定义,把这个定义面为物质
[00714.72-00719.32] 所以只要符合这个定义,只要到大这个边界,他就叫做物质
[00719.32-00724.16] 举个例子来说,同们来看一下,判断一下,人算不算物质呢?
[00724.88-00729.00] 你说人是个东西,对吧?你去找说话呢?什么叫人是个东西啊?
[00729.00-00734.20] 对吧?我们说人算不算物质呢?我们的平感人就觉得,而人是物质啊?对吧?
[00734.20-00736.40] 那这种情况之下,这是我们平感觉
[00736.40-00741.44] 但是如果我们现在要用物质的定义来拆解他,那就看人,是不是符合
[00741.44-00743.88] 客官是不是符合实在了
[00743.88-00745.08] 如果符合的话
[00745.08-00746.56] 那打工他就说不止
[00746.56-00747.60] 首先第一个
[00747.60-00748.72] 人的存在
[00748.72-00750.28] 或者说人类的存在
[00750.28-00752.32] 一不一个人的意志为转眼
[00752.32-00754.08] 能不能说我讨厌那个人
[00754.08-00754.32] 对吧
[00754.32-00756.16] 他是我前面有他太差了
[00756.16-00757.32] 所以我讨厌他
[00757.32-00759.08] 所以在这里我就希望说
[00759.08-00760.12] 我愿意我
[00760.12-00761.36] 二十斤的体重
[00761.36-00763.36] 来换取我前面有个性命
[00763.36-00764.20] 那就我情况下
[00764.20-00765.52] 你就天天坐在家里洗澡
[00765.52-00766.44] 让这个人消失
[00766.44-00767.56] 他就能消失吗
[00767.56-00768.32] 不行的
[00768.32-00769.68] 所以人类的文明
[00769.68-00770.88] 或某个人的存在
[00770.88-00772.72] 他不以你个人的意志为转眼
[00772.72-00774.88] 所以人符合客观
[00774.88-00777.72] 第二个人符合符合实在呢
[00777.72-00779.24] 是不是真实存在的
[00779.24-00780.80] 当然是真实存在的
[00780.80-00782.72] 所以在这里人符合客观
[00782.72-00785.36] 符合实在那人就是物质
[00785.36-00786.96] 用老师这个和好判断
[00786.96-00788.20] 因为你在这里面人
[00788.20-00789.72] 他就是一个具体的事物
[00789.72-00791.24] 所以我一下子就能判断出来
[00791.24-00793.16] 因为他是有型的
[00793.16-00795.24] 我们接下来看一些无形的东西
[00795.24-00797.80] 来判断他是不是物质
[00797.80-00799.32] 等下来看一下 磁场
[00800.92-00802.88] 磁场这个东西是不是物质呢
[00803.12-00804.92] 有可能同学在这里就翻了难了
[00804.92-00805.72] 你说老师
[00806.04-00809.20] 我问有点感觉 感觉他是又感觉他不是
[00809.20-00811.28] 你不要你感觉我们去判断
[00811.28-00812.28] 我们去判断
[00812.28-00814.72] 一定要把马斯主义哲学的物质
[00814.72-00817.64] 作为抽象化的一个定义去判断
[00817.64-00819.28] 他只要是符合这个定义
[00819.28-00820.16] 他就叫物质
[00820.16-00821.84] 不要评个人感觉去
[00822.04-00825.56] 那么来看一下首先第一个客观 磁场符合客观呢
[00825.56-00828.38] 客官要不以人的意志为专业
[00828.38-00831.40] 司长存在是否以个人的意志为专业呢
[00831.40-00833.36] 比如说现在地球南机会被解
[00833.36-00835.80] 有非常大的刺激我们说刺场
[00835.80-00837.92] 哎呀这个东西没有眼形啊
[00837.92-00839.56] 对吧现在都就条件了
[00839.56-00840.80] 我都累了毁灭吧
[00840.80-00842.46] 你这时候想要刺场消失
[00842.46-00843.66] 刺场就会消失吗
[00843.66-00844.72] 之间不能的
[00844.72-00845.46] 所以第一个
[00845.46-00846.92] 他不以人的意志为专业
[00846.92-00848.40] 客官第二个
[00848.40-00850.90] 刺场是不是符合实在这个条件
[00850.90-00852.56] 是不是真实存在的呢
[00852.56-00856.40] 慈場一定是真實存在的
[00856.40-00859.78] 如果它不真實存在,我們為什麼會以它命名呢?
[00859.78-00863.90] 如果它不真實存在,我們生活環境如何得到保證呢?
[00863.90-00870.80] 所以慈場它符合客觀實在,它在這個地方,就符合我們哲學上所說的什麼?
[00870.80-00873.30] 物質,這個就叫做慈場
[00873.30-00876.48] 我再舉一個例子,同時再來看一下生產力
[00876.48-00880.12] 生產力這個東西,它到底算不算物質呢?
[00880.12-00882.94] 有很多同学就认为说老师生产力只是一个概念
[00882.94-00884.22] 但是我们说了
[00884.22-00886.92] 无论是具体的事务还是抽象的概念
[00886.92-00889.58] 还是我们看起来比用模糊的这东西
[00889.58-00891.20] 我们判断它是不是物质
[00891.20-00893.24] 就是要从客观和实在图发
[00893.24-00894.20] 虽然第一个
[00894.20-00896.06] 人类社会生产力的发展
[00896.06-00897.94] 一部以个人的意志为转移
[00898.82-00899.58] 指定不已
[00899.58-00901.10] 如果以个人的意志为转移的话
[00901.10-00904.44] 我想让中国提前20年实现中华民族伟大附近
[00904.44-00905.80] 生产力极大豐富
[00905.80-00908.04] 我甚至想一部跨境共产主义
[00908.04-00910.28] 那能不能我想它就能实现
[00910.28-00912.48] 不能所以生产力在这里
[00912.48-00914.36] 大家注意一下符合客观
[00914.36-00915.76] 不以人的意志为短意
[00915.76-00918.48] 第二个生产力是不是真实存在的
[00918.48-00920.64] 生产力一定是真实存在的
[00920.64-00922.76] 它是可以被量化的
[00922.76-00923.16] 对吧
[00923.16-00924.96] 所以它符合实在
[00924.96-00926.00] 所以在这里
[00926.00-00927.60] 只要符合客观和实在
[00927.60-00929.32] 它就属于我们所说的
[00929.32-00931.76] 哲学上的物质犯筹
[00931.76-00934.24] 同样在这里有没有一种感觉
[00934.24-00936.52] 马斯所定义的哲学
[00936.52-00939.24] 它其實是一個非常荒犯的一個犯理
[00939.24-00941.48] 我們要把馬斯主義的哲學
[00941.48-00944.56] 和生活當中巨像化的東西做區分
[00944.56-00946.52] 所以又回歸到之前那個點上
[00946.52-00948.68] 哲學其實就是一直在探討
[00948.68-00950.96] 世界紅官的運行的規律
[00950.96-00955.16] 在找這個世界運行普遍性的規律性的東西
[00955.16-00958.04] 所以我們會發現它是把很多巨像化的東西
[00958.04-00960.48] 透過現象抓住了事務的本質
[00960.48-00963.24] 從而定義了我們所說的哲學上的物質
[00963.24-00965.88] 所以物質只要符合客觀和實在
[00965.88-00968.28] 那无论是看见的 还是看不见的
[00968.28-00971.00] 瞬间还是有朋友的 具体的还是抽象的
[00971.00-00972.48] 只要符合这个概念
[00972.48-00975.48] 他都是我们所说的哲学上的物质
[00975.48-00979.00] 到这同学们是不是就理解哲学上的物质
[00979.00-00980.08] 是啥意思了
[00980.08-00982.44] 那既然理解哲学上的物质是啥意思了
[00982.44-00983.40] 光理解还不够
[00983.40-00985.28] 我们说了我们最重要的效果
[00985.28-00986.64] 回味道作体
[00986.64-00990.52] 所以我在大家的讲一道组给大家设计了一个技巧体验看到了
[00990.52-00993.68] 把这个技巧体验给它标注两颗星
[00993.68-00996.20] 如果我们在做提到中如何判断
[00996.20-00998.36] 它是否体现了物质的作用
[00998.36-01001.72] 在这里面其实很难用定义去对上它
[01001.72-01005.08] 这种情况之下我们就要把刚才我们所讲解的
[01005.08-01009.60] 客观实在的定义在进一步进行具体换
[01009.60-01011.08] 转化成达地技巧
[01011.08-01013.60] 我们刚才看到的客观实在其实範围
[01013.60-01014.88] 非常的宽伐
[01014.88-01017.48] 宽伐到它只要是客观实际情况
[01017.48-01020.08] 它其实就是代表的是什么物质
[01020.08-01021.72] 所以在这里打注意
[01021.72-01023.72] 如果一个题目 唐文尼
[01023.72-01026.20] 它有没有体现物质的决定作用
[01026.20-01028.08] 它有没有体现物质的作用
[01028.08-01029.08] 你就抓住一个点
[01029.08-01030.24] 在旁边标主一下
[01030.24-01031.80] 它只要在提干当中
[01031.80-01033.60] 给你设置的感觉是
[01033.60-01035.40] 客观实际情况
[01037.92-01039.64] 现在旁边一定要读比
[01039.64-01041.80] 它体现的是客观实际情况
[01041.80-01042.80] 气道
[01043.96-01045.08] 决定作用了
[01046.76-01048.12] 那这种情况之下
[01048.12-01049.96] 就一定在强调谁的作用
[01049.96-01053.14] 正秦王之下就一定在强调物质的作用
[01053.14-01054.50] 所以他只要在这里看到
[01054.50-01056.52] 客观实际情况起到决定作用
[01056.52-01059.24] 那你这个时候就可以选个选下是什么呢
[01059.24-01062.84] 就可以选物质决定意识
[01065.96-01069.76] 或者一切从实际出发
[01073.72-01074.90] 又或者什么呢
[01074.90-01078.16] 又或者还有一话叫世界物质
[01079.96-01081.00] 同一性原理
[01084.12-01085.08] 这三句话
[01085.40-01086.52] 他出现哪个
[01086.68-01087.72] 你都可以选
[01087.88-01090.44] 因为这三句话本质上都在强调谁都做要
[01090.60-01093.16] 本质上都在强调物质的作用
[01093.16-01094.32] 我举个简单的例子
[01094.32-01096.16] 比如说我们经常说到叫做
[01096.16-01098.44] 巧复南为无米之推
[01102.84-01103.80] 同一来看一下
[01103.80-01105.56] 巧复南为无米之推
[01105.56-01108.00] 他有没有体现物质的作用
[01108.00-01110.04] 或者有没有体现物质的绝令作用呢
[01110.04-01112.04] 以前从什么带去做这套带手
[01112.04-01112.88] 小心脑质
[01112.88-01114.64] 想破头了
[01114.64-01114.96] 对吧
[01114.96-01117.64] 我也对不上他那个物质起到绝中作用
[01117.64-01119.96] 就是因为同学们没有把物质这个概念
[01119.96-01123.24] 作为一个抽象化的东西去理解
[01123.24-01124.76] 而是把物质作为具体化了
[01124.76-01125.52] 一旦提干了
[01125.52-01126.68] 有没有体现物质的作用
[01126.68-01127.96] 你本能的这个反应
[01127.96-01129.76] 在提干的东西去对应那个物质
[01129.76-01130.80] 你对用不上的
[01130.80-01133.40] 因为物质它本身是一个概念
[01133.40-01135.80] 你没有把它在提干的东西找到具体的事务
[01135.80-01139.76] 那这个时候怎么办给他转化成打体肌条就可以了
[01139.76-01141.96] 既然物质他是一个宽饭的概念
[01141.96-01142.84] 咱们说了
[01142.84-01145.64] 只要体肩客观实际情况起到决定作用
[01145.64-01147.88] 那就可以选物质的决定作用
[01147.88-01148.72] 那你来看一下
[01148.72-01152.28] T.I.N.中有没有体现客观实际情况起决定作用呢
[01152.28-01154.52] 巧复南为无米之推游
[01154.52-01156.56] 巧复就说明能行
[01156.56-01157.16] 对吧
[01157.16-01157.92] 处娘
[01157.92-01159.52] 而做饭贼拉好吃
[01159.52-01162.04] 这种情况之下才称作为叫巧复
[01162.04-01163.96] 但是它这种能动性
[01163.96-01168.52] 它的这种专业水平无米也做不出来
[01168.52-01170.88] 所以在这里无米它其实是什么
[01170.88-01172.48] 是实际情况
[01172.48-01175.44] 这里面你在然后实际情况不允许
[01175.44-01176.80] 那你就听话之下
[01176.80-01177.80] 你也做不好
[01177.80-01179.36] 所以巧复难为无之推
[01179.36-01182.08] 有没有体现客观实际情况起据这么作用
[01182.08-01182.68] 有
[01182.68-01183.44] 有的话
[01183.44-01186.60] 你就可以选这三句话当中的任何一句话
[01186.60-01188.52] 所以在这里面大注意下
[01188.52-01189.92] 物质本身的概念
[01189.92-01191.08] 我们要去理解
[01191.08-01193.60] 而理解这个概念的目的
[01193.60-01196.56] 是要把概念背後的關鍵技巧抽象出來
[01196.56-01198.16] 幫助我們去應示
[01198.16-01199.50] 所以同你們就可以
[01199.50-01202.00] 啟愛的處於應示的角度去理解
[01202.00-01204.34] 所謂的物質就是客觀實際情況
[01204.34-01207.28] 因為它標準著客觀實在的則行範疇
[01207.28-01208.50] 在這裡帶著一下
[01208.50-01210.32] 這是我們今天要給大家去講的
[01210.32-01212.30] 第一個核心應示技巧
[01212.30-01213.34] 拿捏了這個技巧
