[00000.00-00006.26] 好,那我們還剩生物醫學長時當中的最後一部分,就是生活中的醫學長時
[00151.10-00154.10] 另一方面就是防止它的种张技朵扩大
[00154.10-00156.10] 产生什么水泡
[00156.10-00158.90] 大家都知道其实像汤商或者是烧商这样的
[00158.90-00160.70] 商它其实是很难的
[00160.70-00161.90] 我们所说的好的
[00161.90-00163.90] 就是不太好遇合这伤口
[00163.90-00166.90] 所以在这里面大家遇到这种问题的要几身处理
[00166.90-00168.78] 所以在这里标准一下圈三
[00168.78-00170.62] 就是用凉水充洗的目的
[00170.62-00171.86] 就是第一个是指痛
[00171.86-00173.62] 大家如果被痛过的话
[00173.62-00174.26] 其实应该知道
[00174.26-00175.22] 就是你接到凉水
[00175.22-00175.90] 去充他的时候
[00175.90-00177.22] 这个手就不会有那种
[00177.22-00179.82] 火烂烂的那种左烧的温感觉了
[00179.82-00180.62] 所以它的目的
[00180.62-00181.54] 第一个在指痛
[00181.54-00182.26] 第二个就是
[00182.26-00185.38] 它能够起到某种程度的销种的作用
[00185.38-00188.14] 只让这个地方迅速能够冷却一下
[00188.14-00190.10] 不会再让它循环
[00190.10-00192.14] 导致它种张非常的严重
[00192.14-00193.10] 所以在这里
[00193.10-00193.98] 第三个点
[00193.98-00194.90] 就是指痛
[00194.90-00196.94] 減少胜出和种障
[00196.94-00198.22] 这是它的目的
[00198.22-00199.14] 那第4个点
[00199.14-00200.02] 大家也都知道
[00200.02-00202.34] 如果发生汤汤汤的话是不可
[00202.34-00204.38] 甚至在伤口出土耀的
[00204.38-00205.90] 比如说像我老了
[00205.90-00206.94] 他经常就跟我说
[00206.94-00208.98] 说我以前汤汤汤的时候
[00208.98-00210.02] 都总办了土点
[00210.02-00210.66] 大家
[00210.66-00211.66] 土点降油
[00211.66-00212.50] 我当时一听
[00212.50-00213.66] 土大降土降油
[00213.66-00215.34] 我都感觉我那块肉都可以吃了
[00215.34-00216.14] 所以在这里面
[00216.14-00217.18] 大家知道
[00217.18-00218.14] 汤汤汤之后
[00218.14-00219.74] 他其实形成了一些
[00219.74-00220.74] 微小的窗口
[00220.74-00222.14] 或者说这块组织相当来
[00222.14-00223.38] 是已经比较脆弱了
[00223.38-00224.66] 如果在这种情况之下
[00224.66-00227.22] 用一些土外 比如土教油土大教
[00227.22-00228.70] 土一些植物油的话
[00228.70-00231.22] 很容易導致什么 商口感染的
[00231.22-00233.62] 所以在这里面大家注意一下是不可
[00233.62-00235.94] 甚至在商口出土耀
[00235.94-00239.38] 更不能土教油或者植物油等等
[00239.38-00241.50] 那除了是那一道重情话怎么办呢
[00241.50-00243.86] 如果说香港来说汤商的情况
[00243.86-00245.82] 它不是很严重 只会出现
[00245.82-00247.46] 我们所说的小面积的这种
[00247.46-00248.70] 饭红的这种情况
[00248.70-00250.70] 而且没有特别强烈的折烧感的话
[00250.70-00253.02] 用两水冲洗之后就可以土一些
[00253.02-00255.70] 我们所说的汤商高就可以图一些这些要
[00255.70-00258.82] 但是如果说汤商的程度比较严重的话
[00258.82-00260.38] 已经严重到什么程度了呢
[00260.38-00261.38] 再看一下圈
[00261.38-00265.18] 第四点就是我们要掌握的最后一个小的细节
[00265.18-00267.06] 如果汤商出油水泡的话
[00267.06-00269.22] 那这种情况之下水泡能不能挑破
[00269.94-00270.94] 大家注意一下
[00270.94-00272.22] 水泡不能挑破
[00272.22-00274.62] 因为我们没有办法处理里面的这种情况
[00274.62-00277.66] 所以这种情况之下应该用干净砂布副改之后
[00277.66-00279.38] 立即去源处理
[00279.38-00282.06] 所以这是用对汤商大家要掌握的
[00282.06-00283.14] 这几个细节
[00283.14-00286.02] 这里面的细节就在于第一个水温
[00286.02-00287.18] 第二个时间
[00287.18-00289.46] 第三个就是不能土耀这个大家都知道了
[00289.46-00290.58] 第四一个就是
[00290.58-00292.42] 它的水泡的问题怎么处理
[00292.42-00294.74] 就是越快就一越好
[00294.74-00296.66] 这是第一个我们所说的叫做
[00296.66-00298.22] 汤商大家知道
[00298.22-00300.26] 那第二个就是一冷一热
[00300.26-00302.06] 又汤商就有动商
[00302.06-00304.46] 那在动商这个地方大家来看一下
[00304.46-00307.42] 说早期的动商应用一物混温热的手
[00307.42-00308.74] 覆盖受动的部位
[00308.74-00310.06] 或其他身体表面
[00310.06-00313.42] 使之保持释盪温度以維持足夠的血緩
[00313.42-00315.30] 所以在動傷發生之時
[00315.30-00316.54] 大助一下圈一
[00316.54-00319.06] 要保證释盪的温度
[00319.06-00321.18] 大家注意下把這個去取得標準一下
[00321.18-00324.42] 就是用醫護或者是溫熱的手去覆蓋
[00324.42-00326.54] 度上的這個表面保證释盪温度
[00326.54-00328.86] 如果動的眼中的話這個地方就動壞了
[00328.86-00329.98] 或者是動壞死了
[00329.98-00332.70] 那這樣的話就是不肯定的這樣一個傷害
[00332.70-00334.18] 所以要保證释盪温度
[00334.18-00336.10] 但這裡它說的其實非常明確
[00336.10-00338.22] 一定是要怎麼樣释盪的温度
[00338.22-00339.86] 能不能快速生温呢
[00339.86-00344.42] 不行,所以大家这里,它提到了一个点,同标主一下圈儿啊。
[00344.42-00348.98] 但是不可使,只提出于干涉,或者是滚漫,
[00348.98-00353.54] 不复闻的情况,会进入属商,又也不能对它进行相的怎么样。
[00353.54-00359.58] 也不能对它进行相的,摩擦,因为摩擦和处在干涉的状态,本身是一样的,会造成组织損伤。
[00359.58-00365.82] 大家知道动商,比如说像东天的时候,在东北特别的老,如果充满不在冒的身传的话,
[00365.82-00366.90] 多数都会动坏
[00366.90-00370.68] 然后或者是手就会生动窗或者是动的就是通红
[00370.68-00371.30] 就是那种
[00371.30-00372.42] 矮就分的那种红种
[00372.42-00374.46] 就是我们都没有看过的那种
[00374.46-00375.58] 在这种情况之下
[00375.58-00376.70] 如何具体有赴问
[00376.70-00377.34] 大家注意一下
[00377.34-00380.02] 一定是要不能处在干涉的状态
[00380.02-00381.14] 比如说你在服问的时候
[00381.14-00383.30] 就可以用是某些回归热的某些
[00383.30-00385.22] 去处理一下这样的一些动执
[00385.22-00387.02] 但是温度不能过稿
[00387.02-00388.22] 温度一定不能过稿
[00388.22-00390.90] 所以它说不可处于干涉状态
[00390.90-00392.58] 或者是管漫服问
[00392.58-00394.90] 那就是不能说让它自己自行的这种
[00394.90-00396.14] 那只能是也不行的
[00396.14-00399.10] 所以这是我们所说的对于动商的一个处理
[00399.10-00401.50] 这里面需要同们注意的两个细节
[00401.50-00402.46] 大家注意一下
[00402.46-00403.42] 是第二个
[00403.42-00406.10] 那第三个在这里面就会提到另外一个问题
[00406.10-00407.78] 就叫做关节纽商
[00407.78-00409.34] 关节纽商的处理方式
[00409.34-00410.06] 同们注意一下
[00410.06-00410.90] 关节纽商
[00410.90-00413.62] 它的处理要求是先冷夫
[00415.34-00418.50] 现在旁边是先冷夫在热服
[00418.50-00420.22] 这个地方就经常会考察
[00420.22-00422.82] 它的一个处理的程序和环节
[00422.82-00424.88] 有了考试或者大部分考试
[00424.88-00426.28] 他就会在这里经常说
[00426.28-00429.18] 我们要做到是先肉服在冷服 那就反了
[00429.18-00431.22] 一定是先冷服在肉服
[00431.22-00434.02] 所以第一个冷服大家要注意一下这么几个点
[00434.02-00435.86] 第一个冷服的时间是多少呢
[00435.86-00439.22] 48211那要进行冷服
[00439.22-00440.10] 第一个点
[00440.10-00442.30] 第二个点就是冷服的目的是什么
[00442.30-00443.42] 大家一定要知道
[00443.42-00445.70] 我们说了在关节纽商之后
[00445.70-00448.54] 关节出会产生很多的这种机业
[00448.54-00451.50] 如果说你现在这个关节里面已经纽商了
[00451.50-00452.38] 已经有机业了
[00452.38-00456.66] 这时候你在恶夫我们都知道热叛能够促进血血黄
[00456.86-00459.42] 那导致的你的这个女生的关节就会怎么样
[00459.62-00460.82] 越种越大,越种越大
[00461.02-00466.30] 所以在进行关节女生的时候要先冷福冷福的目的就是减少关节到种障
[00466.50-00468.46] 所以在这里面,书上已经给到了
[00468.74-00471.46] 坏下就是减少局部的血涩
[00471.74-00474.22] 就是不让它种的那么厉害,坏的话说呢
[00474.62-00477.42] 我们冷福的目的就是销主,好,我们就简单记
[00477.42-00482.42] 冷夫的目的就是销主大家要注意一下
[00482.42-00485.42] 这是我们所说的冷夫这是第一个
[00485.42-00488.42] 冷夫销主之后就说来了这个地方相对来说冷静下来了
[00488.42-00492.42] 然后接下来在怎么样在热夫热夫的要求第一个时间
[00492.42-00499.42] 时间在书上他已经给到了说初雪停止后在热夫在这种情况之下
[00499.42-00502.42] 初雪停止后热夫一般请按下时间是什么呢
[00502.42-00504.42] 他有考试的时间在这种情况之下
[00504.42-00506.18] 这下他说过两种情况
[00506.18-00508.46] 一种情况他说是24.1
[00508.46-00510.34] 一种情况的48.1
[00510.34-00511.94] 这两种情况都对
[00511.94-00514.86] 所以你看在选项当中说24.1
[00514.86-00515.94] 或48.1
[00515.94-00517.62] 你不要纠结这个时间
[00517.62-00518.58] 你就知道
[00518.58-00519.70] 它是24.1
[00519.70-00521.06] 那种符合48.1
[00521.06-00522.34] 那肉符都可以
[00522.34-00524.58] 就是它这两个时间在考试的选项当中
[00524.58-00525.66] 都出现过
[00525.66-00526.62] 不用去纠结
[00526.62-00528.18] 那肉符的目的是什么呢
[00528.18-00529.58] 这个时候我们说了
[00529.58-00531.18] 你优伤的地方已经不在初期
[00531.18-00532.58] 也或者不在出血了
[00532.58-00533.86] 通过冷符
[00533.86-00535.14] 它是不是已经销走了
[00535.14-00537.26] 接下来是不是要关节副院
[00537.26-00538.22] 减少预血
[00538.22-00539.14] 不知道它那么统热
[00539.14-00540.22] 它快点好了
[00540.22-00543.26] 所以这时候热服能够加速血血环
[00543.26-00546.10] 带带动作为的预血进早的销塞
[00546.10-00547.78] 所以在这里面我们都知道
[00548.78-00550.26] 热服的目的就是干嘛的
[00550.26-00552.82] 就是区域或者是叫做火血化域吧
[00554.02-00557.06] 这做火血化域
[00557.06-00559.50] 就是让这个地方进早的好一些
[00559.50-00561.26] 这有时候加速血血环
[00561.26-00564.94] 就可以把這些獄血進快的給他循環掉
[00564.94-00567.06] 那這時候我們所說的這個女生
[00567.06-00570.34] 他的恢復效果和程度都是非常好的
[00570.34-00571.90] 那這裡面大家就要注意到
[00571.90-00575.74] 第一個就是他的一個順序不能換
[00575.74-00576.74] 第二個時間
[00576.74-00578.42] 第三個就是他達到的目的
[00578.42-00579.94] 這是關節女生
[00579.94-00580.86] 只關節女生
[00580.86-00582.46] 所以這是第三個
[00582.46-00584.78] 那第四個就是骨折
[00584.78-00587.02] 骨折在這裡面不太考察
[00587.02-00588.58] 同一面簡單看一下就行了
[00588.58-00591.02] 說對於我們所說的骨折的這些人員
[00591.02-00593.84] 要对商执进行固定在送医院
[00593.84-00595.70] 否则他如果商执没有固定
[00595.70-00597.36] 还在台的过程可能
[00597.36-00598.84] 很容易对他造成20伤害
[00598.84-00600.70] 所以只割折处理的情况
[00600.70-00602.94] 要对商执进行固定在送医院
[00602.94-00604.94] 这个点不做重点去掌握
[00604.94-00606.02] 了解下就行
[00606.02-00607.48] 第5个点在这里面
[00607.48-00608.18] 同时注意一下
[00608.18-00610.74] 这是我们所说的逆水
[00610.74-00614.26] 逆水在我们所说的考试当中
[00614.26-00616.36] 过生考的时候考察过
[00616.36-00618.38] 他主要是考察逆水
[00618.38-00621.66] 他的一个处理的方法以及就任的基本情况
[00621.66-00622.54] 谁能第一个呢
[00622.54-00623.86] 他说逆水的话
[00623.86-00625.30] 那主要就是要去救人
[00625.30-00627.26] 那对我们所说的逆水者
[00627.26-00628.82] 他如何实行失究呢
[00628.82-00629.66] 其实第一个点
[00629.66-00630.46] 大家注意一下
[00630.46-00632.06] 对于逆水者的失究
[00636.14-00636.90] 大家注意
[00636.90-00638.22] 在旁边标注意下
[00638.22-00639.86] 对于逆水者的失究的话
[00639.86-00640.94] 我们一般分情况
[00640.94-00641.26] 对吧
[00641.26-00641.94] 首先第一个呢
[00641.94-00643.26] 就是看逆水者
[00643.26-00645.66] 他的逆水是否还清醒
[00645.66-00646.06] 对不对
[00646.06-00648.22] 如果逆水者逆水相对来说是
[00648.22-00670.42] 清醒的话,你再去石舊的手往往就是我们所说的环报主,他托住他头,然后在这种情况之下呢,我们给他带到按边,但是如果逆水者,在这种情况之下,他的意识不是很清醒,或者说他是在急区,金孔和害怕的情况之下,你再去石舊的时候,大家一定要注意一下要从背后,环报主逆水者。
[00670.42-00675.18] 把这个脸鞋旁边
[00675.18-00677.46] 只是当时考试的一个选项
[00677.46-00679.70] 要从背后环保密睡着
[00679.70-00681.14] 为什么要从背后搭乡
[00681.14-00683.34] 当它急剧金孔和害怕的时候
[00683.34-00685.14] 它现在本能的反应就是啥
[00685.14-00687.54] 本能反应它就是想找一个救命的道草
[00687.54-00689.38] 如果你现在从正面环保祖他
[00689.38-00690.86] 它是不是处在一个正打的状态
[00690.86-00692.42] 那它处在一个正乱状态的话
[00692.42-00694.94] 它很容易把这个施就抬下水血
[00694.94-00696.94] 就是它这个破通破通水很容易
[00696.94-00698.58] 一不小心打到它的施就折
[00698.58-00699.74] 没救人就成功
[00699.74-00702.48] 那重新玩笑可能也對自身造成一種傷害
[00702.48-00704.78] 所以在這裡第一個就是要從背後
[00704.78-00707.58] 一般情要環保你水準從背後去暴住他
[00707.58-00709.22] 那在手在前面鋪頭
[00709.22-00711.36] 他其實也傷害不到十救人員
[00711.36-00711.76] 對吧
[00711.76-00714.46] 所以第一個就是我們所說的對於你水準的十救
[00714.46-00716.06] 他的一個情況問題
[00716.06-00717.66] 這是第一個點代表注意
[00717.66-00720.60] 那第二個就是當你水者被救援之後
[00720.60-00721.50] 說要脫上案
[00721.50-00722.42] 然後脫上案
[00722.42-00723.50] 在這種情況之下
[00723.50-00724.94] 怎麼去進行急救呢
[00724.94-00726.10] 如果在這種情況之下
[00726.10-00727.46] 你水者被脫下之後
[00727.46-00729.14] 已經沒有意識了
[00729.14-00729.64] 就很坏硬
[00729.64-00731.38] 已经相对来说有昏过去了
[00731.38-00732.38] 那这种情况之下
[00732.38-00733.60] 我们失究的方法
[00733.60-00734.98] 就是不下锁事
[00734.98-00735.94] 那如下的首先
[00735.94-00739.28] 第一个就是清楚口语当中的杂物
[00739.68-00740.50] 这是第一个点
[00740.50-00742.20] 就是看一下有没有泥沙
[00742.20-00744.50] 我们所说的这样的一些其他的一些杂物在
[00744.50-00745.78] 但是如果是有这些东西的话
[00745.78-00747.66] 是否很容易造成它的志息
[00747.66-00748.70] 所以在这里第一个
[00748.70-00750.30] 就是清楚口语中的杂物
[00750.30-00752.74] 第二个就是要对它进行人工
[00752.74-00754.62] 呼吸的品率
[00754.62-00755.34] 大家注意一下
[00755.34-00756.70] 因为有点小好
[00756.70-00757.94] 对于人工的呼吸
[00757.94-00759.22] 他是要求不要
[00759.22-00760.76] 如果是针对于承认的话
[00760.76-00762.92] 我们考试的时候主要主考承认
[00762.92-00765.88] 这呼吸的频率是12次没分钟
[00767.16-00769.16] 就是你要给他去渡气的话
[00769.16-00771.16] 你这有说频率不能太慢了
[00771.16-00773.40] 那一般情况之下就是12次没分钟
[00773.40-00776.00] 大家一定要注意一下这是第二个人工呼吸
[00776.00-00778.74] 那但是这人工呼吸的时候还要做什么呢
[00778.74-00780.56] 兄外新藏的按摩
[00780.56-00783.54] 也就是我们所说的这个心费复苏
[00783.54-00785.72] 那在新藏按摩的这个复苏当中
[00785.72-00786.74] 大家也要知道
[00786.74-00789.74] 咱们的心情是一样的
[00789.74-00792.54] 它具体的情况就是我们所说的
[00792.54-00796.14] 在进行安安的时候要用你的身体的自身中量去
[00796.14-00799.94] 然后按压的地点是双路之间中间偏下一点的地方
[00799.94-00803.34] 然后去进行相对的这种心脏的这种安压
[00803.34-00804.74] 对吧所以大家要注意一下
[00804.74-00807.54] 如果在这里它的安压的这个屏色
[00807.54-00808.74] 如果不足的话
[00808.74-00811.14] 其实也没有办法起到像的效果
[00811.14-00812.94] 所以在做心情的所说的
[00812.94-00816.14] 其实对于我们所说的大人和小孩
[00816.14-00817.78] 它也是阿拉的便利不一樣
[00817.78-00819.78] 但是我們一般考試的時候考什麼呢
[00819.78-00821.82] 一般考試的時候會考大人
[00821.82-00823.94] 按壓的速度
[00823.94-00825.74] 它其實是有好幾種說法的
[00825.74-00826.78] 一般情況之下
[00826.78-00828.14] 按壓的這個頻率
[00828.14-00829.94] 它要求是一分鐘
[00829.94-00831.98] 一百到一百二十下左右
[00831.98-00833.26] 所以標準在旁邊
[00833.26-00837.78] 按壓的頻率是每分鐘一百到一百二十次左右
[00841.06-00841.94] 寫在旁邊
[00841.94-00845.58] 它的按壓的頻率是一分鐘一百到一百二十次左右
[00845.58-00848.46] 如果說你按壓的頻率小於100的話
[00848.46-00850.70] 它其實由於壓力不足它是不啟動
[00850.70-00851.74] 太大的做用
[00851.74-00854.86] 如果說按壓的頻率大於20分鐘的話
[00854.86-00855.90] 那頻率過高的話
[00855.90-00857.74] 可能鴨的過快
[00857.74-00860.38] 就是容易使患者的這個兄弟充滿回談
[00860.38-00863.34] 那心臟它沒有把心臟它出一收一收一收
[00863.34-00864.46] 那壓的過快的話
[00864.46-00866.46] 這個心臟它就沒有足夠的時間
[00866.46-00869.02] 去幹嘛去一收一收一收一收一收一收的這種
[00869.02-00870.30] 就沒有回談的時間了
[00870.30-00873.42] 那你陸進去的氣息及你的按壓的這個過程
[00873.42-00876.36] 它其实也没有办法达到一整个效果
[00876.36-00876.66] 对吧
[00876.66-00878.34] 所以在这里面大家注意一下
[00878.34-00880.34] 这个是对它十九当中
[00880.34-00882.50] 我们需要掌握的这个细节
[00882.50-00884.98] 这是第2个我们需要注意的
[00884.98-00888.82] 我们在对师傅上按之后如何去
[00888.82-00890.14] 我们所说的十九
[00890.14-00891.58] 第3一个它后面就说了
[00891.58-00893.14] 说江逆水者就上按后
[00893.14-00894.42] 如果发现新挑
[00894.42-00896.30] 以天后集继续为若要实行
[00896.30-00897.58] 兴外新章按摩
[00897.58-00899.46] 然后它说间接按摩
[00899.46-00901.58] 新章实际收缩或输章
[00901.58-00903.06] 这个就是我们所说的
[00903.06-00904.86] 它的一个原理
[00904.86-00908.50] 就是间接按摩新藏使弃收锁与书章
[00908.50-00909.90] 恢复共学功能
[00909.90-00912.10] 还真让它的身体激动活过来
[00912.10-00913.50] 这个就是我们所说的
[00913.50-00915.62] 新费服俗或者是胸外性
[00915.62-00916.70] 新藏按摩
[00916.70-00918.30] 这个地方就是借助外力
[00918.30-00919.90] 我们说了新藏有收有说
[00919.90-00921.02] 这也是刚才我们说了
[00921.02-00923.14] 不能便宜太快的原因
[00923.14-00925.74] 不然新藏就没有回谈的时间了
[00925.74-00927.50] 所以这是第3个细节
[00927.50-00928.38] 大家注意一下
[00928.38-00933.14] 这是我们所说的关于逆水,19它一个基本要求,这是第一个
[00933.14-00936.90] 那这样一下看就是第六个点,就是摸构摇伤
[00936.90-00939.86] 那一般情况下我们所说的养的这种重物狗的话
[00939.86-00944.34] 它一般情况,都是有这种打完了疫苗的这样一个证明的
[00944.34-00947.34] 对吧,摸构在家养的说一般都是要去打疫苗
[00947.34-00951.54] 但是有很多案件像农村的话呢,它其实不太会注重这方面
[00951.54-00955.46] 所以对于摸构的摇伤的这种处理,就一定要变得格外的这种
[00955.46-00958.14] 注意 大陸知道这个摩构有上
[00958.14-00960.24] 主要是因为这些动物它协在什么呢
[00960.24-00961.60] 协在狂权病毒
[00961.60-00964.18] 就是大家知道摩构狐狸这一类的动物
[00964.18-00966.46] 它其实都协在的就是狂权病毒
[00966.46-00968.38] 而狂权病毒的制死率
[00968.38-00970.06] 它其实是百分之一外的
[00970.06-00971.46] 大约想象不到对吧
[00971.46-00973.26] 狂权病毒制死率是百分之百
[00973.26-00976.22] 就是如果没有即使去打这个狂权疫苗的话
[00976.22-00978.76] 那这种情况这下机枯就活不成了
[00978.76-00981.26] 之前在网上有一个微博
[00981.26-00982.86] 不知道大家有没有去看
[00982.86-00984.26] 我当然看了之后呢
[00984.26-00985.58] 非常地震驚
[00985.58-00987.66] 他那个微博上面写的就是
[00987.66-00990.62] 他说我希望能够引起更多人的重视
[00990.62-00992.18] 因为他真的是太可怕了
[00992.18-00993.98] 他这个微博的标题是这样的
[00993.98-00995.02] 然后他讲的是什么事呢
[00995.02-00997.74] 就说他在工作的时候就一个女孩子
[00997.74-00998.98] 他说有一天在工作的时候
[00998.98-01001.50] 突然接到他父亲给他打的电话
[01001.50-01003.86] 他当时的父亲就是说得很着急嘛
[01003.86-01006.42] 他因为他就觉得是家里发生了什么事
[01006.42-01007.62] 然后他就问他父亲
[01007.62-01009.86] 他父亲说就一句话两句话说不清楚
[01009.86-01012.30] 就跟着女孩说他说你赶紧回来
[01012.30-01014.54] 回来看看你妈了吧,挺严重的
[01014.54-01016.86] 这个女孩就赶紧的开车
[01016.86-01019.02] 回到她的老家里面
[01019.02-01020.42] 回到她家之后
[01020.42-01021.58] 她就看到她妈
[01021.58-01023.78] 当然她在现成功子在浓村
[01023.78-01025.30] 然后就看到她妈
[01025.30-01026.94] 整个状态都可以不好
[01026.94-01029.26] 她妈就躺在那个屋子里的那个床上
[01029.26-01030.22] 盖着那个背
[01030.22-01033.42] 然后发出很难受的伸引的声音
[01033.42-01034.82] 她一看她妈们怎么那样
[01034.82-01035.86] 这就问她爸怎么了
[01035.86-01036.94] 她说她也不知道
[01036.94-01039.06] 说前几天还好好的一位是感贸
[01039.06-01041.16] 就是觉得没有什么事结果呢
[01041.16-01042.64] 就现在就变成这个样子了
[01042.64-01044.44] 然后他妈就是很难受到躺在那儿
[01044.44-01046.64] 一边躺在那边还说可
[01046.64-01047.54] 想喝水
[01047.54-01049.24] 只是一边躺在那边说可
[01049.24-01050.44] 就是想喝水
[01050.44-01052.24] 然后他就给他妈妈滴水
[01052.24-01054.34] 然后给他妈妈滴水的这个过程当中
[01054.34-01056.32] 他妈妈就是看到那个水
[01056.32-01058.12] 然后组会把水打翻
[01059.22-01061.72] 然后他就觉得这就有点不对劲
[01061.72-01062.52] 然后后来呢
[01062.52-01064.36] 他就说的感觉拉着他妈妈
[01064.36-01066.58] 只是去医院看一下
[01066.58-01068.46] 然后结果去医院的时候
[01068.46-01070.58] 医生就给他妈妈去检查
[01070.58-01071.54] 检查之后
[01071.54-01073.70] 然后就跟这个小女孩说
[01073.70-01075.78] 说你妈妈最近有没有什么意乏
[01076.82-01077.82] 然后后来呢
[01077.82-01078.98] 这个小姑娘他就说
[01078.98-01080.02] 他说没有什么意乏
[01080.02-01081.42] 爸说没有什么意乏
[01081.42-01082.26] 然后后来呢
[01082.26-01083.30] 这个医生就给他妈妈
[01083.30-01084.66] 就给他妈又检查了一遍
[01084.66-01085.54] 然后就跟他说说
[01085.54-01088.82] 你妈妈最近是不是有被狗摇过
[01088.82-01091.14] 然后后来一问才知道是被狗摇过
[01091.14-01092.18] 而且已经过了好几天
[01092.18-01093.58] 然后当时那个医生
[01093.58-01095.46] 就跟他说说那个
[01095.46-01097.70] 没有办法了
[01097.70-01100.54] 已经过了最佳的时间了
[01100.54-01101.62] 然后就跟他说
[01101.62-01104.22] 说回去准备后事吧
[01104.22-01105.46] 当时这个小姑娘
[01105.46-01107.22] 他就在他的那个微博里说
[01107.22-01109.14] 他说他才20多世代
[01109.14-01111.06] 他说他就要没有母亲了
[01111.06-01112.54] 然后他就说那个医生
[01112.54-01114.54] 我们想一想办法
[01114.54-01116.66] 然后就是在争取一下
[01116.66-01118.10] 或者说不要他们那么痛苦
[01118.10-01119.06] 医生说没有办法了
[01119.06-01121.26] 说就要不你们去试语院去看看
[01121.26-01123.06] 后来他们就开始说
[01123.06-01128.10] 两个她妈妈去世约,但去世约之后一生跟这个女孩说的是同样的话
[01128.10-01131.46] 我来他们就没有办法就回家准备后世,然后她写的就是
[01131.46-01135.06] 说他们回家走的时候,她妈妈其实明显就已经不太醒了
[01135.06-01139.62] 但是这个时候她妈妈就是还是掉着一口气,没有眼下去吗
[01139.62-01143.22] 她说她知道就是她有个弟弟,她妈妈想到见到弟弟最后一面
[01143.22-01146.50] 后来的的弟弟回来之后,妈妈就走了就没有了
