[00000.00-00004.26] 那么了解了科技发展的昨天也就是科技发展史
[00306.12-00308.70] 当时就考到了这样的一个判断体
[00308.70-00310.18] 然后很多同学就蒙了
[00310.18-00311.88] 身体有很多同学上来就蒙
[00311.88-00313.36] 就觉得照体是对的
[00313.36-00315.08] 然后就把照体判对了
[00315.08-00316.68] 但是照体本身是错的
[00316.68-00317.20] 为什么
[00317.20-00319.00] 因为我们要在这里大家就说
[00319.00-00321.04] 今年历学他研究的是宏观世界
[00321.04-00322.52] 事务运动的一些规律
[00322.52-00323.60] 什么是宏观世界
[00323.60-00326.36] 就是我们能够入演官策的道的这一些
[00326.36-00328.84] 比如说人他在外面去行走
[00328.84-00330.16] 我在开车的时候
[00330.16-00332.36] 然后这个车台运行的基本情况
[00332.36-00334.32] 这些都叫做宏观世界
[00334.32-00336.12] 而微观世界的量子的律学
[00336.12-00339.08] 他的众圆里和宏观世界是完全不同的
[00339.08-00340.88] 微观世界当中的量子律学
[00340.88-00343.56] 比如提到的原子的运动
[00343.56-00344.52] 分子的运动
[00344.52-00345.76] 量子的运动等等
[00345.76-00348.12] 它其实都和经典地学体系
[00348.12-00351.20] 是某种程度上可能都是相伟被的
[00351.20-00354.36] 所以他们两个是研究不同领域当中的力学
[00354.36-00356.72] 不能说谁补充了谁
[00356.72-00359.00] 所以刚才那体经典地学
[00359.00-00360.60] 它量子的体出
[00360.60-00362.24] 丰富了经典地学体系
[00362.24-00363.68] 种说就是错的
[00363.68-00366.04] 所以在这里面同学有一个基本概念
[00366.04-00367.16] 也是在这个地方
[00367.16-00369.24] 同学需要掌握的第一个点
[00369.24-00371.92] 一定要注意一下考察一个变息题
[00371.92-00372.90] 能够判论出来
[00372.90-00374.80] 它的说法是对的还是错的
[00374.80-00376.44] 那是第一个经典力选
[00376.44-00378.20] 那么说了竟然经典力选
[00378.20-00381.28] 它是用红官世界而它的经典的提出者
[00381.28-00382.12] 就是牛顿
[00382.12-00383.50] 我们就来了解一下
[00383.50-00386.04] 牛顿它的一些相关的运动定律
[00386.04-00387.60] 在牛顿运动定律当中
[00387.60-00389.36] 主要是力选三定律
[00389.36-00389.68] 对吧
[00389.68-00390.88] 这三定律当中
[00390.88-00392.32] 第一个叫做牛顿
[00392.32-00393.16] 第一定律
[00393.16-00394.80] 也叫做灌性定律
[00394.80-00397.00] 这个灌性定律是在考试当中
[00397.00-00398.96] 比较常见和常好的
[00398.96-00401.26] 我们要从两个角度来掌握它
[00401.26-00404.64] 第一个就是在之前考试的时候考察过
[00404.64-00406.08] 关心定律的概念
[00406.08-00408.18] 来看一下关心定律说的是什么
[00408.18-00409.20] 他说
[00409.20-00413.42] 一切无体总保持云素直线状态
[00413.42-00415.30] 或者是我们所说的静止状态
[00415.30-00418.66] 除非作用在它上面的立破是它改文种状态
[00418.66-00420.32] 也有说一个物体
[00420.32-00422.20] 它在进行运动的时候
[00422.20-00424.00] 如果你不给它施加一个外里
[00424.00-00425.80] 它就会永远运动下去
[00425.80-00428.50] 一个物体如果是放在这一动不动静止的
[00428.50-00430.10] 你不给他施加一个賴里
[00430.10-00432.22] 他就会永远竞止下去
[00432.22-00434.06] 那这个就是我们所说的什么
[00434.06-00435.66] 做做关心定日
[00435.66-00437.06] 所以在这里就知道是
[00437.06-00438.74] 失误运动的状态
[00438.74-00440.46] 他要有賴里
[00440.46-00441.98] 或者是他改变
[00441.98-00443.58] 这个点通风不需要说
[00443.58-00445.02] 一字不差的就能备下来
[00445.02-00446.74] 你只需要大概在这里
[00446.74-00448.10] 有一个印象知道
[00448.10-00449.46] 关心对率说的是啥
[00449.46-00450.42] 就OK了
[00450.42-00451.38] 那这是第一个
[00451.38-00453.22] 需要我们掌握住他的原力
[00453.22-00454.98] 那你知道了牛顿第一定率
[00454.98-00456.02] 他的原理之后
[00456.02-00457.46] 那第二点我们来看一下
[00457.46-00459.38] 也是我们需要掌握的重点
[00459.38-00461.30] 这是这个关性定率
[00461.30-00463.58] 它在日常生活当中的应用
[00463.58-00465.50] 这个应用其实就在我们身边
[00465.50-00467.06] 比如说同们画一下第一个
[00467.06-00469.50] 说汽车突然沙车的时候
[00469.50-00471.54] 乘客的身体会相得行
[00471.54-00473.06] 会向前秦
[00473.06-00474.98] 这个载说比如说现在
[00474.98-00475.90] 这是一辆车
[00475.90-00476.22] 对吧
[00476.22-00477.42] 这是一辆车车
[00477.42-00480.22] 然后现在你就坐在车里车车
[00480.22-00481.54] 有这个窗户
[00481.54-00482.50] 然后还有门
[00482.50-00483.38] 然后前面
[00483.38-00484.46] 是这个司机
[00484.46-00485.26] 在开车
[00485.26-00486.66] 手握方向排在开车
[00486.66-00489.48] 然后这是你作在这个车里面
[00489.48-00490.24] 这是你
[00490.24-00491.26] 作在这个车里
[00491.26-00494.22] 如果现在车是往前行使的
[00494.22-00497.26] 现在司机突然一脚把车踩住
[00497.26-00498.42] 就是撒车了
[00498.42-00500.94] 撒到撒车的时候我们会发现出现什么情况
[00500.94-00502.98] 当气车撒车的时候
[00502.98-00504.58] 它会出现两种情况
[00504.58-00506.82] 第一种情况的就是车已经停了
[00506.82-00509.74] 车停了就意味着你的腿
[00509.74-00512.78] 你的下半身已经停住了
[00512.78-00514.30] 但是你的上半身
[00514.30-00516.14] 我们都知道它由于灌性
[00516.14-00517.98] 它是不是刚才车异这在往前走
[00517.98-00520.54] 所以上班是由于贵星还会往前走
[00520.54-00523.02] 所以你的上班身是向前的
[00523.02-00527.42] 这个向前就是原资于你原的运行的这样一个关心
[00527.42-00529.98] 那它向前的话你的腿已经停了
[00529.98-00532.34] 但是你身座前走到这的结果就是什么
[00532.34-00535.94] 到这的结果就是你感觉你的身子会前轻
[00535.94-00537.74] 对吧这是我们常见的
[00537.74-00539.86] 汽车行使它的关心定力的运用
[00539.86-00541.38] 那如果把这个运用扩大
[00541.38-00542.50] 其实也是一样的
[00542.50-00544.54] 如果说汽车现在不是行使
[00544.54-00546.54] 青春現在是處在精指狀態
[00546.54-00548.54] 而你突然發動汽車
[00550.14-00551.94] 突然開車
[00551.94-00554.54] 這時候車上的乘客
[00556.54-00557.54] 會怎麼樣
[00557.54-00561.54] 車上的乘客會覺得會受到乘客的後輩
[00561.54-00564.54] 其實會受到一輩的擠壓的
[00565.54-00569.54] 會受到一輩的擠壓
[00569.54-00576.16] 这个就是我们所说的小排量的推越感 对吧
[00576.16-00578.20] 主要的原因在什么一样的
[00578.20-00580.34] 如果车的原本是静止状态
[00580.34-00582.26] 现在车突然启动了
[00582.26-00584.70] 车启动了就意味着你的腿开始怎么样
[00584.70-00586.90] 你的腿开始往前走了
[00586.90-00588.66] 你的下半身已经开始往前行了
[00588.66-00590.50] 但是你的上半身还处在什么
[00590.50-00593.26] 上半身还处在一个静止状态
[00593.26-00594.90] 那你看一下导致的结果就是
[00594.90-00596.82] 你腿走了上半身还没动
[00596.82-00598.42] 那车的椅座都已经走了
[00598.42-00599.64] 你的伤办生处于竞争
[00599.64-00600.46] 那这个时候
[00600.46-00603.66] 你的后悲是不是就会受到这个作为的鸡牙呀
[00603.66-00605.78] 那它其实原理是一样的
[00605.78-00608.98] 所以在这里面同时把这两个现象去对比记忆
[00608.98-00611.70] 就是突然杀车它的身体会前清
[00611.70-00615.14] 突然开车我的后悲会受到一倍的鸡牙
[00615.14-00617.62] 这次关心定立它的第一个应用
[00617.62-00619.34] 那关心定立它的第二个应用呢
[00619.34-00622.10] 就是鱼航原能够离开飞机表注意一下
[00622.10-00624.18] 鱼航原在太空当中醒走
[00624.18-00626.58] 而不会怎么样被甩掉
[00626.58-00629.22] 原因也是因为什么 关心的作用
[00629.22-00630.22] 也是关心作用
[00630.22-00631.70] 这是第2个现象
[00631.70-00633.50] 第3个现象是什么呢
[00633.50-00635.42] 也是在考试当中经常会出现的
[00635.42-00636.94] 同时在旁边标注一下
[00636.94-00638.86] 关心定率它的第3个应用
[00638.86-00640.50] 就是空头物资
[00643.14-00644.06] 空头物资
[00644.06-00645.50] 空头物资怎么头呢
[00645.50-00646.62] 假设现在呢
[00646.62-00648.42] 我要给AB去头物资
[00648.42-00649.86] 我现在就派了什么过来
[00649.86-00651.42] 我现在就派了飞机过来
[00651.42-00653.46] 我飞机再去空头物资的时候
[00653.46-00656.14] 我是飞到A的正上方去头物资
[00656.14-00660.40] 还是快到A之前在这个第二个红料之的空头物资
[00660.40-00663.18] 我们都知道一般空头物资都是要什么
[00663.18-00664.78] 提前头放的
[00666.14-00667.62] 热老师为什么要提前头放呢
[00667.62-00670.22] 很简的还是什么还是关心对率
[00670.22-00671.66] 如果说提前头放的话
[00671.66-00672.62] 头放的这个物资
[00672.62-00675.82] 它由于关键还会往前非一段时间
[00675.82-00679.66] 往前非一段时间之后到A这个地方落下
[00679.66-00682.14] 如果说你在A这个地方去空头的话
[00682.14-00682.78] 那你看
[00682.78-00684.38] 那你空头的物资由于关键
[00684.38-00685.46] 还会往前非一段时间
[00685.46-00688.02] 它可能就落不到A的正商方了
[00688.02-00691.06] 所以我们说空头物子一般要提前空头
[00691.06-00693.06] 那这个就是我们所说的牛盾
[00693.06-00694.90] 第一定率叫冠形的率
[00694.90-00697.86] 它是在考试当中用用比较多的
[00697.86-00699.94] 这是第一个点 代表注意
[00699.94-00702.58] 那牛盾利学三定率除了冠形定率之外
[00702.58-00705.06] 第二个定率就叫做加速度定率
[00705.06-00706.58] 这个简单看一下就可以了
[00706.58-00708.10] 目前在考试当中
[00708.10-00709.30] 几乎没有考察过
[00709.30-00711.06] 所以可能好兴非常弱
[00711.06-00712.66] 它说物体加速度的大小
[00712.66-00714.58] 跟它所受到的重力程
[00714.58-00716.94] 正比跟质量成反比
[00716.94-00719.98] 加速度的方向跟重力的方向是相同的
[00719.98-00720.98] 也就是质量越大
[00720.98-00722.70] 加速度就会愿慢
[00722.70-00724.14] 这个地方简单开一下
[00724.14-00724.82] 就OK了
[00724.82-00727.10] 这个就是扭顿第二定率
[00727.10-00728.14] 扭顿当然了
[00728.14-00730.10] 利学三定率还有第三个
[00730.10-00730.70] 第三个
[00730.70-00733.10] 强调的是重力和反重力
[00733.10-00734.82] 这个点在考试当中
[00734.82-00736.30] 也考察过多次
[00736.30-00737.82] 但它考察过多次一般
[00737.82-00739.70] 请要是结合航空航天
[00739.70-00740.70] 支持来考察
[00740.70-00742.22] 我们来看一下
[00742.22-00744.10] 扭顿第三定率它的原理
[00744.10-00745.64] 同分标注一下穿衣
[00745.64-00752.50] 说两个物体之间的做力和反作量总是大小相等方向相反的
[00752.50-00754.86] 说做在同一条直线上
[00754.86-00757.16] 这个是我们所说的它的基本原理
[00757.16-00758.44] 举个简单的例子
[00758.44-00761.06] 当我们再去拉脆一个东西的时候
[00761.06-00762.86] 因为发现你拉脆这个东西的时候
[00762.86-00764.42] 你像这个物体施在一个里
[00764.42-00766.62] 这个物体本身也会存在一个反作力
[00766.62-00768.42] 这个力大注意下
[00768.42-00773.30] 它往往都是我们所说的大小相等而方向相反的
[00773.30-00776.22] 那這種情況之下就是做立和反作立
[00776.22-00780.14] 那做立和反作立在日常生活當中最為直接的一個表現
[00780.14-00782.74] 就是我們所說的假設你現在達人
[00782.74-00784.66] 對吧你現在呢比如說我吧
[00784.66-00787.46] 我現在達人我剛才都給我男朋友一個耳光
[00787.46-00790.06] 我誇一下打了他的臉上對吧
[00790.06-00791.46] 那這種情況之下你看
[00791.46-00793.74] 他的臉銅我的手疼唐
[00793.74-00794.90] 我的手也很痛
[00794.90-00796.46] 那為什麼現在這種情況之下
[00796.46-00799.06] 會出現我達人反而我的手會很疼呢
[00799.06-00802.18] 就是因為我達人是我給到了一個重力
[00802.18-00805.70] 那这时候他的脸可能会给我一个反作力
[00805.70-00808.50] 那这种情况之下是不是有做力和反作力
[00808.50-00812.50] 那这两个脸其实大小相当方向相反的
[00812.50-00815.02] 甚至包括你跟比尔白手二也是一样的
[00815.02-00816.94] 你看你在跟比尔白手二的时候
[00816.94-00818.74] 你像他的手释加一个脸
[00818.74-00820.34] 他的手回给你的这个脸
[00820.34-00822.50] 就是两个手掌之间的这个抗力
[00822.50-00823.34] 是不是一样的
[00823.34-00825.74] 也是大小相当方向相反的
[00825.74-00827.54] 那同时说那不对老实
[00827.54-00831.10] 那如果说脸是大小相当方向相反的
[00831.10-00833.26] 比如说在白手二的这个过程当中
[00833.26-00835.30] 那为什么还会有我会输掉呢
[00835.30-00837.10] 当你发力的内供
[00837.10-00840.90] 你们两个之间所接受的总理是大相等方向啊
[00840.90-00841.62] 相反的
[00841.62-00844.90] 那你输了的原因可能就在于几个方面
[00844.90-00846.58] 第一个可能是对方的速度
[00846.58-00847.22] 会更快
[00847.22-00849.74] 第二个就是当你这个历师家完了之后
[00849.74-00851.22] 对方也会实在一个历
[00851.22-00853.06] 如果对方施加那个历的话
[00853.06-00854.42] 比你原本施加的
[00854.42-00855.82] 给他的那个历妖大
[00855.82-00856.90] 这种时候也会输
[00856.90-00858.66] 但是在你们两个手二
[00858.66-00859.78] 开始掰的内供
[00859.78-00861.26] 你向他施加利的时候
[00861.26-00864.22] 他回于你的反踪力是一样大的
[00864.22-00867.42] 所以在这里就叫做大小相等合方向相反
[00867.42-00869.78] 大主义下这是第一个他的原理
[00869.78-00871.54] 第二个就是我刚才说了
[00871.54-00874.10] 他的应用在生活当中比较长线
[00874.10-00875.70] 他反而不太会考察
[00875.70-00877.58] 我们比较长线的生活现象
[00877.58-00880.54] 反而会和航空航天知识
[00880.54-00881.78] 结合再一块
[00881.78-00883.14] 就在这朋友来看一下
[00883.14-00884.54] 说火箭升空
[00884.54-00885.70] 为什么能够升空
[00885.70-00888.50] 是因为他噴出的气体的反踪力的作用
[00888.50-00890.14] 那这首火箭声空
[00890.14-00892.30] 它噴出气体的反作用力
[00892.30-00893.90] 就和我们所说的什么
[00893.90-00895.14] 我们所说的这个
[00895.14-00896.90] 重力的大小事相等的
[00896.90-00898.18] 所以在这里面大家注意下
[00898.18-00900.42] 它是由于反作用力的作用
[00900.42-00902.10] 这是它考察的第一个
[00902.10-00904.10] 我们要能够确明确的
[00904.10-00904.82] 第二个点
[00904.82-00907.46] 它除了考察过火箭声空的原因是因为
[00907.46-00909.22] 火箭噴射出来的一个东西
[00909.22-00910.70] 向外施加了一个作用力
[00910.70-00912.46] 然后地面
[00912.46-00914.10] 然后由于接受到这个作用力
[00914.10-00915.82] 有了一个反作用力
[00915.82-00917.14] 把这个火箭推出去
[00917.14-00918.46] 除了考察这个之外
[00918.46-00919.38] 还考察一个
[00919.38-00921.06] 这在火箭升空之后
[00921.06-00922.42] 说我们所说的
[00922.42-00923.54] 火箭升空之后
[00923.54-00925.10] 在火箭所带出去的
[00925.10-00926.38] 比如说神州飞传的
[00926.38-00928.42] 比如说在在人飞传当中
[00928.42-00931.26] 一个雨航员坐在飞传的
[00931.26-00932.06] 这个影子上
[00932.06-00934.62] 现在整个飞传是处在上升状态的
[00934.62-00935.26] 然后问
[00935.26-00938.18] 说这个雨航员坐在这个影子上
[00938.18-00939.26] 它所受到的
[00939.26-00940.38] 做力和反中力
[00940.38-00942.02] 大小之间的关系是什么
[00942.02-00943.74] 比如说现在火箭
[00943.74-00945.02] 带着在着航天
[00945.02-00946.46] 飞传上升了
[00946.46-00950.18] 飞船现在是一个上升的状态
[00950.18-00955.10] 然后说在飞船这个上升状态当中说雨航员
[00958.10-00960.10] 对作异
[00963.10-00964.38] 施家的
[00965.66-00967.70] 他当时问的不是施家的理由
[00967.70-00968.86] 我们要给他写完吗
[00968.86-00969.86] 施家的理
[00971.14-00973.94] 和作异
[00976.46-00982.46] 给的反作用力是一样大的
[00982.46-00988.96] 当时有很多同学在这个选丢中就没有选这个作用力和反作用力是一样大的
[00988.96-00992.96] 因为他受到了一个状态的民会说非常处在商生状态
[00992.96-00996.46] 非常自粹能上升那这首就与行员受到的相上的力
[00996.46-00997.96] 一定是大于相下的力的
[00997.96-01003.46] 所以他在那里面就选了一个我们所说的这个作异给与行员的力
[01003.46-01005.76] 他在做一生施加的力
[01005.76-01007.04] 他当时选的是这个
[01007.04-01008.06] 当时我问他
[01008.06-01009.08] 我说那你这个时候你怎么看
[01009.08-01009.86] 他就给我解释的
[01009.86-01010.88] 就是我刚才所说
[01010.88-01012.68] 他老实他都往上走了
[01012.68-01014.98] 他減往上走他速到的力
[01014.98-01017.80] 一定是向上的大鱼向下的
[01017.80-01019.32] 这句话不假同时们
[01019.32-01021.12] 但是刚才他有说的向上的力
[01021.12-01021.90] 大鱼向下的
[01021.90-01023.18] 这个本身是什么
[01023.18-01024.96] 是合力向上
[01024.96-01027.02] 而这个时候在选丢中问的是什么
[01027.02-01028.30] 就是问雨航圆
[01028.30-01029.58] 此时在
[01029.82-01031.88] 飞船当中的状态
[01031.88-01035.92] 它这个时候是问的作语所受到的作励和反众劣
[01035.92-01039.24] 这种情况下我们根据牛顿第三斤率说的是什么
[01039.24-01041.84] 大小相当方向相反
[01041.84-01044.56] 所以在这里面你只要看到作励和反众劣
[01044.56-01046.24] 别管它处在什么样的状态
[01046.24-01047.96] 你就把握住一个点就行了
[01047.96-01050.64] 就是大小相当方向相反住OK了
[01050.64-01053.04] 这个是牛顿第三斤率
[01053.04-01054.96] 所以在这里面同样长住两个点
[01054.96-01055.96] 第一个含意
[01055.96-01057.64] 第二个就是在这里面
[01057.64-01059.52] 想要长入住它的应用
[01059.52-01060.88] 那长住它的应用
[01060.88-01064.22] 好,那这是我们所说的第3个点
[01064.22-01066.20] 那再往下,我们来看一下
[01066.20-01068.24] 牛多呢,它除了由我们所说的
[01068.24-01071.52] 历史三丁率之外呢,它还提到了另外一个概念,就叫做
[01071.52-01073.04] 万有眼力定率
[01073.04-01074.32] 万有眼力定率
[01074.32-01077.44] 它在考试的过程当中,经常会考察到两个点
[01077.44-01079.76] 第1个点呢,大家在旁边桌一下
[01079.76-01084.08] 万有力定率经常考察的点呢,就是考天体之间的运行
[01087.24-01088.64] 天体之间的运行
[01088.64-01091.00] 朋友们只要看到天体之间的运行的话
[01091.00-01094.44] 你就知道比如说地球违烙太阳转
[01094.44-01096.56] 越球违烙地球转
[01096.56-01099.28] 那为什么地球违烙太阳转越球违烙地球转呢
[01099.28-01101.52] 因为在这个过程中就受到了什么
[01101.52-01103.28] 万有眼力的影响
[01103.28-01106.16] 所以在这里面他给到的叫万云也利定率
[01106.16-01107.84] 万云利定率他说的说
[01107.84-01112.08] 任意两个制典通过连新线方向的利益相互吸引
[01112.08-01115.36] 就任何两个有智量东西都会产生相互吸引
[01115.36-01118.08] 而智量越大他的眼力就会越大
[01118.08-01120.12] 对吧 所以这是我们所说的它的概念
[01120.12-01123.72] 它比较长间的外与丽丁率就用在天体运行当中
[01123.72-01126.60] 所以大家一旦看到天体运行想到这个定率就OK了
[01126.60-01127.56] 这是第一个点
[01127.56-01131.40] 那第二个点就是在这里面来画一下第二个形成圈
[01131.40-01133.44] 就是通过外丽丽这个点
[01133.44-01137.28] 我们就会发现通过计算就发现了我们所说的什么
[01137.28-01138.32] 海王星
[01138.32-01140.76] 在我们整个探认细这几大形形当中
[01140.76-01143.44] 唯一不是关策而被发现的
[01143.44-01144.96] 就是海王星
[01144.96-01147.40] 海王星是唯一一个通过数学计算而发现的
[01147.40-01150.80] 因为他们当时就通过万云与丁力的剧算发现
[01150.80-01155.00] 在我们所说的叫水金帝火木土天
[01155.00-01159.10] 然后天网心在网外的话按照气算的规律来看
[01159.10-01160.70] 一定还有一颗行行
[01160.70-01164.10] 结果他们就预言了说在我们所说的天网心这败有一个
[01164.10-01167.90] 这是通过计算得出来的后来这个计算就被验证了
[01167.90-01170.20] 所以在这里面发现的这个就是什么
[01170.20-01172.30] 海网心所以在这里面他说了
[01172.30-01176.20] 说海网心是唯一一个通过计算发现的行行
[01176.20-01178.92] 在这里面同样标注 这是海盲星
[01178.92-01182.16] 所以这是在万一零里当中的两个英语
[01182.16-01183.76] 同一毛给他掌握住
[01183.76-01186.28] 而这个英语咱们刚才也说了
[01186.28-01189.04] 他就会考原理和现象的对应
[01189.04-01191.20] 在这里我们要能给他对用上
[01191.20-01192.48] 这是第二个
[01192.48-01194.32] 第三个在历学当中
[01194.32-01196.88] 我们还要看一下其他的历学原理
[01196.88-01198.24] 在其他一遍里当中
[01198.24-01201.76] 我们的重点掌握的第一个就是摩擦力
[01201.76-01203.40] 摩擦力他在考试的时候
[01203.40-01205.20] 考两个方面
[01205.20-01209.36] 第一個方面就是我們會考察摩叉力的影響因素
[01209.36-01212.92] 第二個就是會結合影響因素來看一下
[01212.92-01215.40] 它對於日常生活現象的影響
[01215.40-01221.36] 所以這個摩叉力在考試當中考察的比較多的是對於它的影響因素
[01221.36-01226.40] 就是影響摩叉力大小的因素以及這些因素的應用
[01227.96-01230.24] 這個點同時沒有注意一下
[01230.24-01232.76] 那我们来看一下在这里 先来看一下
[01233.44-01235.80] 跨一他给到的增大魔叉力的方法
[01235.96-01238.04] 以及说是增大魔叉力的方法呢
[01238.04-01242.28] 不如在这里 其实说有哪些因素和魔叉力大小武关系
[01242.28-01244.52] 首先同们标注几个官司就行了
