[00000.00-00005.00] 讲完练学之后,我们再来开一下第二个问题,就是光血
[00106.36-00107.84] 应该是和其他的物质样
[00107.84-00110.24] 它是由无数的例子组成的
[00110.24-00111.20] 所以那个时候
[00111.20-00114.20] 就认为这个光他就使用例子够成的
[00114.20-00118.00] 但是随着人们的发现我们就会就得到了一个结论
[00118.00-00123.60] 就是如果说光是有例子组成的话有很多的光学现象就解释不了了
[00123.60-00126.60] 比如说现在如果光是例子组成的话
[00126.60-00128.92] 那这时候假设你拿两个手电头
[00128.92-00130.80] 两手电头是否都会发出光啊
[00130.80-00134.40] 那这时候你把两个手电头的光相顾对照
[00134.40-00136.20] 就比如说两手电头吗
[00136.80-00138.20] 这是一个手电头
[00138.20-00142.16] 对吧,然后呢,这个地方这也是一个手电头
[00144.16-00149.80] 如果光是例子的话,那这时候两个手电头说发出来的这个光
[00151.16-00159.84] 做发出来这个光,如果这两速光碰壮了的话,由于是例子,大就知道例子和例子相碰是碰的,就应该是可论都是啊
[00160.16-00168.16] 所以在这种情况之下,如果说光是例子这种假设的话,当两速手电头光相召的时候,这个光线应该像四面霸方设出去
[00168.20-00170.80] 因为例子和例子碰着碰的到处都是
[00170.80-00173.32] 那这个光是不应该就是像四美大发散去的
[00173.32-00175.96] 但是在做实验的时候发现
[00175.96-00178.16] 我们两书扯念统的光在相照的时候
[00178.16-00180.96] 女发现有没有出现这个光棍射的到处都是的情况
[00180.96-00181.52] 没有
[00181.52-00183.44] 这这个光就差就过去了
[00183.44-00185.72] 好像不会互相影响
[00185.72-00189.36] 于是原本扭动的这种说光是一种例子
[00189.36-00191.76] 这种想法它其实本身就怎么样
[00191.76-00192.76] 就不正确了
[00192.76-00194.68] 后来又做了一个什么实验
[00194.68-00195.68] 后来又有人做了一个
[00195.68-00200.02] 就是我们在物理学上非常有名的叫做双风干涉事业
[00200.02-00203.08] 双风干涉事业就是说把这一树光
[00203.08-00206.08] 然后给它照过两个风戏
[00206.08-00208.32] 然后这一树光如果照过两个风戏的话
[00208.32-00211.64] 理论上来说它就是两个光透过去就可以了
[00211.64-00213.20] 但是实验的结果是啥呢
[00213.20-00215.20] 当一树光透过两个风戏
[00215.20-00217.24] 它产生两个光源的时候
[00217.24-00219.44] 这两树光就会互相干涉
[00219.44-00222.44] 在这个我们所说的这个墙上留下
[00222.44-00224.72] 我们所说的黑白相间的这种调文
[00224.72-00228.00] 比如正常情况下,我们认为如果在这里面
[00229.00-00236.88] 一数光原本的这一数光打过来通过这两个封信,那在墙上应该是两数这种光,对吧,就是这个两个光的这个印子
[00236.88-00248.56] 但实际上是不是实际上不是,实际上的试验是啥呢?就是光透过这两个封信的时候,在墙上不是两个光业,而是我们所说的啥,而是我们所提到的,就是有了黑白相间的条尾
[00248.56-00251.56] 所以它出现了那种条文状的这种东西
[00251.56-00255.90] 就条稳状的这种东西
[00255.90-00258.10] 这种情况之下其实就说白了
[00258.10-00260.90] 原本透过这个封极的这两书光
[00260.90-00262.10] 出现了什么问题呢
[00262.10-00263.40] 出现了干涉
[00263.40-00265.60] 而什么东西才会产生干涉呢
[00265.60-00266.38] 大住一下
[00266.38-00269.24] 只有波才会产生干涉
[00269.24-00270.46] 就好比说啥呢
[00270.46-00272.54] 你现在你往水里面浪一个石头
[00272.54-00273.22] 你会发现
[00273.22-00274.52] 你往水里浪石头的时候
[00274.52-00276.08] 你看这个水波它是这个样子
[00276.08-00276.52] 对吧
[00276.52-00277.96] 你是把石头扔在这了
[00277.96-00279.98] 但是如果你在旁边再浪个石头呢
[00279.98-00281.26] 在浪个石头扔发现
[00281.26-00284.34] 这两个水波会产生干涉
[00284.34-00285.82] 这个时候我们说了
[00285.82-00287.46] 刚才那个双红干涉时间
[00287.46-00288.82] 其实就正面了一个问题
[00288.82-00290.10] 就是这个光
[00290.10-00291.70] 他也会产生干涉
[00291.70-00293.94] 因为可我们遇想的状态怎么样
[00293.94-00294.86] 不太一样
[00294.86-00296.50] 所以在这里面人们就说了
[00296.50-00297.38] 说的光呢
[00297.38-00298.58] 他不是例子
[00298.58-00299.94] 他应该是一种什么
[00299.94-00301.42] 他应该是一种能量
[00301.42-00303.14] 应该是一种光波
[00303.14-00304.74] 后来的时候就研究了
[00304.74-00305.46] 说啥呢
[00305.46-00306.74] 说原来光呢
[00306.74-00308.58] 他是由光量子组成的
[00308.58-00310.66] 这个光本身是一种能量
[00310.66-00314.14] 只割這種能量,它是一個有編切的能量
[00314.14-00316.14] 就像這個徒士當中,也大家去展示的
[00316.14-00318.90] 它本身是一個能量,但是這個能量還是有編切的
[00318.90-00322.98] 感覺,這個編切就像一個例子一樣,這是形成了一個例子狀的
[00322.98-00326.86] 所以在這裡面我們就提到了說,那這個光,它可能還具有
[00326.86-00330.82] 就不是我們傳說中的例子了,而是上,而是電磁波了
[00330.82-00332.62] 所以大家注意一下,光不是例子
[00332.62-00336.26] 它不是像我們看到東西是有什麼分子來原子組成,它不是例子
[00336.26-00340.06] 它是一種電磁波,它是有光磁組成的
[00340.06-00343.28] 而但是这种电子坡我们所说的
[00343.28-00345.64] 它具有例子的特性
[00345.64-00346.78] 对吧 同时呢
[00346.78-00347.66] 我们刚才也说了
[00347.66-00348.96] 它本身又是一种波
[00348.96-00351.26] 所以在这里我们认为它具有什么性
[00351.26-00353.98] 它具有我们所说的波力二相性
[00353.98-00355.62] 所以在这里面大家注意一下
[00355.62-00357.46] 这个点需要我们去掌握
[00357.46-00359.42] 而这个波力二相性在考试的时候
[00359.42-00360.38] 考察什么呢
[00360.38-00362.18] 考察光的波动
[00362.18-00363.90] 它所产生的影响
[00363.90-00365.82] 也就是它会考察一些案例
[00368.66-00369.94] 它会考察下例
[00369.94-00371.66] 但他要考察具体案例的时候呢
[00371.66-00372.82] 他不会考察说
[00372.82-00374.82] 那他是波利尔政兴的哪一个
[00374.82-00377.42] 什么是光的干涉还是光的偏制还在
[00377.42-00379.06] 这他不会考得这么专业
[00379.06-00380.54] 但是最起码我们要知道
[00380.54-00382.10] 他是和波利尔政兴武关的
[00382.10-00383.82] 是包括刚才给大家讲说
[00383.82-00385.82] 如果光他不是例子的话
[00385.82-00388.82] 那这时候他有很多的光如果是例子的话
[00388.82-00390.22] 他解释不了很多现象
[00390.22-00391.14] 但是这种光呢
[00391.14-00392.42] 他虽然做一种波
[00392.42-00394.10] 但是他具有例子的特性
[00394.10-00396.74] 比如说我们所提到的光言直现传播
[00396.74-00397.66] 小恐城象
[00397.66-00399.26] 如果不是例子的话
[00399.26-00401.30] 他不可能出现小种成像那种情况
[00401.30-00404.02] 但是我们后面的研究发现他不是
[00404.02-00405.82] 我们所说的这种例子
[00405.82-00407.90] 所以在这里就认为他是电词波
[00407.90-00409.18] 只不过在这种电词波
[00409.18-00412.14] 他的能量形势比较特殊
[00412.14-00414.22] 所以在这里就给到了他具有波
[00414.22-00415.78] 对吧 例子这是一方面
[00415.78-00416.94] 同时他又是一种波
[00416.94-00419.18] 所以在这里就提到就要不亮了一下
[00419.18-00420.66] 在这里到我的这个讲解
[00420.66-00421.70] 就是给大家
[00421.70-00423.82] 比较直摆的去给他产兽一下
[00423.82-00425.02] 我们居想话的去理解
[00425.02-00427.02] 但是大家如果是这个专业的话
[00427.02-00431.04] 他比我们比我们描述的要复杂的很多
[00431.04-00433.66] 只不在这里大家有这样一个概念
[00433.66-00436.10] 这就是我们所说的光
[00436.10-00437.94] 在光当中我们说了
[00437.94-00439.44] 他的布利尔向性
[00439.44-00441.50] 或者是他的具体的特性
[00441.50-00442.92] 他会考察一些案例
[00442.92-00445.66] 我需要同学们把这个案例记在旁边
[00445.66-00447.16] 其实一会儿在提到中
[00447.16-00448.24] 我也会给大家说到
[00448.24-00449.44] 这案例记在旁边
[00449.44-00450.38] 同学来看一下
[00450.38-00451.66] 是用哪些案例呢
[00451.66-00453.38] 第一个就是我们经常
[00453.38-00455.36] 比如说有很多小孩
[00455.36-00457.28] 它喜欢玩出的那个泡泡
[00457.28-00458.70] 家里的那个洗粉
[00458.70-00461.24] 或者是和那个洗节经对待一块
[00461.24-00462.82] 然后到点水
[00462.82-00464.32] 然后拿一个东西往一吹
[00464.32-00466.08] 说出一吹出来很多的泡泡
[00466.08-00467.96] 然后那个泡泡在阳光下是什么
[00467.96-00468.98] 五眼六色的
[00468.98-00469.68] 所以在这里
[00469.68-00470.28] 第一个点
[00470.28-00472.28] 我们标准一下就是飞造泡
[00473.88-00475.88] 在阳光下
[00478.12-00479.44] 无踩平分的
[00479.44-00480.80] 那它就是有一什么
[00480.80-00483.52] 这是由于光的波动召成的
[00483.52-00486.24] 这是第一个打指到这些有鱼光的波动造成的
[00486.24-00488.64] 因为大家都知道那个肥造盼它很薄
[00488.64-00492.68] 所以当这个光线它打在这个肥造泡的这个薄模上的时候
[00492.68-00495.68] 我们就会发现有一部分光是不是反射出去了
[00495.68-00497.08] 但是有一部分光怎么样
[00497.08-00501.28] 有一部分光进入到我们所说的泡盼里面了
[00501.28-00503.32] 所以这有时候光线会发生偏折
[00503.32-00504.68] 但因为泡盼是原的嘛
[00504.68-00507.76] 所以偏折的光线在泡盼内还会反射
[00507.76-00510.76] 但是由于这个光的来自于四面八方
[00510.76-00512.76] 所以进入到泡盼的光线
[00512.76-00515.68] 就是和原本泡款内反射的光线
[00515.68-00516.80] 是不是交叉了
[00516.80-00517.96] 一旦交叉之后呢
[00517.96-00520.32] 这两关线就会产生干涉
[00520.32-00521.28] 而一旦干涉呢
[00521.28-00522.48] 我们说了反射的光
[00522.48-00524.00] 可能就一部分底销了
[00524.00-00526.40] 底销之后就会产生户补色
[00526.40-00528.20] 于是我们就会发现这个
[00528.20-00530.40] 肥造泡在阳光之下就是
[00530.40-00531.60] 无言六色的
[00531.60-00532.76] 所以这个点达知道
[00532.76-00534.12] 这就是由于光的波动
[00534.12-00535.16] 它所造制的
[00535.16-00535.88] 那还有一个呢
[00535.88-00538.20] 就是当然这个光的波动呢
[00538.20-00540.28] 就是在有的打人解析当中
[00540.28-00542.16] 还把他称为叫光的干涉
[00542.16-00543.32] 但是我们不需要说
[00543.32-00545.00] 它到底是干涉还是偏震
[00545.00-00545.80] 你不用管它
[00545.80-00547.80] 你大概就知道它是由于光的
[00547.80-00549.36] 这种波动所导致的就行了
[00549.36-00550.28] 这是第一个
[00550.28-00550.92] 那第二个呢
[00550.92-00553.76] 就是我们经常提到的是观看电影的时候
[00555.08-00556.04] 三地电影
[00556.04-00557.20] 你需要带什么
[00557.20-00558.56] 需要带三地眼镜
[00562.56-00563.40] 三地眼镜
[00563.40-00565.60] 这个我们所说的观看
[00565.60-00566.80] 三地电影带三地眼镜
[00566.80-00569.04] 它是由于光的偏震所导致的
[00569.04-00570.44] 方便就简单的去理解
[00570.44-00571.84] 他的这个三地眼睛
[00571.84-00573.12] 他大概的感觉就是
[00573.24-00574.28] 你两个眼睛
[00574.28-00575.40] 放的东西不一样
[00575.40-00576.92] 然后这两个东西
[00577.04-00578.64] 你看你可发现那个眼睛的
[00578.64-00579.84] 镜片的颜色在最开始
[00579.84-00580.84] 有一部一样有红的
[00580.84-00581.76] 很蓝的对吧
[00581.76-00583.04] 相当于你的两个眼睛
[00583.04-00584.64] 同时捕捉到的东西不一样
[00584.64-00585.64] 且是户捕的
[00585.64-00586.84] 最后在视觉上
[00586.84-00587.84] 然后我们所说的
[00587.84-00588.56] 所导致的节目
[00588.56-00589.88] 就好像是看到了
[00589.88-00591.20] 呈现立体的东西
[00591.20-00593.24] 他也是由于光的波动所导致的
[00593.24-00595.48] 而只过这个在具体来说的话
[00595.48-00597.44] 就是我们所说的光的偏震
[00597.44-00598.24] 如果不行的话
[00598.24-00599.68] 就把它洗在旁边
[00599.68-00601.84] 第一個是由於光的波動導致的
[00601.84-00603.64] 是因為波之間產生了
[00603.64-00604.32] 干涉
[00604.32-00606.00] 第二個也是光的波動
[00606.00-00606.84] 他所導致的
[00606.84-00609.52] 只不過這裏面是我們所說的光的偏震
[00609.52-00614.08] 也就是透過這個鏡片的光的傳播的方向的變化
[00614.08-00616.04] 那還有一個就是我們提到的
[00616.04-00620.44] 就是光它如果穿過不透光的原廠的時候
[00622.44-00626.48] 叫光穿過不透光的原廠
[00629.68-00631.54] 透过一个屏幕的时候
[00631.54-00633.68] 会在中心走行程量班
[00633.68-00635.36] 我就简单写
[00635.36-00639.22] 有量班就是会形成这种光班
[00639.22-00641.12] 如果光是例子的话
[00641.12-00644.52] 这种情况是它透过一个不透光的原品
[00644.52-00646.18] 它是没有办法形成东西的
[00646.18-00646.52] 对吧
[00646.52-00648.04] 但是由于它是电子波
[00648.04-00650.10] 它就可以透过变成形成
[00650.10-00653.48] 两般这也是由于光的波动所形成的
[00653.48-00657.16] 这个就是在个别考试当中所提到的光的演示
[00657.16-00659.88] 但是这些点同学们都不用去管他
[00659.88-00662.56] 需要同学们去记住的就是这三个现象
[00662.56-00666.76] 他都和帮光的波动有关系就可以了
[00666.76-00670.76] 这个点在国生考当中考察过
[00670.76-00673.92] 既然考察过咱们就在这里给大家去做一个补充
[00673.92-00677.32] 好吧就记得都是由于光的波动所导致的周期了
[00677.32-00679.52] 所以在这里面需要大家掌握的第一个
[00679.52-00680.76] 就是光的特性
[00680.76-00683.44] 有些这个地方相对来说会拿一些
[00683.44-00684.60] 这是第一个点
[00684.60-00688.00] 两个啊 光到底是什么 有两个细节的电
[00688.00-00689.84] 那光呢 我们都知道光
[00689.84-00691.20] 它有自己的速度 对吧
[00691.20-00696.00] 所以光在争空中传播的速度是三成一时的八次方面没没有
[00696.00-00697.64] 因为我这个PVT没有办法
[00697.64-00700.08] 搞这种写上角的脚标
[00700.08-00702.04] 所以它在这里面就像10000万一样
[00702.04-00705.64] 大家知道的是三成一时的八次方女美秒
[00705.64-00708.68] 当然了 它也可以是2.9成一时的八次方女美秒
[00708.68-00711.48] 都一样啊 如果出现了这两种情况
[00711.48-00712.46] 说法都对
[00712.46-00714.68] 那光它的传播速度很快
[00714.68-00716.38] 那光的传播速度
[00716.38-00717.82] 光在真空当中
[00717.82-00720.78] 走一年所走出来的距离就叫做光年
[00720.78-00721.72] 所以第三个点
[00721.72-00723.34] 同时在这里去掌握的
[00723.34-00724.70] 第三个内容就是光年
[00724.70-00725.70] 它是一个
[00725.70-00726.98] 长度单位
[00726.98-00730.48] 光在真空当中走一年的距离
[00730.48-00731.22] 叫光年
[00731.22-00733.48] 光年一般请大家就用于测量
[00733.48-00735.60] 天体之间的距离
[00735.60-00736.86] 所以在这里面大家知道
[00736.86-00738.58] 这是光的本质和特性
[00738.58-00740.18] 把这几个点去给它掌握住
[00740.18-00741.14] 就可以了
[00741.14-00741.94] 那咱们
[00742.58-00743.30] 只第一个
[00743.54-00744.98] 那能来看一下象征到底
[00744.98-00747.50] 这体就是之前考过的一道体
[00747.50-00749.18] 说下令光的性质
[00749.18-00751.38] 与其他三项不同的是
[00751.38-00752.46] 看一下一顺项
[00752.46-00755.54] 说物体经过小口能够成立
[00755.54-00756.46] 到项的问题
[00756.46-00757.70] 这是不是我们所说的
[00757.70-00759.70] 后面又给大家的小孔成像了
[00759.70-00761.66] 而小孔成像的原理是啥呢
[00761.66-00764.18] 是光眼直线传播
[00764.18-00766.06] 而光的直线传播
[00766.06-00768.74] 或者是我们所说的光学当中的一般线向
[00768.74-00772.28] 光的直線傳播光的指射光的反射
[00772.28-00773.84] 其實是波利爾聲性當中
[00773.84-00775.54] 它的例子特性所導致的
[00775.54-00777.76] 所以這是我們所說的A選項
[00777.76-00778.78] 而閉顯像說
[00778.78-00781.32] Fedalpau在陽光下才色調文
[00781.32-00783.00] 是說光的波動導致的
[00783.00-00785.14] 立體電影要配在3D眼鏡
[00785.14-00786.54] 是否光的波動導致的
[00786.54-00789.14] 光線透過不透光的原頻
[00789.14-00790.94] 會在中軸線上形成亮班
[00790.94-00792.78] 是不是都是光的波動導致的
[00792.78-00794.14] 波利爾聲性嘛
[00794.14-00794.50] 對吧
[00794.50-00796.10] 所以在這裡面大家注意一下
[00796.10-00797.54] B3B是一樣的
[00797.54-00798.34] 而A
[00798.34-00799.06] 不是
[00799.06-00799.98] 所以在这里面
[00799.98-00801.54] A是光颜之线
[00801.54-00802.30] 传播
[00802.30-00803.78] 所以照替线则的是
[00804.02-00804.82] A选项
[00804.82-00805.94] 所以这个点
[00805.94-00808.42] 其实考察的就是光学线项
[00808.42-00809.86] 但它在B3D选项
[00809.86-00810.62] 涉制的时候
[00810.62-00811.94] 给到的是光的特性
[00811.94-00813.38] 所以咱们才会在前面
[00813.38-00814.70] 那个博量上性的一块
[00814.70-00816.82] 把这几个例子也痛不去产视
[00816.82-00818.62] 所以这是我们需要掌握的
[00818.62-00819.22] 第一个点
[00819.22-00821.22] 就是光到底是什么
[00822.50-00823.94] 我们接着来看一下
[00823.94-00825.78] 那了解了光是什么之后
[00825.78-00826.62] 我们再来看一下
[00826.62-00829.14] 分析一下生活当中常见的光
[00829.14-00830.50] 生活当中常见的光
[00830.50-00832.42] 有一部分是我们肉眼能够关锁的道
[00832.42-00835.38] 我们把这些称度一叫做可见光
[00835.38-00836.62] 所以在这里看
[00836.62-00839.54] 可见光是人们肉眼可以感知的道的
[00839.54-00841.14] 可见光到底有哪些
[00841.14-00844.14] 在这里祝一下按照波长换下地坚
[00844.14-00847.06] 按照波长地坚的一个数学来看的话
[00847.06-00849.70] 它是红城黄驴蓝电子
[00849.70-00851.46] 在这里面我们就知道了
[00851.46-00856.58] 都出来一个结论红光是波长最长的可见光
[00856.58-00859.98] 简单显 波长最长的可见光
[00859.98-00864.18] 而子光是波长最短的可见光吧
[00864.18-00867.58] 波长最短的可见光
[00867.58-00869.98] 所以在这里面经常会考到一个选项
[00869.98-00873.78] 说波长最长的可见光是子光错了
[00873.78-00876.98] 按照地坚红城黄律青兰子红是最长
[00876.98-00877.98] 此事最短
[00877.98-00880.38] 所以这是我们所说的 第一个点可见光
[00880.38-00882.98] 大家注意一下 这一个细节就OK了
[00882.98-00883.86] 那我们说了
[00883.86-00886.50] 这个可见光只限于这几种颜色
[00886.50-00887.62] 还有很多的光
[00887.62-00891.50] 比如说像我给大家的光普图展示的是红外线
[00891.50-00893.50] 还有在这里给到的是子外线
[00893.50-00895.78] 它都是在可见光放于之外的
[00895.78-00896.58] 这些光呢
[00896.58-00898.34] 我们用入眼关策不到
[00898.34-00900.22] 但是它却真实存在
[00900.22-00902.06] 我们把这些光称之为叫什么
[00902.06-00903.46] 就做不可见光
[00903.46-00905.38] 所以我们来看一下不可见光的内容
[00905.38-00907.90] 不可见光是比较龙统的概念
[00907.90-00910.46] 它只能是人言所不能感知到的
[00910.46-00912.58] 不长的电子波就做不可见光
[00912.58-00914.46] 所以第一个考虑点同一标主一下
[00914.46-00916.26] 不可见光虽然看不见
[00916.26-00917.94] 但是它是不是虚假的光
[00917.94-00920.18] 不是它只是肉眼补作不到
[00920.18-00923.78] 所以不可见光不是虚假的光之前
[00924.58-00927.90] 在我们的考试当中出现过一个选项
[00927.90-00929.70] 所以不可见光有于看不见
[00929.70-00932.30] 所以说是虚假的光那这种说话就错了
[00932.30-00933.46] 所以这是第一个点
[00933.46-00935.94] 那第二个点就是我们要在这里看到
[00935.94-00939.94] 在红光和紫光之外出现了红外前和紫外线
[00939.94-00942.42] 而这两条我们所说的不可见光
[00942.42-00944.90] 是我们在日常生活当中比较长见的
[00944.90-00946.78] 我们就来看一下关于红外线
[00946.78-00948.86] 红外线需要大家掌握的点
[00948.86-00950.30] 是第一个 大家知道
[00950.30-00952.62] 红外线当中需要大家掌握的第一个点
[00952.62-00953.50] 就是要明确
[00953.50-00955.74] 红外线它是在谁的旁边
[00955.74-00959.58] 既然就红外线它指定是在红光旁边
[00959.58-00963.74] 所以红外线是距离红光最近的不可见光
[00963.74-00965.02] 这个点一定要明确
[00965.02-00966.66] 它是距离
[00966.66-00971.66] 距離紅光最近的
[00971.66-00976.66] 不可見光
[00976.66-00981.66] 因為它就在紅外線的旁邊
[00981.66-00982.66] 所以大家要注意一下
[00982.66-00984.66] 這是紅外線當中的第一個細節點
[00984.66-00985.66] 大家要注意
[00985.66-00986.66] 第二一個就是
[00986.66-00988.66] 紅外線在日常生活當中的應用
[00988.66-00989.66] 但是活當中的應用
[00989.66-00990.66] 比較多元
[00990.66-00991.66] 第一個就是我們不要常見的
[00991.66-00993.66] 就要紅外線探測器
[00993.66-00994.66] 最常見的是
[00994.66-00998.06] 便提门或者是我们所说的酒店的那种感应门
[00998.06-01001.52] 你看像那酒店的感应门很多现在都有你真的门口
[01001.52-01003.06] 然后它那个门快还就开了
[01003.06-01003.42] 对吧
[01003.42-01007.06] 这时候主要是不说到你身体散发出来的这些东西
[01007.06-01011.18] 红外线然后它感应到了你身体散发的红外线之后的门就自动开了
[01011.18-01014.86] 这种就吃红所说的红外线探测期当中的感应门
[01014.86-01016.66] 又或者我们所说的要共气
[01016.66-01018.22] 要共气也是一样
[01018.22-01019.86] 你只要有到红气
[01019.86-01021.46] 开电视开风线
[01021.46-01023.90] 这个其实都是我们所说的红外线探测
[01023.90-01025.42] 大家注意一下 这是第一个应用
[01025.42-01027.82] 第二个就是红外线热成像一
[01027.82-01029.14] 红外线热成像一一
[01029.14-01031.90] 在之前比如说疫情期间的时候
[01031.90-01034.58] 我们在火石热热地铁经常看到
[01034.58-01035.78] 他用来的嘛 测体温
[01035.78-01036.58] 你走过去之后
[01036.58-01038.98] 你发现你身上红红绿绿黄黄的
[01038.98-01039.54] 对吧
[01039.54-01042.42] 这个其实就是对于你身体当中
[01042.42-01043.86] 释放能量的一个检测
[01043.86-01046.18] 这个就是红外线热成像一
[01046.18-01047.62] 还有一个就是红外线
[01047.62-01048.58] 它毕竟是什么
[01048.58-01049.86] 它毕竟是光
[01049.86-01052.26] 所以光它就一定会运行能量
[01052.26-01054.98] 所以它可以加热干造物体
[01054.98-01057.42] 所以在这里面第二个有关红外线的内容
[01057.42-01060.78] 需要同样掌握住红外线它的一个应用
[01060.78-01062.78] 这是我们所说的红外线
[01062.78-01065.18] 红外线对应的就是紫外线
[01065.18-01066.50] 紫外线也是两个点
[01066.50-01069.30] 第一个大家知道紫外线是距离水最近
[01069.30-01071.38] 是距离紫光最近的
[01073.94-01077.66] 是距离紫光最近的
[01077.66-01078.66] 不可见光
[01079.86-01083.78] 这是这个点
[01083.78-01087.32] 如果是没想到这个点我相信大家都会
[01087.32-01089.84] 但是它在考试的时候确实有出现过选项
[01089.84-01092.10] 所以在这里我就在特别强调一下
[01092.10-01093.38] 这是子外线
[01093.38-01096.42] 子外线在日常生活当中的应用小大去掌握
[01096.42-01099.06] 首先第一个就是子外线它能进入杀军
[01099.06-01100.06] 这个大人都知道
[01100.06-01103.50] 现在比如说在身边上还有卖很多的子外线灯
[01103.50-01105.78] 子外线噴吾等等
[01105.78-01107.88] 那这个就是我们所说的这个杀军
[01108.04-01109.76] 但这里面考过一个细节的点
[01109.76-01111.18] 同时在旁标主一下
[01111.38-01112.68] 此外性的杀军
[01112.78-01115.78] 它和我们所说的酒精的这种杀军
[01115.78-01116.78] 是不太一样的
[01117.16-01120.12] 此外性的杀军相对来说会比较彻底一点
[01120.36-01120.96] 此外性呢
[01120.96-01121.62] 我们都知道
[01121.62-01123.90] 它如果是穿透皮膚的话
[01123.90-01128.32] 它其实是会破坏我们所说的西胞的这种一传物质的
[01128.46-01132.50] 所以此外性杀军其实就是从根源上破坏它的一传物质
[01135.78-01137.86] 破坏他的一传物质
[01137.86-01140.54] 这个是我们所说的此外先杀军
[01140.54-01143.70] 而酒精杀军的是形成一军环境
[01146.34-01147.70] 是形成一军环境
[01147.70-01149.26] 我们在后面讲到
[01149.26-01150.42] 话说支持的时候
[01150.42-01151.38] 给大家讲酒精的时候
[01151.38-01152.18] 其实会说
[01152.18-01154.50] 就是他会我们所说的意志
[01154.50-01155.30] 他的那个
[01155.30-01156.90] 他会让这个病毒
[01156.90-01157.78] 他这个蛋白
[01157.78-01158.42] 凝固
[01158.42-01159.38] 那一旦凝固的话
[01159.38-01161.14] 大家知道病毒是有一个
[01161.14-01161.66] 凝固
[01161.66-01162.34] 二雷
[01162.34-01163.42] 然后再加蛋白之外
[01163.42-01164.58] 可所组成的
[01164.58-01165.78] 那蛋白明故的話
[01165.78-01167.78] 那這個病毒其實就沒有辦法
[01167.78-01169.04] 在進一步的去複製
[01169.04-01169.82] 或是怎麼樣的
[01169.82-01170.06] 對吧
[01170.06-01170.68] 所以在這裡
[01170.68-01172.42] 他們兩個的總機制不一樣
[01172.42-01174.42] 而這個點其實是有考察過的
[01174.42-01174.86] 所以大家知道
[01174.86-01176.82] 子代線第一個可以殺軍
[01176.82-01179.22] 第二個就是子代線可以演超
[01179.22-01180.10] 像演超的話
[01180.10-01181.82] 大家小時候應該玩過那種
[01181.82-01183.10] 子代線的那種小丹
[01183.10-01183.50] 對吧
[01183.50-01184.82] 像那種子代線小丹的話
[01184.82-01186.30] 你對著我們所說的那個
[01187.30-01189.02] 那個錢一種
[01189.02-01190.34] 那一種的話就發現
[01190.34-01191.78] 它顯現出來的就是啥樣
[01191.78-01192.50] 它顯現出來的
[01192.50-01193.22] 就是我們所說的
[01193.22-01194.86] 看到了美人的头像
[01194.86-01196.86] 所以在这个地方大家要注意一下
[01196.86-01198.62] 所以这是我们所说的
[01198.62-01202.18] 有关于所说的这个验抄的问题
[01202.18-01204.74] 在往下他又给到了说要触界人体
[01204.74-01206.34] 为生数地的合成
