[00000.00-00004.90] 大家好,我是截出青年的截瑞,欢大家来进行新的本块学习。
[00380.32-00382.42] 那这个就是我们要给大家说的
[00382.42-00384.26] 有关于科技发展史
[00384.90-00387.18] 他的一个基本考察方式
[00387.18-00389.08] 那了解了这个基本考察方式
[00389.08-00390.36] 咱们接下来就知道
[00390.36-00392.36] 应该怎么去对应怎么去学了
[00392.36-00394.82] 好 那我们就进入到第一张的学习
[00394.82-00396.36] 叫做科技发展史
[00396.36-00397.88] 我们在科技发展史当中
[00397.88-00401.26] 先来看一下科技它的一个发展进程
[00401.26-00404.34] 我们先来看一下整个世界的科技发展进程
[00404.34-00408.14] 就是来看一下整个世界的科技发展进程
[00408.14-00410.38] 其实可以分成两个大多
[00410.38-00412.18] 这两个大多的第一个就是
[00412.18-00414.06] 在科技革命发生之前
[00414.06-00417.10] 也就是在第一次科技革命发生之前的这个事情
[00417.10-00419.00] 我们把它统成没叫做
[00419.00-00420.86] 前科技革命事情
[00420.86-00423.24] 就是在第一次革命开启前
[00423.24-00424.04] 跨分到一段
[00424.04-00427.80] 然后第二段时间是从第一次科技跟文化后
[00427.80-00430.20] 也生出来的第一次,第二次一节
[00430.20-00431.64] 第三次科技跟文化后
[00431.64-00434.44] 那么现在看一下在前科技跟文化后
[00434.44-00437.12] 有哪些人,他取得了哪些成就
[00437.12-00438.52] 那首先,第一个人物
[00438.52-00441.08] 答案来看一下,就是我们所说的就做
[00441.08-00445.20] 太乐思,太乐思是古希拉典型的这样的一个人物
[00445.20-00448.60] 太乐思他的家庭生活条件其实还挺不错的
[00448.60-00452.00] 它是出现在谷希拉当中的港口城
[00452.00-00454.16] 它是奴隶主贵族阶级
[00454.16-00455.32] 那家里贼有钱
[00455.32-00456.48] 就是因为它特别有钱
[00456.48-00460.00] 所以它受过非常良好的这样的一种教育
[00460.00-00462.72] 所以在泰乐斯的人生旅里当中
[00462.72-00465.12] 它几乎是经常去全国各地
[00465.12-00467.16] 不能说全国是全球各地
[00467.16-00468.56] 出去经生
[00468.56-00470.68] 然后出去建设不同的人不同的物
[00470.68-00472.48] 所以它的这个学史
[00472.48-00474.76] 相对来说也是非常丰富的
[00474.76-00476.84] 那么来看一下泰乐斯它的成就
[00476.84-00477.76] 多拿些
[00477.76-00479.68] 他了四成就首先第一个
[00479.68-00481.00] 大家来看书上说了
[00481.00-00484.84] 说是最早对太阳的直径进行了测算
[00484.84-00487.20] 同时把这个太阳直径给他标志出来
[00488.12-00490.84] 写上这是他的成就当中的第一个
[00492.32-00493.60] 我在旁边标注一下
[00493.60-00495.48] 这他成就当中的第一个
[00495.48-00499.40] 叫做最早对太阳的直径进行了测算
[00499.40-00500.76] 他是这个测算
[00500.76-00503.68] 就是存脆的用计算来推演出来的
[00503.68-00505.12] 也是相当之精准的
[00505.12-00510.72] 據說他的這個測刷和現在的這個太陽指徑的大小相差無幾
[00510.72-00513.40] 所以這是第一個它的成就大家要注意一下
[00513.40-00518.00] 第二個它的成就就是它說準確的預測到公園前500
[00518.00-00521.08] 85年5月28號發生的一次全日史
[00521.08-00524.48] 這個地方了解一下就行了說將一年的長度修訂為300
[00524.48-00527.88] 留數5天這個地方不太做重點來考察
[00527.88-00530.28] 這是它的成就第一個方面
[00530.28-00532.80] 那它成就的第二個方面就要注意一下
[00532.80-00534.56] 他既然他乐思呢
[00534.56-00536.76] 他的这个学实非常的丰富
[00536.76-00537.68] 那就接定了
[00537.68-00539.48] 他其实对于受的思考
[00539.48-00541.20] 不单单只有一个方面
[00541.20-00543.04] 所以在整体他乐思
[00543.04-00544.68] 他的一个一生当中
[00544.68-00546.24] 他不仅是一个科学家
[00546.24-00547.04] 数学家
[00547.04-00548.88] 他是一个哲学家
[00548.88-00549.68] 他注意
[00549.68-00551.40] 他的一个哲学思想
[00551.40-00553.76] 咱们其实是在马源当中讲过的
[00554.80-00556.08] 我把它写在旁边
[00556.08-00557.24] 哲学思想
[00557.24-00558.76] 咱们在马源当中讲过
[00558.76-00560.24] 就是他乐思成就说过
[00560.24-00561.32] 叫水
[00561.32-00562.84] 是万物的使击
[00562.84-00566.44] 所以它是非常典型的古代幅速为物主义观点
[00566.44-00568.48] 所以它有一个叫做水深
[00568.48-00569.84] 这个世界的本源
[00569.84-00573.08] 我把的称对叫做水本源说
[00573.08-00574.04] 这个呢
[00574.04-00575.52] 这是它的哲学思想
[00575.52-00577.68] 当然了我在这里还有大家画了一个圖片
[00577.68-00578.56] 你看一下
[00578.56-00579.52] 当不是我画的
[00579.52-00580.52] 给它找了一副圖
[00580.52-00581.28] 这个圖呢
[00581.28-00582.36] 同样能够看到
[00582.36-00583.16] 这有个太阳
[00583.16-00583.96] 这个金字塔
[00583.96-00585.08] 这个小木柱子
[00585.08-00585.84] 它干嘛呢
[00585.84-00587.08] 同时在旁标注
[00587.08-00590.76] 它对最早对金字塔的高度进行了策略
[00591.32-00596.32] 策略金字塔高度
[00601.32-00603.32] 這是他的主要的三個藏舊
[00603.32-00606.32] 當時他精傷和輸出一塊
[00606.32-00607.32] 陪人家輸出精傷
[00607.32-00609.32] 和他輸出精傷的過程中
[00609.32-00611.32] 他突經了這個愛己
[00611.32-00612.32] 突假愛己之後
[00612.32-00614.32] 推出對金字塔產生的濃厚的興趣
[00614.32-00617.32] 正好當時的法老
[00617.32-00619.32] 誰能把金字塔高度撤出來
[00619.32-00620.32] 我就給他非常豐厚的獎勵
[00620.32-00622.80] 那太阳斯本身当然不缺钱
[00622.80-00624.00] 但是他就是想测
[00624.00-00625.80] 但是大家都知道那个金字塔
[00625.80-00627.36] 我相当之高
[00627.36-00627.68] 对吧
[00627.68-00629.32] 那是人类历史
[00629.32-00630.80] 几大尖铉奇记之一
[00630.80-00631.80] 那这种情况之下
[00631.80-00633.68] 他爬上去测量是不太行的
[00633.68-00636.32] 他就每天为让那个金字塔来来活着就走
[00636.32-00637.04] 就转有
[00637.04-00637.92] 然后就在想
[00637.92-00639.92] 我怎么样都会把他的高度去测下来
[00639.92-00642.32] 正好有一天中午他发现
[00642.32-00643.16] 他说人
[00643.16-00645.32] 一到差不多偏向正午的时候
[00645.32-00647.32] 他的这个影子的高度
[00647.32-00649.12] 就和他的身体的
[00649.12-00650.60] 就是长度
[00650.60-00653.50] 它的影子的长度和人的高度是
[00653.50-00655.00] 差不多是一样的
[00655.00-00655.78] 于是它就说
[00655.78-00659.76] 我何不就利用金字塔的影子来进行测量
[00659.76-00662.04] 所以在这里面它就用这个影子
[00662.04-00664.60] 在我们所说的金字塔旁边
[00664.60-00666.94] 它要照起来金塔就会投影了
[00666.94-00669.68] 然后在恰当的时间等到金字塔的投影
[00669.68-00672.12] 和影子差不多长的时候来测量
[00672.12-00674.20] 我们所说的金字塔高度
[00674.20-00675.64] 所以它是非常聪明
[00675.64-00677.28] 非常愿意善条思考的
[00677.28-00679.88] 而且这个人他比较有意思
[00679.88-00682.36] 他特别喜欢台上投司考
[00682.36-00684.40] 而且特别喜欢观测天上的东西
[00684.40-00689.04] 据说他有一次他就躺在那个
[00689.52-00692.44] 我们所说的那个草地上就看着天空
[00692.44-00694.28] 看天空对天空进观测
[00694.28-00696.16] 实在一场了就得出来一些结论
[00696.16-00698.24] 他就知道天上的云或兴幸
[00698.24-00699.80] 呈现什么变化的时候
[00699.80-00701.84] 然后他就会有什么样的天气
[00701.84-00703.96] 然后他最开始这样的想法
[00703.96-00705.52] 并没有对大家去说
[00705.52-00707.76] 比如说IW好像能预测天气不怎么样没有
[00707.76-00708.92] 它只是在心里
[00708.92-00713.32] 后来就反反副多次发现它心里这个想法和天气的变化情况应正了
[00713.32-00714.28] 然后它就觉得
[00714.28-00715.76] 我可以预测天气了
[00715.76-00717.16] 它就非常的开心
[00717.16-00719.40] 然后就把这个消息就告诉了所有的人
[00719.40-00721.80] 然后它就原本就躺在那个草地上
[00721.80-00722.84] 然后就是跑起来
[00722.84-00724.72] 然后就看到人就跟大家说说那个
[00724.72-00727.04] 明天会下雨出门记得带散
[00727.04-00728.88] 明天会下雨出门记得太散
[00728.88-00730.32] 然后我能预测天气
[00730.32-00731.96] 当时股下人都觉得说
[00731.96-00733.32] 你会有某个人吧
[00733.32-00735.24] 你这是大情天的明天下什么雨
[00735.24-00737.40] 但是别人对他的想法
[00737.40-00739.40] 或者对他的看法他一点是不在乎
[00739.40-00740.88] 他就是一边开心的跑
[00740.88-00742.80] 他一边跟没有说明条下一个单纯
[00742.80-00744.00] 然后他就没有注意
[00744.00-00745.32] 脚下一个尼口
[00745.32-00747.64] 然后他一下就爬在那个尼口里了
[00747.64-00749.52] 然后别人都说啊说你看这个傻子
[00749.52-00751.88] 然后说那个什么走路不看路儿
[00751.88-00754.36] 还当初说他能够预测天气怎么样的
[00754.36-00756.76] 但是他了斯爬在那个尼口里的时候
[00756.76-00759.20] 也没有觉得因为大家对他这个评价怎么样
[00759.20-00760.68] 而是在那哈哈大笑
[00760.68-00764.40] 所以当时他的这个行为一度被古兴大的人民认为
[00764.40-00766.04] 是比较傻的一件事
[00766.04-00768.88] 但是当时有一个人对他的评价特别的高
[00768.88-00769.88] 这个人是谁呢
[00769.88-00771.80] 就是不是当时就是后来
[00771.80-00773.44] 有个人对他的评价特别高
[00773.44-00775.16] 这个人就是黑格尔
[00775.16-00777.88] 黑格尔当时其实说过张的一段话
[00777.88-00778.72] 什么话呢
[00778.72-00780.04] 他说一个民族啊
[00780.04-00782.32] 只有那些关注天空的人
[00782.32-00784.20] 这个民族才有希望
[00784.20-00787.20] 只有那些永远躺在康里的人
[00787.20-00790.00] 不养望新空的人才会怎么样
[00790.00-00791.64] 才不会掉进康里
[00791.64-00793.20] 所以在这个时候经常会提到
[00793.20-00794.88] 叫养望星空的人
[00794.88-00795.80] 那一段情况下
[00795.80-00797.76] 提到古西拉养望星空的人
[00797.76-00799.20] 其实提的就是谁
[00799.20-00801.16] 提的就是台乐死
[00801.16-00803.52] 所以对太乐死的描述还有另外一种话
[00803.52-00805.68] 叫哲学家知道天上的事情
[00805.68-00807.24] 去看不见久下的事情
[00807.24-00809.52] 那说的就是他看天气
[00809.52-00811.24] 要结果掉在水坑面
[00811.24-00813.92] 所以同时们把黑葛对他的描述
[00813.92-00814.96] 写在旁边
[00814.96-00816.40] 就是一个民族
[00819.28-00820.88] 一个民族只有
[00821.52-00822.32] 那些
[00823.20-00829.56] 小的字只有那些关注天空的人
[00834.56-00837.00] 后面这个民族才有希望
[00843.28-00845.60] 所以你看到这句话的时候
[00845.60-00847.56] 就记得他描述的是谁
[00847.56-00849.56] 他描述的是拍了私
[00849.56-00852.20] 或者提到古希拉养望星空的人是谁
[00852.20-00853.84] 你要知道是拍了司啊
[00853.84-00855.44] 这是一个民族也好
[00855.44-00856.08] 一个人也好
[00856.08-00858.40] 他无论深处在什么样的情境当中
[00858.40-00860.76] 他还是要对于我们所说的这些
[00861.40-00863.64] 未知的是我产生些能后的兴趣
[00863.64-00867.36] 这些太是推动国家发展的一个不断的动力之一
[00867.60-00868.64] 那这是第一个人物
[00868.64-00870.08] 大家知道是拍了司
[00870.08-00871.40] 所以有说了考成就
[00871.40-00873.16] 就是人物一成就的对应
[00873.16-00876.16] 以及我们所说的人物和他的成就
[00876.16-00877.40] 描述的对应
[00877.40-00879.32] 所以在这里这是第一个人物就做
[00879.32-00880.16] 拍了司
[00880.16-00883.64] 第二个人也是鼓西拉当中非常有名的一个人物了
[00883.64-00885.24] 就是阿基米德
[00885.24-00886.88] 阿基米德这个人大家太熟悉了
[00886.88-00888.48] 首先同时标注一下
[00888.48-00890.04] 阿基米德的成就
[00891.44-00892.04] 花展
[00892.04-00895.56] 阿基米德提出来是刚给原理和福利定率
[00895.56-00896.96] 这个刚给原理
[00896.96-00898.08] 咱们太熟悉了
[00898.08-00899.28] 经常会考语一画
[00899.28-00900.36] 就是考这个对应用
[00900.36-00901.52] 刚而原理就说了
[00901.52-00902.92] 如果给我一个支点
[00902.92-00904.76] 我就可以跳动整个地球
[00904.76-00907.16] 就像我们所看到的这个小图
[00907.16-00908.20] 所给到的一样
[00908.20-00909.80] 当给他一个支点的时候
[00909.80-00911.48] 他就可以用杠杆敲东地球
[00911.48-00913.68] 杠杆原理他具体的原理用用
[00913.68-00915.44] 我们会在物理学知识当中
[00915.44-00916.60] 给大家去讲解
[00916.60-00918.20] 在这里大家只需要知道
[00918.20-00919.56] 我们所说的杠杆原理
[00919.56-00921.12] 他是阿基米德
[00921.12-00922.92] 提出来的就可以了
[00922.92-00924.76] 只是第一个叫做杠杆原理
[00924.76-00926.20] 第二个就是阿基米德
[00926.20-00927.92] 他提到了福利定律
[00927.92-00929.20] 他的福利定律
[00929.20-00930.40] 大家一定要注意
[00930.40-00932.04] 我们所说的福利定律
[00932.04-00935.20] 他其实是在测王关的时候发现的
[00935.20-00940.04] 当时国王命经济给他打造了一个网官
[00940.04-00942.00] 就是想这个途上来这个
[00942.00-00942.80] 然后呢
[00942.80-00944.60] 这个网官打完了之后呢
[00944.60-00946.24] 这个国王就会觉得
[00946.24-00948.40] 是这个网官感觉哪里怪怪的
[00948.40-00950.32] 因为他给的经济是纯金字吗
[00950.32-00952.44] 然后这次怕这个经济这个的通检料
[00952.44-00953.08] 然后呢
[00953.08-00955.72] 他就当时说给你多少经济
[00955.72-00957.92] 你们不要给我通检料就十大时
[00957.92-00960.28] 用这个纯金给我打造一个网官就行了
[00960.28-00962.04] 然后当时那些经济说的是
[00962.04-00963.44] OK大网都 problem
[00963.44-00963.80] 对吧
[00963.80-00964.64] 没有问题
[00964.64-00967.76] 但是打造完这个还官之后还官确实是很好看
[00967.76-00971.38] 但是挂网就觉得这个还官
[00971.38-00973.72] 他就不是纯金的
[00973.72-00975.40] 他总感觉这个还官怪怪的
[00975.40-00977.54] 好像里面给他拆了一些其他一些东西
[00977.54-00978.50] 但是他也不确定了
[00978.50-00980.00] 因为网官很惊慇所以
[00980.00-00980.88] 他觉得要是切碎了
[00980.88-00983.68] 在去看的话就是觉得有一点心痛
[00983.68-00985.32] 后来他就找大家说
[00985.32-00986.92] 你们有什么要的办法
[00986.92-00988.80] 能够不切网官
[00988.80-00990.40] 然后不把这个网官毁怀掉
[00990.40-00992.68] 但是就能够撤出来
[00992.68-00994.28] 他到底是不是纯金呢
[00994.28-00997.26] 如果OK的话,我就给你们大大的讲上
[00997.26-01001.14] 当时所有人都在想不清网官,我早知道里面什么样的
[01001.14-01004.36] 就是国安把这个任务下发了后一天
[01004.36-01007.60] 但是下面的工作人员,就是一直没有回应
[01007.60-01010.70] 后来这个时候大家就向国王推荐了阿基米德
[01010.70-01013.18] 说阿基米德是咱们这最聪明的
[01013.18-01015.18] 那你不如阿基米德给你看看得了
[01015.18-01016.92] 后来就把阿基米德交了
[01016.92-01019.82] 说,那我就给你限定几天时间
[01019.82-01021.72] 然后你把这个网官给我撤出来
[01021.72-01023.68] 然后阿基米德回去就在想
[01023.68-01026.00] 怎么样能通过不切割它的方式
[01026.00-01027.08] 然后来发现它的
[01027.08-01028.64] 就每天躲在那个屋子里啊
[01028.64-01029.44] 啥也不干
[01029.44-01030.48] 每天就不停的思考
[01030.48-01032.08] 不停的思考不停思考
[01032.08-01033.64] 然后头也不洗
[01033.64-01035.12] 联也不洗 饭也不吃
[01035.12-01036.00] 早也不洗 对吧
[01036.00-01038.16] 后来喝老婆看在这样下水的话
[01038.16-01040.64] 这王官的密度还没有侧出来
[01040.64-01042.40] 但这个人就已经先走了
[01042.40-01043.96] 后来就给这个阿洁米德
[01043.96-01045.60] 就给它放了一个洗澡水
[01045.60-01046.76] 说来了快点洗澡
[01046.76-01048.76] 把加洗澡这类似于离婚
[01048.76-01049.64] 开玩笑
[01049.64-01052.40] 就是强制它要去休息去放松一下
[01052.40-01055.98] 然后来阿基米的在它亲嘴的腰球之下
[01055.98-01057.26] 然后就去泡澡了
[01057.26-01060.20] 然后当时给它泡澡的水刚生满的
[01060.20-01062.92] 所以当时,阿基米的一脚卖出去的时候水
[01062.92-01065.20] 铺的一下就全都用出来了
[01065.20-01067.12] 它一下撕露就打开了
[01067.12-01070.74] 然后就非常开心的狂门着就到宫店去
[01070.74-01072.14] 到宫店找到国王时候
[01072.14-01074.68] 我找到方法去测量它有没有参加了
[01074.68-01076.98] 什么样的方法呢?其实很简单
[01076.98-01080.04] 这是找到我们所说的这个阻量的
[01080.56-01081.28] 比如说
[01081.28-01083.88] 你这个网官它是多少金
[01083.88-01085.84] 然后我就找到阻量的什么
[01085.84-01087.04] 阻量的金子
[01087.04-01088.72] 然后把他们两个对比一下
[01088.72-01091.92] 先把网官人到这个我们所说的这个水里面
[01091.92-01092.32] 对吧
[01092.32-01094.68] 然后看一下这个网官用出来多少水
[01094.68-01096.52] 然后再把同智量的金子
[01096.52-01098.52] 人到水里开下用出来多少水
[01098.52-01099.96] 如果用出来的水是一样的
[01099.96-01101.80] 那就因为怎么又发生变化
[01101.80-01103.40] 如果用出来的水变多了
[01103.40-01105.52] 或者变少了的是不是网官就不存呢
[01105.52-01107.08] 结果呢一侧的时候发现
[01107.08-01108.72] 同智量的东西扔进去
[01108.72-01111.08] 完全的水更多
[01111.08-01113.92] 所以有此阿基米德发现了一个秘密
[01113.92-01114.76] 什么秘密呢
[01114.76-01117.88] 就是这个事务它的所受到的福利
[01117.88-01120.24] 和它的所排出的水的体积的治疗
[01120.24-01121.36] 是一致的
[01121.36-01121.64] 对吧
[01121.64-01124.44] 所以就发现了我们所说的这个福利定律
[01124.44-01125.36] 所以在这里
[01125.36-01126.84] 就是测量网官发现的
[01126.84-01128.44] 这是有关于阿基米德
[01128.44-01130.00] 它的第一方面的成就
[01130.00-01131.32] 大家分别要能够顿上
[01131.32-01132.08] 就是钢探原理
[01132.08-01132.76] 对于一句话
[01132.76-01133.64] 福利定律
[01133.64-01135.16] 它顿用了一个小故事
[01135.16-01136.64] 这是第一项成就
[01136.64-01137.52] 第二项成就
[01137.52-01138.24] 就是
[01138.24-01139.84] 我们所说的阿基米的
[01139.84-01141.96] 他不仅在物理上很高的造异
[01141.96-01144.72] 他的数学成就也非常的高
[01144.72-01148.00] 所以阿基米的和高斯还有扭顿
[01148.00-01152.00] 换下就并成为世界三大数学家
[01152.00-01154.68] 那这里面就会考察两个人物
[01154.68-01157.20] 这样个人物就会考察高斯和扭顿
[01157.20-01158.40] 高斯和扭顿
[01158.40-01161.24] 以及米的是世界三大数学家
[01161.24-01163.32] 他们的数学成就用哪些
[01163.32-01165.72] 阿基米的一般不太考他的数学成就
[01165.72-01167.12] 阿基米的在考的时候
[01167.12-01168.80] 往往烤它的理论成就啊
[01168.80-01170.64] 阿津米豆出的朋友也很好
[01170.64-01172.56] 大家应该是在小学课本的时候
[01172.96-01173.56] 学过
[01174.44-01177.12] 一个文章好像说是打仗了还是怎么样的
[01177.12-01179.04] 然后阿津米豆就在那个方算数
[01179.04-01179.36] 对吧
[01179.36-01180.64] 然后算数的时候这个时候
[01180.64-01181.44] 一均打进来了
[01181.44-01184.08] 阿津米豆说你等一下不要采了我的这个
[01184.08-01185.68] 计算的内容 对吧
[01185.68-01187.12] 那那个时候其实算了
[01187.12-01189.16] 就是我们所说的数学
[01189.16-01190.68] 所以他的这个数学成就
[01190.68-01191.76] 造野很高
[01191.76-01193.76] 他算出来了球的面杰
[01193.76-01194.76] 球的体积
[01194.76-01195.92] 还有我们所说的什么
[01195.92-01198.02] 相应的偷线之类的东西
[01198.02-01200.06] 这个就是我们所说的
[01200.06-01201.80] 阿基米德的数量成就
[01201.80-01204.06] 那除了阿基米德之外这里面还有
[01204.86-01205.76] 两个人物
[01205.76-01206.58] 这两个人物是谁呢
[01206.58-01207.38] 高斯
[01207.38-01209.36] 我对高斯的印象特别深刻
[01209.36-01210.36] 没啥呢
[01210.36-01212.76] 因为我在那个高中的时候
[01212.76-01214.40] 然后咱们不是会学
[01214.40-01215.64] 那个有一个必修武
[01215.64-01218.30] 反正在我那个时候是必修武的这个教材
[01218.30-01219.88] 然后那个数学教材
[01219.88-01222.20] 他学等插数类和等比数类
[01222.20-01224.54] 然后学等插数类的等比数类的时候
[01224.54-01228.02] 然后大家都知道学生以前总练做那种暴纸
[01228.02-01229.94] 对吧 学校会订了那个暴纸
[01229.94-01231.18] 暴纸中间
