[00000.00-00002.82] 那无全变弄的基本规则咱们说了
[00443.88-00445.92] 所以同时就是在这里面
[00445.92-00447.32] 你的雷达一定要起动
[00447.32-00448.64] 他如果在提案当中说
[00448.64-00452.22] 小某人也自己的名义出卖了别人东西
[00452.22-00453.72] 正如说警报就应该想了
[00453.72-00456.68] 你在脑海当中迅速散过四个大字就叫做什么
[00456.68-00458.36] 善意也去得
[00458.36-00459.90] 那这里面我们来看一下
[00459.90-00462.40] 这个只是善意取得的一个大前提
[00462.40-00463.66] 就叫做无权处分
[00463.66-00465.08] 善意取得善意取得嘛
[00465.08-00466.60] 那首先你一定要是什么
[00466.60-00468.12] 你一定要是善意的
[00468.12-00470.12] 那我怎么判断他是善意的呢
[00470.12-00470.78] 大助一下
[00470.78-00473.72] 这里面的善意是主客观相结合的
[00473.72-00475.48] 首先第一个在主观上
[00475.48-00477.00] 你不是恶意的
[00477.00-00479.00] 也就是说在这里他说了
[00479.00-00481.38] 他说受让人,有着这里的小灾
[00481.38-00483.84] 受让人,收上该台产时是善意的
[00483.84-00484.94] 所以的善意就是什么
[00484.94-00486.08] 这才不知情
[00486.08-00488.78] 他不知道这个东西不是小闭的
[00488.78-00489.98] 就是他不知情
[00489.98-00492.06] 善意只是主观上
[00492.06-00495.50] 那你客观上还有善意的举动才能说你是客观的
[00495.50-00497.22] 那这个时候客观是要干嘛
[00497.22-00499.20] 客观是要支付合理的对价
[00499.20-00502.86] 所以善意去的善意主客观相结合
[00502.86-00505.00] 首先你不知情第二个
[00505.00-00505.76] 你给钱了
[00505.76-00507.96] 你不能白条战便宜
[00507.96-00509.92] 你战便宜只能不能算善意的
[00509.92-00510.44] 对吧
[00510.44-00513.04] 所以叫客观上支付了和礼对象
[00513.04-00514.44] 那你看这是善意
[00514.44-00515.88] 那最后这个小碎
[00515.88-00517.92] 它能不能取得这个预则
[00517.92-00519.72] 成为这个预则的搜权人呢
[00519.72-00521.76] 是吧还有一个词就做取得呀
[00521.76-00523.24] 所以取得是什么意思呀
[00523.24-00525.76] 你想要取得这个东西的搜权
[00525.76-00528.84] 你必须要看看有没有公施
[00528.84-00530.32] 如果是不动产
[00530.32-00531.52] 那就需要灯劲
[00531.52-00532.48] 如果是动产
[00532.48-00533.76] 那就需要九富
[00533.76-00535.68] 那你看我刚才这个提干当中
[00536.32-00540.32] 小闭以自己的名义出卖了小A的调状
[00540.32-00543.68] 那他首先是无权处分这个没有问题
[00543.68-00547.76] 那爹在这里小C他怎么样不知情我写在旁边
[00547.76-00549.40] 那小C他也不知情啊
[00549.40-00551.08] 那你说这个东西是你的
[00551.08-00552.72] 那我也没有办法去考照
[00552.72-00554.08] 所以在这里他不知情
[00554.08-00556.16] 那不知情他就是什么
[00556.16-00558.00] 主观上是善意的
[00558.00-00559.12] 他不仅主观善意的
[00559.12-00560.64] 他客观还支付了什么
[00560.64-00562.72] 客观还支付了25万块钱呢
[00562.72-00566.92] 所以你看它符合山一的条件符合
[00566.92-00570.36] 同时这个小闭还把这个东西交付给了小
[00570.36-00573.12] 小灾 交付 那你看有没有发生
[00573.12-00575.12] 目前别动效率 发生了
[00575.12-00577.64] 交付是不是就是我们所说的公式之一
[00577.64-00580.32] 所以无权处分 山一也取得
[00580.32-00582.88] 在这里面 小灾就是什么
[00582.88-00586.52] 就是预则的后来的机创引
[00586.52-00587.92] 那不能叫机创引
[00587.92-00588.76] 说啥的 对吧
[00588.76-00590.16] 就是这个预创的什么
[00590.16-00591.20] 所有权人
[00591.20-00593.56] 所以你看它只要符合这三个条件
[00593.56-00595.40] 你一个个王里扣你就知道
[00595.40-00597.24] 它到底能不能山一岁的了
[00597.24-00599.44] 那这里面很多同学就开始操心了
[00599.44-00602.68] 老师那你这里也把小闭和小碎的关系处理好了
[00602.68-00604.44] 小碎花了如果快先买了个玉猪儿
[00604.44-00605.44] 它也不吃虧
[00605.44-00606.72] 那这里谁吃虧了
[00606.72-00608.88] 这里小A吃虧了
[00608.88-00610.40] 小A吃虧了就说你看
[00610.40-00613.88] 你说老师小A不是原来的玉猪的搜权热吗
[00613.88-00615.24] 现在小A吃虧了
[00615.24-00617.88] 它能不能说找小碎把玉猪要回来
[00617.88-00618.84] 不行
[00618.84-00620.24] 咱们刚才说的是啥
[00620.24-00622.04] 小虽现在处理什么
[00622.04-00623.32] 小虽现在处理
[00623.32-00625.12] 善意取得
[00625.12-00626.88] 那他既然是善意取得的话
[00626.88-00628.96] 那他其实就是有全战友
[00628.96-00630.36] 有全战友的话
[00630.36-00633.56] 小A就不能找小虽把东西要回来了
[00633.56-00636.12] 因为反而要务请求全只能针对什么
[00636.12-00637.20] 无全战友人
[00637.20-00639.12] 但人小虽现在是有全战友
[00639.12-00640.20] 花了钱卖的
[00640.20-00641.76] 那说老师他小A怎么办呢
[00641.76-00642.76] 好可怜啊
[00642.76-00643.40] 对吧
[00643.40-00645.08] 二十万预处理就叫没有了
[00645.08-00645.72] 哎
[00645.72-00647.12] 没有办法把东西要回来
[00647.12-00647.88] 但是怎么办
[00647.88-00649.36] 他们之前签论一个
[00649.36-00659.60] 保管合同嘛,保管合同翻译什么效烈,这一圈效烈嘛,这是一个合同,那合同你不按合同总,那小也可以追究小笔的什么责任,那一约责任嘛
[00659.86-00670.86] 对吧,所以在这里面你看,还是那个大原子,就是一都是关系分析一都是关系的,当人物开始变多的时候,同们一定不要着急把他们都胡在一块,就像我这样
[00670.86-00675.20] 平着大家的知识土贝,你哪怕?
[00675.20-00682.90] 刚开始不熟练也没有关系,你一点一点去的画出来,所以在这里面大家注意一下,这是善意取得的过程要去
[00682.90-00693.12] 善意取得过程要去,第1个大型体验无权处分,第2个善意,主客官,相接和主观,不知请客官,支付和劉力价,去德呢?
[00693.12-00696.20] 多谢是你的那就要进行共识
[00696.20-00698.68] 叫不动产登记动产要进行
[00698.68-00700.28] 叫付山区的
[00700.28-00702.20] 山区的法律后果是啥呢
[00702.20-00705.04] 咱们刚才在那个按灵模型当中是我们大家说了
[00705.04-00707.04] 首先第一个就是小A
[00707.04-00710.28] 它有没有权请求山区的第三个反怀
[00710.28-00712.20] 不想因为人家是啥
[00712.20-00713.28] 有权占有吗
[00713.28-00715.12] 所以你好在这里说的打了个差
[00715.12-00717.80] 小A没有办法让小C给他东西
[00717.80-00719.92] 因为在这里人家是
[00719.92-00722.32] 善意取得了第三人是有權在有
[00722.32-00726.28] 所以他無權要求他反合任務
[00726.28-00727.84] 那你說老師咱們剛才說了
[00727.84-00729.32] 那小月豪可連怎麼辦
[00729.32-00732.32] 他有權向誰想無權處分人請求損
[00732.32-00733.32] 他想損失敗
[00733.32-00735.20] 小壁做了缺德的事
[00735.20-00737.44] 那這個時候就去追究小壁的
[00737.44-00738.32] 唯一人責任
[00738.32-00739.84] 所以這個點我今天也同意
[00739.84-00741.16] 如果你說老師我寄不住
[00741.16-00741.76] 那怎麼辦
[00741.76-00744.12] 就把這個按鈴魔形容去給的記住
[00744.48-00745.72] 按鈴魔形當中
[00745.72-00746.80] 兩度是關係
[00746.80-00748.96] 小鷹和小壁保管合同關係
[00748.96-00751.60] 小幣和小灾 善一区的
[00751.60-00752.48] 善一区的
[00752.72-00755.48] 善一区的家劳性主分
[00755.48-00757.24] 这个就是我们所说的
[00757.24-00758.80] 善一区的工程要件
[00758.80-00760.80] 以及它的法律后果
[00760.80-00762.40] 这个就是我们所说的
[00762.40-00763.76] 这个所选区的
[00763.76-00765.20] 这个案例模型书里
[00765.20-00766.48] 为了地写在前面了
[00766.48-00768.68] 就是刚才给大家看到的这个
[00769.20-00770.48] 这两个关系
[00770.48-00771.96] 所以大家只需要把握住
[00771.96-00773.60] 刚才所说的一个工程要件
[00773.60-00774.76] 然后想想那个图
[00774.76-00776.72] 人家善一区的支付和绿队家的
[00776.72-00777.92] 你在往回药东西
[00777.92-00779.32] 那不傷害人的情感嘛
[00779.32-00779.60] 對吧
[00779.60-00782.12] 所以他無權向善意一三人法官
[00782.12-00785.16] 但是有權追究無權處罰人的畢業責任
[00785.16-00787.08] 讓他配場進去損失
[00787.08-00788.80] 那這是我們所說的關於
[00788.80-00790.60] 所有權道去得
[00790.60-00793.28] 那所有權取得當中大家注意下
[00793.28-00794.56] 善意取得
[00794.56-00796.44] 他是不是所有的情形都是用呢
[00796.44-00798.72] 是不是所有的東西都能善意取得呢
[00798.72-00802.08] 大家注意下不是所有的東西都能善意取得的
[00802.08-00803.36] 有的是一個人
[00803.36-00804.36] 如果在這個時候
[00804.36-00805.44] 賣給你一下東西
[00805.44-00807.40] 如果現在人家原主人
[00807.40-00808.44] 现在来瞅你要了
[00808.44-00809.80] 你能不能说我也是
[00809.80-00811.96] 我是在地山人来去对抗人
[00811.96-00812.80] 叫圆权力人
[00813.40-00815.32] 并不一定所有的情况都使用
[00815.32-00816.28] 也是刚才小
[00816.28-00817.96] A像小C1要东西
[00817.96-00819.28] 要不回来这种情况
[00819.48-00821.80] 并不是所有的条件都使用的
[00821.96-00823.60] 那这个使用的主要是来
[00823.60-00824.72] 看一下山一举德
[00824.72-00826.24] 他的一个使用的情况
[00826.52-00827.84] 山一举德使用的情况
[00827.84-00828.76] 跟军民法来看
[00828.76-00831.08] 他就是法无禁止的机会为
[00831.20-00833.96] 所以法律如果给到了明文的进入规定
[00833.96-00835.84] 那这些东西是不能山一举德的
[00835.84-00839.42] 不能山西德就意味着完全的人像你讨料的时候
[00839.42-00841.28] 你这个时候就应该把东西怎么样
[00841.28-00842.24] 还给人家
[00842.24-00845.06] 那来看一下哪些情况不是用山西德呢
[00845.06-00845.74] 却意
[00845.74-00848.12] 叫转任何度无效或者是被撤销的
[00848.12-00850.44] 因为我们国家强调的搜权的取得
[00850.44-00852.22] 无权变动它是有因性的
[00852.22-00854.78] 它一定是有一个合理的合同在
[00854.78-00856.58] 如果这个合同被撤销了
[00856.58-00860.16] 那就意味着这个无权变动没有一定的理论之称
[00860.16-00863.60] 因为咱们前面说的是基于合同所发生的无权变动
[00863.60-00866.74] 如果没有合同的话 目前变多没有因
[00866.74-00868.72] 这个时候人家把东西要回去
[00868.72-00871.54] 李所当然 所以主要人家的合同无效
[00871.54-00874.48] 会被撤销的 不是用山一期的
[00874.48-00876.66] 第二个就是什么 就是这个
[00876.66-00880.50] 叫做一师物到当务和买草物
[00880.50-00883.82] 一师物到当务和买草物 不是用山一期的
[00883.82-00886.64] 那就因为人员权力人像你追溯的时候
[00886.64-00888.94] 追逃的时候 你要把东西给人家
[00888.94-00891.26] 这里面最维场界的就是这个
[00891.26-00893.96] 到髒物一食物 比較常見
[00893.96-00895.42] 這年不太有了
[00895.42-00897.40] 前一年的時候不知道大家也沒有注意
[00897.40-00899.44] 就是大家做火車
[00899.44-00900.66] 尤其是冬天
[00900.66-00901.84] 我發現冬天的時候
[00901.84-00903.28] 這種情況是比較多的
[00903.28-00905.98] 冬天天氣雷冷
[00905.98-00907.04] 然後延醜的呢
[00907.04-00909.54] 就是要到了那個啥了
[00910.64-00912.12] 延醜的就到春節了
[00912.12-00913.46] 然後這輛車又回家
[00913.46-00915.02] 我不知道大家有沒有見到反正我是見
[00915.02-00916.22] 我微嚇火車
[00916.22-00917.62] 或者我剛就火車站路上
[00917.62-00919.10] 然後現在應該是沒太有了
[00919.10-00921.78] 在路边有很多的这种大鸽大鸽
[00921.78-00923.58] 对吧 穿着那个大衣
[00923.58-00924.74] 然后那个大衣呢
[00924.74-00926.30] 里面挂个全手机
[00926.30-00927.62] 又会在那边摆托
[00927.62-00929.58] 苹果手机 五百块钱一个
[00929.58-00931.42] 然后这个时候大家注意
[00931.42-00932.86] 它所卖的这些东西
[00932.86-00935.42] 要么就是一十五 要么就是到座物
[00935.42-00937.38] 那如果我真的是在这个地套上
[00937.38-00938.90] 买了一个五百块钱的手机
[00938.90-00941.02] 那这时候会产生什么情况
[00941.02-00942.18] 买了五百块钱手机之后
[00942.18-00943.06] 大家都知道苹果手机
[00943.06-00944.06] 华尔手机等等手机
[00944.06-00945.26] 现在是不是都有定位
[00945.26-00946.74] 那我现在有定位的话
[00946.74-00948.38] 它的原主人现在找到我说
[00948.38-00950.38] 这个手机是我的我跟你订阅找了你了
[00950.38-00951.66] 你不把手机还给我
[00951.66-00952.94] 我可就报警抓你了
[00952.94-00953.98] 我当时一听
[00953.98-00955.26] 去去报警而已
[00955.26-00956.38] 我怕你还不成
[00956.38-00957.82] 所以我不是没进去过
[00957.82-00959.02] 然后我就说好的
[00959.02-00960.06] 把手机还给你
[00960.06-00960.94] 那你看
[00960.94-00962.14] 这种情况之下
[00962.14-00963.10] 你调组一
[00963.10-00964.38] 他问我要手机了
[00964.38-00966.78] 我能不能跟这个原师主说
[00966.78-00967.02] 我说
[00967.02-00968.86] 哎一可不能超我要手机啊
[00968.86-00969.66] 我说
[00969.66-00970.70] 这个手机
[00970.70-00972.78] 他可是我在天桥的
[00972.78-00974.54] 毕端上朝一个大哥
[00974.54-00975.82] 花五百块钱买的
[00975.82-00976.78] 我又不是这个
[00976.78-00978.30] 不知道这个东西是你的
[00978.30-00981.26] 我說我現在是善意取的法律保護網
[00981.26-00983.06] 不保護為什麼不保護
[00983.06-00984.18] 你想就知道
[00984.18-00985.34] 他東西賣弄便宜
[00985.34-00986.34] 他一定是嗎
[00986.34-00987.94] 你認不是重到來源來的
[00987.94-00989.18] 還在那麼一個
[00989.18-00992.22] 沒有競爭資質的那樣的地方去買東西
[00992.22-00993.58] 你在這種情況下買東西
[00993.58-00995.26] 你本身夠不夠是善意
[00995.26-00999.82] 你本身在主觀上的善意程度就已經不能算了
[00999.82-01002.26] 換句話說你這有時候你只能是知情的
[01002.26-01002.62] 對吧
[01002.62-01003.98] 如果說你在這裡面
[01003.98-01006.14] 去一個沒有資訊的地方去買這個東西
[01006.14-01007.38] 沒有辦法保障的權益
[01007.38-01008.38] 你自己也知道啊
[01008.38-01009.90] 那这个时候到当误
[01009.90-01011.34] 一师务买藏误
[01011.34-01012.76] 他不能使用上去的
[01012.76-01015.06] 原权力人像你最左的时候
[01015.06-01016.34] 把东西要还能人家
[01016.34-01017.86] 所以在这里面大家注意下
[01017.86-01019.54] 叫一师务到当误买藏误
[01019.54-01020.44] 不是用上去的
[01020.44-01022.88] 这里面最长考的就是前两个
[01022.88-01025.02] 就是一师务和到当误
[01025.02-01026.34] 这个点点注意下
[01026.34-01028.88] 获逼或者是无几名的有家政务
[01028.88-01030.12] 获逼的标特说
[01030.12-01030.98] 赵极所有
[01030.98-01032.58] 所以不是用上去的
[01032.58-01034.62] 进着流通的误片
[01034.62-01037.84] 静着流通的乎品都没有办法流通啊你怎么上一区的呢对吧
[01037.84-01039.54] 所以在这里面大家注意一下啊
[01039.54-01041.30] 只是不是用上一区的情形
[01041.30-01045.28] 不是上一区的情形当中说最重要的说是一书到章物
[01045.28-01047.42] 而这两个考的最多的情形是什么
[01047.42-01049.10] 其实我们所说的这个
[01049.10-01052.22] 一书啊所以一书呢它有关于
[01052.90-01056.06] 相用的这个内容小大亚却做一个书里
[01056.06-01058.50] 咱们来看一下有关于一书的相关内容
[01058.50-01059.46] 我刚才说了
[01059.46-01061.74] 同时不要在旁边一书前面写上
[01061.74-01063.30] 我说了一书怎么呀
[01063.30-01068.80] 大主要,一失誤他是不能善意取得的
[01071.30-01074.80] 大主要,一失誤他是不能善意取得的
[01074.80-01077.30] 什麼叫善意取得,就是剛才說了
[01077.30-01080.30] 無權處分,加善意加取得
[01080.30-01084.30] 他沒有辦法通過這種方式,獲得這個東西的,所以說
[01084.30-01087.80] 但是,我又沒有說,一失誤不能取得了
[01087.80-01089.80] 他是兩人概念
[01089.80-01091.80] 我說了,一失誤不能善意取得
[01091.80-01093.80] 大家能不能说一食物不能去的
[01095.40-01096.12] 不是啊
[01096.12-01098.60] 因为我们所说的所有权的取得
[01098.60-01101.80] 除了下一期的这种原始取得之外还有什么
[01101.80-01103.16] 还有技术取得
[01103.16-01107.00] 所以它在这里并不意味着一食物不能去的
[01107.00-01108.36] 你可以接受取得
[01108.36-01111.80] 你可以这个时候通过我们所说的这种一食物
[01111.80-01114.36] 它卖给手标电腻去手标电腻去卖
[01114.36-01115.48] 这个时候就怎么样
[01115.48-01116.76] 你就是一技术取得了
[01116.76-01118.92] 所以它是不能善意取得
[01118.92-01121.40] 但是人家没说一食物不能去的
[01121.40-01123.64] 这两个本质上是有区别的
[01123.64-01124.40] 明白了吧
[01124.40-01125.60] 所以在这个地方考试
[01125.60-01126.80] 或者是选项当中
[01126.80-01127.32] 如果出现
[01127.32-01128.72] 说一书不能取得
[01128.72-01129.24] 那就知道
[01129.24-01130.36] 这种说法是对来的
[01130.36-01131.12] 这种说法
[01131.12-01132.52] 它就是错的
[01132.52-01133.52] 这种说法错的
[01133.52-01134.72] 所以大家也一定要注意一下
[01134.72-01135.84] 这是我们所说的
[01135.84-01136.80] 这一个内容
[01138.00-01138.48] 好
[01138.48-01139.52] 这是我们所说的
[01139.52-01139.92] 有关于
[01139.92-01140.40] 第一个
[01140.40-01140.96] 一书
[01140.96-01142.40] 不能吓一去的
[01142.40-01143.44] 一书不能吓一去的
[01143.44-01144.48] 这是第一个
[01144.48-01145.36] 那第二个点
[01145.36-01146.60] 在这里面大家注意一下
[01146.60-01147.96] 那有关于一书
[01147.96-01149.60] 它的一个整体上
[01149.60-01153.58] 我们所说的从他身上出现的这种考点到流纳线
[01153.58-01155.02] 同时在旁边标准一下
[01155.02-01156.64] 既然一书不能善意起的
[01156.64-01157.40] 那就意味着
[01157.40-01158.36] 人家找你要东西
[01158.36-01160.68] 就把东西应该还给人家
[01160.68-01166.48] 所以如果说所有权人或者是其他权利人
[01168.16-01169.08] 有权
[01170.40-01171.60] 追回一书
[01172.84-01175.04] 你这种情况下你不能对客人家
