[00000.00-00004.34] 好的 那我们就从红官概念上其实是了解了
[00004.34-00006.64] 我们所说的整个迷侍法律员关键
[00283.06-00287.06] 因为在这里,他有没有做人的资格,他有做人的资格
[00287.06-00289.06] 对吧,无论年龄大小一略平等
[00289.06-00293.06] 所以你看像三岁的小孩,然后16岁的青年
[00293.06-00296.06] 25岁的少年对吧,40岁的中年
[00296.06-00298.06] 那他其实都是我们所说的想有什么
[00298.06-00301.06] 想用我们所说的这个,民事权利的
[00301.06-00305.06] 幻觉话说,他其实就是想有在法律上做人的资格
[00305.06-00307.06] 老师,你出的这么抽象,到底想干啥呢
[00307.06-00309.30] 我在这里想给大家解释的就一个点
[00309.30-00310.18] 大家知道
[00310.18-00312.30] 自然它所谓的民事权利能力
[00312.30-00314.78] 也是做法律一上的人的能力
[00314.78-00318.54] 它无论年龄大小无论它的性别差异
[00318.54-00322.50] 它的民事权利能力从哪儿开始从哪儿结束呢
[00322.50-00324.30] 在书上有一块大住一下
[00324.30-00326.22] 自然的民事权利能力
[00326.22-00328.22] 就是它做法律一上的人的能力
[00328.22-00330.14] 不受外在任何条件的限制
[00330.14-00331.26] 它只有一个点
[00331.26-00334.70] 就是它是史语出生终于死亡的
[00334.70-00336.24] 也就是我们正常说的
[00336.24-00337.64] 他像民事权利能力
[00337.64-00339.18] 他从出生那一刻开始
[00339.18-00341.50] 那他这个时候就是法律上的人
[00341.50-00343.92] 到他我们所说的这样的死亡结束
[00343.92-00346.62] 他作为法律上的人的身份中解
[00346.62-00349.34] 这个时候他的民事权利能力就会消失
[00349.34-00351.04] 所以在这里面考察了第一个点
[00351.04-00351.60] 大家注意一下
[00351.60-00353.26] 就是这个民事权利能力
[00353.26-00356.52] 他是死于出生中于死亡的
[00356.52-00358.06] 在这里大家标注一下
[00358.06-00359.02] 这是权利能力
[00359.02-00360.54] 他的一个骑志时间
[00360.54-00361.58] 但是问题呢
[00361.58-00363.10] 其实就是出现在这
[00363.10-00366.44] 他所说的 始于出生终于死亡
[00366.44-00367.58] 考验在什么呢
[00367.58-00370.00] 考验在于出生和死亡的时间
[00370.54-00373.16] 怎么去借定 或者是我们所说的
[00373.16-00375.46] 怎么去确定更为合理一些
[00375.46-00376.84] 比如说一个小孩
[00376.84-00379.00] 他出生了之后 他都有一个什么
[00379.00-00382.04] 他出都有一个我们所说的这个出生证明
[00382.04-00383.98] 对吧 那个出生证明上上面就写了
[00383.98-00384.98] 说小朋友
[00384.98-00387.68] 然后呢 他是每年每月每日出生
[00387.68-00390.04] 然后这个时候呢 给他在这个出生证明上
[00390.04-00396.24] 不知道大家有沒有見過,就是,一個小以前是一張嘴,現在可能類似於像一個小本子一樣,
[00396.24-00400.62] 然後這邊寫上寶寶的巨星系,然後有個小醫院,就會在這個地方,
[00400.62-00404.26] 我也不太會畫,這個腳畫的有點大,不像小孩的腳。
[00404.26-00409.82] 在這裡面,在這裡,在這個地方,就會按上小孩的腳頁。
[00409.82-00412.82] 那這個就是這個寶寶的,什麼?出生證明,
[00412.82-00416.38] 所以出生證明如何確定,大家在旁邊標準一下,
[00416.38-00419.94] 它的出生的時間是也出生證明為準的。
[00420.04-00424.74] 那是以出生證明 微准
[00424.74-00427.84] 但是一樣的 有很多的小朋友
[00427.84-00429.64] 他其實是沒有出生證明的
[00429.64-00432.64] 比如說 像我 我其實就不知道我的出生證明
[00432.64-00434.84] 在哪 因為以前有那個東西
[00434.84-00436.24] 但我媽在收入東西的時候
[00436.24-00437.44] 出生證明又怎麼沒了
[00437.44-00438.64] 對吧 那你只有請我換這下
[00438.64-00440.04] 你就沒有出生證明了
[00440.04-00441.04] 那沒有出生證明
[00441.04-00443.64] 怎麼能證明我的 有效身分呢
[00443.64-00445.24] 那這時候就看我的什麼
[00445.24-00448.24] 護集 或者是登記記載的時間
[00448.24-00449.24] 所以在這裡面
[00449.24-00451.02] 我出生证明就以出生证明没准
[00451.02-00453.08] 没有出生证明的话就以他的什么没准
[00453.08-00455.12] 就以他的呼籍登记为准
[00456.66-00457.64] 我出生证明没有了
[00457.64-00458.46] 但我有什么
[00458.96-00459.74] 出生证明没有了
[00459.74-00461.28] 但是我有身份证
[00461.28-00462.14] 我有呼呼管本
[00462.14-00464.40] 所以在这时候没有出生证明的就以
[00464.40-00465.56] 呼籍登记
[00465.56-00466.38] 或其他有效
[00466.38-00468.20] 身份登记记载的时间为准
[00468.20-00469.72] 比如说记载我的时间
[00469.72-00471.64] 1993年5月22号
[00471.64-00472.46] 那这里面
[00472.46-00475.68] 那我的出生时间就是5月22号
[00475.68-00476.64] 那在这里面
[00476.64-00477.66] 我的出生
[00477.66-00482.46] 93年5月22日,那天开始,我就成为了一个反律上的什么独立的人
[00482.46-00488.66] 所以在这里面,大家要注意一下,这是我们所说的,它的一个出生时间,它的出生时间
[00488.66-00498.66] 这里面,大家注意,那死亡的时间也是要,死亡时间有死亡正名的一死亡,正名为准,没有死亡正名的话,那就是看乎机登记,或其他有消失门信息登记为准
[00498.66-00500.86] 唯一般人去世的话
[00500.86-00503.14] 我们是不是要去关局去给他怎么样 消护
[00503.14-00506.78] 这种情况其实都会有相当的时间灯记
[00506.78-00510.82] 所以在这里面大家需要掌握的出生和死亡时间
[00510.82-00515.26] 它的整体上的一个我们所说的考察
[00515.26-00517.38] 有出生证明和死亡证明的一些为准
[00517.38-00519.90] 没有的就以呼类灯记性性为准
[00519.90-00523.18] 这是在权利能力当中的第一个考点
[00523.18-00526.66] 如果去确定出生的时间和死亡的时间
[00526.66-00528.66] 但是问题的出在哪呢
[00528.66-00530.46] 大家注意一下问题是出在啊
[00530.46-00532.16] 这是我们在法律上
[00532.16-00536.66] 他有的时候呢会清晰于保护我们所说的生前和死后的利益
[00536.66-00539.46] 因为我们说了当他具有权力能力的时候
[00539.46-00541.26] 我们才说了他是法律上的人
[00541.26-00544.36] 这种情况之下我们才能够保护他的权力
[00544.36-00546.96] 但是在一般情况之下说了一个人呢
[00546.96-00552.96] 他的一个权力是死于出生中于死亡的
[00552.96-00553.46] 对吧
[00553.46-00555.24] 那也就是在这个情况之下
[00555.24-00557.86] 它是有相应的权力能力的
[00557.86-00559.74] 但是在特殊情况之下
[00559.74-00563.30] 法律它也会保护在出生和死亡之后的利益
[00563.30-00565.86] 比如说在一个小宝宝出生之前
[00565.86-00567.46] 对吧在妈妈的肚子里的时候
[00567.46-00569.78] 然后这时候的妈妈去医院看病
[00569.78-00570.98] 妈去医院看病的时候
[00570.98-00572.18] 就医院就开错药了
[00572.18-00573.90] 然后就给这个运负吃了
[00573.90-00576.26] 那运负吃了之后肚子里的宝宝生出来
[00576.26-00578.46] 身体体弱或者身出来激行
[00578.46-00579.54] 那这种情况之下
[00579.54-00581.22] 你看这个小宝宝还没有出生
[00581.22-00583.62] 那就意味着他不是法律上的人
[00583.62-00586.96] 但是確實是意味醫院的行為導致了他出生之後
[00586.96-00589.72] 半有殘疾或者身體出現了一些不好的狀況
[00589.72-00591.46] 那小寶寶有沒有受到傷害
[00591.46-00593.42] 寶寶其實是有受到傷害的
[00593.42-00596.12] 他是在出生之前就已經受到傷害了
[00596.12-00597.16] 那在這種情況之下
[00597.16-00599.06] 法律寶不搞互太耳的利益
[00599.06-00600.52] 那就會睡到什麼問題
[00600.52-00602.08] 那就會睡到另外一個問題
[00602.08-00602.92] 就是在這
[00602.92-00603.88] 我們說了
[00603.88-00605.88] 死於出生終於死亡
[00605.88-00608.56] 那這種情況之下在生前的利益
[00608.56-00609.66] 要不要保護
[00609.66-00611.20] 对吧 这是第一种情况
[00611.20-00612.26] 我们先按下不表
[00612.26-00613.76] 在生前它还是太儿的时候
[00613.76-00614.26] 怎么办
[00614.26-00615.80] 那这是第一个问题
[00616.06-00617.34] 第二问题是什么呢 就是
[00617.86-00618.94] 有一种情况
[00618.94-00621.68] 还有一种情况就是经常我们可以看到在晚上造谣的
[00621.68-00622.86] 我就看到这种情况
[00622.86-00624.50] 我又会非常的生气
[00624.76-00627.32] 就让会有在网上造谣的这样的一个情况
[00627.58-00629.12] 你看一个人他都去世了
[00629.12-00630.66] 然后还有人在网上造谣
[00630.66-00632.44] 然后就拿这个
[00632.70-00633.98] 已经去世了这个人
[00633.98-00636.02] 然后用他去消费博一流量博院球
[00636.28-00638.32] 对吧在晚上造谣的那个谣有个都不能看
[00638.32-00641.20] 留下在今年是不是有特别痛心的一个新闻
[00641.20-00643.24] 我不知道大家应该继不记得
[00643.24-00644.96] 有一个小朋友
[00644.96-00647.08] 然后他在学校的时候
[00647.08-00648.56] 不小心被那个车
[00648.56-00650.60] 就是免疫了一下
[00650.60-00652.12] 之后最后不兴趣事了
[00652.12-00655.40] 然后后来他的母亲最后跳楼了
[00655.40-00657.60] 然后在他母亲自杀挑了自杀之后
[00657.60-00660.32] 网上还有很多人在母黑这个母亲
[00660.32-00661.56] 大家有在网上看到这种
[00661.56-00663.48] 我们看到的这种小女之后
[00663.48-00665.40] 我相信大家都在下面留了评论
[00665.40-00665.76] 对吧
[00665.76-00668.00] 能说出那种不好的话
[00668.00-00670.24] 造谣的人他真的是连处成的不如
[00670.24-00672.88] 在这个里面其实就会睡到另外一个问题
[00672.88-00676.24] 就是小孩子也好或者这个孩子的母亲也好
[00676.24-00677.60] 他在趋势了之后
[00677.60-00679.20] 还有人在网上说他的会话
[00679.20-00680.08] 那这种情况之下
[00680.08-00681.68] 他的权一要不要得到保护呢
[00681.68-00684.00] 我们都觉得这种事情发生了之后
[00684.00-00685.12] 让特别的分开
[00685.12-00688.00] 这个造谣的人往包的人就应该受到法律的制裁
[00688.00-00688.40] 对吧
[00688.40-00690.56] 我们的想法其实就是法律的想法
[00690.56-00692.56] 那这个时候其实就体现另外一个点
[00692.56-00694.40] 就是在一个人他趋势之后
[00694.40-00695.68] 他死后的利益
[00696.70-00698.24] 也是我们所说的死者
[00698.50-00700.04] 他的利益要不要说到保护呢
[00700.28-00701.06] 要说到保护
[00701.32-00706.44] 那如果我们刚才说了类似于太尔或者是类似于死者死后他的权育都是到保护
[00706.68-00709.50] 那这里每周出现一个问题哦什么问题呢我们刚才说了
[00709.76-00714.12] 我们所说的民事权利能力他是屎于出生中约死亡的
[00714.38-00719.24] 那这种情况之下太尔和死者他都不是民事权利
[00719.74-00721.80] 我们所说的所规定的法律上的人
[00721.80-00725.02] 那如果对他们进行保护的话应该如何去保护呢
[00725.02-00726.16] 那其实这个点
[00726.16-00728.52] 就是我们在考试当中经常会考察到的
[00728.52-00730.32] 只有关于他而利益的保护
[00730.32-00733.26] 以及我们所说的私着人格利益保护的问题
[00733.26-00737.48] 也就是有关于生前和死后的全一保护问题
[00737.48-00740.62] 这个点他其实是考试当中的一个重点
[00740.62-00742.60] 也是考试当中的一个难点
[00742.60-00746.20] 一般情况下在这里考察的是什么理解行的题目
[00746.20-00748.68] 好 那我们有了这个概念之后
[00748.68-00754.52] 接下来我们来看一下有外与死者生前和死后利益的保护的相当问题
[00754.52-00758.84] 首先来看一下第一个点就是在死者生前的利益的保护
[00758.84-00762.88] 死者生前利益保护者撤重的是对谁是对Tire的利益保护
[00762.88-00765.32] 对Tire的利益保护一般情况之下
[00765.32-00768.96] 我们遵循的是一个原则三个利益
[00771.44-00774.80] 一般遵循的是一个原则三个利益
[00774.80-00776.68] 什么叫做一个原则三个利益呢
[00776.68-00778.68] 我们刚才说了一般情况之下
[00778.68-00781.16] 他而他出生之前
[00781.16-00782.24] 他不享有什么
[00782.24-00783.44] 他不享有名式
[00783.44-00784.60] 权利能力 对吧
[00784.60-00786.52] 但是在特殊情况之下
[00786.52-00787.44] 也就是我们所说的
[00787.44-00788.84] 三个例外的情况之下
[00788.84-00790.72] 我们会对他进行相的保护
[00790.72-00792.36] 那这个特殊情况指的是什么呢
[00792.36-00793.96] 就是对保暴好的
[00793.96-00795.24] 叫遗产机程
[00795.24-00796.84] 然后接受增于一节
[00796.84-00798.04] 清权的时候
[00798.04-00800.20] 会我们所说的摄影到他的权益
[00800.20-00801.84] 同时在书上找一个地方
[00801.84-00803.40] 我们把他利益的保护
[00803.40-00804.68] 给大家做一个总结
[00804.68-00806.44] 这里方秘明确的框架
[00806.44-00807.92] 看到安立的時候往里去對
[00807.92-00809.92] 你只有時候就不會亂套了
[00809.92-00812.56] 要不你就是純粹的去被這個書上的這個內容
[00812.56-00814.76] 他說他而已保護一產機場一產機場
[00814.76-00816.36] 然後一台頭忘了
[00816.36-00817.24] 那這種情況之下
[00817.24-00818.20] 他沒有具體的安立
[00818.20-00818.88] 但不好劑
[00818.88-00820.04] 但把它做一個規難
[00820.04-00820.52] 好吧
[00820.52-00822.28] 我說了對他而已的保護
[00822.28-00825.16] 他是一個原則原則上
[00825.16-00826.36] 他在出生之前
[00826.36-00827.16] 我們說了
[00827.16-00829.20] 他想不想有名式權利
[00829.20-00830.00] 不想有
[00830.00-00831.36] 因為只有時候我們說了
[00831.36-00832.36] 一個人的權利能力
[00832.36-00833.92] 是於出生終於死亡
[00833.92-00835.40] 他在出生之前
[00835.40-00838.10] 所以原則上他不具有
[00839.30-00842.00] 或者是我們所說的民視權力能力
[00842.30-00843.60] 我不行無了吧
[00843.60-00844.50] 協不具有
[00844.50-00845.90] 那就沒有
[00846.60-00852.40] 他沒有民視權力能力
[00855.20-00857.20] 因為他不是法律醫生的人
[00857.20-00860.40] 因為民視權力能力始於出生他在出生之前
[00860.40-00861.20] 這是原則
[00861.20-00863.40] 但是我們所說的有原則就有理外
[00863.40-00865.12] 那考试的时候就是一样的
[00865.12-00867.12] 只是不考常态考变态
[00867.12-00869.16] 在立外当中会有哪些情况呢
[00869.16-00870.12] 同们注意一下
[00870.12-00871.16] 对于我们所说
[00871.16-00872.76] Terry保护有三个礼礼礼
[00872.76-00873.60] 哪三个礼礼礼呢
[00873.60-00875.76] 第一个呢就是对小宝宝好的
[00875.76-00876.80] 我们经常会看到
[00876.80-00877.96] 对吧有很多的那种
[00877.96-00879.44] 变成距离眉经常演
[00879.44-00881.64] 演那种什么好门的
[00881.64-00881.92] 对吧
[00881.92-00882.88] 就是什么霸道总裁
[00882.88-00883.92] 玩日日类似正
[00883.92-00884.64] 好门
[00884.64-00885.28] 然后呢
[00885.28-00886.16] 这个灰姑娘呢
[00886.16-00887.68] 就嫁给了这个霸道总裁
[00887.68-00889.16] 灰姑娘嫁给霸道总裁之后
[00889.16-00890.48] 然后这个霸道总裁的
[00890.48-00891.04] 霸了
[00891.04-00893.44] 也是这个宝宝的这个爷爷就说
[00893.44-00893.92] 哎呀
[00893.92-00894.32] 看
[00894.56-00896.80] 你给我们家生孩子辛苦了
[00896.80-00897.20] 对吧
[00897.20-00900.44] 这个孩子一定是我们家里面的什么最重爱的一个人
[00900.44-00900.76] 说啊
[00900.76-00901.48] 你太辛苦了
[00901.48-00903.44] 说这个小孩以后就是我们家的
[00903.72-00906.28] 什么后代什么光东要组织之类的
[00906.28-00908.28] 反正这个爷爷就是很任可这个太人了
[00908.48-00909.08] 然后就说呢
[00909.08-00910.64] 说宝宝出生还没有出生
[00910.64-00912.16] 那我也很喜欢他
[00912.16-00913.68] 等着小孩生起来之后呢
[00913.84-00915.96] 我就给他200个人金条
[00915.96-00917.24] 做了一套的出生力
[00917.24-00918.16] 那你看这种情况
[00918.16-00920.56] 这下爷爷要给小宝宝宝宋200个人金条
[00920.56-00923.12] 那也也这个话说出来做不做数呢
[00923.12-00925.76] 小孩如果出生了之后也不把镜条给它
[00925.76-00927.28] 那这件事应该怎么处理呢
[00927.28-00929.00] 那这里面就会摄一道什么问题
[00929.00-00931.28] 那这里面就会摄一道总理的问题
[00931.28-00934.24] 所以在整个我们所说的这个三个例外当中
[00934.24-00935.84] 它就包括三种情况
[00935.84-00936.84] 那第一个情况呢
[00936.84-00939.44] 就是我们所说的这个接受证语
[00943.04-00943.92] 接受证语
[00943.92-00946.52] 接受证语的这个事对小孩好还是不好呢
[00946.52-00947.48] 都没想一下
[00947.48-00948.84] 接受证语的这个事情
[00948.84-00950.84] 其實是對寶寶是有好處的
[00951.04-00952.48] 那既然對寶寶有好處
[00952.48-00954.20] 那這個時候就意味著啥呢
[00954.20-00956.68] 就意味著小寶寶在媽媽肚子裡
[00956.68-00957.68] 還沒有出生的時候
[00957.68-00959.08] 就是面出錢
[00961.24-00962.04] 還沒有出生
[00962.04-00963.64] 也就是說送他兩位人心小
[00963.64-00964.84] 這是個好爺爺對吧
[00965.00-00965.72] 那面出錢
[00965.72-00966.76] 他而接受證據的
[00966.76-00967.56] 是為什麼
[00967.56-00969.28] 是為胎兒
[00970.36-00971.60] 我就簡單寫好不好
[00971.60-00975.04] 叫是為胎兒具有名式全力能力
[00975.04-00976.08] 也是對他好的事
[00976.08-00977.60] 那這種情況是想的指定
[00977.60-00978.72] 那不能讓爺爺的
[00978.72-00980.72] 说出这句话就打水平尔了
[00980.72-00981.08] 对吧
[00981.08-00982.72] 那爷爷也是有钱人
[00982.72-00983.32] 有钱人
[00983.32-00983.84] 他这说话
[00983.84-00985.52] 他有份量菜的
[00985.52-00986.92] 对他自己的保管要好
[00986.92-00989.24] 那这时候是为太尔他已经什么
[00989.24-00991.04] 他已经具有名人权力努力了
[00991.04-00991.96] 比如在这种情况
[00991.96-00992.76] 就像在法律上
[00992.76-00994.44] 就把他你这位他已经怎么样
[00994.44-00995.56] 他已经出生了
[00995.56-00997.00] 那如果已经出生了
[00997.00-00997.72] 那就意味着
[00997.72-00999.52] 他享有名人权力努力
[00999.52-01003.28] 这个时候他爷爷说要送给他金桥的这个事
[01003.28-01005.52] 在法律上就已经被承认了
[01005.52-01006.68] 所以这种情况之下
[01006.68-01008.16] 总于和同时有效的
[01008.72-01012.92] 在这里 增与合同时有效的
[01012.92-01015.52] 也就是在这种情况下 纯粹都对保护好的
[01015.52-01017.32] 接受增与的这种行为
[01017.32-01021.32] 那就是为它以出生 已经具有面式权利能力了
[01021.32-01023.12] 这有时候增与合同时有效
[01023.12-01025.32] 但如果保护出生之后 说
[01025.32-01028.32] 当时说话说大了 对吧 两百个金条
[01028.32-01030.52] 咱也现在没有那么多金条 先不给了
[01030.52-01035.12] 那这种情况之下 就算了 清晨了小孩的面式权利
[01035.12-01038.32] 那就可以上法院起诉 让他爷爷把这两百个金条给他
[01038.32-01041.72] 所以在这里面你看在面出之前原左上
[01041.72-01043.72] 它是没有相当的权力的
[01043.72-01046.44] 但是如果是对它是好的接受证率的行为
[01046.44-01047.36] 那就可以怎么样
[01047.36-01049.32] 是为它具有名式权力能力
[01049.32-01051.24] 那证率和同时有效的
[01051.24-01053.56] 只是第一个叫做接收证率
[01053.56-01055.64] 那第二个就是睡到宝宝的什么问题
[01055.64-01057.68] 睡到一场机程的问题
[01058.68-01061.28] 比如说还是刚才的那个好门世界
[01061.28-01063.24] 反正就是贼拉有钱 对吧
[01063.24-01066.24] 那做了一个好门世界当中贼拉有钱的这样一个情况
[01066.24-01070.80] 然后这个小孩在出生之前它的父亲就去世了
[01070.80-01073.36] 小孩在出生之前就去世了之后
[01073.36-01075.36] 这个时候就会涉到另外一个问题
[01075.36-01078.12] 就是它父亲所留下的这个问贯家裁
[01078.12-01079.92] 要不要预留一部分给保保
[01079.92-01083.40] 我们从情力上搭平感觉上要不要留给这个小孩
[01083.40-01086.56] 我们从情力上感觉应该是要留给保保的
[01086.56-01086.96] 对吧
[01086.96-01091.04] 因为小保往往它以后生活各方面的花小都比较大
[01091.04-01093.68] 所以在这个遗产机承的问题上
[01093.68-01098.16] 其实就会设议到一产到底留给小孩的问题
[01098.16-01102.20] 我们再去有关于一产机程的问题
[01102.20-01104.88] 我们其实在法律上画分的还是比较细的
[01104.88-01106.88] 就是要去画分这个小宝宝
[01106.88-01109.60] 它在出生时候的状态 达住一样
[01109.60-01110.92] 真的于一产机程的话
[01110.92-01112.80] 要看宝宝它出生时候状态
[01112.80-01114.40] 如果这个宝宝出生
[01114.40-01116.24] 也就是我们所说的面出的时候
[01116.24-01117.40] 慢慢会分练嘛
[01117.40-01121.24] 也就是它是面出时为活体的
[01123.68-01126.38] 面出是为火体的
[01126.38-01127.80] 那这种情况之下
[01127.80-01129.38] 一场就可以怎么样
[01129.38-01130.48] 一场就可以规
[01130.48-01133.40] 英尔在这里面搭住一下
[01133.40-01134.90] 一场,规
[01134.90-01135.40] 英尔
[01135.40-01137.40] 也是在这里面它其实是相对于
[01137.40-01138.68] 在它出生之前
[01138.68-01140.20] 它就可以拿到它付钱
[01140.20-01143.04] 所以它的那一份无论是一主机神人法定机场
[01143.04-01143.40] 对吧
[01143.40-01145.56] 这种情况它面出是火体的时候
[01145.56-01146.84] 这时候咱们就写吧
[01146.84-01147.84] 就是有一场
[01147.84-01148.56] OK吧
[01148.56-01149.60] 咱写的直摆一点
[01149.60-01151.00] 因为这个地方它款利
[01151.00-01153.20] 所以这个时候面出是为火体的时候
[01153.20-01154.74] 因为它有一层看的
[01154.74-01156.48] 但是如果说这个宝宝
[01156.48-01157.68] 它的命不太好
[01157.68-01158.88] 它的免出使
[01158.88-01160.32] 这个宝宝怎么样优者了
[01160.32-01161.84] 在法律上说免出使
[01161.84-01163.44] 如果是死体的
[01163.44-01165.36] 免出使如果是死体的话
[01165.36-01166.24] 这种情况下
[01166.24-01166.96] 我们就认为
[01166.96-01168.72] 它而它的民事权力
[01168.72-01170.40] 自使不存在
[01170.40-01172.40] 这种情况之下就是权利
[01174.32-01177.28] 自使不存在
[01177.28-01178.80] 权利自使不存在的话
[01178.80-01180.32] 这时候它有没有一层
[01180.32-01181.52] 它没有一层
