[00000.00-00007.80] 我们了解完了整个行政法的基本原则之后,我们来看一下第三个大问题,就叫做行政主体
[00234.96-00236.24] 就是中央政府伴
[00236.24-00237.58] 咱们知道中央政府
[00237.58-00238.42] 他指得中什么
[00238.42-00239.10] 中央政府
[00239.10-00240.22] 他就是我们常说的
[00240.46-00240.90] 国务院
[00241.10-00242.46] 那中央政府下面
[00242.70-00243.66] 是不是也有政府
[00243.66-00245.02] 比如说国务院下面
[00245.02-00246.98] 中国有三十多个省级形狀区
[00246.98-00248.30] 那有何为省政府
[00248.30-00249.26] 山东省政府
[00249.26-00250.18] 级立省政府
[00250.30-00251.98] 那下面其实是给到了第二层级
[00251.98-00252.50] 就是什么
[00252.54-00254.78] 就是我们所说的省政府
[00254.78-00257.06] 省政府他是省一级的
[00257.06-00257.50] 对不对
[00257.50-00260.14] 省政府下车市政府
[00262.46-00263.78] 写的有一天
[00263.78-00264.58] 写不开了
[00264.58-00266.90] 我把这个字稍微放得小一点
[00268.58-00270.86] 首先第一个是中央政府
[00270.86-00271.74] 国务院
[00271.74-00275.34] 然后国务院下车市政府
[00275.34-00276.98] 国务院下护数8到
[00276.98-00277.46] 对不对
[00277.46-00280.18] 国务院下车的是省政府
[00280.18-00280.70] 省政府
[00280.70-00282.18] 比如说就以我的老家
[00282.18-00288.34] 对吧,吉林省为立吧,国务院下面他就会管下吉林省政府,吉林省政府下面还有什么?
[00288.34-00300.10] 吉林省下面是个各个地局市,比如说长村市,有没有吉林的小伙伴对吧,有长村市有松原市,四平市,吉林市,白山市通话市,对吧?
[00300.10-00305.54] 那下面还有各种各样的什么?市政府,所以省政府下面是市政府
[00305.54-00307.40] 那市政府下面有没有限呢
[00307.40-00308.36] 那当然有限呢
[00308.36-00310.92] 比如我的老家是基地省白山市
[00310.92-00313.90] 江源区原本叫做江源线
[00313.90-00314.28] 对吧
[00314.28-00316.54] 所以它下面还有现政府
[00316.54-00318.60] 如果现政府在网下的话
[00318.60-00319.62] 还有以及政府
[00319.62-00321.04] 还有以及政府叫什么政府
[00321.04-00322.44] 还有以及政府就叫做
[00322.44-00323.64] 相政府
[00323.64-00325.88] 所以我们国家的政府极别的
[00325.88-00327.48] 就是综合管理事物的
[00327.48-00329.86] 政府这一笔极别的一共是有几个
[00329.86-00331.32] 一共是有五个
[00331.32-00333.70] 这五个分别就是我们所说的国
[00333.70-00343.10] 省,是,线,相,对吧,所以在这里面大住一下,一共是有武机政府。
[00343.10-00350.10] 当然,大家应该知道,我们这武机形认区画的建立或者是武机形认区画的这样的一种建制。
[00350.10-00359.10] 它其实解决的是垂直的管理关系,这里面所谓的垂直管理关系就是在综合管理事务上,大家都知道每个地区都必须找一个总管事儿的。
[00359.10-00361.62] 对吧,这个其实就是我们所说的政府
[00361.62-00365.06] 政府他主管这一个地区的方法面面的问题
[00365.06-00368.90] 老百姓,民生问题套管,教育问题套管,还就问题套管
[00368.90-00371.70] 对吧,政府还管啥,你只要能够想得到的
[00371.70-00376.18] 需要处理的国家公共事务和事务,其实都应该是谁来管
[00376.18-00378.78] 其实都应该是政府来管的
[00378.78-00379.78] 明白这个意思吧
[00379.78-00384.02] 所以我们把政府这一个级别的称这位叫做行政机管
[00384.02-00386.74] 而我们在讲的行政法其实强调做什么
[00386.74-00388.98] 就是形政机关他在做的这些事
[00388.98-00389.82] 明白了吧
[00389.82-00391.34] 所以在这里他出意
[00391.34-00393.54] 但是我刚才给他收到一个问题
[00393.54-00395.38] 说政府管的事多不多
[00395.38-00397.18] 政府管的事最老多
[00397.18-00400.10] 大家如果知道以前我们现在是服务形政府
[00400.10-00402.54] 以前以前在进行政府改革之前
[00402.54-00404.26] 我们国家是职论形政府
[00404.26-00405.94] 政府管的事更多
[00405.94-00407.22] 政府都管啥事
[00407.22-00408.82] 说当时老百姓都开玩笑
[00408.82-00410.30] 说政府没有不管的
[00410.30-00413.18] 政府叫做上的管天下管地
[00413.18-00414.34] 中间管空气
[00414.34-00416.30] 你就是方方面面也都要管得到
[00416.30-00420.38] 那這個意味著政府所包覽的事務會特別的多
[00420.38-00422.14] 但是它管得是多了
[00422.14-00423.94] 它管得是會不會專經呢
[00424.70-00426.94] 比如說我們就國務院來說
[00426.94-00431.90] 國務院總理它可能是同管全國事務和大陣方針政策的改革
[00431.90-00435.10] 你如果就讓國務院總理去詳細的去產術
[00435.10-00437.50] 國家高考改革這個問題
[00437.50-00439.98] 強調專門的去產術教育問題的時候
[00439.98-00441.42] 它可能也會做得很好
[00441.42-00444.30] 但是它就沒有教育口的人怎麼樣做得經
[00444.30-00448.02] 那也有一位像中和管理部门政府这样的一个
[00448.02-00450.38] 我们所说的这种单位形式的
[00450.38-00453.06] 它管的是什么王王是全国的
[00453.06-00457.82] 或某一个地区的大政风争的红官方向的这样的一个改革
[00457.82-00459.30] 但真的于你说
[00459.30-00461.06] 几天省白山是江源区
[00461.06-00463.66] 它的江源区的接到
[00463.66-00464.02] 对吧
[00464.02-00464.82] 它怎么去改
[00464.82-00465.30] 对吧
[00465.30-00465.80] 明
[00465.80-00467.86] 这个江源区的这个民生怎么去建设
[00467.86-00470.46] 教育问题学生的教学问题怎么去搞
[00470.46-00471.82] 环令问题它怎么去弄
[00471.82-00476.20] 那这个地区的他的现长也好他的市长也好
[00476.20-00477.52] 他的省长也好
[00477.52-00479.18] 他其实不一定会专经
[00479.18-00480.82] 所以在这里面他管得宽
[00480.82-00481.82] 但不一定经
[00481.82-00483.28] 那这个时候专门的问题
[00483.28-00485.42] 就要有专门的人去处理
[00485.42-00487.82] 所以在一般行政机关的基础之上
[00487.82-00490.78] 为了分单政府这一个级别的工作压力
[00490.78-00493.38] 从而能够让我们所说的分管的这些问题
[00493.38-00496.26] 跟细节更变于给老百姓解有问题
[00496.26-00498.54] 于是在一般行政机关
[00498.54-00501.94] 也就是在政府这一个层面上又眼神出来了
[00501.94-00504.90] 第二个机关叫做专门行政机关
[00509.26-00510.74] 叫做专门行政机关
[00510.94-00512.66] 那专门行政机关就是什么了
[00512.78-00513.50] 大家注意一下
[00513.62-00515.82] 专门行政机关就是政府当中
[00515.82-00519.26] 负责管理某像事务的只能不门了
[00522.26-00523.74] 那他就是我们所说的
[00523.86-00524.74] 只能不门了
[00524.86-00526.34] 那这时候这个只能不门
[00526.34-00527.90] 他就不叫做政府了
[00527.90-00532.24] 他就可能会叫做某某部某某听某某局了
[00532.24-00533.48] 几个简单的例子啊
[00533.48-00535.50] 比如说国务院我换一个颜色啊
[00535.50-00538.64] 比如说国务院他同管全国的大政方政政策
[00538.64-00539.74] 全国的事物
[00539.74-00542.12] 全国的社会的这样一个运游和管理
[00542.12-00545.42] 但是如果说就交与考误的这个问题
[00545.42-00547.10] 全国交与高考怎么改革呀
[00547.10-00548.88] 全国大学招生招多少
[00548.88-00550.42] 如何扩招 如何做招啊
[00550.42-00552.36] 这时候交与过他就不一定能怎么样
[00552.36-00553.32] 搞得清楚了
[00553.32-00555.54] 于是他就要从交与
[00555.54-00558.36] 从国务院当中找一个专门搞教育的
[00558.36-00560.14] 那专门搞教育的桌谁了
[00560.14-00562.20] 专门搞教育的桌谁啊
[00562.20-00563.22] 就于不了
[00563.22-00564.50] 那大家也会发现啊
[00564.50-00567.82] 那教育部呢其实中央一级的单位这个没有问题吧
[00567.82-00569.10] 因为国务院下设嘛
[00569.10-00570.14] 国务院是中央的呢
[00570.14-00572.18] 教育部也是中央部门
[00572.18-00574.48] 那教育部下面会设什么呢
[00574.48-00575.76] 比如说教育部下面
[00575.76-00580.12] 他就会分射各个省内有关于教育问题
[00580.12-00581.40] 管理的这样一个部门
[00581.40-00582.68] 那这个时候就到了什么
[00582.68-00584.46] 就到了省天这个几别
[00584.46-00587.46] 于是就了我们所说的什么教育听
[00587.46-00589.46] 教育听在网下就是什么
[00589.46-00594.46] 就比如说某某市教育局比如说白山市教育局
[00594.46-00596.46] 这时候就会出现教育局
[00596.46-00598.46] 那你看市里面有教育局
[00598.46-00600.46] 现里面有教育局要同学吗
[00600.46-00603.46] 现里面指定有教育局
[00603.46-00604.46] 比如说在我所在的地
[00604.46-00607.46] 即令省白山市教育局
[00607.46-00609.46] 然后白山市下面好多宣
[00609.46-00611.46] 我所在的地区教育局
[00611.46-00613.06] 去或者叫江源線 對吧
[00613.06-00614.26] 那他也其他的這種線
[00614.26-00616.42] 什麼腐鬆啊 盡語啊 等等
[00616.42-00618.66] 那你看這些現理沒有教育局
[00618.66-00619.86] 也有教育局
[00619.86-00621.06] 他雖然叫教育局
[00621.06-00623.22] 但是從我們所說的整體形勢上
[00623.22-00625.26] 現一級別的 其實就是什麼了
[00625.26-00627.26] 他雖然也在排的上教育局
[00627.26-00628.98] 但是他的級別就屬於什麼
[00628.98-00630.10] 這屬於教育局
[00630.10-00631.26] 分局
[00631.26-00634.26] 那你看專門主管某一個
[00634.26-00637.38] 只能的專門管理某像失誤的這些
[00637.38-00639.66] 就叫了什麼 就叫做只能部門
[00639.66-00641.42] 那你看這是針對於教育問題
[00641.42-00644.02] 那针对于国家安全问题 社会月份体
[00644.02-00646.98] 那要找到谁 那有人做这份科了 抓起来
[00646.98-00649.62] 那这时候就要找到公安部嘛 对吧
[00649.62-00653.82] 那公安部下面会有什么 公安部涉一刀省 就会有
[00653.82-00655.10] 公安庭
[00655.10-00658.02] 那公安庭用再往下 吉林省白山市公安
[00658.02-00659.54] 吉林省公安庭
[00659.54-00661.38] 吉林省公安庭在到白山市
[00661.38-00664.46] 叫吉林省白山市公安局
[00664.46-00667.02] 那现里面没有公安局 现里没有公安局
[00667.02-00668.82] 现里面的这个公安局交个什么
[00668.82-00670.42] 就是分局了 对不对
[00670.42-00672.30] 所以我就简单写分局
[00672.30-00673.40] 这个呢 你一件吧
[00673.40-00675.02] 所以在这里我们来看一下
[00675.02-00676.30] 这就分号出来了
[00676.30-00678.36] 一般形容机关就是重复一级别的
[00678.36-00679.50] 啥都管的
[00679.50-00681.14] 那这个是一般形容机关
[00681.14-00683.34] 而专门形容机关它管的是什么
[00683.34-00686.58] 它管的是专门某项的
[00686.58-00689.10] 我们所说的这种某项事物的值
[00689.10-00691.14] 就是负责某些专项事物
[00691.14-00692.46] 那这个就叫做
[00692.98-00694.02] 值得不门
[00694.02-00695.06] 那它要注意一下
[00695.06-00697.10] 那这里面其实是有一个问题
[00697.10-00698.06] 他们来看一下
[00698.06-00700.06] 在整个形容结构上
[00700.06-00702.54] 我们来看会出现这样的一个问题
[00702.54-00704.78] 首先第一个咱们来看垂直的
[00704.78-00706.30] 在垂直到这个里面
[00706.30-00708.46] 我先给大家花出来
[00708.46-00709.46] 花个颜色
[00712.54-00714.06] 怎么换不了颜色了呢
[00714.94-00716.54] 我多小有点尖尖
[00716.54-00717.74] 咱们用这个吧
[00719.66-00720.86] 来咱们来看一下
[00720.86-00724.62] 首先咱们先从垂直的这个零导机关这来看
[00724.62-00725.66] 我给它花在这
[00725.66-00727.26] 你看像这个点里面
[00727.26-00729.78] 给大家画出来的一个紫色框框的
[00729.78-00732.84] 国务院是省政府的上级
[00732.84-00734.78] 省政府是市政府的上级
[00734.78-00736.50] 现政府是相正府的上级
[00736.50-00737.34] 这个没有问题吧
[00737.34-00738.98] 他都是垂直的这一种
[00738.98-00741.54] 但是你看我在这里面还有一个什么
[00741.54-00742.98] 还有一个这个红着的
[00742.98-00745.46] 你说老是政府上下级的未能理解
[00745.46-00747.46] 你甚至包括我们刚才所提到的
[00747.46-00750.14] 你看在这什么教育部是教育听
[00750.14-00751.70] 省一级的教育听
[00751.70-00752.34] 对吧
[00752.34-00754.26] 然后现一级的叫做教育局
[00754.26-00755.86] 而是一级的叫一分局
[00755.86-00759.94] 你单凌出来如果我就把这个只能的这个部门给到你
[00759.94-00761.22] 你也知道教育部
[00761.86-00763.46] 即便是在教育庆之上的
[00763.46-00765.30] 然后是教育局然后是教育分局
[00765.62-00766.66] 这个你都能理解
[00766.98-00769.14] 但是呢同学没有一个地方会比较肉
[00769.30-00770.18] 肉在什么呢
[00770.18-00772.18] 比如说在这里面出现了两个
[00772.90-00775.22] 我给他画在了同一个机别上
[00775.22-00778.90] 在这里面比如说省政府和教育部
[00779.06-00781.06] 还有我们所说的这个公安部
[00781.06-00782.74] 他们之间到底是什么关系
[00782.74-00783.76] 大注意一下
[00783.76-00786.06] 在这里面我们所说的省政府
[00786.06-00787.60] 就要一步还有公安部
[00787.60-00790.16] 他们直接是平级的关系
[00790.16-00791.96] 或者说他们直接是什么
[00791.96-00793.24] 同级的关系
[00793.24-00795.02] 说老师做怎么去理解呢
[00795.02-00796.56] 这就是我们经常说的
[00796.56-00797.34] 是什么呢
[00797.34-00801.18] 是省政府和上一级的只能部门之间
[00801.18-00802.46] 明确
[00802.46-00806.28] 是省政府和上一级的只能部门之间是
[00806.28-00807.58] 同级关系
[00807.58-00809.62] 或者叫做平级关系
[00809.62-00811.26] 你说老师我有点温啊
[00811.26-00815.22] 为什么说省政府和上一集的直能部门之间
[00815.22-00817.22] 你看你要反应不过来我写的这儿啊
[00818.02-00825.02] 现在这儿是省政府和上一集的直能部门之间
[00828.82-00830.62] 和上一集的直能部门之间
[00830.62-00832.82] 他们之间什么关系是同级关系
[00832.82-00834.50] 说老师为什么会出现这种情况
[00834.50-00835.38] 你分析啊
[00835.38-00839.42] 你首先看一下这里面的国务院是最高一集的中央了吧
[00839.42-00841.06] 对吧 最高一级的中央政府
[00841.06-00842.30] 他是中央政府
[00842.30-00843.70] 他下管的是什么
[00843.70-00845.30] 他下管的是省政府
[00845.30-00846.86] 但是我同什么一下大家
[00846.86-00849.78] 国务院是不是也下下管理教育部呢
[00849.78-00850.82] 也是吧
[00850.82-00851.90] 那就意味着
[00851.90-00853.42] 教育部闺闺
[00853.42-00855.42] 省政府也闺闺
[00855.42-00857.02] 那都闺闺
[00857.02-00858.58] 你说他俩是什么节
[00858.58-00861.06] 他俩是同级关系
[00861.06-00862.10] 明白这个意思吧
[00862.10-00863.98] 所以在这里面我们就话很出来了
[00863.98-00866.38] 说省政府和上一集
[00866.38-00868.18] 只能不满省上面做什么
[00868.18-00869.06] 这是中央的版
[00869.06-00872.76] 所以这句话就等于是中央的直能部门之间
[00872.76-00874.18] 是同期关系
[00874.18-00875.54] 那同样的一看
[00875.54-00877.42] 省政府下面是什么政府
[00877.42-00879.22] 省政府下面是市政府
[00879.22-00880.66] 那我也要问一下大家
[00880.66-00883.50] 省政府下面会不会是个教育听呢
[00883.50-00885.98] 比如说大家所熟悉的级令省
[00885.98-00889.10] 级令省有没有自己专管教育的直能部门
[00889.10-00889.90] 有啊
[00889.90-00893.10] 专管级令省省那个教育的直能部门就叫做什么
[00893.10-00895.54] 就叫做级令省教育跳
[00895.54-00897.26] 那你看在这里就出现了
[00897.26-00903.92] 吉林省教育庭和省教育庭归省政府官
[00904.42-00907.16] 白山市政府也归省政府官
[00907.16-00911.60] 那我问一下大家白山市政府和吉林省教育庭之间什么关系
[00911.60-00913.64] 一样的同级关系
[00913.64-00919.28] 你看这不就是我们所说的省政府之间和教育不之间是同级关系
[00919.28-00921.58] 它都是省不级单位
[00921.58-00924.14] 而市政府和教育庭之间
[00924.90-00926.44] 是我们所说的是吗
[00926.44-00929.40] 市政府和教育聽之間是同級關係
[00929.40-00931.04] 也就是省了聽之間
[00931.04-00933.00] 我們說了這叫做聽局局
[00933.00-00933.80] 對不對
[00933.80-00935.00] 那如果在我下呢
[00935.00-00938.28] 現政府和市教育局之間
[00938.52-00939.76] 你看在這裡面
[00939.76-00940.52] 進行班
[00940.52-00943.16] 白山市政府下面管管教育現政府
[00943.16-00944.60] 當然了又或者說
[00944.60-00945.64] 我們所說的什麼
[00945.64-00946.76] 又或者說我們所說的
[00946.76-00948.32] 什麼幾難市政府
[00948.32-00950.36] 幾難市政府下面管不管
[00950.36-00951.76] 商和現政府
[00951.76-00952.56] 當然管了
[00952.56-00954.60] 所以你看市政府下面管
[00954.60-00955.40] 現政府
[00955.40-00957.40] 那失重覆管外事教局啊
[00958.86-00960.46] 我為了讓大家去分的清楚
[00960.46-00961.24] 在前面加個字
[00961.24-00961.72] 好吧
[00961.72-00963.24] 這個是省教一聽
[00963.24-00964.96] 這個是失教一局
[00964.96-00966.72] 這個是現教一分局
[00966.72-00968.24] 那這樣的話還能清楚一點
[00968.24-00969.32] 那同學們來看
[00970.32-00971.52] 這是哪去了呢
[00973.00-00974.04] 真聽眼淚了
[00974.04-00974.84] 那是在
[00974.84-00975.64] 不好意思啊
[00975.64-00976.60] 他這個PPT
[00976.60-00977.96] 就是一下子跟我跳到
[00977.96-00979.08] 我找到他了
[00979.08-00979.40] 來
[00979.40-00980.48] 接著再往下看
[00980.48-00982.08] 那你看在這裡面咱們說了
[00982.08-00984.08] 失重覆下面管外現政府
[00984.08-00987.64] 当然管,市政府下面管管市交易局,当然管
[00987.64-00994.14] 那这个时候就意味着,现政府和市交易局之间什么关系,同级关系
[00994.14-00997.96] 而他们就是我们所说的什么单位,现处级的单位
[00997.96-01004.86] 而在我下来你看,现政府下面管管相政府,当然管,现政府下面管管,现部门,当然管
[01004.86-01011.72] 你比如说,江源线人民政府,能不能管到江源线交易局,当然可以了
[01011.72-01014.12] 所以在这里你看相证服就和什么
[01014.12-01016.56] 现交易局之间是同级单位
[01016.56-01018.52] 他们就是我们所说的哪一集片
[01018.52-01020.36] 就是相科级
[01020.36-01024.08] 所以这些的同程不用去计说什么国务院这个是国级的
[01024.08-01027.72] 然后省政府和交易听和交易部之间是省部级的
[01027.72-01028.44] 不用管
[01028.44-01030.04] 你就能够画分清楚
[01030.04-01032.44] 就是我们所提到在这里面
[01032.44-01035.92] 省政府和中央一级的部门之间是同级关系的
[01035.92-01036.80] 就OK了
[01036.80-01039.68] 这个就要于不什么交易听完交易局上
[01039.68-01041.28] 他就属于我们所说的什么
[01041.28-01043.28] 专门的行政机关
[01043.28-01044.86] 它是一专门的行政机关
[01044.86-01048.08] 你一定要把这个行政机关的结构给它旅顺
[01048.08-01049.52] 如果这个结构旅不顺的话
[01049.52-01053.24] 你会发现你再学后面的行政服役的时候
[01053.24-01054.48] 它就会有一点满了
[01054.48-01056.64] 你就是这个时候中文也把自己繞进去
[01056.64-01059.04] 同时如果这个里面有理称鼓的话
[01059.04-01062.52] 你再去学公文当中去上下机关系
[01062.52-01063.68] 上机关系
[01063.68-01066.52] 我们所说的上下机之间的这种关系
[01066.52-01068.60] 同机关系就不像历史的关系
[01068.60-01069.60] 你都分不清
[01069.60-01071.00] 这个点是非常重要的
[01071.00-01073.54] 所以在这呢给大家做了一个眼神
[01073.54-01075.70] 在这里最起码要手效知道
[01075.70-01079.24] 一般形容机关在这里要明确
[01079.24-01083.00] 一般形容机关值得就是政府一个机别的
[01083.00-01085.72] 而我们所说的专门形容机关就是政府的
[01085.72-01086.62] 直弄部门
[01086.62-01088.92] 在这里要理解的是这个直弄部门
[01088.92-01091.16] 和我们所说的政府之间
[01091.16-01092.26] 跑到人什么关系
[01092.26-01093.08] 想不起来呢
[01093.08-01095.40] 你就一定要把这个图能给它换出来
[01095.40-01096.76] 这是我们所说的
[01096.76-01098.04] 第2层考点
[01098.04-01098.76] 第2层考点
[01098.76-01100.12] 就是专门形容机关
[01100.12-01104.20] 那這是行政主體當中的行政機關的第二個類別
[01104.20-01105.88] 叫做專門行政機關
[01105.88-01108.68] 那我們經常也會在整個國家機關當中
[01108.68-01111.64] 聽到有派出機關和派出機構
[01111.64-01113.08] 這個大家也應該聽過
[01113.08-01114.92] 那這裡沒有我們就來看一看
[01114.92-01118.04] 這裡面所強調的派出機關也好
[01118.04-01120.68] 或者是我們所說的派出機構也好
[01120.68-01122.52] 它到底是怎麼回事
[01122.52-01125.16] 那這裡面的派出機關和派出機構
[01125.16-01127.36] 它到底能不能做行政主體呢
[01127.36-01130.56] 大家注意 刚才我们讲到的政府
[01130.56-01133.16] 我用这种颜色给大家标出的 标出出来
[01133.16-01135.40] 刚才我们所讲到的这个政府
[01135.40-01136.96] 还有这个只能部门
[01136.96-01138.48] 比如说某某教育听
[01138.48-01140.48] 某某教育局 某某教育部
[01140.48-01142.40] 对吧 像政府和只能部门
[01142.40-01144.36] 它都是行政主体
[01144.36-01146.36] 因为它就是传统意义上的什么
[01147.12-01148.88] 它就是传统意义上的
[01148.88-01149.76] 国家机关
[01149.76-01153.16] 所以说如果他们给你相应的行政行为
[01153.16-01155.16] 你这时候对他们的行为不满意
[01155.16-01156.24] 你可不可以去告诉他们
[01156.24-01156.96] 是可以的
[01156.96-01160.76] 所以形證主體就是形證訴訟法當中的背高
[01160.76-01162.88] 就是形證服裏的被申請人
[01162.88-01164.28] 所以這個點大家注意
[01164.28-01166.24] 但這裡面還順於到兩個問題
[01166.24-01169.48] 這兩個問題就是會出現一個叫做派出機關
[01169.48-01171.32] 一個叫做派出機構
[01171.32-01173.52] 那這裡面派出機關和派出機構
[01173.52-01174.96] 他們兩個有什麼區別呢
[01174.96-01178.28] 就是他們兩個之間的設立單位不同
[01178.28-01180.00] 他們兩個之間的設立單位不同呢
[01180.00-01184.60] 就意味著在我們去進行形證訴訟法的時候
[01184.60-01186.24] 他们两个直接有一个
[01186.24-01187.68] 其实是不能直接告的
[01187.68-01188.68] 明白这个意思吧
[01188.68-01191.08] 我们来看一下这个派出机关和派出机构
[01191.08-01192.16] 是怎么合适
[01192.16-01193.96] 首先来看一下派出机关
[01193.96-01194.84] 派出机关
[01194.84-01195.56] 它指的是
[01195.56-01199.72] 有权地方人民政府在一定去设立的
[01199.72-01200.44] 所以在这里
[01200.44-01201.56] 你可以在派出机关旁边
[01201.56-01203.80] 它是有权的
[01205.00-01207.40] 有权政府
[01207.40-01208.40] 设立的
[01210.08-01211.28] 作为有权政府
[01211.28-01213.00] 为什么要设立派出机关
[01213.00-01214.84] 派出机关有包括男种形式
[01214.84-01216.84] 同时在旁边标注一下
[01216.84-01219.36] 首先派出机关分成这么集中形式
[01219.36-01223.24] 第一个呢就叫做我们所说的行政公署
[01225.40-01228.68] 派出机关的第一种形式就叫做行政公署
[01228.68-01231.96] 派出机关的第二种形式就叫做驱公署
[01234.20-01237.56] 派出机关的第三种形式就叫做接到搬事处
[01243.00-01247.66] 但是这里面的行政公署也好 去工作也好 接到办事处也好
[01247.66-01250.68] 它其实都是地方一集政府设立的
[01250.68-01253.08] 比如说第一个就叫做行政公署
[01253.08-01255.40] 行政公署在旁边 标主一下
[01255.40-01258.00] 谁可以有全设立行政公署呢?
[01258.00-01261.36] 大家注意 谁能有全设立行政公署 在旁边标主一下
[01261.36-01264.16] 是我们所说的 省一集的政府
[01264.16-01268.80] 其实他说了第一类是省自治区人民政府设立的派出机关
