[00000.00-00003.08] 好了 那我们接着 把下看 俗话说了 好啊
[00003.08-00006.04] 官门能够官门过 同一门坚持了这么久
[00006.04-00010.52] 咱们把刑法说完了 咱们还剩下刑法总论当中的最后一个内容
[00010.52-00013.64] 就叫做亮刑 那什么是亮刑呢
[00013.64-00015.80] 我们之前给大家说过 这是如果
[00015.80-00020.96] 我真的够成了杀人 道歉 抢节等等这些最想
[00020.96-00023.24] 那我要不要考虑一些其他的一些情况
[00314.04-00315.12] 它就过程一般雷伐
[00315.12-00316.00] 大家注意一下
[00316.00-00317.80] 在主观草面上是什么
[00317.80-00319.88] 必须是前后最多是故意
[00319.88-00321.92] 年龄上必须都是18
[00321.92-00322.52] 第二个呢
[00322.52-00325.52] 就是在行度上必须前后最都是有期图形
[00326.44-00327.40] 以上的信法
[00327.40-00328.76] 在时间上就是什么
[00328.76-00330.88] 我们所说的前最职情完毕业五年
[00330.88-00332.40] 只要符合这四个条件
[00332.40-00332.92] 大家注意一下
[00332.92-00335.08] 它就是购成一般雷伐
[00335.08-00337.92] 这个点它考试的时候就考理解行的题目
[00337.92-00340.28] 就是问年或者考实机行的题目
[00340.28-00342.72] 這首文件以下AB隨地思考學的當中
[00342.72-00344.24] 哪一個可以過程累飯
[00344.24-00346.12] 你是不是要一個條件去對
[00346.12-00349.08] 所以在這裡故意有75年18
[00349.08-00350.32] 一定要注意下
[00350.32-00352.92] 故意有7、5年18
[00352.92-00354.72] 所以在這個地方我們要注意
[00354.72-00356.80] 這是一般累飯的過程條件
[00356.80-00360.32] 除了一般累飯之外在這裡一定要注意
[00360.72-00363.60] 它還有一個就叫做特別累飯
[00363.60-00365.04] 這個特別累飯
[00365.04-00367.72] 它提到的是指的是特殊罪名
[00367.72-00369.60] 這個特殊罪名是常常同學標準一下
[00369.60-00371.26] 第一個就是我們所提到的
[00371.26-00373.58] 潛罪的反潛後罪的反罪種類
[00373.58-00374.52] 它必須要求是
[00374.52-00378.76] 維含國家安全反罪恐怖活動反罪和毒品反罪
[00378.76-00379.60] 這是第一個點
[00379.60-00380.50] 大家注意一下
[00380.50-00381.56] 第一個就是
[00381.56-00385.76] 跨下它的前後罪的種類要求是國恐
[00385.76-00386.40] 黑
[00386.40-00387.60] 有沒有毒
[00387.60-00388.80] 有沒有毒品的反罪
[00388.80-00389.30] 沒有
[00389.30-00390.20] 大家注意一下
[00390.20-00393.68] 它只要是前後罪是這三類當中的都可以
[00393.68-00395.74] 就是國家安全反罪恐怖活動
[00395.74-00397.40] 來反罪以及黑社會性的反罪
[00397.40-00398.32] 沒有毒品
[00398.32-00399.40] 一定要注意
[00399.40-00402.40] 他容易和我们刚才所讲的哪一个去分
[00402.40-00405.20] 英当波躲正的权力的应该是
[00406.00-00409.40] 微害国家安全犯罪有气图形和无气图形的
[00409.40-00411.00] 就是死形和无气图形的
[00411.00-00412.60] 英当副家波躲正的权力
[00412.60-00414.00] 他们两个是一会事吗
[00414.00-00416.80] 不是一会事大助一下这个点非常重要
[00416.80-00419.00] 所以在这里面我们要知道成立一般累饭
[00419.00-00421.60] 他要求就是我们所说的微害国家安全
[00421.60-00423.80] 恐怖活动和是黑社会性的犯罪的
[00423.80-00425.40] 叫做国恐黑
[00425.40-00428.00] 他没有什么没有独品来犯罪
[00428.00-00431.20] 如果他在这里给到了一个什么毒品类犯罪的话
[00431.20-00431.84] 不行
[00431.84-00434.00] 毒品类犯罪只能成立一般类伐
[00434.00-00435.12] 不能成立特别类伐
[00435.12-00435.92] 这是第一个
[00435.92-00438.32] 第二个呢说在刑法之刑伐笔或设面后
[00438.32-00440.52] 我说了所类伐的前提是什么
[00440.52-00442.00] 是刑法執行玩笔
[00442.00-00443.76] 而不是不在執行的问题
[00443.76-00444.96] 所以他这里他说了
[00444.96-00447.32] 在刑法執行玩笔或设面以后
[00447.32-00450.08] 在任何时候把任何时候话出来
[00450.08-00452.72] 在任何时候犯上数一类的罪行
[00453.72-00454.68] 他都属于什么
[00454.68-00456.24] 他都够成特别类伐
[00456.24-00458.04] 有没有5年期的限制
[00458.04-00459.56] 没有5年期的限制
[00459.56-00461.88] 所以在这里面他就和刚才的什么
[00461.88-00464.88] 一般的地方他就形成了先名的对比
[00464.88-00468.00] 刚才的一般的地方要求有年龄限制对不对
[00468.00-00470.32] 要求有我们所说的什么
[00470.32-00472.64] 要求我们所说的有形法限制
[00472.64-00474.00] 要求有去图形啊
[00474.00-00474.68] 以上
[00474.68-00477.04] 当然在这里他有没有形法限制
[00477.04-00478.56] 没有形法限制
[00478.56-00480.64] 他有没有我们所说的这个
[00480.64-00482.04] 十七限制
[00482.04-00483.32] 也没有十七限制
[00483.32-00485.04] 所以在这个地方打住一下
[00485.04-00487.78] 无论是条罪发生的什么时间
[00487.78-00489.90] 他不要求在五年以内
[00489.90-00492.08] 所以在这里面大家一定要注意一下
[00492.08-00493.30] 这是我们所说的
[00493.30-00495.54] 有关于一般累犯和特别累犯
[00495.54-00496.76] 他的一个对比
[00496.76-00498.16] 一般累犯多数累犯对比
[00498.16-00499.12] 那大家要注意一下
[00499.12-00500.58] 一般累犯和特别累犯
[00500.58-00501.78] 他们之间就差的什么
[00501.78-00503.48] 就差在行度和期限上
[00503.48-00504.68] 行度和期限上
[00504.68-00506.30] 所以在这里面你就知道
[00506.30-00508.44] 他是5期限要求
[00510.48-00511.66] 5期限要求
[00511.66-00513.66] 5行度条件要求
[00515.04-00516.84] 其他的
[00516.84-00519.90] 他都和前面一样,在加上一个他是国恐黑
[00519.90-00521.44] 你看前面他说的
[00521.44-00526.30] 前面那个一般美方式,我们所说的前后最多要有气图形
[00526.30-00530.14] 行度条件要求執行完毕后五年,这里就没有
[00530.14-00533.48] 那你看在特别累饭当中,我们说了,要故意饭罪
[00533.48-00538.84] 我们说一般累饭是,前后最必须是故意,而我们在特别累饭当中,前后最不解释故意
[00538.84-00542.94] 而且还要是国恐黑这三类,在年六上
[00542.94-00545.08] 在特别累犯成立当中多数观点
[00545.08-00546.52] 要求是一满18周份
[00546.52-00548.48] 所以唯一不同的就是在于
[00548.48-00550.40] 570000要求以及5行度要求上
[00550.40-00551.96] 这个是我们所说的什么
[00551.96-00552.74] 特别累犯
[00552.74-00554.32] 所以这个地方第一个就是考
[00554.32-00555.82] 他们两个之间到啥东西
[00555.82-00557.30] 他们两个之间的条件的
[00557.30-00558.66] 去分只是第一个点
[00558.66-00559.68] 大家要明确
[00559.68-00561.00] 第二个点是什么呢
[00561.00-00564.38] 在了解了特别累犯和一般累犯成立的条件之后
[00564.38-00565.14] 我们来讲一讲
[00565.14-00567.78] 累犯他的一个形成的大前提
[00569.06-00570.98] 累犯他形成了一个大前提
[00570.98-00572.28] 这个大前提跟我们说了
[00572.28-00575.62] 就是在刑法执行完币或设面之日
[00575.86-00578.42] 你订阅注意一下是刑法执行完币
[00578.42-00579.96] 而不是我们所说的什么
[00579.96-00582.52] 而不是要求刑法不在执行
[00586.10-00587.38] 这个点很重要
[00587.38-00589.94] 他要求的是刑法执行完币
[00589.94-00591.74] 而不是说不在执行
[00591.74-00594.56] 若老是刑法执行完币和刑法不在执行
[00594.56-00595.58] 有差异吗
[00595.58-00596.60] 当然有差异
[00596.60-00599.16] 大家注意一下这个地方会涉一道什么问题
[00599.16-00600.94] 这个地方会涉一道假事
[00600.94-00602.94] 我们所说的换行的问题
[00602.94-00604.86] 我们一会儿会在后面还会一大去讲
[00604.86-00606.06] 你如果是假视
[00606.06-00608.06] 一个是我们所说的换行
[00609.18-00610.22] 这个时候就会考验到
[00610.22-00613.82] 在假视或换行期当中会会成立了一份
[00613.82-00615.22] 什么叫做假视呢
[00615.22-00616.18] 假视假视
[00616.18-00617.58] 你看就是假装释放嘛
[00617.58-00617.94] 对吧
[00617.94-00620.10] 这种就叫做我们所说的假视
[00620.10-00622.46] 就是如果我们就是组辞来去解决的话
[00622.46-00623.66] 就是假装释放
[00623.66-00625.10] 那这个假视在本身上
[00625.10-00627.06] 它其实是释放的一种情况
[00627.06-00627.70] 对不对
[00627.70-00628.38] 那假视呢
[00628.38-00630.90] 它其实就是换句话来说呢
[00630.90-00636.16] 假示它有点类似于针对于无期图形有期图形的一类人
[00636.16-00639.02] 它如果符合相的条件的话就可以给它怎么办
[00639.02-00641.92] 就可以给它提前释放的这样的一个情况
[00641.92-00644.72] 这种情况就是我们所说的假示
[00644.72-00648.70] 这种假示的话它其实是有这种假示的期限的
[00648.70-00649.84] 假示的期限的
[00649.84-00651.88] 如果假示成功的话
[00651.88-00654.10] 原判刑法就不在知识了
[00654.10-00656.76] 如果假示失败的话原判刑法还要怎么样
[00656.76-00657.82] 继续知识性
[00657.82-00661.40] 所以在这里面我们就会考虑到假视和幻形期内
[00661.40-00665.24] 它到底会会成立雷方的问题
[00665.24-00666.78] 我先来看一下假视
[00666.78-00669.08] 如果现在是在假视我们在后面会讲
[00669.08-00670.88] 现在这里给它记住
[00670.88-00672.42] 这个考虑非常重要
[00672.42-00677.02] 如果现在是在假视考虑期内
[00677.02-00679.58] 假视考虑期我们后面会讲
[00679.58-00684.18] 如果是在假视的考验期内
[00684.18-00687.26] 在假视考虑期内犯新罪的算是成立雷方
[00687.26-00691.64] 大家注意一下,在假示的考驗器內犯新罪的不成立雷犯
[00692.64-00694.76] 怎麼寫呢?考驗器內犯新罪
[00697.74-00698.86] 我打個差,好吧
[00699.06-00703.24] 我打個差就代表它不成立雷犯,這是在假示考驗器內
[00703.40-00706.64] 因為你在這種情況之下,還沒有車要假示程序呢?
[00706.64-00708.52] 那這個時候你就數罪病法就行了
[00708.52-00714.04] 那這個就是我們所說的在假示考驗器內,不只叫做不成立雷犯
[00714.24-00715.74] 如果假示期滿呢?
[00715.74-00717.74] 就是再假設七满後
[00720.24-00722.74] 如果再假設七满後犯罪的話
[00722.74-00724.74] 大家注意一下可以成立雷粉
[00724.74-00727.74] 因為假設假設假設成功
[00727.74-00730.74] 就相當於原判刑法已經執行完畢
[00730.74-00732.74] 我們說了雷粉成立的大前提
[00732.74-00734.74] 是不是原判刑法執行完畢
[00734.74-00735.74] 原判刑法執行完畢
[00735.74-00738.74] 期满之後就示威原判刑法執行完畢
[00738.74-00740.74] 如果你在這個時候又犯罪的話
[00740.74-00742.74] 那可以成立雷粉
[00742.74-00744.54] 而幻形是什么呢
[00744.54-00745.82] 幻形它有两种情况
[00745.82-00748.62] 第一个呢也是在幻形考验期内
[00748.62-00750.94] 如果在幻形考验期内大家注意一下
[00750.94-00752.46] 只要是在假设期后
[00752.46-00754.10] 幻形考验期内发现最大
[00754.10-00755.38] 都不成立了一番
[00755.38-00757.86] 只不过是在幻形考验期期满之后
[00757.86-00759.38] 它成不成立了一番呢
[00759.38-00760.42] 那注意一下
[00760.42-00761.94] 如果说
[00761.94-00764.10] 幻形我们会讲同一心别着急
[00764.10-00765.26] 在这种先给个记住
[00765.26-00768.66] 如果说是在幻形考验期满之后犯罪
[00768.66-00770.78] 幻形考验期满是为
[00770.78-00773.22] 原判刑法不再執行
[00773.22-00776.94] 原判刑法不再執行是不是累犯成立的大前提
[00776.94-00777.70] 不是
[00777.70-00779.86] 原判刑法不再執行
[00779.86-00782.46] 就意味着并非原刑法執行完毕
[00782.46-00783.90] 所以在这种情况之下
[00783.90-00785.70] 如果说幻刑可欺满
[00785.70-00786.70] 能不能成立累犯
[00786.70-00790.38] 不能这个点是一个非常重要的细节的考点
[00790.38-00792.10] 我们后面去讲完假示
[00792.10-00794.58] 和幻刑之后你就了解它怎么回事了
[00794.58-00796.18] 这个点一定要明确
[00796.18-00797.78] 这是我们所说的有关于
[00797.78-00800.08] 累饭 他的一个大前提
[00800.08-00800.86] 我们先知道了
[00800.86-00803.58] 累饭的大前提是原型法執行完帝
[00803.58-00804.74] 你要知道執行完帝
[00804.74-00806.42] 他睡一道还行和假视的问题
[00806.42-00807.50] 第二个我们说了
[00807.50-00809.70] 累饭 他分为一般累饭和特别累饭
[00809.70-00811.10] 一般累饭四个条件
[00811.10-00812.82] 前后最是故意
[00812.82-00813.78] 年半18
[00813.78-00815.98] 周碎執行完帝后五年
[00815.98-00816.78] 内对吧
[00816.78-00817.94] 还有有去图形以上
[00817.94-00819.30] 而一般累饭是什么呢
[00819.30-00820.46] 一般累饭和
[00820.98-00822.82] 我们刚而特殊累饭是什么呢
[00822.82-00825.70] 特别累饭和一般累饭就在于高材武说了
[00825.70-00832.66] 一般雷飯是前後最都是故意,而特別雷飯是前後最都是故意切事,國恐黑雷飯最
[00832.66-00839.94] 第二一個都要年滿十八週歲,第三一個和第四一個在特別雷飯當中沒有,沒有七下限制,沒有行度限制
[00839.94-00841.94] 那大家注意下,這是雷飯
[00841.94-00850.14] 雷飯我剛才問大家了,這種主觀惡意識不挺大的,所以問大家說因為應該重點煩啊,大家都覺得一致認同應該重點煩
[00850.14-00854.14] 所以在這雷雷飯怎麼辦,同壞下,應當從重處煩
[00854.14-00855.42] 雷飯營到重重主板
[00855.42-00857.72] 但是雷飯不能打住一下
[00857.72-00860.54] 雷雷飯不是用緩刑也不是用假事
[00860.54-00863.86] 為什麼呢?因為我說了它的主觀惡性是不太大了
[00863.86-00865.46] 緩刑也好假事也好
[00865.46-00868.22] 它其實是亮行道上的說比較快的這樣那種
[00868.22-00870.10] 重輕的一種感覺
[00870.10-00872.50] 對吧?所以對於這種主觀惡性特別大的
[00872.50-00875.64] 不是用緩刑也不是用假事
[00875.64-00877.08] 所以在這裡面大家注意一下
[00877.08-00878.72] 這是對於雷飯的處罰
[00878.72-00880.76] 那是第一個雷飯大家要知道
[00880.76-00883.34] 那除了雷飯的飯它會影響到
[00883.34-00885.44] 我们的亮星清潔 应当从重
[00885.44-00890.30] 有没有一些可以让我们被判的稍微清一点的这些亮星清潔在呢
[00890.30-00891.14] 其实是有的
[00891.14-00891.98] 这个呢
[00891.98-00895.02] 就是我们第二个大家讲的就叫做自首
[00895.02-00896.70] 自首其实大家应该都知道
[00896.70-00898.94] 在安利当中比如说我杀了国大之后
[00898.94-00899.74] 我呢
[00899.74-00900.98] 就给关句打电话
[00900.98-00902.02] 我说我杀人了
[00902.02-00902.82] 然后呢
[00903.34-00904.78] 我说你快点来找我吧
[00904.78-00906.34] 然后这个关这个简察就说
[00906.34-00907.14] 说你杀人了
[00907.14-00908.10] 我们现在在五兄呢
[00908.10-00908.94] 说你要不要自己过来
[00908.94-00909.82] 我说你赶紧过来啊
[00909.82-00911.02] 你再过来我就走了
[00911.02-00912.62] 然后警察就来到
[00912.62-00914.48] 我这个翻这个作案的现场
[00914.48-00915.82] 然后把我靠起来带走了
[00915.82-00917.46] 这种情况之下我算不算自首了
[00917.46-00917.98] 大家注意一下
[00917.98-00920.42] 这种情况之下其实算自首的
[00920.42-00921.62] 什么叫做自首呢
[00921.62-00923.06] 咱们来看一下它干净啊
[00923.06-00926.46] 自首啊是指翻最后自动头案
[00926.46-00928.46] 如实共数字以翻最这些
[00928.46-00930.90] 或者被采取强制措施的翻个闲人
[00930.90-00932.94] 被告人正在弗行的最贩
[00932.94-00934.74] 如实共数四瓦机关
[00934.74-00936.90] 还没有掌握的本人其他的最行
[00936.90-00938.82] 那这个就叫做我们所说的什么
[00938.82-00941.30] 自首就是自首的本质就在什么
[00941.30-00943.62] 就在于我自动规案
[00943.62-00944.94] 所以在这种情况之下
[00944.94-00946.98] 我们就把自首分为两种情况
[00946.98-00948.98] 第一种你自动头案
[00948.98-00951.06] 如实共述自己的最型的
[00951.06-00953.82] 这个时候就是我们所说的一般自首
[00953.82-00956.22] 如果你已经被控制住了
[00956.22-00958.46] 这个时候你共其他的最的
[00958.46-00960.66] 这个时候就属于什么准自首
[00960.66-00962.02] 所以我们接下来看一下
[00962.02-00964.66] 什么是一般自首 什么是准自首
[00964.66-00967.66] 首先第一个一般自首的成立条件
[00967.66-00968.46] 同样画一下
[00968.46-00970.46] 这个地方在考试的时候会小考
[00970.46-00973.18] 給你個案例,讓你判斷他全部成立自首
[00973.18-00976.78] 這時候就要去掌握著自首的一般條件
[00976.78-00979.10] 我們來看一下在這裡自首的第一個條件
[00979.10-00980.42] 同學給的標誌出來
[00980.42-00984.94] 自首的第一個條件在這個地方說的就是畫一下叫做自動頭按
[00984.94-00987.26] 給的標誌出來
[00987.26-00992.22] 自首的第一個點,這是在於我們所說的叫做自動頭按
[00992.22-00993.58] 什麼叫做自動頭按呢?
[00993.58-00997.10] 就是你自願將自己至於司法控制自向
[00997.10-00998.78] 這個叫做自動頭按
[00998.78-01004.58] 总统案的时间第一个就是在团形为必须在犯罪人上位贵案之前
[01004.58-01009.52] 什么叫上位贵案之前呢 就是你被采取强制措施被训论之前
[01009.52-01012.62] 你这个时候都可以怎么办都可以自动投案
[01012.62-01017.26] 所以在这里谈事一道自动投案的第一个就是自动投案的时间
[01017.26-01020.66] 就是上位贵案之前如何判断他规短的规短
[01020.66-01025.18] 就看他有个被训论比如说被关局带走去训论了
[01025.18-01028.26] 或者是什么被拆去强制措施
[01029.02-01033.38] 如果他在被训论和被拆去强制措施之前
[01034.46-01036.30] 他都可以算了自动
[01036.46-01037.06] 投案
[01037.06-01038.22] 比如说刚才
[01038.22-01039.86] 我说你赶紧来找我吧
[01039.86-01040.78] 我现在要自首
[01040.78-01041.42] 他说你来
[01041.42-01043.10] 我说你再不来我就要走了
[01043.10-01044.54] 那你看我这个时候
[01044.54-01046.42] 楚不楚在自动投案当中
[01046.42-01048.42] 我指定是楚在自动投案当中的
[01048.42-01052.62] 因为你关机关没有对我拆去训论或者是强制措施
[01052.62-01053.62] 我说你来找我
[01053.62-01056.58] 我是不是自愿把自己资与斯拉机关的控制自下
[01056.58-01057.74] 那这种情况之下
[01057.74-01059.42] 我属于自动投案
[01059.42-01060.18] 大桌一下
[01060.18-01060.74] 这是第一个
[01060.74-01062.26] 他投案的时间
[01062.26-01063.06] 他还的时间
[01063.06-01063.94] 这第一个点
[01063.94-01066.54] 第二个就是投案的方式
[01066.54-01068.46] 投案的方式在这个地方就是
[01068.46-01072.34] 你是自愿将自己资与斯拉机关的控制自下
[01072.34-01073.46] 只要是自愿的
[01073.46-01075.06] 出于本人的这种意志
[01075.06-01075.58] 都可以
[01075.58-01076.14] 比如说
[01076.14-01078.30] 你本来想去自首
[01078.30-01080.50] 然后你想去自首的路上
[01080.50-01081.86] 关机关之后过来了
[01081.86-01082.88] 半路结糊
[01082.88-01084.42] 然后查完了说
[01084.42-01085.06] 你呢
[01085.06-01086.46] 是准备去自首的
[01086.46-01087.10] 那这种情况
[01087.10-01088.02] 这些算不算自首
[01088.02-01088.78] 自动投案呢
[01088.78-01090.30] 应当示威自动投案
[01090.30-01090.82] 第二个呢
[01090.82-01091.46] 这是我刚才说的
[01091.46-01092.86] 说警察你赶紧来找我吧
[01092.86-01093.26] 对吧
[01093.26-01094.78] 做等警察上面来抓我
[01094.78-01097.22] 我也属于自动投案
[01097.22-01097.82] 明白了吧
[01097.82-01099.26] 这是我是新单情况的
[01099.26-01101.70] 把自己交付到司法机关的控制之下的
[01101.70-01103.06] 所以他也属于什么
[01103.06-01105.10] 他也属于自动投案
[01105.10-01106.06] 所以在这个地方
[01106.06-01106.94] 大家一定要明确
[01106.94-01108.22] 这是他的方式
[01108.22-01109.46] 所以你可以在旁边
[01109.46-01110.74] 记一下比如说半路
[01111.86-01113.86] 遇到警察了
[01114.86-01116.86] 班路碰上这是什么样的警方原赛
[01116.86-01117.86] 对吧
[01117.86-01119.86] 或者是做的警察来找
[01124.86-01126.86] 做的警察来找你
[01126.86-01127.86] 也行
[01127.86-01129.86] 这种他也属于自愿治愿
[01129.86-01130.86] 自愿自愿自愿自愿
[01130.86-01133.86] 所以符合这两个时间条件和方式之后
[01133.86-01135.86] 我们就可以示威他是自动同案的
[01135.86-01136.86] 所以我们去判断
[01136.86-01138.86] 他属不属于一般自省
[01138.86-01140.86] 你先判断他有未必抓起来
[01140.86-01141.86] 抓起来抓后
[01141.86-01142.86] 如果抓起来之前
[01142.86-01144.86] 这种情况之下
[01144.86-01146.86] 他算了一般自首当中的内容
[01146.86-01147.86] 这是第一个点
[01147.86-01148.86] 大家要注意一下
[01148.86-01149.86] 这事自动投案
[01149.86-01150.86] 只有第一个条件
[01150.86-01152.86] 第二条件是自动投案之后
[01152.86-01153.86] 干嘛
[01153.86-01154.86] 叫如实共数字里的最性
[01154.86-01156.86] 把这个如实共数
