[00000.00-00005.12] 好的,我们接着来学习,第二节的内容,咱们做一个简单的红官回顾
[00129.28-00132.92] 最余场见的大部分地区都可能会考到的河通
[00132.92-00134.08] 给它去说一说
[00134.08-00135.56] 所以在点心河通当中呢
[00135.56-00138.24] 我们一会儿在第二节当中要给大家讲五个
[00138.24-00140.80] 但是要大家知道河通边当中的点心河通
[00140.80-00142.08] 可不但只有五个
[00142.08-00144.76] 所以这是第二分编叫典型合同
[00144.76-00148.36] 第三分编的我们叫做准合同
[00148.36-00150.60] 那主合同我们其实是讲了两个
[00150.60-00153.60] 也是在第一节当中的第五个大问题当中的他说的
[00153.60-00154.96] 我们讲了哪两个呢
[00154.96-00157.40] 一个是无音管理
[00161.00-00161.92] 开吴一个是什么呢
[00161.92-00164.20] 还有一个是不当得力
[00164.20-00166.12] 一共是有这么两个内容
[00166.12-00168.52] 那在无音管理和不当得力考察的时候
[00168.52-00169.52] 主要考察第一个
[00169.52-00170.64] 他的过程要加
[00170.64-00172.48] 第二个时候是它的法律后果
[00172.48-00174.76] 这是在整个核通边当中
[00174.76-00176.12] 我们给大家去说到的
[00176.12-00176.68] 它
[00177.44-00179.28] 比较长见的这样的一个框架
[00179.44-00182.12] 通责核通咱们都讲完了
[00182.12-00183.52] 接下来我们就来看一下
[00183.52-00185.28] 典型核通的内容
[00185.28-00186.72] 这个典型核通当中
[00186.72-00187.36] 第一个呢
[00187.36-00190.08] 我们最为长见的其实就是奶奶核通
[00190.08-00191.12] 在日常生活当中
[00191.12-00192.20] 其实离不开买卖
[00192.20-00194.20] 因为买卖也好交坏也好
[00194.20-00195.68] 它是市场运行当中
[00195.68-00196.96] 并不可少的一款
[00196.96-00198.04] 我们只要说
[00198.04-00199.56] 在生活在这个社会当中
[00199.56-00201.56] 小满足自己日常的
[00201.56-00203.24] 我们所说的生上生活需要
[00203.24-00205.44] 就必须有买卖这个环节
[00205.44-00208.56] 所以买卖合同是市场生活当中最余常见的一种
[00208.56-00210.40] 那买卖合同的喊意日常
[00210.40-00211.32] 咱们来看一下
[00211.32-00213.76] 说买卖合同是指一方
[00213.76-00216.96] 转移标地务的所有权于另一方
[00216.96-00219.20] 而另一方要支付加款
[00219.20-00221.64] 而转移所有权的一方为什么
[00221.64-00224.96] 转移所有权的一方为出卖人或者是卖方
[00224.96-00226.44] 而支付加款的一方
[00227.44-00228.32] 在这里他说了
[00228.32-00230.88] 支付架款的地方就是每收人或者是每方
[00230.88-00231.84] 这个太好理解了
[00231.84-00232.40] 对吧
[00232.40-00234.12] 比如说你去超市买一平
[00234.12-00235.28] 把它换换换水
[00235.28-00236.96] 或者是在我的老家大东北
[00236.96-00237.36] 对吧
[00237.36-00238.36] 全换换换水
[00238.36-00239.32] 不知道大家有没有
[00239.32-00241.00] 对这个全换水没有了解
[00241.00-00243.16] 我相信应该是有东北的这个小午办
[00243.16-00244.64] 我记得之前看那个电视剧
[00244.64-00245.84] 去到门的时候
[00245.84-00247.08] 它里面有一个车方镜头
[00247.08-00248.04] 就是在那个跪上
[00248.04-00249.76] 放了一个全换换水
[00249.76-00250.48] 那这个呢
[00250.48-00251.36] 我们来看一下
[00251.36-00252.60] 假设我去买这个
[00252.60-00253.68] 换换水的时候
[00254.56-00255.84] 我要做的是什么
[00255.84-00257.52] 我要做的是把钱给
[00257.52-00260.60] 商家而商家做的是把困境手给我
[00260.60-00262.56] 所以在这里面就会画分出来
[00262.56-00263.56] 我就是什么
[00263.56-00265.20] 我就是支付架款的一方
[00265.20-00267.92] 我就叫做买收人或者是买方
[00267.92-00269.44] 而商家的它就是
[00269.44-00270.56] 卖款的手里方卖
[00270.56-00273.16] 所以它就是出卖人或者是卖方
[00273.16-00276.00] 这个相对来说是特别好理解的
[00276.00-00277.24] 但是问题是在什么的
[00277.24-00277.96] 考试的时候
[00277.96-00278.76] 它不会说
[00278.76-00279.60] 考我们说
[00279.60-00280.20] 买方是谁
[00280.20-00281.20] 卖方是谁
[00281.20-00282.60] 而是在考试的时候
[00282.60-00283.64] 我们应该知道
[00283.64-00285.52] 合同它其实是什么
[00285.52-00288.92] 雙方達成合議或是多方達成合議之後
[00288.92-00291.22] 要表現出來的
[00291.22-00293.20] 他願意接受合同的什麼
[00293.20-00293.84] 約束
[00293.84-00295.56] 所以 願意接受合同的約束
[00295.56-00296.40] 就意味著
[00296.40-00298.20] 在合同當中的當事人
[00298.20-00299.72] 他一定會有權力合
[00299.72-00300.32] 義務
[00300.32-00302.88] 而我們在買賣合同當中的當事人
[00302.88-00303.88] 一共就兩方
[00303.88-00304.72] 一方是買方
[00304.72-00306.00] 一方是買方
[00306.00-00308.88] 所以他們其實也會有不同的義務
[00308.88-00310.12] 那我們就來看一下
[00310.12-00311.92] 在這裡面我們所提到的
[00311.92-00313.56] 買方小男先義務
[00313.56-00315.40] 而買方又享有哪些義務
[00315.40-00318.98] 我们来在旁边做一个简单的标注
[00318.98-00321.54] 首先第一个出卖人或者是卖方
[00321.54-00323.60] 大家都知道出卖人或者是卖方
[00323.60-00327.18] 他又转叶我们所说的标地物的所权
[00327.18-00329.22] 所以在这里他就有什么
[00329.22-00331.02] 他就有转叶所权的一种
[00331.02-00332.54] 就有给东西的一种
[00332.54-00335.00] 我们把他给东西的一种称之为叫做
[00335.00-00336.14] 祭父一物
[00336.14-00337.16] 这是给东西嘛
[00337.16-00337.92] 叫祭父一物
[00337.92-00339.22] 只剥他的这个祭父一物
[00339.22-00341.00] 就有画分出来两种
[00341.00-00344.08] 第一种就是我们所说的叫做主祭父一物
[00344.08-00350.52] 第2个呢就叫做从启夫以舞
[00350.52-00355.32] 第2个就叫做从启夫以舞
[00355.32-00357.16] 什么叫做主启夫以舞呢
[00357.16-00360.92] 主启夫以舞就是出卖人阴当女型相美售人交付
[00360.92-00365.52] 标击舞或交付体曲标击舞的单证并转移售权的舞
[00365.52-00367.96] 也就是在这里面就是我说的
[00367.96-00369.16] 我如果买换换换换损损
[00369.16-00372.00] 他的主启夫以舞就是把水交付给我
[00372.00-00372.88] 明白这个意思吧
[00372.88-00374.58] 如果是買那房屋呢
[00374.58-00375.58] 同時來想一下
[00375.58-00377.34] 如果是在買那房屋當中
[00377.34-00380.96] 那我交付的這個標題物就是房屋
[00380.96-00382.62] 但是他不僅要把房屋給我
[00382.62-00383.22] 對不對
[00383.22-00384.22] 他要給我什麼
[00384.22-00386.22] 給我房屋的要是
[00386.22-00388.72] 然後還要給我各種交格手續
[00388.72-00390.72] 還要給我提供各種各樣的單具
[00390.72-00391.96] 那這是買房子當中
[00391.96-00393.76] 可能會涉及到的各種各樣的
[00393.76-00395.50] 他需要交付給我的問題
[00395.50-00396.60] 那在買房子當中
[00396.60-00398.86] 同學們覺得什麼是他的主級服務呢
[00398.86-00400.42] 這是在整個我剛才所說的
[00400.42-00401.30] 這一堆東西
[00401.30-00403.10] 最終有的是他把什麼給我
[00404.12-00405.40] 他把房屋給我
[00405.40-00406.68] 對吧所以在這裡面
[00407.44-00410.64] 我們看到的主輯服務比如說像房門買當中
[00410.64-00413.08] 他必須把房屋交付給我
[00413.08-00416.40] 那這時候房屋或者是交付房屋就是他的什麼
[00416.66-00418.20] 就是他的主輯服務
[00418.20-00419.22] 對不對
[00419.22-00420.76] 那從幾乎一無事啥呢
[00420.76-00425.10] 從幾乎一無事就是他有交付出房屋之外的其他的一些東西
[00425.10-00427.16] 比如說他是不是在把腰是給我
[00427.16-00430.22] 比如說他是不是在把這個房子相應的配套設施給我
[00430.22-00431.00] 對不對
[00431.00-00433.24] 这个就叫做他的从级服艺物
[00433.24-00436.40] 而从级服艺物在考察的时候
[00436.40-00437.52] 大家要注意一下
[00437.52-00439.52] 有这么几个点一定要明确
[00439.52-00441.84] 就是考点是在从级服艺物上
[00443.52-00444.88] 在这里面大家注意一下
[00444.88-00447.20] 我们所说的从级服艺物
[00447.20-00449.92] 它算不算合同旅行的一物之一
[00450.92-00451.84] 只能算呢
[00451.84-00452.16] 对吧
[00452.16-00454.56] 因为这都是出卖人应该做的事情
[00454.56-00456.44] 所以如果大家注意一下
[00456.44-00458.84] 如果你在去买东西的时候
[00458.84-00463.36] 那這個充滿人沒有像你教父什麼寶險單
[00463.36-00466.24] 維修單開給你開發票
[00466.24-00468.08] 什麼給你產品和賺書
[00468.08-00469.44] 只能競爭書等等
[00469.44-00471.44] 像這些單人證資料
[00471.44-00472.60] 他都沒有給你
[00472.60-00474.24] 他屬不屬於維約呢
[00475.44-00476.08] 同你們注意
[00476.08-00477.24] 他屬不屬於維約
[00477.24-00478.40] 他屬於維約
[00478.40-00479.92] 所以從幾幅一物的違反
[00479.92-00480.88] 大家注意想
[00480.88-00482.64] 從幾幅一物的違反
[00482.64-00485.04] 他其實是構成維約的
[00485.04-00489.64] 从来实在不好意思
[00489.90-00491.96] 今天这个 嗓子 那稍微点问题
[00492.20-00494.52] 所以从起服艺物的违法是构成维约的
[00494.76-00497.08] 那既然构成维约我们就可以追究它的什么
[00497.34-00500.14] 我们就可以追究它的维约 责任
[00500.40-00502.18] 那这是我们所说的这个
[00502.44-00503.98] 从起服艺物啊 第一个点
[00504.24-00507.82] 但是我们说了这个从起服艺物他虽然构成维约
[00508.08-00511.40] 咱们同学们可不可能会想到一个点啊 就是咱们在前面
[00511.66-00513.46] 想到合同解除的时候我们说了
[00513.46-00515.46] 什么条件下合同解出来的
[00515.46-00519.46] 叫做合同目的无法实现的时候
[00519.46-00521.46] 我们就要去解除合同了
[00521.46-00521.96] 对吧
[00521.96-00524.96] 于是在合同目的无法实现去解除合同当中
[00524.96-00528.46] 我们讲到了叫预期维约根本维约
[00528.46-00532.18] 在欺贤合理在我们所说的
[00532.18-00534.46] 曲线内延迟率型
[00534.46-00536.46] 就吹高在合理欺贤之内
[00536.46-00537.46] 认为率型的这种情况
[00537.46-00539.46] 或者是不可抗力或者是形式变个
[00539.46-00541.46] 都可以去解除合同
[00541.46-00544.86] 那这个时候呢就同学会把这个点啊去会小
[00544.86-00547.66] 回想什么呢说老师啊那从级服用的违反
[00547.66-00550.06] 他可不可以够成根本美元呢
[00550.06-00552.06] 大家注意一下 只要看从级服用
[00552.06-00553.46] 他的重要程度
[00553.46-00555.86] 在这里你对简单的在旁边标准一下
[00555.86-00559.26] 这是从级服用的违反啊原则上
[00560.66-00561.66] 原则上
[00562.26-00564.86] 不够成或者是不可以解除合同
[00567.86-00568.86] 原则上
[00568.86-00570.06] 不可以解除合同
[00570.06-00571.06] 除非是啊呢
[00571.06-00573.58] 除非在这里面他构成根本的月
[00573.58-00576.56] 所以大家注意一下这是第2个细节的电
[00576.56-00577.66] 大家明确
[00577.66-00580.16] 那第3个细节点就是从几副优维法
[00580.16-00582.94] 不仅想风险的转移也不构成做大伟减
[00582.94-00584.74] 所以在这里给他写在旁边
[00584.74-00588.22] 就要不赢下风险转移
[00590.26-00591.78] 不赢下风险转移
[00591.78-00593.54] 这个风险转移是怎么回事
[00593.54-00595.38] 一会儿我会大家去说到
[00595.38-00597.10] 这个就是我们所说的
[00597.10-00598.78] 出卖人或者是卖方
[00598.78-00600.26] 他的一个礼物
[00600.26-00601.46] 这个点大家要明确
[00601.46-00603.10] 有趣注意一下这个从几分一碗
[00603.10-00606.98] 也就是常见的单证资料配套设施这些
[00606.98-00608.78] 那这是第一个我们所说的
[00608.78-00609.82] 出卖人的礼物
[00609.82-00610.94] 那出卖人有礼物
[00610.94-00612.10] 买收人有没有礼物
[00612.10-00614.10] 买收人指定也有礼物的
[00614.10-00616.30] 所以买收人的礼物就在啥呢
[00616.30-00618.62] 就是它有一个即使通知的礼物
[00618.62-00619.58] 这个点呢
[00620.26-00623.10] 男人就是经常会看到这样的一个情况
[00623.10-00624.74] 就是你去买一个东西的时候
[00624.74-00626.38] 他给你发货发多了
[00626.38-00628.22] 如果这个卖方给你发货
[00628.22-00629.26] 发的特别多的时候
[00629.26-00630.62] 那多出来的这个东西
[00630.78-00631.70] 你应该怎么处理
[00631.70-00632.94] 你看像前几天的时候
[00632.94-00634.38] 我在网上下单
[00634.38-00636.42] 我在网上现在在那个超市
[00636.42-00638.22] 去买了很多的这种吃的
[00638.22-00638.66] 然后呢
[00638.66-00640.22] 我家里的这个调料也没有了
[00640.22-00640.70] 然后呢
[00640.70-00641.66] 我就在那个
[00642.02-00643.22] 那个单里面
[00643.22-00644.02] 我就下单的时候
[00644.02-00644.70] 就外卖吧
[00644.70-00645.38] 我下单的时候
[00645.38-00645.74] 我就写了
[00645.74-00647.18] 我一平降油
[00647.30-00648.70] 一平老抽
[00648.70-00649.78] 然后要一平
[00649.78-00650.74] 那个料酒
[00650.74-00652.18] 然后还买了一平粗
[00652.18-00652.54] 对吧
[00652.54-00653.58] 我一共是买的这次
[00653.58-00654.78] 也还有一些其他东西
[00654.78-00657.14] 结果他在拿过来东西的时候呢
[00657.14-00658.30] 我也没有仔细看
[00658.30-00659.74] 然后我就把那些东西
[00659.74-00660.94] 都拿出来拿出来之后
[00660.94-00661.94] 我就全都拆了
[00661.94-00663.10] 结果当我拆完网
[00663.10-00664.34] 归子里方的时候发现
[00664.34-00664.74] 哎呦
[00664.74-00666.54] 他在这里面给我发了什么
[00666.54-00668.34] 给我多发了一片老臭
[00668.34-00670.22] 也就是我原来下单的是一片老臭
[00670.22-00671.46] 他给我发过来什么
[00671.46-00672.38] 两片
[00672.38-00674.10] 那这个里面就会睡一到什么
[00674.10-00676.14] 出卖人多交付标几乎
[00676.14-00678.90] 那对于他多交付的这个标几乎
[00678.90-00680.86] 也就是他多给我的这一片老臭
[00680.86-00682.22] 应该怎么办
[00682.62-00683.50] 那这个时候呢
[00683.50-00684.90] 就会睡一到一个问题
[00684.90-00688.62] 就是每收人也是买老抽的五
[00688.62-00690.02] 接下來應該怎麼辦的問題
[00690.02-00691.18] 所以在這裡面就會睡到
[00691.18-00692.94] 每收人他的一個15
[00692.94-00694.38] 在這個每收人的15當中
[00694.38-00695.66] 他的前提就是
[00695.66-00697.82] 我把它寫下面就是出賣人
[00699.62-00701.10] 多交付了標題五
[00703.30-00705.30] 出賣人多交付了標題五
[00705.30-00707.30] 如果他多交付了標題五的話
[00707.30-00709.06] 他多出來這個東西應該怎麼辦
[00709.06-00711.14] 作為每收人的我就兩選擇
[00711.14-00712.66] 就是第一個 我要了
[00712.66-00715.74] 对吧 这个是接收 第二个 我不要 我就干嘛
[00715.74-00720.10] 我就去收 那如果是我接收了 那我能不能说
[00720.10-00722.30] 我就敲个生儿的把东西就秘下了
[00722.30-00725.46] 那还能不能是从法律从来看
[00725.46-00728.26] 还是从道德省那上来看是不是都不好
[00728.26-00730.58] 所以如果我接收的话我就可以怎么样
[00730.58-00733.82] 如果我要了 那在这个时候我就可以按照
[00733.82-00736.02] 约定的价格 去支付价格
[00737.30-00740.50] 按照约定的价格
[00742.66-00743.94] 指付加快
[00743.94-00746.94] 如果是什么叫做按照约定的加格指付加快
[00746.94-00748.54] 这个故事到这还没有完
[00748.54-00752.38] 同时我在买到它不是多给我发了一平老抽了
[00752.38-00754.18] 都多给我发一平老抽了
[00754.18-00757.50] 我就打电话去联系上家
[00757.50-00758.46] 这联系是超受说
[00758.46-00760.82] 多给我发了一平想人怎么把钱给人转回去
[00760.82-00761.62] 然后呢
[00761.62-00763.14] 这个商家就说话说
[00763.14-00764.78] 好不然打通的商家就说话
[00764.78-00765.26] 说话是这样的
[00765.26-00766.74] 说是实在太不好意思了
[00766.74-00769.34] 他说这个老抽
[00769.34-00770.58] 他说是这个样子
[00770.58-00772.82] 是别人家要的
[00772.82-00773.96] 结果他们装过的时候
[00773.96-00774.92] 就多装了一下
[00774.92-00775.84] 装到我了
[00775.84-00777.46] 然后这个外面小哥
[00777.46-00778.76] 当时给我送的时候
[00778.76-00780.12] 不知道这里没有两平
[00780.12-00782.20] 也就是一位的外面小哥的另一个定单里面
[00782.20-00783.56] 其实是少了一篇老抽的
[00783.56-00785.24] 然后我说这个时候怎么办
[00785.24-00786.96] 我说要把这个架款付给你吧
[00786.96-00787.74] 然后他说
[00787.74-00789.54] 都说你不用直接把架款给我了
[00789.54-00791.74] 说你连细这个外面小哥
[00791.74-00793.26] 然后你把钱转给外面小哥
[00793.26-00795.00] 外面小哥退回给人家就行了
[00795.00-00797.72] 因为外面小哥去找另外一家是不要方便
[00797.72-00799.38] 超市动作定单态也
[00799.38-00800.66] 就是没有办法
[00800.66-00802.20] 就是精准地看到是哪些
[00802.20-00804.24] 我当时一小时候将也行停合理了
[00804.24-00806.30] 然后我就给这个外面小回答的话
[00806.30-00807.32] 然后这个外面小哥呢
[00807.32-00808.34] 他就说
[00808.34-00811.16] 说事实是说我这里面规划得少点东西呢
[00811.16-00812.70] 他当时的另一个定单
[00812.70-00813.98] 他是买了一平油
[00813.98-00814.74] 就是那个
[00814.74-00816.02] 咱们家炒菜的油
[00816.02-00817.80] 然后还要了一平这个老臭
[00817.80-00818.84] 我说那这样的小哥
[00818.84-00820.62] 我说家里微信我把这个钱
[00820.62-00821.14] 我说
[00821.14-00822.16] 发给你吧
[00822.16-00822.68] 我说你
[00822.68-00823.70] 然后
[00823.70-00824.98] 那个外面小哥就跟我说
[00824.98-00826.52] 你才不要想跟我说什么说
[00826.52-00828.32] 说行你把钱发给我吧
[00828.32-00831.32] 说这凭老抽要10块3毛钱
[00831.32-00834.72] 我当时的第一反应就是怎么可能是10块3
[00834.72-00838.12] 我说我当时在网上下京单买的时候
[00838.12-00841.12] 因为我的这边的系统上显示
[00841.12-00842.72] 这个老抽是7块6
[00842.72-00845.12] 我说10块3我是不能给你的
[00845.12-00846.72] 我说一定要要7块6
[00846.72-00848.12] 我就把那个图结给他了
[00848.12-00849.32] 然后这个外面小哥
[00849.32-00850.72] 当时还给我客气
[00850.72-00851.52] 就说安排行吧
[00851.52-00852.72] 7块6就7块6吧
[00852.72-00855.92] 说那个大概的意思说就这样吧
[00855.92-00857.12] 我当时一天
[00857.12-00858.16] 我都活就起来了
[00858.16-00859.12] 当然不是活起来
[00859.12-00860.80] 我当一天我说这怎么都行呢
[00860.80-00862.12] 我当中给那个小哥发的
[00862.12-00863.12] 我说
[00863.12-00864.60] 但咱们的工作都不容易
[00864.60-00866.28] 我说谁也不差这一两块钱
[00866.28-00867.48] 但是一马规矮马
[00867.48-00868.00] 我说
[00868.00-00869.52] 按照法律相关规定
[00869.52-00870.48] 我就必须按照
[00870.48-00872.80] 约定的加款来支付相应的内容
[00872.80-00874.80] 无论它的原价标付的是多少
[00874.80-00877.68] 我在系统上买卖的时候是这样的价格
[00877.68-00879.40] 而且也不是因为我的15岛
[00879.40-00880.08] 这个问题
[00880.08-00880.48] 对吧
[00880.48-00881.56] 所以我这个小哥说
[00881.56-00882.72] 我说这个钱
[00882.72-00883.72] 你说要收下的
[00883.72-00884.96] 但是一马规矮马
[00884.96-00885.92] 咱们就应该
[00885.92-00887.40] 是多少钱就给多少钱
[00887.40-00889.84] 然后那个小哥最后给我发了一个
[00889.84-00890.88] 当然我没有说
[00891.52-00892.96] 就是要欺负人的小哥的意思
[00892.96-00893.72] 我只是跟他说
[00893.72-00896.04] 我不可能多给他那些钱
[00896.04-00897.84] 不是说一块两块的事
[00897.84-00899.48] 而是这里面我们所说的
[00899.48-00900.96] 在法律上规定的就是什么
[00900.96-00903.00] 按照冤定的价格支付价款
[00903.00-00906.08] 这个冤定的价格可以是你在系统上显示的这个价格
[00906.08-00907.16] 那没卖我意思吧
[00907.16-00910.08] 这个内容讲完了好像显得我有一点
[00910.56-00911.56] 那个什么一样
[00911.56-00913.96] 但是同时它是一种本能的反应
[00913.96-00916.78] 就是如果你接触的法律时间长了之后
[00916.78-00917.90] 你会本能的反应
[00917.90-00919.60] 就是大脑脑脑不自觉的
[00919.60-00920.80] 就会碰出来这个东西
[00920.80-00923.32] 所以我当时也跟小哥解释了一下这个问题
[00923.32-00925.60] 然后那个小哥也看了一下那个定单
[00925.60-00928.80] 就是它的另外一个定单是那个架款
[00928.80-00930.88] 是7块5毛4
[00930.88-00932.40] 所以我是让这7块6长了
[00932.40-00935.12] 所以这中间也没有出现其他的差距
[00935.12-00938.28] 所以在这里举这个例子就像一单去说清楚这个问题
[00938.28-00941.04] 就是什么叫做约定的架格支付
[00941.04-00942.32] 就是你和买家约定的
[00942.32-00944.62] 你在系統上顯示的這個價格
[00944.62-00945.34] 你們沒辦法
[00945.34-00948.16] 那這個時候就是我當時接受了這一拚老抽
[00948.16-00950.52] 但是如果我當時不接受這拚老抽
[00950.52-00951.74] 那我就說我不要
[00951.74-00952.56] 我今天應該怎麼樣
[00952.56-00955.26] 我今天應該即使
[00956.56-00957.44] 通知
[00958.44-00959.34] 出賣人
[00960.14-00961.40] 即使通知出賣人
[00961.40-00962.54] 我就如果抽不要
[00962.54-00964.14] 我今天應該即使給誰帶點話
[00964.14-00966.96] 即使給我們所說的超市打點話
[00966.96-00968.36] 然後我跟他說我說這個東西不要
[00968.36-00969.56] 你把這個東西取回去吧
[00969.56-00971.12] 那他就要過來取貨
[00971.12-00971.46] 對吧
[00971.46-00973.16] 这个就是我们所说的这个
[00973.66-00976.44] 出卖人 它的这个买售人 它的一个有
[00976.68-00978.12] 所以同时会发现法律
[00978.12-00980.92] 它有的时候和日常生活当中的情练
[00980.92-00982.30] 它可能会稍有一点不复
[00982.56-00983.88] 有的时候同学们就会
[00984.00-00985.28] 我不知道大家有这个习惯
[00985.28-00986.32] 反正我以前的时候
[00986.32-00987.68] 在我正式接触法律之前
[00987.68-00989.38] 我其实是有这样的一个思维的
[00989.48-00990.66] 就是我总会觉得
[00990.66-00991.62] 目不开灭
[00991.70-00992.68] 或者是总统绝说
[00992.68-00994.00] 差这一块两块
[00994.00-00994.60] 就这样吧
[00994.60-00995.82] 所以也不差这些钱
[00995.92-00997.06] 但是本身上是什么呢
[00997.06-00998.80] 就是它是一种规则的运行
[00998.80-01000.04] 它无分好坏
[01000.04-01003.02] 所以我们说了学好了这个法律或者是学好民法
[01003.02-01005.62] 它其实可以避免生活当中的很多的麻烦
[01005.62-01007.30] 我有这一块两块的这个钱
[01007.30-01009.40] 我可以把它坚给山区的小朋友
[01009.40-01011.44] 同时不要觉得说一块两块标少
[01011.44-01014.96] 当我之前在我还没有收入的时候
[01014.96-01018.08] 就是不能说没有收入在我大学刚里面收入标少
[01018.08-01021.68] 我那个时候每个月就只能给山区的小朋友居然实块钱
[01021.68-01023.40] 然后每个月都居然每个月都居然
[01023.40-01025.64] 那你看它也是几少成都的一个过程
[01025.64-01028.04] 所以大家不要在这个地方呢
[01028.04-01028.92] 就会觉得默不开
[01028.92-01029.88] 用那一块两块
[01029.88-01032.16] 其实可以把他用在市场当中
[01032.16-01034.52] 或者是用在更有意义的一些地方
[01034.52-01036.56] 所以这是民法给我们带来的
[01036.56-01039.64] 这一方面它可以交回我们用相应的规则
[01039.64-01040.84] 去思考一些问题
[01040.84-01042.68] 另外方面它其实也能更好的
[01042.68-01043.88] 伟货我们的却意
[01043.88-01045.32] 但是同学们千万不要
[01045.32-01047.60] 线入到一个另外一个极端当中
[01047.60-01049.52] 就是当你开始运用法律的时候
[01049.52-01051.24] 你就不从人性去考量
[01051.24-01053.48] 反而把它成为伟货自己利的
[01053.48-01054.92] 单纯的一个工具的时候
[01054.92-01056.68] 就可能会走向极端
[01056.68-01059.24] 这就是罗小老师所说的就是法律呢
[01059.24-01060.76] 不单单只是工具化
[01060.76-01064.24] 他其实更应该是为获人民的权益的
[01064.24-01065.44] 所以民法民法
[01065.44-01067.28] 他其实是个能体现这个问题
[01067.28-01069.28] 他就是从生活当中出发的
[01069.28-01072.56] 就像很多的那种法律界的这个扭人
[01072.56-01074.08] 经常会说的一句话 对吧
[01074.08-01076.84] 是什么民法为生命理命
[01076.84-01078.96] 那这个呢就是我们所提到的
[01078.96-01079.96] 买卖合同
[01079.96-01081.00] 所以从买卖合同当中
[01081.00-01082.28] 也顺出来个两个点
[01082.28-01083.40] 大家一定要注意
[01083.40-01087.28] 第一個點就是出賣人的衣物
[01088.28-01089.68] 實在抱歉要通一門
[01089.68-01093.60] 這個出賣人的衣物有足跡富裕物和從跡富裕物
[01093.60-01095.16] 另外一個就是買售人
[01095.16-01096.36] 它即使通知的衣物
[01096.36-01097.72] 這個就是針對我們所說的
[01097.72-01099.48] 多交貨這種情況
[01100.32-01102.36] 這個是我們所說的這個
[01102.36-01104.28] 買賣和通
[01104.28-01106.84] 這是我們所提到的有關於
[01107.48-01109.00] 買賣和通的問題
[01109.00-01110.40] 在這咱們就說了
[01110.40-01112.32] 在這個地方會順利到一個問題
[01112.32-01114.68] 就是刚才我们在这给他说了一个点
[01114.68-01118.12] 就是说如果在这个里面出现了
[01118.12-01119.92] 从几副一物的围反
[01119.92-01122.56] 他不影响风险转移的问题
[01122.56-01124.00] 这里面就会睡到一个问题
[01124.00-01126.68] 就是买卖和统它的一个风险转移
[01126.68-01129.24] 那在买卖和统它的风险转移当中
[01129.96-01130.96] 我们来看一下
[01130.96-01132.40] 买卖和统的风险转移
[01132.40-01134.08] 也叫做标地物的风险转移
[01134.08-01136.36] 他其实想要产出的是什么问题呢
[01136.36-01139.48] 就是咱们两个在进行买卖交易的时候
[01139.48-01141.20] 如果在买卖交易当中
[01141.20-01144.16] 出現了不能規則與任何一方的視有
[01144.16-01146.24] 導致這個標題物回損滅失了
[01146.24-01147.68] 那這個時候的損失
[01147.68-01148.76] 由誰來承擔
[01149.76-01151.16] 他實際上強到這個問題
[01151.16-01152.60] 舉個簡單的例子比如說
[01153.28-01154.96] 我把我的房子賣給你
