[00000.00-00006.94] 我们今天来往下看,我们说具体形狄行为没有给大家讲三大类,刚刚我们讲了形容处伐。
[00424.00-00425.48] 形状虚可的第一种类型
[00425.48-00426.48] 这里面的种类
[00426.48-00427.80] 我们主要强调的是什么
[00427.80-00430.36] 在这里我们主要强调的是法定分类
[00430.36-00432.84] 形状虚可的种类分成两种
[00432.84-00434.52] 一种是法定分类
[00435.92-00437.52] 一种是法定分类
[00437.52-00438.92] 除了法定分类之外
[00438.92-00440.88] 还有很多我们常说的叫做
[00440.88-00442.32] 学理性的分类
[00442.32-00443.64] 这个学理性的分类
[00443.64-00445.08] 一会我们会讲一种
[00447.52-00448.32] 这里面
[00448.88-00450.56] 我们来先来看一下法定分类
[00450.56-00453.12] 这个法定分类就是从昔号一
[00453.12-00456.20] 我在这里给大家罗列的一直到昔号5
[00456.20-00457.96] 首先来看一下第一个
[00457.96-00459.76] 第一个呢一般许可咱就不说了
[00459.76-00460.80] 靠性比较低
[00460.80-00461.80] 这是第一个点
[00461.80-00463.36] 第二个呢就要做特许
[00463.36-00464.32] 我们要明确
[00464.32-00465.68] 形容许可当中特许
[00465.68-00468.48] 它是面向哪些市场的
[00468.48-00469.96] 或者是面向哪些
[00469.96-00471.68] 我们所说的准夺条件的
[00471.68-00473.48] 大家注意一下特许特许
[00473.48-00474.88] 一定是针对的什么呢
[00474.88-00475.76] 同分标注意一下
[00475.76-00477.80] 它往往针对的是有限的
[00477.80-00479.24] 自然自然的开发
[00480.56-00486.36] 有限的自然資源到開發利用
[00486.36-00491.76] 這是特取當中第一個
[00491.76-00493.26] 或者是我們所說的什麼
[00493.26-00494.76] 公共資源的配置
[00494.76-00500.56] 公共資源的配置
[00500.56-00502.56] 那像這種一般請問一下
[00502.56-00503.56] 就是我們所說的
[00503.56-00505.36] 它就會搬發特取
[00505.36-00507.06] 比如說你開採沒礦
[00507.06-00508.06] 你要開採沒礦
[00508.06-00508.96] 或者是我們所說的
[00508.96-00511.48] 就没探咱们经常说到有什么很多的没老板
[00511.48-00511.96] 对吧
[00511.96-00513.32] 那他想去挖这个礼物
[00513.32-00514.28] 特别必须有什么
[00514.28-00516.88] 就必须有没探开发许可证说
[00516.88-00520.32] 那这个没探开发许可证数属于许可当中的哪一类
[00520.32-00521.96] 许可当中的特许
[00521.96-00525.76] 所以在这里面你看我们常见的比如说像是没探
[00525.76-00526.32] 对吧
[00526.32-00529.56] 或者是我们所说的有色金属的开彩
[00529.56-00531.04] 这是这种开礼的
[00531.04-00532.24] 转大钱的
[00532.24-00533.40] 往往都是叫什么
[00533.40-00534.60] 叫做特许
[00534.60-00535.44] 特许
[00535.44-00536.20] 所以大家注意一下
[00536.20-00537.16] 只是在这
[00537.16-00538.60] 那特许像这种
[00538.60-00540.88] 怕王王就不是通过考试考试一般
[00540.88-00543.24] 我们强调的是针对公民的任可
[00543.24-00544.88] 像这种王王通过一般就是
[00544.88-00547.56] 招标玩拍卖这种竞争性的方式
[00547.56-00549.44] 来或许这种特徐的资格
[00549.44-00550.56] 所以在这里大家注意下
[00550.56-00552.28] 这是我们所说的一个特徐
[00552.28-00553.96] 第二个就叫做任可
[00553.96-00554.76] 大家注意下
[00554.76-00556.52] 任可针对的主要是谁呢
[00556.52-00558.80] 任可针对的主要是人比有说话
[00558.80-00562.32] 在这里面我们针对的人是在人或者是法人
[00562.32-00563.68] 如果对公民的任可
[00563.68-00566.52] 王王来得的就是我们所说的考试
[00566.52-00569.86] 如果考試通過的話會給你辦法相當的證書
[00569.86-00571.42] 所以這是第一個
[00571.42-00574.20] 那第二種就是我們所說的對於這種人
[00574.20-00577.12] 他的這種認可除了咱人他也可能是對誰
[00577.12-00578.42] 也可能是對法人
[00578.42-00581.42] 對法人他如果去進行相當的這種認可
[00581.42-00583.22] 比如說他有沒有相得資質
[00583.22-00584.72] 我們說他有了相得資質
[00584.72-00586.52] 他才能夠從事相得工作
[00586.52-00591.02] 比如說像對人當中說考試法律子也資格證書
[00591.02-00593.32] 對吧那這個是職業資格的許可
[00593.32-00596.48] 就要是子格正说是不是就要是子格的学科
[00596.48-00599.80] 住策快只正说是不是住策快失去科
[00599.80-00602.60] 还有我们所说的建筑企业资质
[00602.60-00604.80] 你看这些他都属于找任何
[00604.80-00606.64] 那这些任何当中对于公民
[00606.64-00609.48] 你就要想或者相的资质你叫进行考试
[00609.48-00610.84] 那比如说对于企业呢
[00610.84-00612.00] 你现在是一个建筑公司
[00612.00-00612.96] 我给你评计
[00612.96-00614.52] 那这有时候叫对你进行什么
[00614.52-00615.96] 叫对企业进行考核
[00615.96-00618.40] 来认定他的相应的资质
[00618.40-00619.88] 那这个就叫做任何
[00619.88-00621.00] 所以一般前要考认可
[00621.00-00622.32] 大家知道真正的是什么
[00623.32-00627.28] 針對的是人,針對的是人,這個就叫做任客
[00627.28-00631.76] 這是第三種徐克總雷,第四種徐克總雷叫做合準
[00631.76-00636.20] 合準他針對的就不是人了,大家注意一下,合準他針對的是我們所說的
[00636.20-00641.76] 我們經常看到的那個豬肉,大家去買豬肉說不,大家有沒有注意到這個問題
[00641.76-00646.88] 就是大家買的那個豬肉在菜場當中,你會發現他那個豬殺完的那個小豬上
[00646.88-00653.28] 然後他那個肉不都清了一條條的嘛,他總會給你蓋個針,和大家有沒有看到那個紅章,那個紅色的章
[00653.28-00654.28] 有綠色的章
[00654.28-00654.44] 对吧
[00654.44-00656.28] 它就會在上面給你卡一個村
[00656.28-00657.88] 那個錯上面寫個解案
[00657.88-00659.40] 這個解案其實就是什麼
[00659.40-00661.04] 其實就是屬於核準
[00661.04-00663.28] 也就是說卡完村的
[00663.28-00666.08] 有硬軟解案的經過檢查核準之後的
[00666.08-00668.28] 這些豬肉才能對外消受
[00668.28-00669.64] 那這個就是屬於什麼
[00669.64-00671.28] 這個就是屬於核準
[00671.28-00673.04] 所以核準的往往針對的事務
[00673.04-00675.48] 比如說直接關係公共安全
[00675.48-00678.64] 人生健康生命財產安全的這些重要設施
[00678.64-00679.64] 或者是物品
[00679.64-00681.64] 要對它進行檢疫
[00681.64-00684.44] 检测比如电梯大型游漏潮
[00684.44-00687.24] 你看像最近的那个新闻是深圳还是广州那边
[00687.24-00689.24] 当然应该还记得那游漏潮出事故了
[00689.24-00693.04] 对吧那你看像大型游漏潮设备的这种安装运游
[00693.04-00694.64] 它都需要进行合准的
[00694.64-00697.84] 那这种情况之下你没有相的安装运游徐河的话
[00697.84-00700.64] 你去搞这种大游漏潮的这种设施建设
[00700.64-00701.44] 它主意威法的
[00701.44-00703.04] 因为你没有相应的资质
[00703.04-00705.04] 没有资质你就不能做这个事对吧
[00705.04-00707.24] 所以像这种合准转车真的是啊
[00707.24-00709.24] 五合准转车真的是五
[00709.24-00711.04] 而我们所说的这个灯级大注意
[00711.04-00713.28] 在这里它主要是指的是设立登记
[00713.28-00715.04] 比如说企业公司
[00715.04-00715.32] 对吧
[00715.32-00717.04] 这时候你要开公司的话
[00717.04-00719.20] 那必须要先设立公司
[00719.20-00720.12] 有设立登记
[00720.12-00721.88] 你才有运营公司的资格
[00721.88-00724.56] 所以在这里面我们强调的是什么
[00724.56-00726.08] 是我们所说的形政训课
[00726.08-00727.40] 它的一个种类
[00727.40-00728.48] 大家注意一下
[00728.48-00729.80] 那形政训课的种类
[00729.80-00730.56] 一共是五种
[00730.56-00732.96] 同时们重点掌握这里面的特徐
[00732.96-00734.88] 任可还有合整就行了
[00734.88-00737.04] 能够把他们做一个简单的区分
[00737.04-00737.52] 好吧
[00737.52-00737.96] 这个呢
[00737.96-00740.76] 就是我们所说的形政训课的法定分类
[00740.76-00743.84] 除了法定分類之外,它有一些學理分類
[00743.84-00747.90] 學理分類比較常見,我就寫一個就是附七線的許可
[00748.90-00751.26] 是附七線的
[00753.82-00754.64] 許可
[00755.14-00756.28] 還有一個就是
[00756.28-00758.08] 不附七線的許可
[00761.18-00763.34] 還有就是不附七線的許可
[00763.34-00767.12] 那附七線的許可,不附七線的許可的區別就在那
[00767.12-00769.34] 就看它到底是不是永久的
[00769.34-00771.62] 如果不付去现在的徐可能就是一次发放
[00771.62-00773.46] 只要你不出现微归的情况
[00773.46-00774.66] 它是永久效的
[00774.66-00776.14] 而付旗线的徐可能是什么
[00776.14-00778.18] 付旗线徐可能就是它有期限
[00778.18-00779.58] 这是到期了你要干嘛
[00779.58-00782.38] 你要有眼属所说的这种
[00782.38-00784.70] 眼属的生气或者是叫眼期生气
[00785.74-00787.58] 这是它有期限的小在用的
[00787.58-00789.58] 你要对它进行相打生气
[00789.58-00793.22] 那这个生气的期限是在有效期接满前三十日
[00795.82-00797.14] 是有效期
[00797.14-00800.54] 接滿
[00800.54-00805.04] 3日
[00805.04-00807.04] 有消息接滿前30日
[00807.04-00808.84] 去對他進行相當一個申請
[00808.84-00812.04] 然後他在去進行你的資質的相打聖合
[00812.04-00813.34] 如果聖合通過的話
[00813.34-00814.84] 在這裡面就可以給你幹嘛
[00814.84-00816.44] 就可以研究
[00816.44-00818.44] 可以把這個證據再去給你研棄一下
[00818.44-00820.34] 這個就是我們所說的
[00820.34-00822.34] 最為常見的一種學歷上的分類
[00822.34-00824.54] 就是父親親的學科和不父親親的學科
[00824.54-00826.54] 當然除了有七千限制之外
[00826.54-00828.90] 这个循核它其实有数量上的限制
[00828.90-00834.58] 也就是我们在学里分类当中还有一种就是有数量的限制的循核和没有数量限制的循核
[00834.58-00836.02] 有数量限制的循核呢
[00836.02-00838.70] 那就意味着你获得这个相当的循核征数的话
[00838.70-00840.22] 你它本来数量就有限
[00840.22-00842.14] 我们怎么去发放这个循核上呢
[00842.14-00844.62] 就是相用的叫做先刀先刀
[00844.62-00845.74] 但是不要常见的
[00845.74-00849.50] 在考试当中是夫妻先和夫妻先的了解一下就可以了
[00849.50-00852.18] 那这时我们所说的有关于循核的种类
[00852.18-00854.50] 大家能够去分法定和学里分类
[00854.50-00858.18] 在法定分類當中有一般許可特許
[00858.18-00860.98] 特許往往就是什麼礦這一類的
[00860.98-00862.82] 認可對人的
[00862.82-00867.62] 而我們所說的還有核准隊伍的一節企業的設立登記
[00867.62-00869.78] 這種就是屬於行政許可
[00869.78-00872.86] 我們所說的他的一個具體種類
[00872.86-00875.82] 從這讓我們就了解了許可到底是什麼
[00875.82-00877.30] 咱們做一個簡單的回顧
[00877.30-00878.90] 說了許可在該部的當中
[00878.90-00880.42] 就是在強調它是什麼
[00880.42-00882.94] 許可的核心就是於一般禁止的解除
[00882.94-00885.18] 所以许可他不是主动发给你的
[00885.18-00886.58] 而是要通过深情
[00886.58-00888.62] 所以第一个他要一言深情性
[00888.62-00890.86] 第二个就是许可是对你有好处的
[00890.86-00891.70] 他叫做什么性
[00891.70-00893.14] 他叫做受一性
[00893.14-00895.62] 第三个对你发放许可一般都是会有
[00895.62-00896.86] 要求有输面的
[00896.86-00898.58] 所以他必须是要实行
[00898.58-00901.30] 第四一个就是我们所说的外部性
[00901.30-00905.30] 針对于内部审批已经内部考试这种都不可以
[00905.30-00907.50] 这是我们所说的第一个就做概念
[00907.50-00909.30] 而许可他总绿比较多
[00909.30-00912.26] 所以我们有法律或者是法定分类
[00912.26-00913.94] 還有一些其他的分類形式
[00913.94-00917.50] 反正分類當中講到特許、認可和合主
[00917.50-00919.82] 要分別知道他針對的對象是什麼
[00919.82-00921.82] 而其他當中稍微有個感覺
[00923.02-00924.90] 他有附基線的以及不附基線
[00924.90-00926.82] 這兩個要去給他
[00926.82-00929.30] 有大概有一個印象就可以了
[00929.30-00932.94] 這個就是我們所說的叫做形狀徐克
[00932.94-00934.78] 那瞭解了形狀徐克之後
[00934.78-00935.90] 知道了他是什麼
[00935.90-00937.34] 我們就來看一下第二的
[00937.34-00940.18] 就是形狀徐克到底是怎麼來的
[00940.18-00942.10] 這個就叫做形狀徐克
[00942.10-00944.62] 社定问题 形容许可的设定
[00944.62-00946.78] 就是国家计划创制有关系可
[00946.78-00948.78] 就是谁可以去搞这些许可
[00948.78-00951.22] 并不是四个国家许划就能去办法许可
[00951.22-00953.34] 正常并不是四个许划就能去搞许可的
[00953.34-00956.06] 所以在这里就会设议到许可的设定问题
[00956.06-00956.94] 那许可呢
[00956.94-00957.46] 我们说了
[00957.46-00959.66] 他意味着是一般禁止的解除
[00959.66-00961.50] 所以在形容许可的设定当中
[00961.50-00962.50] 我们就可以看到
[00962.50-00964.62] 他给到了两个点
[00964.62-00965.70] 就是形容许可
[00965.70-00968.02] 他从无道有的这样的一个过程
[00968.02-00969.58] 他给到了两个点
[00969.58-00970.54] 就是一正一反
[00970.54-00973.02] 第一個就是不可以設定虛可的思想
[00973.02-00975.22] 形容虛可是一般禁止的解除
[00975.22-00977.18] 那如果有一些事你自己可以搞定
[00977.18-00978.62] 你不需要獲得相的資質
[00978.62-00980.38] 其實就不需要形容虛可的
[00980.38-00985.54] 第一個他給到就公民法人或其他組織能夠自主決定的
[00985.54-00987.18] 那你就自己訂好了
[00987.18-00989.34] 你這個時候可以自主決定就不需要什麼
[00989.34-00990.30] 形容虛可
[00990.30-00992.98] 第二個市場機制能夠有效條件的
[00992.98-00995.30] 一靠思想機制能夠條件的這些東西
[00995.30-00998.86] 他後期會經過市場慢慢地去達到一個平衡狀態
[00998.86-01000.90] 也不需要去申请相当的资质
[01000.90-01002.18] 第三一个就是
[01002.18-01004.74] 企业组织或中间机会能够资率管理的
[01004.74-01007.62] 比如说是不是对于律师的所有的问题
[01007.62-01009.86] 都需要相应的反律去规翻呢
[01009.86-01011.98] 大际下我们有律师协会
[01011.98-01013.70] 对吧我们有注册快适协会
[01013.70-01015.94] 这个律师协会做冲快适协会
[01015.94-01016.78] 它可以
[01016.78-01018.38] 我们所说的发挥行律
[01018.38-01020.42] 自行业资率左右
[01020.42-01022.06] 这种的话我们说了
[01022.06-01023.70] 也可以不用设认计划
[01023.70-01026.50] 最后一个就是可以通过其他方式来解决的
[01026.50-01028.10] 可以通过其他方式解决的
[01028.10-01029.50] 你就通过其他方式解决
[01029.50-01031.14] 也不需要通过徐可来获得
[01031.14-01033.06] 所以这里面他就其实给我们规定了
[01033.06-01035.02] 就是说在形容徐可当中
[01035.02-01037.02] 他其实是有一定的事象
[01037.02-01038.34] 就是办法徐可
[01038.34-01039.86] 但并不是徐可是
[01039.86-01041.10] 在各方面都设立了
[01041.10-01042.42] 我们还是并成了什么
[01042.42-01045.06] 还是并成了市场效率的原则
[01045.06-01046.02] 所以在这里说了
[01046.02-01047.66] 可以自己搞定的也可以不需要
[01047.66-01048.74] 深情徐可
[01048.74-01050.18] 这个点就是不可以
[01050.18-01051.70] 设定徐可的事象
[01051.70-01054.18] 这个了解一下不做一个重点掌握
[01054.18-01055.82] 那么重点来看的一些
[01055.82-01057.74] 重点来看一下形容徐可
[01057.74-01059.28] 它到底是如何設立的
[01059.28-01061.32] 这里面就来涉及到第二个体
[01061.32-01064.40] 就是形正循環的设定全线
[01064.40-01066.16] 形正循環它的设定
[01066.16-01066.84] 我刚才说了
[01066.84-01070.28] 它只能创造一项并不存在的立法活动
[01070.28-01074.12] 说那些东西它可以涉及形正循環
[01074.12-01075.66] 在这里我们来看一下
[01075.66-01078.34] 我们的形正循環可以分成两种形式
[01078.34-01079.24] 大注意一下
[01080.00-01081.82] 在这里的形正循環可以分为
[01081.82-01082.82] 同样标注一下
[01082.82-01085.12] 第一种叫做精常性的循環
[01085.12-01087.70] 第二个就是非精常性的循環
[01087.70-01092.04] 经常性的许可 它指的是全国人那场有会国务院等等
[01092.04-01096.52] 就是像按照这样一个法律从级来进行设定的
[01096.52-01098.62] 这种叫做经常性的许可
[01098.62-01100.62] 那还有一种非经常性的许可
[01100.62-01102.12] 非经常性的许可做什么
[01102.12-01103.60] 铃石行许可
[01104.88-01106.38] 铃石行许可
[01107.10-01109.66] 这种就叫做非经常性的许可
[01109.66-01111.86] 我们先来看一下经常性的许可
[01111.86-01113.74] 它有哪些法律可设定
[01113.74-01115.04] 经常性的许可
[01115.04-01118.14] 这里面只需要借法律行政法规
[01118.14-01120.64] 以及地方行法规是可以设定了
[01120.64-01123.64] 这里面大要注意啊行政许可的设定
[01123.64-01127.04] 在经常行训统中有没有规征
[01127.04-01129.34] 有时刚才我们所提到的一系列
[01129.34-01131.84] 它有没有规征说可以设定许可
[01131.84-01132.74] 大注意啊
[01132.74-01134.54] 规征不可以设定许可
[01134.54-01136.14] 这个点就要和谁去分
[01136.14-01140.24] 这个地方就要和我们所说的行政处法来去分了
[01140.24-01142.64] 行政处法是可以设定一定的处
[01142.64-01145.04] 規章是可以設定定的處罰的
[01145.04-01147.44] 但是許可規章不能設定
[01147.44-01148.64] 因為這裡面大家注意一下
[01148.64-01150.64] 從行政處罰到行政區
[01150.64-01151.84] 到行政強制
[01151.84-01153.84] 它的時間是行政處罰罰
[01153.84-01154.84] 最先處罰
[01154.84-01156.44] 然後是行政區罰
[01156.44-01158.84] 然後是最後是行政強制罰
[01158.84-01162.04] 他們三個分別是按照時間的先有順利處罰的
[01162.04-01163.44] 所以越到後面
[01163.44-01167.24] 我們法律對於公權力的約束就會越遠隔
[01167.24-01170.24] 所以在進行相應的全線設定的時候
[01170.24-01172.04] 我們就會範圍越縮越小
[01172.04-01174.86] 我们前面再去讲到形容处网的时候我们说了
[01174.86-01177.16] 法律形容法规的地方性法规
[01177.16-01178.96] 以及规章可以设定处网
[01178.96-01181.00] 但是到了这形容处网这句话
