[00000.00-00004.00] 今天我們再來看一下第三個就是租栗核桶
[00439.52-00441.16] 只要是对它好像是都可以改
[00441.16-00443.04] 那如果是经常同意的话
[00443.04-00444.52] 那你这个时候是可以怎么样
[00444.52-00445.96] 你其实是可以天赋的
[00445.96-00447.52] 但如果人家没有同意
[00447.52-00448.52] 那这种情况之下
[00448.52-00450.96] 你给人家传上错错传上
[00450.96-00453.76] 你可人家这个杨材上算了两个洞
[00453.76-00455.44] 你可人人们上算了两个酷了
[00455.44-00457.64] 它可以要求你怎么样 恢复原状
[00457.64-00459.20] 如果没有把它给的恢复原状的话
[00459.20-00461.80] 你就可以配上它的经济損失
[00461.80-00463.80] 这是第一个原状 叫禁止天赋
[00463.80-00464.84] 它其实比较简单
[00464.84-00466.04] 哪一点是什么呢
[00466.04-00468.32] 哪一点的就是原则上
[00468.32-00469.52] 对于承诅人来说
[00469.52-00471.40] 它是禁止转租的
[00472.76-00474.52] 原则上对于承诅人来说
[00474.52-00476.36] 它是禁止转租的
[00476.36-00479.72] 但是由我们所说的原则就有例外
[00479.72-00480.40] 例外是什么呢
[00480.40-00483.36] 就是如果这个房子或者是你的租利物
[00483.36-00484.76] 到期了还没有到期之后
[00484.76-00486.12] 相比的转租出去
[00486.12-00488.00] 出租人如果同意的话
[00488.00-00489.48] 你是可以转租的
[00489.48-00490.04] 明白吧
[00490.04-00491.76] 所以你在转租这个地方
[00491.76-00493.20] 就出现了一个细节的考虑
[00493.20-00495.48] 同样表达这个细小蕾之后
[00495.48-00497.36] 把转租去的话出来
[00497.36-00498.32] 我们在转租
[00498.32-00500.12] 它可能会存在两种情况
[00500.12-00501.12] 同样注意一下
[00501.12-00502.92] 转租包括两种情况
[00502.92-00505.12] 第一种叫做合法转租
[00506.56-00507.60] 合法转租
[00507.60-00509.84] 合法转租就是你已经取得了什么
[00509.84-00510.88] 出任人的同意
[00510.88-00513.24] 另外一种就是非法转租
[00516.12-00517.28] 非法转租就是什么
[00517.28-00518.80] 你没有经常人家的同意
[00518.80-00520.48] 甚至转租了
[00520.48-00521.48] 所以在这里面
[00521.48-00522.20] 大家注意一下
[00522.20-00524.48] 考试的时候就特别喜欢考什么的
[00524.48-00525.68] 就特别喜欢考
[00525.68-00528.12] 合法转租和非法转租
[00528.12-00529.76] 它的一个销里问题
[00531.32-00533.28] 合法转租和非法转租
[00533.28-00534.88] 它的一个法律后果的问题
[00534.88-00536.84] 这里面我们就要分开
[00536.84-00537.84] 去说一说
[00537.84-00538.84] 分开去说一说
[00538.84-00541.40] 首先看一下第一个核法转租
[00541.40-00544.12] 核法转租的经过初温同意进行的转租
[00544.12-00546.20] 它可能会产生什么样的法律效果呢
[00546.20-00548.12] 我把核法转租的法律效果
[00548.12-00550.08] 现在这里因为我们这个
[00550.08-00552.44] 框框这个PVD有点小
[00552.44-00554.44] 首先第一个就是核法转租
[00554.44-00557.88] 核法转租它产生的法律效果有两个方面
[00557.88-00562.56] 第一个方面就是原租令关系或者是原租令核桟有效
[00564.28-00566.20] 你先写咱们再写了一样
[00566.20-00568.12] 就是原租令核桟
[00568.84-00576.52] 有效,这是第一个法律关系,第二个法律关系是什么的,这是它可能在合法转的当中出现了超期转租
[00576.52-00578.76] 如果是超期转租的话
[00580.04-00584.96] 南方明确,超期转租的话,这种时候我们所说的超过部分
[00586.52-00588.24] 超过部分
[00589.52-00591.04] 5月数例
[00593.76-00595.40] 超过部分5月数例
[00595.40-00598.24] 这个就是我们所说的合法转租
[00598.24-00602.40] 咱们先来看一下 如果是合法转租 什么叫原租令和同永笑
[00602.40-00605.20] 原租令关系或者是原租令和同继续有效
[00605.20-00606.28] 它会设议到一个问题
[00606.28-00608.88] 就是我们所提到的如果这个时候
[00608.88-00612.12] 转租人 它把这个房子或者租了又给我给整坏了
[00612.12-00613.80] 这个时候找谁陪了问题
[00613.80-00617.36] 我们来来换一个土 假设 举个简单的例子
[00617.36-00620.64] 现在有这么一个情况 就是我们所说的这个
[00620.64-00621.92] 谁呢
[00621.92-00623.32] 新闻富贵吧
[00623.32-00625.32] 一听这个名字就1000
[00625.32-00628.52] 现在副贵他有一个大号子
[00628.52-00631.28] 每天在自己家五万平的房子里面醒来
[00631.28-00632.72] 然后身边全都是钱
[00632.72-00634.08] 对吧,这种生活什么时候是个头
[00634.08-00635.24] 居然了真的就行了
[00635.24-00637.60] 所以他就有一个大房子五万平
[00637.60-00639.20] 但五万平他自己住的时候
[00639.20-00640.88] 他又觉得有点太空泡了
[00640.88-00645.08] 于是他把他自己房子当中的其中的一间
[00645.08-00647.52] 或者是他就把直接把这个五万的
[00647.52-00649.76] 这么大的这个品种房子
[00649.76-00651.12] 就对外出租
[00651.12-00652.04] 租给了谁呢
[00652.04-00654.04] 假设他租给了王大崔
[00655.32-00657.84] 大垂中就是没有人家副会有钱
[00657.84-00660.56] 所以他就把这个房子出租给王大垂
[00660.56-00662.12] 出租给王大垂之后
[00662.12-00663.96] 然后向他收取租金
[00663.96-00666.16] 租金多少钱是假设吧
[00666.16-00668.80] 这么大的房子就是两万块钱一个月
[00668.80-00670.28] 这是他出租给了王大垂
[00670.28-00674.52] 然后租七十段时间租七十一年
[00674.52-00676.52] 所以在这里面查成了第一个关心
[00676.52-00677.04] 什么关系
[00677.04-00677.96] 同们注意一下
[00677.96-00680.76] 在这里面西门副会和王大垂之间
[00680.76-00682.96] 幻子顺顺
[00682.96-00684.76] 新闻富贵和王大崔之间
[00684.76-00687.36] 他们两个就是房屋租列和桶
[00687.36-00688.56] 租七十一年
[00688.56-00691.96] 但是在这里面当王大崔租到第十个月的时候
[00691.96-00693.96] 他就觉得这个房子实还是太大了
[00693.96-00696.96] 自己做他也觉得没有什么热曲
[00696.96-00698.96] 大崔也不是缺钱的人
[00698.96-00700.76] 他本来就想找一个体验一下
[00700.76-00702.56] 结果发生这个房子比自己家的更大
[00702.56-00704.36] 热崔觉得这样租的没有热曲
[00704.36-00707.16] 于是王大崔他就把这个房子怎么样
[00707.16-00708.96] 想要转租出去
[00708.96-00711.68] 然后他在转租的过程当转他就问了一下信仆副贵
[00711.68-00713.76] 他说副贵是这样算这房子太大了
[00713.76-00714.76] 比我家的还大
[00714.76-00715.16] 对吧
[00715.16-00717.00] 我这本来想出来找个小房子
[00717.00-00717.48] 房子太大了
[00717.48-00718.40] 我住下去了
[00718.40-00720.56] 他说还算两个月这个房子到期
[00720.56-00721.64] 我是这两个月呢
[00721.64-00723.44] 我把他租给别人体验一下吧
[00723.44-00725.68] 我有一个特别好的这个朋友
[00725.68-00727.68] 说王大吹有个特别好的朋友是谁呢
[00727.68-00730.48] 他说他有一个特别好的朋友这个朋友就是小妹
[00730.48-00732.60] 他说我喜欢小妹很多年了
[00732.60-00734.60] 小妹也没有租过这么大的房子
[00734.60-00736.60] 我把这个房子转租给小妹
[00736.60-00737.76] 让他体验一下吧
[00737.76-00740.44] 然后新闻富贵说行 咱俩都不是差钱的人
[00740.44-00741.80] 你想做给谁就做给谁了
[00741.80-00745.72] 于是王大崔就把这个房屋租给了小贝
[00745.72-00746.72] 租金多少钱呢
[00746.72-00748.84] 租金两千块钱一个月
[00750.12-00752.36] 你管他对吧 他人钱多认性
[00752.36-00755.64] 反而就两千块钱一个月把这个房子租给了小贝
[00755.64-00757.20] 这个时候大家注意啊
[00757.20-00759.08] 王大崔对外出租房子的时候
[00759.08-00760.80] 是不是经过了新闻富贵的同业
[00760.80-00762.40] 经过了富贵的同业
[00762.40-00763.60] 他就属于什么转租
[00763.60-00765.12] 他就属于合法转租
[00765.12-00768.20] 那合法轉租在這個時候就出現了三方人
[00768.20-00769.80] 那三方人大住一下
[00769.80-00772.24] 第一方就是我們所說的新聞副過
[00772.24-00774.48] 新聞副過就是原本房子的主人
[00774.48-00776.12] 他就是出租人
[00777.28-00779.12] 然後大吹租了他的房子
[00779.12-00780.04] 大吹就是什麼
[00780.04-00782.04] 大吹就是成租人
[00782.36-00785.64] 而大吹又把這個房子租給了小妹
[00785.64-00787.80] 小妹是轉租之後的人
[00787.80-00789.76] 他就叫做四成租人
[00789.76-00791.16] 我簡單寫次成了
[00791.16-00792.96] 他就是四成租人
[00792.96-00794.96] 那现在出现了一个什么情况呢
[00794.96-00796.96] 这小美在用这个房子的时候
[00796.96-00797.96] 因为太大了
[00797.96-00799.96] 他就觉得这个房子这么大根本就不是人住的
[00799.96-00800.96] 他说我要把这个房子形改造
[00800.96-00803.96] 于是把这个房子其他所有多余的房间
[00803.96-00804.96] 全都给杂了
[00804.96-00805.96] 杂了之后呢
[00805.96-00807.96] 把这个房子打通了
[00807.96-00808.96] 打通了之后
[00808.96-00810.96] 他说在这个地方搞起来自己的场子
[00810.96-00813.96] 然后养了鸡鸡鸡鸡鸡鸡鸡鸡
[00813.96-00816.96] 然后在这个时候还把那些多余的地方
[00816.96-00817.96] 拆掉了开很出来了地
[00817.96-00819.96] 反正就是在这两个月当中
[00819.96-00821.96] 把这个地方改造成了一个农场
[00821.96-00823.50] 加一个加工厂
[00823.50-00825.80] 反正就最后给自己留了一个大概
[00825.80-00827.34] 七八十平的一个地方睡觉
[00827.34-00828.88] 反正你别管他怎么改造的
[00828.88-00831.18] 反正他就是在这里把房子改造完了
[00831.18-00832.72] 房子改造完了之后呢
[00832.72-00834.00] 这个时候出现了一个问题
[00834.00-00834.76] 什么问题呢
[00834.76-00839.36] 这个小美他在租令期当中是不是对于这个租令物
[00839.36-00841.16] 造成了租令物的回锁灭时
[00841.16-00843.20] 就换句话说他说把人房子给人杂了
[00843.20-00845.26] 这个时候问题就来了
[00845.26-00848.32] 新闻富贵在这个河通还没有到期的时候
[00848.32-00851.14] 突然就想挨我还这个房子里面还会有东西美旗
[00851.14-00852.42] 他回去去冬血
[00852.42-00853.44] 結果發現無言
[00853.44-00855.12] 一回去之後發現自己的家
[00855.12-00856.70] 不再次從前的那個家
[00856.70-00856.98] 對吧
[00856.98-00858.36] 以前那5萬平的大約束
[00858.36-00859.90] 現在變成了開心冬場
[00859.90-00861.06] 所以在這裡面
[00861.06-00861.96] 這個新聞覆貴
[00861.96-00863.04] 整個人都盟掉了
[00863.04-00864.96] 他就想要賠償
[00864.96-00866.66] 但問題住在於這個賠償
[00866.66-00868.26] 他找誰要
[00869.06-00870.00] 比較合理
[00870.00-00870.86] 我們來想一下
[00870.86-00872.66] 他的賠償早時要不要合理
[00872.66-00875.06] 那這個時候他就可以選擇
[00875.06-00876.36] 他可以選擇誰呢
[00876.36-00878.38] 他可以選擇找王大崔
[00878.38-00879.94] 他也可以選擇找小妹
[00879.94-00880.86] 那我們來看一下
[00880.86-00882.50] 他走大水和消灭怎么找呢
[00882.50-00883.92] 首先第一个大家注意一下
[00883.92-00886.86] 新门富贵和王大水之间有没有族令核头
[00886.86-00888.30] 有族令核头
[00888.30-00890.14] 既然他有族令核头的话
[00890.14-00891.22] 这种情况之下
[00891.22-00891.98] 你看
[00891.98-00894.18] 这个时候他属于核法转租
[00894.18-00896.10] 核法转租经过新门富贵的同意
[00896.10-00897.78] 他说大水你把房子转出去吧
[00897.78-00898.78] 于是在这里面
[00898.78-00902.94] 新门富贵和王大水之间原本有一个有效的族令核头
[00902.94-00904.42] 而且用是核法转租
[00904.42-00906.78] 所以在这里他说了原族令核头怎么样
[00906.78-00909.02] 原族令核头有效
[00909.02-00910.62] 那原租内河通有效
[00910.62-00912.74] 它还能够继续于约束
[00912.74-00914.34] 西文富贵和王大垂
[00914.34-00917.34] 原租内河通是富贵和大垂之间的河通
[00917.34-00917.98] 没办法
[00917.98-00919.50] 所以原租内河通有效
[00919.50-00920.50] 这个时候
[00920.50-00922.26] 王大垂在进转租的时候
[00922.26-00924.06] 它就必须保证小美
[00924.06-00925.38] 不应该破坏人家的家
[00925.38-00926.66] 就小人不小美把人家
[00926.66-00927.34] 给人杂了
[00927.34-00928.86] 搞了一个开心农场出来
[00928.86-00929.74] 所以在这里面
[00929.74-00930.38] 大家注意一下
[00930.38-00931.42] 第一个
[00931.42-00934.10] 既然原河通有效
[00934.10-00935.38] 我简直醒了
[00935.38-00937.42] 既然原河通有效
[00937.42-00939.82] 这个时候基于合同的相对性远力
[00939.82-00941.34] 大垂数约怎么样
[00941.34-00942.54] 数约伪约了
[00942.54-00946.94] 所以这个时候它就可以请求大垂成的伪约责任
[00949.98-00950.50] 对吧
[00950.50-00951.90] 因为原租内合同有效
[00951.90-00953.90] 就是大垂合覆过的之间的租内合同
[00953.90-00954.74] 还是有效的
[00954.74-00955.74] 合发转租
[00955.74-00958.94] 所以在这里面它就可以请求大垂成的相当的
[00958.94-00959.94] 伪约责任
[00959.94-00963.34] 它就可以成的那张大垂成的相当的伪约责任
[00963.34-00964.78] 只是在这只是第一个
[00964.78-00968.50] 那第二个呢就是大纯他既然是维约了
[00968.50-00970.22] 他除了可以承担维责任之外
[00970.22-00972.22] 马某还可以要求大纯怎么样
[00972.22-00976.62] 马某还可以要求大纯把他的房子恢复原状
[00979.50-00981.90] 我原本租给你的说可不是一个开心农场
[00981.90-00983.50] 我是五万平的大号子
[00983.50-00985.38] 你现在给我改成开心农场了
[00985.38-00986.86] 咱俩直接还有原合头
[00986.86-00991.22] 这就是可以让王大纯把他的房子恢复原状
[00991.22-00993.22] 这是第一种情况 大家要注意一下
[00993.22-00996.70] 在这里面我们说的是富贵和大水之间
[00996.70-00999.58] 因为他们之间有什么有一个租利合同
[00999.58-01001.18] 但在这里面我们来看一下
[01001.18-01002.74] 如果肉过大水的话
[01002.74-01004.94] 富贵能直接去找小美呢
[01004.94-01005.90] 大家注意一下
[01005.90-01007.26] 如果肉过大水的话
[01007.26-01009.18] 富贵也可以直接去找小贵
[01009.18-01009.82] 为什么呢
[01009.82-01010.54] 大注意
[01010.54-01012.42] 因为毕竟房子是谁的
[01012.42-01014.78] 毕竟房子是富贵的
[01014.78-01017.86] 所以在这时候小美把人家的房子也人杂坏了
[01017.86-01020.18] 那这个时候小美对富贵够成了什么
[01020.18-01022.58] 小们对小们小们小们
[01022.58-01025.10] 小美对付贡过程了亲权
[01025.10-01030.14] 所以这个时候它可以要求小美承担亲权责任对不对
[01030.14-01032.22] 第二个就是它可以要求小美
[01032.22-01033.62] 因为这个房子并是它的
[01033.62-01035.06] 开吴上请求权
[01035.06-01038.42] 所以它可以要求小美把房子恢复原装
[01040.18-01041.14] 恢复原装
[01041.14-01041.90] 大家注意一下
[01041.90-01044.34] 这是可以直接跳过大腿去找小美的
[01044.34-01045.54] 只问在这里面
[01045.54-01047.30] 他们两个的形权方式不一样
[01047.30-01050.22] 对于大腿和付贡之间的这个委约责任
[01050.22-01051.62] 是来自于合同
[01051.62-01054.62] 而我们所说的西门富购小美这件事来自于亲选
[01054.62-01057.98] 但是无论是哪一个西门富购都是房子的所有权人
[01057.98-01059.94] 所以他一定想有巫上请求权
[01059.94-01064.70] 那如果有巫上请求权的话就可以让大蜣或者小美把他的房子怎么办
[01064.70-01066.70] 把他的房子恢复原状
[01066.70-01068.78] 对吧所以咱们分析法律关系的时候
[01068.78-01071.70] 同时怎么去分析一层一层的去分析
[01071.70-01074.90] 先分析大蜣和富购
[01074.90-01076.86] 再分析富购和小美
[01076.86-01078.26] 你看这都是两层分析了
[01078.26-01079.82] 但这里面咱们还有一层没有分析
[01079.82-01080.94] 是谁有谁没有分析
[01080.94-01083.54] 这里面是不是还睡到大垂核小美的故事
[01083.54-01085.70] 大垂核小美之间有一个什么
[01085.70-01088.14] 有一个租栗核桶
[01088.94-01090.06] 我用律斯了
[01090.06-01093.34] 是大垂核小美之间还有一个租栗核桶
[01093.34-01095.86] 这个租栗核桶就是两千块钱一个月
[01095.86-01097.58] 把这个房子租给它
[01097.58-01101.46] 那这个时候小美是不是有正确使用该房屋的意误
[01101.46-01103.02] 但是它把人家房子给人杂的
[01103.02-01103.78] 人杂了
[01103.78-01106.30] 所以在这个时候他们之间还有一个什么责任
[01106.30-01109.10] 还有一个基于核桶的委约责任
[01110.94-01113.02] 還有一個基於合同的委員總任
[01113.02-01114.58] 所以在這裡面大家注意一下
[01114.58-01117.38] 一共是三度關係
[01117.38-01119.58] 三個我們所說的什麼
[01119.58-01122.14] 三個我們所提到的這個叫做
[01122.14-01124.30] 維權的方式所以大家注意一下
[01124.30-01126.50] 你把這個案例給它搞清楚
[01126.50-01128.62] 那這是我們所說的有關於
[01128.62-01130.66] 第一個叫叫原租令和通有效
