[00000.00-00002.82] 好的 小伙伴们讲完了
[00002.82-00004.34] 新思想的总认之后
[00094.24-00096.02] 这一节的内容
[00096.02-00097.82] 它在去考试的时候大家注意一下
[00097.82-00100.28] 它是在整个微体考试当中
[00100.28-00102.42] 比较长线的考察的一个重点
[00102.68-00104.72] 在整个考察上大家要明确
[00104.98-00108.82] 我们不仅在实现经济高制发展当中去考实机型的题目
[00108.82-00110.62] 比如说考一些相应的
[00110.62-00113.30] 名詞考一些對應
[00113.30-00117.02] 比如說經濟高質量發展它的一個地位
[00117.02-00119.06] 或者是我們所說的發展的一個地位
[00119.06-00121.26] 像這種大家要能夠去明確
[00121.26-00122.70] 第二一個就是在實際當中
[00122.70-00124.70] 不僅去考一些細節上的對應
[00124.70-00127.50] 還會考一些我們所提到的基本框架
[00127.50-00129.58] 基本框架當年說其實考過的
[00129.58-00130.58] 比如說它問你
[00130.58-00136.38] 說以下屬於實現經濟高質量發展的主要措施的事
[00136.38-00137.58] 那這種情況之下
[00137.58-00138.94] 你也要能夠去選出來
[00138.94-00142.78] 像这样的内容,必须要有一个明确的光价作为大剑
[00143.04-00146.10] 由于我们现在要给大家去讲的是新思想的光价
[00146.36-00149.94] 我们没有办法在这个有限的时间当中去把它
[00150.20-00152.50] 连通20大1分圈圈就给它讲解出来
[00152.64-00156.60] 但是涉及到20大的正要的一些点,我会在这里给大家去点出来
[00156.86-00163.00] 我们学习需要有一个兴趣间谍的过程,我们在这把整个新思想的基本框价大剑之后
[00163.26-00167.86] 我们在把它千亿到20大当中去学习的时候,能发现会轻松很多
[00167.86-00171.58] 所以在这呢,他可能会考到经济高章发展的基本框架
[00171.58-00173.86] 除了我刚才说的主要措施考过
[00173.86-00176.50] 他相应对应的多眼体之外呢,他还考过
[00176.50-00180.46] 以下,哪一项不属于我们国家的基本经济制度
[00180.46-00181.94] 我们前面给大家讲过
[00181.94-00183.70] 说基本经济制度太有几种
[00183.70-00185.78] 基本经济制度太有三个
[00185.78-00187.86] 我们国家基本经济制度有且只有三个
[00187.86-00189.66] 那你看这也是在考什么
[00189.66-00192.18] 这也是在考察我们所说的框架
[00192.18-00194.78] 所以如果就单纯就实惊醒
[00194.78-00197.58] 被送的题目,挖控考察的这种来看的话
[00197.58-00199.86] 大部分就是要么考一个对应
[00199.86-00201.92] 把这个控码出来能够给他选出来
[00201.92-00203.86] 要么就是考一个框架
[00203.86-00205.98] 这是在实际的角度来考察
[00205.98-00208.42] 但是目前这几年在国生考当中
[00208.42-00210.84] 已经在部分地区的事业单位考试当中
[00210.84-00213.86] 针对于实现经济高制发展这个模块
[00213.86-00216.94] 他往往也会考察一些理解形的题目
[00216.94-00220.58] 这种理解形的题目就不是单一的对应考察了
[00220.58-00222.22] 直接挖一个扣
[00222.22-00224.92] 然后原本是什么就考我们什么
[00224.92-00227.80] 那不会是像我们所说的这种原文考察了
[00227.80-00230.56] 而是会考一些综合理解性的题目
[00230.56-00232.68] 那这些综合理解性的题目呢
[00232.68-00239.24] 它可能是出自于有关于国家领导人对于经济高制量发展各种各样的指示
[00239.24-00241.08] 它会把它会总到一块
[00241.08-00241.92] 那这样的话呢
[00241.92-00243.88] 它就会出一个理解性的题目
[00243.88-00245.52] 比如说它出过一道题
[00245.52-00249.72] 所以一下有关于高制量发展说法正确或者是错误的事
[00249.72-00250.84] 给了你五个圈
[00250.84-00251.48] 然后问
[00251.48-00253.72] 这五个圈中正确的有几项
[00253.72-00255.96] 或是这五圈中错误的有几项
[00255.96-00257.40] 从本身上来看的话
[00257.40-00259.00] 他给到这些圈的内容
[00259.00-00261.32] 其实全部来自于不同的文件
[00261.32-00262.96] 有一些文件甚至是我们在考试
[00262.96-00264.60] 当中都不太常见的
[00264.60-00266.76] 他可能是领导人的某一句讲话
[00266.76-00268.28] 这样的话有很多同一句梦了
[00268.28-00269.00] 说老师
[00269.00-00270.12] 那简直了
[00270.12-00270.36] 对吧
[00270.36-00272.44] 实际上的内容就像神仙点击一样
[00272.44-00273.48] 后如烟海
[00273.48-00275.16] 我根本都不知道从哪里下手
[00275.16-00277.56] 那如果是遇到这种综合理解性的
[00277.56-00278.60] 这种选择体
[00278.60-00279.64] 我没该怎么办呢
[00279.64-00280.44] 那没有办法
[00280.44-00283.00] 我们要把高质量发展
[00283.00-00284.80] 就是在整个经济这一模块
[00284.80-00286.28] 它的核心的思想
[00286.28-00287.28] 去给它把握住
[00287.28-00289.72] 你只要把这个核心思想这个把握住之后
[00289.72-00291.88] 你再去掌握这个部分的内容
[00291.88-00292.84] 你就不会觉得说
[00292.84-00294.84] 爱老师靠像是搞的
[00294.84-00295.84] 亂起八糟的
[00295.84-00297.76] 我好像是不能够透车的去理解它
[00297.76-00299.40] 就不会出现这样的问题了
[00299.40-00301.16] 所以在这里面同学们要特重
[00301.16-00302.84] 在实验经济高质量发展当中
[00302.84-00304.88] 不要经历地说背下来
[00304.88-00306.48] 说高质量发展它的地位
[00306.48-00307.40] 我们要做的的是
[00307.40-00309.24] 这期然高之气所以人
[00309.24-00312.44] 你充分理解了什么是实现经济告知的发展
[00312.44-00314.12] 很多内容它就怎么样呢
[00314.12-00315.28] 它就灌通了
[00315.28-00318.72] 咱们来看一下有关于实现经济告知的发展的内容
[00318.72-00321.16] 那么说了第一节届要讲经济建设
[00321.16-00323.80] 我们就知道我们现在的国家的经济发展
[00323.80-00325.64] 它不单单只是强调速度
[00325.64-00327.04] 它更加强调什么
[00327.04-00329.08] 治量于是就提到了一个命体
[00329.08-00330.68] 就叫做高制量发展
[00330.68-00332.80] 我们在实现经济告知的发展当中
[00332.80-00335.16] 给大家讲三个方面的内容
[00335.16-00336.44] 第一个方面呢
[00336.44-00338.16] 我们要在这里去明确
[00338.16-00342.36] 實現經濟高質量發展到底什麼就做高質量發展
[00342.36-00344.96] 高質量發展它的地位是什麼
[00344.96-00346.66] 在這裡面我們要了解一下
[00346.66-00349.36] 高質量發展蓋數這是第一個點
[00349.36-00351.56] 第二個點就是在這裏要明確
[00351.56-00353.56] 那要實現經濟高質量發展
[00353.56-00355.56] 你毕竟還是要本質上回歸到什麼
[00355.56-00356.46] 發展上
[00356.46-00359.76] 那你發展就必須要資訊經濟發展的規則
[00359.76-00362.56] 我們國家經濟發展的制度規則是什麼呢
[00362.56-00364.86] 就是社會主義基本經濟制度
[00364.86-00367.92] 也就是你要搞发展你要讻懂游戏规则
[00367.92-00368.96] 你才能搞得明白
[00368.96-00369.22] 对吧
[00369.22-00371.12] 所以在这里他提到的第二个点
[00371.12-00372.80] 就是了解我们国家的制度
[00372.80-00375.26] 如何在制度運行之下去实现发展
[00375.26-00378.56] 那有了框架有了制度的约束
[00378.56-00380.22] 接下来如何一步一步
[00380.22-00382.12] 达到今天经济发展的目标
[00382.12-00383.28] 我们会跟大家去讲一讲
[00383.28-00386.16] 实现经济高责发展的一些措施
[00386.16-00389.18] 所以在这里面我们主要是从这三个角度
[00389.18-00390.62] 来大家去经济讲解
[00390.62-00392.40] 那么首先先来看一下第一个
[00392.40-00395.66] 就是实现经济高质发展它的一个概束
[00395.66-00397.16] 那首先我们先来看一下
[00397.16-00399.66] 在最新的实正正错门监当中
[00399.66-00401.06] 有着在二十大当中
[00401.06-00403.68] 它如何去定义高质发展继续地位的
[00403.68-00405.34] 来看一下书上所提到的
[00405.34-00407.52] 它说党的二十大报告指出
[00407.52-00410.16] 说高质量发展是全面建设
[00410.16-00412.32] 数据一线的话国家的少认误
[00412.32-00415.18] 发展是党之政新国的第一幽物
[00415.18-00416.34] 那你看在这里面
[00416.34-00419.68] 这个点很明显就是一个两星级的实际型的点
[00419.68-00421.68] 我们要在这里面首先同时先去画
[00421.68-00422.48] 先明去
[00422.48-00424.16] 先把高质发展画出来
[00424.16-00426.40] 说高质发展它的地位是什么
[00426.40-00427.68] 说是建设画
[00427.68-00429.92] 现代画国家的手肉
[00429.92-00432.56] 大家再去学20大报告的时候你会发现
[00433.12-00438.32] 在20大报告展望国家未来发展的这样一个整个大的这个板块里面
[00438.32-00441.44] 放在第一位的就是经济发展
[00441.44-00443.12] 就是高质量发展
[00443.12-00444.00] 所以他说了
[00444.00-00446.72] 高质量发展是现代画国家建设的什么任务
[00446.72-00447.68] 手要任务
[00447.68-00449.48] 有时你想实现美大夫型
[00449.48-00450.76] 你想实现中国梦
[00450.76-00452.28] 你想让人民过得更幸福
[00452.28-00452.80] 换的话说
[00452.80-00454.24] 底层的逻辑就是什么
[00454.24-00455.24] 仅认计嘛
[00455.24-00456.40] 所以在这里他说了
[00456.40-00458.08] 实现高质量发展是
[00458.08-00460.80] 现代化国家建设多
[00460.80-00462.92] 首要任务是放在地位的
[00462.92-00466.32] 但是无论是高质量发展还是高速发展
[00466.32-00467.08] 大家注意一下
[00467.08-00469.64] 我们回归到本质上都是在提什么
[00469.64-00470.96] 都是在提发展
[00470.96-00473.80] 所以发展是当职政新国的第一要务
[00473.80-00474.36] 这个点
[00474.36-00476.08] 我们在前面其实给大家讲过
[00476.08-00478.08] 因为我们说了不同的领导人
[00478.08-00481.48] 他对于发展这样的一个观念怎么样
[00481.48-00484.08] 他的这样的一个论数是不同的
[00484.08-00485.80] 所以我们在前面去给大家讲过
[00485.80-00488.20] 发展是当直正经过的第一要误是
[00488.20-00490.36] 在谁的理论当中提出来的
[00490.36-00492.16] 是在三个代表的这样的一个照片
[00492.16-00493.32] 是要当中提出来的
[00493.32-00493.68] 对吧
[00493.68-00496.08] 所以同时先把这两个点去的画出来
[00496.08-00498.08] 接下来我们要做的就是把
[00498.08-00501.80] 有关于发展的这样的一个关键的一个命题
[00501.80-00503.32] 我们来去给它吃透
[00503.32-00504.80] 让我们知道高章发展
[00504.80-00505.96] 到底要讲一些什么
[00505.96-00509.96] 那么首先回歸到我们所说的国家的发展建设上来
[00509.96-00511.24] 咱们在最开始的时候
[00511.24-00512.24] 同时来回一下
[00512.24-00513.24] 我们再去讲
[00513.24-00515.40] 动卡平领论的时候咱们提到了
[00515.40-00517.60] 说到平领论当中解决了一个问题
[00517.60-00520.40] 就是回歸到了说到底什么是社会主义
[00520.40-00522.76] 怎样建设社会主义的这样一个命题
[00522.76-00523.76] 大家应该还知道吧
[00523.76-00525.48] 那我说了在到平领论当中
[00525.48-00527.60] 到平提出了什么是社会主义
[00527.60-00530.04] 他就要回答社会主义到底什么样
[00530.04-00532.16] 于是到底什么是社会主义
[00532.16-00536.12] 在到平的社会主义本质论当中有产数
[00536.12-00537.80] 从那个时候开始我们就明确了
[00537.80-00539.84] 社会主义不单单只是在模式上
[00539.84-00542.24] 像马斯所说的实现蠢色的购物质
[00542.24-00545.44] 各在实质和工农上去实现经济的发展
[00545.44-00546.80] 所以那个时候到平说了
[00546.80-00550.64] 说社会主义的本质是解放生产力发展生产力
[00550.64-00552.80] 消灭过学修出两几分化
[00552.80-00553.84] 最终实现什么
[00553.84-00555.60] 最终实现共同富裕
[00555.60-00557.36] 所以从那个时候我们就知道
[00557.36-00560.32] 实现经济发展或者是解放和发展什么
[00560.32-00566.20] 解放和发展生产力就成了我们国家的什么
[00566.20-00569.80] 或者是成了我们国家的交作根本任务
[00569.80-00571.44] 也就是在本质上
[00571.44-00574.52] 这个国家无论怎么搞安装马斯所提到的
[00574.52-00576.28] 最为根源的力量一定在哪
[00576.28-00577.32] 一定在生产力上
[00577.32-00579.28] 所以我们内容就提到了交作
[00579.28-00581.00] 解放和发展什么问题
[00581.00-00582.60] 解放和发展生产力
[00582.60-00586.36] 所以内容时候就有关于发展的一系列的概数
[00586.36-00589.12] 所以从内容时候我们就知道发展很重要
[00589.12-00592.40] 所以我们在这个我们把它延伸出来
[00592.40-00593.88] 你找一个地方给它标注一下
[00593.88-00595.92] 我们从那个时候就知道发展很重要
[00595.92-00597.88] 无论是从马斯的理论来看
[00597.88-00599.96] 还到平最后去解读的
[00599.96-00602.16] 它所形成的自己的到平理论来看
[00602.16-00603.72] 发展都是最重要的
[00603.72-00605.04] 你发展不起来
[00605.04-00606.96] 天天说这个好难好的没用
[00606.96-00607.36] 对吧
[00607.36-00608.64] 所以在这个时候我们就知道
[00608.64-00610.00] 发展是更为根源的
[00610.00-00611.60] 所以说了解放发展生产力
[00611.60-00613.64] 它是根本任务
[00613.64-00615.96] 从那个时候发展间这么重要
[00615.96-00620.68] 那不同时期的领导人就对于发展有了什么不同的论数比如说
[00620.68-00624.92] 在到平理论时期我们提到了叫做发展式应道理
[00627.96-00629.76] 叫做发展式应道理
[00629.76-00633.72] 这个点咱们之前是说过的啊在这不再说了来考考同学们
[00633.72-00636.60] 那在三个代表这要时期我们认为发展是什么
[00636.92-00640.40] 刚刚说完嘛就是书上的这个叫发展是
[00640.40-00643.60] 党执政新国的第一要物
[00645.96-00649.60] 发展是党执政新国的第1.5
[00649.60-00651.34] 在往下来看一下
[00651.34-00653.78] 除了在三个代表实际提到了发展
[00653.78-00655.44] 在科学发展关时期
[00655.44-00656.60] 有没有提到发展
[00656.60-00657.48] 也提到了
[00657.48-00658.84] 在科学发展关时期
[00658.84-00660.88] 我们就提到了发展是什么
[00660.88-00662.48] 发展不是第一要物了
[00662.48-00664.72] 发展是第一
[00664.72-00665.92] 有意
[00668.32-00669.04] 对吧
[00669.04-00671.36] 在我们现任国家领导人时期
[00671.36-00673.44] 也认识在新思想时期
[00673.44-00674.60] 同一们来看一下
[00674.60-00684.32] 在现任国家领导人这个事情我们提到的发展的地位在逐步的潘声叫做发展是解决国家一切问题的基础和关键
[00691.12-00693.68] 发展是解决国家一切问题的基础和关键
[00693.68-00699.44] 所以在这我们就把发展它的地位在不同领导人时期是不是就做了一个界定
[00699.44-00700.72] 我前面给大家说了
[00700.72-00702.00] 这个地方考一个啥
[00702.00-00703.12] 考一个对应
[00703.12-00706.36] 你要知道在不同时期它的发展是如何去定位的
[00706.36-00707.88] 这个点必须要明确
[00707.88-00709.68] 所以咱们前面讲过我在这
[00709.68-00711.48] 不给大家做过多的最书了
[00711.48-00713.40] 我们回归到发展来看
[00713.40-00716.40] 这是在不同国家领导人时期
[00716.40-00719.40] 它无论走到的发展都是这个国家发展
[00719.40-00720.24] 最维重要的
[00720.24-00722.56] 这是不是又回口到了我们前面所说的
[00722.56-00725.24] 社会主义的根本任务是解放和发展什么
[00725.24-00726.08] 生产力
[00726.08-00728.64] 所以大家都在一直强调是发展的作用
[00728.64-00730.64] 但是问题就在于通论会发现
[00730.64-00732.64] 在以前我们在提到发展的时候
[00732.64-00734.80] 我们更多提到的是经济发展的什么
[00734.80-00735.68] 速度
[00735.68-00736.88] 而在这几年的时候
[00736.88-00739.28] 我们更加强调的是经济发展的质量
[00739.28-00740.84] 你说老实这是咋看出来的
[00740.84-00742.04] 我以为大家几个例子
[00742.04-00743.64] 到屏那个时期
[00743.64-00744.84] 就是它的发展
[00744.84-00745.44] 非常明显
[00745.44-00747.80] 就是它解决了我们所说的温暴问题
[00747.80-00750.12] 经济发展的总体的这样的数值
[00750.12-00751.44] 有了一个很大的提升
[00751.44-00753.16] 当然在到屏去世之后
[00753.16-00754.56] 这样的一个发展的重任
[00754.56-00756.12] 就落到了我们所说的
[00756.12-00757.92] 江澤民统知了这样的一个头上
[00757.92-00759.72] 于是就提到的科学发展官
[00759.72-00762.52] 在三个代表知道实际以及科学发展官实际
[00762.52-00764.84] 国家的经济发展速度非常快
[00764.84-00766.04] 有多快呢
[00766.04-00771.00] 国家经济中所一度曾经达到10%的经济
[00771.00-00772.84] 有时达到了两位数的增数
[00772.84-00774.44] 同时不要小才这两位数
[00774.44-00777.72] 当前在世界经济发展的进程当中
[00777.72-00781.12] 没有任何一个国家的经济增速能达到两位数
[00781.12-00783.32] 所以当中国的经济发展速度开始
[00783.32-00786.08] 变快的时候其他的国家开始对中国
[00786.08-00788.32] 胡志弹单态去给中国破脏水了
[00788.32-00790.04] 那个时候你很难想象
[00790.04-00791.84] 整体上在中国的经济发展的
[00791.84-00793.04] 这样的一个进程当中
[00793.04-00795.72] 中国以前在这开始改革开放之处
[00795.72-00797.36] 或者在心中我成立之处
[00797.36-00798.80] 那个时候都中国只是啥
[00798.80-00801.56] 那个时候的中国是班里的到处的学生
[00801.56-00802.36] 你就想象
[00802.36-00804.16] 整个世界是一个大的班级
[00804.16-00806.84] 那个时候的中国是在班级里是到处
[00806.84-00808.68] 那一个到处的这样一个学生
[00808.68-00809.76] 不可能要打价
[00809.76-00810.88] 不超人家做叶
[00810.88-00812.76] 不学人家那些不良学生
[00812.76-00815.08] 比如说像美国、日本、韩国、等等
[00815.08-00817.00] 不学习人家只用不良的风险
[00817.00-00819.08] 莫莫无文靠自己的公园
[00819.08-00820.68] 办慢慢的变成了什么
[00820.68-00822.60] 慢慢的变成了班级第二
[00822.60-00824.28] 在2010年的时候
[00824.28-00827.12] 中国越成为中国超越日本
[00827.12-00828.40] 一越成为世界
[00828.40-00829.44] 第二大经济
[00829.44-00831.80] 并在今天一直处在第二大间体的
[00831.80-00832.76] 这样的一个地位 对吧
[00832.76-00833.72] 所以你会发现
[00833.72-00835.32] 在整个三个代表
[00835.32-00836.28] 和可以发展过时期
[00836.28-00838.96] 经济发展速度特别的快
[00838.96-00840.84] 经济膨脏的速度怎么样
[00840.84-00841.60] 特别的快
[00841.60-00842.52] 所以那个时候
[00842.52-00844.24] 我们的经济发展速度是看的
[00844.24-00846.68] 我那个时候的经济发展只要看什么
[00847.18-00850.04] 主要看经济发展的速度
[00853.06-00857.16] 所以在这个时候我们速度是高速发展
[00857.16-00860.00] 后来的时候我们说了打到10%对吧
[00860.00-00861.56] 但是后来再到后面
[00861.56-00862.68] 2010年之后呢
[00862.68-00865.20] 我们说了经济开始发展特别快
[00865.20-00868.32] 但是在2010年之后我们在经济发展
[00868.32-00871.24] 快速的同时有一些问题的逐渐的暴露出来了
[00871.24-00873.04] 在经济发展过来的过程当中
[00873.04-00874.72] 它的问题暴露出来的是什么呢
[00874.72-00876.20] 这是以前的中国的速度
[00876.20-00878.08] 为什么能够发展得这么快呢
[00878.08-00879.08] 同时来想一下
[00879.08-00881.84] 就是因为那个时候中国啥都没有
[00881.84-00883.00] 中国一球二百啊
[00883.00-00884.92] 中国就是在市场当中
[00884.92-00885.96] 你找不出来说
[00885.96-00887.96] 中国有哪些非常具体的中差
[00887.96-00889.04] 也是它啥都没有
[00889.04-00890.36] 所以中国最开始的时候
[00890.36-00891.68] 处在一球二百的情况
[00891.68-00893.20] 它的技术就非常小
[00893.20-00893.88] 所以你想啊
[00893.88-00895.04] 你从零到一
[00895.04-00896.12] 你只要有一点
[00896.12-00897.44] 它其实就能够看到出来
[00897.44-00898.88] 就发展得非常的明显
[00898.88-00900.96] 所以那个时候中国之所以能够实现
[00900.96-00903.84] 高速发展一个非常明显的原因
[00903.84-00905.44] 就是在于我们所说的
[00906.24-00907.88] 它是啥都没有的
[00907.88-00910.92] 但是中国虽然没有相应的这样的一个经济发展模式
[00910.92-00911.88] 但是中国有什么
[00911.88-00913.44] 中国有资源
[00913.44-00915.08] 那时候中国自然老多了
[00915.08-00915.80] 能有多多
[00915.80-00917.52] 大家来看一下大清的有点
[00917.52-00918.88] 在多少年之前
[00918.88-00919.64] 那么多说了
[00919.64-00920.68] 想扎到大东西
[00920.68-00922.12] 什么紧盆式的有限
[00922.12-00922.44] 对吧
[00922.44-00923.72] 中国的土地多不多
[00923.72-00925.32] 中国的土地也太多了
[00925.32-00926.92] 那时候改了开放之处
[00926.92-00928.56] 中国的人口多不多
[00928.56-00930.76] 中国的人口也非常多
[00930.76-00935.44] 所以同時們你看土地 資源 人口 這些都是什麼
[00935.44-00938.00] 這都是經濟發展的要素
[00938.00-00940.00] 所以當改的開放之初
[00940.00-00942.64] 你看你在對於海外來說
[00942.64-00943.80] 那個時候就中國就什麼
[00943.80-00945.60] 那時候中國就是一塊肥地
[00945.60-00946.96] 你看你在這塊土地上
[00946.96-00948.36] 我們在提高改的開放的時候
[00948.36-00950.80] 其他企業 願眠來你的中國投資
[00950.80-00952.28] 願意因為你低多
[00952.28-00953.44] 所以你的低便宜
[00953.44-00954.32] 因為你人多
[00954.32-00956.00] 所以你的勞動力人口便宜
[00956.00-00958.24] 那時候對於中國來說是不是好事
[00958.24-00959.00] 是好事
[00959.00-00961.12] 因为中国没有成熟的发展模式
[00961.12-00964.04] 所以你看人家一来咱们就双方去生产
[00964.04-00965.80] 原本我们的生活很平均
[00965.80-00967.72] 我们没有很好的经历发展模式
[00967.72-00969.20] 老百姓的收入比较低
[00969.20-00971.12] 但是外企一旦寄来之后
[00971.12-00972.00] 可以了开始了
[00972.00-00973.92] 它辜用中国的劳动力去生产
[00973.92-00975.48] 那它赚到了钱
[00975.48-00976.88] 中国老百姓也赚到了钱
[00976.88-00977.68] 所以那个时候呢
[00977.68-00979.32] 我们有很多的这种要素
[00979.32-00980.64] 我们就可以双方方立法
[00980.64-00982.24] 石油没探钢铁
[00982.24-00983.96] 这些东西在以前的中国
[00983.96-00984.24] 对吧
[00984.24-00986.28] 那都是砸的非常的多的
[00986.28-00989.76] 所以你靠投入很多的这种要素进去
[00989.76-00991.76] 去实现经济的发展很快
[00991.76-00995.04] 你只要投入进去就产出投入进去就产出
[00995.04-00998.44] 一旦有产出经济的素质就会双双上
[00998.44-01000.48] 所以这就解释了为什么那几年
[01000.48-01002.92] 中国经济发展的速度非常的快
[01002.92-01006.80] 但是这种资源消耗的出放型的经济发展模式
[01006.80-01008.68] 同时来想一下它的代价是什么
[01009.84-01013.04] 你会不会就考虑说资源的利用效率呢
[01013.04-01013.84] 不会的
[01013.84-01015.12] 因为你东西购多
[01015.12-01016.40] 比如说就中国的美态
[01016.40-01017.88] 那那时候山西省的美态
[01017.88-01020.16] 那支援全国的经济发展
[01020.16-01022.16] 所以你看那个时候你觉得东西多
[01022.16-01023.52] 所以你就不会顾虑到说
[01023.52-01024.88] 哎,有没有造成浪费
[01024.88-01026.32] 有没有提高自然的利用效率
[01026.32-01027.60] 你不会考虑这些问题
[01027.60-01028.40] 你就用喂
[01028.40-01031.28] 你只要是我们能够看见去你投印去
[01031.28-01033.96] 产出有增加老百姓的邀邦估起来了
[01033.96-01036.44] 那这个时候对中国当下的发展就是嘛
[01036.44-01037.36] 就是好的
[01037.36-01038.56] 但是问题就是在员
[01038.56-01041.20] 资源它不是永远用不完的
[01041.20-01042.96] 它不会是永远不枯解的
[01042.96-01046.92] 所以你看,你再去不斷的,就进行投入产出发展的这过程当中
[01046.92-01048.52] 资源在慢慢的怎么样?
[01048.52-01050.20] 走向消耗
[01050.20-01052.84] 所以你看山西省的没探,主部哭解了
[01052.84-01056.08] 我们看中国的人口红利逐渐下降了
[01056.08-01060.32] 我们又看到,比如说,大清的有点说,我们又如果不科学的开产的话
[01060.32-01062.36] 在过多少年之后,他就没有了
[01062.36-01065.96] 所以你看,这种高速发展,他办随着是什么?
[01065.96-01070.40] 他办随着是我们所说的,能源的消耗和哭解
[01070.40-01073.22] 所以在这个时候我们就会考虑到一个问题
[01073.22-01075.28] 原本的经济的高速发展
[01075.28-01078.66] 它还不能不能够支撑中国的经济发展进场了
[01078.66-01079.56] 不能够支撑了
[01079.56-01081.52] 因为你以前只是单纯的追求什么
[01081.52-01083.72] 你以前只是单纯的追求速度
[01083.72-01084.86] 而一代我们所说的
[01084.86-01087.48] 当市场要速投入达到相的宝和的时候
[01087.48-01088.74] 这速度就不行了
[01088.74-01089.86] 那这个时候速度不行
[01089.86-01090.96] 速度就一定会怎么样
[01090.96-01091.76] 会降下来
[01091.76-01094.20] 所以中国从原本的高速发展
[01094.20-01096.12] 进速度的增长的高速发展
[01096.12-01097.64] 就迅速过度到了什么
[01097.64-01098.36] 中共所
[01098.36-01100.54] 我們確實一度有10.2%幾%
[01100.54-01102.00] 這10.2%的經濟增速
[01102.00-01103.20] 但是後來到了
[01103.20-01104.76] 我們所說的後期的時候
[01104.76-01106.36] 比如說科學發展官的後期
[01106.36-01107.88] 或者說新思想的初期
[01107.88-01108.76] 就是18%
[01108.76-01110.64] 17%成績這個時期
[01110.64-01111.72] 我們提到了一個點
[01111.72-01112.44] 就是那個時候
[01112.44-01114.16] 中國經濟發展速度降起來了
[01114.16-01115.16] 從原來的
[01115.16-01116.32] 9.8%的幾%
[01116.32-01118.12] 這10.2%降到了7%
[01118.12-01119.40] 降到了6%
[01119.40-01121.32] 這時候就有人提到了說法了
[01122.04-01123.56] 中國經濟增速降起來了
[01123.56-01125.92] 是因為中國經濟發展的速度不行了
[01125.92-01127.24] 就開始有這種擔憂
[01127.24-01128.52] 那那時候國家說什麼
[01128.52-01130.12] 說不用擔有這很正常
[01130.12-01132.96] 他說你從一到十
[01132.96-01134.64] 你會發現你的宗素很快
[01134.64-01135.00] 對吧
[01135.00-01137.08] 但是如果你的技術本身就特別搭
[01137.08-01138.20] 你現在是一百了
[01138.20-01139.92] 你從一百到一百零一的時候
[01139.92-01142.08] 你就會發現你的宗素自然就怎麼樣
[01142.08-01142.80] 下降了
[01142.80-01144.68] 中國經濟體量變大
[01144.68-01146.84] 中國經濟的發展速度就會下降
[01146.84-01149.80] 這是一個很正常的這樣一個情況
[01149.80-01151.44] 所以那時候體出的概念就要什麼
[01151.44-01152.68] 叫新場態
[01152.68-01154.12] 所以那時候新場態就說了
[01154.12-01156.56] 說中國經濟有高速發展
[01156.56-01158.80] 进入到了松高速时期
[01158.80-01159.80] 但是我们说了
[01159.80-01160.72] 在之前的发展
[01160.72-01162.00] 他无论是高速
[01162.00-01163.04] 还是中共速
[01163.04-01165.20] 他一直都在强调的是什么发展
[01165.20-01167.12] 一直都在强调的是速度
[01167.12-01167.96] 换句话说
[01167.96-01169.12] 那个时候中国
[01169.12-01171.48] 让自己的经济又扩充起来
