[00000.00-00006.80] 我们讲完了联系之后我们来看一下第二个变成法的特征就是我们所说的发展
[00810.04-00814.88] 我们只是在红官上给大家解决了发展的实质当中的两个大点
[00814.88-00817.44] 一个就是卸殊的产救出灭亡
[00817.44-00819.44] 一个是区分心就受的标志
[00819.44-00823.60] 这两个点是绝对的两星级的实戏形的点
[00823.60-00827.72] 但是在这里面还有一些小的细节同时要格外注意
[00827.72-00828.96] 什么小的细节呢
[00828.96-00830.68] 就是它平时不太会考
[00830.68-00833.36] 但是它偶尔可能会出现在选项当中
[00833.36-00834.60] 来看一下第一个
[00834.60-00836.36] 他說歇勢武和救守碗
[00836.36-00840.00] 他本身就是看他是否符合實在發展的趨勢
[00840.00-00841.72] 但是在這打住一下
[00841.72-00843.76] 歇勢能夠戰勝救守武
[00843.76-00847.48] 就是因為歇勢武他集合救守之間有聯繫
[00847.48-00850.40] 歇勢武到底從而來打住一下
[00850.40-00854.60] 歇勢武是拖太郁就是武當中的
[00858.20-00861.80] 歇勢武是拖太郁就是武中的
[00861.80-00866.16] 是拖台语 就是5中了
[00866.16-00870.80] 欢迎话说呢 就是新试试在95当中产生的
[00870.80-00875.08] 把95当中那些不符合要求的因素比起到产生的进士舞
[00875.08-00879.32] 所以在这里新试舞产生于95当中
[00879.32-00880.92] 这句话一定要注意
[00883.32-00885.72] 这句话呢 偶尔也会考产生的说
[00885.72-00887.64] 那新试舞机能够产生就是舞
[00887.64-00891.40] 那就意味着新试舞是完全比起了就是舞
[00891.40-00894.14] 或者是完全怎么能让就是我都不对
[00894.14-00896.12] 因为前后一定有联系
[00896.12-00898.06] 先是我不可能平空产生
[00898.06-00900.36] 他一定要产生于95当中
[00900.36-00903.06] 把救数的不好的预送兵气掉
[00903.06-00905.76] 然后杨常避断形成新手
[00905.76-00906.52] 所以在这里
[00906.52-00908.84] 他如果说是完全脱离的
[00908.84-00910.04] 完全被离的
[00910.04-00911.56] 完全没有任何联系的
[00911.56-00912.84] 种出来就错了
[00912.84-00914.60] 这个点大家要稍微注意一下
[00914.60-00916.40] 那第二个小的细节的点
[00916.40-00917.92] 也是会出现在选项当中
[00917.92-00918.68] 但是呢
[00918.68-00922.00] 出現在想到是咱們要能夠判斷出來它的政務是哪就換呢
[00922.00-00924.96] 就是說就是我是指 喪失歷史必然性
[00924.96-00926.72] 日驅滅王的事務
[00926.72-00929.44] 把日驅這兩個字標準出來
[00929.44-00932.08] 這個地方就經常會考察一個細節
[00932.08-00934.16] 什麼細節呢 這個細節就是
[00934.16-00937.56] 他說心事務從代生那天開始
[00938.44-00941.16] 就已經完全戰生就是無了
[00941.16-00942.24] 重算吧 對不對
[00942.24-00943.12] 心事務
[00943.12-00943.96] 現在這
[00944.28-00945.36] 心事務
[00946.92-00947.76] 從
[00947.76-00949.68] 但生志企
[00952.68-00954.68] 完全占生就是我
[00957.68-00959.60] 这种说法对不对呢
[00961.12-00964.04] 很明显 正说法是不对的
[00964.04-00965.92] 因为就是我是怎么命网
[00965.92-00967.24] 日驱命网的
[00967.24-00968.48] 不可能从吸收
[00968.48-00970.60] 但生志企就完全占生他
[00970.60-00973.52] 所以在新就事务上有两个细节
[00973.52-00974.88] 同学们一定要注意
[00974.88-00976.88] 这两细节不是独立的考虑
[00976.88-00979.18] 只是偶爾會出現在選項當中
[00979.18-00980.46] 那大家要注意一下
[00980.46-00982.44] 那這是我們所說的發展的
[00982.44-00983.36] 實質
[00983.36-00985.84] 所以發展實質核心的話語
[00985.84-00986.78] 其實是幾句話
[00986.78-00987.32] 分句話
[00987.32-00989.42] 第一個發展是一種變化
[00989.42-00990.62] 一種什麼樣的變化
[00990.62-00991.62] 好的變化
[00991.62-00992.84] 所以能夠去變息
[00992.84-00994.54] 發展語願動之間的關係
[00994.54-00995.30] 第二個
[00995.30-00998.00] 發展的實質是心事物的產生和
[00998.00-00999.50] 救出的滅亡
[00999.50-01000.96] 那第三句話就是
[01000.96-01002.16] 新救出的區分
[01002.16-01003.36] 在於兩個字上叫做
[01003.36-01006.16] 區市和力量大小和時間早晚
[01006.16-01007.64] 没有任何的关系
[01007.64-01011.04] 那这个其实就是在考察实际形体目
[01011.04-01013.20] 经常会出现的三句话
[01013.20-01015.44] 但是我同意说说老师发展
[01015.44-01017.24] 他只考实际形的体目
[01017.24-01020.64] 那当然不是发展也会考理解形的体目
[01020.64-01023.32] 那如果一旦考察发展考理形的体目的话
[01023.32-01024.52] 他会怎么出体呢
[01024.52-01025.88] 他其实有三个
[01025.88-01030.08] 比较相对来说比较明显的出气角度
[01030.08-01031.40] 这三个是哪三个呢
[01031.40-01033.52] 同一们在比几区里面给他写一下
[01033.52-01035.04] 这三个出气角度第一个
[01035.04-01038.04] 你在提案当中读出 心就数交替
[01040.04-01044.04] 在提案当中提读出 心就数交替
[01046.04-01050.04] 出现心就数交替的选什么呢 选发展
[01050.04-01054.04] 这样的话 剧子就会考试课文
[01054.04-01059.04] 那试课文 老多了 比如说我们经常提到的
[01059.04-01062.04] 做了方临心业 催臣业
[01062.04-01064.46] 我简单写好吧
[01064.46-01066.80] 方林心意推成夜
[01066.80-01069.28] 流水前播让后播
[01069.28-01071.04] 你看方林心意推成夜
[01071.04-01073.16] 是不是出现了心就完
[01073.16-01075.08] 那出现新舅交替选什么
[01075.08-01075.92] 选发展
[01075.92-01076.92] 你说老师赶选吗
[01076.92-01077.80] 当然赶选啊
[01077.80-01078.92] 因为发展的时刻
[01078.92-01081.12] 就是新数的产生和
[01081.12-01082.08] 就是我的面网
[01082.08-01084.16] 所以出现新数数交替选发展
[01084.16-01085.88] 你看方林心意推成夜事
[01085.88-01087.36] 或者是我们所说的叫
[01087.36-01089.36] 无边落目消消下
[01089.36-01091.56] 不进长江滚滚来
[01091.56-01092.60] 啊 我简单写了
[01092.60-01095.52] 无边落幕 销销下 不仅长江公共来
[01095.52-01098.08] 销销儿下 落幕销儿下
[01098.08-01099.96] 那他指待的是西数外就是我
[01099.96-01102.32] 就是不仅长江公共来
[01102.32-01103.48] 公共人来的是
[01103.48-01106.16] 新食物 有新救交体 宣扎
[01106.16-01107.00] 选发展
[01107.00-01108.44] 又或者我们长看呢
[01108.44-01112.28] 成州测判千万过 并数钱头 万物春
[01112.28-01114.84] 成州测判 千万过
[01114.84-01117.36] 成州都已经成到水底了
[01117.36-01119.16] 对吧 都马上就烂在水里了
[01119.16-01120.24] 那他代表的是
[01120.24-01123.24] 就是千方国 千方国计划
[01123.24-01125.24] 有没有新学教题
[01125.24-01128.24] 有新学教剧现场 选发展
[01128.24-01131.24] 什么离力原赴草 伊随伊骷容 伊骷易容
[01131.24-01134.24] 有交替买 有交替有发展赶外选
[01134.24-01137.24] 赶选 随出现新学教题的
[01137.24-01139.24] 很明显读出来的 选发展
[01139.24-01141.24] 因为这就是发展的 实质
[01141.24-01143.24] 这是第一个 他出席的角度
[01143.24-01146.24] 那方老师他有的时候 雌雌雌雌
[01146.24-01148.24] 他出这个题目的时候
[01148.24-01150.60] 我也看不出来有新疾教题
[01150.60-01151.92] 这时候你找什么呢
[01151.92-01155.20] 你看体感当中没有体现于实距禁
[01155.20-01158.20] 如果体现于实距禁观点的选发展
[01158.20-01159.92] 你说老师女师之间为独出来
[01159.92-01160.80] 难度到什么呢
[01160.80-01162.56] 你看体验当中没有独出
[01162.56-01163.56] 创新
[01163.56-01165.92] 体验当中有个要求女士做创新
[01165.92-01169.00] 如果体验于实距禁体验创新的话
[01169.00-01171.00] 那么也许发展
[01171.00-01173.40] 因为我们所说的发展实质
[01173.40-01175.12] 新就是屋的教题
[01175.12-01176.68] 那就必须要随着
[01176.68-01180.24] 客观实际情况不断的产生新的领念新的观念
[01180.24-01182.48] 这种就要做于实际进
[01182.48-01184.88] 而发展的眼光看问题的方法们要求
[01184.88-01186.52] 就是要求我们具备什么意思
[01186.52-01187.68] 创新意识
[01187.68-01189.60] 所以出现于实际进来创新
[01189.60-01190.96] OK 选发展
[01190.96-01192.16] 举个简单的例子
[01192.16-01194.60] 我们国家在整体的建设过程当中
[01194.60-01196.92] 一直运动的理论是马克思主义
[01196.92-01197.88] 中国化
[01197.88-01200.60] 但是马克思主义中国化的这个点
[01200.60-01202.52] 它有没有说从以前的时候
[01202.52-01204.00] 某个东思想开始
[01204.00-01205.48] 就一遍不遍到现在
[01205.48-01206.08] 不是
[01206.08-01208.08] 我們隨著國家進程的需要
[01208.08-01209.54] 隨著國家經濟的發展
[01209.54-01212.08] 不斷提出新的經濟理論
[01212.08-01214.32] 不斷提出新的政策要求
[01214.32-01216.48] 以試驗國家經濟發展的需要
[01216.48-01218.62] 那為什麼會出現
[01218.62-01220.04] 隨著經濟環境的增長
[01220.04-01221.44] 要提出新的理念呢
[01221.44-01222.50] 咱們就說了
[01222.50-01224.76] 那是因為客觀實際情況所決定
[01224.76-01225.72] 那你有物質決定
[01225.72-01227.02] 意識選物質決定意識
[01227.02-01228.36] 那他還能提下什麼
[01228.36-01229.72] 與實劇境的觀念
[01229.72-01231.36] 與實劇境就是什麼
[01231.36-01233.24] 與實劇境就是發展
[01233.24-01235.52] 時代在便理論也要跟著便
[01235.52-01236.84] 理論有跟著發展
[01236.84-01238.92] 這個是不是體現與實劇界
[01238.92-01240.52] 體現時間變遷
[01240.52-01242.56] 體現创新的選發展
[01242.56-01243.84] 這是第二個
[01243.84-01245.04] 那第三個是啥呢
[01245.04-01245.96] 就是第三個
[01245.96-01247.16] 這是有個題目
[01247.16-01249.32] 它不會出的特別的演技
[01249.32-01250.36] 這種情況之下
[01250.36-01252.04] 它就不會可定可冒的說
[01252.04-01254.24] 發展就是前進的上升運動
[01254.24-01256.00] 就在體驗當中給你體現出
[01256.00-01257.24] 它是一種好的變化
[01257.24-01259.16] 它反而只是單純的在這裡面
[01259.16-01259.92] 跟我說
[01259.92-01262.76] 在體驗當中說什麼什麼發生變化了
[01262.76-01264.04] 那這就說你怎麼辦
[01264.04-01266.56] 如果他在田南州只是單純的說
[01266.56-01268.40] 什麼東西發生變化
[01268.40-01269.52] 那這時候就要看
[01269.52-01272.16] 有運動選運動
[01272.16-01274.44] 沒有運動選發展
[01275.52-01277.32] 比如說我們最常見的案例
[01277.32-01280.84] 叫視別三日到關幕香港
[01283.40-01285.28] 視別三日 我簡單顯然
[01285.28-01287.12] 視別三日到關幕香港
[01287.12-01290.28] 那這個我們知道他是一個點物故事
[01290.28-01292.12] 對吧說我們分開了一個二時間
[01292.12-01294.28] 然后我感觉你和之前变得不一样了
[01294.28-01295.48] 你变得越来越棒了
[01295.48-01298.20] 我们知道这事别三日的点物
[01298.20-01299.80] 但如果你不知道这个点物呢
[01299.80-01301.24] 事别三日光不想看
[01301.24-01302.52] 你就只需读出来
