[00000.00-00005.00] 好,我們再來看一下國際經濟當中,第二節內容就是經濟全球化
[00214.40-00215.32] 可能在越南卖
[00215.32-00216.80] 可能在兼普债卖
[00217.84-00219.38] 我们所说的新加坤和卖
[00219.38-00221.50] 它是分我们所说的怎么样
[00221.50-00222.96] 分到全国各地去卖
[00222.96-00225.20] 这种是参与在全国范围之内
[00225.20-00227.32] 或者在全世界范围之内的中买卖
[00227.32-00228.76] 它属于贸易全球化
[00228.76-00230.08] 所以找在天中读道
[00230.08-00231.28] 所以这东西记在这卖
[00231.28-00232.38] 因为在那边卖又在那边
[00232.38-00234.40] 那它就属于贸易全球化
[00234.40-00236.20] 所以在这里就是第二个
[00236.20-00238.04] 第三一个就是资本全球化
[00238.04-00239.36] 资本全球化就一句话
[00239.36-00241.30] 资本在国际间流动
[00241.30-00243.00] 说我们叫资本叫国际间流动
[00243.00-00244.20] 以前再去投资的时候
[00244.20-00246.72] 你的钱只能投在你自己的国家
[00246.72-00248.26] 但現在怎麼樣不限了
[00248.26-00250.30] 你的錢你可以投到世界各地去
[00250.30-00252.30] 只要你有錢只要你符合標準
[00252.30-00254.14] 你就可以把錢投入到世界各地
[00254.14-00255.30] 這個就叫做什麼
[00255.30-00257.36] 這個就叫做資本全球化
[00257.36-00260.30] 比如說德國法國可以為中國投資
[00260.30-00261.96] 東中國在一代一路上
[00261.96-00263.36] 是不是也可以給其他國家投資
[00263.36-00264.96] 那這個就是錢
[00264.96-00267.46] 當然了資本可不是單單之前
[00267.46-00271.04] 資本他包括什麼時間金錢要素等等
[00271.04-00273.02] 這些都叫了資本人財務
[00273.02-00275.66] 他在全世界範圍之內流動在國際間流動
[00275.66-00276.88] 比如说他不是个限制
[00276.88-00279.06] 他可以从美国留向人中国
[00279.06-00281.48] 然后从中国在流向我们所谓的新加坡
[00281.48-00282.96] 在从新加坡在流向的
[00282.96-00284.62] 在流向我们所说的南非
[00284.62-00286.16] 其实就是这样的一个
[00286.16-00287.66] 资本在国际间的流动
[00287.66-00290.26] 他主要是体现在资本的
[00290.26-00292.56] 在国家与国家直接的这样的一个流质
[00292.56-00294.86] 他就叫做资本全球化
[00294.86-00296.26] 还有科技全球化
[00296.26-00298.76] 科技全球化就是科技资源
[00298.76-00301.06] 在全国泽泽的之内的
[00301.06-00302.16] 有化配置
[00302.16-00303.46] 这有叫科技全球化
[00303.46-00304.86] 比如说基础眼睛这个问题
[00304.86-00308.26] 中國的一帶一路高鐵技術是世界領先技術
[00308.26-00312.46] 對吧 那這種情況之下我們就可以把這個資源共享給其他的國家
[00312.46-00316.06] 那甚至我們在航空航天領域當中很多技術的場所
[00316.06-00317.66] 是不是也可以共享給其他國家
[00317.66-00320.86] 那比如說現在你看 眾政兼護士他是從那來的
[00320.86-00325.46] 他其實就是在航空航天領域當中對於航天原語航原他的身體監測
[00325.46-00327.66] 所形成的 他的一個眼神品
[00327.66-00330.46] 就是我們所說的眾政兼用是用在醫學當中
[00330.46-00332.46] 那這項技術是不是也可以
[00332.46-00335.28] 我们所说的在世界上的之内在经济权用化之下
[00335.28-00337.32] 什么也对于其他国家来说
[00337.84-00340.66] 也可以在早几年的时候就可以想说到了
[00340.66-00342.06] 这个就是什么的结果
[00342.06-00344.76] 这个就是我们所说的科技研全球化的结果
[00344.76-00346.28] 所以在这里面大家就知道
[00346.28-00349.36] 是科学技术在全球化的之内有化配置
[00349.36-00350.88] 那这是我们所说的有关于
[00350.88-00351.92] 经济全球化
[00351.92-00355.24] 所以经济全球化同一们指消有一个大概的了解
[00355.24-00357.80] 按知道它大概说的什么事就OK了
[00357.80-00359.34] 那这是经济全球化
[00359.34-00360.88] 那是第二节的内容
[00360.88-00362.98] 那说完第二节我们再来看一下
[00362.98-00365.22] 在整个国际经济当中的第三点
[00365.22-00367.02] 国际经济也是红关经济的一款
[00367.02-00370.60] 在国际经济当中的第三点就是重要经济组织
[00370.60-00372.52] 这个抓经济组织和前面一样
[00372.52-00374.96] 也做了一个基本概念掌握就可以了
[00374.96-00376.50] 在抓经济组织当中
[00376.50-00378.02] 这个抓经济组织的大家诸一下
[00378.02-00380.84] 也被称着被叫做世界经济的三下满车
[00382.40-00385.70] 四世界经济的三下满车
[00385.70-00388.26] 那这世界经济的三下满车分别是
[00388.26-00390.56] 第一個國際貨幣基金組織
[00390.56-00394.40] 第2個我們所說的世界銀行第3個是貿組織
[00394.40-00396.20] 把他和我們前面所說的
[00396.20-00400.20] 拉動國家經濟增長的三家馬車投資消費又出口
[00400.20-00401.32] 去分開就行了
[00401.32-00404.12] 所以你在這一節咱們的獎益前面去標準
[00404.12-00406.68] 它是世界經濟的三家馬車
[00406.68-00407.72] 那是三家馬車
[00407.72-00409.24] 同時你們需要掌握的是第1個
[00409.24-00410.28] 它是幹什麼的
[00410.28-00412.32] 第2個它都總部設在哪
[00412.32-00415.40] 第3個它的植子和它的原則是什麼
[00415.40-00417.44] 幾乎都是從這麼多角度來的
[00417.44-00420.24] 首先第一個就叫國際貨幣基金組織
[00420.24-00422.28] 我們把它稱之為叫AMF
[00422.28-00424.16] 國際貨幣基金組織
[00424.16-00426.64] 才說是布雷頓斯聯體系的一個組成部分
[00426.64-00428.44] 也就是在布雷頓斯聯會
[00428.44-00431.60] 一召開之後所形成的這樣的一個國際貨幣組織
[00431.60-00434.00] 第一個點大家要知道這個組織
[00434.00-00436.36] 它既然是布雷頓斯聯體系的一個組成部分
[00436.36-00439.36] 它在整體上從屬在美國當中
[00439.36-00441.24] 所以它的組總部設在什麼
[00441.24-00443.24] 美國的首都華盛頓
[00443.24-00445.08] 而這個國際貨幣基金組織
[00445.08-00446.88] 它不是一個獨立的組織
[00446.88-00450.08] 他不是说在世界上就这么一个组织在这不是
[00450.08-00451.28] 他不是一个独立的组织
[00451.28-00452.68] 他是什么 第二个点
[00452.68-00454.48] 他是联合国的一个机构
[00455.48-00458.08] 他不是一个单独的世界形的组织
[00458.08-00461.08] 他是一个联合国的一个独立机构打住一下
[00461.08-00462.80] 那国际货币基金组织
[00462.80-00464.40] 货币基金货币基金
[00464.40-00466.08] 主要搞什么 同论标主一下
[00466.08-00468.08] 主要监察货币的动向
[00468.08-00470.88] 就色子市场范围之内的
[00470.88-00472.48] 会世界范围之内的什么
[00472.48-00474.48] 货币惠率的变动问题
[00474.48-00475.68] 由他来处则监察
[00475.68-00478.60] 以确保全球金融经济的平文元行
[00478.60-00480.92] 这个是国际货币基金组织
[00480.92-00482.48] 大家知道总部在哪儿
[00482.48-00483.56] 然后在这里面
[00483.56-00486.04] 他是联合国的一个独立的机构
[00486.04-00488.80] 但是他不是一个独立的世界组织
[00488.80-00489.60] 或政府组织
[00489.60-00490.32] 明白了
[00490.32-00491.52] 第三个就是
[00491.52-00492.96] 货币基金货币基金
[00492.96-00495.16] 就是搞货币动向的考量
[00495.16-00497.80] 他保证世界他的经文篇文元行
[00497.80-00501.04] 他就是监察货币会率
[00501.04-00503.60] 这是第一个国际货币基金组织
[00503.60-00505.40] 第二个就是世界银行
[00505.40-00507.96] 您的行严好,咱们广易上的严行就是什么
[00507.96-00510.96] 就是可以去朝他贷款,那只是严行都作用了
[00510.96-00515.64] 对吧,其实世界严行就是世界范围之类的国家可以贷款的严行
[00515.64-00522.44] 那世界严行呢,他称了为叫做WB,就大家都知道一个是WB的一个是办可,就世界严行
[00522.44-00525.24] 那他也是不雷豆斯林体系副主的产务
[00525.24-00529.28] 所以既然是不雷豆斯林体系副主的产务,那他的总部一般都是在哪呢?
[00529.28-00535.36] 我们再说完标主一下,他都总部是设在华生顿,总部是在华生顿,总部是在华生顿,同时大做一下
[00535.36-00537.36] 他也是聯合國的一個機構
[00538.36-00540.62] 他不是一個獨立的部門
[00540.62-00542.92] 連外外他是一個聯合國的機構
[00542.92-00544.88] 那世界銀行的事情好像剛好買
[00544.88-00547.36] 我說了銀行主要就是幹嘛可以貸款
[00547.36-00549.72] 所以第三個要了解世界銀行的值能
[00549.72-00550.52] 大家注意一下
[00550.52-00552.24] 實際上發展人銀行提供
[00552.24-00554.56] 低息貸款無息貸款或者是正款
[00554.56-00555.52] 就是銀行
[00555.52-00557.56] 或我們日常生活當中理解的銀行一樣
[00557.56-00560.20] 就是我們所說商業行可以進行貸款
[00560.20-00561.48] 所以世界銀行
[00561.48-00565.32] 就是可以像發生國家提供低息無息或者是正款
[00565.32-00571.72] 如果一旦這些注意,它不是像發達國家,首先第一個這裡面確實考察過幾個細節大家注意,要給大家圈出來
[00571.72-00575.82] 人第一個是像發展中國家提供代款,而並非像發達國家
[00575.82-00580.22] 因為事業也行的理念是要對發展國家,它就一定的幫服意物,這第一個
[00580.22-00588.22] 第二個它提供的代款可以是低稀的,也可以是無稀的,也可以是縱塊,這是它進行我們所說的幫服的這樣一個情況
[00588.22-00589.86] 如果是发达国家
[00589.86-00593.72] 发达国家在我们所说的这种经济出现问题的情况之下
[00593.72-00595.64] 它可以向世界银行代款吗
[00595.64-00596.12] 不行
[00596.12-00597.82] 比如说我们之前所说的希腊
[00597.82-00599.14] 这国家破产了
[00599.14-00601.28] 你看这国家如果一旦破产了的话
[00601.28-00602.68] 之前是一个发达国家
[00602.68-00604.78] 它可以向世界银行听我代款吗
[00604.78-00606.42] 我们所说的进行代款
[00606.42-00607.12] 不行
[00607.12-00609.46] 它只能是尋求我们所说的什么
[00609.46-00610.52] 国际王主
[00610.52-00612.38] 所以在这里世界银行的指导
[00612.38-00615.30] 代款向谁代款发展人国家代款
[00615.30-00617.84] 那这是第二个叫做世界银行
[00617.84-00619.94] 一帮服其他国家的必行
[00619.94-00621.08] 那第三个呢
[00621.08-00623.68] 也是我们所说的叫做世界贸易组织
[00623.68-00625.74] 也就是说我们所说的WTO
[00625.74-00627.80] 这个点需要同学们在今年
[00627.80-00629.10] 做一个重点去掌握
[00629.10-00632.18] 因为我们会睡到很多世界贸易的这些世界
[00632.18-00635.02] 不当下也有一些热点和它有关安排
[00635.02-00637.18] 说我们所说的这个日本
[00637.18-00638.86] 它做了不了的邪劣下
[00638.86-00641.66] 我们所说的海洋当中头放
[00641.92-00643.46] 我们所说的核武水之后
[00643.46-00647.46] 他反要中为一口向世贸提起了制裁中国的这样一个投诉
[00647.46-00651.46] 对吧 那在这里面他所向世贸组织所提起的这个投诉
[00651.46-00653.96] 那其实这个世贸组就说我们所说的这个
[00653.96-00657.46] WTO 那我们就来看一下WTO这个世贸组织
[00657.46-00658.46] 他到底是怎么回事
[00658.46-00661.46] 首先世贸是是世界贸易
[00661.46-00664.96] 那他管理世界贸易就要有相应的整合和秩序
[00664.96-00666.46] 所以在这里面大家注意一下
[00666.46-00668.46] 第一个要知道世贸组织的执行
[00668.46-00671.96] 就是管理世界经济的贸易秩序
[00671.96-00675.96] 所以在这里把管理世界经济和贸易的秩序化出来
[00675.96-00677.96] 然后把秩序给它圈出来
[00677.96-00679.96] 世界贸易组织就是要怎么样
[00679.96-00685.96] 有序的规范整个世界范围之内的国家以国家之间的这样一个经济云影
[00685.96-00688.96] 我们就可以其实把它放大在一个国家的内国
[00688.96-00692.96] 国家的内部是需要什么是需要一个良好的市场经济云形秩序的
[00692.96-00694.96] 但整个世界它怎么办呢
[00694.96-00697.96] 世界是独立的国家之间组成的
[00697.96-00700.96] 那就需要一个组织来为后国家之间的贸易组织
[00700.96-00702.50] 这个就叫做什么
[00702.50-00703.36] 失贸组织
[00703.36-00704.48] 所以说到这
[00704.48-00705.94] 我们就归纳总结一下
[00705.94-00706.60] 刚才说了
[00706.60-00708.88] 国际货币基金组织和货币物
[00708.88-00710.44] 那就是亏略问题
[00710.44-00711.60] 第二个银行
[00711.60-00712.68] 银行都干嘛带款
[00712.68-00713.88] 第三个失贸组织
[00713.88-00715.68] 你搞贸易必须要遮守归走
[00715.68-00717.36] 所以在这里他提供的就是
[00717.36-00718.48] 管理贸易织去
[00718.48-00719.16] 这是第一个
[00719.16-00720.16] 大家要追一下
[00720.16-00720.92] 第二个呢
[00720.92-00721.68] 大家注意
[00721.68-00723.36] 这个失贸组织的总部
[00723.36-00724.64] 不在
[00724.64-00726.76] 美国而在瑞士的
[00726.76-00727.56] 人类伐
[00727.56-00728.92] 所以在这里大家注意一下
[00728.92-00730.80] 其实在这也能够看得出来
[00730.80-00731.90] 他既然不在美國
[00731.90-00735.24] 他就不是當年的布雷克森林體積副主之下的一個產物
[00735.24-00736.68] 所以在這裡面大著一下
[00736.68-00738.36] 他是一個什麼獨立的
[00738.36-00739.96] 話出來國際組織
[00739.96-00742.24] 他不是聯合國的一個副主機構
[00742.24-00743.52] 他是獨立的組織
[00743.52-00745.80] 前面兩個是聯合國的一個下手機構
[00745.80-00747.12] 這個地方在考察的時候
[00747.12-00748.12] 我要給大家說清楚
[00748.12-00748.88] 他怎麼考
[00748.88-00752.68] 他就是會把到底他是不是聯合國的副主機構
[00752.68-00754.44] 給你混銷在一塊來考察
[00754.44-00755.70] 在這個地方就知道
[00755.70-00756.94] 他不是
[00756.94-00758.60] 他不是什麼組織是獨立的
[00758.60-00760.24] 我們所說的國際組織
[00760.24-00761.96] 只知道了他的总部
[00761.96-00764.28] 他的地位以及他的作用
[00764.28-00765.92] 那生造组织在考试过程中
[00765.92-00767.60] 比较喜欢考的是他的什么呢
[00767.60-00768.44] 原子
[00768.44-00769.88] 这些原子大家注意一下
[00769.88-00772.40] 做一个理解性的题目去掌握
[00772.40-00773.60] 但他对原子有很多
[00773.60-00775.16] 他并不是每个原子都会考到
[00775.16-00776.72] 咱们来看一下这些原子
[00776.72-00778.04] 会考哪些
[00778.04-00778.64] 人第一个
[00778.64-00780.40] 互会原子是要带掌握
[00780.40-00782.04] 他互会原子是指
[00782.04-00784.24] 注意两成员国方
[00784.76-00786.80] 两成员方在国际贸易当中
[00786.80-00788.48] 相互极与对方
[00788.48-00789.76] 贸易上的优贵代语
[00789.76-00793.72] 比如说中国和我们所说的俄罗斯是国际贸易伙伴
[00793.72-00797.84] 这种情况之下我会中国就会向俄罗斯提供一些
[00797.84-00799.24] 我们所说的是吗,优惠政策
[00799.24-00801.92] 比如说你来进行基础生产,基础投入
[00801.92-00803.64] 我给你一些相当的政策
[00803.64-00806.68] 中国去俄罗斯进行相和用的时候也会怎么样
[00806.68-00807.64] 也是一样的
[00807.64-00808.96] 在这里面叫做什么?
[00808.96-00811.96] 急于对方相互双方
[00811.96-00813.32] 我们所说的这样的优惠
[00813.32-00815.24] 这个就叫做户户与原则
[00815.24-00816.28] 大家一定要注意一下
[00816.28-00818.28] 它针对的是成为国的双方
[00818.28-00820.08] 给到的 指定有胡克演责
[00820.08-00821.60] 第二叫透明度演责
[00821.60-00823.60] 透明度演责 大家就知道透明透明
[00823.60-00825.32] 能不能藏着夜着不想
[00825.32-00828.36] 所以任何的我们所说的规则都必须要公布
[00828.36-00830.68] 如果没有公布 我现在东西遇到你国家里说
[00830.68-00831.60] 你就不行了
[00831.60-00833.52] 你这个 律师不打标啊
[00833.52-00835.44] 我说你哪有相当的这样的一个
[00835.44-00837.04] 我们所说的规则运行规范
[00837.04-00838.24] 你过拿出看想创
[00838.24-00840.36] 我们之前一直就有指问没有对外公布
[00840.36-00842.48] 那如果这样的规则不公布的话
[00842.48-00844.96] 很容易造成什么 贸易保护和引刑必来
[00844.96-00846.84] 所以在这里 什么组织就说了
[00846.84-00850.64] 成員方應當公布所知電和實施的貿易措施及變化情況
[00850.64-00851.64] 你必須公布
[00851.64-00852.76] 如果不公布的話
[00852.76-00855.04] 這些貿易措施能不能生效
[00855.04-00855.84] 不能生效
[00855.84-00857.44] 這是透明原則的要求
[00857.44-00859.04] 所以透明原則大家就繼續化
[00859.04-00860.64] 不公布不生效
[00861.64-00862.44] 大主意
[00862.44-00863.84] 不公布不生效
[00863.84-00865.04] 這是很公平的
[00865.04-00867.24] 所以在這裡大家主想不能藏了一些人
[00867.24-00868.64] 藏了一個誰跟你玩
[00868.64-00870.64] 所以透明原則在這裡強調的是
[00870.64-00872.44] 不公布不生效
[00872.44-00873.64] 這是第二個
[00873.64-00875.44] 第三一個是常準入規則
[00875.44-00878.00] 市场折入规则其实强烈的就一个点
[00878.00-00880.36] 就是他几个连些措施
[00880.36-00883.08] 比如说我们前面所说的金口虚可争
[00883.08-00884.16] 进口配合之啊
[00884.16-00886.76] 他其实都是在产品进入市场
[00886.76-00888.92] 流通给他设置了一定的门卡
[00888.92-00890.44] 你符合这些门卡之后
[00890.44-00891.56] 你才能进入市场
[00891.56-00893.80] 所以他说市场折入规则的内容包括
[00893.80-00896.16] 关税保护予渐让
[00896.16-00898.00] 你不要设置过多的干税
[00898.00-00899.12] 去干涡市场的业刑
[00899.12-00899.52] 对吧
[00899.52-00901.80] 第二个取消数量限制和透明度
[00901.80-00902.44] 连走
[00902.44-00902.92] 对吧
[00902.92-00904.36] 在这里大家一定要注意一下
[00904.36-00905.44] 數量限制不能用
[00905.44-00906.88] 那數量限制一旦設置的話
[00906.88-00909.60] 其實就是給你幾乎市場設立了一個門闖
[00909.60-00911.32] 這個叫市場準入原則
[00911.32-00913.56] 這個了解一下就請不曉大去實際
[00913.56-00915.76] 促進公平原則也簡單看一下
[00915.76-00918.04] 可能是只世界貿易組織不遠許
[00918.04-00921.40] 地約國已不公正的手段進行不公平的
[00921.96-00922.44] 貿易
[00922.44-00925.24] 那你就知道只要是方便公平競爭的
[00925.24-00926.56] 都屬於促進公平的為作
[00926.56-00928.40] 這個規則它其實從自便意識上
[00928.40-00929.08] 只能賭出來
[00929.08-00931.16] 它也不是考試當中的一個重點
[00931.16-00932.20] 經濟發展原則
[00932.20-00935.00] 虽然貿易組這維護秩序就是為了促進的經濟發展的
[00935.00-00936.80] 這個也不作為中聯長項
[00936.80-00939.76] 最後一個聯絡大概注意下要作為中聯長項
[00939.76-00941.60] 就做非歧視性聯絡
[00941.60-00944.12] 非歧視性聯絡大概注意下包括兩個
[00944.12-00947.56] 這兩個機口基本概念也好,理解題目
[00947.56-00949.92] 那首先第一個就做最會國待原則
[00949.92-00951.40] 什麼要最會國待遇呢?
[00951.40-00952.92] 可能給他畫出來
[00952.92-00957.76] 說一方承認國,將貨物貿易、服務貿易和支持產權領域
[00957.76-00959.72] 給幾月,不能給幾月
[00959.72-00961.88] 據其他國家優惠待遇
[00961.88-00964.36] 立即和無條件要繼續其他成員國防
[00964.36-00965.42] 也順在這裡面
[00965.42-00965.96] 大主意下
[00965.96-00967.14] 最會國待遇就是
[00967.14-00968.08] 你先換出來
[00968.08-00970.22] 叫做吉裕其他國家的
[00970.22-00971.36] 要
[00971.36-00973.30] 吉裕成員國
[00973.30-00974.42] 就寫在旁邊
[00974.42-00975.84] 叫吉裕其他國家的
[00975.84-00977.38] 叫吉裕他國的
[00980.54-00981.94] 吉裕成員國
[00985.80-00987.92] 吉裕他國的要繼續成員國
[00987.92-00990.02] 这里面大家注意一下 这是最后一国代
[00990.02-00991.96] 你说老师是啥意思 我觉得简单里的
[00991.96-00994.06] 国家以国家之间会签订很多的
[00994.06-00996.82] 我们所说的经济条约 这个代言应该都知道 对吧
[00996.82-00998.52] 那像这种经济条约当中呢
[00998.52-01000.34] 我们就以RCEP为例
[01000.34-01003.38] 比如说在RCEP就是我们所说的这个
[01003.38-01004.74] 组织签订之后
[01004.74-01010.18] RCEP他能扩的国家 你看包括韩国 包括澳大利亚 等等这些国家 对吧
[01010.18-01013.92] 那这些国家互相签署 或者他们加入RCEP之后
[01013.92-01016.88] 我们是需要几个这些国家 相那些优惠政策的
[01016.88-01018.52] 对吧,这个是没有什么好说的
[01018.52-01020.98] 但是有一些国家是在RCEP之外的
[01020.98-01022.32] 你比如说在这里面
[01022.32-01025.32] 我们提到的谁呢?比如说在这里提到英国
[01025.32-01025.84] 对吧
[01025.84-01030.40] 在假设英国呢,它是没有在RCEP的这个条约签署当中的
[01030.40-01033.20] 我们在进行贸易的时候突然给了英国
[01033.20-01035.16] 一个非常合理的一个政策
[01035.16-01036.60] 比如说你来中国投资吧
[01036.60-01039.52] 如果来中国投资的话呢,我给你免税
[01039.52-01040.92] 那你看这种情况之下
[01040.92-01043.72] 是我们是针对于成员国以外的
[01043.72-01045.04] 和其他国家签署
[01045.04-01047.32] 对吧 牵手了一个我们所说的同自协议
[01047.32-01048.44] 然后我给他们免税
[01048.44-01050.12] 那你给都给他们免税了
[01050.12-01051.12] 那你这种情况之下
[01051.12-01053.00] 你个成员国是不是理应在同的
[01053.00-01055.00] 行业当中应该想不到这样的一个代表
[01055.00-01056.48] 因为你们签训了相得
[01056.48-01057.92] 协议或者学约了
[01057.92-01059.40] 所以最后国代表是什么
[01059.40-01061.20] 是级月 它国的
[01061.20-01063.16] 你也要级月成员国
[01063.16-01065.96] 就是级月其它的成员国各方
[01065.96-01066.76] 也就是说
[01066.76-01069.68] 如果说你是在这个协议当中的
[01069.68-01070.96] 那你如果在协议当中
[01070.96-01071.76] 你给了A国
[01071.76-01073.52] 你就必须给必须帝帝帝帝帝帝国家
[01073.52-01074.68] 那这个就知道做什么
[01074.68-01075.68] 最后以过待遇
[01075.68-01076.48] 那如果说呢
[01076.48-01078.96] 老师我就只给协议当中的一国不也期下过呢
[01078.96-01079.80] 那这种情况之下
[01079.80-01081.00] 你就要骗命最后以过待遇
[01081.00-01082.08] 他其实是不合理的
[01082.08-01083.48] 所以最后以过待遇就理解
[01083.48-01085.68] 居于他过了要几月其他成为过
[01085.68-01086.96] 就给A就给B
[01086.96-01087.52] 就给B
[01087.52-01088.88] 你觉得这个协议当中
[01088.88-01090.08] 所有国家都在享有
[01090.08-01092.00] 那这个就要最后以过待遇
[01092.00-01094.12] 那还有一个就叫做国民待遇
[01094.12-01095.16] 国民待遇是什么呢
[01095.16-01096.32] 就是假设
[01096.32-01096.96] 现在说了
[01096.96-01100.20] 那协议当中的A国来中国投资了
[01100.20-01102.04] 那这时候来中国投资之后呢
[01102.04-01112.24] 你看,对其他成员放的产品服务和服务提供着以及支持产权和所折体用的代语,不低于本国同类产品所相对的代语
[01112.24-01117.44] 你这是现在我们都是在这个合约以及协议当中的成员国各方
[01117.44-01124.84] 那正情外之下,你来我这个国家,去进行相当的我们所说的投资也好,去进行相应的这样的一些经济建设也好
[01124.84-01130.54] 那只有請我這下我就讓你享受到和我們國家其他的企業一樣的待遇
[01130.54-01133.74] 那這個就要是嗎?就提供了待遇不低於本國
[01133.74-01136.04] 那你就是你做的外國企業來到這
[01136.04-01140.24] 那我就給你提供和我們國家在同類產品服務當中相同的種待遇
