[00000.00-00003.00] 大家好 我是结束青年的解瑞
[00003.00-00005.64] 今天我们就要进入到一个新的
[00491.06-00496.02] 而民高管文杀高台也就是我认为这个行政行为怎么样不到了
[00496.02-00500.22] 所以在整个行政派行政送的当中就会有一个核心
[00500.22-00504.46] 这个核心就是实体法也就是行政法的核心
[00504.46-00506.82] 行政法的核心一直在强调什么问题呢
[00506.82-00510.10] 大助一下行政法的核心我就显得着了
[00510.10-00512.22] 行政法的核心一直就在强调
[00512.22-00515.22] 官管名当中的这个管行政行为
[00515.22-00517.46] 到底是合理还是不合理
[00517.46-00518.90] 以及这个行政行为
[00518.90-00520.14] 他都有进出发的手叛
[00520.14-00521.98] 没有相应的法律一句
[00521.98-00525.38] 所以这是我们所说的有关于行政法行政送法
[00525.38-00526.78] 那有了这个概念之后
[00526.78-00529.14] 咱们就来把这个全数的框架树理一下
[00529.14-00530.26] 首先第一个我们说了
[00530.26-00533.50] 既然要谈到行政法谈到官管名
[00533.50-00535.18] 那这里面我们就要去了解
[00535.18-00536.86] 行政法到底是怎么回事
[00536.86-00538.42] 我们要了解行政法的什么
[00538.42-00539.86] 行政法的概数
[00539.86-00541.34] 在行政法的概数当中
[00541.34-00542.46] 我们会大家讲到
[00542.46-00544.94] 叫第一个叫行政法到底是什么
[00544.94-00546.42] 对吧任何法律他都有一个
[00546.42-00548.22] 使用的范围和借经的概念
[00548.22-00550.42] 我们先从概念上了解行政法是什么
[00550.42-00552.06] 这行政法的基本概念
[00552.06-00554.02] 第二个我们要知道行政法
[00554.02-00555.70] 他毕竟是官管民
[00555.70-00558.50] 那这个官的对经的是国家的宫权力
[00558.50-00560.02] 那这个时候我们就要了解
[00560.02-00562.86] 这个官他再去进行管理民众的时候
[00562.86-00564.38] 他要不要遵循什么原则呢
[00564.38-00566.44] 我们本身上行政法套干嘛
[00566.44-00569.26] 他要使用本制上行政法受控权的
[00569.26-00570.54] 为什么要控权呢
[00570.54-00572.26] 因为这里面的官也好
[00572.26-00573.86] 就是我们代言号的顺观
[00573.86-00574.84] 我们所说的
[00574.84-00576.68] 他们手里是有非常大的权力的
[00576.68-00578.22] 如果不对他们经控权
[00578.22-00580.52] 是个很容易对老百姓的全一进行侵害
[00580.52-00583.08] 因为他的背后是国家法律授权
[00583.08-00585.06] 他有国家公权力的形势
[00585.06-00586.78] 所以在这里如果不控权的话
[00586.78-00588.32] 这个时候我一小白鱼
[00588.32-00589.48] 对吧 你说想怎么拿你
[00589.48-00590.42] 我就怎么拿你给我
[00590.42-00591.28] 那还料得
[00591.28-00592.92] 那这种情况是想不说了
[00592.92-00595.60] 就是关管民就要对他进行控权
[00595.60-00597.44] 那如果要对我们所说的
[00598.20-00600.12] 国家机关器行控权的话
[00600.12-00601.72] 这个时候我们就要看一下
[00601.72-00605.16] 形容法他运行手销最续什么样的机会原则
[00605.16-00606.76] 所以在这里们回答讲到
[00606.76-00608.00] 叫做形容法的
[00608.00-00608.96] 提问原则
[00608.96-00610.36] 那了解了进了原则之后
[00610.36-00612.28] 我们说了既然就做关管民
[00612.28-00614.96] 条结的是关民之间的关系嘛
[00614.96-00615.48] 对不对
[00615.48-00616.80] 那这里面我们就要知道
[00616.80-00618.88] 这个所谓的代理号的刮
[00618.88-00620.80] 他到底是哪些
[00620.80-00624.32] 所以在这里们还会讲到叫做行政主体
[00624.32-00628.04] 那关管你,我们说了,既然是管我们就强调了
[00628.04-00631.00] 它是不是就是调调一个什么东西行政行为
[00631.00-00632.84] 因为它一定是做了一件什么事
[00632.84-00635.24] 管理你不服你才去告他了,对吧
[00635.24-00637.52] 所以在整个行政法当中的核心
[00637.52-00639.24] 你还是没有出现了,就是什么
[00639.24-00640.88] 就是行政行为
[00640.88-00643.68] 而这个行政行为它会有一些分类
[00643.68-00646.16] 行政行为按照它是否反复使用
[00646.16-00648.88] 可以分成具体行政行为和抽象行政行为
[00648.88-00650.40] 所以我们在行政行为当中
[00650.40-00652.20] 还要给大家去详细地去讲一讲
[00652.20-00653.48] 形狀形为的分类
[00653.48-00654.48] 所以在这里面呢
[00654.48-00657.32] 就会给大家去讲到具体形狀形为
[00657.32-00658.08] 那这里面呢
[00658.08-00661.16] 我们会大家在后面的手详细地去产视我们的一个内容
[00661.16-00662.68] 它大概是什么样子啊
[00662.68-00664.28] 那这是我们所说的
[00664.84-00666.52] 有关于形狀反案
[00666.52-00667.48] 叫关管你
[00667.48-00668.84] 但是关管你呢
[00668.84-00671.40] 那这个时候我们说了民不一定服啊
[00671.40-00672.28] 为什么不服呢
[00672.28-00674.72] 因为它可能对我的前一进行切害啊
[00674.72-00677.08] 所以在这个时候当关管民不服
[00677.08-00680.36] 或者是我们所说的这个具体形狀形为对你的
[00680.36-00683.60] 協議造成妻害的時候你就可以怎麼樣
[00683.60-00684.46] 就可以去告他
[00684.46-00686.20] 你怎麼去告這個機關呢
[00686.20-00687.26] 比如說我剛才
[00687.26-00688.94] 對吧過萬路炒紅燈的時候
[00688.94-00690.60] 對吧我說了我不是不意的
[00690.60-00692.78] 而且我也符合我們所說的
[00692.78-00693.96] 不於處罰的這個條件
[00693.96-00695.00] 它還是夠開了罰的
[00695.00-00695.96] 然後教了20分錢
[00695.96-00698.50] 這個時候我說不是錢多錢少的事
[00698.50-00700.46] 我這個人就是覺得
[00700.46-00701.42] 一馬規一馬
[00701.42-00703.10] 對吧咱就應該要規則辦事
[00703.10-00704.52] 你怎麼能隨便罰我錢呢
[00704.52-00706.72] 所以但是他把罰單給我了
[00706.72-00708.00] 我20分錢也教了
[00708.00-00709.48] 但是我心裡服務服服服
[00709.48-00710.72] 于是我去告他
[00710.72-00712.08] 我可以告他
[00712.08-00713.16] 我可以怎么告呢
[00713.16-00714.20] 第一个就是
[00714.20-00715.64] 是交警告开的发呆
[00715.64-00716.44] 我可以找谁
[00716.44-00717.44] 我找公安局嘛
[00717.44-00719.72] 对吧我可以找他的主管不能去告他嘛
[00719.72-00720.76] 所以这个时候
[00720.76-00722.40] 如果你告他你是找他
[00722.40-00723.28] 跌去告他
[00723.28-00724.12] 我们就把说
[00724.12-00724.76] 找跌嘛
[00724.76-00725.44] 而是罚我了
[00725.44-00726.32] 我就是找跌
[00726.32-00728.00] 那这种情况之下就叫做什么
[00728.00-00729.32] 就叫做醒着
[00729.32-00730.00] 复益
[00730.00-00731.32] 你是找他的
[00731.88-00732.84] 主管不能
[00732.84-00734.56] 或者他的上席机关去告他
[00734.56-00735.72] 就是找他跌去告他
[00735.72-00736.56] 那孩子犯错了
[00736.56-00737.56] 必须要找家长
[00737.56-00738.92] 那是我找家长去告
[00738.92-00740.68] 这种方式叫形正覆议
[00740.68-00742.44] 所以形正覆议找的就是什么呢
[00742.44-00743.72] 依旧是形正机关
[00743.72-00745.00] 还是形正系统的
[00745.00-00746.68] 但是如果我不找形正机关
[00746.68-00747.88] 它罚我对吧
[00747.88-00749.00] 这个时候我就怎么样
[00749.00-00750.76] 我就觉得你这种事做不好
[00750.76-00752.28] 咱就来平平理
[00752.28-00754.60] 看一下这个事到底做的对不对
[00754.60-00755.48] 我不找家长
[00755.48-00756.12] 我还可以找钱
[00756.12-00757.08] 我会找校长
[00757.08-00758.12] 所以你可以找钱
[00758.12-00759.48] 直接去找法院去告
[00759.48-00761.32] 那就说你直接找法院去告
[00761.32-00762.28] 这种去找什么呢
[00762.28-00764.52] 这种就叫做形正苏送
[00764.52-00765.16] 那当然了
[00765.16-00766.76] 在整个形正苏法当状
[00766.76-00768.28] 涉及到明告关里面
[00768.28-00772.48] 除了形容副疫情生訴訟還有一個就是國家賠償
[00772.48-00773.84] 但是還是一樣的
[00773.84-00775.88] 我們在前面反覆給大家強調了
[00775.88-00778.12] 出於大家的時間的副席的考量
[00778.12-00779.92] 我只在這個講解當中
[00779.92-00782.36] 把全國各地區大部分考試到
[00782.36-00783.84] 都會設一道的內容
[00783.84-00785.20] 來的進行一個講解
[00785.20-00787.12] 所以沒有辦法做到面面巨道
[00787.12-00789.40] 這是出於時間上的這個考量
[00789.40-00790.48] 所以在這裡面
[00790.48-00793.28] 我們就把整個形容法形容訴訟法的
[00793.28-00795.48] 大概的內容就大家數理清楚了
[00795.48-00800.08] 所以大家就明確形容法語形的訴訟法本質上是條件誰知見關起來
[00800.08-00801.56] 關民知見的關係
[00801.56-00804.24] 當然這裡的關民帶以後我們後面會大家去講
[00804.24-00810.38] 那這裡面的關民無非就兩個途徑第一個就是關管民關管民
[00810.38-00815.44] 那在這裡我們就要知道首先第一個關管民是一道叫做行政法
[00815.44-00819.00] 在這裡面關管民當中有一個非常重要的核心就是要
[00819.00-00824.46] 他管的行為我們在行政法上把管的行為稱為叫什麼
[00824.46-00826.10] 称倫叫做行政行为
[00826.10-00827.80] 所以我们会大家想训的去解
[00827.80-00832.14] 讲解关哪些属于引号当中的行政法当中的官
[00832.14-00833.54] 这个叫做行政主体
[00833.54-00836.74] 官管民这个管称倫叫做行政行为
[00836.74-00840.08] 而行政行为当中有一个分类就叫做具体行政行为
[00840.08-00841.02] 就是官管民
[00841.02-00843.42] 而之后呢又有一个叫做民宝官
[00843.42-00844.42] 那民宝官怎么告
[00844.42-00846.42] 你要么找家长找行政服役
[00846.42-00848.02] 你要么找校长对吧
[00848.02-00849.54] 找外人的视频里
[00849.54-00851.90] 找外人的你断一断这个事到对不对
[00851.90-00854.18] 那这个就叫做行政诉讼
[00854.18-00856.54] 所以你先搭建起这样的一个框架
[00856.54-00859.22] 先有这样一个红官的这样一个认知
[00859.22-00861.74] 然后我们在一草一草房里去欠套
[00861.74-00863.34] 一草一草苏里这样的话
[00863.34-00864.34] 就相对来说
[00864.34-00866.90] 形容法形容宿舟法就会轻松很多
[00866.90-00869.58] 而有关形容法形容宿舟法的考察方式
[00869.58-00870.58] 大家要注意一下
[00870.58-00871.94] 如果是形容法
[00871.94-00874.90] 它更加偏向的是理解形提目考察比较多
[00874.90-00877.26] 而宿舟法这一类的程序法
[00877.26-00880.66] 被宿记得东西可能相对来说要多一些
[00880.66-00881.94] 所以这是我们所说的
[00881.94-00884.46] 这两个板块他大概的一个基本情况
[00884.46-00886.38] 在学习当中咱们还是一样的
[00886.38-00888.14] 一定要有一个清晰的框架
[00888.14-00889.30] 把他书里清楚
[00889.30-00891.86] 这样我们去在学习这一部分内容的时候
[00891.86-00892.94] 就会相对来说
[00892.94-00894.22] 清速很多了
