[00000.00-00002.82] 放弱犯罪是主观和客观的同意
[00109.86-00112.10] 我在印象中小学六年纪下的小孩
[00112.10-00113.62] 应该都是在香港年龄比较小的
[00113.62-00115.86] 比如说七八岁八九岁的小孩
[00115.86-00117.62] 在学校搞八零世界
[00117.62-00119.98] 给人家另外一个孩子打成了重生
[00119.98-00122.54] 那就很喜欢七八岁八九岁的这种小孩
[00122.54-00124.98] 他在八零给人另外一个孩子
[00124.98-00125.98] 重生的重新往下
[00125.98-00128.22] 他能不能承担相的形式责任
[00128.22-00129.86] 那这里面就会摄一到什么
[00129.86-00131.70] 形式责任年龄的问题
[00131.70-00135.18] 所以大家其实经常看到的这些微博热素
[00135.18-00135.78] 这些内容
[00135.78-00137.78] 它其实很多都是和我们的法律
[00137.78-00139.10] 有很大这种关系的
[00139.10-00143.06] 这个地方就会涉及到叫做形式责任联令
[00143.06-00144.58] 在形式责任联令当作
[00144.58-00145.46] 大家注意一下
[00145.46-00146.90] 它分成这么几类
[00146.90-00150.30] 它的这几类第一个叫做完全形式责任联令
[00150.30-00152.50] 这个表格需要大家去掌握
[00152.50-00157.02] 因为它会考察一个实际形和理解形的题目
[00157.02-00158.50] 考实际形的题目的话
[00158.50-00160.10] 就是非常简单的考
[00160.10-00163.54] 就是说完全复形式责任的联令
[00163.54-00165.02] 是一满多少周碎
[00165.02-00166.10] 8了8了
[00166.10-00168.74] 在这里面它就是考得非常简单的非常純粹
[00168.74-00171.48] 那如果考虑外种的考虑一些形的题目的话呢
[00171.48-00172.70] 就会在这里给你设
[00172.70-00173.86] 说一下
[00173.86-00175.78] ABCD4个选择中
[00175.78-00177.58] 哪一个选上当中的小孩
[00177.58-00180.82] 应当成的相应的形式责任
[00180.82-00183.18] 那这种情况之下就会考察到什么
[00183.18-00184.36] 就会考察到
[00184.36-00186.66] 从年龄以外的具体情况
[00186.66-00189.02] 然后我们根据它的具体情况的背素
[00189.02-00190.26] 往体感当中去带
[00190.26-00190.94] 然后推
[00190.94-00192.26] 它要不要成带形式责任
[00192.26-00193.82] 所以在这里面它要注意一下
[00193.82-00195.06] 它考察这两种
[00195.06-00197.62] 那不首先来看一下这里面第一个就做
[00197.62-00202.52] 花官子就做完全复形式责任年龄
[00202.52-00204.42] 由于是你只要达到这个年龄
[00204.42-00206.12] 你犯形化当中的任何罪
[00206.12-00206.82] 那不好意思
[00206.82-00208.92] 于多成的相当的形式责任
[00208.92-00212.12] 这个就叫做完全复形式责任年龄
[00212.12-00212.72] 多大呢
[00212.72-00214.12] 同时换一下年龄就行了
[00214.12-00215.62] 在这里标注一下
[00215.62-00218.32] 就是一满16周随的犯人
[00218.32-00219.62] 这个点呢
[00219.62-00220.92] 大家一定要注意
[00220.92-00222.62] 是一满16周随
[00222.62-00225.12] 这个时候你如果实行了什么
[00225.12-00231.76] 形法当中的枪杰、枪杰、刀切、杀人、美海公安权比如说众伙交通照示
[00231.76-00235.12] 那你就应当父企形法所规定的相当的则法了
[00235.12-00237.76] 所以在这里面大主意是一满16岁
[00237.76-00240.72] 这里面会出现一个混小的烤点,大家明确
[00240.72-00243.04] 就是大家很容易把他和民法相混小
[00243.36-00244.84] 民法当中,我们说了
[00244.84-00248.84] 民法当中我们提到了交作完全民式行为的女人
[00248.84-00251.56] 民法当中的完全民式行为能力人
[00251.56-00252.52] 它是多大
[00253.28-00254.56] 18周岁
[00255.12-00263.12] 我们说了年18中随的人,我们在民传是为了做完全民事行为能力
[00263.12-00272.62] 不行了,这个不一样,同时会存天然的感觉,老实在他那个民法和行法上年龄不一样,不一样
[00272.62-00277.62] 因为他们调整的法律关系是不一样的,所以在这里面,这个点是容易红小的一个点
[00277.62-00280.66] 第二个点就是完全复行是左任的这个年龄
[00280.66-00282.78] 一万十六多岁中一和什么混淆呢
[00282.78-00286.02] 这是容易和我们一会儿会给大家去讲到的叫做
[00286.02-00288.62] 剑清左任年龄会和他相互小
[00288.62-00289.82] 我先把他写在这儿
[00291.86-00294.02] 剑清左任年龄
[00294.02-00295.90] 一会儿后面会大家讲
[00295.90-00298.10] 你要知道这个地方是容易混到
[00298.10-00299.18] 所以在这里面
[00299.18-00301.42] 第一个大家要明确是完全复
[00301.42-00303.82] 只要做了到大一天年龄了
[00303.82-00304.50] 那不好意思
[00304.50-00305.82] 你这就说叫承担
[00305.82-00307.82] 行喊上的相子责任是16
[00307.82-00309.74] 只要完全负责任的年龄
[00309.74-00312.54] 第二个就是相对负形式责任年龄
[00312.54-00315.54] 除了你的年龄是在16周岁以下
[00315.54-00318.30] 你做了哪些事也要承担相的形式责任
[00318.30-00320.18] 它分成两个階段
[00320.18-00322.22] 第一个階段同标主圈一
[00322.22-00324.46] 就是一满14不满16
[00324.46-00326.62] 也就是14到16周岁当中
[00326.62-00327.74] 你看它后面说了
[00327.74-00330.26] 说叫做饭故意杀人
[00330.26-00332.50] 故意商害之人重商或死亡
[00332.50-00334.50] 强监强节翻卫毒品
[00334.50-00337.06] 放火包炸頭方微顯物質最高
[00337.06-00338.34] 英當副形勢責任
[00338.34-00341.02] 也就是如果你在16周歲以下
[00341.02-00343.98] 14周歲以上就14到16這個期間
[00343.98-00346.14] 你不是說一點形勢責任都不負
[00346.14-00347.50] 你只對什麼負責任
[00347.50-00349.06] 你只對相對來說
[00349.06-00351.90] 受會危害性特別大的這些形勢負責任
[00351.90-00353.70] 那些同分標準一下
[00353.70-00356.70] 就做兩顧兩牆兩毒兩暴
[00356.70-00359.06] 我就在這裡邊了一個機口卷
[00359.06-00360.18] 主14到16
[00360.18-00362.26] 兩顧兩牆兩毒兩暴
[00362.26-00365.58] 两顾 固一杀人固一伤害 两强
[00365.58-00369.06] 那两强 就是强监和强杰 两毒
[00369.06-00375.58] 三卖毒品投放危险物质罪 投放危险物质罪 比如说投放毒品到警水里 对吧 这要两毒 两报
[00376.58-00383.26] 放火爆炸 所以在这里 大家注意下 两顾两强 两毒 两报 你把它记住
[00383.26-00385.82] 大家注意 这里面有一个细节是什么呢
[00385.82-00389.26] 是不是14到16周歲的人是犯这8個罪
[00389.26-00391.20] 他才入我們所說的
[00391.20-00392.66] 才承擔相的形式責任
[00392.66-00393.98] 比如說這個小孩
[00393.98-00395.42] 他現在今年15歲
[00395.42-00397.08] 這個孩子現在今年15歲
[00397.08-00398.72] 咱們在新聞上經常能看到
[00398.72-00400.60] 說犯15歲這個年齡15歲
[00400.60-00401.48] 這個小孩
[00401.48-00402.78] 他就走到大街上
[00402.78-00403.74] 看見那個
[00403.74-00406.10] 被了就是一個特別好看的包
[00406.10-00407.32] 一感覺那個包很值錢
[00407.32-00408.22] 開有打遊戲
[00408.22-00410.02] 然後他就說就沒有錢去買
[00410.02-00411.80] 這些問題發造的就多錢
[00411.80-00413.68] 他就把人家的包跟著巧了
[00413.68-00415.42] 然後裡面有三千塊錢
[00415.42-00416.66] 就是这个时候你看
[00416.66-00418.30] 它15周岁它就干嘛
[00418.30-00420.02] 它这时司乐墙节罪
[00423.02-00425.02] 15周岁它时司乐墙节罪
[00425.02-00426.26] 这个时候没跑
[00426.26-00428.18] 15周岁你时司墙节罪的话
[00428.18-00429.74] 你必然这个时候要承担
[00429.74-00430.54] 像的形容责任
[00430.54-00432.14] 但是还有可能是什么情况
[00432.14-00433.62] 还有可能是这种情况
[00433.62-00435.10] 比如说这个小孩
[00435.10-00436.06] 它现在还是什么
[00436.06-00437.90] 它现在还是15岁
[00437.90-00439.10] 然后它15周岁
[00439.10-00440.94] 它就很喜欢一些其他的一些
[00440.94-00442.86] 比如说它特别感兴趣的这些东西
[00442.86-00444.38] 然后它就走到路边
[00444.38-00445.92] 他在路上他就看到了
[00445.92-00448.14] 有一个女孩子说裂
[00448.14-00450.74] 拿了一个特别喜欢的比如说游戏机
[00450.74-00453.14] 也比如说特别好玩的这种东西
[00453.14-00454.30] 他就跟人女孩子说
[00454.30-00456.78] 姐姐能不能把那个东西给我看一看
[00456.78-00458.86] 然后这个女孩也是自己新买的游戏机
[00458.86-00460.10] 当然这是我边的
[00460.10-00461.90] 这女孩也是自己新买的游戏
[00461.90-00463.74] 他说阿姨说小朋友说不能给你
[00463.74-00465.66] 说如果你想要的他父母给你面
[00465.66-00467.38] 这个时候15岁的小孩呢
[00467.38-00469.46] 他现在就非常的生气
[00469.46-00471.50] 这个15岁这小孩特别生气
[00471.50-00472.54] 他就说你给我看
[00472.54-00474.34] 把你的目标看后打你了
[00474.34-00475.74] 于是这个小姐就以为他开玩笑
[00475.74-00477.66] 记得往前走结果的这个小孩
[00477.66-00480.10] 就上去就把这个女孩子
[00480.10-00481.74] 承烈人家是二十岁了
[00481.74-00483.30] 把这个承烈人给一顿暴走
[00483.30-00484.02] 打成了什么呢
[00484.02-00485.02] 打成了重伤
[00485.02-00486.34] 然后把他手里的这个游戏
[00486.34-00487.94] 拿下来看了两眼之后
[00487.94-00488.86] 又还给了他
[00488.86-00490.38] 那问一下这种情况之下
[00490.38-00491.26] 同们主演
[00491.26-00492.66] 他在这个过程当中
[00492.66-00494.86] 他只是想问人家要这个东西
[00494.86-00495.02] 对吧
[00495.02-00496.22] 想问人家看一看
[00496.22-00498.18] 他不是想抢节这个财务
[00498.18-00500.18] 他既然没有想抢节这个财务
[00500.18-00501.30] 没有犯抢节罪
[00501.30-00503.38] 但是在这里面实施了什么行为
[00503.38-00507.02] 它这里面实施了故意伤害之人重伤的行为
[00507.02-00509.06] 它也要付什么行为责任
[00509.06-00510.78] 原来在这里面要大家注意一下
[00510.78-00513.02] 这里面的两顾两项
[00513.02-00514.18] 两顾两报
[00514.18-00516.38] 它是不是针对的是八种罪名
[00516.38-00518.14] 大驻一下不是针对八种罪名
[00518.14-00520.14] 它针对的是八个行为
[00521.86-00523.50] 这是无论你做什么
[00523.50-00525.18] 你只要是犯了这八个行为
[00525.18-00527.22] 你就要承担相应的什么
[00527.22-00528.90] 行为责任
[00528.90-00530.58] 就是要承担相应的责任
[00530.58-00532.94] 所以这里面不是8个罪名
[00532.94-00535.32] 它针对的是8个行为
[00535.32-00536.50] 它针对是8个行为
[00536.50-00538.30] 所以大家一定要注意一下
[00538.30-00538.94] 你一定要注意一下
[00538.94-00541.22] 这个点非常非常重要
[00541.22-00543.26] 所以在这个地方大家要明确
[00543.26-00544.90] 这是我们所说的有关于
[00544.90-00547.18] 第一个就是14到14个周数
[00547.18-00549.26] 针对于8个行为
[00549.26-00550.54] 针对于18个行为
[00550.54-00551.70] 大家也明确
[00551.70-00552.70] 这是第一个点
[00552.70-00554.22] 第二个点就是在这里
[00554.22-00556.06] 如果年龄再往下下方的话
[00556.06-00557.14] 如果年龄再往下下方
[00557.14-00559.62] 就是年龄一曼12周数不满14周数
[00559.62-00562.28] 那这个时候他也要付箱的形式责任
[00562.28-00563.28] 他只对什么呢
[00563.28-00566.28] 你看叫做故意杀人故意伤害
[00566.28-00567.18] 质人死亡
[00567.18-00569.96] 会以特别惨守当质人重伤或惨集的
[00569.96-00572.52] 前几个惺烈经最高人民检察院合准
[00572.52-00574.08] 追素的应当付形式责任
[00574.08-00575.90] 也认识在这里年龄在往下的话
[00575.90-00577.92] 想要让他承担相的形式责任
[00577.92-00579.14] 限制条件是比较多
[00579.14-00580.40] 第一个限制条件是什么呢
[00580.40-00581.88] 就是不是针对八个形委
[00581.88-00583.08] 而是针对两个形委
[00583.08-00583.94] 哪两个形委呢
[00583.94-00585.22] 写上两顾
[00586.78-00588.84] 就是八个形委当中的两顾
[00588.84-00591.76] 故意杀人和故意傷害
[00591.76-00592.48] 這是兩顧
[00592.48-00593.00] 第一個
[00593.00-00594.20] 是不是實施了
[00594.20-00595.20] 故意殺
[00595.20-00595.64] 這裡面
[00595.64-00596.08] 大主意下
[00596.08-00597.44] 故意殺人沒殺好說的
[00597.44-00598.72] 故意殺人的這個行為
[00598.72-00599.32] 不作品價
[00599.32-00601.12] 我們現在來看一下故意傷害
[00601.12-00603.32] 這兩顧當中的故意傷害
[00603.32-00605.08] 是不是實施了故意傷害
[00605.08-00607.12] 他就一定要承擔相的責任
[00607.12-00607.68] 不是的
[00607.68-00609.28] 同樣在旁邊標準一下
[00609.28-00610.52] 這個故意傷害
[00610.52-00611.64] 他有要求
[00611.64-00613.00] 在上面的要求是什麼呢
[00613.00-00613.76] 是故意傷害
[00613.76-00614.68] 只死亡
[00614.68-00616.60] 會以特別殘守的造成
[00616.60-00618.04] 中傷或殘疾的
[00618.04-00620.60] 所以在这里它实施故意伤害情绪
[00620.60-00621.88] 要承担形式责任
[00621.88-00624.96] 比如说现在有一个13岁的小孩
[00624.96-00627.20] 有13岁的小孩呢走在马路上
[00627.20-00630.08] 然后现在孩子都是应该比较好长的都比较高
[00630.08-00633.84] 对吧 你看经常这段晚上大家就开玩笑说小学6年纪的小孩长一米大度
[00633.84-00634.88] 那简直了 对吧
[00634.88-00638.16] 你从外形上来看其实他完全不像一个畏程的人
[00638.16-00640.24] 那你看如果出现这种情况之下的话
[00640.24-00642.48] 一个13岁的这样的一个小孩
[00642.48-00644.80] 然后走在路上还是刚才的那个小姐姐
[00644.80-00647.32] 还刚才那小姐人问人就要游戏机人不给他
[00647.32-00649.28] 他把刚才那个小姐姐一顿做
[00649.28-00651.44] 但是打的时候没有打成中伤
[00651.44-00654.12] 而是山他的耳光山了二十个耳光
[00654.12-00656.84] 在这种情况之下他打人的这个行为
[00656.84-00657.68] 大家注意一下
[00657.68-00660.04] 他只是对这个女性造成了什么
[00660.04-00660.84] 清上
[00660.84-00662.04] 但如果清上的话
[00662.04-00663.64] 能不能承担形式责任
[00663.64-00664.76] 不承担形式责任
[00664.76-00665.68] 不承担形式责任
[00665.68-00667.04] 就越是它不是犯罪
[00667.04-00669.64] 但是它毕竟实实了对人家身体的什么
[00669.64-00670.28] 伤害行为
[00670.28-00672.08] 那你又可以在形状法上
[00672.08-00672.96] 或在迷法上
[00672.96-00674.36] 让它承担责任就行了
[00674.36-00675.32] 还是那句话
[00675.32-00677.64] 不犯罪,但并不意味着不一犯
[00677.64-00679.04] 所以在这里面大住一下
[00679.04-00680.92] 这个故意伤害它的要求是
[00680.92-00683.14] 真死亡会特别产生手段
[00683.14-00684.92] 真重伤会严重残忌的
[00684.92-00687.16] 那这意味着,如果是清商的话
[00687.96-00688.76] 怎么办?
[00688.76-00690.44] 如果是清商的话,就是
[00691.40-00694.04] 不成的形式责任,明白了吧
[00694.04-00696.44] 像这种案例在先生或当中其实是有的
[00696.44-00699.12] 这就是为什么在现在的社会当中
[00699.12-00701.40] 我们说了并不是所有的小朋友
[00701.40-00702.44] 他都是天使
[00702.44-00704.32] 有很多的小朋友他可能就是恶魔
[00704.32-00705.24] 这也是呼籲啊
[00705.24-00707.20] 就是大家有时候经常在网上呼籲说
[00707.20-00708.60] 这个形式子人年了
[00708.60-00710.04] 还是要记忆不得怎么样
[00710.04-00711.12] 还是要记忆不得
[00711.12-00711.68] 现缩
[00711.68-00715.04] 大家应该是看到了这个呼声的
[00715.04-00715.28] 对吧
[00715.28-00717.80] 就是大家经常会讨论的这样的一个话题
[00717.80-00718.56] 它这样的话
[00718.56-00720.52] 它其实是社会因素上有很多
[00720.52-00721.44] 一方面就是
[00721.44-00723.08] 可能来自于我们所说的这个
[00723.08-00723.80] 教育问题
[00723.80-00724.08] 对吧
[00724.08-00725.56] 无论是学校还是家庭
[00725.56-00727.84] 它其实都是一个非常大的一个责任的条
[00727.84-00728.68] 来自于家庭对
[00728.68-00731.16] 孩子的教育会来自于学校对孩子的教育
[00731.16-00732.48] 现在这个教育问题上
[00732.48-00734.16] 社会当中也会存在一些
[00734.16-00736.72] 某段,对吧,一个原生家庭对一个小朋友的影响
[00736.72-00738.76] 他其实非常大的,这是第一个问题
[00739.02-00741.52] 第二个问题,这是现在的这个网络
[00741.72-00742.60] 太发达了
[00742.86-00746.20] 我不是说网络平坦不好,他其实是一把巨大的双人间
[00746.44-00750.04] 用了同学,就是说,你看他天天晚上在这些这个线这个
[00750.04-00751.32] 又先辣到一些那个
[00751.32-00752.60] 他先给谁看
[00752.60-00754.52] 他先给的是正位成的人看的
[00754.52-00756.24] 大家现在去看什么抖音
[00756.24-00758.92] 短视频平台是包空艺术的逼战等等的
[00758.92-00762.20] 他其实都会谈出来一个青少年或者青年怎么样
[00762.20-00765.40] 这帮小孩他现在在处在现在这个阶段
[00765.40-00769.48] 他其实是没有特别强的一个变别是非的能力的
[00769.48-00771.00] 他只会去模仿
[00771.00-00773.00] 他觉得很酷的这样的情况
[00773.00-00775.24] 大注意孩子是我们国家的未来
[00775.24-00776.92] 如果让他过早的接触
[00776.92-00778.76] 我们所说的现在的这些网络
[00778.76-00781.78] 他其實對他造成的證明影響其實非常非常大的
[00781.78-00783.94] 如果所有的人都覺得做網紅賺錢
[00783.94-00786.32] 做網紅確實有很多人他是賺到錢了
[00786.32-00788.32] 但是真的是性存者偏差呀
[00788.32-00789.88] 所有人都去做網紅的話
[00789.88-00790.92] 那我就不讀書了
[00790.92-00793.42] 但是讀書又是大多數人改變命運的
[00793.42-00795.40] 他一條非常有消的一種途徑
[00795.40-00797.32] 所以我們經常說他在網上去線
[00797.32-00799.48] 他大部分一部分的原因就是他線
[00799.48-00802.76] 他確實是可能是出於某些證據原因的需要過其他原因
[00802.76-00803.84] 但是還有一部分
[00803.84-00807.32] 就是來自於我們國家的這些未來的這些花朵們
[00807.32-00809.24] 我们如何去规避到这些问题
[00809.24-00810.20] 有样学样
[00810.20-00811.44] 他觉得强节很酷
[00811.44-00812.56] 他就去强了
[00812.56-00813.96] 他觉得杀人很酷
[00813.96-00815.20] 他就去模仿了
[00815.20-00816.08] 因为所有的小儿
[00816.08-00817.00] 他都觉得他有误想
[00817.00-00819.00] 他没有这种非常明确的
[00819.00-00820.44] 这种是非关年的
[00820.44-00821.32] 那这种情况之下
[00821.32-00822.36] 我们就是发现
[00822.36-00823.84] 他其实会带来一些
[00823.84-00826.80] 很复免的一些影响
[00826.80-00828.32] 大家在晚上看到这些留言
[00828.32-00830.20] 并不一定都是成员人的留言
[00830.20-00832.36] 也可能是未成员人的这种留言
[00832.36-00836.20] 所以大家一定还是要正式这样的一个问题
[00836.20-00837.52] 所以在这里面打住一下
[00837.52-00840.84] 这是我们所说的12到14周碎的孩子
[00840.84-00842.16] 两顾行为
[00842.16-00844.40] 但这个顾一生还要求是重上
[00844.40-00846.84] 清上它不能承担行事责任
[00846.84-00848.84] 在这打住一下这第二期间
[00848.84-00852.28] 第三个就是12到14周碎的孩子
[00852.28-00854.32] 如果翻了两顾行为的话
[00854.32-00856.36] 是不是一定要承担行事责任
[00856.36-00857.84] 还有一个承训上的要求
[00857.84-00859.40] 这个承训上的要求是什么的
[00859.40-00861.48] 这个点是一个单独的
[00861.48-00864.32] 细节上的实际行的单约体
[00864.32-00867.00] 就是要进入最高人民检察院合准去诉
[00867.00-00868.80] 如果最高检没有合准的话
[00868.80-00869.56] 大家注意一下
[00869.56-00871.56] 那他也不复相当的形式责任
[00871.56-00873.52] 所以在这里12到10次的都随
[00873.52-00876.48] 第一个在10至少要求有两顾行为
[00876.48-00879.16] 但会上还要求重上清上不复行则
[00879.16-00882.08] 第二个在城序上必须是最高检合准
[00882.08-00883.28] 这里面就容易考试
[00883.28-00885.16] 有最高法合争起诉
[00885.16-00886.08] 那就不对了
[00886.08-00887.24] 是最高检
[00887.24-00889.24] 最高人民检察院合争起诉才可以
[00889.24-00893.44] 这个就叫做相对付形式责任年龄
[00893.44-00895.44] 这是点二一个大助一下
[00895.44-00897.78] 那第三一个就是完全补复
[00897.78-00899.04] 那完全补复就是
[00899.04-00901.32] 它如果是不满12周岁的话
[00901.32-00903.10] 它无论实施合作为害的行为
[00903.10-00904.44] 都补复行实责任
[00904.44-00907.38] 补复行实责任只是不入行法不犯罪
[00907.38-00909.16] 但是并不意味着它不違法
[00909.16-00911.34] 这时候就可能其中其他的法律了
[00911.34-00912.00] 明白吧
[00912.00-00914.18] 所以在这里这是完全补复
[00914.18-00915.64] 所以这里面哪个是哪个呢
[00915.64-00916.06] 大家注意一下
[00916.06-00918.02] 这里面最难的其实是相对复
[00918.02-00919.80] 形式责任年龄的这个点
[00919.80-00921.00] 因为它比较复杂
[00921.00-00924.80] 那大家在年齡接斗花分的时候就是14到168个行为
[00924.80-00926.80] 12到142个行为
[00926.80-00928.40] 那这两个行为有两个细节
[00928.40-00932.00] 一个是清商一个是最高简核准置诉
[00932.00-00933.32] 所以在这里面打注意
[00933.32-00935.56] 这是前三个阶段完全复
[00935.56-00937.56] 相对复和完全不复
[00937.56-00939.48] 那还有一个呢就叫做限制条件
[00939.48-00940.84] 这个限制条件叫什么呢
[00940.84-00943.40] 它其实叫做剪轻子执着年龄
[00947.00-00949.72] 现在跑明天就叫剪轻子执着年龄
[00949.72-00951.52] 这个減轻责任联令的话
[00951.52-00954.20] 他其实不是刚才的形式责任联令的话分
[00954.20-00955.92] 形式责任联令的话分是看你
[00955.92-00957.28] 把被打到这个联令
[00957.28-00959.96] 要不要求承担相的形式责任
[00959.96-00962.40] 这个地方是你打到要求了
[00962.40-00963.80] 要不要承担形式责任
[00963.80-00964.76] 就是你联令
[00964.76-00967.04] 他是你承担形式责任的一个界限
[00967.04-00970.32] 而下面这个心日条件或者是減轻责任联的是什么呢
[00970.32-00971.60] 就是你已经换罪了
[00971.60-00974.56] 也已经定下来你必须要承担相的形式责任了
[00974.56-00976.40] 只问你在承担相应形式责任
[00976.40-00977.36] 给你形化的时候
[00977.36-00979.64] 要不要考虑特従情况少法一些
[00979.64-00982.04] 这个叫做简青则人年龄
[00982.24-00984.92] 这个简青则人年龄就是我刚才在这里给大家说的
[00985.04-00986.44] 它容易混小的一个点
[00986.44-00987.60] 哪个点就在这
[00987.60-00990.24] 你看完全负行则人年龄是16岁
[00990.24-00993.00] 我说了那明法当中规定的是18周岁
[00993.00-00995.24] 是完全明是行则人的那女人
[00995.44-00998.32] 还有一个就是简青则人年龄当中
[00998.32-00999.24] 你看一下
[00999.24-01001.64] 简青则人年龄里面他说的是什么呢
[01001.64-01005.44] 在这里说一满12不满18周岁的人
[01005.44-01006.12] 看到了吗
[01006.12-01007.84] 这里面出现了什么18
[01007.84-01009.08] 那这时候我们说了
[01009.08-01012.00] 在民法议上或者是在生理学议上
[01012.00-01013.44] 他在18周岁一下
[01013.44-01017.08] 他我们被认为就是他的世界观的大建也好
[01017.08-01018.68] 他对这个世界认知也好
[01018.68-01021.80] 并没有一个非常完整完善的这样的一个体系
[01021.80-01022.20] 对吧
[01022.20-01023.40] 那这种情况之下
[01023.40-01025.52] 12到18周岁的人犯罪
[01025.52-01027.40] 犯罪就要成了相的形式责任
[01027.40-01029.48] 那这个时候只过几率他的形法怎么办
[01029.48-01030.36] 同时坏下
[01030.36-01031.56] 把阴当圈出来
[01031.56-01034.40] 叫阴当从轻或者是减轻
[01034.40-01036.16] 这个点大主要在这里面
[01036.16-01038.16] 就是存脆的给你玩文字有系了
[01041.60-01044.36] 这个点就是在这里存脆的给你玩文字有系了
[01044.36-01047.64] 为什么把这个看叫阴当重新或检称触法
[01047.64-01050.80] 他可以给你说阴当重新检称混面出触法
[01050.80-01052.56] 面出不面出
[01052.56-01053.92] 你既然犯了形式责任
[01053.92-01056.16] 你需要重大相的形子
[01056.16-01057.52] 你需要重大相的形法
[01057.52-01059.32] 你必须要对你的行为副责的
[01059.32-01061.76] 所以他这里是要重新或是检称
[01061.76-01062.52] 明白吧
[01062.52-01064.12] 还有一种同学们
[01064.12-01066.80] 判断第二种12到18周岁
[01066.80-01069.84] 就是一满12不满18周岁的人犯罪
[01069.84-01072.40] 可以从轻或简行触发
[01072.40-01073.40] 是可以吗
[01073.68-01074.72] 是应当
[01074.72-01076.72] 所以这个地方玩什么文字游戏
[01076.72-01078.12] 好吧 我再写的直白一点
[01078.12-01079.92] 他就会在这里跟你玩文字游戏
[01085.88-01087.48] 就在这里跟你玩文字游戏
[01087.48-01088.96] 所以在这里你看一下
[01088.96-01090.60] 对吧 你要注意一下细节
[01090.60-01092.12] 就要应当从轻或简行
[01092.12-01094.12] 那如果是1.75多岁的人呢
[01094.12-01095.68] 1.175多岁的人
[01095.68-01097.56] 我们都认为他的年龄相对人说怎么样
[01097.56-01098.52] 有点太大了
[01098.52-01101.32] 这时候行法就要考虑一下
[01101.32-01102.16] 可能遭不住
[01102.16-01102.56] 对吧
[01102.56-01104.08] 所以1.75多岁的人
[01104.08-01106.08] 注意过一番最的
[01106.08-01107.36] 可以怎么办
[01107.36-01109.08] 从轻或者是减轻
[01109.08-01111.08] 过一番最主观恶心会比较大
[01111.08-01112.24] 比如说我们经常
[01112.24-01113.36] 也不能说经常了
[01113.36-01115.56] 就是在行事司法案间当中左右
[01115.56-01116.96] 那都70多岁
[01116.96-01118.48] 快就80岁能老人
[01118.48-01118.92] 对吧
[01118.92-01120.04] 把人家人给杀了
[01120.04-01121.32] 还给人家之几了
[01121.32-01123.32] 你看很明顯這是故意犯罪的
[01123.32-01125.28] 你說這麼惡劣的情況
[01125.28-01128.20] 如果說給他免除出發的
[01128.20-01130.08] 這時候也受不過去
[01130.08-01130.40] 對吧
[01130.40-01131.76] 所以可以從清和簡清
[01131.76-01132.88] 但是也可以不從
[01132.88-01133.28] 沒辦法
[01133.28-01134.08] 這是在這
[01134.08-01135.68] 當然如果是故事犯罪
[01135.68-01137.00] 那這種情況之下是什麼
[01137.00-01137.96] 話一下應當
