[00000.00-00005.00] 好的 那了解了前眼知道了民法怎么考怎么学之后呢
[00005.00-00007.00] 我们就正式进入到民法的学习
[00103.32-00105.04] 民法套底調整什麼
[00105.24-00106.16] 因為我們在生活當中
[00106.16-00107.40] 總說你犯法了
[00107.56-00109.12] 那犯法了和犯罪了
[00109.12-00110.56] 他本身是兩個概念對吧
[00110.56-00112.16] 你如果說這個人犯罪
[00112.16-00115.16] 它是刑法的調整方給
[00115.16-00116.56] 但這個如果犯法了
[00116.56-00118.20] 這個時候它就可能會睡到
[00118.20-00120.16] 我們所說的刑政法和民法
[00120.16-00121.60] 比如說每一個部門法
[00121.60-00123.72] 它都有自己的使用範圍
[00123.72-00125.80] 那民法的使用範圍是什麼呢
[00125.80-00127.40] 這個就是我們所說的
[00127.40-00130.24] 民法它的一個調整的基本關係
[00130.24-00132.64] 我們來看一下民法它調整的關係是什麼
[00132.64-00133.68] 我先給大家說
[00133.68-00135.20] 這個調整的基本關係
[00135.20-00136.88] 它有兩個個考點
[00136.88-00138.64] 第二個考點就是我們所說的
[00138.64-00140.40] 民法調整的對象是什麼
[00140.40-00142.40] 它会考察一个实际型的
[00142.40-00143.44] 单身体
[00143.44-00144.16] 第二一个
[00144.16-00146.28] 在这个民法调整的关系当中
[00146.28-00148.36] 会考一些理解型的题目
[00148.36-00149.96] 让我们去变形
[00149.96-00151.40] 给你一个事
[00151.40-00152.72] 然后让你去变形
[00152.72-00155.76] 它到底属于民法调整的范围
[00155.76-00158.52] 这个时候它就会考一个理解型的题目
[00158.52-00161.00] 所以在整个民法调整的关系当中
[00161.00-00162.04] 两个考点
[00162.04-00164.84] 我们先来看一下第一个层次的考点
[00164.84-00165.84] 同们可以标注一下
[00165.84-00166.84] 圈一
[00166.84-00167.44] 它说
[00167.44-00168.56] 民法调整的是
[00168.56-00169.84] 我画啥你画啥
[00169.84-00173.24] 民法調整是平等主體,把平等主體化出來
[00173.24-00175.44] 民法調整是平等主體的
[00175.44-00180.08] 在人法人和非法人組織要此之間的第三個
[00180.08-00183.44] 人生關係,以及財產關係
[00183.44-00186.24] 這個就是民法調整的關係
[00186.24-00190.56] 這個點在考試的過程當中考理解行的題目
[00190.56-00194.20] 咱們還是老規矩,我用LO代表理解
[00194.20-00196.42] 好吧,就是这个地方他不会直接考
[00196.42-00198.54] 他会考一个我们所说的
[00198.54-00201.38] 按立,考一个按立,然后就问
[00201.38-00205.72] 他到底,或者说这个事,他到底属不属于民坏的调整犯位
[00205.72-00208.84] 那么想看一下他是不是民坏的调整犯位的话
[00208.84-00212.04] 那在这里面其实就是要把民坏调整的之间话
[00212.04-00213.74] 就一个进行拆解
[00213.74-00214.72] 怎么拆解呢?
[00214.72-00217.00] 我们来看一下,首先第一个他说了
[00217.00-00221.64] 民坏调整的是平等主体之间的人生关系和参争关系
[00221.64-00222.10] 对吧
[00222.10-00225.86] 所以在这里面第一个点,就是要求我们掌握的是平冷主体
[00225.86-00229.22] 那如果在一个体育当中,大家注意一下
[00229.70-00232.14] 他给到了说A
[00232.14-00233.10] 这个小A
[00234.10-00237.34] 小A,小A去参加我们所说的什么呢?
[00237.34-00238.54] 就压运会了
[00238.54-00239.10] 对吧
[00239.10-00240.86] 小A去参加压运会的时候
[00240.86-00243.22] 干嘛呢?开始随利图毫
[00245.46-00246.66] 不仅随利图毫
[00246.66-00248.14] 太随利大可便了
[00248.14-00251.82] 那这种情况,这家随利图毫要随利的小便也好被出发了
[00251.82-00255.40] 发了多少钱被处罚了 假设 发了200块钱
[00255.40-00257.70] 或者说什么形状拘留
[00257.70-00259.76] 这个是形状法的那种咱们后面再说
[00259.76-00262.56] 假设的它在这个地方随利图它随大一倍
[00262.56-00265.64] 它被当地的有关部门 发了200块钱
[00265.64-00266.40] 然后说
[00266.40-00269.74] 这一个时间它是不是受民法调整的
[00269.74-00270.76] 大注意下
[00270.76-00272.56] 小 A被罚这个事
[00272.56-00273.84] 它就不受民法调整了
[00273.84-00275.12] 你说老实这是为什么呢
[00275.12-00276.66] 因为小 A被罚
[00276.66-00278.44] 罚它的那个部门
[00278.44-00281.68] 他和小业之间是不是平冷主体之间的关系
[00281.68-00286.40] 他和小业之间其实不是平冷主体之间的关系
[00286.40-00291.36] 因为平冷主体他一定是我们所说的人羽人之间人羽企业之间
[00291.36-00295.24] 或者是正常市场买卖之下的政府和个人之间的关系
[00295.24-00297.64] 所以在这里面的第一个点大家注意一下
[00297.64-00299.80] 平冷主体之间的关系
[00299.80-00301.28] 第一个就要求一定是什么
[00301.28-00305.36] 一定是我们所说的当时或者是双方到时
[00305.36-00307.60] 他们之间的地位关系是平冷的
[00307.60-00309.00] 那也就意味着在这里面
[00309.00-00310.08] 我要明确的一个点
[00310.08-00313.72] 就是受行政法律关系调整的
[00313.72-00315.20] 不受民法调整
[00315.20-00316.56] 所以在这里面
[00316.56-00318.16] 我用ABCD来表示
[00318.16-00318.44] 好吧
[00318.44-00319.36] 所以第一个点
[00319.36-00320.20] 大家要在这里
[00320.20-00321.88] 去给它简单的标注一下
[00321.88-00322.72] 就是
[00323.16-00324.92] 数于行政法律关系的
[00324.92-00326.40] 不受民法调整
[00328.32-00332.12] 数于行政法律
[00334.28-00335.24] 关系的
[00335.24-00338.96] 不受民法挑政
[00338.96-00340.80] 为什么不受民法挑政
[00340.80-00343.28] 因为他们之间是不是评论主席
[00343.28-00345.68] 他们之间就不是评论出席了
[00345.68-00347.72] 所以你如果在天安当中看到说
[00347.72-00349.00] 政府他出来了
[00349.00-00351.40] 之后他实施了形证虚可
[00351.40-00352.76] 形证强制
[00352.76-00355.76] 形证之中形证值形等等
[00355.76-00359.08] 这是政府用权力去进行管理的时候
[00359.08-00360.28] 那这种情况之下
[00360.28-00362.56] 他就不是评论主席了
[00362.56-00363.32] 所以在这里面
[00363.32-00364.72] 大家要明確第一個點
[00365.12-00367.76] 他容易考一個案例讓我們去判斷
[00367.76-00369.76] 只是第一個需要我們去掌握的
[00369.76-00370.68] 只是第一個點
[00370.92-00373.00] 那第二個點就是法律
[00373.00-00375.40] 或者是民法他調整是平等主體
[00375.40-00376.24] 什麼的行為
[00376.24-00379.04] 平等主體之間的行為
[00379.04-00381.68] 所以第二個同樣在這裡標誦之間
[00381.68-00383.48] 如果是這個之間有什麼用呢
[00383.48-00386.56] 那就因為如果他是你個人的活動
[00386.56-00388.28] 不受民法調整
[00390.76-00391.40] 在這裡
[00391.40-00394.60] 个人的活动不受民法调整
[00398.20-00399.80] 个人的活动不受民法调整
[00399.80-00402.04] 比如说他给到这样一个案例
[00402.04-00405.08] 说小A每天早上9点起床
[00405.08-00407.96] 然后起床之后又在床上睡了半个小时
[00407.96-00409.20] 所以半个小时之后
[00409.20-00411.68] 然后吃个早饭出去跑步
[00411.68-00413.48] 然后盘不之后回来读书
[00413.48-00415.68] 然后问那他的这一系列的行为
[00415.68-00417.52] 是不是民法调整的饭来
[00417.52-00418.36] 不是
[00418.36-00419.56] 因为在这里不说了
[00419.56-00423.88] 民法調整的是什麼?是平冷主體之間的關係
[00423.88-00426.08] 小一剛才做了那麼多事
[00426.08-00427.96] 這就是小一自己一個人做的
[00427.96-00430.60] 所以這是屬於他的什麼?個人活動
[00430.60-00433.24] 個人活動是不受民法調整的
[00433.24-00435.64] 所以大家注意一下這是第二個點
[00435.64-00436.36] 這第二個點
[00436.36-00437.64] 就直接
[00437.64-00441.76] 那我們所說的平冷主體之間的什麼關係?
[00441.76-00445.16] 第三個部分就是他調整平冷主體之間的
[00445.16-00447.24] 人生關係和財產關係
[00447.24-00451.44] 所以民法調整是平冷主體之間的人生關係
[00451.44-00457.60] 這個人生關係他其實就排除了一些所說的其他的情況
[00457.60-00459.84] 也就是在這裡同一個標準一下
[00459.84-00463.20] 有一些關係他其實是不受民法調整的
[00463.20-00465.28] 因為不受民法調整這些人生關係
[00465.28-00467.48] 他純粹都會受到道德的調整
[00467.48-00470.32] 這些他也不算做民法調整的範圍
[00470.32-00472.52] 所以在這裡同一個標準在旁邊
[00472.52-00481.16] 就是不能产生法律效果的
[00481.16-00484.56] 不能产生法律效果的人生关系
[00484.56-00490.28] 那这种情况之下是不是就不在我们所说的什么法律调整的范围之内呢
[00490.28-00492.48] 那哪些我们所说的人生关系
[00492.48-00494.40] 他不在民法的调整范围之内呢
[00494.40-00501.32] 最后一场见的就是联爱关系
[00501.32-00506.08] 所以常见就联会关系法律官外的台连法律不管台连比如说现在
[00506.08-00509.56] 对吧大家就要考试单位考试或者参加公园的考试
[00509.56-00512.56] 然后突然有一天的女朋友就对你说说啥呢
[00512.56-00517.40] 说如果你考上了世界单位或者如果你考上了什么国家公园
[00517.40-00520.44] 我就嫁给你结果你考上了之后他没有嫁给你
[00520.44-00522.28] 你能那么去法院起诉啊
[00522.28-00522.96] 不行
[00522.96-00523.40] 为啥
[00523.40-00526.56] 因为联会关系他属于道德调整的氛围
[00526.56-00528.76] 联会关系受不受民法调整
[00528.76-00531.38] 戀愛范围不受民法挑政
[00531.38-00533.50] 所以在這裡大家一定要注意
[00533.50-00534.62] 所以這是第一個
[00534.62-00537.50] 需要我們去掌握的內容這是第一個點
[00537.50-00538.74] 那第二個點是啥呢
[00538.74-00541.38] 第二點就是我們所說的朋友關係
[00543.98-00546.10] 朋友關係他也屬於人生關係
[00546.10-00547.54] 但是他不在什麼
[00547.54-00549.80] 他不在法律調整的范围之內
[00549.80-00551.10] 因為你和你的朋友聊天
[00551.10-00553.60] 經常會聊一些八話,聊一些小刀消息
[00553.60-00555.14] 那你在聊小刀消息的時候
[00555.14-00556.40] 他突然跟你說了一個事
[00556.40-00558.74] 他說我今天在網上看了一個人
[00558.74-00561.34] 说呢,这个人,他算命算得特别得嘴
[00561.34-00564.34] 然后他就算出了下期双色球的后满
[00564.34-00566.74] 然后我觉得他说得挺对
[00566.74-00569.38] 然后你就后期安车,他算得双色球的话
[00569.38-00570.14] 马是多少
[00570.14-00571.14] 然后巴了巴了给你说
[00571.14-00572.34] 你说我现在我就去买
[00572.34-00574.94] 结果你花了好多全去买这个双色球
[00574.94-00578.14] 结果这个双色球开奖的声,这么中奖,没中奖
[00578.14-00581.94] 能不能在这个过程当中去听了你朋友的小段小姐
[00581.94-00584.74] 然后没有中奖之后,你去反映去起诉他
[00584.74-00587.14] 然后他骗你,他欺诈你,他欺诈你,行不行
[00587.14-00588.38] 你如果这么玩的话
[00588.38-00589.78] 你说你后就没朋友了
[00589.78-00591.58] 所以在这里大家能够看到啊
[00591.58-00594.58] 如果是朋友之间的这些关系来自于小刀消息
[00594.58-00596.50] 从而你进行了消息的明是活动
[00596.50-00598.98] 他再不在民法调整的犯队之内
[00598.98-00601.46] 他不在民法调整犯队之内
[00601.46-00602.50] 这种话能兴稳
[00602.50-00603.94] 你还信算命有你这
[00603.94-00604.90] 你不找骗吗
[00604.90-00605.22] 对吧
[00605.22-00606.50] 所以在这里大家注意啊
[00606.50-00608.66] 不能产生法律效果的人生关系
[00608.66-00611.70] 经常会考的就是厉害关系和朋友关系
[00611.70-00614.34] 这个点如果出现在按例当中
[00614.34-00615.22] 要能够判断
[00615.22-00616.90] 他不是民法会调整犯队
[00616.90-00619.18] 这是第3个
[00619.18-00622.08] 第4个就是民法会调整什么财产关系
[00622.08-00623.74] 财产关系内容太多了
[00623.74-00624.10] 对吧
[00624.10-00626.34] 是不是所有的财产关系都受民法调整呢
[00626.34-00627.14] 也不是
[00627.14-00628.54] 所以在这里面大家注意一下
[00628.54-00629.62] 再旁边注意一下
[00630.62-00633.10] 不能产生司法效果的
[00634.66-00637.30] 不能产生司法效果的
[00638.98-00641.30] 我们所说的财产关系
[00641.30-00645.06] 不能产生司法效果就因为它不受民法调整
[00645.06-00650.24] 那这些我们所说的法律关系都哪些呢
[00650.24-00651.68] 有两个方向啊
[00651.68-00653.70] 第一个呢就叫做好意识会
[00653.70-00655.06] 好意识会呢
[00655.06-00655.90] 大家注意
[00657.90-00660.38] 它是不受民法挑政的
[00660.38-00661.90] 什么叫做好意识会呢
[00661.90-00664.78] 好意识会呢就是意味着就是请意行为
[00664.78-00667.06] 就是我帮你去做一件事或者是
[00667.06-00668.62] 我跟你分享什么事
[00668.62-00670.14] 你最为常见的就是
[00670.14-00672.34] 就你比如说你在那个火车上
[00672.34-00673.60] 然后你下一站马上就到
[00673.60-00675.40] 但现在实在是困的不行了
[00675.40-00677.20] 然后在这里你就跟他说
[00677.20-00679.40] 能不能跟你旁边的人说
[00679.40-00680.80] 你能不能到下一站的时候
[00680.80-00682.00] 然后你叫我下车
[00682.00-00683.40] 他说没事 什么事吧
[00683.40-00684.80] 结果你俩都睡过头了
[00684.80-00687.40] 那这种情况下你因为做过站
[00687.40-00688.60] 然后没有办法
[00688.60-00690.00] 你要花钱在折腹
[00690.00-00691.80] 折反到原来的这个站点
[00691.80-00693.40] 那这里面能不能说
[00693.40-00695.60] 因为你跟那个人说他叫你
[00695.60-00697.20] 结果他没有叫你做过站了
[00697.20-00700.20] 你多余的这个肺有让另外一个人承担了
[00700.20-00700.80] 不行的
[00700.80-00702.80] 这个行为就是我们常说的什么
[00702.80-00703.64] 好意识会
[00703.64-00706.20] 所以邀请什么看演出
[00706.20-00706.56] 对吧
[00706.56-00708.68] 或者是火车到战的教行
[00708.68-00710.08] 我把他具体写的旁边
[00710.08-00710.36] 对吧
[00710.36-00712.20] 火车到战的教行
[00712.48-00713.96] 他属于好意识会行为
[00713.96-00715.36] 这是我帮你是
[00715.36-00716.00] 请问
[00716.00-00716.72] 不帮你是
[00716.72-00717.92] 本分
[00718.56-00719.52] 那这种情况之下
[00719.52-00720.44] 这个行为
[00720.44-00721.76] 他其实是不说
[00721.76-00722.88] 民法调整的
[00722.88-00724.56] 或者就是我们经常看到的
[00724.56-00725.00] 还有什么
[00725.00-00726.64] 还有给你指路的
[00728.96-00729.36] 对吧
[00729.36-00730.84] 你经常就是走迷路了
[00730.84-00731.68] 走迷路了
[00731.68-00732.04] 之后
[00732.04-00733.20] 你也不知道哪是哪了
[00733.20-00735.24] 然后你就看到路边的有一个环维公然
[00735.24-00736.00] 然后你就跟哪说
[00736.00-00737.20] 说大爷能告诉我
[00737.20-00738.00] 往哪儿走吗
[00738.00-00739.00] 大爷告诉你说
[00739.00-00740.28] 你先往东三里
[00740.28-00741.40] 在往西五万米
[00741.40-00742.20] 在往南
[00742.20-00742.80] 两百米
[00742.80-00744.32] 然后在往北两公里
[00744.32-00746.16] 然后就可以告赶你的目的地了
[00746.16-00747.84] 但是你也不分东西南北
[00747.84-00750.24] 在这过程当中走的越走越远
[00750.24-00751.84] 你原本距离你的目的地
[00751.84-00752.56] 只有两百米
[00752.56-00753.16] 结婚走了
[00753.16-00754.68] 是很方便距离你的目的地
[00754.68-00755.72] 有两百公里
[00755.72-00756.56] 那这种情况之下
[00756.56-00758.52] 你越有富俄爱的费用
[00758.52-00760.48] 然后再回到你的目的地区
[00760.48-00762.00] 能不能说这个费用之出
[00762.00-00764.40] 植路的大也跟承擔不醒
[00764.40-00766.32] 这个无常植路它属于什么行为
[00766.32-00768.48] 它属于好意失贵的行为
[00768.48-00770.64] 所以好意失贵行为在这里
[00770.64-00772.52] 它不属于我们所说的什么
[00772.52-00774.40] 民法调整范围内
[00774.40-00775.92] 这是我们所说无常植路
[00775.92-00777.28] 甚至包括我们所说的啥
[00777.28-00778.16] 请客吃饭
[00778.16-00779.84] 你请你的朋友吃饭
[00779.84-00781.64] 但是你的朋友没有来
[00781.64-00783.84] 你这个时候能不能去反应告他
[00784.96-00785.68] 那么小
[00785.68-00787.20] 如果在这里面请客吃饭
[00787.20-00788.20] 它爽约的话
[00788.20-00788.92] 打着注意下
[00788.92-00790.24] 请客吃饭它爽约
[00790.24-00793.20] 这个也是正常的日常生活行为
[00793.20-00795.64] 他也不在民法的调整发员当中
[00795.64-00797.64] 但是请客失费他不产生
[00797.64-00799.36] 我们所说的这种人生关系
[00799.36-00801.84] 但并不意味着他不会发生清权
[00801.84-00803.04] 吃饭就好吃饭
[00803.04-00804.52] 反而人却就对吧
[00804.52-00807.08] 那几例却就他其实可能会造成清权的
[00807.08-00809.52] 但是我们只是说吃饭爽约的这个事
[00809.52-00811.60] 他不属于民法调整发员
[00811.60-00813.60] 所以在这里第一个好意失费
[00813.60-00815.28] 他应该能够知道啥意思
[00815.28-00815.84] 对吧
[00815.84-00817.32] 他不是民法调整的
[00817.32-00818.68] 发员这是第一个
[00818.68-00819.50] 那第二个呢
[00819.50-00820.88] 就是我们所说的啥呢
[00820.88-00821.50] 还有一件事
[00821.50-00824.18] 他也不在民法的调整范围当中
[00824.18-00826.00] 就是细细形为
[00826.00-00827.24] 所以的细细形为呢
[00827.24-00829.18] 就是要开玩笑说大话
[00830.36-00832.30] 反显法语呢叫细细形为
[00832.30-00833.80] 但是我们用老百姓的话来说呢
[00833.80-00834.80] 就是开玩笑
[00839.20-00840.34] 细细形为
[00840.34-00841.46] 我其实在旁边
[00841.46-00843.52] 就是开玩笑说大话
[00845.48-00846.58] 那一般情况之下
[00846.58-00848.58] 像这种细细形为呢
[00848.58-00849.86] 他如果
[00850.12-00850.88] 只对方
[00851.14-00853.18] 就是你听起来这种东西特别礼谱的
[00853.44-00854.72] 他其实也不发生
[00854.98-00856.52] 民法调整的这样的一个效果
[00856.78-00858.04] 所以在这里面大家要注意一下
[00858.30-00859.84] 这是所给到的这些内容
[00860.10-00861.38] 当然了这个细续行为
[00861.64-00862.40] 他如果说
[00862.66-00863.94] 相对人分音过错了
[00864.20-00865.48] 了解其细续行为的
[00865.74-00868.04] 可能会对行为的产生相对的心来历損失
[00868.30-00869.32] 但是那个不在
[00869.82-00871.88] 我们是因为单位考试的考察范围
[00872.14-00872.90] 那个是法考
[00873.16-00874.94] 这一条后面可能还会延伸一点
[00875.20-00877.50] 但那个是法考当中可能会考察到的点
[00877.50-00880.18] 这个我们不考虑,你就只觉得说
[00880.18-00881.86] 这个人,你听起来他的这个事
[00881.86-00883.90] 就是说大话开玩笑不可能实现
[00883.90-00887.62] 那这个时候你如果呼吸了造成了相当損失
[00887.62-00888.82] 民法管不管你
[00888.82-00890.42] 民法是不管你的
[00890.42-00892.62] 你比如说你今天写了一个论文
[00892.62-00894.22] 然后你在体制特别开心
[00894.22-00895.62] 你说我的这篇论文
[00895.62-00899.42] 在今年一定是在咱们整个学校当中的最优秀的病论文
[00899.42-00900.78] 你们能够在这个论文当中
[00900.78-00902.42] 给我找出来一点点的错
[00902.42-00904.18] 一个字,我陪你们一千万
[00904.86-00906.86] 你的事有听到你这个话之后
[00906.86-00907.58] 什么反应
[00907.58-00908.66] 他会不会真的拿的
[00908.66-00910.34] 这个路文一个字一个字是用检查
[00910.34-00911.78] 然后问你要那一千万的钱
[00912.06-00912.74] 不会的
[00912.74-00913.34] 没什么
[00913.34-00914.54] 因为在这个过程当中
[00914.54-00916.22] 很明显你的这个行为是什么
[00916.22-00917.34] 是开玩笑的
[00917.50-00919.22] 正常人都不会怎么样
[00919.34-00920.06] 当真的
[00920.06-00921.58] 如果你刚才那个话说了
[00921.58-00922.34] 之后你的是有
[00922.34-00924.02] 真的拿着你的路文一个字一个字
[00924.02-00926.50] 并口发现你这个里面有十个错位字
[00926.70-00928.06] 十个字就是一一
[00928.06-00929.26] 他能拿着说
[00929.26-00931.22] 我给你找出了十个错位字
[00931.22-00932.30] 你给我一块钱
[00932.30-00933.18] 你说你有病吗
[00933.18-00934.06] 然后不给
[00934.06-00935.06] 他就去法院告你
[00935.06-00937.30] 法院会不会支持他的这个请求
[00937.30-00938.64] 不会的这位有病了吗
[00938.64-00939.02] 对吧
[00939.02-00941.22] 所以在这里面我们在考试当中大家知道
[00941.22-00943.26] 系列行为看完笑说大话
[00943.26-00945.02] 你感觉这个话好礼谱
[00945.02-00945.30] 对吧
[00945.30-00947.66] 他都不是民法调整的范围
[00947.66-00949.78] 有时你物心了这些东西
[00949.78-00951.38] 所造成的一些相的损失
[00951.38-00952.38] 民法是不关的
[00952.38-00954.78] 所以在这里面大家把具体的情况
[00955.30-00956.54] 去给他记住
[00956.54-00959.70] 有时我们所提到的有关于民事法律官
[00959.70-00961.34] 民法当中他的调整
[00961.34-00963.38] 这个地方会考察一个案例
[00963.38-00965.14] 同们你觉得民法难呢
[00965.14-00968.14] 就是因为它可能给我们的以前的印象
[00968.14-00969.78] 就是觉得被的东西太多了
[00969.78-00970.62] 确实
[00970.62-00973.10] 被的东西确实是比我们所说的
[00973.10-00975.26] 非法律的内容要多一些
[00975.26-00977.30] 因为它都是一法条形式呈现的
[00977.30-00979.26] 但是我们想要掌握住这个点
[00979.26-00980.26] 我教大家一个方法
[00980.26-00981.50] 其实就是做什么
[00981.50-00983.38] 就就是做概念的拆解
[00983.38-00985.82] 欢迎话说的几考设有个时候考的就上
[00985.82-00987.38] 法条下的司法解释吗
[00987.38-00989.18] 留在这里自己回去还原的设处
[00989.18-00990.58] 安民法调整平冷主体
[00990.58-00991.58] 那如果不平冷呢
[00991.58-00993.78] 政府一旦出現國家行為單出現
[00993.78-00994.70] 不是民法調整
[00994.70-00995.54] 之間
[00995.54-00997.66] 之間就因為如果只是你一個人在的網上
[00997.66-00999.54] 那就不是以民法調整範圍
[00999.54-01000.58] 人生關係
[01000.58-01003.82] 那有一些人生關係不能夠受法律調整
[01003.82-01005.10] 比如說談個戀愛
[01005.10-01006.82] 國家能管理談戀愛的事
[01006.82-01007.74] 那只對不行
[01007.74-01008.66] 財產關係
[01008.66-01008.94] 對吧
[01008.94-01010.90] 在這裡面好意識會行為
[01010.90-01011.90] 不是調整的
[01011.90-01012.90] 所以這幾個
[01012.90-01013.90] 你看到阿利的時候
[01013.90-01015.94] 你都能夠給他往回回口
[01015.94-01018.06] 所以這是第一個民法的調整範圍
[01018.06-01019.54] 大家要注意
[01019.54-01021.26] 第一個考點考恩力
[01021.26-01025.10] 那米法的调整翻为大概就是刚才我们所说的定义
[01025.10-01028.58] 那米法它整体的调整其实规结下来就一句话
[01028.58-01032.02] 这是米法它调整的是米式法律院关系
[01032.02-01033.42] 所以在这里面第二点
[01033.42-01036.86] 你看我们刚才所提到的人生关系才是关系
[01036.86-01040.10] 它其实就是米式法律关系
[01040.10-01042.78] 所以米法调整的对象大家注意一下叫做
[01042.78-01044.02] 米式法律关系
[01044.02-01046.46] 这个点考察一个纯粹的实际
[01046.46-01049.66] 或者是判断体或者是单选庭
[01049.66-01054.78] 所以这是我们所说的第一个点给大家去讲解了我们所提到的民法民法
[01054.78-01055.80] 好
[01055.80-01059.14] 到这我们就把民法调整的范围给大家说完了
[01059.14-01062.46] 那民法将调整民事法律关系
[01062.46-01069.38] 接下来我们就从一个角度入手就是到底什么才是民事法律关系呢
[01069.38-01074.24] 我们来看一下有关于第一解就是民事法律关系的右速
[01074.24-01076.80] 因为民事法律关系是民法调整的对象
[01076.80-01078.90] 迷法就是来越述迷式法律关系的
[01078.90-01081.50] 我们来看一下迷式法律关系到底是什么
[01081.50-01083.16] 迷式法律关系在这里面
[01083.16-01083.92] 大家注意
[01083.92-01088.80] 第一解他清晰的是纯粹的实际型的支持点的考察
[01088.80-01089.70] 就是这里面
[01089.70-01092.00] 你只要掌握住他的框架
[01094.44-01095.60] 能够对应上
[01095.60-01098.70] 这个地方就被下来就可以了
[01098.70-01101.50] 这个第一解他是实际型的考点
[01101.50-01102.98] 迷式法律关系当中
[01102.98-01105.30] 我们来看一下什么叫迷式法律关系
[01105.30-01107.86] 他說民視法律關係是整民法
[01107.86-01113.46] 規範所確認的評論主體之間的民視權力和民視意味無為內容的社會關係
[01113.46-01116.50] 所以民視法律關係就是一種社會關係
[01116.50-01118.62] 而這個社會關係比較複雜
[01118.62-01120.42] 它可能包含三個方面的內容
[01120.42-01123.74] 第一個需要大家實際的點就在這同標準一下
[01123.74-01126.02] 民視法律關係的三要素
[01126.02-01126.74] 第一個
[01126.74-01129.62] 既然民視法律關係要形成
[01129.62-01131.14] 那首先我們應該知道
[01131.14-01133.26] 那民視法律關係的形成首先第一個
[01133.26-01135.26] 是不是待遇有人去做了這件事
[01135.26-01141.26] 在这里面,明是法律关系当中的第一点就是要有明式主体,明式主体,这是第一个
[01141.26-01148.26] 第二个就是我们所说的明法平冷主体,到底做了什么样的是它要受法律调整
[01148.26-01156.26] 这里面就会涉一到什么,做了明式内容,第三个就是明式法律关系当中可能会有一个明式法律关系的课题
[01156.26-01158.26] 所以在这里面给到的
[01158.76-01162.62] 明示法律关系的三亥素就是明示主体
[01162.62-01166.18] 明示内容和我们所说的明示客体
[01166.18-01169.38] 说到是我还是觉得有一点抽象
[01169.38-01171.86] 咱们就把它具体来看一下
[01171.86-01173.62] 首先咱们举个例子吧
[01173.62-01175.66] 比如说小A去
[01176.66-01177.66] 必超市
[01179.14-01180.14] 必超市
[01180.98-01182.82] 买了一平
[01183.70-01184.66] 换掉水
[01186.26-01188.26] 话的多少钱呢花了50
[01188.26-01190.26] 如果是啥款钱是
[01190.26-01192.26] 你管啥看见是哪
[01192.26-01193.26] 对吧
[01193.26-01194.26] 什么百岁三块钱是
[01194.26-01196.26] 或者是什么山块水
[01196.26-01197.26] 假设就是花了50块钱
[01197.26-01200.26] 那这里面什么叫做民事主体呢
