[00000.00-00003.58] 大家好 我是杰瑞 今天我们来学为温温当中的最后一个部分
[00003.58-00006.40] 就是物质和意识的变政关系
[00533.54-00535.58] 意识是能动的反应世界
[00535.84-00536.60] 所以在这里面
[00537.38-00539.16] 意识的第一个作用就叫做反应
[00539.68-00541.72] 第二个就是我们的意识活动
[00541.72-00546.20] 我们的想法观点是不是可以通过时间去改变这个世界
[00546.20-00549.64] 所以在这里它说了可以通过时间改造世界
[00549.64-00551.12] 这其实就回口了
[00551.12-00552.92] 我们之前所说的哲学
[00552.92-00555.52] 不仅告诉我们世界是什么
[00555.52-00558.16] 而且还告诉我们能够怎么做
[00558.16-00560.32] 对吧 其实又回口到了这个点上
[00560.32-00563.52] 所以在这里大家要知道这是意识的能动作用
[00563.52-00565.16] 那它考试的时候怎么考呢
[00565.16-00568.16] 它会把这个说意识是只能动的反应世界
[00568.16-00571.44] 和能动的创造世界 众说法对不对
[00571.72-00575.04] 同時,你可以創造世界嗎?
[00575.04-00585.08] 意識他是物質的,派生,如果意識可以創造世界的話,世界隨你的心而動,世界隨你的想法而動,就陷入到了什麼主義觀點。
[00585.08-00596.80] 陷入到了維新主義觀點,所以意識他不能單獨發揮作用,他通過時間去改造世界,把你努海中的想法,通過時間變成現實。
[00596.80-00598.52] 那这个叫做改造世界
[00598.52-00600.82] 那他如果说在这里给到创造世界
[00600.82-00603.28] 那这种说法固然就是错误的
[00603.28-00605.00] 所以在一时的含义当中
[00605.00-00606.20] 移共有两个点
[00606.20-00607.00] 大家要明确
[00607.00-00607.46] 第一个
[00607.46-00608.68] 一时的反作用
[00608.68-00611.12] 就等于一时的能动作用
[00611.12-00613.36] 就等于人的主观能动性
[00613.36-00614.88] 你就把他们三个等同
[00614.88-00615.76] 就意味着
[00615.76-00617.80] 人可以在事务当中发生作用
[00617.80-00620.64] 人的想法是可以在事务发展当中
[00620.64-00622.04] 发会做就可以了
[00622.04-00623.48] 就这么直外的去理解
[00623.48-00624.88] 第二个就是在这里
[00624.88-00625.68] 我们要知道
[00625.68-00629.68] 意識它是能動的反應世界和通過時間蓋
[00629.68-00631.68] 造世界而不能是創造
[00631.68-00633.68] 如果意識一旦創造性惡了
[00633.68-00634.68] 雷星主義當中去
[00634.68-00637.68] 所以這兩個點大家要能夠去明確
[00637.68-00639.68] 但這兩個點要我們就是判斷體
[00639.68-00640.68] 要我們就是判斷選項
[00640.68-00643.68] 沒有辦法單獨作為案例體出現
[00643.68-00646.68] 這是意識能動作用的很意
[00646.68-00649.68] 明白了什麼意識的能動作用
[00649.68-00650.68] 接下來我們來看一下
[00650.68-00653.68] 意識的能動作用表現在哪些方面
[00653.68-00657.16] 这个地方就是我们所说的理解性题目
[00657.16-00658.24] 出题的地方了
[00659.36-00662.44] 王老就会结合案例来考察我们
[00662.44-00663.92] 但他结合案例来考察
[00663.92-00664.88] 同时没有知道
[00664.88-00667.24] 他可能会有两个考察角度
[00667.24-00668.40] 那两个考察角度
[00668.40-00670.00] 第一个考得比较简单
[00670.00-00671.20] 就是考得比较大
[00671.20-00672.88] 老师啥要考得比较大呢
[00672.88-00674.84] 给了你一个案例
[00674.84-00678.32] 比如说他说笑一下10年少体线了什么样的执学案例
[00678.32-00680.04] 给你ABCD四个选项
[00680.04-00681.24] 其中有一个选项
[00681.24-00684.06] 但是就给到了体现了一时的浓动作用
[00684.06-00685.60] 体现了一时的反作用
[00685.60-00686.50] 那都OK
[00686.50-00690.20] 这样的话他就叫做龙虫考察了
[00691.48-00693.78] 做龙虫考察
[00693.78-00697.12] 在这个选丢当中给到的就是我们所说的体现了一时的
[00697.12-00698.40] 浓动作用
[00698.40-00701.46] 或者是体现了一时的反作用
[00701.46-00702.74] 都OK
[00702.74-00704.46] 这个叫龙虫考得比较大
[00704.46-00705.56] 那支持这种
[00705.56-00707.86] 那还有那是考得比较想夕
[00707.86-00710.24] 考得比较想夕的话就是给你一个案例问
[00710.24-00712.48] 那刚才还是笑一笑10年少
[00712.48-00714.44] 他具体体现了哪一个中呢
[00714.44-00718.64] 他会把具体的体现给当你
[00718.64-00720.28] 然后就给到A体现了
[00720.28-00722.36] 艺术活动就有目的形和计划性
[00722.36-00724.36] B体现了他就有创造性
[00724.36-00726.92] 所以体现了改造世界
[00726.92-00728.60] 地调控人的声令和行为
[00728.60-00730.48] 他就可能会考得比较惗性
[00730.48-00732.32] 那这里面我们就需要做到
[00732.32-00734.72] 除了要知道艺术他能够发挥作用之外
[00734.72-00737.32] 还要知道他的具体表现有哪些
[00737.32-00740.00] 在这里我们就要主意去看一看
[00740.00-00742.00] 首先在这我们来看一下第一个
[00742.00-00745.70] 叫做一时活动具有目的性和计划性
[00745.70-00749.30] 目的性和计划性就是我们去看待一件事情的时候
[00749.30-00751.30] 或者说我们去做一件事情的时候
[00751.30-00752.60] 你总会怎么样
[00752.60-00755.00] 但有自己的想法和目的去
[00755.00-00756.64] 这个就叫做它的什么
[00756.64-00758.90] 目的性和计划性
[00758.90-00760.90] 而你由于外界调进的不同
[00760.90-00762.80] 你的目的和计划也会不一样
[00762.80-00764.80] 比如说同学们为什么关注我
[00764.80-00767.50] 老师关注你是看你可怜张粉特别慢
[00767.50-00768.80] 这就是你的目的
[00768.80-00770.94] 对吧,那还有一份头有说老师我观众的,
[00770.94-00773.84] 我是想跟着你学习,那你看这也是你的什么?
[00773.84-00777.44] 目的,所以所谓一是活动他的目的性和计划性
[00777.44-00781.40] 你在体感能中能够非常的明确的读出来
[00781.40-00784.36] 他做这件事是为了什么什么?
[00784.36-00786.64] 这个就叫做目的型和计划性
[00786.64-00790.16] 所以他的答对观点此,就是在体感能能够体现,是为了什么什么?
[00790.16-00795.16] 比如说为了促进国家经济的发展,国家出台一系列的经济政策,
[00795.16-00797.08] 以调整经济发展的需要
[00797.08-00799.12] 那这里面是不是为了啥啥
[00799.12-00800.28] 那这个政策
[00800.28-00802.12] 它是不是对于现实的一种反应
[00802.12-00804.20] 那它就属于一手活动的什么
[00804.20-00806.20] 目的性和计划性
[00806.20-00807.88] 所以在这里打开注意一下
[00807.88-00809.64] 那一时活动除了目的性
[00809.64-00810.84] 和计划性之外
[00810.84-00812.12] 它还就有一个特性
[00812.12-00813.64] 同时在旁边标注意一下
[00813.64-00816.12] 这个居叫做自觉选择性
[00820.28-00822.12] 这个居叫做自觉选个性
[00822.12-00822.92] 而这个呢
[00822.92-00825.74] 他平日在考试过程当中很少会考察到
[00825.74-00827.96] 就目前我们做题的时候在整体里面
[00827.96-00830.68] 看到考最选择性的题目其实非常少的
[00830.68-00831.88] 他出过这样的问题
[00831.88-00836.44] 他说古人经常会用各种各样的植物来去以这种植物
[00836.44-00838.16] 根据这种植物的特性来预认
[00838.16-00839.80] 所以他就给到了一个题目
[00839.80-00842.00] 他说我们经常会用春树
[00842.00-00843.64] 大家都知道那个春
[00843.64-00845.96] 大家经常会用春树形容副浅
[00845.96-00847.96] 用宣草形容副浅
[00847.96-00850.04] 被啥一定要春树形容副浅
[00850.04-00851.32] 用宣草形容副浅
[00851.32-00852.52] 为什么不反过来呢
[00852.52-00856.16] 那其实就是意识什么选择的结果
[00856.16-00859.28] 因为春术长得比较高比较壮 对吧
[00859.28-00863.28] 就往这下我们就会把他联想到和父亲的微言放在块
[00863.28-00865.24] 宣草比较柔软比较温和
[00865.24-00868.08] 这时候我们就会觉得他和母亲很像
[00868.08-00870.32] 所以我们才有春宣这个说法 对吧
[00870.32-00874.88] 所以为什么会出现用不同的职务待遇不同的人
[00874.88-00878.20] 其实是意识他经过山选对比的一个结果
[00878.20-00881.76] 那我们就把这个称之为交错自觉选择性
[00881.76-00885.24] 而这个点其实是有在之前的考试当中考过
[00885.24-00886.48] 就是春术和宣草
[00886.48-00889.08] 其实这个他当时给的就是自己选择性
[00889.08-00891.40] 这个点了由于他和少婚出现
[00891.40-00894.84] 同时在这里做一个补充有一个概念就可以了
[00894.84-00897.92] 这是第一个叫做目的性和计划性
[00897.92-00900.04] 那就是活动除了目的性计划性之外
[00900.04-00902.84] 第二个他还有什么叫做创造性
[00902.84-00904.28] 什么叫做创造呢
[00904.28-00906.20] 创造就是搞一个之前没有的
[00906.20-00907.44] 就叫做创造 对吧
[00907.44-00909.52] 在这里你在旁边写上就画
[00909.52-00918.54] 就是創造一個現實生活當中所不具備的
[00921.04-00922.52] 比如說觀念
[00923.52-00925.70] 形象等等
[00925.70-00927.94] 這個就叫做我們所說的創造性
[00927.94-00929.90] 就是你在體安當中能讀出這個意思
[00929.90-00931.40] 那他就創造性的體現
[00931.40-00933.12] 比如說我舉個簡單例子
[00933.12-00934.96] 這是這個東西他現實生活當中沒有
[00934.96-00937.36] 但是你的大腦我的天就是這麼神奇
[00937.36-00938.84] 对吧 他就可以根据
[00938.84-00941.20] 你已经掌握了个东西
[00941.20-00943.92] 然后在你的导海当中形成一个形象
[00943.92-00947.92] 比如说我现在说叫长着马云脸的九位户
[00947.92-00951.16] 同一般能不能想到在导海当中过一个这个形象
[00951.16-00953.24] 长着马爸爸的脸
[00953.24-00954.76] 然后是个九位户
[00954.76-00957.12] 你说导海当中一下子会碰出长的形象
[00957.12-00958.72] 但是像这样的一个东西
[00958.72-00959.56] 这样的一个形象
[00959.56-00960.24] 他在信任当中
[00960.24-00961.40] 是否当中有没有
[00961.40-00962.24] 没有
[00962.24-00965.28] 但是你看马云在信任我当中有没有
[00965.28-00969.88] 有,在中国互联网行业发展的很好位中国的互联网做成很大共鲜
[00969.88-00970.66] 任务有啊
[00971.16-00973.48] 狐狱在现实的当中有没有有啊
[00973.48-00975.12] 没有局委不总有意味虎啊
[00975.12-00977.44] 你在大当中给他拼接起来是不是就行了
[00977.44-00980.12] 所以在这里面这个就叫做什么创造型
[00980.12-00982.44] 你的大脑就是能够把一幽的制东西
[00982.44-00983.72] 给他鸡和在一块
[00983.72-00985.44] 然后给他搞出来一个新的东西
[00985.44-00987.12] 这个就叫做创造型
[00987.12-00988.48] 除了我刚才说的这种
[00988.48-00991.12] 你比如说我们现在提到的概念叫做啥
[00991.12-00993.48] 大家在流浪地球二当中听过那个概念吧
[00993.48-00994.92] 叫做宇宙电梯
[00994.92-00996.72] 这东西是一个非常有趣的东西
[00996.72-00998.56] 有生气的同学可以是查一下
[00998.56-01000.76] 当时有一期播客还说说
[01000.76-01003.24] 以柔电梯选择在沈阳对吧
[01003.24-01004.28] 就提到这个
[01004.28-01005.40] 那一看宇宙电梯
[01005.40-01008.28] 它其实目前是存在在科幻电影当中的
[01008.28-01009.84] 但是你能不能根据
[01009.84-01011.64] 我们所说的这种想象
[01011.64-01013.36] 来看到宇宙电梯的形象
[01013.36-01014.16] 所以是可以的
[01014.16-01015.64] 我们在柔了地球当中
[01015.64-01017.88] 是不是看到了宇宙电梯到什么样
[01017.88-01019.92] 宇宙电在香港生活当中没有
[01019.92-01021.76] 但电梯总会是有的
[01021.76-01023.40] 我们就绑着这个电梯
[01023.40-01025.40] 是不是就能創造出一个新的概念
[01025.40-01026.68] 叫做宇宙电梯
[01026.68-01027.84] 其实这也就说来了
[01027.84-01028.60] 说了一个事
[01028.60-01029.88] 你比如说像我们所说的这种
[01029.88-01031.28] 科冠电影也好
[01031.28-01033.76] 它其实就是意识活动什么的体现
[01033.76-01036.60] 就是意识活动創造新的体现
[01036.60-01038.36] 所以这个就叫做創造性
[01038.36-01040.32] 創造性主大一个什么
[01040.32-01041.32] 主大一个新
[01041.32-01041.72] 对吧
[01041.72-01043.48] 主大一个新的什么东西
[01043.48-01044.68] 那你做体的时候
[01044.68-01046.04] 你就要稍微注意一下
[01046.04-01048.24] 这个就叫做創造性
[01048.24-01049.76] 第三一个叫做意识
[01049.76-01051.20] 具有直到时间
[01051.20-01052.84] 同时把直到时间画出来
[01052.84-01057.04] 这个具有直到时间改造客观世界的作用
[01057.04-01061.16] 那一种意味着意识想要对现实生活产生作用
[01061.16-01062.88] 它能不能直接发挥作用
[01062.88-01068.44] 不能那一种意味着意识活动是不能转化为现实的
[01068.44-01069.28] 明白了吧
[01069.28-01072.84] 所以在这里他如果说说意识能够直接转化现实
[01072.84-01074.04] 那这种时候把就错了
[01074.04-01077.48] 他一定要有一个中间的时间
[01077.48-01079.08] 一定要有一个中间的时间
[01079.08-01081.28] 而第三个点的考虑健行题目
[01081.28-01082.48] 考的不是特别多
[01082.48-01085.48] 反而是出现在选项个判个提里面标击
[01085.48-01086.96] 他就直接会给到一句话
[01086.96-01089.20] 就是意识可以改造物质世界
[01089.20-01091.48] 或者是意识能够直接改造物质世界
[01091.48-01093.48] 那如果他没有提到时间的话
[01093.48-01096.92] 我们默认为他是错的
[01096.92-01098.36] 所以这是第三个
[01098.36-01099.84] 第四个点叫做
[01099.84-01103.68] 意识活动具有调控人的行为和生理的作用
[01103.68-01106.16] 那翻译过来就是意识会对谁有影响
[01106.16-01108.96] 对人产生影响
[01108.96-01111.08] 比如说我们经常会提到的一句话
[01111.08-01112.76] 就是我前面也答说到了
[01112.76-01114.84] 就笑一笑10年少
[01114.84-01115.16] 对吧
[01115.16-01116.60] 那为啥笑一笑10年少啊
[01116.60-01119.72] 笑代表着你对外界的这种反应
[01119.72-01121.16] 它是一种机机向上的
[01121.16-01123.00] 而这种机机向上的这种反应
[01123.00-01125.16] 能够作用于你的身体
[01125.16-01126.84] 所以我们才说笑一笑10年少
[01126.84-01128.84] 是我控制了人的身体和行为
[01128.84-01130.84] 又或者我们比较常见的啊
[01131.64-01132.52] 望梅之可
[01132.52-01133.88] 大家应该听过 对吧
[01133.88-01135.72] 你那个在三个月一当中说了
[01135.72-01138.12] 说刑军到哪时候大小喝水
[01138.12-01140.12] 突然看到每次數
[01140.12-01142.68] 朝朝就給大家去形容
[01142.68-01143.76] 阿姨那個每次
[01143.76-01144.92] 滿意對吧
[01144.92-01145.80] 老酸了
[01145.80-01148.04] 你想一下每次長樣子
[01148.04-01149.88] 有一點紅紅的
[01149.88-01151.08] 有一口
[01151.08-01152.20] 酸酸的
[01152.20-01154.28] 然後口感怎麼樣
[01154.28-01155.84] 然後他就這麼去描述之後
[01155.84-01156.76] 然後大家
[01156.76-01158.28] 現實生活當中的反射一下
[01158.28-01159.12] 這個你的後逃壓
[01159.12-01160.28] 開日反酸水
[01160.28-01161.64] 然後這個時候怎麼樣
[01161.64-01162.28] 不可了
[01162.28-01164.56] 這個就是通過你的描述
[01164.56-01167.48] 你的描述是會對於每一隻的一種反映
[01167.48-01170.16] 这个描述就是你的什么意义是
[01170.16-01172.60] 而这个意义是对于视频它的后逃亚
[01172.60-01174.84] 是问他想到了那种酸味
[01174.84-01177.76] 于是他这种情况之下对他产生了什么影响
[01177.76-01181.96] 这个就叫做意义是对于人的行为和生律活动产生影响
[01181.96-01184.12] 他其实考驶这样的一道题目
[01184.12-01186.88] 这题目说的是啥呢说人的味
[01187.80-01189.68] 是一个有情绪的器官
[01189.68-01193.08] 当然心情很好的时候吃东西就不愿意碰
[01193.08-01195.68] 当然心情情绪特别糟糕的时候
[01195.68-01198.50] 你吃的东西就很容易让你发胖
[01198.50-01199.80] 所以它说为什么
[01199.80-01201.56] 为什么是一个有情绪的
[01201.56-01202.32] 奇怪
[01202.32-01204.38] 这种为什么会影响到你的身体
[01204.38-01206.12] 然后它就以这个美案例问
[01206.12-01208.22] 体现了什么样的哲学压力
[01208.22-01213.28] 那就是一是活动能够调控人的行为生理和行为班
[01213.28-01213.60] 对吧
[01213.60-01214.88] 所以在这里带着注意下
[01214.88-01217.18] 其实通过这个案例在也就知道了
[01217.18-01218.54] 以后吃东西的时候打的
[01218.54-01219.68] 你心情是打好一点
