[00000.00-00005.38] 好的,那我们把前面的大概的核通论原理给大家就说完了
[00477.34-00478.58] 花了两千块钱
[00478.58-00480.18] 然后我有领他去洗澡
[00480.18-00481.38] 花了50块钱
[00481.38-00483.38] 然后呢 我又给他买了一些吃的
[00483.38-00484.58] 什么狗粮粮的等的
[00484.58-00486.18] 花了300块钱吧
[00486.18-00488.18] 一共是一千三百五十块钱
[00488.18-00490.38] 两千三百五十块钱
[00490.38-00494.18] 你让这个小狗主人把这两千三百五十块钱给你
[00494.18-00495.58] 人家给不给呢
[00495.58-00496.98] 人家指定是不能给的
[00496.98-00497.98] 你除非啥的老师
[00497.98-00500.18] 我这日之里都帮他养狗了
[00500.18-00501.10] 养音就是什么
[00501.10-00504.98] 养音就是你养狗当时的意思表示是为别人还是为自己
[00506.18-00507.58] 当时是为自己吗
[00507.58-00509.18] 这个时候就是纯粹的为自己
[00509.18-00509.98] 你就属于什么
[00509.98-00511.30] 就属于物性管理
[00511.30-00513.78] 就是你认为他的狗是你的
[00513.78-00515.46] 你认为他的牛是你的
[00515.46-00517.22] 你认为那个电脑是你的
[00517.22-00517.66] 对吧
[00517.66-00519.86] 你这个时候就要做物性管理
[00519.86-00520.98] 那说老师
[00520.98-00522.66] 物性管理你主张
[00522.66-00524.34] 就是比如说我在这里
[00524.34-00525.86] 给他人的狗一共花了
[00525.86-00527.74] 两千三百五十块钱
[00527.74-00529.34] 这个时候我不能请求
[00529.34-00531.46] 他以无因管理之在把钱给我
[00531.46-00533.34] 但是我确实是花了这些钱
[00533.34-00535.02] 那你不能说我花了这些钱
[00535.02-00536.86] 然后就一点办法都没有
[00536.86-00538.42] 然后我就投大了
[00538.42-00540.42] 对吧 我就是让人扎大头了
[00540.42-00541.92] 我这个时候钱要不回来了
[00541.92-00543.92] 可不可以不保护我吗
[00543.92-00545.12] 如果不保护我的话以后
[00545.12-00546.42] 我可不见用意了
[00546.42-00549.02] 法律其实他也是有这个考量的
[00549.02-00550.42] 所以在这里面大家就一下
[00550.42-00552.92] 物性管理他不能成为无因管理
[00552.92-00556.22] 有时候物性管理的说花费的这些标费
[00556.22-00558.32] 你没有办法请求走无因管理之在
[00558.32-00559.52] 但是可以干嘛呢
[00559.52-00561.52] 可以够成不当得力
[00561.52-00563.02] 你可以要求反还不当得力
[00563.02-00564.42] 这个钱也是能要回来了
[00564.42-00565.42] 明白这个意思吧
[00565.42-00567.62] 所以这是我们所说的物性管理
[00567.62-00568.94] 就是你以为东西是你的
[00568.94-00570.94] 然后你去照管画费的这些钱
[00572.22-00573.70] 他不能够成无因管理
[00573.70-00575.74] 但是如果你真的花了钱在物性管理当中
[00575.74-00577.34] 可以够成不当得力
[00577.34-00579.26] 这是第一个 走物性管理
[00579.26-00580.54] 第二个就是什么呢
[00580.54-00583.42] 就是有力克图或者是谋思力
[00586.98-00588.98] 第二个就是你谋思力
[00588.98-00590.26] 就是你做这个事
[00590.26-00591.46] 你就顺带手
[00591.46-00593.06] 然后你就做了这么个事
[00593.06-00594.94] 然后你主要还是为了自己
[00594.94-00596.18] 那这种情况之下
[00596.18-00597.06] 他也属于什么
[00597.06-00600.04] 他也属于主观上纯粹为自己
[00600.04-00602.24] 那如果是主观上纯粹为自己的话
[00602.24-00603.60] 那他也不属于什么
[00603.60-00606.20] 也不属于我们所说的无音管理
[00606.20-00607.56] 你就是怎么去判断的
[00607.56-00609.60] 你就去看这个体感当中他的表述
[00609.60-00611.78] 他是为自己的这种
[00611.78-00612.96] 他就不算是什么
[00612.96-00614.04] 他就不算是无音管理
[00614.04-00615.48] 但他如果是监固自己的话
[00615.48-00616.18] 这种就算
[00616.18-00619.02] 就是我们所说的这个纯粹的为自己
[00619.02-00621.12] 这是这种情况下就不行的
[00621.12-00623.32] 第二个呢就是我刚才说的第二个情况
[00623.32-00624.46] 就是他做了一件事
[00624.46-00625.18] 他是什么
[00625.18-00626.38] 他是主观上
[00626.38-00627.22] 为他人
[00627.22-00628.78] 但是监固自己的呢
[00632.82-00634.50] 就是他有为他人意思表示
[00634.50-00635.54] 但是主观在这里
[00635.54-00636.30] 他做的这件事
[00636.30-00638.14] 算带手对自己也有好处
[00638.14-00638.94] 那这种的话
[00638.94-00640.94] 他够不够成无因管理呢
[00640.94-00642.10] 这种情况之下
[00642.10-00644.62] 他是够成无因管理的
[00644.62-00645.82] 他是够成无因管理的
[00645.82-00647.54] 举个简单的例子来说吧
[00647.54-00649.42] 比如说我们经常能看到
[00649.42-00650.98] 就是在那个小区里面
[00650.98-00651.34] 对吧
[00651.34-00653.90] 那小区里面那个房子里的都比较近
[00653.90-00656.06] 小区里房子里都不要进的话
[00656.06-00658.74] 假设现在小区当中有两户
[00658.74-00661.26] 就是住对门或者是住零边
[00661.26-00664.22] 这两户就是零里相亲的离来挺近的
[00664.22-00667.70] 一户是小A 以后是小B
[00667.70-00670.66] 这种情况之下假设
[00670.66-00673.26] 假设有一天小A 大家找火了
[00673.26-00675.34] 小A 找火这小A 家的人不在家
[00675.34-00678.54] 小B就怕这个火是漫严到自己家
[00678.54-00682.34] 于是小B就去帮助小A 家去灭火
[00682.34-00685.24] 然后这个火是即时得得到了控制等等
[00685.24-00686.34] 那这时候就说了
[00686.34-00687.22] 那个小闭
[00687.22-00688.62] 他是怕这个火
[00688.62-00690.60] 漫严到自己家 对不对
[00690.60-00693.82] 然后他就帮人家去救火
[00693.82-00695.26] 那在这种情况之下你看
[00695.26-00696.42] 他是出于什么
[00696.42-00699.42] 他是出于单心或级自己家
[00699.42-00701.10] 就是单心那种成分生活
[00701.10-00702.74] 要求持遇的这种心态
[00702.74-00704.10] 那这种情况之下怎么办
[00704.10-00705.54] 他是监固自己的利益
[00705.54-00706.94] 他不是纯粹的为自己的
[00706.94-00708.10] 因为他看人家找火
[00708.10-00708.94] 他也找几嘛
[00708.94-00712.30] 他这种监固自己心态可不利够成无因管理呢
[00712.30-00715.82] 这种监固自己的心态是可以过程无应管理的
[00715.82-00717.56] 好吧,所以在这里大家注意一下
[00717.56-00719.66] 说老师呢,我做体的时候怎么去分呢
[00719.66-00722.36] 你做体的时候去分啊你就看太有弄出现什么
[00722.36-00724.34] 我就是我给大家写的这句话
[00724.34-00729.26] 这句意思表示就是你认为东西是你的带回家了
[00729.26-00730.74] 或者是我们所说的什么
[00730.74-00732.90] 某私立就是纯粹的为了自己
[00732.90-00734.10] 体肝当中提到什么
[00734.10-00736.38] 因为有立可徒,所以你去怎么样
[00736.38-00740.74] 那这种情况之下就是某私立纯粹的自己的行为
[00740.74-00742.02] 如果監護自己
[00742.02-00744.32] 監護自己就是單心怎麽樣
[00744.32-00745.86] 成分生活 央跡至於
[00745.86-00747.66] 這種情況之下是可以構成
[00747.66-00748.68] 無因管理的
[00748.68-00751.24] 所以這是無因管理當中的第一個主管意思表示
[00751.24-00752.76] 要為他人不能為自己
[00752.76-00754.30] 但監護自己可以
[00754.30-00755.96] 管理管理
[00755.96-00757.00] 除了那些意思表示
[00757.00-00758.80] 是外有外在的行為
[00758.80-00759.70] 所以外在的行為
[00759.70-00762.50] 就是要管理他人的事務
[00762.50-00764.04] 管理他人事務的話
[00764.04-00766.60] 就是你去做了管理的行為
[00766.60-00768.12] 你只要做了管理的行為
[00768.12-00769.16] 無論結果好會
[00769.16-00770.34] 都構成無因管理
[00770.34-00772.82] 所以在这里大家注意一下不看效果的
[00772.82-00775.42] 只看你没有实施相应的行为
[00775.42-00778.86] 比如说刚才的那个不小银和小闭这两家
[00778.86-00780.98] 小银和小闭这两家小银家找火了
[00780.98-00782.74] 然后小闭去帮他去灭火
[00782.74-00784.26] 只要原因就是担心自己
[00784.26-00787.66] 但结果这个火是要卖盐的特别的快
[00787.66-00790.26] 没过多少时间就已经烧起来了
[00790.26-00792.62] 然后他就为了给他在灭火
[00792.62-00795.46] 然后他就从自己家搬了很多东西去给他去灭火
[00795.46-00797.46] 但结果这个火没有灭掉
[00797.46-00799.30] 最后这个火还是烧起来了
[00799.30-00800.90] 这个里面你看
[00800.90-00804.62] 它从自己家拿出来灭火去拿出来各种灭火的东西
[00804.62-00806.50] 而且这些设备价值都不费
[00806.50-00809.22] 但是这个火是一就没有得到一只
[00809.22-00811.18] 这种情况之下能不能说
[00811.18-00812.78] 因为火是没有得到一只
[00812.78-00814.18] 所以这里面的小闭
[00814.18-00816.46] 它其实没有实行无因管理行为
[00816.46-00817.54] 不是的
[00817.54-00818.94] 在这个地方大家注意一下
[00818.94-00822.06] 管理它人的事物只要求有行为就可以了
[00822.06-00823.22] 不要求有结果
[00823.22-00825.14] 所以这时候不追求结果
[00825.14-00826.42] 不用绿色的好吧
[00826.42-00828.06] 工作了吧
[00828.06-00831.68] 所以在这里就是不追求结果
[00831.68-00833.78] 只要是有行为就可以了
[00833.78-00836.86] 因为大家如果知道无因管理的本质你就应该能理解了
[00836.86-00839.30] 无因管理其实就是超到大家怎么样
[00839.30-00841.06] 能够建议有为做好事
[00841.06-00843.34] 所以你对于建议有为做好事的这些人
[00843.34-00844.90] 不能要求太可可
[00844.90-00846.50] 所以在这里面大家注意一下
[00846.50-00848.06] 这是管理
[00848.06-00849.58] 最后一个点
[00849.58-00852.46] 就是无因管理当中有一个推定的意思表示
[00852.46-00855.06] 你实施无因管理的行为
[00855.06-00857.86] 它是符合受议人的真实意思的
[00857.86-00859.10] 也就是换句话说
[00859.10-00862.86] 你这么做就相当于如果这个人在家
[00862.86-00863.86] 他也会这么做
[00863.86-00864.66] 明白这个意思吧
[00864.66-00869.06] 这个时候就叫做符合受议人的真实的意思表思
[00869.06-00871.86] 所以这种情况之下是购成无因管理的
[00871.86-00873.66] 所以在这里面大家要注意
[00874.66-00876.66] 这是无因管理它的过程要件
[00876.66-00879.86] 你就拆解无因没有法律规定
[00879.86-00881.34] 用火躍定的一五管理
[00881.34-00883.74] 主管上为他人刻外上管理行为
[00883.74-00885.86] 最后一个就是我们所说的叫做
[00885.86-00888.38] 推定符合受议人的真实意思表示
[00888.38-00891.22] 所以你就做名词解释就行了
[00891.22-00893.46] 这是我们所说的无音管理的过程要件
[00893.46-00895.34] 也是需要大家找过的第一个点
[00895.34-00896.82] 一定要把这个点去的记住
[00896.82-00899.70] 他不会直接问受无音管理的过程要件的那些
[00899.70-00901.42] 但是最起码这几个要件
[00901.42-00904.70] 是能够作为体干出现的
[00904.70-00908.10] 如果他作为体干出现你要能够回后到他是无音管理上
[00908.10-00909.78] 所以這個點我們要不要注意一下
[00910.78-00911.58] 給他記住
[00911.90-00913.66] 這是文英管理的過程要件
[00913.66-00916.14] 那文英管理他有一定的法律效率
[00916.14-00917.78] 也是我們所說的法律後果
[00917.78-00920.26] 那文英管理的法律後果主要是在於什麼
[00920.26-00921.90] 主要是在於管理人這一塊
[00921.90-00922.94] 管理人這一塊
[00922.94-00924.18] 他想有什麼樣的權利
[00924.18-00925.06] 我們要畫一下
[00925.06-00929.74] 說管理人有權要求被人長寬英管理事務所之處的
[00929.74-00930.54] 必要費用
[00930.54-00932.46] 比如說他說了有什麼相用的
[00932.46-00934.46] 必要費用請求權
[00934.46-00937.22] 比如說我為了幫他養小狗
[00937.22-00940.62] 对吧 我给他这个小过去看病花了多少钱
[00940.62-00942.46] 因为不看病和又死了 对吧
[00942.46-00944.78] 然后领他去洗脏上过上快乐的生活
[00944.78-00945.98] 那这里面就是什么
[00945.98-00947.82] 就是一句客观标准当中
[00947.82-00950.06] 我们有必要费用请求钱
[00950.06-00951.10] 你最起码你说
[00951.10-00952.54] 老师那买过两那个事情
[00952.54-00953.94] 买过两那个设设计你自愿的
[00953.94-00955.54] 如果人家愿意给你就给你
[00955.54-00956.70] 如果不给的话
[00956.70-00958.54] 那这种情况之下你没有就够凉
[00958.54-00960.10] 没有办法就够凉这个请求
[00960.10-00963.26] 但是给小过看病花钱的那个可以请求
[00963.26-00965.62] 所以在这里就能够费用请求
[00965.62-00967.66] 就是我们所说的
[00967.66-00969.66] 第一个他可以超人家要钱
[00969.66-00971.26] 如果大家注意啊
[00971.26-00973.06] 如果说监友也行来
[00973.06-00974.38] 他没有回报的话
[00974.38-00975.26] 那这种情况这样
[00975.26-00977.50] 监友也行为没有办法得到正向鼓励
[00977.50-00979.54] 他其实就会越来越少
[00979.54-00981.06] 所以在这里面我们就说了
[00981.06-00982.06] 那必要费用
[00982.06-00983.70] 这是人家应有个权力
[00983.70-00984.34] 这是第一个
[00984.34-00985.18] 大家注意一下
[00985.18-00986.34] 第二个就是管理人
[00986.34-00987.98] 可以请求受人对其
[00987.98-00990.98] 因为管理遭受到的损失而积与失道的什么
[00990.98-00993.14] 而积与失道的不长
[00993.14-00997.24] 所以他也有我们所说的所受损害请求全
[00997.24-01000.58] 可以请求受一人继续相当的不长
[01000.58-01002.24] 那如果受一人不贵呢
[01003.64-01005.12] 那如果受一人不贵呢
[01005.12-01006.76] 这个时候受一人不贵的话
[01006.76-01011.06] 那就可以对主张向亲全人去主张这个钱就可以了
[01011.06-01013.42] 所以大家注意一下这是我们所说的
[01013.42-01015.66] 有关于管理人的权利
[01015.66-01016.94] 这个地方会比较简单
[01016.94-01020.26] 就记得你花的这些必要的费用其实可以向他
[01020.26-01021.26] 所要的
[01021.26-01022.58] 这是管理人的权利
[01022.58-01024.66] 其实管理人有权力管理人有意义
[01024.66-01027.96] 管理人的意义就是你在具体性无因管理的时候
[01027.96-01030.84] 你不能说管理到一半说不管了
[01030.84-01033.96] 如果说这个方法对管理人是有力的
[01033.96-01035.00] 你不能自己中断
[01035.00-01036.94] 你不能管到一半不管了这不行
[01037.44-01039.18] 所以大家注意一下这是无因管理
[01039.18-01042.20] 所以无因管理的重点就在于他到过程要介绍
[01042.20-01043.80] 这是第1个无因管理
[01043.80-01045.82] 第2个大家注意一下
[01046.06-01048.92] 管理人的事当管理人有这个简单看一下就行了
[01048.92-01051.00] 就是刚才说的管理人有权力有意义
[01051.00-01052.18] 这是无因管理
[01052.18-01054.18] 第二个呢就是不道得力
[01054.38-01055.82] 不道得力不道得力
[01055.82-01058.18] 你从此里面也能够推更出来
[01058.18-01061.02] 它呢就是第一个什么叫不道
[01061.02-01064.62] 你只能没有依据法律或合同军定的依据
[01064.62-01067.18] 你获得了首意这个就叫做什么不道
[01067.18-01069.82] 所以不道得力首先来看一下这个概念
[01069.82-01073.54] 说只没有合法的依据是他人受损
[01073.54-01077.50] 而自己获立的事实就叫做不道得力
[01077.50-01079.54] 所以不道得力他有自己的过程要件
[01079.54-01081.70] 这个过程要件也需要同一面去掌握
[01081.70-01083.50] 你周把这个构成要掉记住了
[01083.50-01084.78] 它来提案当中就出体
[01084.78-01087.50] 你才能精准地回后到不当得理上
[01087.50-01089.26] 首先第一个要有不当卖
[01090.26-01091.42] 不当得理不当得理
[01091.42-01092.14] 首先第一个
[01092.14-01093.54] 你的这个得理得不当
[01093.54-01094.94] 不当的原因是什么
[01094.94-01097.30] 不当的原因就是你没有依据
[01097.30-01098.74] 没有法律或者是
[01098.74-01099.90] 约定的意误
[01099.90-01101.42] 你就是没有这个依据
[01101.66-01102.66] 所以在这里面
[01102.66-01104.22] 你把第一个点画出来
[01104.22-01106.50] 就是没有合法的依据
[01106.50-01107.42] 没有合法的依据
[01107.42-01110.94] 也就是没有法定婚约定的原因
[01110.94-01112.98] 这种情况就过程不到了
[01112.98-01114.52] 那举个简单的例子
[01114.52-01115.28] 比如说
[01116.32-01120.22] 这个父母对于孩子的养玉
[01120.22-01121.12] 同时来看一下
[01121.12-01122.96] 父母对于孩子的养玉
[01122.96-01124.52] 然后父母养孩子花很多钱
[01124.52-01125.66] 大家都知道现在
[01125.66-01126.56] 养一个小孩
[01126.56-01127.96] 跟小宝宝上学
[01127.96-01129.36] 其实价格是不费的
[01129.36-01130.66] 本来相对来说
[01130.66-01131.42] 比较简单的
[01131.42-01133.34] 但是现在孩子的可以压力比较大
[01133.34-01136.28] 这个时候父母能不能对孩子说说你看
[01136.28-01137.82] 我从小到大为你养到大
[01137.82-01138.80] 花了多少钱呢
[01138.80-01139.82] 花了好几十万
[01139.82-01141.50] 甚至有个是上百万
[01141.50-01143.86] 你长大出把这个钱换给我
[01143.86-01145.06] 因为你这个是不当得力
[01145.06-01145.70] 可以吗
[01146.22-01146.74] 不可以
[01146.74-01147.58] 原因在什么
[01147.58-01148.54] 原因在于
[01148.54-01150.02] 父母对孩子太有什么
[01150.02-01151.78] 他有相应的上的一物
[01151.78-01153.38] 他有相应的服用的一物
[01153.38-01156.02] 所以在这里面他是有法律会约定的原因的
[01156.02-01157.30] 所以不当得力
[01157.30-01160.86] 第一个它的货力是没有依据的
[01160.86-01162.34] 你要么是没有法律意据
[01162.34-01163.62] 要么是没有约定意据
[01163.62-01165.38] 所以在这里这叫做不当
[01165.38-01167.14] 第二个就是不当得力
[01167.14-01168.50] 所以第二个就是在于什么
[01168.50-01169.26] 得力上
[01169.82-01173.92] 第二就是在约得利
[01173.92-01177.38] 它这个得利就表现在两个方面
