[00000.00-00003.18] 好的 那我们讲完了所有权的取得之后呢
[00003.18-00005.38] 今天让我们来看一下有关于
[00440.82-00442.98] 又打電話又看視頻又看電影了
[00442.98-00445.14] 然後我還看打個這種打平完球
[00445.14-00446.12] 如果老金動了
[00446.12-00447.70] 然後這個時候造勢了
[00447.70-00449.48] 我不小心把這個車撞到了
[00449.48-00451.20] 什麼東西上把車撞到了
[00451.20-00452.90] 車要拿去維修修善
[00452.90-00455.58] 那這個問題設一到重大事項的時候
[00455.58-00457.12] 那怎麼去做決定呢
[00457.12-00459.44] 那這個決定其實都可是沒有關
[00459.44-00461.68] 都可我们所战的分额有关
[00461.68-00462.84] 所以安分工有
[00462.84-00464.70] 它按照各自的分额消质
[00464.70-00466.62] 从而能够决定
[00466.62-00468.00] 相应的实相
[00468.00-00469.04] 所以大家注意一下
[00469.96-00471.60] 这是第一个安分工有的
[00471.60-00472.24] 概念
[00472.24-00473.32] 安分工的概念
[00473.32-00474.16] 缺定了
[00474.16-00475.48] 安分工的概念之后
[00475.48-00476.52] 我们就来看一下
[00476.52-00478.36] 在安分工有当中
[00478.36-00479.68] 什么样情况之下
[00479.68-00480.60] 才算是
[00480.60-00481.64] 安分工有
[00481.64-00482.76] 在这里面他说了
[00482.76-00484.52] 说共有人对共有的
[00484.52-00486.32] 不动产或动产
[00486.32-00486.88] 看
[00486.88-00488.20] 没有决定
[00488.20-00492.76] 或者是什么约定不明的示威暗份工有
[00492.76-00495.16] 也就是说暗份工有咱们如何去判断呢
[00495.16-00498.04] 你就看体验当中有没有说到内无种关系
[00498.04-00501.24] 没有那在看一下有没有具体约定
[00501.24-00503.40] 也没有有没有说按体约定了
[00503.40-00505.16] 什么暗份又约定了共同
[00505.16-00506.76] 那这个时候就叫约定不明
[00506.76-00509.40] 它只要是没有刚才所说内无种情况
[00509.40-00511.16] 我们都默认为它数于什么
[00511.16-00512.84] 它数约暗份工有
[00512.84-00514.84] 那暗份工有可能涉一道的问题
[00514.84-00516.68] 就会涉一道我们所说的什么
[00516.68-00519.24] 份额的问题 也是刚才我们所说的案
[00519.24-00521.60] 各自出的份额想得所谓
[00521.60-00523.72] 那这个份额 我们怎么去订呢
[00523.72-00526.92] 大家注意一下 咱们刚才说在这里说了案 各自份额
[00526.92-00528.40] 这个份额如何确定
[00528.40-00530.44] 同时来看一下在书上怎么说的
[00530.44-00533.84] 它对份额有约定的 从约定
[00533.84-00536.64] 没有约定的 按照出自额来订
[00536.64-00538.44] 如果连出自额都没有的话
[00538.44-00540.20] 这个时候就要等额
[00540.20-00541.96] 所以同时们把这个份额
[00542.44-00545.88] 换下来 标注 以客星 标注以客星
[00545.88-00547.68] 这个份子它怎么确定呢
[00547.68-00550.08] 首先第一个同学标读一下圈一
[00550.08-00552.48] 叫做有月定的从月定
[00552.48-00553.88] 有月定的从月定
[00553.88-00556.48] 这个时候你就是比如说刚才那两车
[00556.48-00558.88] 我出了80万我说咱俩就关系
[00558.88-00559.88] 还分什么离我
[00559.88-00560.28] 对吧
[00560.28-00561.28] 虽然我出80万
[00561.28-00563.08] 我战20%的份子
[00563.08-00564.48] 这种月定可不可以
[00564.48-00565.48] 完全可以
[00565.48-00567.88] 你周语打黄开一个片打一个片来吗
[00567.88-00571.48] 我们说了民法尊重双方当时人都合意嘛
[00571.48-00572.68] 就是你咋说了算
[00572.68-00574.08] 你只要不为法不为足
[00574.08-00574.68] 对吧
[00574.68-00575.48] 我都同意
[00575.48-00578.24] 所以分了第一个就是有约定 从约定
[00578.24-00580.36] 那第二个呢 就是约定不明的
[00580.36-00582.04] 就是它没有规定清楚
[00582.04-00583.04] 那这说怎么办
[00583.04-00585.60] 那约定不明的就按出资额
[00585.60-00588.40] 那这种情况这下就是我出80万
[00588.40-00589.84] 那我就战80万
[00589.84-00590.88] 那说老师
[00590.88-00592.88] 那出资额都不能确定的
[00592.88-00594.36] 比如说当时买这辆车
[00594.36-00596.08] 那是方称在10年前
[00596.08-00597.40] 10年前之后咱说
[00597.40-00598.56] 这让车咱卖了吧
[00598.56-00599.56] 卖了这回到分钱
[00599.56-00600.36] 我说好呀
[00601.00-00601.72] 卖了吧
[00601.72-00602.56] No problem
[00602.56-00604.16] 然后一回想的时候说
[00604.16-00605.96] 这张车当时多少钱来
[00605.96-00606.76] 我说
[00606.76-00608.08] 我给忘了
[00608.08-00609.28] 我说你拿多少钱
[00609.28-00610.56] 你说我拿了
[00610.56-00611.84] 三川四川
[00611.84-00613.00] 我也记不清了
[00613.00-00614.68] 那一看这种情况之下就要什么
[00614.68-00615.88] 出自个不能确定
[00615.88-00617.76] 那出自个不能确定的怎么办呢
[00617.76-00619.52] 我们标准一下确三
[00619.52-00621.36] 出自个不能确定的就是
[00621.36-00622.72] 等核想有
[00622.72-00624.00] 啥叫等核想有
[00624.00-00625.40] 也就是说咱们几个人
[00625.40-00627.24] 就二人头来分就可以了
[00627.24-00628.80] 这个就叫做等核
[00628.80-00630.80] 这在这里面大家一定要注意
[00630.80-00632.32] 我们所说的这个分子
[00632.32-00637.58] 就是有约从约5约出资出资不定则等个
[00637.58-00642.32] 所以在阿分购当中第一点就是要大家记住对份额
[00642.32-00643.72] 它的一个花分
[00643.72-00645.52] 对份额它的一个花分
[00645.52-00648.20] 那说老师份额确定了之后有什么用呢
[00648.20-00649.72] 用出很太大了
[00649.72-00651.04] 如果份额确定的话
[00651.04-00654.24] 第一个对于重大事项的决定
[00654.24-00656.56] 那就能够去某定了
[00656.56-00658.08] 因为我们说了对于
[00658.08-00660.60] 阿分购的财产对于重大事项的决定
[00660.60-00662.08] 比如说拿去修山
[00662.08-00663.88] 把他的信用途变更
[00663.88-00665.00] 把他变没掉
[00665.00-00668.88] 都需要占份额三分之二以上的共有人同意才行
[00668.88-00669.88] 所以这样的话
[00669.88-00671.96] 我们所说的重大事情就决定了
[00671.96-00674.12] 那第二个就是确定了份额之后
[00674.12-00675.00] 我们可以怎么办
[00675.00-00677.68] 我们可以去看看收入分配怎么定
[00677.68-00680.24] 比如说最后这两车卖了多少钱
[00680.24-00682.24] 咱俩共有了一个房子最后卖了多少钱
[00682.24-00683.56] 那分钱说咋分呢
[00683.56-00684.12] 对吧
[00684.12-00685.44] 咱们一般都说
[00685.44-00686.80] 说七兄弟名顺的赵
[00686.80-00687.12] 对吧
[00687.12-00688.28] 那分钱的说咋分
[00688.28-00689.96] 那这说按份额来分
[00689.96-00691.32] 那如果说这个问题
[00691.32-00692.80] 给他人造成侵状了
[00692.80-00695.00] 或者是在微笑的过程的你要出钱
[00695.00-00696.44] 出钱的时候转出
[00696.44-00697.68] 我们分享的时候好分
[00697.68-00698.04] 对吧
[00698.04-00698.88] 你只要是分到钱
[00698.88-00700.16] 大家都乐和喝了
[00700.16-00701.92] 你出钱的时候转出
[00701.92-00702.96] 很容易翻脸的
[00702.96-00704.80] 咱们就要有明确的
[00704.80-00705.68] 这样的一个规定
[00705.68-00706.04] 对吧
[00706.04-00707.20] 所以它这个分子
[00707.20-00708.24] 就会涉理到
[00708.24-00710.16] 我们所说的重大事件
[00710.16-00711.32] 收益分配
[00711.32-00712.32] 还有我们所说的
[00712.32-00713.48] 费用负担的问题
[00713.48-00714.88] 好
[00714.88-00716.00] 这是我们所说的
[00716.00-00717.24] 关于案分
[00717.24-00718.24] 共有
[00718.24-00718.72] 案分共有
[00718.72-00719.60] 案分共有
[00719.60-00723.32] 我们说了要分为内部关系和安分外部关系
[00723.32-00725.32] 什么叫内部关系和外部关系呢
[00725.32-00728.60] 安分购我的内部关系就是和共有人之间的
[00728.60-00730.68] 比如是咱俩共同买了一个房子
[00730.68-00732.40] 咱俩共同买了一个车
[00732.40-00735.36] 这个时候就会摄一道咱们两个之间
[00735.36-00738.12] 如何用这个房子如何用这个车的问题
[00738.12-00738.52] 对吧
[00738.52-00740.84] 这个就叫做内部关系
[00740.84-00743.28] 所以在安分购的内部关系当中
[00743.28-00745.92] 咱们来看一下它在这里面是咋说的
[00745.92-00748.16] 同学看一下说
[00748.16-00751.52] 他说暗分购人对自己分额的处分
[00751.52-00756.12] 同学画一下在这里标准一下对自己分额的处分
[00756.12-00760.12] 叫做无需争得其他够人同意
[00760.12-00762.32] 在同论条件之下
[00762.32-00764.92] 其他够人享有优先贡买权
[00764.92-00767.52] 这个就叫做他的内部关系
[00767.52-00770.12] 其实内部关系包含的内容还是比较多的
[00770.12-00772.92] 比如说刚才像我们所说的管理
[00772.92-00774.84] 还有我们所说的收益分配
[00774.84-00778.32] 还有我们所说的行为负担以及分割等等
[00778.32-00780.28] 它其实都属于我们所说的什么
[00780.28-00784.08] 它其实都属于我们所说的叫做内部关系
[00784.08-00787.00] 那在内部关系当中我们重点去掌握哪一个呢
[00787.00-00791.32] 在内部关系当中我们重点去掌握我们所说的处分
[00791.32-00793.80] 有着这个点 同时标注意一下
[00794.92-00796.40] 那对自己分额的处分
[00796.40-00797.56] 同时标注意一下
[00797.56-00799.12] 对自己分额的处分
[00799.12-00800.36] 标注圈1
[00800.36-00802.04] 比如说刚才那两车
[00802.04-00805.88] 对吧,这个车呢,我战了80%
[00805.88-00809.00] 然后呢,你战20%
[00809.00-00812.28] 那这个时候我说,我说我把我这80%的
[00812.28-00815.08] 卖给鞋呢,我把我这80%的份额
[00815.08-00816.96] 转给或者是卖给小A
[00816.96-00819.72] 那这个时候是不是对我自己分额的处分
[00819.72-00822.48] 那如果对我自己分额的处分,那我的东西
[00822.48-00825.08] 我想杂处分就杂处分对不对
[00825.08-00826.60] 所以在这个地方你看
[00826.60-00829.32] 他对共有份额的处分是自由的
[00829.32-00832.40] 叫無需經德他人同意
[00832.40-00834.56] 但是如果說你說我不喜歡小爺
[00834.56-00835.52] 對吧小爺呢
[00835.52-00837.64] 他為人拉他長得又不好看
[00837.64-00838.56] 說哪有你呀
[00838.56-00841.12] 對吧長得又擺進又可愛又有錢呢
[00841.12-00843.40] 我不想和小爺一塊夠這個車
[00843.40-00845.88] 那你如果不想和小爺夠這個車的話
[00845.88-00848.00] 你不能阻止我轉自的份子
[00848.00-00848.76] 那怎麼辦呢
[00848.76-00850.28] 你可以同論條件之下
[00850.28-00852.88] 享有優先購買權
[00852.88-00854.08] 啊,享有先購買權
[00854.08-00854.92] 所以大家注意下
[00854.92-00856.96] 這是第一個對自己份子的處分
[00856.96-00861.12] 你的东西谁不敢搞无需经得谈同意如果
[00861.84-00862.84] 谈人不同意
[00862.84-00864.28] 那他就自己买 对吧
[00864.28-00866.36] 这有时候叫同等条件之下
[00866.36-00868.56] 其他后人想有用钱过买去
[00868.56-00869.68] 如果你不同意
[00869.68-00871.68] 那这有时候百分之二十的部分
[00871.68-00875.68] 你说我出屋钱和小业同样的钱同样的支付方式
[00875.68-00876.88] 你把它卖给我吧
[00876.88-00877.92] 这个车我自己持有
[00877.92-00879.16] 那么OK可以的
[00879.16-00880.04] 没有问题
[00880.04-00881.16] 这个叫对什么
[00881.16-00883.40] 对自己分额得出分
[00883.40-00883.88] 明白了
[00883.88-00885.12] 就是你自己那份
[00885.12-00886.08] 你怎么去出分
[00886.08-00889.48] 但是问题就是在于它可能还会出现一种情况
[00889.48-00891.88] 这是什么呢 是对共有物的处分
[00893.88-00896.08] 就是不卖你自己的这个分额了
[00896.08-00898.28] 而是什么 而是把这两车卖了
[00898.28-00899.88] 你自己做主把这两车卖了
[00899.88-00902.68] 这个就叫做对共有物的处分
[00902.68-00903.88] 对共有物的处分
[00903.88-00905.48] 你现在说过不转让这份额
[00905.48-00907.88] 而是我要把整亮车都转给小鞋
[00907.88-00910.28] 但是问题就在于这两车里面
[00910.28-00912.48] 不僅有你的我的百分之八是
[00912.48-00913.88] 是否还有你的百分之二是
[00913.88-00915.88] 我通过被人你把这个车卖了
[00915.88-00919.28] 显得我多少一点不人道多少一点不要脸对吧
[00919.28-00920.68] 那这个时候怎么办呢
[00920.68-00923.28] 为了保护够人的权益我们说了
[00923.28-00924.88] 对够有物的处分
[00924.88-00927.68] 就是对刚才咱俩这张车的处分
[00927.68-00929.28] 可能会上级到你的利益
[00929.28-00931.88] 这个时候法律就对它进行了限制
[00931.88-00932.88] 提到了一个点
[00932.88-00934.48] 说对处的处分
[00934.48-00935.68] 叫阴灯
[00936.88-00939.32] 那现在旁边叫阴灯经
[00939.32-00941.08] 站分合
[00941.08-00950.08] 站分子2以上的按份过人同意
[00950.08-00957.08] 按份共有人同意
[00958.08-00961.08] 这个就是对过误的处分
[00961.08-00963.08] 同们来看一下我刚才让大家去标注的
[00963.08-00965.08] 这里说就清晰了
[00965.08-00966.08] 我们在讲内部关系的时候
[00966.08-00968.08] 重点也大家讲的处分
[00968.08-00970.02] 是你自己的东西达处分
[00970.02-00970.98] 谁达处分
[00970.98-00971.22] 对吧
[00971.22-00972.22] 你想怎么卖怎么卖
[00972.22-00973.72] 无需经的堪处意
[00973.72-00975.42] 但是如果你说我转过事了
[00975.42-00977.36] 我想把这个东西给卖了
[00977.36-00980.16] 那这个时候就叫做对共有物的处分
[00980.16-00981.28] 那对共有物的处分
[00981.28-00983.12] 修不需要金融其他购人同意了
[00983.12-00985.32] 需要金融什么比利同意
[00985.32-00986.56] 三分之二比利
[00986.56-00987.56] 所以考试的时候
[00987.56-00989.16] 就特别喜欢考察
[00989.16-00990.16] 我们所说的
[00990.16-00993.00] 共有物的处分和分额处分的混小
[00993.00-00993.56] 没卖了
[00993.56-00994.96] 你自己的东西随便搞
[00994.96-00996.16] 但是如果是大家够的
[00996.16-00997.28] 你不能随便搞了
[00997.28-00999.04] 所以在这里大家要明确
[00999.04-01002.60] 这是暗分共有的内部关系内部关系
[01002.60-01004.64] 内部关系是一道内容特别的多
[01004.64-01007.52] 比如说刚才我们所说的重大事象
[01007.52-01010.20] 对这个车的修射维护改装的问题
[01010.20-01010.64] 对吧
[01010.64-01012.12] 那他也属于内部关系
[01012.12-01015.00] 那像这种也是经三分之二的上场议
[01015.00-01017.28] 内部关系当中最重要的就是处分
[01017.28-01019.68] 所以我们讲了对自己分额的处分
[01019.68-01022.36] 以及对共有物的处分
[01022.36-01026.64] 这个是我们所说的关于共有有关于共有当中
[01026.64-01027.56] 内部关系
[01027.56-01028.60] 内部关系
[01028.60-01029.76] 他是平衡
[01029.76-01030.72] 共人之间的
[01030.72-01032.60] 也是咱俩之间的这个关系
[01032.60-01033.96] 但是如果说
[01033.96-01035.84] 除了内部关系之外还有什么
[01035.84-01037.40] 还有外部关系
[01037.40-01038.80] 在外部关系当中
[01038.80-01039.88] 同们来看一下
[01039.88-01041.48] 我们应该如何处理呢
[01041.48-01042.60] 在外部关系当中
[01042.60-01044.44] 往往会涉及到的问题是什么呢
[01044.44-01046.44] 就是对第三人侵权
[01046.44-01048.68] 比如说咱俩共同有的这两车
[01048.68-01049.96] 刚才这个是内部关系
[01049.96-01051.44] 咱们接下讲讲外部关系
[01051.44-01053.84] 我把外部关系给大家补充在
[01053.84-01057.36] 把书上你找一个地方去给他标志一下就行了
[01057.36-01059.08] 那除了有内部关系之外呢
[01059.08-01060.20] 还有外部关系
[01061.00-01063.28] 我再这里给大家做一个颜色上的区分
[01063.28-01063.84] 好吧
[01064.28-01066.16] 咱们刚才讲的是内部
[01066.16-01066.92] 讲的是内部
[01066.92-01069.92] 那今天咱们再来看看外部关系
[01071.84-01072.84] 外部关系
[01073.12-01074.60] 那在外部关系当中呢
[01074.60-01075.20] 咱们说了
[01075.20-01077.40] 往往存在的情况就两种
[01077.40-01080.92] 要就是第三人共同把咱俩的车给整坏了
[01080.92-01083.48] 这个叫做第三人亲害共诺
[01083.48-01085.40] 那要么就是我们所说的什么
[01085.40-01087.40] 咱们的车把别人给侵害了
[01087.40-01090.12] 这个时候就叫做共有物侵害第三人
[01090.12-01091.52] 所以在外部关系当中
[01091.52-01093.08] 要么就是别人欺负咱俩了
[01093.08-01095.56] 要么就是咱俩共同给别人欺负了
[01095.56-01097.84] 所以在这里面就会睡一道两种情况
[01097.84-01100.28] 第一种情况就是第三人
[01102.28-01103.32] 第三人啊
[01103.32-01104.68] 侵害共有物
[01109.32-01111.12] 第三人侵害共有物
[01111.12-01112.52] 比如说咱俩一块
[01112.52-01114.02] 買的那兩車 對吧
[01114.02-01115.62] 在一塊買的那兩車呢
[01115.62-01116.90] 就開在那個路上
[01116.90-01118.52] 那兩一百萬的車要同行門
[01118.52-01120.76] 我是到現在沒有見我一百萬的車
[01120.76-01122.68] 我只自然車我現在都不會起
[01122.68-01123.96] 我兩個電平車都沒有
[01123.96-01125.24] 所以你我看到一百萬車
[01125.24-01126.70] 我眼就紅 對吧
[01126.70-01128.78] 所以一百萬的車價值不負
[01128.78-01131.14] 然後咱俩有一天在這個路上
[01131.14-01132.18] 就開這個車玩
[01132.18-01133.88] 然後我看到旁邊有個咖啡店
[01133.88-01136.22] 我說不錯 喝杯咖啡店
[01136.22-01138.08] 你說正有詞意
[01138.08-01139.62] 於是咱俩就進了咖啡店
[01139.62-01141.58] 就把這個車停在這個路邊了
[01141.58-01143.06] 但由於停車的時候
[01143.06-01145.26] 這個車停得稍微有一點外
[01145.54-01146.82] 確實是在車位當中
[01146.82-01148.14] 但是沒把車停證的
[01148.14-01149.70] 然後這個時候就來了一個人
[01149.70-01150.02] 對吧
[01150.02-01151.22] 大家現在也都知道
[01151.90-01154.54] 大家現在公共壓力表達內心表脆弱
[01154.54-01155.90] 他今天的高倍老闆
