[00000.00-00006.92] 好,那说完了前科的这个文实机之后,我们就来进入到科技革命的时期的学习。
[00773.64-00775.32] 所以它是发明了第一台
[00775.32-00779.12] 而谁是发明了第一台可以实际用用的
[00779.12-00780.44] 换下实际分分
[00780.44-00785.64] 所以实际分分创造了第一台可宫实际应用的蒸气机车
[00785.64-00787.24] 在这里面 你把
[00787.80-00789.16] 我们所说的可宫
[00789.16-00791.32] 换下实际应用这个刺标出来
[00791.32-00792.68] 所以我们现在才说了
[00792.68-00795.36] 使得分酸发明了蒸气机车
[00795.36-00798.56] 可光使应用就是当时搭住一下所有的车
[00798.56-00800.72] 都不是出于拉成克的需要的
[00800.72-00802.28] 最开始蒸气机车出来
[00802.28-00804.20] 是出于提高生产效率需要的
[00804.20-00806.12] 因为它要去拉很多的礦石
[00806.12-00807.56] 拉很多的东西回来
[00807.56-00808.60] 所以这种情况之下
[00808.60-00809.64] 它是出于这个需要
[00809.64-00811.00] 后来拉文货人们发现
[00811.00-00812.40] 这个东西还可以拉人
[00812.40-00815.48] 所以才有了我们所说的蒸气火车
[00815.48-00817.00] 所以在这里大家注意一下
[00817.00-00820.28] 这是蒸气机的第一方面的应用
[00820.28-00823.68] 要去分第一台和第一台能用的不一样
[00823.68-00827.08] 这是蒸气机的第一个方面应用叫蒸气机车
[00827.08-00828.48] 除了蒸气机车之外
[00828.48-00829.28] 它还可以干嘛呢
[00829.28-00832.28] 它还可以用这个气推着轮传在海上走
[00832.28-00834.76] 所以在这里面蒸气机的第二个方面应用
[00834.76-00838.68] 画一下是负顿发明了驱动轮传
[00838.68-00840.28] 这是负顿发明了轮传
[00840.28-00841.88] 它的轮传你看像这个样子
[00841.88-00842.88] 给我们给大家图示的
[00842.88-00845.68] 莫言所有的莫言的都是一蒸气味动力的
[00846.68-00847.88] 所以大家注意一下
[00847.88-00850.70] 这是我们所说的蒸气集它的一个应用
[00850.70-00852.44] 你说老师为什么要记这个呢
[00852.44-00855.04] 朋友注意咱们在国好当中考过一个点
[00855.04-00856.92] 说以下
[00856.92-00858.88] 那就是它给到了圈一圈
[00858.88-00859.92] 圈圈圈是圈我
[00859.92-00861.96] 它说以下这五个职业出现
[00861.96-00863.88] 先后设计正确或者错误的事
[00863.88-00865.04] 其实就是在考什么
[00865.04-00865.80] 排序
[00865.80-00868.04] 比如说它说的火车司机
[00868.04-00870.92] 轮传的我们所说的鸡石源
[00870.92-00872.52] 飞机的鸡石源
[00872.52-00873.84] 那我们就先说这三个
[00873.84-00876.92] 你看火车的鸡石源
[00876.92-00879.54] 飛機的駕駛員哪個先出現
[00879.54-00880.74] 只能火車
[00880.74-00881.58] 因為我們剛才說
[00881.58-00883.06] 它屬於第一次公園革命當中
[00883.06-00884.50] 爭氣機車的運用
[00884.50-00887.22] 所以你看它本身還是在考什麼
[00887.72-00890.92] 本身還是考成就和我們所說的具體
[00890.92-00892.42] 它的一個實際的對用
[00892.42-00894.84] 所以在這我就給大家提的建議就是
[00894.84-00898.08] 你6把這些復雜的點決得簡化
[00898.08-00899.72] 我甚至給大家講這麼多的故事
[00899.72-00901.32] 就是為了大家能夠熟悉它
[00901.32-00901.90] 好吧
[00901.90-00903.12] 所以在這裡大家注意
[00903.12-00904.12] 這是販倫
[00904.12-00907.12] 它的文传 这是蒸细机的第二个方面的应用
[00907.12-00908.32] 所以这是在这里
[00908.32-00910.72] 我们所说的发明成就当中的前三个
[00910.72-00912.72] 那发明成就除了有这前三个之外
[00912.72-00915.12] 还有第四个 这是比较有名的
[00915.12-00917.72] 同时标注一下 叫做有限电报
[00917.72-00920.72] 有限电报 同时注意下是谁搞出来的呢
[00921.12-00923.12] 是模耳丝 搞出来的
[00923.12-00925.12] 所以模耳丝搞出来了有限电报
[00925.12-00928.92] 所以模耳丝也被称着位叫做电报支付 协在旁边
[00930.72-00932.92] 也被称着位叫做电报支付
[00932.92-00936.24] MERSA,他家也是非常良好的家庭
[00936.24-00938.04] 他出身的一个墨石家庭
[00938.04-00940.84] 他的父亲被称之为叫做美国的地理学支付
[00940.84-00944.12] 小孩从出生的时候就非常有天赋
[00944.12-00946.12] 19岁的时候就考入业路大学了
[00946.12-00948.88] 没随了,对吧,10来做上业路了
[00948.88-00951.12] 上业路大学就学学习的时候
[00951.12-00952.12] 就觉得
[00952.12-00954.12] 我学了这个专业不是很喜欢
[00954.12-00956.28] 但是科目,这他的学程就特别好
[00956.28-00958.36] 虽然他不喜欢,但是考的分都很高
[00958.36-00960.04] 后来从业路大学毕业之后
[00960.04-00961.72] 他就又去到了英国
[00961.72-00965.06] 叫英國皇家一直學院去學三年的會話
[00965.06-00968.46] 就學了從英魯逼的最後一個一書創作
[00968.46-00970.82] 她的這個會話天賦也非常高
[00970.82-00972.56] 因為她太喜歡會話了
[00972.56-00973.72] 所以她就去畫畫
[00973.72-00976.16] 但那個時候她去英國皇家
[00976.16-00977.40] 又學院學院會話之後
[00977.40-00978.44] 她就已經結婚了
[00978.44-00981.42] 但是她是在全國各地去尋有
[00981.42-00982.56] 然後去給人家畫畫
[00982.56-00983.72] 這了很多的錢
[00983.72-00984.68] 然後後來呢
[00984.68-00986.62] 就是有一天在的紐約畫畫的時候
[00986.62-00988.14] 她都父親給她寫了一封信
[00988.14-00991.86] 说他的妻子在生孩子的时候不信任病
[00991.86-00993.62] 然后妻子马上就要去世了
[00993.62-00996.78] 让这个模儿子干起回来看一下
[00996.78-00999.34] 模儿子说了这风信的时候快把家庭我回走
[00999.34-01001.02] 但是等到回到家的时候
[01001.02-01003.86] 很厉害他的妻子已经去世很长时间了
[01003.86-01007.10] 就是因为原本的那种书信车码的通信方式
[01007.10-01008.58] 是不是有一点慢
[01008.58-01009.66] 所以当时
[01010.30-01013.82] 模儿子就说这种传统的通信方式太慢了
[01013.82-01015.54] 他真的是带来了很多的问题
[01015.54-01017.78] 甚至成为了他忠生的遗憾
[01017.78-01020.78] 所以当时这个门尔斯就说他一定要搞出来一个
[01020.78-01023.94] 传就是通讯方式特别变解的这样一种
[01023.94-01025.34] 我们所说的这种通信
[01025.34-01028.50] 于是他40多岁的时候开始转身去研究
[01028.50-01031.22] 有没有必传统通讯方式更变解的方式
[01031.22-01034.30] 然后终于在1839年的时候
[01034.30-01035.62] 研制成功了
[01035.62-01036.98] 然后这种情况之后
[01036.98-01040.54] 就了我们所说的这个门尔斯有限电报
[01040.54-01042.18] 所以在这里大家就想门尔斯
[01042.18-01044.54] 它的第一个成就就是有限电报
[01044.54-01047.22] 所以同时注意这是人物和成就的对应
[01047.22-01049.36] 但有限电报呢,大家都知道
[01049.36-01052.60] 他就有限电报拍的时候会比较贵
[01052.60-01054.60] 对吧,因为你在这种情况下你
[01054.60-01056.04] 他是按字来说飞的
[01056.04-01059.64] 那这种情况下,我们所说这个电报拍到谁的那边
[01059.64-01062.58] 那谁就能够解释到那一同时也意味着
[01062.58-01066.04] 如果说正常的,咱们生活当中的往来同些还行
[01066.04-01069.12] 但是如果不是正常生活当中的往来同性呢
[01069.12-01070.78] 比如说这个信息对你特别重要
[01070.78-01073.46] 如果被别人随便解端的话,信息是不是就稀落了
[01073.46-01076.80] 所以他在我们所说的这种有限电报的技术之上
[01076.80-01077.72] 又搞出来了什么
[01077.72-01078.60] 又搞出来了
[01078.60-01079.72] 莫斯密码
[01080.72-01081.56] 现在旁边
[01082.40-01083.20] 莫斯店
[01083.20-01084.04] 莫斯密码
[01084.04-01085.44] 他也叫莫斯店
[01088.64-01090.08] 咱们经常会在
[01090.08-01090.56] 那个
[01090.80-01092.04] 那个别人据你们听到
[01092.04-01092.80] 地
[01092.80-01094.64] 地
[01094.64-01095.44] 就来随这种
[01095.44-01095.68] 对吧
[01095.68-01096.88] 那其实就是我们所说的
[01096.88-01098.32] 这个莫斯密码
[01098.32-01099.20] 莫斯店码
[01099.20-01100.28] 莫斯密码
[01100.28-01101.72] 他一共是26个
[01101.72-01102.36] 1文字母
[01102.36-01103.36] 最开始的时候
[01103.72-01104.60] 是26个
[01104.60-01105.36] 1文字母
[01106.80-01110.80] 和10个阿拉伯数字
[01115.80-01117.30] 10个阿拉伯数字
[01117.80-01121.64] 组成啊,比如说他这里面的铃儿长沙样
[01121.64-01124.98] 或者是他就是他这个10个阿拉伯数字不是一到十啊
[01124.98-01126.00] 而是零到九
[01126.00-01129.00] 比如说铃儿他就是五个杆二三四五
[01129.00-01129.80] 这是铃儿
[01129.80-01132.60] 然后一一就是从一个点开始
[01132.60-01134.24] 1 2 3 4
[01134.24-01135.60] 这是1 2的画大纸
[01135.60-01137.30] 这是1 2 2 2 2
[01137.30-01137.78] 1
[01137.78-01138.30] 然后
[01138.30-01138.80] 哎呦
[01139.40-01140.10] 拿去了
[01141.10-01141.80] 再这样
[01141.80-01142.60] 然后
[01142.60-01144.00] 1 2 3
[01144.00-01145.00] 就一次累推码
[01145.00-01145.90] 然后一直推到9
[01145.90-01147.90] 然后它的261文怎么也是啊
[01147.90-01150.20] 一般都是两类三类个四位的
[01150.20-01151.00] 按比如说
[01151.00-01151.20] A
[01151.20-01151.90] 这么A
[01151.90-01153.12] 那他就是一个点
[01153.12-01153.80] 加一个很
[01153.80-01154.44] 很笨
[01154.44-01156.60] 他就是一个很加三个点
[01156.60-01157.60] 所以这种啊
[01157.60-01159.30] 就是比较变解
[01159.30-01161.00] 就是加上了加密通话
[01161.00-01162.64] 這是我們所說的外語
[01162.64-01164.54] MERS它的一些科技成就
[01164.54-01166.32] 所以在這裡它就知道
[01166.32-01168.24] MERS兩個成就
[01168.24-01169.36] 有些電報
[01169.36-01171.20] 第二是在有些電報就有著上搞出了
[01171.20-01173.52] 我們現在經常會看到什麼切聽風運
[01173.52-01174.88] 不能說切聽風運
[01174.88-01176.28] 這是那個按算
[01176.28-01177.44] 流人龍之前眼窩
[01177.44-01178.16] 對吧
[01178.16-01182.28] 然後眼的這個派電報的這個加密的這個MOS密
[01182.28-01183.44] 大家注意一下
[01183.44-01185.76] 這是我們所說的外語發明成就
[01185.76-01187.20] 有知識技術成就
