[00000.00-00005.76] 好了,我们终于走到了整个迷法当中的最后一篇就是青权责任
[00116.48-00117.00] 结果宝宝
[00117.00-00118.76] 说起来之后身体不是很好
[00118.76-00119.52] 这个时候
[00119.52-00121.04] 他也可以
[00121.04-00121.64] 怎么样
[00121.64-00123.04] 就可以像医院主张
[00123.04-00123.80] 青年责任
[00123.80-00125.40] 因为他保护个是他尔的利益
[00125.40-00126.92] 保护他尔就保护什么
[00126.92-00128.00] 撕着对不对
[00128.00-00128.60] 所以我们说了
[00128.60-00129.56] 在撕着当中的
[00129.56-00131.32] 他的名预等等这些
[00131.32-00133.16] 其实都是我们所说的
[00133.16-00134.92] 青权责任偏
[00134.92-00137.08] 他调整的民事关系的范围
[00137.08-00139.72] 所以整个青权责任偏调整的就是
[00139.72-00141.88] 因亲汉民事权异
[00141.88-00143.88] 而产生的法律關係
[00143.88-00146.36] 他就受到清選責任的調整
[00146.36-00148.28] 那我們就來看一下這個清選責任
[00148.28-00149.80] 到底是要怎麼回事
[00149.80-00152.52] 我們在清選責任當中首先第一個我們要知道
[00152.52-00154.52] 竟然他提到了清選責任
[00154.52-00156.84] 比如說清害你的民視權力
[00156.84-00159.24] 或者是清害你的民視權益
[00159.24-00161.72] 那這個時候都可以主張清選責任
[00161.72-00164.28] 那這個清選責任一定是行為人時事了
[00164.28-00165.64] 一個什麼樣的行為
[00165.64-00167.56] 讓你造成了相的損害
[00167.56-00168.04] 對吧
[00168.04-00169.28] 那問題是在於
[00169.28-00171.72] 清選人時事的這個行為
[00171.72-00173.72] 对你造成的这个損害
[00173.72-00177.10] 它到底能不能规则到亲全人的身上呢
[00177.10-00178.94] 这个时候就会涉一到一个什么
[00178.94-00181.96] 亲全责任的规则原则
[00181.96-00183.60] 比如说我在路上走着呢
[00184.60-00185.70] 在路上走着走着呢
[00185.70-00186.50] 然后突然呢
[00186.50-00188.64] 这个路上都是那个花盘的给我打伤了
[00188.64-00189.64] 那这个时候
[00189.64-00191.38] 掉下这个花盘把我杂伤了
[00191.38-00193.54] 是不是对我造成的身体上的亲全呢
[00193.54-00196.10] 那他这个侵犯了我的人身权
[00196.10-00197.54] 侵犯了我的人身健康
[00197.54-00201.32] 那我要把这个花盘掉下来把我杂伤的责任
[00201.32-00202.48] 归就给谁呢
[00202.48-00203.88] 如何去归则呢
[00203.88-00205.88] 这个时候就会摄影到一个叫做
[00205.88-00207.68] 清全责任归则的问题
[00207.68-00209.48] 咱们来看一下在红官上
[00209.48-00211.48] 到清全责任的归则原则
[00211.48-00213.52] 是只在行为人或行为
[00213.52-00215.88] 质人損害时
[00215.88-00218.72] 根据合种标者和原则确定行为人的
[00218.72-00219.72] 确定责任
[00219.72-00221.28] 在这个归则原则当中
[00221.28-00222.52] 我们主要有两个
[00222.52-00224.96] 第一个就叫做过错归则
[00224.96-00225.64] 年龄说
[00225.64-00226.60] 我如果
[00226.60-00227.48] 举个简单例子
[00227.48-00228.52] 咱们就以这个例子为例
[00228.52-00229.88] 就是我刚才说我在那儿走
[00229.88-00232.12] 然后楼上丢下花盖给我杂伤的这个事
[00232.12-00232.60] 对吧
[00232.60-00233.72] 那这个时候呢
[00233.72-00234.76] 我们要看
[00234.76-00236.02] 他到底要不要承担
[00236.02-00237.68] 准备看这个人有没有什么
[00237.68-00238.72] 有没有过错
[00238.72-00240.32] 这花盖在家阳台上
[00240.32-00241.72] 你有没有进到相当的
[00241.72-00243.56] 我们所说的妥善保管的意误
[00243.56-00245.24] 如果说花盖在家屋里
[00245.24-00246.52] 掉出来给我杂伤了
[00246.52-00247.48] 那这是一会是
[00247.48-00248.60] 那如果花盖呢
[00248.60-00251.12] 你原本可以给他放的好好的
[00251.12-00253.36] 放在屋子里结构你飞在给他放在阳台上
[00253.36-00255.04] 放在阳台上放在阳台上吗
[00255.04-00255.88] 你这个时候呢
[00255.88-00256.88] 不减给他放在阳台上
[00256.88-00258.44] 你还就把个BR放
[00258.44-00261.04] 那这时候就很容易掉下去怎么样 咱们别人
[00261.04-00263.04] 那这里面就吃了一道一个问题
[00263.04-00267.24] 就是第一个我们的规则原则就看行为人到底有没有过错
[00267.24-00271.04] 如果行为人过错的话 那这个就叫做过错责任原则
[00271.04-00274.04] 那这个时候他有过错就要把责任规则到他的身上
[00274.04-00277.24] 那还有一种责任方式就是无过错责任原则
[00277.24-00280.84] 什么叫无过错呢 只要行为造成了所还结果
[00280.84-00282.84] 我管你有没有错呢 对吧
[00282.84-00285.04] 只要行为造成所还结果
[00285.04-00287.64] 我不管你有没有过错 你一律承担啊
[00287.64-00288.36] 清晨责任
[00288.36-00290.04] 这个就是我们所说的
[00290.04-00292.00] 清晨责任当中的过错责任原则
[00292.00-00294.00] 以及无过错责任原则
[00294.00-00295.28] 但是这两规则原则
[00295.28-00297.64] 大家简单了解一下就可以了
[00297.64-00299.52] 这是我们所说的规则原则
[00299.52-00301.24] 那在整个规则原则当中
[00301.24-00303.36] 说了既然叫清全责任
[00303.36-00304.76] 这有时候规则了之后
[00304.76-00306.40] 你是不是要承担相的责任
[00306.40-00308.24] 那你承担多少责任
[00308.24-00310.92] 这时候就会设计到一个责任原则
[00310.92-00313.40] 这个责任原则就叫做公平责任原则
[00313.40-00315.20] 这个地方简单看一下就行了
[00315.20-00317.04] 说如果说方当时对所还结果
[00317.04-00318.24] 都没有发生过错的话
[00318.24-00319.36] 那这个时候怎么办
[00319.36-00321.08] 这个时候就说说方服单呗
[00321.08-00322.88] 那这个就叫做公平责任原子
[00322.88-00324.72] 他主要是用在什么问题呢
[00324.72-00327.92] 就是建议为或者是高空抛护账呢
[00327.92-00329.56] 就是有的侵权行为
[00329.56-00331.12] 你没有办法确定是谁
[00331.12-00333.68] 但是确实又是在你这个区域内
[00333.68-00335.48] 或者在你这个动楼里面发生的
[00335.48-00337.76] 那这个时候到你没有办法确定是谁的话
[00337.76-00338.60] 那大家都陪
[00338.60-00341.04] 就比如说我刚才所说的那个花盆掉下来
[00341.04-00342.88] 把人杂伤的这个案例
[00342.88-00344.56] 那花盆掉下来把人杂伤了
[00344.56-00346.16] 那这个时候我用掉间控
[00346.16-00349.36] 然后警察又过来排查反正也确定不了
[00349.36-00352.16] 他是哪家掉在杂伤的那么不好意思
[00352.16-00355.68] 如果你没有办法证明这件事情和你目关
[00355.68-00359.20] 这个楼层当中的所有人都要承担什么责任
[00359.20-00360.72] 都要承担欺骗责任
[00360.72-00362.72] 这个就叫做公平责任原则
[00362.72-00364.96] 所以这几个责任规则原则
[00364.96-00367.44] 大家稍微有一个概念
[00367.44-00369.52] 在这个时候有感觉就可以了
[00369.52-00373.20] 因为这个概念是我们在讲课过之当中经常会提到的
[00373.20-00375.08] 我一旦提高说顾错责任原则
[00375.08-00376.76] 一旦提高无顾错责任原则
[00376.76-00378.52] 你知道他大概什么意思就行
[00378.52-00382.16] 但这个顾责原则一般在考试过程当中
[00382.16-00384.16] 可考效非常弱
[00384.16-00386.32] 我们在考试当中主要考察什么呢
[00386.32-00389.72] 我们主要考察亲权责任的顾成要件
[00389.72-00393.60] 以及我们所说的典型的亲权的类型
[00393.60-00395.68] 这个时候我们就来看一下
[00395.68-00398.48] 我们在整个亲权责任当中的顾成要件
[00398.48-00400.84] 他说一般亲权责任的顾成要件
[00400.84-00402.68] 他必备是四个要件
[00402.68-00406.36] 這4月2日的首行第一個必須帶有一個清懸行為
[00406.36-00407.48] 第二一個就是
[00407.48-00410.60] 你的這個行為一定要造成了損害事實
[00410.60-00413.88] 然後損害事實和行為之間有英國關係
[00413.88-00415.48] 如果在這個過程當中
[00415.48-00417.24] 它強的過錯責任原則
[00417.24-00418.12] 那就要過錯
[00418.12-00419.88] 如果沒有過錯責任原則的話
[00419.88-00423.40] 就是是屬於無過錯責任原則的重形式
[00423.40-00425.16] 它就沒有過錯這個要價
[00425.16-00429.24] 所以說小要過程訊息就是行為結果英國關係
[00429.24-00431.00] 再看有沒有過錯
[00431.00-00433.60] 所以这个点相对来说比较简单
[00433.60-00436.60] 这个点一般在实体清天责任考察的时候
[00436.60-00437.80] 考的会比较少
[00437.80-00439.60] 反而在什么时候考的比较多呢
[00439.60-00442.08] 它可能是在民事诉讼法当中
[00442.08-00445.00] 会提到一个叫做举政责任道治
[00445.00-00447.40] 如果一旦提到举政责任道治的话
[00447.40-00450.00] 它可能会涉及到一般清全的要加
[00450.00-00452.60] 但是那个是在民诉当中给大家讲的
[00452.60-00454.20] 而在举政责任道治当中
[00454.20-00455.40] 会在举政责任当中
[00455.40-00460.40] 它就会说哪些人对哪些事情成单举政责任
[00460.40-00467.46] 那这时候呢,如果是清全的话,那一共就是这四个方面,要承担相的几层责任,只剩责任分配不一样。
[00467.46-00475.12] 所以大家对这个清全责任的过程要见,有一个概念,就是行为结果因为关系,以及要看它师傅就有过错。
[00475.12-00484.66] 所以这是一般清全的过程要见。但是我们要给大家讲,不是要给大家去详细去讲,会在考试当中比较喜欢考的是什么呢?
[00484.66-00486.42] 是特殊的侵犯责任
[00486.42-00488.82] 有的是具体的侵犯的责任
[00488.82-00490.50] 我们在具体侵犯当中
[00490.50-00494.02] 其实包括7类的点形侵犯责任
[00494.02-00495.06] 这是我们所说的
[00495.06-00497.62] 还有我们所说就是特殊主体的侵犯
[00497.62-00499.06] 那我们在考试当中
[00499.06-00500.66] 我们不把它分得这么细
[00500.66-00502.98] 不给了分成7类的点形侵犯
[00502.98-00505.62] 也不给它去分成什么特殊的这种侵犯
[00505.62-00507.06] 我们就给它放在一块
[00507.06-00508.02] 咱们来看一下
[00508.02-00510.10] 如果一旦发生这种侵犯的话
[00510.10-00511.38] 咱们应该怎么办
[00511.38-00512.98] 在这个地方考试的时候
[00512.98-00515.70] 他比较喜欢考的是理解型的体目
[00515.70-00517.58] 在考理解型的体目的时候
[00517.58-00518.78] 他往后就会考察
[00519.58-00520.58] 这么几个角度
[00520.58-00522.98] 第一个我们要能够判断出来
[00522.98-00526.10] 他到底属于拿种类型的侵券
[00527.78-00531.18] 第一个就是我们要做到的是先判断类型
[00532.78-00536.18] 这个类型就是在特殊侵券当中给大家讲解的
[00536.38-00537.58] 第二个就是要知道
[00537.58-00539.38] 如果判断出来了他的类型
[00539.38-00542.38] 他往往考则是这件事情一旦发生了
[00542.38-00544.68] 由谁来承担亲全责任
[00544.68-00548.48] 第二个我们就要知道承担责任的主体
[00552.78-00555.44] 第二个就是能够变成了责任的主体
[00555.44-00558.00] 它就是会以案例的形式出现了
[00558.00-00563.12] 这个就是我们所说的考察的角度
[00563.12-00565.24] 理解了考察的角度之后
[00565.24-00567.58] 咱们接下来稍微多一点耐心
[00567.58-00570.80] 咱们主意去看一下这些亲全责任
[00570.80-00572.20] 他是什么类型
[00572.20-00573.40] 他属于哪种侵权
[00573.40-00576.20] 以及如果这些行为一旦发生的话
[00576.20-00577.28] 我们应该去找谁
[00577.28-00578.48] 赔传的问题
[00578.48-00579.32] 我们来看一下
[00579.32-00580.40] 第一个就叫做
[00580.40-00581.60] 兼护人责任
[00581.60-00582.40] 兼护人责任
[00582.40-00583.40] 他现绝于什么呢
[00583.40-00584.00] 首先第一个
[00584.00-00584.80] 我们标注一下
[00584.80-00586.16] 他释用于
[00586.80-00588.40] 屋名是行为能力人
[00588.40-00590.64] 或者是现职名是行为能力人
[00591.92-00593.20] 彭文化关系此
[00593.60-00594.20] 第一个
[00594.20-00595.40] 把无话出来
[00595.40-00597.40] 第一个是无名是行为能力人
[00597.40-00599.80] 第二个是现职名是行为能力人
[00599.80-00601.80] 因自己的行为之所害的
[00601.80-00602.68] 那这种情况之下
[00602.68-00603.32] 首先第一个
[00603.32-00604.36] 他的事用范围
[00604.36-00606.00] 就是无限民
[00606.80-00607.92] 无名是行为能联比
[00607.92-00609.80] 说八岁一下的小孩
[00609.80-00610.44] 对吧
[00610.44-00612.16] 限制迷事行为能联比
[00612.16-00614.00] 说我们所说的这个
[00614.00-00614.80] 十八周嘴
[00614.80-00615.40] 八周嘴上
[00615.40-00617.32] 十八周嘴下的这些孩子
[00617.32-00618.96] 又或者我们常说的
[00618.96-00620.92] 什么办风的这种精神病人
[00620.92-00623.56] 那他就属于限制迷事行为能联
[00623.56-00624.12] 这些人呢
[00624.12-00625.32] 他没有办法完全
[00625.32-00626.64] 变任自己的行为的
[00626.64-00628.40] 所以他如果一旦做出什么
[00628.40-00629.94] 过激的行为过激的计斗
[00629.94-00631.76] 说很容易造成别人損害
[00631.76-00633.78] 比如说我们说了一个
[00633.78-00635.44] 举个简单的例子
[00635.44-00636.08] 比如说
[00636.08-00637.36] 一个
[00637.36-00639.66] 23周岁的小A
[00639.66-00641.04] 23周岁的小A
[00641.04-00642.78] 它还有长年坏有什么呢
[00642.78-00644.02] 坏有造动证
[00644.02-00646.06] 然后它的精神也是市场的
[00646.06-00647.10] 它属于完全
[00647.10-00649.06] 掛射行为能力的这种精神病人
[00649.06-00650.16] 它是一个成年人吧
[00650.16-00651.06] 像这种人
[00651.06-00652.90] 它必须是在父母的尖管之下
[00652.90-00654.32] 如果在他父母
[00654.32-00655.88] 照看这个小A的时候
[00655.88-00656.82] 没有照开好
[00656.82-00658.16] 小A突然跑出去了
[00658.16-00661.32] 在大街上 封康的大人封康的商人
[00661.32-00662.96] 是不是在大街上给人打商了
[00662.96-00664.20] 如果给人打商的话
[00664.20-00664.96] 这个时候
[00664.96-00667.60] 你就要把这个打商的人送去厌商
[00667.60-00669.24] 然后在相用的赔偿
[00669.24-00670.88] 这个赔偿责任谁来承待呢
[00670.88-00671.84] 来看一下
[00671.84-00675.60] 他说说如果是无名是行为的联已经
[00675.60-00676.92] 现至名是行为的联任
[00676.92-00678.44] 因此一个行为自身損害的
[00678.44-00680.44] 有看一下
[00680.44-00681.60] 有他的什么
[00681.60-00684.96] 父母或者是其他兼护人承待责任
[00684.96-00686.76] 所以这里的责任主体
[00686.76-00688.40] 曼佢就知道是佢呢
[00688.40-00688.76] 誰呀
[00688.76-00690.28] 佢嘅父母
[00690.28-00690.92] 或其佢
[00690.92-00692.84] 兼互人承擔相依嘅
[00692.84-00694.40] 賠償嘅責任
[00694.40-00694.60] 咁呢
[00694.60-00695.72] 呢個就系我哋所說嘅
[00695.72-00696.76] 有關兼互人责任
[00696.76-00697.40] 呢個比喬償
[00697.40-00698.44] 价念嘅比喬小孩
[00698.44-00699.16] 之間打仗
[00699.16-00700.92] 就像喺幼兒圓或小學嘅時候
[00700.92-00702.20] 咁不經常就打下嚟
[00702.20-00702.92] 咁打下住
[00702.92-00704.04] 點喺孩子打傷嘅之後
[00704.04-00704.52] 幹啪
[00704.52-00705.40] 找家長
[00705.40-00706.36] 咁為啥找家長呢
[00706.36-00707.40] 因為小孩就唔咗
[00707.40-00708.00] 這個問題
[00708.00-00708.28] 喎
[00708.28-00709.64] 所以喺這裡面誰承擔
[00709.64-00710.36] 佢上責任呢
[00710.36-00711.40] 要不是他的父母
[00711.40-00714.44] 如果沒有父母的話就會由他的親他見負人來
[00714.44-00717.40] 那這個時候就會涉及到一個考點的聯動
[00717.40-00718.28] 哪一個考點呢
[00719.16-00720.36] 就是我們所說的
[00720.36-00721.48] 見虎之度嘛
[00721.48-00723.08] 我們在肩膜制度當中說了
[00723.08-00725.88] 第一個法定見虎父母是首要的
[00725.88-00727.88] 當然的優先的見虎人
[00727.88-00729.16] 那如果沒有父母
[00729.16-00731.32] 那父母就可以一族指定見虎
[00731.32-00732.84] 如果沒有一族指定見虎的話
[00732.84-00735.40] 那就後面按照其他的這種見虎之度來
[00735.40-00735.88] 就可以了
[00735.88-00736.76] 你可以協議
[00736.76-00739.00] 你可以以我們所說的什麼指定
[00739.00-00740.12] 等等這種
[00740.12-00741.80] 那大家注意一下 這是第一個
[00741.80-00742.80] 叫《京湖人責任》
[00742.80-00744.40] 這個相當來說比較簡單
[00744.40-00745.40] 同時能夠判斷出來
[00745.40-00747.20] 責任主體是誰就行了
[00747.20-00748.92] 第二種責任叫做
[00748.92-00750.20] 植物侵權
[00750.20-00752.28] 大家注意一下植物侵權指的是啥呢
[00752.28-00753.12] 你看提幹
[00753.12-00755.24] 他說用人單位的工作人員
[00755.24-00757.80] 因執行工作造成它是損害的
[00757.80-00760.12] 由用人單位承擔責任
[00760.12-00761.24] 用人單位承擔責任後
[00761.24-00763.88] 可以向有故意或中大故事的責任工作人員
[00763.88-00766.12] 最長 這裡沒有兩個細節上的考點
[00766.12-00767.00] 大家注意一下
[00767.00-00768.36] 第一個點就是
[00768.36-00770.66] 我们要知道是用人单位的工作人员
[00770.66-00771.32] 第1个细节
[00771.32-00772.96] 是在執行公务
[00773.74-00775.72] 叫執学工作任务期间
[00775.72-00777.84] 造成他人損害的
[00777.84-00779.62] 比如说我呢
[00779.62-00782.44] 所以做那个魅生清节的
[00782.44-00783.98] 比如说我就是个宝家议
[00783.98-00784.36] 然后呢
[00784.36-00786.54] 突然有一天我们的家人公司
[00786.54-00787.56] 他就接到了一个电话
[00787.56-00789.20] 让我呢去一个小区里面
[00789.20-00790.90] 去给他去打手这个房间
[00790.90-00792.44] 结果在小区当中呢
[00792.44-00793.44] 去到这个小区
[00793.44-00795.74] 给这库人家去打手房间的时候呢
[00795.74-00797.02] 那我在執行公务的时候
[00797.02-00798.06] 就没有注意到
[00798.06-00799.38] 他家有小孩
[00799.38-00803.62] 然后我在打掃东西的时候就把那个清晓的工具了
[00803.62-00805.30] 我就对待对了移帝嘛
[00805.30-00807.34] 因为你要打掃这个工具饭为票
[00807.34-00809.58] 所以我就把清掃的工具就对了移帝
[00809.58-00812.02] 对了移帝之后我就没有注意到他这个孩子
[00812.02-00813.42] 然后我去了大家打掃的时候
[00813.42-00815.30] 他大人不用跟我抢到这个事
[00815.30-00817.86] 所以我就在打掃的过程当中
[00817.86-00818.90] 把工具都放在那
[00818.90-00821.62] 有很多工具相对来说可能会有一点分厉
[00821.62-00823.14] 然后那个孩子睡醒了呢
[00823.14-00824.30] 就往房间外走
[00824.30-00825.62] 大概是三四岁小孩
[00825.62-00826.54] 不小心
[00826.54-00829.42] 一下子就踩到了我的青睫的工具上
[00829.42-00830.34] 把脚架上了
[00830.34-00831.34] 那这种情况之下
[00831.34-00831.78] 你看
[00831.78-00834.18] 我对人家的孩子的身体健康
[00834.18-00835.54] 造成了侵犯
[00835.54-00837.30] 那这种时候就要成他什么责任
[00837.30-00838.14] 侵犯责任
[00838.14-00839.22] 但是问题是
[00839.22-00841.30] 当我在執行工作任务的时候
[00841.30-00842.86] 造成他人侵害的
[00842.86-00843.66] 大家注意一下
[00843.66-00846.02] 那如果说这一家人
[00846.02-00847.30] 他要主张赔承
[00847.30-00848.38] 他是找谁赔承
[00848.38-00850.18] 是找我还是找我的公司
[00851.38-00852.22] 大家注意一下
[00852.22-00854.06] 他要去找我的公司来赔承
[00854.06-00854.74] 所以在这里面
[00854.74-00856.02] 每大主義也協商圈一
[00856.02-00859.28] 因職行公務造人單損害的優人單位
[00859.28-00860.34] 承擔貪貪貪貪
[00860.34-00862.42] 也是他們家如果想要去告
[00862.42-00863.24] 那告誓呢
[00863.24-00864.64] 那一定要去告
[00864.64-00866.64] 我們公司而不能告我
[00866.64-00868.12] 那這是第一個大主義
[00868.12-00869.64] 但是他這裡面就已經限定了
[00869.64-00870.80] 他一定是在什麼
[00870.80-00873.04] 他一定是在職行公務
[00873.04-00874.90] 那如果是在職行公務當中
[00874.90-00876.24] 比如說像我剛才
[00876.24-00876.74] 對吧
[00876.74-00879.08] 我把那個清電工具揉了一定
[00879.08-00880.88] 然後給人家小孩更傷了
[00880.88-00883.36] 然後人家父母最後來找公司貼錢
[00883.36-00884.44] 那牌都多少錢呢
[00884.44-00885.60] 排了一千多块钱
[00885.60-00887.12] 排了一千多块钱的时候
[00887.12-00889.04] 公司说这一千块钱
[00889.04-00890.08] 我们可是损失了
[00890.08-00891.56] 我们排出工的人员
[00891.56-00894.92] 这可没有说想到还要给人排钱的这道事
[00894.92-00896.48] 于是这个公司他就会怎么办
[00896.48-00897.32] 他就会说了
[00897.32-00900.76] 说你看你作为一个专业的工作人员
[00900.76-00901.16] 对吧
[00901.16-00902.36] 我在執行公务的时候
[00902.36-00904.16] 我要进到香港的这个衣服
[00904.16-00906.44] 结果你明明知道这些工具
[00906.44-00907.52] 他很封立
[00908.12-00909.76] 然后你也不注意
[00909.76-00911.08] 你在去收那百方的手
[00911.08-00911.68] 你也不注意
[00911.68-00914.00] 你没有进到提示衣服
[00914.00-00917.48] 那这个时候作为一个专业工作人呈我就存在什么
[00917.48-00918.00] 注意啊
[00918.00-00920.28] 我就存在重大过世
[00920.28-00922.04] 大主也不是一般过世哦
[00922.04-00923.64] 这里面是重大过世
[00923.64-00924.44] 你说老师
[00924.44-00927.88] 我如何判断他是一般过世还重大过世呢
[00927.88-00930.56] 你就看我是不是专业的人员
[00931.76-00933.72] 如果是专业的人员
[00933.72-00936.52] 应当进到我们所说的这种意误
[00936.52-00938.84] 比如说小薪那提示啊
[00938.84-00939.68] 这种意误
[00939.68-00941.88] 我应当而没有做到的话
[00941.88-00943.00] 那我就属于什么
[00943.00-00944.04] 重大國視
[00944.04-00944.48] 那麽啊
[00944.48-00946.84] 那你還有我就是一個專業的工作人員
[00946.84-00948.48] 我在清洗東西的時候
[00948.48-00951.76] 我在打小時候就應該知道這些風力的這些
[00951.76-00953.40] 我們所說的清潔的就是工具
[00953.40-00956.08] 它很容易造成別人受傷的
[00956.08-00957.92] 但是我沒有進到相當一武
[00957.92-00959.12] 就是我做一個專人員
[00959.12-00960.76] 應當預見而沒有預見的話
[00960.76-00962.40] 那這種情況之下我就屬於什麼
[00962.40-00964.16] 我就屬於重大國視
[00964.16-00965.56] 那如果我屬於重大國視
[00965.56-00967.16] 給單位造成損傷的話
[00967.16-00968.60] 單位把錢陪給人家之後
[00968.60-00969.68] 可以像我怎麼辦
[00969.68-00971.32] 像我追償
[00971.32-00972.32] 可以像我追償
[00972.32-00975.64] 那大家注意一下,这是我们所说的,之情工作任务
[00975.64-00978.98] 那这里还陷入职系工作任务了,那可能就会出现什么
[00978.98-00982.56] 就是非职系工作任务真是很深
[00983.32-00987.94] 非职系工作任务,只认识害的
[00990.50-00995.36] 比如说我不是,在打草卫商的时候,给人家小孩造成了死害
[00995.36-00996.48] 而是那个小孩呢
[00996.48-00999.16] 他一出来他总扑他总扑我这个人呢
[00999.16-01000.40] 就是要脾气就很怪
[01000.40-01001.36] 我就听不得小儿哭
[01001.36-01002.16] 我一听小儿哭
[01002.16-01003.44] 我就是生气
[01003.44-01003.68] 对吧
[01003.68-01006.12] 然后我就把人还个给人泡咏里顿
[01006.12-01007.20] 给人做了一顿之后
[01007.20-01007.88] 那这个时候
[01007.88-01010.00] 我属于在執行公务期间
[01010.24-01011.20] 制度宿航
[01011.36-01011.96] 不属于啊
[01011.96-01012.88] 你執行公务期间
[01012.88-01014.08] 是你在打早卫生
[01014.08-01015.08] 是我在干活的时候
[01015.08-01015.88] 在现在我什么
[01015.88-01017.36] 我是出于谢思分的
[01017.36-01018.40] 这个就属于
[01018.40-01019.52] 非執行公务期间
[01019.52-01020.28] 制度宿航
[01020.28-01021.48] 那非執行公务期间
[01021.48-01021.96] 制度宿航
[01021.96-01022.64] 怎么办
[01022.64-01025.84] 您到由工作人员自行承擔
[01028.52-01029.84] 工作人自行承擔
[01029.84-01032.20] 所以他在考试的时候就会把我们
[01032.20-01034.00] 这两种情况变成案例
[01034.00-01035.80] 你在提案当中一定要抓住
[01035.80-01039.48] 核心的点事是否在执行工作任务
[01039.48-01041.72] 核心的点就是在师傅执行工作任务
[01041.72-01042.44] 大家注意一下
[01042.44-01045.72] 这是植物侵权植物侵权
[01046.72-01049.60] 这是我们所说的第2个叫植物侵权
[01049.60-01051.48] 第三个我们来看一下
[01051.48-01055.52] 第三个就是环境污染和生态破坏
[01055.52-01058.44] 环境污染和生态破坏的话在这里面
[01058.44-01059.96] 首先第一个大家要知道
[01059.96-01062.52] 这个环境污染和生态破坏是有清全程单
[01062.52-01065.00] 他们画一下就做无过错责任
[01065.00-01067.16] 也就说无论你是不是故意的
[01067.16-01068.96] 你只要是造成了环境污染
[01068.96-01071.16] 对一起也来说你就要成了什么责任
[01071.16-01073.20] 你就要成单清全责任
[01073.20-01075.92] 所以同时在这里把这个无过错
[01075.92-01077.20] 去给它画下来
[01077.20-01078.80] 把这个无过错就有了画下来
[01078.80-01080.66] 这个就是我们所说的环境污染
[01080.66-01081.46] 而环境污染
[01081.46-01083.32] 它除了考误过所存人之外
[01083.32-01085.00] 在民室诉讼法上
[01085.00-01087.44] 它很容易考一个举政责任的道质
[01087.44-01089.12] 那个是在送法当中的内容
[01089.12-01090.88] 但最起码在这里我们要知道
[01090.88-01093.04] 只要是比如说有一个企业
[01093.04-01095.00] 大家经常看到这个企业
[01095.00-01099.32] 像这个合理面去排放这样的一个污水
[01099.32-01102.04] 就简单立刻比如说小日子企业
[01103.52-01105.28] 有一个小日子公司
[01105.28-01108.68] 小日子公司是生产生产
[01108.68-01112.56] 我们所说的造旨
[01112.56-01115.52] 小日子企业是造旨的公司
[01115.52-01118.00] 作为造旨的公司
[01118.00-01120.48] 大陆造旨的一般行为
[01120.48-01123.04] 造旨常要建在核流的下游
[01123.04-01125.44] 因为你如果建在核流的上台湖水
[01125.44-01128.00] 就是很容易造成老百姓用水
[01128.00-01129.44] 会造成环境污染问题
[01129.44-01133.96] 但小日子企业没有什么企业的公德心
[01133.96-01135.96] 于是他就把这个造职场
