[00000.00-00002.82] 我们刚刚讲了刑法该数
[00085.92-00088.06] 这有时候叫完全形态
[00088.06-00089.86] 比如说我想杀死一个人
[00089.86-00091.44] 我就把它杀死了
[00091.44-00093.70] 这时候我的犯罪已经实行中了了
[00093.70-00097.38] 这有时候犯罪完成故意杀人罪寄罪
[00097.38-00099.68] 如果说我现在想杀一个人
[00099.68-00100.84] 然后没有杀了
[00100.84-00101.74] 没有杀了原因
[00101.74-00104.56] 可能是中间出现了一些其他的情况
[00104.56-00105.70] 这种情况之下
[00105.70-00108.34] 我们就把它实行为实行中了的这种情况
[00108.34-00110.50] 称度为叫做未完成形态
[00110.50-00113.14] 这里面我们就要去看一下犯罪的完成形态
[00113.14-00114.68] 微暖这行态到底多哪些
[00114.68-00115.88] 这是在时间上
[00115.88-00118.26] 而在空间上会存在一个叫做
[00118.26-00119.78] 共同犯罪的问题
[00119.78-00121.98] 比如说在分工上
[00121.98-00124.22] 有人去做有人去帮他放射
[00124.22-00125.06] 比如说道歉
[00125.06-00125.30] 对吧
[00125.30-00127.46] 我去实施道歉行为入户道歉
[00127.46-00129.14] 然后呢我告诉我的好朋友
[00129.14-00129.78] 我就跟他说
[00129.78-00131.34] 说你在强远帮放射
[00131.34-00133.02] 以方主人回来才好跑
[00133.02-00134.86] 那一看在整个犯罪实施上
[00134.86-00136.02] 在空间放在上
[00136.02-00137.62] 是不是就会出现什么问题
[00137.62-00138.62] 共犯的问题
[00138.62-00141.42] 那在这里因为我们就要来讲一下共同犯罪
[00141.42-00144.24] 那这一共是翻罪论的五个方面问题
[00144.24-00145.90] 那小姐女这五个方面问题
[00145.90-00148.38] 第一个大的问题就是我们必须去了解
[00148.38-00150.18] 到底什么是犯罪
[00150.18-00152.18] 怎么要符合哪些要贾
[00152.18-00154.02] 他就够成了犯罪
[00154.02-00155.86] 我们先来看一下第一个问题
[00155.86-00158.46] 就是犯罪约犯罪过程
[00158.46-00160.94] 那么先来看一下到底什么是犯罪
[00160.94-00161.86] 犯罪在
[00162.62-00164.38] 我们的定义上是这么说的
[00164.38-00166.34] 他说一照反律
[00166.34-00168.38] 应当受刑法处罚的
[00168.38-00170.58] 危害社会的行为就是犯罪
[00170.58-00172.86] 说翻均的就严重的社会危害性
[00172.86-00175.46] 形势维法性以及英手处发性
[00175.46-00177.42] 那他是这么养给于翻均的
[00177.42-00178.74] 但是我们也要明确
[00178.74-00180.42] 说在整个翻均当中
[00180.42-00182.14] 它其实是有两从含义的
[00182.14-00184.06] 也就是是否够成翻均
[00184.06-00187.46] 我们说了它其实是两个统一
[00188.90-00190.30] 它其实是两个统一
[00190.30-00191.94] 这两个统一是哪两个统一呢
[00191.94-00193.82] 首先第一个我们必须要知道
[00193.82-00196.18] 我们前面再讲到形势原则的时候
[00196.18-00198.86] 说了叫做最行法定原则
[00198.86-00202.58] 是否共存犯罪必须要有法律的明文规定
[00202.58-00204.70] 所以他在这里给到第一个必须怎么样
[00204.70-00205.98] 依照法律
[00205.98-00207.82] 这个就是形式上的要求
[00207.82-00209.98] 于是是否共存犯罪在形式上
[00209.98-00211.82] 有形法的明文规定
[00211.82-00213.74] 这是最形法定原则的要求
[00213.74-00214.82] 第二一个就是
[00214.82-00216.30] 我们所规定的形为
[00216.30-00218.22] 他一定是造成的眼中的什么
[00218.22-00219.34] 社会危害
[00219.34-00220.54] 比如说故意杀人
[00220.54-00222.86] 侵犯了人的生命问题
[00222.86-00223.98] 对吧生命反应
[00223.98-00226.90] 比如说道气、亲战、强奪、强杰、
[00226.90-00228.18] 敲炸漏所以及炸天
[00228.18-00229.78] 信放的是什麼 財上法義
[00229.78-00231.94] 他一定是對社會的法義有所什麼
[00231.94-00234.46] 侵害 那這是犯罪的實質要求
[00234.46-00236.10] 要求在實質上具有
[00236.10-00237.14] 社會為何行
[00237.14-00238.42] 所以在這裡行法
[00238.42-00239.70] 我們所說的這個犯罪
[00239.70-00240.90] 他首先是
[00240.90-00243.70] 形式語 實質的統一
[00245.54-00248.18] 形式語 實質相統語
[00248.18-00250.10] 形式上說了最型法定
[00250.10-00252.42] 必須有法律 民文規定
[00252.42-00255.22] 而實質上他一定要造成什麼
[00255.22-00257.90] 他一定要造成社會危害
[00257.90-00259.74] 如果沒有社會危害的話
[00259.74-00260.90] 那這種情況之下
[00260.90-00262.90] 可能就要考慮到他是不是要不遇
[00262.90-00264.26] 他這種行為聚評價
[00264.26-00267.06] 在這裡面這是形式語實質的統一
[00267.06-00268.34] 這是第一個層面上
[00268.34-00269.86] 我們去聽一言 翻碎
[00269.86-00271.58] 第二層面就是翻碎
[00271.58-00274.06] 他也是主觀語 客觀的統一
[00275.46-00278.46] 主觀語 客觀的統一
[00282.14-00283.50] 主觀語 客觀的統一
[00283.50-00285.18] 那這裡面客觀是什麼呢
[00285.18-00290.78] 他說了他想要造成實質上的傷害或者是造成實質的社會遺憾
[00290.78-00292.50] 他一定要先實是什麼?
[00292.50-00294.06] 遺憾社會的行為
[00294.06-00297.26] 所以客觀上你要有一個遺憾行為存在
[00297.26-00298.86] 如果沒有遺憾行為的話
[00298.86-00299.66] 你這個行為
[00299.66-00301.42] 他都不算做犯罪行為
[00301.42-00303.58] 他都沒有辦法遵復法律
[00303.58-00305.34] 我法律不允許的這種危險
[00305.34-00306.86] 他就不算做犯罪行為
[00306.86-00309.10] 就不會造成社會遺憾行
[00309.10-00310.94] 比如說什麼呢?
[00310.94-00313.18] 比如說我睡夢中的行為
[00313.18-00315.18] 我睡夢中的行為他不是有意的吧
[00315.18-00316.58] 那這時候我睡夢中
[00316.58-00318.08] 我說了睡覺不老實
[00318.08-00318.38] 對吧
[00318.38-00320.18] 我把我跑那兒一腳踩到第二圈了
[00320.18-00321.38] 有沒有給他增設
[00321.38-00323.38] 我們所說的法律所不允許的危險
[00323.38-00323.98] 沒有
[00323.98-00325.18] 他其實就不屬於什麼
[00325.18-00325.98] 厲害行為
[00325.98-00327.58] 所以想過程算最低的
[00327.58-00329.98] 是必須使失了社會危危害行為
[00329.98-00331.78] 這是客觀上的要求
[00331.78-00334.18] 第二個就是不僅客觀上有要求
[00334.18-00336.38] 我想過程算最我還得主觀上什麼
[00336.38-00338.78] 我還得主觀上有相的意思表示
[00338.78-00341.38] 有時候在主觀上行為人必須是什麼
[00341.38-00344.06] 过失或者是什么故意的
[00344.06-00347.42] 如果说这件事情它数以一个意外世界是我不可遇见的
[00347.42-00350.98] 它这有时候也不能规则我们的犯罪过程要加里面
[00350.98-00352.42] 所以我们在这里
[00352.42-00355.90] 第一个点 大家要明确一个一星期到时期醒了点
[00355.90-00359.26] 要么考判断题 要么考变息的选项
[00359.26-00362.54] 说根据犯罪来看的话我们根据犯罪定义来看
[00362.54-00364.94] 丁一犯罪是形式于实质
[00364.94-00368.50] 主观宇可观的统业 种说法对不对当然是对的
[00368.50-00370.50] 形式上也有明文規定
[00370.50-00372.30] 法務明文規定不為罪
[00372.30-00374.10] 法務明文規定不處罰
[00374.10-00375.86] 這是最型法定原則
[00375.86-00377.26] 有了法律規定
[00377.26-00378.66] 這只是有了大前體
[00378.66-00380.74] 實質上還要造成社會危害
[00380.74-00382.26] 所以叫形式與實質
[00382.26-00383.22] 主觀與客觀
[00383.22-00386.18] 客觀有形為主觀有故意和果實
[00386.18-00388.38] 這個就是我們所說的犯罪
[00388.38-00389.34] 叫做犯罪
[00389.34-00390.94] 所以在這裡大家要明確
[00390.94-00393.06] 這是第一個什麼叫做犯罪
[00393.06-00394.54] 那聊天了什麼是犯罪
[00394.54-00395.58] 那我們就來看一下
[00395.58-00397.18] 那他想要構成犯罪
[00397.18-00399.38] 它就必须要具備相當的要素
[00399.38-00402.30] 我們就把這個稱之為叫做犯罪購成要價
[00402.30-00404.94] 我們來看一下犯罪購成要價格的哪些
[00404.94-00408.18] 它是犯罪購成要價格是犯罪購成的組成要素
[00408.18-00412.66] 包括犯罪客體、客官方面、主體、以及主官方面
[00412.66-00416.46] 這個點大家注意一下考察一個實際型的題目
[00416.46-00417.54] 就直接接了
[00417.54-00419.62] 以下屬於犯罪購成要價的事
[00419.62-00422.42] 你最起買要在這裡面要知道客體、客官方面
[00422.42-00424.38] 主體主官方面,這是第一重
[00424.38-00427.58] 就是问他的购成要家有哪些
[00427.58-00429.14] 这是第一种考察方式
[00429.14-00431.18] 第二种在这里考实机型的题目的话
[00431.18-00431.94] 他就会问
[00431.94-00434.98] 一下属于犯罪客观方面的事
[00434.98-00438.70] 客观方面包括行为结果以及英国关系
[00438.70-00442.30] 你看在这里面就会考察一些个别细节
[00442.30-00444.98] 那想要把这些个别细节去给他掌握住
[00444.98-00448.46] 这个地方一定要把他的框架书里清楚
[00448.46-00451.46] 书里清楚这个框架从框架当中去带考点
[00451.46-00454.14] 应对实机型的题目一点难度都没有
[00454.14-00457.06] 所以咱们叫知道这是犯罪的过程要卷
[00457.06-00458.34] 一共四个方面
[00458.34-00459.94] 那这四个方面的大主意
[00459.94-00462.34] 这是单纯的在实际型的题目去考试
[00462.34-00463.94] 那在客观方面
[00463.94-00465.74] 在犯罪的主体居主观方面
[00465.74-00467.94] 这些内容上还有考察理解形的题目
[00467.94-00469.74] 我们待后面再说
[00469.74-00471.94] 好,这是我们所说的第一个
[00471.94-00473.94] 叫做犯罪过程要加
[00473.94-00475.34] 那犯罪过程要加第一个
[00475.34-00476.54] 就要做犯罪的客体
[00476.54-00478.54] 咱们来看一下犯罪课题是什么
[00478.54-00481.54] 犯罪课题本身在科考性上相对来说比较弱
[00481.54-00483.54] 大家知道什么是犯罪课题
[00483.54-00485.34] 有这么一个构成要件就行了
[00485.34-00487.38] 他说范罪科底是指
[00487.38-00489.70] 我国刑法所保护
[00489.70-00491.38] 叫做我国刑法所保护
[00491.38-00493.62] 而范罪行为所侵害的社会关系
[00493.62-00496.10] 说范罪科底是范罪构成的
[00496.10-00496.90] 必为要加
[00496.90-00499.16] 所以所谓的范罪科底其实就是
[00499.16-00500.18] 刑法保护
[00500.18-00503.38] 但是我们所说的范罪行为所侵害的正式会关系
[00503.38-00504.78] 就会简单的例子来说
[00504.78-00508.78] 比如说我们国家的刑法保护人的生命健康
[00508.78-00509.90] 这种情况之下
[00509.90-00512.14] 刑法所保护生命健康
[00512.14-00515.12] 那我如果现在这里实施了一个故意伤害行为
[00515.12-00517.18] 我走在马路上无差别攻击
[00517.18-00519.72] 我就说了拿大坑刀我就走一路卡一路
[00519.72-00523.18] 那在这种情况之下是不是对多数人的生命造成了什么
[00523.18-00523.82] 危险
[00523.82-00525.84] 那你看这里的范子克底说什么
[00525.84-00528.50] 就是形法所保护的那个生命健康
[00528.50-00532.42] 以及我所亲害的被害人的生命健康办
[00532.42-00534.34] 这个就叫做范子克底
[00534.34-00535.94] 所以范子克底它说是
[00536.26-00537.94] 形法保护范子克底
[00537.94-00539.54] 形为所亲害的社会关系
[00539.54-00541.06] 我们其实把这个称之为什么呢
[00541.06-00543.58] 我們把這個情稱之為叫做法義
[00543.58-00545.40] 所以形法的犯罪課率就是什麼
[00545.40-00547.90] 在旁邊寫上兩個字就是法義就可以了
[00550.14-00551.66] 然後把法義圈出來
[00552.54-00553.34] 把法義圈出來
[00553.34-00554.74] 就是犯罪課體
[00554.74-00556.74] 它其實就是侵害法義
[00556.74-00557.58] 什麼是犯罪呢
[00557.58-00560.90] 侵犯罪在本質上就是侵害法義的行為
[00560.90-00562.06] 什麼是法義呢
[00562.06-00565.38] 所以法義就是社會上的一些利益
[00565.38-00566.42] 比如說人的利益
[00566.42-00567.34] 比如說財產利益
[00567.34-00568.86] 比如說公共秩序等等
[00568.86-00570.26] 這個叫做法義
[00570.26-00572.06] 所以犯罪就是侵害法徑
[00572.06-00574.10] 所侵害的法徑不同
[00574.10-00575.86] 那么它所实施的犯罪
[00575.86-00578.22] 所形成的罪名也就不一样
[00578.22-00579.66] 所以犯罪客庭就简单记
[00579.66-00582.58] 就是我们所说了所侵害的反应
[00582.58-00584.58] 犯罪客庭就是我们所侵害的法徑
[00584.58-00586.14] 在这里大家要面确
[00586.14-00587.26] 在这个地方
[00587.26-00589.26] 大家知道法徑它其实是本质的
[00589.26-00590.78] 这是每一个犯罪
[00590.78-00593.14] 或者是每一个大的规累的犯罪
[00593.14-00594.90] 它切害的法徑都有所不同
[00594.90-00596.50] 比如说在刑法当中
[00596.50-00597.26] 我们规定了
[00597.26-00598.94] 比如说有财产类犯罪
[00598.94-00599.38] 对吧
[00599.38-00602.26] 那财产了犯罪侵犯的反应
[00602.26-00605.70] 或者是我们所说的财产类犯罪这一类犯罪当中
[00605.70-00607.22] 他的犯罪科体就是什么
[00607.22-00610.66] 他的犯罪科体就是财产法应
[00610.66-00613.46] 明白吧 这是我们所说的财产的犯罪
[00613.46-00615.06] 那除了财产了犯罪之外
[00615.06-00615.86] 我们还有什么
[00615.86-00617.54] 我们是为还有人身犯罪
[00617.54-00620.02] 那人身类的犯罪就是包括人的什么
[00620.02-00621.78] 人的生命健康
[00621.78-00623.54] 那你看像生命健康
[00623.54-00625.30] 比如说故意杀人罪
[00625.30-00626.90] 故意伤害罪等等
[00626.90-00628.50] 那我亲爱的就是他的什么
[00628.50-00631.84] 生命健康權在這裡面我們所說的
[00631.84-00635.62] 人生犯罪的犯罪客體就是什麼
[00635.62-00640.14] 就是人生健康這一個法律要保護的利益
[00640.14-00642.42] 我們簡稱為遭做什麼法義
[00642.42-00645.36] 所以這是人生犯罪的犯罪客體
[00645.36-00646.60] 除了人生犯罪之外
[00646.60-00649.40] 我們還知道還有危害公共安全犯罪
[00649.40-00651.62] 在危害公共安全犯罪當中
[00651.62-00655.26] 我們說他要保護的社會上的法義是什麼呢
[00655.26-00658.54] 他要保护社會法義就是公共安權的
[00658.54-00660.86] 這個時候犯罪課題就是公安權
[00660.86-00661.90] 就是哪一個利益
[00661.90-00664.98] 所以犯罪課題本身就是我們所說的
[00664.98-00667.42] 犯罪所侵犯的法義
[00667.42-00670.02] 他其實更能本質的去定義
[00670.02-00672.46] 我們所說的他最遺核心的內容是什麼
[00672.46-00674.74] 這是犯罪課題
[00674.74-00678.06] 這個時候大家可能會把犯罪課題和一個概念搞混
[00678.06-00679.06] 這個概念是什麼呢
[00679.06-00682.70] 現在旁邊概念的就叫做犯罪對象
[00682.70-00685.70] 大家不要住在旁边
[00685.70-00688.70] 概念就是大家所说的可能叫做犯罪对象
[00688.70-00691.70] 大家注意一下犯罪课题和犯罪对象不是一回事
[00691.70-00693.70] 就是他俩是不能化等号的
[00693.70-00696.70] 犯罪课题是每一个形法
[00696.70-00698.70] 他规定了罪名背后
[00698.70-00701.70] 他所要保护的罪和心罪本之的东西
[00701.70-00702.70] 我们叫做犯罪课题
[00702.70-00705.70] 所以我们说了犯罪课题就是法律所保护的利益
[00705.70-00707.70] 叫做法律叫做法意
[00707.70-00709.70] 他其实是更为本之的关系
[00709.70-00710.62] 整治的关系
[00710.62-00712.74] 而我们所说的翻译对象是什么呢
[00712.74-00715.06] 翻译对象是犯罪行为所欺贩
[00715.06-00721.62] 或直接指向的具体的人
[00721.62-00723.70] 或者是什么
[00723.70-00726.06] 或者是我们所说的信息
[00726.06-00728.46] 所以翻译课题和翻译对象不一样
[00728.46-00730.18] 比如说搶结
[00730.18-00732.94] 我在大街上搶结了一个女士的包
[00732.94-00735.02] 我看他穿的特别好看
[00735.02-00736.62] 然后走在前面我一看这个人
[00736.62-00737.50] 非常有钱
[00737.50-00740.70] 然后我觉得他那个包都卖上一个大价钱
[00740.70-00743.78] 于是我就对这个女士实施了什么 强节
[00743.78-00746.26] 那我在强节之后我就够成了强节罪
[00746.26-00749.66] 我来问一下大家 强节罪的犯罪课题是什么
[00749.66-00752.86] 强节罪的犯罪课题是我们所说的
[00752.86-00755.74] 这个女士的什么 财产法议
[00755.74-00758.22] 所以强节罪的犯罪课题是什么
[00758.22-00762.02] 是法议是法律所保护的女士的财产权议
[00762.02-00763.86] 这个时候他的犯罪课题是这个
[00763.86-00764.66] 明白了吧
[00764.66-00766.78] 那我们说了翻据的一下是吗
[00766.78-00768.54] 翻据的一下就是我们所说的
[00768.54-00770.66] 我响得他那个具体的包
[00770.66-00771.54] 那个财务
[00771.54-00774.38] 所以那个包是具体的人和物
[00774.38-00775.74] 这个包才是我的什么
[00775.74-00778.02] 翻据对象明白了吧
[00778.02-00780.98] 所以在这里这个女士是我所情叛的对象
[00780.98-00782.82] 他的包也是我的什么
[00782.82-00784.66] 我也是我翻据的翻据的象
[00784.66-00786.46] 所以在这里面我们来看一下
[00786.74-00789.58] 翻据客体和翻据的象本身不是一个
[00789.58-00792.58] 他们两个可以说是现象于本制之间的关系
[00792.58-00794.02] 如果说具体的人和物
[00794.02-00795.06] 它是現象的話
[00795.06-00797.06] 那這些具體人和物背後
[00797.06-00798.38] 它體現的就是反應
[00798.38-00799.46] 也就是犯罪客體
[00799.46-00800.98] 也是更為本質的東西
[00800.98-00802.58] 所以它有的時候就會在考試當中
[00802.58-00803.50] 經常會考到
[00803.50-00805.38] 說犯罪客體就是犯罪對象
[00805.38-00806.74] 證實法對不对呢
[00806.74-00808.30] 不對 打住一下
[00808.30-00810.38] 犯罪客體可不是犯罪對象
[00810.38-00811.30] 在重覆一遍
[00811.30-00814.14] 犯罪對象是指的是具體的人和物
[00814.14-00815.98] 而犯罪客體是
[00815.98-00819.10] 違法律所保護的那種社會關係
[00819.10-00821.62] 也就是違法律所保護的利益
[00821.62-00823.70] 我们说了叫做法意
[00823.70-00826.14] 所以在这个里面大家一定要注意
[00826.14-00827.70] 所以这个点大家要明确
[00827.70-00829.42] 那说老师去分这个什么用呢
[00829.42-00830.38] 你在旁边继续画
[00830.38-00832.38] 这句话就是一个变息的考点
[00832.38-00835.02] 就是现在旁边任何犯罪
[00838.82-00844.70] 都必然有犯罪客题
[00848.10-00849.06] 这个没问题吧
[00849.06-00850.18] 因为任何犯罪
[00850.18-00853.12] 它都一定會侵害一定的社會利益
[00853.12-00856.50] 都一定會侵害法律所保護的反應
[00856.50-00859.10] 所以任何犯罪它都有犯罪什麼
[00859.10-00860.54] 都有犯罪客體
[00860.54-00861.54] 但是
[00862.66-00866.98] 怎麼樣犯罪對象不一定會受到犯罪的侵害
[00866.98-00869.38] 也就是有侵害一定的客體
[00869.38-00871.68] 但是犯罪對象不一定會受到侵害
[00871.68-00874.58] 比如說道歉的罪的對象是他人的財務
[00874.58-00875.98] 但在犯罪過程當中
[00875.98-00878.18] 這個財務一定會被毀壞嗎
[00878.18-00879.20] 不一定吧
[00879.20-00881.24] 所以在这里面大家一定要明确
[00881.24-00884.32] 就是犯罪对象不一定会遭到犯罪的亲含
[00888.16-00893.54] 犯罪对象不一定会遭到
[00896.62-00898.14] 犯罪的亲含
[00903.28-00905.06] 所以这个点大家明确
[00905.06-00906.74] 它如果出現了變息
[00906.74-00908.42] 要能夠給它說的清楚
[00908.42-00909.72] 所以第一個我們就知道
[00909.72-00912.02] 那形法說保護的就是反應
[00912.02-00914.82] 那所謂的犯罪就是侵害法義的行為敗
[00914.82-00916.48] 所以小的過程犯罪第一個
[00916.48-00918.86] 必須在有一個所保護的社會利益
[00918.86-00921.38] 那這個就是要我們所說的犯罪客體
[00921.38-00925.14] 那我們所說的這是犯罪構成的第一個要加州做犯罪客體
[00925.14-00928.26] 那犯罪構成的第二個要加州就是客觀方面
[00928.26-00929.78] 那客觀方面它只能試試
[00929.78-00933.62] 它說是犯罪的客觀方面是指形法所規定的
[00933.62-00939.26] 说明行为对行法所保护的社会关系所造成的客观的外在的事实的特征
[00939.26-00942.34] 说了这么一大堆在美搞清楚他要表述什么
[00942.34-00946.54] 咱们来看一下犯罪客观方面的具体内容你就知道了
[00946.54-00952.58] 我们说了我们刚才所提到的犯罪他叫做亲害法艺的行为就叫做犯罪
[00952.58-00956.58] 对吧小购成犯罪我们说了核心叫做保护的反应
[00956.58-00961.38] 但是小要购成犯罪他一定要有一个什么亲害法艺的行为
[00961.38-00963.90] 那这个侵害行为这个危害行为
[00963.90-00966.78] 它其实就是客观方面要去表输的内容
[00966.78-00969.18] 所以客观方面包括三个内容
[00969.18-00971.22] 就是你要实施一个行为
[00971.22-00973.70] 这个行为造成一定的实害结果
[00973.70-00974.86] 或者是抽象危险
[00974.86-00977.34] 然后最后他们两个之间有应我关系
[00977.34-00978.74] 所以这就是客观方面
[00978.74-00980.06] 所以客观方面第一个
[00980.06-00981.74] 我们在这里标注一下
[00981.74-00983.58] 客观方面的第一个就是要求
[00983.58-00986.10] 它必须要实施危害行为
[00986.10-00987.74] 那什么叫做危害行为呢
[00987.74-00988.90] 在这里他说了
[00988.90-00995.60] 说是只在人的意志或者是一直之配下实施的危害社会的身体动静
[00995.60-00998.06] 这个就叫做危害行为
[00998.06-01002.02] 所以我们说了想要顾成犯罪犯罪针对的是行为
[01002.02-01002.82] 明白了吧
[01002.82-01004.26] 所以我们才告诉大家
[01004.26-01006.38] 分析不同的主体不同的行为
[01006.38-01008.90] 它会针对不同的法意形成不同的犯罪
[01008.90-01011.38] 所以犯罪永远针对的是犯罪行为
[01011.38-01013.58] 那什么样的行为犯罪行为呢
[01013.58-01015.78] 在这里面就是我们所说的危害行为
[01015.78-01019.50] 危害行为是只在人的意志会一直執配之下
[01019.50-01022.70] 说实施危害社会的身体动景
[01022.70-01024.30] 所以来同分吧 最后一个点
[01024.30-01024.94] 话出来
[01024.94-01026.54] 所以危害行为首先第一个
[01026.54-01029.30] 他必须是身体活动所带来的
[01029.30-01031.06] 你说老实这句话有什么意义的
[01031.06-01033.30] 意义就在危害行为的特征
[01033.30-01035.06] 第一个同标主在旁边
[01035.06-01039.14] 在行为的第一个特征就必须是具有一定的有体性
[01040.34-01043.42] 找危害行为的第一个特征就是他必须具有有体性
[01043.42-01044.98] 什么叫做有体性呢
[01044.98-01048.46] 就是微害行为一定是人的身体的活动
[01048.46-01050.98] 那就意味着什么武罪思想无罪
[01050.98-01051.98] 现在旁边
[01057.14-01058.74] 那就意味着思想无罪
[01058.74-01061.54] 比如说我就天天坐在家里我就想
[01061.54-01063.62] 我说为什么这么窮困聊到
[01063.62-01065.14] 这个社会为什么这么不公平
[01065.14-01066.46] 为什么我就是没有钱
[01066.46-01068.26] 我现在盾都怎么都吃不上饭
[01068.26-01070.66] 我天天看着看大优车挺好的
[01070.66-01072.26] 我当时我就想太不公平了
[01072.26-01073.54] 我也想吃好喝好
[01073.54-01075.22] 于是我天天在那儿还中想
[01075.22-01076.70] 我在想我要去搶解
[01076.70-01078.46] 我要去大街上去搶人的东西
[01078.46-01079.46] 我要去大街上
[01079.46-01081.46] 我要去工作车上去偷人的东西
[01081.46-01083.22] 那我如果只是想
[01083.22-01084.90] 没有复猪行动
[01084.90-01086.38] 搭住一下这个时候
[01086.38-01087.78] 你算不算犯罪呢
[01087.78-01090.38] 不算你这个时候只是有一个想法
[01090.38-01092.02] 但是你没有复猪行动
[01092.02-01092.74] 我说了
[01092.74-01094.02] 犯罪行为会危害行为
[01094.02-01095.06] 他一定要是吗
[01095.94-01096.90] 身体动力
[01096.90-01098.10] 他一定是一个有体性的
[01098.10-01099.70] 你想是没有罪的
[01099.70-01101.26] 他经常会在体感当中说
[01101.26-01103.18] 说有一个人他承认在家想
[01103.18-01105.26] 他和林居直接发生了很大的摩顿
[01105.26-01106.38] 他偏偏就在想
[01106.38-01108.06] 我早也有一天我宰了这个图宰
[01108.06-01109.82] 我早安早安有一天就宰了他
[01109.82-01110.94] 那天天在网好中想
[01110.94-01112.06] 天天在网好中想
[01112.06-01112.62] 然后问
[01112.62-01114.46] 那这个时候他构成什么
[01114.46-01114.94] A
[01114.94-01116.14] 犯罪约被B
[01116.14-01117.26] 犯罪综指C
[01117.26-01118.30] D然后再给你
[01118.30-01119.50] 说不构成犯罪
[01119.50-01120.34] 然后犯罪什么
[01120.34-01121.42] 被随之类的
[01121.42-01122.46] 让我们去判断
[01122.46-01125.02] 你看他在最开始的这个标准
[01125.02-01126.38] 他是不是都不符合标准
[01126.38-01127.42] 因为他只是什么
[01127.42-01128.78] 他只是在想
[01128.78-01130.06] 而思想无罪
[01130.06-01130.78] 所以他哪怕
[01130.78-01131.98] 他偏在做在家里想
[01131.98-01134.86] 迫口大罵他在心里说出来无数的很万
[01134.86-01135.94] 他没有去做
[01135.94-01137.74] 他都是不够成犯罪了
[01137.74-01138.42] 明白了吧
[01138.42-01139.66] 所以在这里我们说了
[01139.66-01140.70] 危害行为当中的
[01140.70-01142.90] 第一个就是必须要救什么下
[01142.90-01144.70] 必须要具有体性
[01144.70-01146.74] 那就意味着思想事务罪的
[01146.74-01147.58] 这是第一个点
[01147.58-01149.10] 他必须是身体东西
[01149.10-01150.30] 那第二个就是
[01150.30-01151.74] 他一定是在你的意志
[01151.74-01153.42] 会一直执派之下的
[01153.42-01155.06] 那在意志会一直执派之下
[01155.06-01155.86] 就意味着
[01155.86-01157.34] 你实施的这个危害行为
[01157.34-01158.10] 一定是什么
[01158.10-01160.14] 一定是初于你意识的表达
[01160.14-01161.70] 他是你意识的结果
[01161.70-01165.06] 那就要求跟还行为一定要具有一定的有意性
[01167.70-01170.54] 他一定是你的意识支配的结果
[01170.54-01172.78] 如果没有人的意识支配的话
[01172.78-01175.50] 他就不能认为是为意害行为
[01175.50-01178.02] 那如果不认为是为害行为的话
[01178.02-01179.22] 那这种情况之下
[01179.22-01180.82] 那他其实在翻译过程上
[01180.82-01184.10] 我们就要考虑考虑他到底算不算翻译了
[01184.10-01185.26] 那在这里面大家注意一下
[01185.26-01187.10] 他一定要具有一定的有意性
[01187.10-01188.90] 那这个时候大家要明确
[01188.90-01190.38] 那你说如果我现在
[01190.38-01192.38] 什么叫没有有意思的比如说梦油
[01194.38-01196.62] 大家经常在网上会看到那种端子
[01196.62-01197.10] 对吧
