[00000.00-00003.80] 我们来看一下第一节当中的最后一个直播点
[00225.10-00227.54] 这个状态是有市场出轻的状态
[00227.54-00229.26] 商品生然者提供了100个
[00229.26-00230.62] 消费者就消费了100个
[00230.62-00233.58] 就刚刚好就把他全都消费了
[00233.58-00235.58] 这个时候就叫做军恒店
[00235.58-00236.94] 而战织都军恒典当中
[00236.94-00237.94] 同时来看一下
[00237.94-00239.18] 他给到了两个概念
[00239.18-00240.82] 咱们说了一个叫军恒价格
[00240.82-00243.26] 又叫做军恒数量 对吧
[00243.26-00246.66] 捐恒价格就是我们刚才所对应的P1这个点
[00246.66-00250.66] 而捐恒数量代表的就是我们所说的这个QE这个点
[00250.66-00255.22] 那说老师这个价值捐恒价格捐恒最漂亮
[00255.22-00258.54] 那说老师这个价格捐恒套什么样的应用呢
[00258.54-00262.98] 像这个捐恒它其实它的一个应用就是它的最高线价格
[00262.98-00263.98] 最低线价
[00263.98-00266.38] 咱们来看一下什么叫做最高线价
[00266.38-00267.58] 在这里它说了
[00267.58-00272.70] 它说最高线价是政府所规定的某种产品的
[00272.70-00274.50] 最高價格
[00274.50-00275.52] 后面说了
[00275.52-00276.54] 最高限价
[00276.54-00278.22] 一般低于市场却用价格
[00278.22-00278.98] 实施的目的
[00278.98-00281.90] 往往是为了保抑制某些产品的价格上证
[00281.90-00283.46] 先从概念来看
[00283.46-00284.74] 最高限价
[00284.74-00286.26] 一般情况之下
[00286.26-00288.58] 它是政府规定的最高价格
[00288.58-00289.34] 这个价格
[00289.34-00291.90] 被称之为叫做保护价格
[00292.94-00294.82] 被称之为叫做保护价格
[00294.82-00296.06] 它为什么要出现
[00296.06-00297.78] 我们所说的最高限价
[00297.78-00298.94] 原因其实很简单
[00298.94-00299.90] 同不想像
[00299.90-00303.42] 如果有一些东西不限制它的价格上升的话
[00303.42-00304.70] 它的价格就会怎么办
[00304.70-00306.06] 就会越来越高
[00306.06-00307.34] 你比如说像啥呢
[00307.34-00308.46] 比如说像我们所说的
[00308.46-00310.46] 疫情期间的口罩
[00310.46-00312.22] 同不想一下疫情期间的口罩
[00312.22-00313.58] 它呈现什么样的状态呢
[00313.58-00315.34] 我在这里给它画个土
[00315.34-00316.94] 假设正常情况之下
[00316.94-00317.90] 我们所说的
[00317.90-00319.34] 这个代表的是需求
[00319.34-00320.46] 这个代表的是攻击
[00320.46-00321.42] 正常情况之下
[00321.42-00323.18] 一个产品到底卖多少钱
[00323.18-00324.78] 是由攻击和需求
[00324.78-00326.22] 双方因素所决定的
[00326.22-00328.62] 如果我们在这里不去说价值的话
[00328.62-00331.18] 那我就会发现它是有双方因素来决定的
[00331.18-00336.18] 那比如说如果说现在就好比我们疫情期间的那个口罩
[00336.18-00339.10] 但疫情期间我们会发现它来的时候不要突然
[00339.10-00341.50] 如果来的不要突然的话在这种情况之下
[00341.50-00343.98] 我们会发现口罩的攻击数量
[00343.98-00345.54] 一时之间难以改变吗
[00345.54-00349.10] 那么就默认为口罩的攻击是怎么样不变的
[00349.10-00352.70] 但是疫情来了之后我们会发现大家是个都需要口罩
[00352.70-00355.62] 如果大家都需要口罩的话那就意味着
[00355.62-00358.58] 对于这种情况之下对于口罩的需求量
[00358.58-00360.58] 增加来的渐少了
[00360.58-00362.16] 口罩的需求量是
[00362.16-00363.44] 极大幅度增加的
[00363.44-00366.44] 如果放在我们这个取线上会变成什么呢
[00366.44-00367.54] 同们来看一下
[00367.54-00369.78] 如果这条攻击取线不变
[00369.78-00372.02] 攻击取线未止不变就代表
[00372.02-00373.94] 口罩的攻击数量不变
[00373.94-00375.98] 这个时候口罩数量增加了
[00375.98-00376.50] 对吧
[00376.50-00378.82] 口罩数量增加我们之前
[00378.82-00380.42] 在一些学书学的时候知道
[00380.42-00382.14] 在作标徒上
[00382.14-00383.42] 在作标徒上
[00383.42-00385.46] 如果取线往右一一
[00385.46-00387.06] 代表的是增加
[00387.06-00391.40] 如果曲線網左一頁,代表的說什麼,代表的就是減少。
[00391.40-00396.08] 在這裡面我們來看一下,口罩數量增加,這條是不需要曲線。
[00396.08-00401.52] 那口罩數量增加的話,這條需要曲線是應該往右一還是往左一呢?
[00401.52-00404.72] 很明顯,這條需求曲線是應該往右一,
[00404.72-00407.46] 那往右一就會導致一個情況,同時看一下,
[00407.46-00410.00] 如果曲線便宜到了綠色這個點上,
[00410.00-00412.32] 攻擊不變的情況之下,你看一下,
[00412.32-00416.40] 這個地方的軍紅價格,它是變高來還是變低了。
[00416.40-00419.16] 原本的金屑价格是这个红色的小点点
[00419.16-00421.32] 现在金屑价格是这个绿色的点
[00421.32-00422.80] 原本价格是P1
[00422.80-00424.32] 现在价格变成的P2
[00424.32-00425.76] 变成了P2
[00425.76-00426.88] 那就意味着
[00426.88-00428.12] 在这种情况之下
[00428.12-00429.32] 如果攻击不变
[00429.32-00430.76] 而需求量增加的
[00430.76-00433.32] 金屑价格是会上升还是会下降
[00433.32-00435.32] 金屑价格是会上升
[00435.32-00437.36] 这里会导致一个什么样的结果
[00437.36-00438.40] 同时来思考一下
[00438.40-00439.36] 我们刚才说了
[00439.36-00441.04] 如果在这种情况之下
[00441.04-00444.64] 我们所说的口罩的价格一路标升的话
[00444.64-00446.32] 也就是现在的攻击数量美变
[00446.32-00449.28] 然后完全由市场去调节商品的价格
[00449.28-00450.92] 口罩的数量就会怎么办
[00450.92-00452.04] 就会一路标声
[00452.04-00453.04] 欢迎话说支持
[00453.04-00454.28] 需求越来越多
[00454.28-00455.48] 但是口罩数量不变
[00455.48-00458.52] 这时候口罩价格出越来越高越来越高
[00458.52-00459.84] 导致的一个结果
[00459.84-00460.96] 同时没有去考虑过
[00460.96-00463.16] 如果口罩价格越来越高的话
[00463.16-00464.88] 作为一个平民的我来说
[00464.88-00466.08] 一个普通的老百姓
[00466.08-00467.56] 我能不能买的洗口罩
[00467.56-00468.76] 我买不起口罩
[00468.76-00470.92] 这种情况之下就会出现一种情况
[00470.92-00474.00] 这是价高者才能够得到口罩
[00474.00-00475.40] 而嫁低者怎么样
[00475.80-00477.72] 嫁低者 买不着口罩了
[00477.72-00478.96] 那这种情况之下
[00478.96-00480.52] 资源分配居目绝好
[00480.52-00481.60] 只给我们不均猴
[00481.60-00483.08] 所以这时候国家就说了
[00483.08-00485.08] 不可能让这个口罩的嫁隔怎么办
[00485.08-00486.68] 不可能让这个口罩的嫁隔
[00486.68-00488.08] 无限的上漲
[00488.08-00490.32] 这时候国家就想个办法 什么办法呢
[00490.32-00492.40] 我再出台一个方法
[00492.40-00493.56] 或者一个政策
[00493.56-00495.68] 来限制口罩嫁隔的生涨
[00495.68-00496.60] 所以在这里面
[00496.60-00498.80] 当时国家是不是就给口罩进行了什么
[00498.80-00499.72] 限价
[00499.72-00501.40] 当时给口罩进行限价的时候
[00501.40-00501.68] 说了
[00501.68-00503.96] 口罩最高不能超过多少钱
[00503.96-00505.28] 那同時來看一下
[00505.28-00507.18] 国家出台的線價
[00507.18-00509.76] 說你的口罩最高不能超過幾塊錢
[00509.76-00511.80] 國家出台的價格就屬於什麼
[00511.80-00513.88] 就屬於最高線價
[00513.88-00515.88] 最高線價也被稱為保護價
[00515.88-00517.44] 保護誰呢?大家注意一下
[00517.44-00518.88] 他往往在這裡
[00518.88-00520.52] 他們在書上標準圈二
[00520.52-00521.84] 這個最高線價
[00521.84-00525.24] 他往往是要一直在這裡標準圈二
[00525.24-00527.60] 是要一直某些產品的價格上升
[00527.60-00530.32] 從而保護消費者的利益
[00530.32-00534.28] 球是保护消费者的利益
[00534.28-00536.96] 这个就是我们所说的最高现象
[00536.96-00538.76] 最高现象是保护家
[00538.76-00540.92] 口罩最高不能超过两块
[00540.92-00543.16] 口罩最高不能超过三块
[00543.16-00545.16] 在这里我们能理解这个店
[00545.16-00548.40] 但是最高现象它的出台
[00548.40-00550.92] 我们要知道最高现象和绝衡价格之间
[00550.92-00552.04] 到底什么样的关系
[00552.04-00554.52] 同们来看一下这些绿色的点
[00554.52-00557.16] 或者是这些红色的代表的是我们所说的
[00557.16-00557.96] 捐恒价格
[00557.96-00560.36] 假设我们就以这个P价格为例
[00560.36-00563.48] 我如果现在口罩的价格是P价格
[00563.48-00564.96] 就是新的捐恒价格
[00564.96-00568.36] 口罩的价格是要比P价格
[00568.36-00570.64] 就是国家制定了口罩的价格加设
[00570.64-00572.76] 现在这个P价格是实块
[00572.76-00577.24] 那国家现在想要出台最高线价来保护稍微车的权益
[00577.24-00579.08] 这个时候口罩是实块钱
[00579.08-00582.52] 国家出台的最高线价是比实块钱高
[00582.52-00583.52] 能保护到我
[00583.52-00585.40] 还是比实块钱低能保护到我
[00585.40-00587.76] 國家能不能出台一個最高現假說行
[00587.76-00589.60] 現在市場巨慕的價格是10塊錢
[00589.60-00591.68] 那你這個口罩來吧12
[00591.68-00594.04] 國家出台的最高現假是12
[00594.04-00596.12] 你比市場巨慕價格還要高
[00596.12-00597.76] 能不能保護到我
[00597.76-00599.92] 只能保護到保護不了消費人
[00599.92-00601.80] 因為已經很貴了10塊錢
[00601.80-00603.28] 你現在出台了12
[00603.28-00605.48] 你這個時候比市場巨慕價格還要高
[00605.48-00607.68] 你這是保護消費者還保護剩下的
[00607.68-00609.92] 所以在這裡面就會出現第三個問題
[00609.92-00610.68] 什麼問題嗎
[00610.68-00612.28] 同樣在這裡不要注意一下
[00612.28-00614.12] 我們所說的最高現假
[00614.12-00619.62] 它一般情况之下就是第一余市场价格才能保护到消费者
[00619.62-00621.52] 如果现在市场上是实块钱
[00621.52-00625.62] 你到最高现价一定是小于实块才能保护到消费者
[00625.62-00628.62] 如果是高于实块的话根本保护不到我
[00628.62-00629.82] 这里能理解吧
[00629.82-00633.52] 所以在这里最高现价大家一定要明确
[00633.52-00637.52] 它身上有这期马这三个点是我们要通过图示
[00637.52-00638.52] 能够得出来的
[00638.52-00641.72] 第一个最高现价它也称为叫做保护价
[00641.72-00645.56] 就是我规定这个东西它最贵不能超过这个钱
[00645.56-00648.08] 所以这个叫做最高险下
[00648.08-00650.36] 大家要注意一下 这是第一个点
[00650.36-00652.56] 第一个点 最高险下也称保护价格
[00652.56-00657.96] 第二个最高险价的目的是为了一直某些产品的价格上涉
[00657.96-00660.44] 在这里面它一直价格上涉
[00660.44-00662.56] 从某种同路上是在保护谁
[00662.56-00667.52] 是在保护消费者 全意或者要保护消费者的利益
[00667.52-00670.48] 这个叫做第二个点 它的一个目的
[00670.48-00673.04] 第三個就是最高現價也成為保護價格
[00673.04-00674.16] 他保護我
[00674.16-00676.36] 他一定要比現在的價格低一點才能保護
[00676.36-00680.08] 所以他一般是低於市場軍恆價格的
[00680.08-00682.92] 這個就是我們所說的最高現價
[00682.92-00685.80] 但我剛才所說的這些最高現價
[00685.80-00688.68] 他其實本質上是一種國家的紅觀調供政策
[00688.68-00691.40] 他是不是為了保護消費者權益所制定的
[00691.40-00694.64] 但是這裡面有疑慮就會有疑閉
[00694.64-00695.84] 那同們想一下
[00695.84-00699.64] 他如果是制定了最高現價保護了消費者的權益
[00699.64-00702.64] 当然它其实从某种程度上搓害了谁的全眼
[00702.64-00705.44] 这是我们所说的搓害是双眼号的搓害
[00705.44-00707.64] 是不是搓害了生产者的全眼
[00707.64-00711.64] 也就是说原本这个市场自发的条件口罩价格的时候
[00711.64-00713.64] 口罩价格可能会无限攤身
[00713.64-00715.84] 这个时候商人他赚钱
[00715.84-00717.84] 是不是就原原不断的财富就来了
[00717.84-00721.64] 在这里面国家限制了这种最高的口罩的这种价格
[00721.64-00724.24] 就意味着口罩价格不能无限上升
[00724.24-00728.84] 这个时候商家不可能让口罩慢天的定价去赚更多的钱
[00728.84-00729.24] 对吧
[00729.24-00731.68] 那这里面其实从某种程度上来说
[00731.68-00734.48] 我们在经济学上认为是这种損失
[00734.48-00736.16] 不是从社会价值去判断
[00736.16-00737.76] 只是从数值上来看的话
[00737.76-00740.32] 它是不是让生产者产生一定的損失
[00740.88-00742.32] 那这有时候同一们想
[00742.32-00745.00] 那如果说生产者觉得它吃虽了
[00745.00-00747.00] 对吧生产者觉得它損失了
[00747.00-00748.00] 它不赚钱了
[00748.00-00750.48] 那在这里面可能会产生一个什么情况
[00750.48-00751.56] 同一们想过
[00751.56-00752.80] 就是生产者
[00752.80-00754.44] 它想要赚更多的钱
[00754.44-00755.44] 它会总办
[00755.44-00758.36] 这时候国家已经出台了一个最高现假了
[00758.36-00761.32] 那他還想要再去抓更多的錢
[00761.32-00762.68] 那這個時候他怎麼辦
[00762.68-00764.76] 他只能想方設法的
[00764.76-00767.96] 減少口罩的公佑數量吧
[00767.96-00769.64] 因為口罩公佑數量少
[00769.64-00772.12] 那這種情況之下口罩才有可能
[00772.12-00774.52] 價格相對來說會高一點
[00774.52-00778.00] 或者是更加接近他所給到的這種最高現價吧
[00778.00-00779.08] 所以在這個裡面
[00779.08-00781.56] 就會出現一種不利的影響
[00781.56-00783.08] 這種不利的影響是什麼呢
[00783.08-00784.68] 就是他一旦出台了
[00784.68-00785.68] 最高現價
[00785.68-00788.20] 他可能會影響到生產
[00788.20-00798.20] 他可能会影响到生产的数量或者是叫做可能会影响到我们所说的这种生产的效率
[00798.20-00800.20] 我们就说影响生产效率吧
[00800.20-00802.20] 因为就有情况之下你都把价格打下来了
[00802.20-00804.20] 谁还要跟你搞生产的
[00804.20-00805.20] 对吧
[00805.20-00809.20] 所以他很有可能去我们所说的去影响到我们所说的生产的效率
[00809.20-00810.20] 这是第一个
[00810.20-00812.20] 那第二一个就是在这里面
[00812.20-00814.20] 还可能会产生另外一个问题
[00814.20-00816.20] 就是如果在这种情况下
[00816.20-00818.44] 这种情况之下你规定了最高现象
[00818.44-00819.80] 我作为生产者来说
[00819.80-00821.92] 我想要获得更高的这个利益
[00821.92-00825.20] 我的生产就控制在有限的数量上
[00825.20-00827.28] 一代生产控制在有限的数量上
[00827.28-00829.08] 是不是还是会存在什么情况
[00829.08-00830.68] 还是存在公布用球的情况
[00830.68-00832.40] 就是你尽可能的少给
[00832.40-00834.52] 这种情况之下需求依旧很多
[00834.52-00837.68] 还有可能出现的就是公布用球的情况
[00837.68-00840.68] 如果出现公布用球导致的结果是什么呢
[00840.68-00841.60] 同样就知道
[00841.60-00844.88] 我在正常的市面上是买不到正口罩的
[00844.88-00846.96] 因为正常失敗的上国家已经线下了
[00846.96-00847.68] 那就说
[00847.68-00849.36] 我想到赚更多的钱怎么办
[00849.36-00850.48] 我就把口罩隆断了
[00850.48-00851.84] 把口罩隆断之后
[00851.84-00854.96] 那我就会把所有的这些都转一到哪
[00854.96-00856.72] 转一到市场之下
[00856.72-00858.80] 也就是会产生什么黑事教育
[00860.96-00862.80] 也就是会产生黑事教育
[00862.80-00863.92] 所以最高线下
[00863.92-00865.68] 我们要知道最高线下
[00865.68-00867.28] 你说说他一成为保护价格
[00867.28-00868.00] 保护谁
[00868.00-00868.96] 保护消费者
[00868.96-00870.24] 你怎么能够保护到我
[00870.24-00871.52] 一定要低于市场价格
[00871.52-00873.28] 但一旦低于市场价格的
[00873.28-00875.08] 市场军空价格来看的话呢
[00875.08-00877.24] 他其实是对于生产者的限制
[00877.24-00880.44] 那对生产者来说他就会影响到生产者的生产效率
[00880.44-00882.56] 那如果他想做更多的钱怎么办
[00882.56-00885.56] 把原本在阳光下交易的转移到地下
[00885.56-00886.64] 如果转移到地下
[00886.64-00889.16] 是不是查不到他就约出不到他
[00889.16-00891.12] 价格是不是就会无限的又表声
[00891.12-00893.60] 所以这种情况这家产生的不利影响
[00893.60-00896.08] 就可能会造成黑事交易的
[00896.08-00899.60] 所以在这里这是我们所说的就做最高现象
[00899.60-00901.08] 这个点大家注意一下
[00901.08-00904.08] 我们刚才所提到的圈一圈圈三圈圈
[00904.08-00906.64] 在之前的考试过程当中
[00906.64-00907.92] 都有考察过
[00907.92-00909.28] 大家一定要注意
[00909.28-00912.56] 这是我们所说的第一个叫做最高现象
[00912.56-00913.76] 那有最高现象
[00913.76-00915.04] 那就一定有什么呢
[00915.04-00917.24] 就一定会有最低现象
[00917.24-00919.04] 最低现象是怎么回事
[00919.04-00920.04] 咱们来看一下
[00920.04-00923.48] 最低现象是只政府规定的某种产品的
[00923.48-00924.28] 最低下格
[00924.28-00926.44] 政府为啥要给它规定最低下格
[00926.44-00928.32] 因为它不能比这个下格再低了
[00928.32-00929.44] 再低的话
[00929.44-00930.80] 它就可能会出现什么
[00930.80-00933.62] 就可能会出现我们所说的卖不上价了
[00933.62-00935.40] 可能就会上几到一些人的
[00935.40-00936.80] 我们所说的这种历业
[00936.80-00938.74] 所以才给它规定最低限价的
[00938.74-00940.78] 所以最低限价也叫做什么价格呢
[00940.78-00941.56] 大注意下
[00941.56-00945.14] 最低限价也叫做支持价格
[00945.14-00946.16] 支持价格
[00946.16-00947.70] 支持支持谁呢
[00947.70-00948.46] 大注意下
[00948.46-00952.30] 通常是为了福职某些行业的发展
[00952.30-00953.70] 最维典型的就是什么
[00953.70-00956.90] 就是农民的两世
[00956.90-00959.10] 对于农民的两世收购
[00959.10-00962.58] 他往往会会给我们所说的最低陷价
[00962.58-00964.34] 在最低陷价当中
[00964.34-00966.02] 其实也是一样的道理
[00966.02-00967.82] 因为两时一旦风抽之后
[00967.82-00970.82] 两时的共级量就会不断的增加
[00970.82-00973.18] 那两时的共级一旦越来越多的话
[00973.18-00975.46] 这个东西的价格就会变得越来越低
[00975.46-00978.06] 咱们还是用军衡图来看
[00978.06-00978.82] 在这个地方
[00979.82-00980.82] 咱们来看一下
[00980.82-00983.94] 如果这条现代表的需求
[00983.94-00987.54] 这条现代表的所说的什么共级
[00987.54-00990.26] 那在这两个线的交点就是我们所说的是吗
[00990.26-00991.10] 军恒价格
[00991.10-00993.14] 我们就认为它是市场价格
[00993.14-00995.10] 如果现在两是封收了
[00995.10-00998.18] 两是封收就因为这攻击的数量增加了
[00998.18-00999.06] 那他们来看一下
[00999.06-01000.66] 攻击数量增加的话
[01000.66-01002.50] 那我们说了在作标土上
[01002.50-01004.38] 是左一一代表是減少
[01004.38-01005.90] 又一代表的是增加
[01005.90-01007.42] 那攻击数量增加的话
[01007.42-01009.58] 那攻击取限军该又一
[01009.58-01012.18] 那又一到这儿所说就产生了一个什么
[01012.18-01013.38] 新的军恒电
[01013.38-01016.18] 而新的军恒电对应的新的军恒价格P2
[01016.18-01018.58] 他一定是比原来的加格要低的
[01018.58-01019.82] 那这种情况之下
[01019.82-01021.14] 对于我们所说的
[01021.14-01021.94] 消得者来说
[01021.94-01023.62] 消费者比出的新代是什么
[01023.62-01024.18] 说一下
[01024.18-01026.22] 现在东西都卖了这么多了
[01026.22-01026.50] 对吧
[01026.50-01028.50] 东西就攻击数量变多了
[01028.50-01029.50] 他又开始降价
[01029.50-01030.90] 那消费者就观望
[01030.90-01031.74] 观望啥呢
[01031.74-01032.98] 那这有时候我不买
[01032.98-01034.30] 我这让他一路降价
[01034.30-01035.90] 那就可以可能导致的结果
[01035.90-01038.70] 就是两世的价格会越跌跌跌跌
[01038.70-01040.66] 如果两世的价格越跌跌跌跌跌跌的话
[01040.66-01041.98] 谁还越远去重地
[01041.98-01043.94] 谁还越远于跟我去吃饱饱
[01043.94-01044.26] 对吧
[01044.26-01045.26] 所以在这里
[01045.26-01046.54] 出現了國家說
[01046.54-01049.22] 這個兩世的價格不能太低了
[01049.22-01051.42] 於是國家就出去了一個叫做
[01051.42-01053.18] 最低限價
[01053.18-01054.22] 最低限價也成為
[01054.22-01055.62] 叫做支持價格
[01055.62-01058.10] 以福指的農業的收產和發展
[01058.10-01059.10] 在這裡面
[01059.10-01060.26] 大家要注意一下
[01060.26-01061.38] 最低限價
[01061.38-01062.50] 它怎麼去定價
[01062.50-01063.62] 才比較合理
[01063.62-01065.14] 或者說最低限價
[01065.14-01066.06] 它怎麼丟
[01066.06-01067.34] 才能保護到
[01067.34-01069.82] 我們所說的這個農業生產者
[01069.82-01070.86] 它的利益
[01071.50-01072.26] 在這裡面
[01072.26-01073.06] 我們來看一下
[01073.06-01074.02] 可能會出現
[01074.02-01075.06] 這樣一個情況
[01075.06-01076.60] 假設我們就一篇二為例
[01076.60-01079.16] 假設P2現在的市場軍紅是三位錢
[01079.16-01080.56] 這時候就是說了
[01080.56-01082.62] 我們按照市場來定價來看的話
[01082.62-01085.30] 這個市場上大米是三位錢一金
[01085.30-01088.76] 大米三位錢一金對於農民來說根本不會本
[01088.76-01091.90] 那至裡面國家要規定最低限價的話
[01091.90-01094.26] 它在定多少錢才能保不到農民利業
[01094.26-01095.78] 是比三位錢高
[01095.78-01098.62] 還是比三位錢要低才能保護到農民呢
[01098.62-01100.46] 現在賣三位錢太便宜了
[01100.46-01102.46] 你只領要制定一個價格
[01102.46-01105.06] 比三位钱要高一点是不是才行
[01105.06-01105.86] 所以国家就说
[01105.86-01107.18] 那大米五块钱一件
[01107.18-01108.94] 不能比这个钱再低了
[01108.94-01109.98] 那这种情况之下
[01109.98-01112.18] 是不是才能让農民征说
[01112.18-01115.42] 才算是支持或者是扶制农业的发展
[01115.42-01117.30] 所以在这里面我们会发现
[01117.30-01118.70] 这里面的最低现象
[01118.70-01119.98] 它一般情况要怎么办
[01119.98-01121.38] 来不要注意一下圈三
[01121.38-01125.34] 它一般情况下要高于市场军恒价格
[01125.34-01126.10] 大注意下
[01126.10-01127.10] 这是我们所说的
[01127.10-01129.10] 叫高于市场军恒价
[01129.10-01130.10] 这是在这里
[01130.10-01136.46] 这个就是我们所说的叫做最低显下最低显下高于市场
[01136.46-01138.04] 最低显下高于市场最低显下高于市场最低显下高于市场
[01138.04-01141.50] 最后价格里面可能还会存在另外一个小小的问题
[01141.50-01145.30] 我们来说的都是最低显下它机极的一面
[01145.30-01149.64] 最低显下它有可能产生系列的不利影响
[01149.64-01152.48] 我们来看一下这个不利影响它可能都包括哪些
[01153.48-01155.32] 首先我们来看一下
[01155.32-01160.12] 那在这里面国家给两世出台了一个最低的一个价格
[01160.12-01164.44] 就说以后在两世再去卖的时候就只能比现有的军空价格要高
[01164.44-01166.60] 那这个时候才能保护到农典
[01166.60-01169.04] 那实施只能有一定会有相的什么
[01169.04-01171.64] 实施只能有一定会有相用的代价
[01171.64-01173.76] 那这个代价就体现在第一个
[01173.76-01178.24] 如果国家出台相的价格的保护政策确是保护到农典
[01178.24-01182.84] 但是呢他从某种程度上也削弱了农典的生产机型
[01182.84-01185.84] 或者说就要削弱他们自身的什么 竞争性
[01185.84-01188.34] 使得农民或者是这些他服务者的好业
[01188.34-01189.74] 却他一定的竞争性
[01189.74-01191.54] 就是他们会产生一种想法
[01191.54-01193.34] 反正什么问题呢
[01193.34-01195.14] 都是由国家都热的
[01195.14-01197.24] 对吧 那这样的话我也不用说
[01197.24-01199.94] 搞自己自身搞的是多么疲惫
[01199.94-01201.54] 多么创新都不需要了
[01201.54-01204.74] 所以导致我们所说他所服务者的这些好业会企业
[01204.74-01207.94] 就是出现一定的竞争性确实的情况
[01207.94-01211.24] 这使国家都抵他的第一个不良的表现
