[00000.00-00002.52] 好 那我们接着来往下看
[00002.52-00006.16] 咱们在民宝宫当中讲完了行政副一
[00186.82-00188.90] 大助一下不与收理的什么不与收理
[00188.90-00191.02] 不是具体形狀行为的不与说的
[00191.02-00193.38] 比如说你看国防外交等国家行为
[00193.38-00195.50] 我们要求具体形狀行为就有什么像
[00195.50-00196.70] 行征性啊
[00196.70-00198.54] 他一定是行征机关做的呀
[00198.54-00200.66] 但这里面国家行为属于什么
[00200.66-00201.70] 不具有行征性
[00201.70-00203.26] 国家行为属于正志行为啊
[00203.26-00205.46] 咱们说了战争外交国防
[00205.46-00206.58] 属于正志行为
[00206.58-00207.86] 那正文情况之下
[00208.74-00211.10] 法院你提行征诉讼他管不了
[00211.10-00211.78] 你看
[00211.78-00212.46] 归一张
[00213.14-00214.46] 普遍遇数例的决定
[00214.46-00215.14] 这属于什么
[00215.14-00216.50] 抽象行征行为
[00216.50-00219.32] 抽象形容形微可不可以直接起座
[00219.32-00220.08] 不可以吗
[00220.08-00221.88] 你看这也不是具体形容形微
[00221.88-00223.92] 包括你看对工作人员的讲仇
[00223.92-00225.20] 对工作人员的讲仇
[00225.20-00228.66] 那就意味着工作人员是形容系统的内部人还是外部人
[00228.66-00229.56] 内部人
[00229.56-00231.86] 我们说了那对于形容系统的什么
[00232.36-00235.70] 形容形微一定是针对于外部
[00235.70-00236.88] 内部是不是不行啊
[00236.88-00238.90] 所以你看对于工作人员的讲仇
[00238.90-00241.70] 可不可以直接去高到形容数送上
[00241.70-00242.62] 不行啊
[00242.62-00244.14] 所以不能起不能
[00244.14-00245.94] 不是形容数送的刷案范围
[00245.94-00248.98] 你看说最终才觉得也不属于
[00248.98-00251.74] 对吧最终才觉得他也不属于形容所从算篮篮篮篮
[00251.74-00253.10] 那你这种情况之下
[00253.10-00254.58] 我没有办法求境列具
[00254.58-00257.02] 你就抓住一个核心和形容副一样
[00257.02-00258.74] 抓住能判断出来
[00258.74-00260.78] 什么是具体形容形容就行了
[00261.54-00263.46] 那这是他的算篮篮篮
[00263.46-00266.10] 那说了算篮篮和形容副一差不多
[00266.10-00269.02] 那明告官这次咱们是唱法院告
[00269.02-00271.42] 但是问题是你上哪个法院告呢
[00271.42-00273.34] 全国那么多地区那么多法院
[00273.34-00278.72] 有机约,有机层法院,中院有高院,还有所说的,还有最高人民法院,对吧?
[00278.72-00281.72] 有这么多层级的法院,你上哪一个层级去告呢?
[00281.72-00283.40] 这个时候就会涉及到什么?
[00283.40-00285.22] 形容诉讼的管项。
[00285.22-00291.08] 这个形容诉讼的管项是你告那个地区,法院,告那个机别的法院,对吧?
[00291.08-00293.12] 你要去最终去电一个法院。
[00293.12-00295.18] 这个就会涉及到形容诉讼的管项。
[00295.18-00299.92] 我还是那一话,他是分为即别和我们所说的什么?
[00299.92-00300.76] 地域的
[00300.76-00302.96] 你就相当于确定一个点
[00302.96-00304.60] 如果说极别是X的时候
[00304.60-00305.72] 地域是Y走的话
[00305.72-00307.60] 在这个X走和Y走上
[00307.60-00310.68] 我极别确定一个点
[00310.68-00311.92] 地域确定一个点
[00311.92-00313.36] 你是不是最终就能够确定
[00313.36-00314.28] 没有确的法院了
[00314.28-00315.80] 所以在这里面大家注意一下
[00315.80-00317.12] 这是我们所说的形容诉讼
[00317.12-00319.12] 送它的管轄问题
[00319.12-00319.64] 我还有问题
[00319.64-00320.92] 我们来看一下第一个
[00320.92-00322.52] 第一个就是极别管轄
[00322.52-00323.32] 极别管轄
[00323.32-00324.84] 只需要制装一个就行了
[00324.84-00326.96] 就是中愿管轄的范围
[00326.96-00334.08] 中級人民法院可以收理的是國務院部門或者是現際上地方人民政府所做出的行政行為
[00334.08-00339.50] 你對他體育所說你可以向誰你可以向中院這個點兩星級的理解行為之是點
[00339.50-00343.10] 大一個掌握座比如說司法部不給我發證
[00343.86-00348.72] 我呢司法部給我發證不服意了因為我服意的話審不及服意找自己
[00348.72-00351.28] 我怕他自己對自己太好了下去手
[00351.28-00353.84] 於是司法部給我發證我直接上法院去告
[00353.84-00355.38] 我告我怎麼去告
[00355.38-00356.66] 我要去告的就是吧
[00356.66-00358.84] 就是告找哪一級別的法院去告
[00358.84-00360.64] 找我們所說的
[00360.64-00362.40] 中級是我們所說的
[00362.40-00363.56] 中級人沒法院去告
[00363.56-00364.08] 明白了吧
[00364.08-00365.04] 這是第一個
[00365.04-00368.04] 但是說老師司法部給你發證你要向中院去告
[00368.04-00369.04] 那中院那麼多
[00369.04-00370.44] 那你上哪個中院去告
[00370.44-00370.84] 對吧
[00370.84-00373.08] 你比如說你看像我們所說的
[00373.08-00374.96] 實壓裝飾有一個飾種員
[00374.96-00375.44] 對吧
[00375.44-00377.68] 吉林省白山市有飾種員
[00377.68-00381.04] 然後我們所說的山東省級南市有飾種員
[00381.04-00384.20] 那么多的市中院,你到哪一个市中院去告诉呢?
[00384.20-00388.96] 跟大家注意一下,光确定级别管车还不能确定反愿,具体是哪一个?
[00388.96-00390.88] 它只能确定哪一个级别的?
[00390.88-00394.40] 接下来我到底上哪个反确告诉呢?还会睡到地域管车?
[00394.40-00397.16] 那第一管车的话呢?大家注意,一般是什么?
[00397.16-00403.04] 员告就被告,也就是说,我如果对这个具体形成行为不符,我就可以去告诉什么?
[00403.04-00410.28] 行政机关所在地到法院,所以你看一般地域管车是指行战阶由最初做出具体行政行为的,
[00410.28-00412.08] 其官所在地的人面反应外下
[00412.08-00413.86] 那我如果对于什么
[00413.86-00416.16] 对于我们所说的这个司法不服
[00416.16-00417.96] 我就就司法不所在的
[00417.96-00419.48] 北京是某某区
[00419.48-00420.78] 终极的面反应去
[00420.78-00421.54] 告对吧
[00421.54-00422.56] 这种情况之下
[00422.56-00423.84] 就是一种一样的中院吗
[00423.84-00426.40] 就是他所在地的中院去告就可以了
[00426.40-00427.68] 所以这个叫做什么
[00427.68-00429.74] 地域外下一般情况之下就是
[00429.74-00431.02] 员告就被告
[00431.02-00433.32] 谁做出的那就去找
[00433.32-00436.64] 做出行为的机关所在地的人面反应去告就可以了
[00436.64-00438.06] 所以在这里大家注意一下
[00438.06-00439.20] 员告就被告
[00439.20-00441.72] 我就去找司法部所在地区的
[00441.72-00443.48] 中警认为反应去告就OK了
[00444.28-00447.60] 这个叫做一般地管轢延告就被告
[00447.60-00448.80] 那有特殊地管轢
[00448.80-00449.92] 特殊地管轢呢
[00449.92-00452.32] 金副一的案件咱们一国后面再说
[00452.32-00454.32] 金副一的案件分情况讨论
[00454.32-00456.36] 在这里大家注意地管轢
[00456.36-00458.28] 两星期的理解行的值得
[00458.28-00459.16] 第一个情况
[00459.16-00460.16] 一般情况之下
[00460.16-00462.28] 员告就被告 这是第一个点
[00462.28-00463.08] 第二个点
[00463.08-00464.00] 我们来看一下
[00464.00-00464.64] 窗儿
[00464.64-00466.36] 如果是限制人身自由的
[00466.36-00467.64] 比如说他对我出意了
[00467.64-00469.26] 行政局劉给我关了起来
[00469.26-00471.98] 或者他采取了行政强制措施
[00471.98-00473.86] 把我强制隔离了起来
[00473.86-00476.54] 我对于他的行政局劉和行政强制措施不服
[00476.54-00477.10] 我去告
[00477.10-00477.98] 可以怎么办呢
[00477.98-00480.48] 我就可以告他所在地的
[00480.48-00481.28] 你看哪里
[00481.28-00482.32] 被告所在地
[00482.32-00484.88] 谁给我发的行政局劉官局
[00484.88-00485.22] 对吧
[00485.22-00488.58] 那我就可以去告公安局所在地的人民法院
[00488.58-00489.78] 或者是告什么
[00489.78-00490.94] 或者告所
[00490.94-00492.62] 与养告所在地的人民法院管项
[00492.62-00494.62] 他对原则差是与养告就被告
[00494.62-00495.94] 但是现在我怎么样
[00495.94-00497.30] 我被关起来了
[00497.30-00498.30] 我不方便
[00498.30-00499.10] 我不方便
[00499.10-00500.86] 我就没有办法去到辟告所在地
[00500.86-00503.22] 没有办法去到形正机关所在地的反应直告
[00503.22-00503.86] 那怎么办
[00503.86-00505.62] 你就在我这儿究竟就可以了
[00505.62-00507.54] 就是在员告所在地球
[00507.54-00510.02] 所以你看他是原则上还是什么
[00510.02-00511.18] 员告就被告
[00511.18-00512.86] 就是形正机关所在地
[00512.86-00513.82] 形正机关在哪
[00513.82-00515.22] 你就在哪个地区的反应告
[00515.22-00517.66] 但是如果现在我不方便走动
[00517.66-00521.38] 那你就在我们所说的员告所在地的这边反应去告就行了
[00521.38-00526.10] 就是被形正机流的人或者是被什么
[00526.10-00528.92] 抢制措施的限制人生自由的人
[00528.92-00530.70] 就他所在呢你就去哪儿走开了
[00530.70-00531.68] 这第二种情况
[00531.68-00533.28] 第三种情况比较特殊
[00533.28-00534.56] 就是一般原则
[00534.56-00535.46] 廉告就被告
[00535.46-00536.86] 但不动产所在地
[00536.86-00539.30] 那不动产可不能来回满达走
[00539.30-00541.20] 所以就在不动产所在地的
[00541.20-00542.74] 人民反愿进行
[00543.00-00544.20] 诉送就可以了
[00544.20-00545.66] 所以在这里面大家注意一下
[00545.66-00546.58] 低管箱
[00546.58-00547.82] 他三种系的情况
[00547.82-00549.70] 一般廉告就被告
[00549.70-00551.44] 特殊限制人生自由
[00551.44-00552.46] 原被告都可以
[00552.46-00553.50] 不动产所在地
[00553.50-00554.94] 那不动产可不能满满
[00554.94-00557.62] 你都跟着你可可可这走对吧
[00557.62-00561.02] 那这个时候就不动产所在地的人面反应管想就行了
[00561.02-00562.50] 那这是地域管想
[00562.50-00563.14] 那说了
[00563.14-00565.30] 这个就是我们确定了去找法院
[00565.30-00567.42] 那确定好了找法院就去告败
[00567.42-00570.18] 所以这里面就会睡一到行政诉送的参加人
[00570.18-00571.50] 行政诉送参加人员告
[00571.50-00572.34] 不用说了吧
[00572.98-00574.30] 你把我关系来
[00574.30-00576.78] 我就告你谁关我关局关我
[00576.78-00578.70] 那我就是员告关局就是什么
[00578.70-00579.26] 对口
[00579.26-00582.38] 所以员告的指的是行政行为的相对人
[00582.38-00582.94] 咱们说了
[00582.94-00584.06] 行政行为的相对人
[00584.06-00586.06] 在訴訟當中教員告
[00586.06-00587.58] 在副一當中教申請人
[00587.58-00588.98] 對吧
[00588.98-00590.06] 那你告的對象
[00590.06-00591.02] 那個形容主體
[00591.02-00592.70] 那個名告官的官
[00592.70-00593.46] 他就是什麼
[00593.46-00593.82] 背告
[00593.82-00596.10] 所以背告是指
[00596.10-00597.70] 被指控形容行為違反
[00597.70-00599.70] 反應通知用素的形容主體
[00599.70-00600.70] 這個比較好理解
[00600.70-00602.14] 主要是男生男生的呢
[00602.14-00603.38] 這個點同瞭住一下
[00603.38-00604.62] 這個時候背告的情況
[00604.62-00606.58] 可能會有一點素在
[00606.58-00607.46] 在這種情況之下
[00607.46-00608.78] 背告如何確認呢
[00608.78-00609.50] 首先第一個
[00609.50-00611.50] 叫做金副意義的案件的
[00611.50-00612.62] 背告總確認
[00612.62-00613.74] 首先在這裡要分請
[00613.74-00615.54] 富裔的話無非就是什麼
[00615.54-00618.64] 富裔原來的行政行為和法有效
[00618.64-00619.74] 富裔結果為一次
[00619.74-00621.74] 要你就是人家做錯領讓人的改嗎
[00621.74-00622.14] 對吧
[00622.14-00623.04] 那關作錯了
[00623.04-00624.14] 那這個聲就要改
[00624.14-00626.14] 有或者做出富裔改變的決定
[00626.14-00627.06] 有或者你像
[00627.06-00628.74] 富裔機關去進行富裔
[00628.74-00630.44] 比如說我相關去去富裔
[00630.44-00631.34] 結果關去把這件事
[00631.34-00632.94] 過了六個人的量著我
[00632.94-00633.94] 富裔不作為
[00633.94-00634.24] 對吧
[00634.24-00636.54] 那這種情況之下就是行政富裔的情況
[00636.54-00638.34] 那行政富裔情況怎麼去記呢
[00638.34-00638.94] 你看
[00638.94-00640.14] 富裔為持的
[00640.14-00643.66] 怎麽樣 原機關和副一機關共同背包
[00643.66-00646.00] 比如說 他法我錢的這個事
[00646.00-00650.20] 現關局 法我錢 或現關局 現左人自由給我關起來了
[00650.20-00652.54] 我現在要向事關局申請副業
[00652.54-00655.10] 事關局申請副一週說 他關得你很合理
[00655.10-00657.30] 你回該被關 是不是說白了
[00657.30-00661.30] 我副一申請人怎麽樣 被博回了副一請求
[00661.30-00666.18] 維持人家原現關局的形容居留的措施對了
[00666.18-00669.26] 這時候他事關局 什麽做出的是維持副一的決定
[00669.26-00670.74] 我还不服
[00670.74-00671.94] 我就去告诉你
[00671.94-00673.66] 富裔维持可以共同高
[00673.66-00675.66] 我记得把原形认识机关高了
[00675.66-00677.06] 也可以把富裔机关高了
[00677.06-00680.06] 也就是我同时把现关局和世关局
[00680.06-00682.06] 一直塑装高上法庭
[00682.06-00683.26] 想象是不是很爽
[00683.26-00684.06] 有点期待
[00684.06-00684.46] 对不对
[00684.46-00685.66] 以后可以尝试一下
[00685.66-00688.58] 所以在这里叫富裔维持富裔维持共同高
[00688.58-00690.54] 如果在这里是改变富裔
[00690.54-00691.86] 富裔决定改变了
[00692.66-00694.26] 改变了之后变成了啥呢
[00694.26-00695.46] 变成了更礼谱的
[00695.46-00697.06] 他原本是怪我三天
[00697.06-00697.94] 我像世关局
[00697.94-00699.22] 呼籲之后的四官女说
[00699.22-00700.50] 看看做这个事
[00701.02-00702.82] 他随地图堂
[00702.82-00704.50] 他在大街上欧兰他人
[00704.50-00705.86] 你才关三天 关手了
[00705.86-00707.86] 来吧 关十五天 关满
[00707.86-00708.82] 你看这种情况下
[00708.82-00709.94] 我原本关三天
[00709.94-00711.42] 现在高到四官女呼籲之后
[00711.42-00712.86] 吃关女告诉我 关十五天
[00713.18-00715.06] 我本来三天 我都觉得我委屈死了
[00715.06-00716.90] 十五天 我这气的心脏命度犯了
[00716.90-00718.42] 不行 我要去告 告谁呢
[00718.42-00719.94] 呼籲结果是不是改变了
[00719.94-00721.22] 呼籲结果改变干嘛
[00721.22-00723.22] 呼籲结果改变 单独告
[00723.22-00725.22] 这有数句告谁 告呼籲结关
[00725.22-00726.38] 所以这里
[00726.38-00728.18] 如果说我像试关局副议
[00728.18-00729.26] 是关局说好的好大
[00729.26-00730.22] 我知道你很愿意
[00730.22-00731.18] 有可连死了
[00731.18-00731.50] 对不对
[00731.50-00733.10] 随地图谈就要关三天
[00733.10-00734.30] 我是大人的
[00734.30-00734.94] 你可给我做做
[00734.94-00735.66] 她说知道了
[00735.66-00736.54] 说回去等着吧
[00736.54-00738.06] 我一等等了六年
[00738.06-00739.42] 这个时候我也没有等到
[00739.42-00740.86] 她给我带来的结果
[00740.86-00742.06] 这个时候属于什么
[00742.06-00743.26] 副议不作为
[00743.26-00744.46] 副议不作为怎么办
[00744.46-00745.10] 作为依购
[00745.10-00746.10] 你可以告诉你
[00746.10-00747.90] 你想起诉原形证行为的
[00747.90-00749.98] 那就原形证即关是被告
[00749.98-00751.42] 如果你想起诉试关局
[00751.42-00752.94] 不作为你说等了六年
[00752.94-00754.22] 我等的头发都摆了
[00754.22-00755.26] 太没有给我结果
[00755.26-00757.26] 那就可以去告副一集官
[00757.26-00759.60] 所以金副一单件如何确认背高呢
[00759.60-00762.76] 卸个口诊叫副一维持共同告
[00766.04-00768.34] 副一维持共同告
[00769.24-00770.18] 改变
[00771.84-00773.34] 单告单独告
[00774.80-00775.84] 不作为
[00777.12-00779.44] 选一告或者叫责易告
[00780.16-00781.02] 就可以了
[00781.02-00782.14] 你想告谁就告谁
[00782.40-00783.80] 所以在这里大家注意一下
[00783.80-00784.96] 这是我们所说的
[00784.96-00787.28] 经负一的案件他的背高的权任
[00787.28-00788.40] 这个点一定要明确
[00788.40-00789.88] 他经常会考虑节形停目
[00789.88-00791.00] 多度两遍
[00791.00-00792.20] 负一位持共同告
[00792.20-00793.16] 我把现国女后
[00793.16-00795.16] 市官局一直出妄全都广血
[00795.16-00796.36] 负一改变单独告
[00796.36-00796.68] 对吧
[00796.68-00797.60] 他官我三天改成
[00797.60-00798.44] 关我15天
[00798.44-00799.64] 并出于两千块钱
[00799.64-00800.16] 法款
[00800.16-00800.96] 我的天
[00800.96-00801.44] 对吧
[00801.44-00802.44] 这就是我就告
[00802.44-00803.32] 负一几关就行了
[00803.32-00804.32] 负一改变单独告
[00804.32-00805.52] 如果他让我等了六年
[00805.52-00807.16] 那就是我就要想一想告谁
[00807.16-00808.88] 负一不作为责易告
[00808.88-00811.24] 所以在这里这是经负一的案件
[00811.24-00813.60] 那如果是为拖形争的背高
[00813.80-00815.68] 大距下这个就是委托组织了
[00815.68-00816.76] 我们前面讲过
[00817.00-00818.68] 委托委托指的是什么
[00818.68-00821.12] 形容机关找人帮自己做事
[00821.12-00823.20] 那去他找人帮自己做事
[00823.20-00824.60] 其实本身上还是什么
[00824.60-00826.12] 还是自己再去做
[00826.12-00827.32] 他只割找了个帮手
[00827.32-00828.84] 你不能让人帮手留血流
[00828.84-00829.72] 还有流泪
[00829.72-00830.92] 所以这种情况之下
[00830.92-00832.56] 如果是委托行政的话
[00832.56-00833.32] 你告诉你
[00833.32-00834.56] 告委托的机关
[00834.56-00836.04] 你不要去告帮手
[00836.04-00837.00] 帮手出了力
[00837.00-00837.40] 不逃好
[00837.40-00838.44] 他也没有办法来
[00838.44-00838.84] 对吧
[00838.84-00840.68] 所以你去告委托的机关就行了
[00840.68-00841.84] 如果是售权的
[00841.84-00842.76] 同一来看一下
[00842.76-00844.30] 如果是被受弦的組織
[00844.30-00845.90] 誰受全就告訴你
[00845.90-00846.30] 你看
[00846.30-00848.90] 以法律法位受全的組織位背貢
[00848.90-00849.72] 在這裡面你看
[00849.72-00850.94] 受全的組織
[00850.94-00852.66] 他是具有什麼獨立的
[00852.66-00854.60] 他是一個行政主體
[00854.60-00857.12] 這個時候它可以成為單獨的背貢
[00857.12-00860.38] 我們前面講到的是金受全的組織
[00860.38-00863.18] 這個時候比如說大學
[00863.18-00864.96] 大學不給你發揮業證
[00864.96-00867.12] 這時候是司法是司法工具
[00867.12-00869.46] 就要與不給大學受全給你發證
[00869.46-00870.50] 他不給你發證
[00870.50-00872.02] 怎麼辦就高大學嘛
[00872.02-00874.02] 因為這個時候他已經想要有行政制權了
[00874.02-00876.92] 所以受權組織是單獨的行政主體
[00876.92-00879.02] 這個是不是和前面完全一致
[00879.02-00881.52] 和前面講到的行政主體完全一致
[00881.52-00885.32] 我説了行政主體就是行政訴訟當中的背高
[00885.32-00886.32] 和前面是一樣的
[00886.32-00888.52] 所以知道前面這就不用透出去記了
[00888.52-00891.72] 這樣我下來看一下這個點需要來去記
[00891.72-00895.02] 說金上級機關批者而做出的
[00895.02-00896.32] 那這時候看不干嘛
[00896.32-00898.72] 那這時候訴訟看明議
[00898.72-00900.42] 說當時不服上級機關批者
[00900.42-00902.66] 做出的形成形成相争的反应体肆送的
[00902.66-00905.86] 以在对外发生法律官效力的文书上
[00905.86-00907.26] 属名的机关位背高
[00907.26-00909.70] 所以上级批准看明映 现在旁边
[00911.70-00914.78] 上级批准看明映
[00916.82-00919.14] 上级批准看明映 啥意思呢
[00919.14-00921.78] 比如说现在要给你拆防 把这个防令拆了
[00923.14-00925.34] 那如果说现在防子要给你拆了的话
[00925.34-00926.10] 是干嘛呢
[00926.10-00928.86] 这个拆防的决定是现政府做的
[00928.86-00931.82] 牽政府批了
[00931.82-00932.94] 牽政府批的是什么呢
[00932.94-00933.98] 牽政府批完了之后
[00933.98-00935.26] 由顾化局局材
[00935.26-00936.42] 牽政府批
[00936.42-00937.62] 顾化局材
[00938.90-00940.42] 老板这个房子给你拆了
[00940.42-00940.90] 对吧
[00940.90-00942.38] 因为你只是让你拆你自己
[00942.38-00943.82] 牽政拆你自己不拆
[00943.82-00944.86] 你不拆我帮你拆
[00944.86-00945.62] 所以在这里
[00945.62-00946.78] 你还献顾化局
[00946.78-00949.02] 是牽政府批了
[00949.02-00951.06] 让谁让顾化局局材
[00951.06-00952.42] 那你看这个时候
[00952.42-00953.78] 到底他应该
[00953.78-00955.42] 被拆房的五
[00955.42-00956.62] 我应该去高牽政府
[00956.62-00957.86] 还是去高顾化局呢
[00957.86-00960.48] 这个是不是就是上级批试下级做出的
[00960.48-00961.96] 那这种情况下怎么办
[00961.96-00964.22] 看他给你猜房的这个
[00964.22-00965.80] 他是不是要猜你房
[00965.80-00967.78] 他一定要给你发一个书面文书
[00967.78-00971.38] 你看这个书面文书上最后该张盖的是谁的
[00971.38-00973.70] 如果说盖张盖的是规划局的
[00973.70-00974.90] 那告规划局
[00974.90-00976.74] 如果该张盖的是现政府的
[00976.74-00978.38] 那这个时候就告现政府
[00978.38-00981.58] 因为现政府批试让这个规划局去猜房
[00981.58-00983.52] 这属于他们之间的内部文件
[00983.52-00985.22] 然后你最终猜房的时候
[00985.22-00987.12] 他有一个对外给你发的这个文数
[00987.12-00989.00] 你就看这个上面盖上盖的是谁
[00989.00-00991.08] 那就说上级批试看明映
[00991.08-00993.20] 盖的谁到这儿你就去告谁就行了
[00993.20-00995.04] 这个点要注意一下
[00995.04-00996.08] 这是第四个
[00996.08-00997.36] 第五个点不要简单
[00997.36-00999.92] 就是若干行政机关共同做出的
[00999.92-01001.28] 那这个时候大家一块告
[01001.28-01003.28] 有几个人做出的几个人告就行了
[01003.28-01004.68] 那这里面大家注意一下
[01004.68-01006.00] 这是被告的确认
[01006.00-01006.92] 所以被告的确认
[01006.92-01009.12] 一共是两个细节的点
[01009.12-01010.12] 大家一定要注意
[01010.12-01011.40] 一个是行政副一
[01011.40-01012.76] 你怎么去选择被告
[01012.76-01014.56] 一个是上级机关批准的行为
[01014.56-01015.52] 怎么确定被告
[01015.52-01017.00] 看明映
[01017.00-01017.72] 看免疫
[01017.72-01020.28] 好 那这个呢就是我们所说的有关于
[01021.08-01022.40] 行政诉讼
[01022.40-01023.92] 远告却定了
[01023.92-01025.04] 被告也却定了
[01025.04-01026.40] 举政责任谁承担
[01026.40-01027.24] 和前面一样
[01027.24-01029.08] 举政责任由被告来承担
[01029.08-01031.00] 那如果说这个就叫做
[01031.00-01032.84] 行政诉讼的双方当事
[01032.84-01033.64] 咱们都却定了
[01033.64-01035.80] 那接下来我们就要正式走入到什么
[01035.80-01037.24] 诉讼程序当中了
[01037.24-01038.96] 那正式走入到宋宋从西干嘛
[01038.96-01039.88] 你要去告他呀
[01039.88-01041.48] 告他就要干嘛起诉
[01041.48-01043.04] 所以在这里来看一下
[01043.04-01045.20] 说公民反正其他组织
[01045.20-01048.20] 不服服一决定的可以在收到腹育节订阅收支起多少
[01048.20-01052.00] 15人内向人家法院提起数送
[01052.00-01055.00] 所以在这里数送期是15天
[01055.00-01056.80] 如果于期不做决定的
[01056.80-01058.00] 腹育节外于期不做节定
[01058.00-01060.00] 身体的人可以在腹育期买15人内
[01060.00-01061.40] 直接向法院提起数送
[01061.40-01063.40] 所以在这里你就知道起诉
[01063.40-01066.20] 我们所说的这个期限是15天
[01066.20-01067.00] 是15天
[01067.00-01069.20] 只是第一个大注意下时间
[01069.20-01070.20] 注意这个时间
[01070.20-01072.60] 而且腹育的时间和这个不一样
[01072.60-01073.40] 大家要明确
[01073.40-01075.16] 只第一个起诉就去告他
