[00000.00-00005.00] 大家好,欢迎来学习经济学的最后一个板块儿,就是附陆的内容。
[00269.68-00273.18] 所以同时们在这样可以把它補充到前面去
[00273.18-00275.58] 就是前面咱们再讲到商品
[00275.58-00279.68] 影响商品的需求量的这个因素里面提到了收入
[00279.68-00281.82] 在收入当中它是不是有特殊情况
[00281.82-00282.82] 那就可以记
[00282.82-00285.02] 第一种特殊情况是低党品和列党品
[00285.02-00286.80] 那第二种就是口红效应
[00286.80-00289.12] 它所引发的这一类的需求
[00289.12-00290.88] 所以在这里面大家一定要注意
[00290.88-00293.62] 口红效应它的因素是收入因素
[00293.62-00295.30] 因为在考试的时候考什么呢
[00295.30-00297.86] 它是口红效应是人们的心理因素
[00297.86-00298.86] 所导致的
[00298.86-00299.92] 不是心理因素
[00299.92-00300.48] 大家注意一下
[00300.48-00301.96] 心理只是主观的
[00301.96-00304.24] 客观实际情况是你的收入下降了
[00304.24-00304.94] 明白了吧
[00304.94-00307.84] 所以它在这里是收入因素所导致的
[00307.84-00312.00] 所以在这,它如果在考试中给心里所证说法就是错的
[00312.00-00313.44] 这是第一个,口口效应
[00314.56-00316.60] 那第二个叫做吉倫效应
[00316.60-00321.84] 什么叫吉倫效应的?吉倫效应就是消费习惯一旦形成在这里
[00321.84-00322.68] 把这一方话出来
[00322.68-00326.24] 它说是消费习惯一旦形成之后就是不可逆
[00326.24-00329.36] 就是我们所说的游失入渐
[00331.12-00332.92] 叫做游失入渐
[00337.84-00339.24] 有车入件呢
[00339.24-00341.80] 这个地方会考察一个描述
[00341.80-00343.08] 然后跟着这个描述呢
[00343.08-00344.56] 让我们去选它数以什么效应
[00344.56-00346.48] 也就是会考一个理解型的题目了
[00346.48-00348.92] 大家都知道有解入车意
[00348.92-00350.28] 对吧 你顾虎日的锅关了
[00350.28-00352.48] 然后你顾车尺的日子其实比较好感
[00352.48-00353.80] 但是有车入件呢
[00353.80-00355.36] 就是因为几轮效应存在
[00355.36-00357.04] 它是一种消费效应啊
[00357.04-00358.96] 就消费习惯一旦形成之后呢
[00358.96-00360.68] 你很难再相下条了
[00360.68-00362.56] 就是顾不关苦日子了
[00362.56-00364.32] 所以这个就叫做几轮效应
[00364.32-00366.08] 所以大家知道它是什么意思啊
[00366.08-00367.28] 这是第三个
[00367.28-00370.22] 第3个叫做马太小银
[00370.22-00371.62] 马太小银他强调的是长的
[00371.62-00373.68] 就一块就是强者越强
[00373.68-00375.72] 越叫弱者越弱
[00375.72-00377.26] 好的越好坏的越坏
[00377.26-00379.62] 这个就是我们所说的马太小银
[00379.62-00380.60] 所以在这里面
[00380.60-00383.76] 打直到强者越强弱者越弱
[00383.76-00385.80] 也就是他有的时候会表现出来说
[00385.80-00387.44] 好的越好差的越差
[00387.44-00390.32] 比如说最维场艺的就是社会财富的机梨问题
[00390.32-00391.60] 社会财富的机梨
[00391.60-00394.28] 在原始机梨一旦形成之后我们会发现
[00394.28-00396.08] 有钱人会越来越有钱
[00396.08-00397.88] 而平坤的人会越来越平坤
[00397.88-00399.88] 那这个是什么原因 产生的呢
[00399.88-00401.20] 这个就是由于
[00401.20-00402.88] 马太小雄所导致的
[00402.88-00405.48] 所以你还蛮太小雄最终的结果就是导致什么
[00405.48-00406.28] 两极分化
[00406.28-00408.08] 而社会财富的两极分化
[00408.08-00409.68] 是它的一个体现
[00409.68-00411.24] 所以就知道好得越好
[00411.24-00413.40] 回得越坏就是马太小雄
[00413.40-00415.32] 那这是第三个
[00415.32-00416.08] 第三个
[00417.08-00418.08] 好 那在我下呢
[00418.08-00419.44] 他再给到了还有一个叫做
[00419.44-00420.52] 编辑小雄
[00420.52-00421.72] 编辑小雄有的他说了
[00421.72-00423.92] 当增加的投入超过一定水平之后
[00423.92-00426.40] 新增每個單位投入帶來的產出量
[00426.40-00427.72] 可能會下降
[00427.72-00430.40] 這個就叫做我們所說的編輯效應
[00430.40-00432.28] 編輯效應的強調就是
[00432.28-00434.84] 增加一個消費單位
[00434.84-00436.56] 或者是增加一個投入單位
[00436.56-00438.76] 它的產出量會下降
[00438.76-00441.52] 所以我們常說就編輯效應地檢
[00442.80-00443.92] 現在旁邊
[00443.92-00444.68] 投門在這裡
[00444.68-00446.24] 對它有一個概念就行了
[00446.24-00448.24] 就做編輯效應地檢
[00448.24-00450.72] 一會我們會講到編輯效應地檢規律
[00450.72-00452.48] 這個時候你就能夠充分理解它
[00452.48-00453.20] 啥意思了
[00453.20-00455.28] 所以就知道边境效能是地坚的就可以了
[00455.28-00457.08] 这个概念单独考察的时候
[00457.08-00458.56] 其实是没太考察过的
[00458.56-00459.52] 这是第一个
[00459.52-00461.32] 只增加一个消费单位
[00461.32-00463.40] 就是你一个一个去增加
[00463.40-00465.20] 然后他给你带来的这种
[00465.20-00466.24] 我们所说的
[00466.24-00468.28] 享受程度或者是这种产图量
[00468.28-00469.40] 是逐渐下降的
[00469.40-00470.68] 这个叫边境效应
[00470.68-00472.72] 那还有一个叫做规模效应
[00472.72-00474.76] 规模效应来看一下他说了
[00474.76-00476.92] 说在一定的产量放弃之内
[00476.92-00479.76] 实在产量的增加平均成本不断的什么
[00479.76-00480.52] 下降
[00480.52-00482.32] 这个就叫做规模效应
[00482.32-00483.08] 规模效应
[00483.08-00485.96] 它其实在考试当中也没太考察过
[00485.96-00487.00] 因为这两个概念
[00487.00-00489.24] 它其实本身都和供级有关
[00489.24-00490.60] 而不是和需求有关
[00490.60-00493.24] 我们在考试当中考得比较多的是什么
[00493.24-00494.60] 和比较多的是需求
[00494.60-00497.24] 所以这两个概念稍微了解一下机客
[00497.24-00499.08] 不需要做重点转入
[00499.08-00500.08] 这是在这
[00500.08-00501.72] 给到的这个效应
[00501.72-00503.16] 除了这个效应之外
[00503.16-00505.24] 我们还要来看一些经济学民似
[00505.24-00507.16] 这些经济学民似
[00507.16-00510.88] 就是理解形提目 经常会考察的一些点了
[00510.88-00512.72] 那么首先来看一下第一个
[00512.72-00513.88] 第一个名词叫做
[00513.88-00516.16] 编辑秀用地剪规律
[00516.16-00517.36] 他们来看一下
[00517.36-00519.04] 编辑秀用地剪
[00519.04-00521.08] 它其实是和编辑秀用
[00521.08-00522.88] 有那么一点相似之处的
[00522.88-00523.60] 咱们来看一下
[00523.60-00525.60] 编辑秀用地剪规律是啥意思
[00525.60-00526.60] 它这就说了
[00526.60-00530.04] 说编辑秀用地剪规律是在一定时间内
[00530.04-00532.36] 随着秀废者对某种产品
[00532.36-00533.32] 同样注意一下
[00533.32-00535.04] 秀废量的增加
[00535.04-00540.08] 留下作一个消费者,作为买东西的我不断的去重复贡买同一种商品
[00540.08-00542.24] 这个对这个商品的消费量增加
[00542.24-00544.40] 它是随着这个消费量的增加呢
[00544.40-00546.24] 消费者从该商品
[00546.24-00550.60] 换一下,连续增加每一消费单位把这个次化出来
[00550.60-00555.20] 连续增加每一消费单位中所获得的叫做效用的增量
[00555.20-00557.12] 它是怎么样呢,地坚呢
[00557.12-00561.84] 所以想要理解边际效应地坚规率,你先把这三个次去给它化出来
[00561.84-00565.64] 第一個就是編輯,就是每增壓一個消費單位
[00565.64-00569.68] 第二個,效用地檢,就是效用的增量是主播下降的
[00569.68-00573.36] 在這裡面,我們要主持解決,這里面設計的每一個考點
[00573.36-00576.16] 首先第一個,它既然提到了編輯,效用地檢規率
[00576.16-00579.64] 那我們就需要解決的第一個問題,就是到底什麼叫做效用呢?
[00579.64-00581.84] 同樣把效用這個詞取得畫出來
[00581.84-00584.84] 效用這個詞之前考察過,一到題目
[00584.84-00590.52] 說,以下APCD色選當中,哪一個是我們所說的經濟學當中的效用
[00590.52-00591.92] 其實什麼是效用呢?
[00591.92-00593.40] 其實在經濟學家眼中
[00593.40-00595.40] 就是萬物是接口量化的
[00595.40-00596.32] 因為經濟學嘛
[00596.32-00597.64] 它就研究一些數字
[00597.64-00598.84] 所以有一些東西呢
[00598.84-00600.40] 它如果沒有辦法量化的話
[00600.40-00603.56] 它其實就是沒有辦法被紅官的觀測到
[00603.56-00605.32] 所以在這裡在經濟學家眼中
[00605.32-00607.32] 萬物都是可以被量化的
[00607.32-00609.60] 所以就有了叫做效用數量論
[00609.60-00612.08] 那這種我們所說的可以量化的這些指標
[00612.08-00612.72] 包括什麼呢?
[00612.72-00614.80] 包括人的喜好可以量化
[00614.80-00618.48] 包括人的討厭一個東西的討厭程度可以量化
[00618.48-00624.40] 当然也包括一个人对另外一个商品的满意程度也是可以调话的
[00624.40-00629.72] 这个我们所说的消费者对于商品的满意程度就被称为交格什么效用
[00629.72-00632.68] 所以效用是什么同样在旁边标注色字
[00632.68-00636.12] 就只得是我对一个商品的满意程度
[00637.12-00639.24] 这是第一个小达的长路的点
[00639.24-00641.84] 对于一个商品的满意程度
[00643.28-00645.04] 对一个商品的满意程度
[00645.04-00647.32] 那我对于这个商品的满衣程度月高
[00647.32-00649.88] 那他给我带来的秀用就会月高
[00649.88-00652.36] 所以这个秀用兼须加成认为
[00652.36-00653.80] 他竟然代表小黑人满衣程度
[00653.80-00656.96] 我就可以用数字来代表这个满衣程度
[00656.96-00659.48] 你比如说一到十分十就代表最满意
[00659.48-00661.36] 对吧一就代表最不满意
[00661.36-00662.28] 那这种情况之下
[00662.28-00664.44] 你就可以把你的体验感转它成一个什么
[00664.44-00665.52] 具体的数字了
[00665.52-00668.12] 所以在这里面我们知道了什么叫做秀用
[00668.12-00670.44] 那大家知道秀用其实就是我们所说的
[00670.44-00672.28] 对于一个东西的满衣程度
[00672.28-00674.68] 那对于这个东西的这个满衣程度
[00674.68-00676.68] 他的变化的规律是啥呢
[00676.68-00679.30] 就是随着消费单位的增加
[00679.30-00680.96] 胸增量是低減的
[00680.96-00683.60] 如果老师什么叫美增加一个消费单位
[00683.60-00685.76] 什么叫做笑容增量是低減的
[00685.76-00687.48] 咱们来举个例子来说
[00687.48-00689.84] 比如说现在我是一个期待
[00689.84-00691.68] 已经饿了20多天没有吃饭了
[00691.68-00692.48] 那这种情况之下
[00692.48-00694.20] 我最想要的是什么东西
[00694.20-00696.88] 我最想要的是吃饭的
[00696.88-00697.32] 对吧
[00697.32-00700.00] 所以这时候有一个好新人从事没有路过
[00700.00-00700.88] 从事没有路过的
[00700.88-00702.60] 所以看还有天啊天啊
[00702.60-00706.18] 问,说你怎么皮包股啊,我说我饿了20多天了没有吃饭
[00706.18-00709.76] 说有你可真厉害20多天还没有饿死,真是好样的
[00709.76-00712.58] 可是我看你股哥亲企业对吧,我亲吃包子吧
[00712.58-00717.70] 我说好,他说你不要那个不好意思,包子呢,管个我说那可是太棒了
[00717.70-00720.00] 于是他就令我去包子店去吃包子
[00720.00-00721.04] 那你看,同学们
[00721.04-00725.00] 接下来呢,我们就跟包子这个历子来看一下,他具体是怎么变化的
[00725.00-00726.92] 他们来想一下,我现在呢
[00727.44-00730.24] 换一个表格,咱们来分析一下这个表格
[00730.24-00735.24] 我吃的包子的数量
[00735.24-00740.24] 第二来代表这个包子给我带来的满意程度
[00740.24-00746.24] 当个包子满意程度
[00746.24-00751.24] 然后我们再看一下
[00751.24-00757.24] 我们所说的整体满意程度
[00757.24-00760.24] 整体的满一程度
[00760.24-00762.00] 来吧 朋友来看一下
[00762.00-00763.60] 这里面我们来分析一下
[00763.60-00765.04] 他带我去吃包子的时候
[00765.04-00766.64] 当我去吃低一个包子的时候
[00766.64-00768.08] 因为我饿了20多天了
[00768.08-00769.48] 当我去吃低个包子的时候
[00769.48-00770.80] 他问我说这个包子好吃吗
[00770.80-00771.60] 好吃吗
[00771.60-00773.36] 我是阿姨这包子太香了
[00773.36-00774.60] 我说怕不是去了吧
[00774.60-00775.04] 对吧
[00775.04-00776.56] 我已经上天了吧
[00776.56-00777.68] 我还活在人事上
[00777.68-00779.52] 我怎么能吃到这么好吃的包子呢
[00779.52-00782.20] 辞包子用天上有人间难得几回吃
[00782.20-00783.36] 于是在这里面
[00783.36-00785.16] 他说那你给这个包子打个分
[00785.16-00786.16] 我说那必须的
[00786.16-00788.16] 我说你买份乐粉 谈成10份
[00788.16-00790.16] 我这个时候就给包子打了个
[00790.16-00792.16] 我就给包子打了个10份
[00792.16-00795.16] 那这个时候同样看我吃了一个包子
[00795.16-00797.16] 这个包子给我带来了买一层不是是
[00797.16-00798.16] 我的整体的买一度是不是就是
[00798.16-00800.16] 这一个包子给我带来了买一层多
[00800.16-00802.16] 那这个时候我的整体买一度是多少呢
[00802.16-00804.16] 我的整体买一度是是
[00804.16-00806.16] 那什么叫做边级笑容呢
[00806.16-00807.16] 同时来看一下
[00807.16-00809.16] 所谓的边级笑容
[00809.16-00812.16] 就是每增加一个消费增量
[00812.16-00814.16] 每增加一个消费单位
[00814.16-00815.16] 他给我带来了消责量
[00815.16-00817.98] 那你看在这里面如果用包子来提款的话
[00817.98-00822.08] 我增加的这个消费单位是什么是从零到一吧
[00822.08-00824.38] 我原来是零个包子现在吃了一个包子
[00824.38-00829.24] 那消费增量是解单位消费是呀增加的消费单位是一
[00829.24-00832.32] 我获得的消费量是多少原来消费量是零
[00832.32-00834.62] 现在一个包子给我带来了买一传都是时
[00834.62-00836.92] 所以我现在的消费量是什么
[00836.92-00838.20] 消费量是时
[00838.20-00839.80] 那边几消费就是什么
[00839.80-00843.06] 边几消费就是用消用增量比上消费单位
[00843.06-00846.02] 那就是在这里面是实际剪铃儿
[00846.02-00849.02] 比上一剪铃儿到于剪到于石
[00849.02-00850.62] 这时候我的边际相应是什么
[00850.62-00851.58] 是码分的
[00851.58-00852.74] 这个能理剪
[00852.74-00854.42] 那这是我们吃了第一个包子
[00854.42-00856.30] 那吃了一个包子我只能吃过饱
[00856.30-00858.06] 于是我还要去吃地址哥呢
[00858.06-00859.42] 我用吃了一个包子
[00859.42-00861.94] 所以我现在包子的总量变成了两个
[00861.94-00863.22] 然后它这个手问我说
[00863.22-00864.02] 这包子好吃吗
[00864.02-00865.14] 是好吃好吃
[00865.14-00867.06] 但是现在就有点奇怪
[00867.06-00868.90] 当我看吃第二个包子的时候呢
[00868.90-00870.30] 虽然它也很好吃
[00870.30-00872.10] 但它给我带来的买一层度
[00872.10-00873.82] 原来没有第一个包子那么经验
[00873.82-00875.38] 就是他是好吃的包子
[00875.38-00878.02] 但也不过就只是人间的好吃的包子而已
[00878.02-00878.58] 对吧
[00878.58-00879.58] 所以在这里面
[00879.58-00881.02] 这个人有个手伸的
[00881.02-00882.26] 你给这个包子打批吧
[00882.26-00883.98] 我说这个包子也真不错
[00883.98-00885.38] 我说给他打8分的
[00885.38-00886.22] 那同一来看一下
[00886.22-00888.10] 这是第二个包子给我带来到
[00888.10-00889.42] 买一程度是8分
[00889.42-00891.18] 那我现在一共吃了几个包子了
[00891.18-00892.98] 我现在一共吃了两个包子了
[00892.98-00895.26] 那这两个包子给我带来的整体买一度
[00895.26-00896.98] 我给他打批总是多少
[00896.98-00898.66] 两个包子加总在块儿吧
[00898.66-00901.62] 这是10加8等约18分
[00901.62-00904.02] 那什么叫做边基兽呢?边基兽的你看
[00904.02-00906.42] 我原本在吃第二包子之前
[00906.42-00908.42] 我前面是否已经吃了一个包子了
[00908.42-00911.14] 那这个时候我的消费的单位是多少
[00911.14-00912.66] 是两个剪去一个
[00912.66-00915.22] 这是增加单位的数量
[00915.22-00917.62] 对吧?那包子的买一层度是多少呢?
[00917.62-00919.46] 包子的买一层度在这里面
[00919.46-00920.34] 我们来看一下
[00920.34-00923.06] 单个包子给我带着买一层度兽量世界
[00923.06-00924.74] 兽量是8
[00924.74-00925.86] 所以在这里面
[00925.86-00928.02] 我们来看它整体上就是什么?
[00928.02-00929.62] 整体上的边基兽量就是
[00929.62-00931.62] 你说老是你这咋算的呢
[00931.62-00932.62] 其实就是这样的
[00932.62-00934.62] 我用整体的买一程度
[00934.62-00936.62] 減去之前的
[00936.62-00938.62] 钱一个包子给我带来了买一程度
[00938.62-00941.62] 是不是就是第二个包子给我带来了的胸增量啊
[00941.62-00943.62] 这种情况之下就是18.10
[00943.62-00946.62] 那这个是第二个包子给我带来了的胸增量是
[00946.62-00948.62] 把这个八就是第二个包子的什么
[00948.62-00949.62] 编辑胸
[00949.62-00951.62] 那我接着再吃
[00951.62-00953.62] 再吃第三个包子
[00953.62-00954.62] 他那个包子贼老大
[00954.62-00956.62] 对吧就是由我两个权头那么大
[00956.62-00957.62] 两个八成那么大吧
[00957.62-00958.62] 那个包子就那么老大
[00958.62-00959.62] 我都没有老大
[00959.62-00960.62] 当我在吃第三个包子的时候
[00960.62-00962.62] 我就感觉我有一点吃饱了
[00962.62-00963.62] 我就会吃不下去了
[00963.62-00966.62] 然后我这个时候就不太想吃了
[00966.62-00968.62] 然后但是我棉抢了我又吃了第三个包子
[00968.62-00969.62] 吃完了之后我就饱饱了
[00969.62-00971.62] 然后这个时候呢
[00971.62-00973.62] 这个这个另外吃饭就是人
[00973.62-00974.62] 他说这个包子好吃吗
[00974.62-00975.62] 我说好吃好吃好吃
[00975.62-00977.62] 他说那你这个包子这么好吃的话
[00977.62-00978.62] 那你给包子打个飞吧
[00978.62-00979.62] 但我现在有发现
[00979.62-00981.62] 这个包子让我吃到第三个的时候
[00981.62-00982.62] 我是不已经饱了
[00982.62-00983.62] 那我如果已经饱了的话
[00983.62-00985.62] 那单个包子我给我带来的买一层
[00985.62-00986.62] 就是啥
[00986.62-00992.18] 错货吧,对吧,就是没有那么经验,就是能够棉肠吃得下去嘴
[00992.18-00994.98] 所以我给这个包子打了几分,打了两分
[00994.98-00999.12] 那同一模我一共吃了三个包子,三个包子给我带来的整体买一度是什么?
[00999.12-01004.22] 是10分,加8分,加2分,是不是等于几分,是不是等于20分
[01004.22-01007.22] 那这里面,第三个包子的编辑相是什么?
[01007.22-01010.34] 就是总的买一程度,兼去什么?
[01010.34-01014.34] 減序我们所说的前面之前的那一系列
[01014.34-01016.22] 对吧 那这个就是我们所说的
[01016.22-01017.98] 前面一系列的买成功是18
[01017.98-01019.30] 对吧 就是用这个说
[01020.58-01022.62] 用这个说減序这个说
[01022.62-01023.98] 你还上一个编辑效应室
[01023.98-01025.46] 也是这个说減序这个说
[01025.46-01027.70] 所以是20的減序18
[01027.70-01029.54] 那我的包子的单位增量是減
[01029.54-01031.06] 是三个減序两个
[01031.06-01033.62] 因为我吃的到这是三个数量了
[01033.62-01035.78] 但是我增加的消费单位是一个 对吧
[01035.78-01038.98] 那这个时候我的编辑效应室減是2
[01038.98-01045.54] 这种情况之下,他一看,我这个人真的是真突爆了,我都在吃的表情特别痛苦了
[01045.54-01050.34] 他一问我就吃,他一问我就吃,他怕我吃饱,你说如果说他说你要不这样吧
[01050.34-01055.46] 你在吃第四个饱子吧,我当时一听我脸色挺清楚,我这当时就想你还不如不见我呢,对吧
[01055.46-01057.06] 你还不让我热死在路边呢
[01057.06-01063.06] 但是没办法,而人嘛,他提个要求,有求必用,于是我又吃了第四个饱子
[01063.06-01064.66] 但我吃第四个包子的时候
[01064.66-01066.46] 我已经保护了
[01066.46-01067.34] 对吧,你都会来说
[01067.34-01068.46] 就已经吃不下去了
[01068.46-01069.62] 吃完了之后这个包子
[01069.62-01071.02] 味同九辣
[01071.02-01074.10] 就是感觉没有什么其他的种感受了
[01074.10-01075.46] 他说这个包子还醒爆
[01075.46-01076.86] 我想醒,他说你打个分
[01076.86-01077.90] 我说一般吧
[01077.90-01079.26] 我这个打了个零分
[01079.26-01080.30] 那同一会来看一下
[01080.30-01081.26] 那这种醒发之下
[01081.26-01082.30] 我吃第四个包子
[01082.30-01084.38] 第四个包子给我带来的买一串东世界
[01084.38-01084.98] 是零
[01084.98-01085.74] 那我问一下
[01085.74-01087.58] 此时的整体买一度是多少
[01087.58-01088.98] 就四个包子加左边
[01088.98-01090.42] 就是10加8
[01090.42-01091.94] 加2加0
[01091.94-01092.70] 等于多少
[01092.70-01094.90] 等于我们所说的20
[01094.90-01097.14] 这有时候的编辑消暗是多少呢
[01097.14-01098.14] 编辑消暗有我们说了
[01098.14-01099.34] 是后一个消费总量
[01099.34-01100.62] 渐渐前一个消费总量
[01100.62-01102.42] 是为20渐20
[01103.06-01105.62] 增加的消费单位是4渐3
[01105.62-01109.06] 是不是等于渐等于4渐3等于1
[01109.06-01110.06] 20渐20等于0
[01110.06-01112.22] 所以这个包子的编辑消暗是多少
[01112.22-01114.34] 这个包子的编辑消暗是0
[01114.34-01116.74] 那吃到这我说就已经吃到早的点了
[01116.74-01117.50] 我不能再吃了
[01117.50-01119.14] 我要再吃的话我就突出来了
[01119.14-01120.26] 但是他一看
[01120.26-01121.14] 我都三下去了
[01121.14-01122.42] 他就觉得我还没有吃吧
[01122.42-01125.48] 于是在跟我说,你要不再吃一个吧,加油
[01125.48-01128.22] 对吧,你是最棒的,你是最能吃的,你加油吧
[01128.22-01131.50] 我当时一想行吧,我再吃最后一个,我说告诉他
[01131.50-01132.66] 最后一个了
[01132.66-01137.32] 你在吃完这个,你再让我吃我吃不了一点了,他说行,你就再吃一个吧
[01137.32-01141.62] 于是呢,我就吃了第五个包子,我醒下了,我醒下了,我醒下了,我醒下了,我醒下了,我醒下了,我醒下了,我吃了第五个包子
[01141.62-01145.42] 我吃完第五个包子之后,我第五个包子刚吃了一口,不行了
[01145.42-01148.22] 我就以下因为太晚了,我就全都突出来了
[01148.22-01150.10] 那你看这个时候第五个包子
[01150.10-01151.50] 他没有让我们买一部说
