[00000.00-00003.80] 大家好,我是杰瑞, 執將逼戰最應合的考試知識
[00003.80-00008.44] 今天我們來聊聊聊聊如何挑戰曼芬馬源
[00142.40-00144.80] 他可能听过一遍两遍身体是很多变
[00144.80-00146.28] 但是你没有发现一个问题
[00146.28-00147.60] 你再去做题的时候
[00147.60-00150.44] 你往往还是回御到一些知识点
[00150.44-00152.36] 只有知识点你四层箱时
[00152.36-00153.96] 但是他背后的点
[00153.96-00155.32] 你是第一次遇见
[00155.32-00156.76] 你说老是你这么说太抽象了
[00156.76-00158.76] 如果这个人没有听到你说个事
[00158.76-00159.96] 咱们来看一道题目
[00159.96-00161.96] 你就盖看到我的意思了
[00161.96-00162.84] 比如说在这里
[00162.84-00164.44] 咱们在哲学当中会讲到意识
[00164.44-00164.96] 对吧
[00164.96-00166.32] 这要提考察就说
[00166.32-00168.24] 意识他背后隐藏的考电
[00168.24-00170.96] 他们的意识是刻观存在的主观影像
[00170.96-00172.44] 下流说法正确的是
[00172.44-00174.52] 给了ABCD4个选项
[00174.52-00177.40] 同学们如果你有相用的理论基础
[00177.40-00178.74] 或者你想猫一猫的话
[00178.74-00181.72] 你就可以在单梦当中给老师回复一个1234
[00181.72-00183.36] 我来看一下大家知道的题理面
[00183.36-00184.92] 你心中的答案是哪个案
[00184.92-00185.80] 知道题的答案呢
[00185.80-00187.84] 咱们在这里先暂时按下目标
[00187.84-00190.16] 我想接触这套题给同学们说明的一个点
[00190.16-00193.24] 就是我们一定要在理解支点的技术上
[00193.24-00195.88] 把这个支点背后隐藏的细节的点
[00195.88-00197.36] 全部挖掘出来
[00197.36-00200.56] 这样做省时省力变于用用
[00200.56-00201.96] 这也是我们这一套课程
[00201.96-00203.68] 要给同学们去做到的案
[00203.68-00205.16] 那第三个点是啥呢
[00205.16-00205.92] 第三个点啊
[00205.92-00207.24] 这同门普遍存在了
[00207.24-00208.16] 就是这个东西呢
[00208.16-00209.04] 一听就会
[00209.04-00210.60] 一作题就费
[00210.60-00212.28] 一作题就费个主要原因
[00212.28-00214.68] 就是因为我们在作题的这过程当中
[00214.68-00215.72] 不知道这要题
[00215.72-00216.60] 从哪里下手
[00216.60-00217.48] 给你干案例
[00217.48-00218.16] 案例多来了
[00218.16-00218.36] 吧
[00218.36-00219.88] 这家里好有趣好新鲜
[00219.88-00220.48] 但是呢
[00220.48-00220.92] 太英文
[00220.92-00222.04] ABCD選哪个
[00222.04-00223.32] 你仿佛这四个选项
[00223.32-00224.40] 从来没有见过
[00224.40-00225.76] 理论你都听得很清楚
[00225.76-00227.04] 单独每个选项拿出来
[00227.04-00227.76] 你也理解
[00227.76-00229.40] 但是一旦放到这道题里面
[00229.40-00230.32] 你就做不对了
[00230.32-00230.96] 为啥呢
[00230.96-00232.12] 就是缺少了消得
[00232.12-00235.20] 破帝技巧以及打提相的模型
[00235.20-00237.00] 我几个简单的例子还说
[00237.00-00239.32] 比如说在这里有这么一道体
[00239.32-00240.76] 有关理论基础的同学
[00240.76-00243.16] 对照题应该不是特别的陌生
[00243.16-00244.84] 如果你陌生了那就说白了
[00244.84-00247.20] 说白了 我刚才那个话说中了
[00247.20-00249.20] 对吧 你确实是理论和做体
[00249.20-00251.00] 中间缺少了一个破帝的技巧
[00251.00-00251.84] 来看一下这种体
[00251.84-00254.60] 他说任何事务的微小变化
[00254.60-00256.96] 都能引起失务根本性质的变化
[00256.96-00259.88] 然后问 照体说的是对的还错的呢
[00259.88-00262.16] 大家认为照体是对的 还是错的呢
[00262.16-00265.24] 如果你认为对 就在屏幕当中可以留个1
[00265.24-00267.72] 如果你认为错 你就可以在屏幕当中留个2
[00267.72-00269.00] 但是1和2都不重要
[00269.00-00271.12] 重要的是我要在这里给同学讲解一下
[00271.12-00272.92] 一些题目的破题技巧
[00272.92-00274.84] 这要提它本身上考察的是
[00274.84-00276.88] 亮辩和智辩之间的关系
[00276.88-00281.64] 小达对这道题就必须要把一些内容进行等亮的
[00281.64-00284.52] 待会 怎么待会在这里同一看下
[00284.52-00286.72] 这里面其实我们可以做两个待会
[00286.72-00288.72] 第一個就是15的微小變化
[00288.72-00290.92] 它其實是等同於亮變的
[00290.92-00293.44] 第二個叫做15根本性質的變化
[00293.44-00294.64] 根本性質的變化
[00294.64-00296.80] 它其實是等同於質變的
[00296.80-00299.80] 那這句話通過這樣的關鍵詞的替換
[00299.80-00304.32] 就變成了任何亮變都能引起致變
[00304.32-00307.48] 這種說法顯然是錯誤的
[00307.48-00307.88] 對吧
[00307.88-00310.52] 因為我們說了亮變要引起致變
[00310.52-00312.32] 必須要在一定程度上
[00312.32-00313.52] 而它就是把這個點
[00313.52-00314.36] 跟我們扣出來
[00314.36-00315.92] 來進行了一些相當的考察
[00315.92-00319.72] 那小达对这样的体验就必须非常明确的知道
[00319.72-00321.52] 如何去进行商的扩提技巧
[00321.52-00325.12] 所以我们总结了大家在学习高中普遍存在的三个问题
[00325.12-00329.32] 而这三个问题也是需要我们在这套续统扩张中去解决的问题
[00329.32-00330.52] 所以我们回顾过来
[00330.52-00332.80] 小进行马源的满分挑战
[00332.80-00334.12] 其实有5飞93点
[00334.12-00337.92] 第一个 立即好 第二个靠电圈 第三个有技巧
[00337.92-00340.52] 所以同时我们再去听这套里文课程的时候
[00340.52-00341.52] 一定要注意
[00341.52-00343.92] 但反我设议到让大家去实际的点
[00343.92-00344.76] 去标注的点
[00344.76-00346.28] 你就一定要在笔记上
[00346.28-00347.44] 去给他标注清楚
[00347.44-00348.84] 这东西不是白给的
[00348.84-00350.12] 都是为了在这里面
[00350.12-00351.76] 给大家去做体用的
[00351.76-00353.16] 就是理论说的在好
[00353.16-00355.00] 说一千道一万还是要回味道
[00355.00-00355.96] 做体上
[00355.96-00356.84] 所以大家这个点
[00356.84-00357.72] 是一定
[00357.72-00359.64] 一定我摆错大家
[00359.64-00360.76] 要明确的
[00360.76-00361.28] 好的
[00361.28-00362.88] 这个就是今天的这个
[00362.88-00363.64] 可成介绍了
[00363.64-00364.88] 本期的内容到这里
[00364.88-00366.72] 几乎就已经全部都结束了
[00366.72-00368.92] 如果大家有任何想要讨论的问题
[00368.92-00370.28] 也欢迎大家在弹幕
[00370.28-00372.08] 和评论去当中留言
[00372.08-00373.72] 我随时会大家进行相的
[00373.72-00376.28] 交流 那咱们这一次課程的那种道歉就结束了
[00376.28-00378.76] 咱们支持续 再见了 您来 拜拜
