[00000.00-00002.68] 我们看完了生物技术我们再来看一看
[00126.60-00128.68] 我們所說的像石墨這種東西
[00128.68-00129.92] 我先給大家說
[00129.92-00131.04] 石墨是怎麼會事
[00131.04-00133.24] 因為石墨就是在石墨西
[00133.24-00135.16] 就是在石墨幾乎是上搞出來的
[00135.16-00136.36] 原本的石墨
[00136.36-00138.32] 它就是一種單層的太林子
[00138.32-00139.88] 你比如說像我們剛才所說的
[00139.88-00140.88] 千比
[00140.88-00142.76] 千比它就是石墨構成的
[00142.76-00144.00] 那牽扁呢
[00144.00-00146.12] 我们所说的这种单层的态源子
[00146.12-00148.00] 他如果作为材料的话单层吗
[00148.00-00148.64] 他很薄
[00148.64-00149.96] 但是他很容易怎么样
[00149.96-00151.20] 他很容易实惹
[00151.20-00153.44] 也就是我们所说这种单层的态源子
[00153.44-00155.68] 他是特别容易断的
[00155.68-00157.48] 所以当时的科学家就说
[00157.48-00159.84] 我觉得像原本实际的这种
[00159.84-00161.24] 他就是单层的这种东西
[00161.24-00162.16] 他很薄
[00162.16-00163.12] 他就很好用
[00163.12-00163.28] 对吧
[00163.28-00165.72] 单层的东西的战斩的体肌小
[00165.72-00166.36] 又很清薄
[00166.36-00167.40] 就很变解
[00167.40-00168.80] 但是他又一段
[00168.80-00169.64] 于是他们就说
[00169.64-00172.40] 那我能不能从实际的当中体练出来那种
[00172.40-00174.76] 单层的太远子 但是它不一段
[00174.76-00177.80] 就是它的结构相当是比较监固的
[00177.80-00179.64] 于是大家就开始去研究什么呢
[00179.64-00182.12] 这个石墨西 这个石墨西最开始怎么来的
[00182.12-00183.72] 是当时有几个科学家
[00183.72-00186.84] 它是在原本石墨的这个基础上了
[00186.84-00188.44] 原本石墨不是单层的吗
[00188.44-00190.68] 它们就用胶带 把这种单层
[00190.68-00193.16] 给它站在了一起 山了好几层
[00193.16-00195.48] 我们所说的这种单层的太子再块
[00195.48-00198.44] 然后让这个东西有一胶带给它联合再块
[00198.44-00200.72] 它就相对来说比原的那种石墨
[00200.72-00202.04] 要监固很多
[00202.04-00203.44] 于是就有了我们所说的
[00203.44-00205.12] 六边行风潮的什么呢
[00205.12-00205.88] 石墨西
[00205.88-00207.84] 所以石墨西就是这么来的
[00207.84-00209.80] 所以首先第一个石墨西的特征
[00209.80-00211.40] 我们说了它是世界上什么
[00211.40-00213.52] 最薄的材料
[00213.52-00214.84] 所以在这里大家注意一下
[00214.84-00217.24] 这是第一个世界上最薄的材料
[00217.24-00218.40] 因为只有一层
[00218.40-00218.84] 对吧
[00218.84-00219.80] 单层太原子嘛
[00219.80-00220.44] 所以最有一层
[00220.44-00221.80] 对于是最薄的
[00221.80-00223.80] 第二个就是在这里面
[00223.80-00224.88] 它其实相对来说
[00224.88-00226.40] 它的整体的结构
[00226.40-00228.60] 就与原本的石墨要监韧很多
[00228.60-00229.40] 所以在这里面
[00229.40-00230.92] 你看它的第二个特性就是
[00230.92-00234.50] 什麽是以之強度最高的材料之一
[00234.50-00236.54] 他的強度高到什麽程度呢
[00236.54-00237.32] 大家注意一下
[00237.32-00238.72] 他的強度就高到
[00238.72-00240.84] 他是世界上最好的高
[00240.84-00244.04] 他比最好的高材的硬度還要硬100倍
[00244.04-00246.28] 那你看這種情況之下是不是強度很高
[00246.28-00247.44] 但是問題是在遠
[00247.44-00248.08] 大家注意
[00248.08-00249.28] 他不僅強度高
[00249.28-00250.12] 而且他怎麽樣呢
[00250.12-00251.52] 他的任性還很好
[00251.52-00252.56] 說他很硬
[00252.56-00253.96] 就因為他很接勢
[00253.96-00255.12] 他任性又很好
[00255.12-00256.08] 這就怎麽掰
[00256.08-00256.96] 都掰不斷
[00256.96-00258.84] 所以在這裡他也可以彎曲
[00258.84-00260.36] 於是我們就想到
[00260.36-00262.46] 那如果它是這樣的一個材料的話
[00262.46-00265.06] 它可以用在什麼上太多了
[00265.06-00266.46] 它就可以用在比如說
[00266.46-00268.56] 大家現在經常會看到什麼的
[00268.56-00270.16] 咱們的華為國產機
[00270.16-00272.26] 對吧經常會出現那種折疊平的手機
[00272.26-00273.56] 因為覺得很神奇
[00273.56-00274.56] 我覺得很神奇
[00274.56-00276.76] 就怎麼折那個屏幕都不對
[00276.76-00279.06] 你看它其實就可以把它運用到什麼
[00279.06-00281.96] 這種折疊平或者這種取平的手機上
[00281.96-00283.76] 因為怎麼樣強度高
[00283.76-00284.76] 你怎麼出
[00284.76-00285.86] 它都不會被出了
[00285.86-00287.16] 你怎麼說愛太師傅會
[00287.16-00289.06] 對吧第二一個認性很好
[00289.06-00290.46] 眼展度很高啊
[00290.46-00291.46] 所以你看像這種
[00291.46-00292.62] 它的這種特性
[00292.62-00294.06] 以之強度高任性好
[00294.06-00297.06] 就可以用在無所說的取平的眼知上啊
[00297.06-00299.94] 或者說我們所說的防彈衣上了防彈衣
[00299.94-00301.74] 你穿的時候是不是要舒適高
[00301.74-00301.94] 對吧
[00301.94-00303.06] 如果給你防彈衣
[00303.06-00303.66] 很厚重
[00303.66-00304.66] 已經滾住了那不行
[00304.66-00306.22] 那你看在這裡怎麼辦
[00306.22-00306.98] 強度高
[00306.98-00307.58] 可以防彈
[00307.58-00308.38] 第二任性好
[00308.38-00309.22] 你怎麼動
[00309.22-00310.22] 它都很方便
[00310.22-00311.22] 又或者說我們所說的
[00311.22-00312.94] 可以用在包裝的事上
[00312.94-00313.86] 說老師包裝的事兒
[00313.86-00314.42] 啥當然
[00314.42-00315.10] 拉一拉
[00316.26-00316.98] 老師
[00316.98-00318.58] 拉一拉我家裡就提一個拉
[00318.58-00319.86] 就下去就行了
[00319.86-00321.14] 我用这种干嘛呢
[00321.14-00323.70] 有一些我们所说的这种垃圾
[00323.70-00325.82] 他就要装在那种袋子当中
[00325.82-00326.26] 对吧
[00326.26-00327.30] 装这种袋子当中
[00327.30-00328.42] 这个袋子一定要接神
[00328.42-00330.54] 你比如说一些建筑型的材料等等
[00330.54-00331.90] 你要去处理他的说
[00331.90-00332.78] 那就很麻烦
[00332.78-00335.66] 那如果说用什么系做成的这种塑料大
[00335.66-00337.54] 就可以提到重量
[00337.54-00339.54] 就怎么给他装他都不愿会
[00339.54-00340.58] 能装多少东西呢
[00340.58-00342.42] 就能装两顿
[00342.42-00343.46] 就能装两顿
[00343.46-00344.34] 所以大家注意一下
[00344.34-00345.50] 这是我们所说的
[00345.50-00346.54] 第二个特性
[00346.54-00348.10] 那他第三个特性做什么呢
[00348.10-00351.44] 大距一下第三个特效就是他的透光率很高
[00351.44-00354.74] 他透光率同标注意下是9%以上
[00354.74-00356.74] 那就因为这种材料可以是什么
[00356.74-00358.08] 他几乎是透明的
[00361.08-00363.36] 这种材料就几乎是透明的
[00363.36-00365.08] 那如果他几乎是透明的
[00365.08-00366.08] 他可以干了呢
[00366.08-00367.56] 如果他几乎是透明的
[00367.56-00370.02] 他就可以用来投应
[00371.22-00372.40] 或者是做什么
[00372.40-00373.74] 做智能眼睛
[00373.74-00381.94] 透光性很好,不影響你失誤,对不对,所以你看像这样的特性,它就可以用来干嘛呢。
[00381.94-00394.04] 它就可以用来做投票,做智能眼镜,这个都可以,大家注意一下这死墨西的,它的三个特性,跟这三个特性,我们也都知道它有一些具体的用用。
[00394.04-00398.64] 所以这三个特性,同没有知道,这是第一个,第一个,它的特性。
[00398.64-00402.12] 第二了就在这里给我们讲的一些他的具体的拥用
[00402.12-00405.04] 这个具体的拥用其实是刚才我给大家就说的
[00405.04-00409.76] 我建议还是投去的按照他的跟他的特性有关去记他的势力
[00409.76-00411.52] 你这样的话会比较具象
[00411.52-00413.48] 你看实际实际他在哪上有拥用呢
[00413.48-00417.44] 在这里他说他可以作为传感器作为经过尔体
[00417.44-00420.36] 还可以做新闻员电池等等 对吧
[00420.36-00422.32] 这其实都是我们所说的实际
[00422.32-00428.60] OK,大家展示的图片,它其实就是体现的就是什么西的它的一个原子结构
[00428.60-00430.24] 就是6边形的封吵结构
[00430.24-00436.44] 这里面我们来看一下,在它的具体用当中比如说我们刚才说了,就是如性显示平衡,就是我们刚才所说的这个取平
[00436.44-00440.00] 对吧,在这里面它也可以做同样把西弄圆电池化出来
[00440.00-00443.04] 什么西还可以做我们所说的西弄圆电池
[00443.04-00448.68] 它的西弄圆电池原子是什么特性的,同标助一下圈丝,因为我们刚才给大家讲的三个了,对吧
[00448.68-00450.08] 三个了
[00450.08-00453.60] 他可以做新闻员电池或者是我们所说的
[00453.60-00455.12] 什么光感员件等等
[00455.12-00457.44] 他能做这个原因是因为他的导店
[00457.44-00459.20] 心和导热行都特别好
[00460.20-00463.88] 我们标准一下是导店导热行都很好
[00463.88-00466.32] 如果去导店和导热行很好的话
[00466.32-00468.24] 做新闻员电池就意味着怎么样
[00468.24-00470.04] 他没有什么死人耗在的
[00470.04-00471.88] 他的死人耗不能说没有什么死人耗在
[00471.88-00475.56] 他说好像对于一般的电池就很小
[00475.56-00477.12] 所以他的导店导热特行
[00477.12-00478.76] 因为它可以做新的限定级
[00478.76-00480.00] 而且还可以做什么呢
[00480.00-00482.48] 还可以用作新片上
[00482.48-00483.48] 比如说在这里
[00483.48-00484.88] 它所提到的传感器
[00484.88-00487.48] 我们所说的感光源加上等等
[00487.48-00489.48] 这是我们所说的第四个特性
[00489.48-00490.60] 在这里面
[00490.60-00491.24] 大家注意一下
[00491.24-00492.68] 什么些还可以用做什么呢
[00492.68-00493.32] 大家注意
[00493.32-00494.88] 什么些还可以用做
[00494.88-00496.12] 还水淡化
[00496.12-00497.12] 还水淡化呢
[00497.12-00498.28] 就是因为大家能看到
[00498.28-00499.32] 这个里面的什么些
[00499.32-00500.76] 它其实是成什么状
[00500.76-00502.04] 是成广状的
[00502.04-00502.88] 一个东西
[00502.88-00505.40] 它越到分子和原子成面上
[00505.40-00509.68] 这次在物理学当中有一个点就叫做逼表面景
[00512.92-00514.56] 越到了分子和原子成面上
[00514.56-00515.92] 它的逼表面就越大
[00515.92-00517.44] 出老师我不太理解
[00517.44-00518.32] 这正常情况之下
[00518.32-00520.20] 比如说一个红观的物体
[00520.20-00521.68] 比如说你的签比
[00521.68-00522.48] 的签比
[00522.48-00523.44] 你把它拿比
[00523.44-00524.76] 拿到从中间切出来
[00524.76-00525.40] 你看你的比心
[00525.40-00526.88] 可能就是这么大的
[00526.88-00527.32] 对吧
[00527.32-00529.20] 但是如果到了我们所说的这种
[00529.20-00530.24] 实际墓西
[00530.24-00531.76] 或者是我们所说的这种原子
[00531.76-00532.88] 成面的这种
[00532.88-00535.36] 我们单纯的这看它的微观结构上来看
[00535.36-00537.60] 他的鼻表面就可以大到什么程度呢
[00537.60-00539.52] 就是每一刻使摸极
[00539.92-00542.28] 把这个使摸极一刻使摸极
[00542.28-00545.60] 把它展开他的这个单层太连子这种
[00545.60-00549.04] 网状的这种结构能够达到两千六百平方米
[00549.04-00551.48] 就是你充中的是一刻使摸极
[00551.48-00555.28] 然后你把他的从原子结构给他展开
[00555.28-00557.44] 都给他变成这种网状结构的话
[00557.44-00559.92] 那这种情况就是能够达到两千六百平方米
[00559.92-00561.32] 这个就叫做鼻表面讲
[00561.32-00562.88] 同时稍微我概念就行了
[00562.88-00565.00] 就知道遇到了这种微观结构上
[00565.00-00567.04] 它的微表面就可能会越大
[00567.04-00568.96] 你说老师这么大有什么用呢
[00568.96-00571.80] 就是因为我可以展开它就成网状
[00571.80-00572.92] 如果一旦成网状
[00572.92-00574.84] 它又是太远子 它的什么就很好
[00574.84-00576.24] 它的西付性就很好
[00578.40-00580.24] 那如果西付性好的话就可以干嘛
[00580.24-00581.56] 就可以用来过律杂制
[00586.00-00589.72] 那过律杂制在这里面就可以用做海水淡化
[00589.72-00591.04] 可以用做海水淡化
[00591.04-00593.08] 所以实际是因为成这位
[00593.08-00597.16] 我们所说的可以改变人类之长生活的一种发现
[00597.16-00598.52] 所以这是石墨西
[00598.52-00600.32] 同一们根据它的特征
[00600.32-00603.60] 然后在这里面把它的具体拥有一个了解
[00603.60-00606.56] 这是我们所说的第一个材料叫做石墨西
[00606.56-00607.72] 第一个新材料
[00607.72-00611.28] 第二个就是我们要给大家提到的叫做超道材料
[00611.28-00614.44] 这个超道材料其实同学们并不墨生
[00614.44-00616.44] 其实我们在今年的新闻里面
[00616.44-00619.72] 其实也能看到有很多对于超道的这样的一个技术
[00619.72-00622.00] 我们先来看一下什么叫做超道
[00622.00-00623.04] 这个超导呢
[00623.44-00624.48] 我们先来看一下
[00624.76-00626.60] 超导或者说超导现象
[00626.60-00627.32] 同们注意一下
[00627.32-00629.28] 它是和来把和来化出来
[00629.28-00630.32] 和来物理学家呢
[00630.32-00631.40] 王妮斯发现的
[00631.60-00633.16] 它发现说某些金属
[00633.16-00635.36] 和金货化和物在温度降到
[00635.60-00637.36] 绝对领度附近的时候
[00637.36-00638.40] 同时就一会儿换出来
[00638.40-00639.12] 先圈一样
[00639.12-00640.20] 第一个是发现的
[00640.44-00641.52] 王妮斯第二个
[00641.52-00642.64] 什么叫超导现象
[00642.64-00643.32] 要注意一下
[00643.44-00645.72] 找温度降到绝对领度附近的时候
[00645.88-00647.04] 它的电组率
[00647.04-00649.24] 突然会渐小到无法测量
[00649.24-00651.52] 那这种情况之下就叫做超导现象
[00651.52-00653.06] 比如说我们所说的
[00653.06-00655.20] 比如说同案体验
[00655.20-00657.88] 把他降到我们所说的绝对零度的手大功率
[00657.88-00660.04] 绝对零度是零下20073度的度
[00660.04-00662.52] 20073.15还是16的 对吧
[00662.52-00664.84] 降到绝对零度的时候
[00664.84-00666.24] 那在这种情况之下
[00666.24-00669.16] 他的电组率就可以突然小到无法撤凉
[00669.16-00670.88] 那这种就要做超到现象
[00670.88-00672.24] 比如说这个东西太单
[00672.24-00673.52] 是这样的话电组就没了
[00673.52-00676.88] 我们现在日常所看到的这种书电
[00677.12-00678.28] 我们所说的这种高位
[00678.28-00680.64] 我们所说的现在这种书电的这种情况
[00680.64-00683.44] 比如说这个电已经搞出来了
[00683.44-00684.48] 搞出来之后呢
[00684.48-00689.40] 如果我们所说的电的生产房和电的消费者这一段距离比较远的话
[00689.40-00690.88] 那他传出距离就很远
[00690.88-00692.92] 那我们原本用的这种倒线
[00692.92-00694.96] 比如说像我们所说的这种统线
[00694.96-00695.36] 对吧
[00695.36-00698.80] 那他在运出电的时候一定会产生电的真損耗的
[00698.80-00699.84] 为什么会产損耗呢
[00699.84-00701.64] 这是没有有电阻在
[00701.64-00702.60] 那这种情况之下
[00702.60-00705.16] 这是一般的我们所说的这种电的运说
[00705.16-00706.68] 但是我现在超到情况之下的
[00706.68-00708.64] 这个电阻率就可以突然渐小
[00708.64-00711.32] 那就可以用在高压属电上不产生任何的损后
[00711.32-00713.76] 对吧 那这种就要做超导现象
[00713.76-00716.20] 而这次我们所说是超导现象
[00716.20-00717.88] 而产生超导现象的这里面
[00717.88-00719.84] 它所谓的金属核金化核物
[00719.84-00721.44] 我们把这些东西称就为什么
[00721.44-00722.44] 要超导体
[00722.44-00723.76] 所以所谓的超导体
[00723.76-00725.80] 它说是能够发生超导现象的物子
[00725.80-00727.60] 叫做超导体
[00727.60-00730.08] 在这里面它给到第三个概念
[00730.08-00731.68] 叫做超导的零件温度
[00731.68-00732.96] 它们是超导体
[00732.96-00735.32] 电组为零的温度叫做超导的
[00735.32-00737.24] 我们所说的这个
[00737.24-00738.72] 零界溫度
[00738.72-00740.04] 那其實說到這個超島的
[00740.04-00741.04] 同沒有知道它
[00741.04-00742.48] 感覺說
[00742.48-00742.84] 你說老師
[00742.84-00744.92] 它是否只能用在我們所說的高壓
[00744.92-00746.00] 數電商和怎麼樣的
[00746.00-00746.96] 其實不是
[00746.96-00748.44] 這個超島
[00748.44-00750.68] 它其實是非常了不起的這種發現
[00750.68-00751.72] 尤其是我們所說的
[00751.72-00753.08] 把這種超島一般請完之下
[00753.08-00754.56] 我們說了有兩種對吧
[00754.56-00756.00] 一個叫做高溫超島
[00756.00-00757.68] 一個叫做長溫超島
[00757.68-00759.24] 什麼叫做高溫超島呢
[00759.24-00760.04] 一般請完之下
[00760.04-00761.88] 我們認為是溫度達到
[00762.88-00763.24] 在這兩
[00763.24-00764.80] 一般請完以認為是溫度達到
[00764.80-00765.44] 零下200
[00765.44-00768.66] 其实3.15度绝对领度的时候才可以打
[00768.66-00770.36] 有这个是什么超到现象
[00770.36-00771.40] 但是我们也都知道
[00771.40-00773.64] 这个领下200730.15度
[00773.64-00775.46] 它其实很难实现的
[00775.46-00775.94] 对吧
[00775.94-00778.64] 所以在这里面其实没有办法降到绝对领度
[00778.64-00781.40] 但是这种超老现象的确实对我们生活有意
[00781.40-00783.44] 于是科学家就开始去研究
[00783.44-00789.24] 我可不可以说把电组力渐小到无法撤凉的这种情况
[00789.24-00792.08] 把这个温度的要求提高一点
[00792.08-00795.66] 那这种情况之下,就是不让它200其实三点一五度
[00795.66-00802.14] 能不能说200度,零下200度,或者零下100度对吧,这种情况之下我们想方设法
[00802.14-00805.14] 把这种对于温度的这种要求,让这个温度呢
[00805.14-00807.18] 它能够方向超到现象的温度提升
[00807.18-00810.18] 我们把这种情况之下称度一叫做高温超到
[00813.08-00817.42] 高温超到,那目前在高温超到上票场见呢,这是我们所说的
[00817.42-00843.78] 打到夜太大,零下196度可以实现高温超到,这种情况之下,比原本的绝对零度高一点,高温超到,但是在今年有比较热的热点,说哪个国家发现了长温长亚超到,我们把这种叫做长温超到,所以长温超到,因为它是可以在标准大侵下就实现了,这个就很容易了,这种叫做长温超到,
[00843.78-00846.26] 这个超到它其实在我们日常生活当中
[00846.26-00848.26] 或者在物理学当中被称为什么的
[00848.26-00850.50] 这个超到或者这个常文超到
[00850.50-00853.90] 它被称着一叫做物理学当中的胜胃
[00853.90-00856.02] 什么叫物理学当中的胜胃呢
[00856.02-00859.98] 就是我们就在物理学当中提到了很多高大的概念
[00859.98-00862.54] 比如说按物质或者超前理论的
[00862.54-00865.54] 这些都是我们所说的正在研究的
[00865.54-00870.50] 能够去提问比如说像超前理论能够对人类世界的发展经同意的
[00870.50-00870.74] 对吧
[00870.74-00872.94] 那像這一種才被稱之為聖悲
[00872.94-00874.42] 而這個長文超島
[00874.42-00876.10] 他也被稱為物理學的聖悲
[00876.10-00876.90] 大家就能夠看到
[00876.90-00879.06] 他如果一旦實現對我們的生活
[00879.06-00880.82] 會產生多大的影響
[00880.82-00884.50] 在這裡面我們就提到了這個叫做長文超島
[00884.50-00885.62] 就是長文超島
[00885.62-00887.30] 那如果說他一旦
[00887.30-00889.62] 就是達到了這種超島的這種情況
[00889.62-00892.26] 這個材料他其實就會呈現出一個特性
[00892.26-00893.86] 什麼特性呢?大致一下
[00893.86-00896.26] 超島他如果一旦達到說
[00896.26-00899.22] 電子突然減小到無法撤載這種程度
[00899.22-00902.04] 这个材料它就会呈现出来两个特性
[00902.04-00903.26] 一个叫做什么呢
[00903.26-00904.92] 一个叫做零电组特性
[00904.92-00906.78] 还有一个这叫做抗词性
[00906.78-00907.96] 而这个抗词性呢
[00907.96-00909.96] 其实就是我们所说的完全抗词性
[00909.96-00911.72] 一个叫做MASNA效应吧
[00911.72-00912.96] 因为什么情况呢
[00912.96-00913.96] 是这样一个概念
[00913.96-00915.02] 这是无果
[00915.02-00917.78] 它现在已经说电组
[00917.78-00919.30] 突然渏小到绝对零度
[00919.30-00920.86] 而且渏下的
[00920.86-00922.44] 这个电组突然
[00922.44-00924.86] 它就減小到无法测量的话
[00924.86-00925.62] 就用情况之下
[00925.62-00927.46] 这个东西是不是就变成抽到材料了
[00927.46-00929.68] 而如果它一旦變成操了彩料的話
[00929.68-00931.36] 它就會產生這種什麼呢
[00931.36-00932.64] 完全的抗死性
[00932.64-00933.98] 就是在這種情況之下
[00933.98-00935.26] 就是它就會
[00935.26-00937.64] 選服在我們所說的詞鐵之上
[00937.64-00939.34] 就是它不是說像我們所說的
[00939.34-00940.42] 傳統異常的這種
[00940.42-00941.42] 說電詞鐵
[00941.42-00943.02] 它同性的相池
[00943.02-00944.30] 異性的相池
[00944.30-00945.84] 然後在這種相池上選服
[00945.84-00947.86] 這種選服和電詞鐵的那種
[00947.86-00949.46] 選服還有點不太一樣
[00949.46-00950.98] 它的這種選服是啥呢
[00950.98-00952.48] 就是它不會掉下來
[00952.48-00954.22] 比如說下面這個地方是詞鐵
[00954.22-00955.30] 你看這個地方
[00955.30-00956.50] 這個地方是詞鐵
[00956.50-00958.64] 假設現在這個扭扣電池
[00958.64-00961.40] 它就我們所說的變成這種超老的這種現象了
[00961.40-00963.00] 那它就放在這個磁鐵上
[00963.00-00964.90] 它就會選服在這個磁鐵上面
[00964.90-00966.74] 我如果把它丟過來
[00966.74-00967.50] 丟來是啥呢
[00967.50-00970.10] 就是我現在把這個扭扣電池放在下面
[00970.10-00972.70] 它這個磁鐵也會選服在上面
[00972.70-00975.44] 就是這種它和我們傳統意義上的那種
[00975.44-00976.48] 同性相遲不一樣
[00976.48-00977.92] 同性相遲的那種你
[00977.92-00980.10] 你發現它是沒有辦法選服的
[00980.10-00981.86] 但是這個超到材料
[00981.86-00983.90] 它是可以選服的
[00983.90-00986.58] 这个就是我们所说的完全的抗姿性
[00986.58-00988.50] 而利用它的这种旋服
[00988.50-00989.90] 我们就可以搞出来什么呢
[00989.90-00991.46] 利用它的这种旋服
[00991.46-00994.54] 就可以搞出来我们所说的赐旋服列车
[00994.54-00996.18] 这是我们所说的这个操刀
[00996.18-00997.02] 它的一个应用
[00997.02-01000.22] 所以重点同们来看一下这个操刀材料它的应用
[01000.22-01000.78] 第一个呢
[01000.78-01002.26] 就是可以用在高压数电
[01002.26-01002.66] 我们说了
[01002.66-01003.74] 就可以实现了嘛
[01003.74-01005.46] 几乎是零电罪的是
[01005.46-01007.18] 我们所说的运数电
[01007.18-01008.86] 如果零电罪运数电的话
[01008.86-01011.26] 那这里面就不会产生电的时候
[01011.26-01014.98] 那电的利用效率是不是就会几高啊这是第一个
[01014.98-01017.92] 那第二个呢大家注意一下就是它可以用在
[01018.54-01019.62] 此顺序列车上
[01019.62-01022.26] 因为我刚才说了它如果一旦成为超老材料的话
[01022.26-01023.90] 它就可以选服在这上面
[01023.90-01027.46] 它跟我们所说的原本的那种同性相似的那种感觉不一样
[01027.46-01029.02] 同一项是没有办法选服
[01029.02-01030.70] 但超老材料可以实现
[01030.70-01031.62] 选服
[01031.62-01033.10] 它一旦实现选服的话
[01033.10-01036.34] 那只有时候就可以用在此顺序列车上
[01036.34-01038.70] 此顺序列车用的是什么呢来看一下
[01038.70-01040.90] 就是利用它的此顺序服性
[01040.90-01044.92] 说超导选服技术现在被用在无魔损的走程
[01044.92-01047.80] 虽然服务列车立刻加速器和反应对具变上登彰
[01047.80-01049.80] 那这是我们所说的它一个具体应用
[01049.80-01053.00] 那这种词线服性或者说我们所说的这种词线服务列车
[01053.00-01055.00] 大家知道它的考点有这么几个
[01055.00-01057.00] 旋滴一个词线服务列车
[01057.00-01060.50] 它指的是列车和轨道之间是没有任何的接触
[01060.50-01063.20] 这种情况之下就做词线服务列车
[01063.20-01066.80] 就是像我给大家假设计这种图援就他们之间是有一定的空气的
[01066.80-01069.20] 如果他们之间有一定空气就意味着什么
[01069.20-01072.24] 对于这假设上面这个是车轨
[01072.24-01074.68] 上面这个车下面这个是轨道 对吧
[01074.68-01076.60] 那你看这个车轮和轨道之间
[01076.60-01077.28] 没有没插
[01077.28-01078.32] 他们之间只是什么
[01078.32-01080.64] 他们之间没插的只是空气
[01080.64-01083.08] 那就意味着能耗小速度快
[01083.08-01083.44] 对吧
[01083.44-01085.28] 所以所谓的存负车大家知道
[01085.28-01088.20] 是列车和轨道之间无接处而选复
[01088.60-01089.00] 对
[01089.00-01089.96] 这是第1个
[01089.96-01092.56] 就是无接处而选复
[01092.56-01093.36] 列车
[01094.72-01095.56] 与轨道
[01099.20-01100.60] 无接处
[01104.60-01105.32] 宣主
[01105.32-01106.00] 这是第一个点
[01106.00-01106.56] 第二个
[01106.56-01108.20] 它为什么会传承证情况
[01108.20-01109.20] 就是因为无所说的
[01109.20-01111.36] 超的材料它就有什么相的
[01111.36-01112.72] 磁旋服性
[01112.72-01115.00] 这种磁旋服性就能够让它抗就相的
[01115.00-01115.80] 地心意力
[01115.80-01117.00] 但是在考试的时候
[01117.00-01118.20] 它不会画分的这么细
[01118.20-01118.92] 我们刚才说了
[01118.92-01121.72] 像这里面无所提到这种磁旋服性
[01121.72-01122.88] 这种我们所说的
[01122.88-01123.52] 这种完全的
[01123.52-01124.00] 这种
[01124.00-01126.12] MESNAS消耀会完全的这种抗磁性
[01126.12-01127.88] 它和原本的磁体的
[01127.88-01130.12] 同期相似不太一樣
[01130.12-01131.72] 但在考試的時候
[01131.72-01132.84] 我們默认為
[01132.84-01135.04] 我只說考試過程當中
[01135.04-01137.48] 我沒有說在理論研究上
[01137.48-01138.48] 或在科學技有上
[01138.48-01139.76] 我們只在考試的時候
[01139.76-01140.48] 就默认
[01140.48-01142.60] 他有說會把這種詞篇服務說什麼
[01142.60-01143.92] 說他利用的是
