[00000.00-00002.82] 咱们就正式进入了我们第三节内容的学习
[00113.26-00122.26] 是一种考卫出颜期,我们说了通用的一个口觉,叫做很兆微去演细,老师还说了,这个兆黑名字现在也不确定。
[00122.26-00132.26] 能不能说,对吧?之前还都蛮多的,所以在这里面呢,这是我们所说的这个满料国的设计,大家注意一下,叫韩兆卫出颜期。
[00132.26-00140.26] 第二个呢,其实中年就是在于我们所说的,那其实黄,同一六国建立秦朝,他所采取的方法是什么呢?
[00140.26-00145.46] 什么呢 其实就是我们所说的一个方法 就是要做我们所说的叫敬达元糾
[00147.18-00149.22] 敬达元糾
[00149.48-00152.86] 那你看 秦国其实是在我们的地图上
[00152.86-00155.62] 我们上去客在那张地方 看它是偏欺负的
[00155.86-00159.58] 和它接让这些国家的比如说 被国照国韩国 对吧
[00159.58-00162.54] 那离它比较近的对国家先去攻打它
[00162.66-00165.90] 而原的这些地方怎么办呢 想方式把各的节眶
[00165.90-00169.46] 比如说我们所说到 其国在东边 盘具很久
[00169.46-00170.50] 是理相当值的
[00170.50-00170.94] 对吧
[00170.94-00172.86] 所以当时秦国砸和起国说的
[00172.86-00174.22] 说我们也其他国家的时候
[00174.22-00174.94] 你不要管
[00174.94-00175.54] 对吧
[00175.54-00177.06] 然后我把他满掉
[00177.06-00178.38] 天下咱俩平分
[00178.38-00179.30] 我做西亡
[00179.30-00180.46] 你做东网
[00180.46-00181.66] 换说我做西地
[00181.66-00182.50] 做东地
[00182.50-00182.78] 对吧
[00182.78-00183.74] 给他画个大铃
[00183.74-00184.50] 你看
[00184.50-00185.66] 在这种情况之下
[00185.66-00187.02] 其他人就会按冰不动
[00187.02-00187.86] 这样的话
[00187.86-00190.06] 其实六国没有办法连合起来
[00190.06-00192.34] 最后就被秦国图命掉了
[00192.34-00193.26] 所以在这里
[00193.26-00194.18] 这是我们所说的
[00194.18-00195.22] 满掉六国
[00195.22-00197.26] 他身上所对应的考点
[00197.26-00198.58] 而满掉六国之后
[00198.58-00201.26] 他就建立了情朝大助一下
[00201.26-00203.50] 情朝的地位需要大家去掌握
[00203.50-00207.62] 他說是歷史上第一個統一的中央集權道
[00207.62-00211.26] 風箭國家在這裡面有幾個關鍵詞
[00211.26-00213.02] 第一個是我們所說的
[00213.02-00214.54] 風箭國家當中的第一個
[00214.54-00215.94] 這個其實沒啥大家都知道
[00215.94-00216.50] 對吧
[00216.50-00218.46] 第二個他是統一的什麼國家呢
[00218.46-00221.30] 大家注意一下在這裡就做中央集權
[00222.30-00225.10] 中央集權的本身他不是一個考點
[00225.10-00228.30] 但是了解了中央集權是什麼之後
[00228.30-00230.10] 方便我们后序的学习
[00230.10-00233.42] 其实中央集权同一们就简单的去理解
[00233.42-00239.42] 就是把它俩的理解成就是加强黄权和加强中央的权力
[00239.42-00242.22] 这一方面的加强我比如说中央和地方
[00242.22-00243.42] 使得权力要偏大一点
[00243.42-00245.42] 我们要求中央的权力偏大一点
[00245.42-00248.26] 中央的中央使得权力是处于隆断地位的
[00248.26-00250.14] 就是黄权处于隆断地位
[00250.14-00253.78] 所以中央集权的核心就是加强中央的权力
[00253.78-00254.94] 加强黄权
[00254.94-00260.12] 所以後面 立朝立代都是嚴著這樣的一個思路來進行的
[00260.12-00262.50] 所以我們看到立朝立代的政治制度
[00262.50-00264.70] 我們就知道它的目的其實就是兩個
[00264.70-00266.46] 第一個形成黃泉的隆斷
[00266.46-00268.58] 第二個相較於地方來說
[00268.58-00270.30] 中央小有很大的形成權力
[00270.30-00272.30] 這個叫做中央集權
[00272.30-00274.66] 而我們所說的到了情朝以後
[00274.66-00276.06] 這個國家的形式
[00276.06-00278.30] 就和之前的國家形式不一樣了
[00278.30-00280.02] 我們就進入到了什麼國家
[00280.02-00283.18] 我們就進入到了我們所說的叫做風箭國家
[00283.18-00285.10] 所以从秦朝开始
[00285.10-00286.46] 至秦朝
[00286.46-00289.18] 这几天这两千多年的时间
[00289.18-00292.02] 其实都是我们所说的风际收回时期
[00292.02-00293.90] 所以在这里大家去理解它
[00293.90-00295.18] 但是不用去实际
[00295.90-00297.82] 这是第二个消同缘明确的
[00297.82-00299.74] 那第三个就是我们要知道
[00299.74-00301.98] 秦是黄建立了秦朝之后
[00301.98-00303.82] 它把它的都成定在哪儿呢
[00303.82-00304.86] 来这个点
[00304.86-00306.30] 消同缘去背过
[00306.30-00307.50] 就是把它的都成
[00307.50-00308.78] 定在了我们所说的
[00308.78-00309.54] 显养
[00309.54-00311.10] 把都成定在了显养
[00311.10-00314.10] 这说我们所说的情朝的建立
[00314.10-00315.10] 我们所说情朝的建立
[00315.10-00317.10] 但是情朝也知道
[00317.10-00318.10] 情朝的建立
[00318.10-00319.10] 其实没有经过多少时间
[00319.10-00322.10] 我们经常说叫情二十二王
[00322.10-00323.10] 对吧
[00323.10-00324.10] 那情二十二王
[00324.10-00326.10] 在情朝建立到情朝秘王这个期间
[00326.10-00328.10] 其实有很多的点顾
[00328.10-00330.10] 这里没有两个比较著名的点顾
[00330.10-00331.10] 同学没有注意
[00331.10-00333.10] 我们一般前要靠点顾的时候
[00333.10-00337.10] 往往就会考察人物以及事件的对应
[00337.10-00339.10] 这两个点顾当中的
[00339.10-00342.90] 第一个是啥呢?第一个叫做杀球之辨
[00342.90-00346.10] 这个杀球之辨呢?也被称率为叫做杀球之盟
[00348.10-00350.30] 说的是杀事呢?就是骑使王啊
[00350.30-00352.70] 当年统于六国之后的非常自信啊
[00352.70-00354.10] 他自信到什么程度呢?
[00354.10-00355.90] 他觉得他没有他打不下来的地方
[00355.90-00358.70] 打完之后,建国之后他也非常自信
[00358.70-00361.70] 他对自己的身体健康非常的自信
[00361.70-00365.30] 所以在他再世的时候呢?他其实就没有着急历太子
[00365.30-00366.90] 他觉得他能干挺长时间
[00366.90-00368.44] 后来我们都知道
[00368.44-00369.98] 因为工作强度有很大
[00369.98-00371.24] 在家人他的身体
[00371.24-00373.94] 经常偶业宅的身体就不太好了
[00373.94-00376.88] 后来的时候他就出去求先了要求了
[00376.88-00379.06] 然后再去我们所说的
[00379.06-00380.12] 去到别的地方的时候
[00380.12-00381.76] 就是在杀修这个地方
[00381.76-00383.22] 其中皇的身体就不行了
[00383.22-00385.08] 然后这时候他就感觉说
[00385.08-00387.38] 我好像感觉身体不如以前了
[00387.38-00389.06] 这次好像挺不过去了
[00389.06-00392.22] 然后他就马上你了一封照书
[00392.22-00393.26] 就是一封一照
[00393.26-00393.98] 鞋给谁呢
[00393.98-00396.66] 鞋给当时还处在北京那边的
[00396.66-00397.82] 他的大兒子
[00397.82-00399.46] 就是公子服輸
[00399.46-00401.46] 他寫給服輸的意思其實很簡單
[00401.46-00402.66] 就是想讓服輸呢
[00403.26-00405.06] 回去繼續當皇上
[00405.06-00406.82] 服輸是個非常靠谷的人
[00406.82-00408.30] 所以他就把這個照書寫來了
[00408.30-00412.50] 結果結果這個照書根本就沒有到服輸的手臉
[00412.50-00414.18] 那你說老師照書哪去了
[00414.18-00418.26] 就被我們所說的當時的照高和理思給恩嚇了
[00418.26-00421.46] 當時的照高就不想讓公子服輸當皇帝
[00421.46-00423.06] 因為公子服輸太聰明了
[00423.06-00424.26] 他控制不了
[00424.26-00426.94] 而且他就把这个事儿的有和理事说了
[00426.94-00428.10] 理事这个人呢
[00428.10-00430.98] 他其实和公子服宿之间政见不合
[00430.98-00432.06] 他就想的是说
[00432.06-00433.46] 完了等他商业了之后
[00433.46-00434.62] 他不得嫩属我呀
[00434.62-00435.62] 这种情况之下呢
[00435.62-00437.18] 他就出于对自己的考量
[00437.18-00439.82] 两个人就把这个照书给改了
[00439.82-00440.90] 改成啥了呢
[00440.90-00442.62] 就改成不是让他继承王位
[00442.62-00446.02] 而是给公子服宿安上了一个罪名
[00446.02-00446.42] 然后呢
[00446.42-00448.34] 公子服宿当时就看到了这个
[00448.34-00450.02] 我们所说的这个照书想着
[00450.02-00450.94] 我跌都去了
[00450.94-00452.42] 我又发了这么大的错误
[00452.42-00454.14] 于是就自杀人王了
[00454.14-00457.62] 然后我们所说的前二是就当了皇帝
[00457.62-00459.62] 前二是当了皇帝之后呢
[00460.10-00462.66] 我们都知道啊本来没有什么太大的问题啊
[00462.66-00464.58] 就是理私因为还在对吧
[00464.58-00467.38] 但是照高想和社会把理私干掉
[00467.38-00469.50] 所以他后来照高把理私干掉之后呢
[00469.50-00471.02] 就把控了朝政
[00471.02-00473.02] 前二是呢就是相对来说
[00473.02-00474.14] 脑子不太灵光
[00474.14-00476.34] 然后为人呢又比较轰恶恶的
[00476.34-00478.18] 我们说了有名的婚军
[00478.18-00479.54] 所以在这种情况之下呢
[00479.54-00481.98] 有一天这个照高他就想测试一下
[00481.98-00485.62] 他对这个朝堂的把控到底好不好
[00485.62-00487.22] 于是在这个过程当中
[00487.22-00488.90] 他就搞了一个事情
[00488.90-00491.18] 我们所说的就只录为满
[00491.18-00492.98] 他给这个虎害说
[00492.98-00495.14] 他说大王给你线了一个真保
[00495.14-00496.98] 他说我给你线了一批
[00496.98-00498.42] 你从来没见过的满
[00498.42-00500.18] 然后当时虎害一看我天
[00500.18-00500.90] 这哪是满
[00500.90-00501.94] 这就是录了
[00501.94-00502.26] 对吧
[00502.26-00503.26] 结果他一看说
[00503.26-00504.38] 怎么可能是满呢
[00504.38-00505.06] 这就是录
[00505.06-00506.18] 你不要再骗我了
[00506.18-00506.90] 照顾说
[00506.90-00508.74] 这怎么可能是录
[00508.74-00509.78] 这是满呀
[00509.78-00511.30] 不信你问问大成问吧
[00511.98-00513.98] 結果 阿就問大城門這是想
[00513.98-00515.66] 然後大家都順著誰說
[00515.66-00517.14] 都順著我們所說 造謀說
[00517.14-00518.26] 對對對對對
[00518.26-00519.18] 對這就是馬安
[00519.18-00519.98] 你說得太對了
[00519.98-00521.82] 其中有個大城時還看起來去了
[00521.82-00522.90] 就說造高什麼
[00522.90-00523.86] 就說造高
[00523.86-00525.22] 就是在這個過程當中
[00525.22-00526.90] 其實就是大概的意思
[00526.90-00527.90] 就是說他不是個人
[00527.90-00529.22] 對吧 他冒天皇帝
[00529.22-00530.62] 好了 造高一個眼神
[00530.62-00533.06] 然後有人就把這個大城帶去
[00533.06-00534.18] 把頭給砍掉了
[00534.18-00534.98] 啥掉了
[00534.98-00536.38] 所以當時大家都下死了
[00536.38-00537.74] 對吧 這種情況之下
[00537.74-00539.34] 我們都知道 只錄圍嘛
[00539.34-00540.14] 其實只錄圍嘛
[00540.14-00542.38] 其实就只在当时的这种现象
[00542.38-00546.02] 而公子服梳自杀他们创改召出这个事情
[00546.02-00548.10] 就被称着被叫做杀修之变
[00548.10-00549.50] 会叫做杀修之盟
[00549.50-00552.02] 这个是在秦朝朝代根蟑螂当中
[00552.02-00553.50] 同时被需要注意的
[00553.50-00554.86] 两个比较有名的
[00554.86-00558.50] 这样一个点顾大家都知道和谁有关和谁有关
[00558.50-00559.42] 杀修之变呢
[00559.42-00561.26] 我们刚才说了和照高
[00563.18-00564.98] 还有我们所说的李斯
[00564.98-00567.94] 以及我们所说的公子服梳有关
[00567.94-00569.78] 我就简单写服梳了
[00569.78-00573.06] 而我们所说的植录为满主要是我们所说的照高
[00573.06-00575.86] 还有秦二世我们叫做虎害
[00578.42-00580.90] 好 这个是我们所说的秦朝
[00580.90-00584.26] 我们所说秦朝的建立以及他耿列当中的两个事情了
[00584.26-00586.42] 泡开秦朝的耿列不说
[00586.42-00588.90] 其实在秦朝有很多的成就
[00588.90-00593.26] 而且成就主要是集中在秦使皇家强统一
[00593.26-00595.26] 我们所说的过程当中产生的
[00595.26-00598.46] 我们就来具体来看一下秦朝的成就有哪些
[00598.46-00601.14] 只能第一个就是全国同意以后
[00601.14-00604.38] 其实黄它其实也会受到我们所说的胸奴的困扰
[00604.38-00608.38] 所以就是背击胸、胸胸、胸胸这个民族
[00608.38-00609.18] 有点奇怪
[00609.18-00612.38] 大家都知道胸胸它本身是有木民族
[00612.38-00613.54] 马背上的民族
[00613.54-00615.02] 所以一般情况之下
[00615.02-00616.22] 我们和它去做战
[00616.22-00617.94] 别看梦田打仗也很冷
[00617.94-00618.38] 对吧
[00618.38-00621.42] 但是和胸胸作战的时候能打扬
[00621.42-00623.66] 但是打的时候就跑了
[00623.66-00625.38] 跑完了抽头又回来
[00625.38-00626.74] 就反反复事实这样
[00626.74-00628.18] 青双觉得反复反死了
[00628.18-00629.78] 对吧,所以在那种情况之下呢
[00630.58-00631.94] 我们说了,北京中的物
[00631.94-00633.90] 不可能一直在那地方和修诺去打
[00633.90-00636.22] 既然没有办法一直和对抗怎么办
[00636.22-00638.26] 把他赶跑了之后,把他蓝在外面
[00638.26-00639.82] 让他进不来不就行了吗?
[00639.82-00642.98] 于是在这个过程当中,就开始修件常成
[00642.98-00646.22] 这个时候的常成,就是我们所说的叫做
[00646.22-00648.46] 秦常成,叫做秦常成
[00648.46-00651.26] 而这个秦常成,也就是我们今天所说的
[00651.26-00652.46] 万里常成
[00653.74-00656.18] 那也就是说我们今天所提到的万里常成
[00656.18-00658.42] 我們具體來看一下這個長城的情況
[00658.42-00662.06] 這個長城屬需要同一門去掌握的一個考點
[00662.06-00668.10] 在這裡他說請住長城是吸起臨在西邊到今天的干訴
[00668.10-00672.94] 然後東邊到劉東說是古代世界上偉大的萬里長城之一
[00672.94-00675.50] 那這個是他大概的這樣一個移植
[00675.50-00678.54] 那我們今天看到這個長城其實是老師在圖片上
[00678.54-00681.38] 給同一門展示的這樣一個景象
[00681.38-00683.66] 但这个长城大家注意一下这个长城
[00683.66-00685.10] 它其实是名长城
[00685.10-00686.26] 其实是名长城
[00686.26-00687.74] 我们在讲长城的时候
[00687.74-00689.46] 其实昨天有给大家去说过
[00689.46-00692.10] 大家来把长城的这个支点做一个总结
[00692.10-00693.70] 我们昨天在讲到长城的时候
[00693.70-00694.74] 其实给大家说了
[00694.74-00697.10] 我们说了长城它的修件
[00697.10-00698.54] 可以追溯到哪呢
[00698.54-00701.26] 咱们说了可以上诉到西州
[00702.66-00704.78] 是上诉到西州
[00704.78-00707.18] 因为我们昨天讲过风火西州后
[00707.18-00707.58] 对吧
[00707.58-00710.02] 这个点人风火的地方就是风火台
[00710.02-00712.58] 而峰會還其實和長城有關係
[00712.58-00715.94] 到了西州之後我們都知道西州之後
[00715.94-00717.38] 周曜王峰會續續後
[00717.38-00719.42] 然後平王東歇落役
[00719.42-00720.74] 然後市場東州
[00720.74-00722.50] 就到了春秋戰果時期
[00722.50-00725.38] 所以春秋時期就有了
[00726.58-00727.62] 我們所說的
[00727.62-00730.58] 修著長城的高朝
[00730.58-00732.02] 修建長城的
[00734.10-00735.38] 第一個小高朝
[00735.38-00745.28] 我们所说的在先行时期,我们所说的长城的修件,大家知道是可以上诉到西州的
[00745.28-00749.44] 第二个就在长城修件当中,我们经常说的是万里长城
[00749.44-00753.92] 万里长城的修件其实就是我们所说的这个,情长城
[00753.92-00758.40] 但情长城在最开始修件的时候,其实肯定是这么红尾
[00758.40-00765.36] 你看我们现在我们的长城叫做DrewGreetmo,但是在国外的长城都叫做LoneDef,就是长城
[00765.36-00768.04] 我们的材料长城就说明我们常常气是灰火
[00768.04-00771.72] 但最开始的秦长城是没有像图片展示这样的
[00771.72-00773.76] 那时候就是用图来气成的
[00773.76-00775.60] 而且整个长城也不认高
[00775.60-00776.84] 大家就意味左右
[00776.84-00780.48] 而这样的一个结构在后面的国家根据和战论当中
[00780.48-00782.88] 秦长城就逐渐的消亡了
[00782.88-00783.92] 就逐渐消亡了
[00783.92-00786.12] 而我们现在所看到的长城
[00786.12-00788.60] 其实是我们所说的名长城
[00789.60-00792.56] 我们在无尽所看到的
[00792.56-00793.64] 就是现金的
[00793.64-00795.40] 我们所看到的这个一只
[00795.40-00796.90] 其实大多都是我们所说的
[00796.90-00797.68] 明常称
[00797.68-00798.96] 那这个是常称的
[00798.96-00800.96] 我们所说的它的一个修件的问题
[00800.96-00801.96] 但是我们说了
[00801.96-00802.80] 其实修常称
[00802.80-00805.28] 即使是立际吵力带都会去做的一件事
[00805.28-00808.24] 因为我们北边它就是在蒙古高原这个地方
[00808.24-00811.96] 它就一定会受到少数民族有目民族的这样的一个欠让
[00811.96-00816.36] 所以常称的修件可以说是立际吵力带的这样的一个命题
[00816.36-00818.36] 所以在这里面我们要知道
[00818.36-00821.08] 但是大部分的吵带都修件称称
[00821.08-00823.36] 但是有几个朝代是没修常程的
[00823.36-00824.36] 同没有注意一下
[00824.36-00825.18] 我们所说的
[00825.18-00827.76] 没修常程的朝代都哪些呢
[00827.76-00828.64] 这个点
[00828.64-00831.32] 也在我们的施单位考试过程当中考察过
[00831.32-00833.40] 没修常程是我们所说的
[00833.40-00835.80] 唐原
[00835.80-00837.84] 还有我们所说的清
[00837.84-00838.80] 这几个朝代
[00838.80-00840.60] 它是没有修过常程的
[00840.60-00842.04] 明朝是修过常程用
[00842.04-00843.72] 现在看到的是明常程
[00843.72-00844.36] 这个呢
[00844.36-00845.80] 就是我们所说的有关于
[00845.80-00846.72] 和常程
[00846.72-00848.52] 它自身的发展有关的
[00848.52-00849.60] 这样的一个知识点
[00849.60-00852.82] 这是第一个大点,需要同一们去掌握长城的修件
[00852.82-00854.42] 所以一个综合性的考察
[00854.42-00856.22] 那第二个呢,就说我们要知道
[00856.22-00858.12] 那和长城有关的考点呢
[00858.12-00860.20] 其实不单单只是说在历史当中
[00860.20-00862.32] 我们单纯的去看长城的发展
[00862.32-00866.40] 我也把我们的目光从中向的历史现当中跳出来
[00866.40-00870.44] 来看一下在很像的文学上的考察是什么样子的
[00870.44-00871.72] 所以我们来看一下
[00871.72-00876.40] 有一张长城的第二个点就是结和文学来考察
[00876.40-00879.12] 那老师结和文学来考察考察考察考师哥嘛
[00879.12-00880.60] 考试个儿不太常见
[00880.60-00882.12] 主要是和两个
[00882.12-00882.80] 有关
[00882.80-00883.72] 那两个呢
[00883.72-00884.28] 第一个呢
[00884.28-00885.12] 就是我们所说的
[00885.12-00886.00] 我们经常会听到
[00886.00-00887.76] 和常常有关的一个点顾
[00887.76-00889.76] 就叫做梦江宁苦常臣
[00889.76-00890.56] 不知道大家
[00890.56-00891.80] 听不听过这个故事
[00891.80-00892.40] 但我想
[00892.40-00893.76] 大部分都听过
[00894.56-00896.80] 叫做梦江宁苦常臣
[00896.80-00898.04] 梦江宁苦常臣
[00898.04-00898.64] 说呢
[00898.64-00899.56] 它的丈夫呢
[00899.56-00900.76] 在修建常臣的时候
[00900.76-00901.32] 然后没了
[00901.32-00901.96] 然后它就在那儿
[00901.96-00902.96] 哭过尝尝哭到了
[00902.96-00903.44] 对吧
[00903.44-00904.72] 但是本身这个故事呢
[00904.72-00905.56] 倒是没有什么
[00905.56-00906.76] 它的考虑在什么呢
[00906.76-00908.24] 在这个梦江宁
[00908.24-00910.76] 他这个梦子到底是什么意思
[00910.76-00912.08] 这个是一个重点
[00912.08-00912.96] 大家注意一下
[00912.96-00915.72] 根据我们现在的这样的一个史料记载
[00915.72-00917.88] 或者是现在很多的人解读来说
[00917.88-00920.20] 说这个梦将女它本身不信梦
[00920.20-00922.04] 它的丈夫也不信梦
[00922.04-00924.40] 它可能会性疆
[00924.40-00925.76] 那说老实的性疆呢
[00925.76-00926.76] 这个梦是什么意思呢
[00926.76-00927.44] 那这个梦啊
[00927.44-00929.24] 就可能只得就是我们所说的
[00929.24-00932.28] 在古兰文学当中所提到的叫做排行的问题
[00932.28-00933.44] 然后排行的问题
[00933.44-00936.52] 我们以前在古兰当中会排第一第二第3第4
[00936.52-00939.32] 我們經常說叫做博眾書記
[00940.60-00944.44] 叫做博眾書還有記
[00944.44-00946.72] 分別代表是1234
[00946.72-00949.16] 而博也被稱為叫夢
[00949.16-00952.20] 所以我們有的時候也說叫做夢眾書記
[00952.20-00953.96] 所以夢將女的夢
[00953.96-00956.44] 它可能是家裡太好老大的這個
[00956.44-00959.52] 所以第一個大家知道夢代表的是第一
[00959.52-00961.88] 1234就是博眾書記
[00961.88-00963.32] 或叫夢眾書記
[00963.32-00965.16] 第一個點大家要掌握的
[00965.16-00966.36] 第二個就是
[00966.36-00971.20] 孟江女库长城他其实在文学当中的四大民间传说之一
[00972.44-00974.44] 四大民间传说之一
[00974.44-00977.72] 这四大民间传说的除了孟江女之外还有什么呢
[00977.72-00981.64] 孟江女之外还有一个牛郎之女
[00984.12-00987.56] 除了牛郎之女之外还有就是我们所说的白手铸
[00988.56-00991.00] 白素真正不是大家都看过电视剧
[00991.00-00994.00] 然后最后一个就是我们所说的两柱
[00994.00-00995.48] 就是两山博语
[00995.48-00998.32] 主迎台被称为东方的罗秘语
[00998.32-00999.76] 诸立业非常的浪漫
[00999.76-01002.24] 所以这是在长城这个点当中
[01002.24-01005.12] 通行们需要全面去掌握的两个雷度
[01005.12-01006.48] 第一个就是中向的
[01006.48-01008.36] 就常常自身它的考虑
[01008.36-01010.84] 第二个就是橫向的结合文学
[01010.84-01012.84] 它可能会出现的考察方式
[01012.84-01015.32] 这次消答掌握的第一项成就
[01015.32-01017.84] 就是我们所说的修住长城
[01017.84-01018.48] 修长城
[01018.48-01021.00] 那警署王威了加強統一國估字的權利
[01021.00-01022.00] 除了修住長城之外
[01022.00-01022.84] 還做了什麼事呢
[01022.84-01024.04] 就是第二個事情
[01024.04-01024.84] 被稱為
[01024.84-01027.28] 其實王的兩大攻擊之中的第二的
[01027.28-01027.92] 叫做
[01027.92-01030.64] 輸同文車同軌的行同輪
[01030.64-01032.24] 那具體我們來看一下
[01032.24-01033.40] 就是在整個
[01033.40-01034.32] 我們所說的
[01035.12-01036.92] 加強統一當中所提到的
[01036.92-01038.12] 在經濟當中
[01038.12-01039.32] 其實王座了這麼一件事
[01039.32-01040.32] 叫做統一
[01040.32-01041.76] 度良恨貨幣文字
[01041.76-01043.12] 統一車軌和直到
[01043.12-01044.84] 這一句話還在考察的時候
[01044.84-01045.68] 大家注意一下
[01045.68-01047.88] 是從兩個角度來考察
[01047.88-01049.42] 第一個考察細節
[01049.42-01051.80] 考察細節是這樣就問杜良恒是什麼
[01051.80-01052.88] 貨幣是什麼
[01052.88-01054.36] 文字是怎麼來的
[01054.36-01055.86] 這個叫考察細節
[01055.86-01057.88] 第二個就是考察帶稱
[01057.88-01059.22] 因為在這裡叫做
[01059.22-01060.42] 我們所說的書
[01060.42-01061.96] 同文、車同鬼
[01061.96-01064.96] 就會出現文鬼和車輸這兩個字
[01064.96-01067.30] 那知道文鬼和車輸帶子是什麼
[01067.30-01068.72] 那麼就一個一個來看
[01068.72-01070.50] 首先第一個就是我們所說的
[01070.50-01072.20] 在經濟發展上
[01072.20-01074.40] 其實王桶一之後第一個就是統一了
[01074.40-01075.96] 我們所說的杜良恒
[01075.96-01079.30] 那需要同一位掌握的这里就是我们所说的杜指的是什么呢
[01079.30-01083.44] 大家注意一下杜指的是长度 长度
[01083.44-01084.80] 两指的是什么呢
[01084.80-01088.12] 衡量的是体肌 衡量的是体肌
[01088.12-01089.88] 或者有的我们所说的
[01089.88-01090.60] 选项当中啊
[01090.60-01092.28] 一把的称为叫做容量
[01092.28-01093.32] 这个没有问题
[01093.32-01094.24] 而衡呢
[01094.24-01097.52] 说的是治量或者叫做重量
[01099.40-01100.88] 这叫做统一动量衡
[01100.88-01101.44] 第二呢
[01101.44-01102.64] 叫统一货币
[01102.64-01103.76] 秦朝的货币呢
[01103.76-01104.48] 大家注意一下
[01104.48-01106.76] 情炒的货币叫做情半脸
[01107.26-01109.02] 情炒的货币叫做情半脸
[01109.02-01113.00] 情半脸就是我们现在所说的叫做原型方红钱
[01113.72-01116.36] 叫做原型方红钱
[01116.36-01120.28] 原型方红钱就是我们所说的外面一个圆里面一个方
[01120.28-01122.92] 那玉石是啥呢?就是天原地方
[01122.92-01124.48] 玉石就是天原地方
[01124.48-01126.28] 那第三个就是文字
[01126.28-01129.16] 我们都知道情炒的文字是小专
[01129.16-01130.56] 情炒文字是小专
[01130.56-01133.28] 但需要同一们掌握的可不单单是小专这个点
[01133.28-01135.48] 而知道是小专是谁改的
[01135.48-01136.28] 大助一下
[01136.28-01138.60] 小专是李思改的
[01138.60-01141.44] 是李思在大专周围的旧之上
[01141.44-01142.68] 修改起来的
[01142.68-01143.44] 修改起来的
[01143.44-01145.96] 那说老师他为啥有同一肚量很货并
[01145.96-01146.68] 很简单
[01146.68-01147.48] 大家知道
[01147.48-01148.72] 其实王统与六国
[01148.72-01151.12] 六国家他在被同一之前
[01151.12-01153.12] 他其实自身在这个里面
[01153.12-01154.04] 他这个
[01154.04-01154.96] 我们所说的
[01154.96-01157.16] 贸易过程当中的单位是不一样的
[01157.16-01159.28] 你比如说一尺到六多场
[01159.28-01160.48] 琴国的一尺
[01160.48-01161.52] 和照国的一尺
[01161.52-01162.68] 长度不一样
[01162.68-01164.10] 貨幣用的也不一樣
[01164.10-01166.88] 照國那個時候在戰國時去用的還是刀幣
[01166.88-01169.28] 那請國用的是這種原型方控錢
[01169.28-01170.44] 去買東西的時候
[01170.44-01171.78] 照國來請國買東西
[01171.78-01173.22] 說來過來20尺度
[01173.22-01176.18] 結果兩時候比照國的持有短一點
[01176.18-01177.18] 然後問多少錢
