[00000.00-00005.00] 好,我们接着来往后来看,咱们在前面的其实是给大家去
[00183.72-00186.32] 小闭就是我们所说的带里人
[00186.32-00188.12] 小闭就是我们所说的带里人
[00188.12-00189.32] 小闭去帮小闭 带里面
[00189.32-00190.32] 小闭 带里面
[00190.32-00191.72] 他帮小闭 带里面
[00191.72-00193.12] 他必须以谁的面去买
[00193.12-00194.92] 他必须以小闭的面去买
[00194.92-00196.52] 因为他是帮小闭买嘛
[00196.52-00196.72] 对吧
[00196.72-00197.72] 我们在这里去讲
[00197.72-00201.08] 我们所说的这个代理我们就不考虑是显明还是以明的
[00201.08-00204.52] 因为在世界单位当中考显明和以明的考得很少
[00204.52-00207.08] 我们就明白代理什么意思就可以了
[00207.08-00209.20] 那这里面小币就是代理人
[00209.20-00210.40] 那小A就是什么
[00210.40-00212.20] 小A就是贝代理人
[00212.20-00212.84] 大家注意一下
[00212.84-00215.20] 贝代人在法律当中也被称着微教做什么
[00215.20-00216.16] 叫做本人
[00216.16-00217.20] 那你就做本人
[00217.20-00217.96] 那你看
[00217.96-00221.44] 在这里面小A委屈小币去小随处买杯子
[00221.44-00222.56] 然后杯子多少钱呢
[00222.56-00224.56] 杯子要花20元
[00224.56-00225.68] 那这种情况之下
[00225.68-00227.76] 小闭就会找到小闭小小小虽
[00227.76-00230.02] 可是小闭让我来帮他买个杯子
[00230.02-00232.72] 回家喝点茶了喝点咖啡了
[00232.72-00233.32] 却个杯
[00233.32-00235.60] 你这杯子最会是哪一个小闭说
[00235.60-00236.66] 最会就这个二十
[00236.66-00237.60] 他说好我就要这个了
[00237.60-00238.40] 他说回头外
[00238.40-00240.72] 你去找小闭去要钱就行了
[00240.72-00243.00] 于是小闭就把杯子拿走了
[00243.00-00244.88] 对吧小闭把杯子拿走之后
[00244.88-00246.04] 转头又给了谁
[00246.04-00247.52] 转头又给了小闭
[00247.52-00248.48] 那最终的话
[00248.48-00250.88] 那这个钱小碎找谁要呢
[00250.88-00252.48] 小碎是找小闭要
[00252.48-00253.76] 还是去找小闭
[00253.76-00256.06] 很明顯是找小A1
[00256.06-00257.92] 所以在這裡面你看書上咋說的
[00257.92-00260.24] 所以代理就是在代理全線放人之內
[00260.24-00263.20] 首先一定是小A1給小B數全委科
[00263.20-00265.76] 然後以背代理人的免疫就是以誰的免疫
[00265.76-00267.26] 以本人的免疫
[00268.36-00269.68] 以背代理人的免疫
[00269.68-00272.68] 這個背代理人叫做法律上卻做本人指的是
[00272.68-00274.60] 以小A的免疫以第三人
[00274.60-00276.24] 這列第三人就在小C
[00276.24-00278.68] 與小C從事了相當的民視法律行為
[00278.68-00280.96] 從而對誰發生反擊的消理
[00280.96-00283.36] 對背代理人發生法律效果的行為
[00283.36-00284.64] 就叫做败利
[00284.64-00285.16] 明白了吧
[00285.16-00288.16] 所以在这里面把这个关系去给它搞清楚
[00288.16-00289.76] 有些在这种情况之下
[00289.76-00290.92] 败利的这个事情
[00290.92-00294.44] 前一定要去找我们所说的小A要
[00294.44-00299.76] 所以对小A也就对被代人直接发生了法律后果和法律效率
[00299.76-00301.16] 这个点大家要知道
[00301.16-00303.52] 这是我们所说的第一个明确了代理的概念
[00303.52-00304.72] 在代理这个概念当中
[00304.72-00306.40] 大家注意一下它考一些细节
[00306.40-00307.36] 那考一些细节
[00307.36-00308.00] 这个细节呢
[00308.00-00310.72] 就是一下关于代理说法正确或错的是
[00310.72-00311.68] A选项
[00311.68-00312.80] 代理是以
[00313.36-00315.16] 被代理人的名義實施的
[00315.16-00315.68] 明白了吧
[00315.68-00317.32] 他會在這個地方把它改成說
[00317.32-00318.44] 代理事業
[00318.44-00320.00] 代理人的名義實施
[00320.00-00320.56] 不是
[00320.56-00321.52] 是以被代理人
[00321.52-00322.80] 以小A的名義實施的
[00322.80-00323.84] 這是第一個細節
[00323.84-00325.36] 大標準一下想圈一
[00325.36-00326.16] 那第二細節
[00326.16-00326.84] 就是
[00326.84-00328.40] 這個代理的行為對審法
[00328.40-00329.20] 法律後果
[00329.20-00330.24] 也是買被子的錢
[00330.24-00331.04] 由誰來付
[00331.04-00332.08] 如果不付錢的話
[00332.08-00333.32] 他到底能找誰要錢
[00333.32-00334.36] 他去起訴誰
[00334.36-00335.20] 那這裡面
[00335.20-00337.00] 因為是以被代理人的名義
[00337.00-00337.80] 所以在這個地方
[00337.80-00338.96] 我們就強調的是什麼
[00338.96-00341.40] 他是對被代理人的發生法律效果
[00341.40-00342.32] 所以在這個地方
[00342.32-00344.84] 不要主缺二,被代人发生法律效果
[00344.84-00348.92] 这个就要做代理,代理的含义是一个细节的变息的考虑点
[00348.92-00350.96] 达主义,这是第一个点,第二个点
[00350.96-00356.44] 第二个点就是我们要在这里要明确,代理的行为,它是不是啥事都能够代理呢?
[00357.00-00361.96] 达主大,它并不是啥事都能够代理的,有一些情况是不能够代理的
[00361.96-00365.32] 那些情况不能代理呢,来看一下书上,说让给到了
[00365.32-00370.36] 说依照法律规定,当时约定同把约定,话出来
[00370.36-00371.60] 我在用其他的顏色
[00371.60-00372.60] 当时有冤定
[00372.60-00373.84] 会民事法律行为的
[00373.84-00375.20] 性质阴当有
[00375.20-00376.84] 阴当有本人使用
[00376.84-00378.20] 把阴当有本人使用
[00378.20-00381.28] 使用这些情况是不得代理的
[00381.28-00383.28] 所以同没有知道不得代理的情况
[00383.28-00384.16] 有哪些
[00384.16-00385.92] 如果说冤定好了
[00385.92-00387.28] 那些是我必须亲自去做
[00387.28-00388.72] 我还未推你去做的话
[00388.72-00389.44] 这种情况之下
[00389.44-00390.48] 代理不成立
[00390.48-00391.20] 明白了吧
[00391.20-00392.92] 就是我们所说的不得代理
[00392.92-00394.68] 第二个就是有本人亲自使用
[00394.68-00395.56] 使得不能代理
[00395.56-00396.16] 这个点
[00396.16-00396.80] 大家注意一下
[00396.80-00399.36] 它会考察一个理解行的题目
[00399.36-00401.42] 這個理解人體會不會直接問說
[00401.42-00402.44] 以下能待理的事
[00402.44-00403.46] 會不能待理的事
[00403.72-00404.74] 他會給你按例
[00404.74-00406.02] 說以下關於待理
[00406.02-00407.04] 哪一種情況
[00407.04-00408.32] 可能是正確的
[00408.32-00409.34] 或者是哪一種情況
[00409.34-00410.36] 符合待理了求的
[00410.36-00411.90] 他會把這個變成一個案例
[00412.16-00412.68] 明白了吧
[00412.92-00413.44] 所以在這個地方
[00413.44-00414.20] 大家要知道
[00414.46-00415.22] 那約定的事情
[00415.48-00416.26] 就是看
[00416.26-00417.80] 當時的意思之之了
[00418.04-00418.30] 對吧
[00418.56-00419.32] 這個咱不討論
[00419.58-00420.60] 這裡面有另外一個
[00420.86-00421.88] 大家去給他記住就行了
[00422.14-00424.70] 就是應當有本人親自實施的法律行為不得待理
[00424.96-00427.02] 啥叫應當有本人親自實施的呢
[00427.26-00428.04] 在旁標準一下
[00428.28-00429.06] 一般情況下
[00429.06-00430.78] 有本人亲自实施的
[00430.78-00431.78] 都是我们所说的
[00431.78-00432.86] 就很强的什么
[00432.86-00434.38] 人生关系的这一些
[00434.38-00435.38] 那这种行为
[00435.38-00436.98] 它是不能代理的
[00436.98-00438.06] 那你就说啥事
[00438.06-00438.94] 比如说结婚
[00440.10-00440.82] 那么说
[00440.82-00441.94] 我工作太忙了
[00441.94-00443.78] 今天是你们两个的结婚
[00443.78-00444.78] 婚礼的现场
[00444.78-00445.62] 然后到了婚礼现场
[00445.62-00447.02] 这种突然接到了一个电话
[00447.02-00448.06] 突然接了一个电话说
[00448.06-00450.42] 这里有一个两百一的大单让你去欠一下
[00450.42-00451.86] 然后你就跟着好根本说有
[00451.86-00453.90] 说我现在被拖你帮我接下婚行吗
[00454.14-00455.18] 风了
[00455.18-00456.18] 被拖他帮你接管
[00456.18-00456.66] 不行
[00456.66-00457.58] 所以像这种
[00457.58-00458.02] 我们所认识
[00458.02-00459.62] 只有很强的人生怪喜的不行
[00459.62-00461.10] 什么结婚呢
[00461.10-00462.38] 离婚呢
[00462.38-00463.06] 对吧
[00463.06-00464.38] 还有我们所说的
[00464.38-00465.82] 一主
[00465.82-00467.66] 能不能为拖别人给你写主
[00467.66-00468.26] 不行啊
[00468.26-00469.06] 对吧
[00469.06-00470.78] 我们所设议到的什么
[00470.78-00472.06] 一主
[00472.06-00473.58] 收养关系
[00473.58-00474.34] 对不对
[00474.34-00476.58] 还有我们所说的必须你来做的
[00476.58-00478.30] 有一些老物之战
[00478.30-00480.02] 你不能让别人带你上课
[00480.02-00481.30] 比如说我现在给大家讲课
[00481.30-00483.10] 家人课的时候我突然
[00483.10-00483.70] 不想讲
[00483.70-00484.26] 信心不好
[00484.26-00484.50] 对吧
[00484.50-00485.34] 我说能不能
[00485.34-00485.86] 这个时候
[00485.86-00487.22] 临时大电话给我的朋友
[00487.22-00489.22] 我说你来帮我讲结客不行
[00489.22-00490.70] 如果是在这个过程当中
[00490.70-00493.94] 你看这应该是由我自己亲自去识诗的老物之下
[00493.94-00497.18] 它是没有办法找别人帮你识诗的
[00497.18-00498.34] 或是找别人帮你干的
[00498.34-00500.18] 所以这种情况之下是不得待理的
[00500.18-00501.70] 所以把这个点去记一下
[00501.70-00502.18] 好吗
[00502.18-00503.42] 所以在这里从我们标注
[00503.42-00505.58] 圈三他我存在不得待理的情况
[00505.58-00508.18] 这个是我们所说的待理的概念
[00508.18-00509.18] 待理的概念
[00509.18-00510.98] 有了一个大概的了解
[00510.98-00512.42] 掌握住这里面的细节之后
[00512.42-00513.66] 我们来看一下
[00513.66-00514.58] 这个待理
[00514.58-00518.52] 他其实本身就是先有内部的委通合同在外部的受权
[00518.52-00520.32] 从而形式带理个这样的一个行为
[00520.32-00520.92] 对吧
[00520.92-00521.68] 但是呢
[00521.68-00523.84] 这里面他就会有一个小小的八个
[00523.84-00524.64] 什么八个呢
[00524.64-00525.78] 就是我找你带理
[00525.78-00527.78] 为啥我找你帮我去做一件事
[00527.78-00530.42] 其实是我初于对你人身的一种啥
[00530.42-00531.60] 一种信任
[00531.60-00532.82] 估计女人不错
[00532.82-00534.14] 这人贼拉扣普
[00534.14-00534.50] 对吧
[00534.50-00536.06] 所以我找你帮我去办事
[00536.06-00537.90] 我为托你帮我去办件事
[00537.90-00541.14] 那这里他就具有很强的这种人身意义关系带的
[00541.14-00543.46] 但是这种人身意义关系
[00543.46-00544.74] 可能会造成一个结果
[00544.74-00546.54] 大家知道知人之面不知心
[00546.54-00548.42] 我觉得小A和我关系挺好的
[00548.42-00551.66] 我觉得小A就是这个世界上最靠谱最值得信任的人
[00551.66-00553.90] 所以我什么事都让小A帮我去做
[00553.90-00555.74] 但这里面小A到底什么样
[00555.74-00557.02] 我也不敢保证
[00557.02-00558.70] 所以就可能会出现
[00558.70-00560.98] 我委托小A帮我去做事
[00560.98-00563.02] 我收于他的委托选特别大
[00563.02-00564.58] 但是他出现什么情况
[00564.58-00566.82] 損害我的权疫情况
[00566.82-00568.82] 就是出现权力烂用
[00568.82-00571.74] 所以代理他出于很强的这种人生
[00571.74-00573.54] 衣服关系和人士系来关系
[00573.54-00576.22] 我们在实施带里的时候就必须要求带里人
[00576.22-00578.66] 他必须善意行实带里选
[00578.66-00580.50] 也就是他不得乱用带里选
[00580.50-00582.82] 从而損害被带里人的利益
[00582.82-00583.30] 对吧
[00583.30-00586.06] 所以我们不能说说咱俩好得没必而了
[00586.06-00587.86] 对吧咱俩就是从小玩到大
[00587.86-00588.22] 对吧
[00588.22-00589.50] 穿一条库子长大的
[00589.50-00590.18] 简直了
[00590.18-00591.70] 我的公司就是你的公司
[00591.70-00592.94] 然后你又能留很强
[00592.94-00594.90] 我说什么事以后这个公司什么事
[00595.22-00596.18] 你就拍吧
[00596.18-00596.82] 定事就行了
[00596.82-00597.78] 我新能问你
[00598.02-00598.86] 那只有情况之下
[00598.86-00600.98] 在电视剧当中演过多少同学们
[00600.98-00601.62] 对不对
[00601.62-00614.68] 被被刺的情况,我新的过他结果最后,他就以他的名义,以我的名义对外签,签了好多的之后,我们所说的合同,最后债,都要我来被透化我的情况,是不是比比结实,你想想那些电视剧,
[00614.68-00624.66] 那规密墓修内反墓怎么来的,不就这么来的嘛,所以在这里面,我说了对于代理权必须要一个限制,就是要求代理人他必须要善意形式代理权,
[00624.66-00628.54] 那山一形式代理权的背面就是它不得烂用代理权
[00628.54-00630.38] 那什么叫做代理权的烂用呢
[00630.38-00631.98] 它其实是有三种情况的
[00631.98-00633.70] 这三种情况打住一下
[00633.70-00636.70] 这三种情况分别是自己代理
[00636.70-00639.46] 双方代理以及热意代理
[00639.46-00642.30] 那如果它出现代理权烂用的话
[00642.30-00643.98] 那这种情况之下就意味着
[00643.98-00645.50] 它去做的这件事情
[00645.50-00649.78] 会不会或者是能不能对背代理人发生法律效量
[00650.34-00651.06] 是不行的
[00651.06-00652.66] 因为它属于代理权的烂用
[00652.66-00654.46] 他属于商害被带人的
[00654.46-00656.82] 我们所说的叫一个情况
[00656.82-00658.90] 所以他是我发生效率
[00658.90-00660.50] 要看被带人的态度
[00660.50-00662.54] 所以在这个地方大家要明确
[00662.54-00664.38] 我们就来看一下他具体的
[00664.38-00666.46] 第一个就要做自己带领
[00666.46-00667.82] 他是什么叫做自己带领呢
[00667.82-00668.62] 他是自己带领
[00668.62-00670.46] 是指被带领人
[00670.46-00672.86] 是也被带领人的名义
[00672.86-00673.62] 被带人名义
[00673.62-00676.66] 约自己从事的名式法律行为
[00676.66-00680.14] 就是一被带领人也和他自己前
[00680.14-00681.26] 这种情况之下
[00681.26-00683.98] 我们来看一下这个叫做自己代理
[00683.98-00685.86] 那自己代理最余常见的就是什么
[00685.86-00688.66] 自己即使代理人又是出卖人
[00688.66-00691.26] 比如说刚才你在旁边
[00691.26-00693.22] 就是写上叫做自己
[00693.22-00701.26] 即使代理人又是出卖人
[00702.26-00703.66] 写上圈一
[00703.66-00705.26] 这个地方把这句话写的旁边
[00705.26-00707.38] 帮助我们去能够变息
[00707.38-00709.62] 变息它属于哪一种
[00709.62-00712.28] 但你喜歡擔用的情況 寬立你要能夠對上
[00712.28-00714.52] 自己即是帶領人又是出賣人
[00714.52-00716.26] 比如說現在我還是我剛才
[00716.26-00719.38] 但還是小A 小A 比拖小B
[00719.38-00721.64] 幹嘛呢去幫他買一個杯子
[00721.64-00722.12] 對吧
[00722.12-00725.58] 那這種情況之下小B原則上是要去找麥杯子的人
[00725.58-00727.70] 但這時候小B剛好有杯子
[00729.30-00732.52] 那這個時候小B就把自己的杯子怎麼樣
[00732.52-00733.42] 賣給小Elon
[00733.42-00735.22] 那在這裡面你看他就屬於什麼
[00735.22-00738.42] 小B又是帶領人又是杯子的出賣人
[00738.42-00741.46] 那这种就叫做自己带领自己带领
[00741.62-00743.06] 那自己带领大家注意一下
[00743.06-00744.78] 它不合理的地方在那呢
[00744.94-00748.06] 就是大家都知道小 A是想追求权于最大话的
[00748.06-00752.50] 那在这里面小 B是个也想追着的我们所说的进行权于最大话
[00752.66-00754.74] 那自己给自己带领的情况就是什么
[00754.74-00757.54] 哎这个B子小 A也没有说每多少钱呢
[00757.54-00761.30] 对吧那我就把我自己最不想要的那个B子以最高的加钱妹给她带
[00761.46-00763.22] 因为她会存在一个信息不对称
[00763.38-00764.98] 所以自己带领的重情况
[00764.98-00767.34] 是不是很容易伤害被带领的权益
[00767.34-00770.90] 所以我们在法律上要怎么样要禁止自己带领
[00770.90-00774.30] 也就是在原则上带领人不得自己带领
[00774.30-00775.98] 所以在这个地方大家要注意一下
[00775.98-00776.86] 这是第一个点
[00776.86-00777.62] 所以你就知道
[00777.62-00779.58] 最带领就是自己计视委托人
[00779.58-00782.26] 有事带领人的出卖人的情况
[00782.26-00784.58] 就是把自己的东西卖给被带领人
[00784.58-00785.70] 这是第一个
[00785.70-00786.62] 第二个就是
[00786.62-00789.06] 那自己带领原则上是被禁止的
[00789.06-00791.22] 就是法律上原则上是不允许这么做的
[00791.22-00793.30] 但是有的人他就非要这么做
[00793.30-00794.02] 那怎么办
[00794.02-00795.26] 他如果非要这么做
[00795.26-00798.30] 这个代理合同到底对不对被代人发生效率
[00798.30-00798.98] 怎么办
[00798.98-00801.22] 要看被代理人的态度
[00801.22-00804.10] 被代理人是否是同意或者是追任
[00804.10-00805.86] 如果被代理人同意的
[00806.74-00808.30] 大助一下在这里面
[00808.70-00813.70] 如果被代理人同意或者是被代人追任了他的行为的
[00814.26-00815.58] 那这种情况之下
[00815.58-00818.06] 这个行为就是有效的
[00818.06-00819.10] 就是有效的
[00819.10-00820.90] 如果被代理人不同意
[00821.70-00824.38] 或者被代人怎么样拒绝追任
[00825.26-00830.04] 那他刚才那个买杯子的合同就是怎么样
[00830.04-00832.68] 那个迷事法的行为就是五销的
[00832.68-00833.62] 那这是五销的
[00833.62-00834.72] 所以大家要注意一下
[00834.72-00837.14] 这是我们所说的自己代理
[00837.14-00840.30] 自己代理就是刚才小A 委托小B
[00840.30-00843.18] 买杯子小B把自己的杯子卖给小A
[00843.18-00845.06] 的这个行为有没有效
[00845.06-00846.98] 那就看小A的态度
[00846.98-00849.22] 所以说行案反正买谁的杯子都一样
[00849.22-00850.48] 我小B关键还好
[00850.48-00851.38] 那卖小B的
[00851.38-00852.66] 飞水不留卖人钱
[00852.66-00854.42] 那就把钱给了小B
[00854.42-00857.38] 这时候他把刑给了小笔球就示威他
[00857.38-00859.14] 任同小笔的自己带里行为
[00859.14-00861.26] 这时候买卖和头有效
[00861.26-00862.34] 买卖和头有效
[00862.34-00863.18] 所以大家注意一下
[00863.18-00865.26] 这是第一个叫做自己带里
[00865.26-00866.30] 那叫自己带里
[00866.30-00867.26] 这是第一个点
[00867.26-00868.10] 所以第一个明确
[00868.10-00869.94] 自己带里他的情况
[00869.94-00871.30] 就是又是带里人
[00871.30-00872.26] 又是出卖人
[00872.26-00873.50] 第二个他的效率
[00873.50-00875.62] 要看背带人的态度
[00875.62-00877.42] 这是第一个叫做自己带里
[00877.42-00879.06] 那第二个权利拉姓的情况
[00879.06-00880.58] 叫做双方带里
[00880.58-00881.86] 什么叫做双方带里呢
[00881.86-00889.78] 他說是指被代人同時代理本人和第三人為同一法律行為
[00889.78-00896.66] 然後代理人不得也原則上要求就是不得也被代人的名義與自己同時代理的其他人實質法律行為
[00896.66-00902.98] 那如果實施的話一樣的法律效果是要看被代人的態度
[00902.98-00907.46] 那這個時候就是相當於什麼呢就是一譜十主的這種情況
[00907.46-00915.10] 这做一婆12种一婆12种情况
[00915.10-00916.86] 这个就是我们所说的
[00916.86-00918.18] 就做双方代理
[00918.18-00919.38] 几个简单的例子吧
[00919.38-00924.22] 比如说现在小A 委托小B 去买杯子
[00924.22-00925.22] 对吧
[00925.22-00927.30] 委托小B 买杯子
[00927.30-00929.02] 哎 巧了 你说这不是吗
[00929.02-00930.38] 五巧不成书
[00930.38-00931.54] 天下的就是
[00931.54-00932.62] 买杯子
[00932.62-00934.30] 天下的事都赶得一块了
[00934.30-00936.50] 这说小C 恰好说6杯子
[00936.50-00940.42] 小碎什么呢,小碎也委托小币去卖位子
[00944.66-00948.46] 那一看是不是双方都对小币有一个什么,代理收权呢?
[00948.46-00952.22] 那这时候小币一手托小A一手又托小碎
[00952.22-00954.70] 那在这种情况之下,他就很容易出现什么
[00954.70-00957.46] 在交易当中互相冲突的情况,什么冲突呢?
[00957.46-00962.62] 小A呢,他也想获得权于这大话,那就想花最少的钱,买最好的杯子
[00962.62-00965.18] 小碎也想权于这大话,想
[00965.18-00968.00] 我们所说的把杯子卖到最高的下期
[00968.00-00971.06] 这时候小毕业就是精神病儿被左右拉扯了
[00971.06-00973.62] 一方面他要我们所说的找一个最低价
[00973.62-00975.94] 另外一方面他要帮那一家找一个最高价
[00975.94-00978.74] 他在这里面会是出现我们所说的利益冲突的情况
[00978.74-00980.54] 这样一旦有利益冲突的话
[00980.54-00982.34] 讨价环架的时候就不太好
[00982.34-00983.10] 讨价环架了
[00983.10-00985.66] 所以在这种情况之下就属于我们所说的什么
[00985.66-00986.94] 叫做一手拖两家
[00986.94-00989.50] 或者叫做一普12主的这样的情况
[00989.50-00992.06] 那如果一普12主原则上
[00992.06-00993.34] 可不可以这么做不可以
[00993.34-00995.14] 如果他一定这么做的话
[00995.14-00995.90] 和前面一样
[00995.90-00997.18] 那就是要怎么样
[00997.18-00999.34] 要看背带人的态度
[00999.34-01001.26] 那如果小闭在这个过程当中
[01001.26-01005.22] 就正好把小碎伟脱给他的背子卖给了小A
[01005.22-01007.66] 那最终这个钱怎么去要
[01007.66-01009.66] 那就看小A的态度
[01009.66-01012.54] 比如说现在小闭把小碎的背子拿过来
[01012.54-01014.30] 把小碎的背子
[01014.30-01015.54] 我画在下面吧
[01015.54-01016.70] 好吧 咱们坏一种颜色
[01016.70-01019.78] 小碎现在小碎把背子交付给小闭
[01019.78-01022.10] 小闭有把这个背子给了小A
[01022.10-01024.78] 然后他就跟小闭跟小闭说说
[01024.78-01027.22] 说我帮你的鼻子卖给小A了
[01027.22-01028.50] 然后小闭跟小闭说
[01028.50-01030.86] 我从小C出买了一个B字
[01030.86-01031.98] 这是会两个行为啊
[01031.98-01034.26] 那在这里面你看最中的话
[01034.90-01035.86] 这个行为当中
[01035.86-01038.10] 小CB字的钱到底找谁要
[01038.70-01040.46] 小A到底要不要付钱
[01040.46-01042.70] 那就看一下小A太多了
[01042.70-01043.98] 如果在这种情况之下
[01043.98-01045.46] 一普12主的这种情况
[01045.46-01047.02] 或者是一手脱两家的这种情况
[01047.02-01048.18] 原则上不被原许
[01048.18-01049.78] 但如果小A认为说
[01049.78-01051.54] 小闭他也挺不容易的
[01051.54-01053.58] 对吧 他正好做了一个折中
[01053.58-01054.58] 那这样其实也行
[01054.58-01056.46] 那我就把这个钱付给小赛
[01056.46-01057.34] 那如果小银
[01057.34-01058.98] 但把钱付给小赛的话
[01058.98-01062.06] 那就意味着合同怎么样成立生效
[01062.06-01064.38] 合同成立有效并生效了
[01064.38-01066.46] 所以在这里面到底这种
[01066.46-01068.46] 双方代理行为到底发发生效率
[01068.46-01069.86] 那最终看小银的态度
[01069.86-01071.78] 小银到底是不是同意或者是啊
[01071.78-01072.38] 只认
[01072.38-01074.18] 那这个就是我们所说的这种做
[01074.18-01075.98] 双方代理
[01075.98-01077.50] 那明确就是双方代理
[01077.50-01079.66] 它的一个大概的体现
[01079.66-01084.42] 就是你要抓住一句话就是一手脱两家或者是一铺12主这样的情况
[01084.42-01087.78] 这个双方代理这是第二种代理权的论用
[01087.78-01091.54] 那第三种代理权的论用就叫做惡意串通
[01091.54-01095.02] 它说惡意串通是啥呢?是是代理人员第三人
[01095.54-01097.58] 实施的民事法的行为的时候
[01097.58-01101.30] 与第三人惡意勾通損害被代人的行为
[01101.30-01103.50] 那就是我们前面所提到的什么
[01103.50-01104.70] 吃里排味
[01104.70-01111.70] 最维点形就是我们在旁边写商就写按离模型就行了就吃回口
[01111.70-01114.70] 吃回口
[01114.70-01120.70] 那吃回口你看恶意传通了同你们强功主义恶恶意传通的明示法律行为怎么样
[01120.70-01123.70] 无效恶意传通的明示法律行为无效
[01123.70-01127.70] 你看在这里面恶意传通的这种前例乱流全力乱用
[01127.70-01130.70] 是不是就和双方代理和自己代理不同了
[01130.70-01132.42] 在里和自己在里他是
[01132.42-01133.38] 小里代定
[01133.38-01134.90] 就是看第三方的追任
[01134.90-01137.22] 而恶意传统强公主义恶
[01137.22-01138.38] 因为存在恶意传统
[01138.38-01139.98] 所以这个行为五校
[01139.98-01141.30] 这个案例咱们前面说了
[01141.30-01142.42] 就是我们
[01142.42-01144.22] 每托他帮我去买东西
[01144.22-01146.26] 结果他吃回扣的这个情况
[01146.26-01146.70] 对吧
[01146.70-01148.50] 在这里面我们说了吃回扣
[01148.50-01150.54] 一绿五校一绿五校
[01150.54-01152.22] 后面他又补充了一下
[01152.22-01153.66] 这个五校的名式法律行为
[01153.66-01155.54] 如果给被带人带来損失的话
