[00000.00-00004.72] 那我们再来看一下第二个有没有给大家讲解的犯罪就是新卡差骗罪
[00517.60-00520.36] 他就一定是性卡扎频罪 不是的
[00520.36-00522.84] 他在这里面就给他做了一个明确的线索
[00522.84-00525.56] 他说叫做恶意透支
[00525.56-00528.96] 是指持卡人以非法战友为目的
[00528.96-00532.18] 大家注意一下在这里面把这个非法账目的换出来
[00532.18-00533.84] 有时候恶意透知的话呢
[00533.84-00536.52] 它本身是要求在透知时
[00538.12-00539.08] 大注意一下
[00539.08-00542.44] 它透知时就要求它有非法账目的了
[00542.44-00543.32] 这是第一个点
[00543.32-00544.20] 大家注意一下
[00544.20-00545.56] 这是第一个
[00545.56-00547.16] 以非法账目目的第二个
[00547.16-00549.80] 叫超过规定性格和规定期限透知
[00549.80-00550.84] 比如说这个卡
[00550.84-00552.56] 你只能我们所说的
[00552.56-00553.40] 花多少钱呢
[00553.40-00554.76] 比如说花个五万
[00554.76-00556.96] 对万的卡的额度是五万或者多少钱
[00556.96-00557.76] 那它这里面
[00557.76-00560.48] 他吃什么超过规定现顿去进行相的
[00560.48-00562.68] 我们所说的透知行为
[00562.68-00564.48] 这个就叫做恶意透知
[00564.48-00566.88] 那这里面它第二就是第二句话
[00566.88-00567.60] 大家要明确
[00567.60-00569.44] 第三个点的通说病精
[00569.44-00571.60] 发卡研行两次吹收后
[00571.60-00572.88] 它其实有一个限定
[00572.88-00573.44] 我刚才说了
[00573.44-00575.12] 其实在现实社会当中
[00575.12-00576.96] 或者是在日常大家的
[00576.96-00578.16] 消费购物当中
[00578.16-00579.36] 透知行为
[00579.36-00581.04] 其实是时常会可见的
[00581.04-00582.32] 比如说你招级用钱
[00582.32-00582.72] 对吧
[00582.72-00584.08] 或者是你在这里面
[00584.08-00585.76] 不小心把他给忘记了
[00585.76-00587.28] 你有的时候你恶意透知之后
[00587.28-00588.92] 不能说惹透震了之后
[00588.92-00590.32] 你忘了还换期限
[00590.32-00591.38] 那这种情况之下
[00591.38-00592.40] 他就没有办法怎么样
[00592.40-00593.36] 主动还换了
[00593.36-00594.40] 那这种情况之下
[00594.40-00595.08] 能不能说
[00595.08-00596.72] 你一旦透震了新卡
[00596.72-00598.20] 你一旦在这种情况之下
[00598.20-00599.96] 超过还换期限没有换换
[00599.96-00602.20] 就定义为新卡炸病罪呢
[00602.20-00603.36] 其实不行的
[00603.36-00604.48] 所以在这里我说了
[00604.48-00606.24] 并非所有的透震行为
[00606.24-00608.32] 他都能够成新卡炸病罪
[00608.32-00610.00] 他其实有条件要求的
[00610.00-00610.96] 第一个就是
[00610.96-00612.36] 在你透震的时候
[00612.36-00614.12] 你就已经有非法照目的
[00614.12-00614.72] 比如说
[00614.72-00617.32] 你用心看 去取钱 用心看去消费的时候
[00617.32-00618.82] 在透质的时候 你当时就想
[00618.82-00620.52] 我只定不能还这个钱
[00620.52-00622.66] 所以你就办了十几十几张性
[00622.66-00624.52] 每张都透质 每一张都透质
[00624.52-00625.92] 一号推出你 你也不管
[00625.92-00627.02] 我就是不管
[00627.02-00630.52] 这个时候 你还在透质使用这个卡的时候
[00630.52-00631.82] 你本身就有什么
[00632.82-00633.82] 非法赵目的
[00633.82-00636.02] 在这里面就是我们所说的什么
[00636.92-00638.52] 就是我们所提到的
[00638.52-00640.92] 第一个叫透质使就有非法赵目的
[00640.92-00643.72] 第二个就是我们要求有一个时间的限制
[00643.72-00649.36] 这是第2个点叫做金发卡银行两次吹收以后三月内认为规划
[00649.36-00653.96] 这个时候我们就认为是什么就认定你符合了客观处发条件
[00653.96-00657.40] 你这个时候实施的行为我已经吹了你两次
[00657.40-00659.44] 我还给了你三月的宽现起
[00659.44-00660.36] 你都没有缓
[00660.36-00662.68] 我这种情况之下是不是就可以怎么样
[00662.68-00664.72] 就可以把你认定为什么
[00664.72-00666.44] 热意透知行为了
[00666.44-00668.16] 所以在这里面大一点注意下
[00668.16-00669.08] 这是我们所说的
[00669.08-00671.32] 如果没有两次吹收三月不规划
[00671.32-00672.20] 他就是什么
[00672.20-00673.72] 他就是我们所说的
[00673.72-00675.84] 违法主缺是有了就类似于
[00675.84-00677.36] 如果没有第二条的现定
[00677.36-00679.12] 他其实本身是不构成
[00679.12-00680.48] 信用卡扎片罪的
[00680.48-00681.32] 所以这是第二个点
[00681.32-00682.16] 大家注意下
[00682.16-00683.48] 第三个点就是
[00683.48-00684.68] 信用卡扎片罪
[00684.68-00686.24] 他的这个行为主体
[00686.24-00687.12] 或者是行为人
[00687.12-00688.00] 大家注意下
[00688.00-00690.04] 和刚才我们所提到的不一样
[00690.04-00692.80] 前面为造实用为造的
[00692.80-00694.40] 作废的和贸用他人卡
[00694.40-00696.24] 他的行为本身就是违法的
[00696.24-00696.80] 对吧
[00696.80-00698.88] 在这个里面行为人本身就是
[00698.88-00700.24] 不是合法的卡住
[00700.24-00702.48] 而形容卡炸片的行为人是什么呢
[00702.48-00704.28] 其实那个合法的卡主
[00704.28-00706.52] 就是你这个卡身里面的说没毛病
[00706.52-00708.24] 这个卡本身也是你的
[00708.24-00710.88] 但是你在用卡的时候有问题
[00710.88-00712.48] 那这里面我们就把它撤
[00712.48-00714.96] 我们就认为恶意透制行为到
[00715.68-00716.60] 行为人
[00716.60-00719.00] 它就是合法的卡主
[00719.00-00720.92] 而这里面第四个细节点
[00720.92-00721.76] 就大家知道
[00721.76-00723.40] 形容卡炸片对它本身
[00723.40-00725.00] 它的卡的范围
[00725.00-00727.20] 就和前面的那三种不一样了
[00727.20-00728.24] 我们前面说了
[00728.24-00729.44] 说胸卡诈片罪
[00729.44-00732.08] 这里面在法条当中规定的胸卡
[00732.08-00734.32] 他本身上指的是银行卡
[00734.32-00737.08] 要么就是你普通功能的借金卡和储序卡
[00737.08-00739.72] 要么就是有这种具有透支功能的胸卡
[00739.72-00741.56] 对吧就是下一上的胸卡
[00741.56-00743.80] 而恶意透支同样的想象
[00743.80-00746.72] 能够透支的卡是广易上的银行卡
[00746.72-00748.96] 还是你去特别败理的胸卡呢
[00748.96-00751.44] 咱们拿咱们自己的银行卡去银行去钱
[00751.44-00752.96] 你的卡里有20万块钱
[00752.96-00754.08] 一把这二十万都取出来
[00754.08-00755.88] 说还能不能额外多取
[00755.88-00758.56] 不行,你的普通的土序卡借几卡
[00758.56-00759.84] 没有这种功能
[00759.84-00761.32] 所以这里面大家注意一下
[00761.32-00763.00] 恶意透支的姓卡扎林
[00763.00-00764.64] 在他的卡的范围就是什么
[00764.64-00767.08] 具有透支功能的姓卡
[00770.36-00774.08] 具有透支功能的
[00777.48-00778.28] 姓卡
[00778.28-00781.68] 这个才是我们所说的整个
[00781.68-00783.88] 姓卡扎林最大的具体姓刮
[00783.88-00785.68] 我来给大家说一下他怎么考
[00785.68-00789.02] 首先第一个就是大家要能够去掌握在这里面
[00789.02-00791.68] 它所规定的这几种情形
[00791.68-00795.16] 这就用情形它容易考理解形的题目
[00795.16-00797.96] 大家要明确这种情形它考理解形的题目
[00797.96-00800.28] 就做使用尾造的形卡
[00800.28-00801.64] 使用作废的形卡
[00801.64-00803.88] 这都是使用假卡的行为
[00803.88-00804.80] 或者是什么
[00804.80-00806.80] 贸用它人的真卡
[00806.80-00808.08] 贸用它人的真卡
[00808.08-00809.56] 它有一个行为模型
[00809.56-00811.52] 我又会会大家去详细的拆解
[00811.52-00813.84] 这里面就会把这些变成具体的案例
[00813.84-00816.28] 让你去判断这是第一种考察情况
[00816.28-00817.88] 第二种考察情况就是在这
[00817.88-00820.48] 它其实是会区分一些细节看到没有
[00820.48-00822.76] 恶意透支的是它的情形之一
[00822.76-00825.16] 但这里恶意透支的针对是合法的卡主
[00825.16-00827.76] 而它的卡指的是有透支功能的性感
[00827.76-00829.40] 而前面的这三种性感
[00829.40-00831.16] 它针对的不是合法的卡主
[00831.16-00832.80] 而且它的卡的翻脸是什么
[00832.80-00835.36] 它的卡的翻脸是所谓的银行卡
[00835.36-00838.64] 所以在这里没一会考察一个综合性的细节
[00838.64-00840.48] 以下关于性卡扎片最说法
[00840.48-00841.92] 正确或者错误的是
[00841.92-00843.92] 你要能够给他选出来
[00843.92-00846.48] 这次我们所说的关于性卡诈骗
[00846.48-00848.80] 他的红官上的机种情况
[00848.80-00850.16] 但在考试当中
[00850.16-00852.24] 其实比较简单的是哪机种呢
[00852.24-00853.04] 就是你一旦
[00853.04-00854.64] 就是比较简单的是你一眼
[00854.64-00855.60] 就能够看得出来
[00855.60-00856.84] 他是不是恶意透知
[00856.84-00858.24] 只要是合法的卡主
[00858.24-00859.52] 他会在田团当说话
[00859.52-00863.36] 他说他在三月之内进行了三次随说
[00863.36-00863.68] 对吧
[00863.68-00865.52] 但是这个卡主人为会还
[00865.52-00866.88] 这时候我们就认定
[00866.88-00868.48] 以时恶意透知了
[00868.48-00870.72] 他会给你非常明确的中表示
[00870.72-00873.86] 或者说你看到他这个卡本身是假的
[00873.86-00875.20] 但是他也去拿去用了
[00875.20-00876.72] 他也把这个钱骗出来了
[00876.72-00878.28] 他正说死害了谁
[00878.28-00880.62] 他这个手死害了我们所说的也行的利益
[00880.62-00881.64] 那这个时候呢
[00881.64-00884.54] 你一言能看出他那个卡只要是假的
[00884.54-00886.28] 他用了然后他最后没还
[00886.28-00890.08] 那他就属于使用假卡的这种协谓
[00890.08-00892.20] 那是难得人的大注意下
[00892.20-00893.72] 那点钱是在这
[00893.72-00896.08] 就是我们要提到给大家在这里讲的
[00896.08-00898.28] 叫做贸用弹性卡的行为
[00898.28-00900.24] 那什么叫做贸用弹性卡
[00900.24-00903.64] 我们怎么去变点 贸用他人性卡的这种情况呢
[00903.64-00907.04] 因为贸用他人性卡你使用的是什么 真卡
[00907.04-00912.24] 那你贸用真卡的行为到底什么样才能够购成我们所说的什么
[00912.24-00916.24] 使用卡诈片最 咱们来看一下咱把这个模型进行拆解
[00916.24-00921.44] 他说呢 贸用他人真卡的这种行为就是我们所说的贸用他人性卡
[00921.44-00924.04] 他在这里面其实是有一个相应的要求的
[00924.04-00926.04] 这个要求就在什么呢 就在要求啊
[00926.04-00929.64] 他的这个行为 他其实分两步走的 大家明确啊
[00929.64-00930.86] 他的行为是两步走
[00930.86-00932.46] 他行为是哪两步走呢
[00932.46-00933.22] 第一步呢
[00933.22-00935.02] 就是我把它起来这
[00935.02-00937.14] 好吧就是莫用真卡的行为
[00940.66-00942.06] 莫用他人性卡
[00942.06-00943.22] 莫用真卡的行为
[00943.22-00943.54] 对吧
[00943.54-00944.74] 我们把它拆解一下
[00944.74-00945.60] 其实你看
[00945.60-00947.56] 你是莫用他人真卡
[00947.56-00949.80] 你想要用别人的真卡
[00949.80-00952.74] 你是否首先手里带有一个别人的真卡才行
[00952.74-00953.52] 对吧
[00953.52-00954.72] 这个没有问题吧
[00954.72-00956.26] 就你要莫用别人的真卡
[00956.26-00957.06] 你手里带有一张
[00957.06-00958.52] 别人的真卡才行
[00958.52-00961.12] 那你怎么手里能够有一张别人的真的看呢
[00961.12-00964.00] 你在这里面想要获得他人的真看
[00964.00-00965.96] 你其实第一个待我一个什么
[00965.96-00967.48] 非法取得许为
[00971.32-00974.00] 你这个手里的别人的真看你是怎么来的呢
[00974.00-00976.20] 你是骗来的偷来的搶来的
[00976.20-00978.20] 对吧还侵占来的 超加来的
[00978.20-00979.72] 还是搶多来的 对吧
[00979.72-00982.12] 那这有首先首先待我一个非法取得许为
[00982.12-00984.72] 这个非法取得许为只是让我们说
[00984.72-00987.48] 只是让我们理解了你现在手里有一张什么
[00987.48-00988.46] 他人的真卡
[00988.46-00991.70] 那第二个呢就是想要贸用他人真卡抽点用啊
[00991.70-00994.44] 你用了之后才能侵战他人的财产兴力呀
[00994.44-00996.26] 所以第二步要有一个什么随便
[00996.26-00998.56] 要有一个贸任贸用的行为
[00999.76-01003.68] 要有一个贸用他人性卡的行为
[01006.04-01007.56] 所以你看在考试的时候
[01007.56-01010.38] 在这里面其实整个贸用真卡是分量部的
[01010.38-01011.90] 第一个有一个非法取得行为
[01011.90-01013.14] 第二个贸用行为
[01013.14-01016.54] 他们两个要结合在一块才能购成我们所说的什么
[01016.54-01019.90] 才能構成所說的這個信卡詐騙罪
[01019.90-01023.02] 於是在這裡面就把貿用它增卡的情形
[01023.02-01024.78] 進行了一個具體的差分
[01024.78-01027.58] 都能差分成拿這種情況的大助一下
[01027.58-01031.26] 非法取得的行為可以包括很多非法取得財務
[01031.26-01032.46] 我沒會會大家講
[01032.46-01034.30] 你可能是道歉
[01034.30-01035.74] 可能是詐騙
[01035.74-01036.86] 可能是親戰
[01036.86-01038.46] 可能是敲炸彈彈所
[01038.46-01039.34] 可能是什麼
[01039.34-01040.06] 強奪
[01040.06-01041.50] 這些非法行為
[01041.50-01042.94] 都可能怎麼樣
[01042.94-01046.52] 获得非法都可能非法获得他人性卡
[01046.52-01048.06] 我们就来具体来看一下
[01048.06-01050.62] 这些具体的行为他加上这种使用
[01050.62-01051.90] 到底共产什么罪啊
[01051.90-01053.44] 这里面就会涉一到些
[01053.44-01054.70] 我们所说的这种
[01054.70-01056.00] 细节上的差分
[01056.00-01057.28] 咱们来看一下
[01057.28-01058.56] 首先第一种情况
[01058.56-01060.08] 就是非法取得的行为
[01060.08-01060.86] 可能是什么呢
[01060.86-01063.68] 第一种非法取得的行为可能是炸片
[01063.68-01064.96] 现在旁边啊
[01064.96-01065.98] 可能是炸片
[01065.98-01067.26] 比如说你忽悠别人
[01067.26-01069.30] 别人这把他的心卡放到你的手里了
[01069.30-01070.08] 这要炸片
[01070.08-01070.84] 第二个是什么
[01070.84-01071.88] 是亲战
[01071.88-01075.82] 新战就是我说你先帮我把这个新卡拿一下我去到未生间
[01075.82-01077.76] 你说好的OK No Problem
[01077.76-01080.14] 然后我把卡让你帮我拿一下的时候
[01080.14-01082.80] 我去撤锁的说你人跑了 把卡锅偷走了
[01082.80-01084.36] 那这种情况之下就属于什么
[01084.36-01087.38] 不能叫偷玩 这种时候就属于新战
[01087.38-01088.58] 那就是属于新战
[01088.58-01091.46] 那第三种就是非法行为就是相多
[01091.46-01093.42] 那抢多行为大家都知道 对吧
[01093.42-01096.10] 那还有就是我们所说的 挑战乐所
[01099.50-01101.18] 那还有就是我们所说的
[01101.18-01102.78] 敲炸 垃圾
[01104.58-01108.22] 绑架了我身边的谁谁然后呢敲炸垃圾的卡
[01108.22-01109.42] 但是大家注意一下
[01109.42-01112.70] 如果说你只是在这里面单纯的
[01112.70-01113.82] 片一张卡
[01113.82-01114.98] 这片一张卡
[01114.98-01116.54] 抢夺一张卡
[01116.54-01117.82] 轻战一张卡
[01117.82-01119.62] 敲炸垃圾一张卡
[01119.62-01122.38] 仅仅是拿到了一张卡而已大注意下
[01122.38-01123.54] 这些行为呢
[01123.54-01125.46] 它其实是不够成犯罪的
[01125.46-01126.58] 如果是哦
[01126.58-01127.90] 这怎么可能呢
[01127.90-01131.42] 他都已经去挑战亲战抢奪
[01131.42-01133.74] 然后呢 炸骗你的姓卡了
[01133.74-01137.66] 这些行为怎么能够不够成我们所说的这个犯罪呢
[01137.66-01138.58] 大罪想啊
[01138.58-01141.82] 因为本身在财任犯罪当中我们强调了
[01141.82-01145.66] 要存有三千元以上的银行卡属于数个叫大
[01145.66-01147.10] 属于我们所说的什么
[01147.10-01149.10] 形化所保护的财产利益
[01149.10-01152.62] 但是如果他只是仅仅强的一张卡
[01152.62-01155.38] 那在这个地方其实不认为说那张卡
[01155.38-01156.70] 他是数个叫大的
[01156.70-01157.50] 明白了吧
[01157.50-01159.50] 如果你张卡里面比如说你的这张
[01159.50-01161.50] 休卡当中它没有存任何的钱
[01161.50-01163.50] 结忆它就是到切了一张卡
[01163.50-01165.50] 它到切了说它不用呢
[01165.50-01167.50] 它不用了之后你去一行掛事就好了
[01167.50-01168.50] 对吧
[01168.50-01169.50] 那它属于什么样的
[01169.50-01171.50] 我们所说的才产犯罪的行为呢
[01171.50-01173.50] 它其实就都不属于
