[00000.00-00003.70] 那么了解了什么是形容处罚之后呢
[00357.52-00359.32] 這個點同一門了解一下就行了
[00359.32-00362.32] 因為他會考察一些支持點相應
[00362.32-00364.64] 或者是怎麼說的相應支持點的
[00364.64-00365.56] 他的一個變息
[00365.56-00367.16] 因為我們在後面可能還會給大家
[00367.16-00369.60] 去講到行政徐口和行政強這個問題
[00369.60-00370.64] 所以大家注意一下
[00370.64-00372.44] 這個就是我們所說的
[00372.44-00374.00] 被受權的組織
[00374.00-00374.72] 这第二个
[00374.72-00376.76] 那第三一个就是被委托的组织
[00376.76-00378.20] 那被委托的组织咱们说了
[00378.20-00379.84] 被委托的组织
[00379.84-00381.40] 他就是一个帮手
[00381.40-00382.64] 对吧本身是
[00382.64-00384.76] 形状机关给自己找报手
[00384.76-00386.24] 所以是以委托
[00386.24-00387.20] 机关的名义
[00387.20-00388.40] 几击成处罚的
[00388.40-00389.12] 这个点了
[00389.12-00390.32] 了解一下机客
[00390.32-00392.88] 那这是实施处罚的主体
[00392.88-00394.88] 就是谁能实行形状处罚
[00394.88-00396.80] 这是第四个问题
[00396.80-00398.44] 那造下我们来看一下
[00398.44-00399.36] 那第五个问题
[00399.36-00400.88] 就是说我们所说的
[00400.88-00402.68] 这个形状处罚全现的
[00402.68-00405.76] 那如果說真的有一件事發生了
[00405.76-00409.48] 那這個時候我們說了要對這個事件進行相當的行動處法
[00409.48-00411.68] 到底誰能進行處法呢
[00411.68-00415.68] 哪一個地方的行政主管機關可以管這個事呢
[00415.68-00419.08] 那這個時候就會睡到行政處法的管想問題
[00419.08-00421.28] 我們一般提到行處法的管想
[00421.28-00426.48] 無論是行政處法的管想問題還是行政虛可的管想問題等等
[00426.48-00427.88] 它只要睡到管想
[00427.88-00429.88] 一般就會分成兩種
[00429.88-00431.88] 一种就是两个唯一度嘛
[00431.88-00433.92] 一个唯一度叫做极蔽管晓
[00436.32-00438.80] 还有一个唯一度叫做地域管晓
[00443.00-00444.48] 什么叫做极蔽管晓呢
[00444.48-00445.48] 极蔽管晓就是
[00445.48-00447.64] 归哪一个极蔽的顾门管
[00447.64-00449.04] 比如说一件事发生了
[00449.04-00449.40] 对吧
[00449.40-00450.60] 我炒红灯也好
[00450.60-00451.96] 然后随地土壇也好
[00451.96-00453.76] 我随地随地动手打人也好
[00453.76-00455.24] 那我打人也打了
[00455.24-00456.28] 我确实炒红灯了
[00456.28-00458.48] 那他归哪一个极蔽的顾门管
[00458.48-00460.48] 或者哪一个极别的形狀机关管呢
[00460.68-00462.28] 那我做了这样事比如说
[00462.28-00464.20] 我呢在极电省白山市江源
[00464.20-00467.12] 去的一个街头上把一个老人给做了一顿
[00467.12-00468.36] 做他的原因呢
[00468.36-00469.40] 没有原因
[00469.40-00470.72] 对吧就是我就是个坏人
[00470.72-00471.52] 我就是个变态
[00471.52-00473.16] 然后呢我就是故意的
[00473.16-00474.96] 给他使个腿巴给他搬倒了
[00474.96-00476.40] 那你看在这种情况下
[00476.40-00478.64] 我们所说的就要来调查这个时间
[00478.64-00480.32] 那你看有发生在
[00480.32-00482.08] 极电省白山市江源
[00482.08-00484.52] 去街道上的我去做的这个事
[00484.52-00486.96] 那谁就是哪一极的功能
[00486.96-00488.08] 有资格观问呢
[00488.08-00489.48] 这个时候就会涉一道什么
[00489.48-00490.48] 就会涉一道级别管下
[00490.48-00493.36] 到底是江云区管还是白身事管还是基硑神管
[00493.36-00494.64] 还说重要意义机管
[00494.64-00496.20] 这个就叫做级别管下
[00496.20-00498.28] 那第二个呢就是地域管下
[00498.28-00499.92] 地域管下的就是我做的这个事
[00499.92-00501.88] 它归哪个地方管
[00501.88-00504.16] 这个时候就叫做地域管下
[00504.16-00505.44] 所以在这里面我们说了
[00505.44-00506.96] 级别管下和地管下是啊
[00508.16-00509.52] 我们所说的
[00509.52-00510.96] 双下的就是这两个
[00510.96-00513.88] 就相当于我们所说的定一个什么作标
[00513.88-00515.00] 这是我们所说的
[00515.00-00516.88] 有关于形容出发的管下
[00516.88-00520.40] 那形容觸发的管轢在这里面来看一下首先第一个呢
[00520.40-00522.80] 就是我们所提到的地域管轢
[00522.80-00524.72] 形容觸发谁可以管
[00524.72-00528.60] 大注意一下是違法行为发生地的行政机关
[00528.60-00529.52] 可以管轢
[00529.52-00533.76] 这个違法行为发生地主要还包括違法行为实施地
[00533.76-00536.16] 还包括相关的实施地以及结果发生地
[00536.16-00538.08] 就知道这件事发生在哪
[00538.08-00540.48] 哪个地方就有关下圈
[00540.48-00542.96] 比如说我做一个个体工商户
[00542.96-00544.56] 我在哪个地方
[00544.56-00547.52] 我再北京是海电区
[00548.52-00549.84] 搞了一个京区和证
[00550.52-00553.92] 你看我再北京是海电区
[00557.08-00558.00] 获得
[00560.80-00561.64] 区和证吧
[00561.64-00562.00] 好吧
[00562.00-00563.20] 获得了一个区和证
[00563.20-00564.84] 然后我在哪呢
[00564.84-00568.12] 我在北京市的顺利吧
[00568.12-00568.64] 好吧
[00568.64-00570.76] 假设我现在是在顺一区
[00570.76-00572.76] 違法 違法了
[00572.76-00574.76] 做了一個違法的事
[00574.76-00575.76] 那我就問一下大家
[00575.76-00576.76] 什麼叫違法行為發生電呢
[00576.76-00578.76] 我在北京是睡一去做了違法的事情
[00578.76-00580.76] 那這個時候如果要對我進行處法的話
[00580.76-00582.76] 是海電去弄處法我
[00582.76-00583.76] 還是睡一去弄處法我呢
[00583.76-00585.76] 違法行為的什麼電
[00585.76-00587.76] 違法行為的發生電
[00587.76-00588.76] 所以是誰
[00588.76-00590.76] 所以是睡一去可以處法我
[00590.76-00591.76] 明白了吧
[00591.76-00592.76] 那這個就叫做什麼
[00592.76-00595.76] 就叫這個就叫做違法行為的發生電
[00595.76-00597.76] 所以通知把違法行為發生電去的
[00597.76-00598.76] 不要出來
[00598.76-00599.76] 那第二一個就是
[00599.76-00601.56] 就是那竟然要出发的话
[00601.56-00603.96] 我们来看一下除了极别管强之外
[00603.96-00605.14] 那第二个我们来看一下
[00605.14-00606.36] 除了第一个管强之外
[00606.36-00607.68] 我们第二个来看一下极别管强
[00607.68-00611.12] 极别管强是一般形容出发是哪一个极别的呢
[00611.12-00613.72] 是线级以上的地方政府
[00613.72-00615.72] 具有相处发权的形容机关
[00615.72-00617.28] 一把线级以上化出来
[00617.28-00620.20] 比如说刚才我在顺一区做坏设的这个事
[00620.96-00623.04] 顺一区做了一个微发行为
[00623.04-00625.08] 那顺一区做了一个微发行为的话
[00625.08-00628.28] 那这个时候顺一区下啥的形容机关
[00628.28-00629.48] 可是太多了
[00629.48-00629.96] 对吧
[00629.96-00631.10] 那这个时候
[00631.10-00632.12] 没法行为
[00632.12-00633.58] 那这个时候我们就要知道
[00633.58-00636.42] 哪一个级别的行政计划可以管我
[00636.42-00637.56] 你如果到香港里面
[00637.56-00638.96] 你我确实是在睡一圈
[00638.96-00640.20] 我在睡一圈下面的
[00640.20-00642.30] 蒙蒙香的一个部门
[00642.30-00643.30] 蒙蒙香的一个部门
[00643.30-00644.72] 能不能对我刚才的围法行为
[00644.72-00645.68] 进行相当处罚
[00645.68-00646.20] 不行
[00646.20-00648.92] 比如说我们确定了在哪个范围之内
[00648.92-00649.92] 这个叫地域
[00649.92-00651.92] 我们还有明确是哪一个级别
[00651.92-00653.20] 那一般情况之下就是什么
[00653.20-00655.80] 就是现跡以上的地方政府
[00655.80-00657.92] 具有相处罚全的行政计划可以
[00657.92-00662.24] 所以他们两个呢 其实相对于一个是X走一个是外走
[00662.24-00664.60] X做标和外做标确定一个点
[00664.60-00667.88] 这个时候就把具体的管轢不能就确定下来了
[00667.88-00669.60] 所以在这里面大家要注意一下
[00669.60-00673.52] 而这个管轢的一般情况下会考的就是理解性的体目
[00673.52-00677.88] 在这里同标注意一下一个L所以管轢炮理解性的体目
[00677.88-00681.00] 这是我们所说的 有关于管轢的问题
[00681.00-00683.72] 在我下来说如果管轢存存在争议怎么办
[00683.72-00686.30] 說兩個以上的形容集官都有管查權
[00686.30-00691.76] 這時候叫由最先利案的行政集官來進關下
[00691.76-00693.42] 於一個事他發生了
[00693.42-00695.42] 對吧如果說多有部門都能管的話
[00695.42-00697.16] 那怎麼辦呢?最先管的那個
[00698.28-00699.28] 他有管查權
[00699.28-00701.12] 這時候叫最先利案的
[00701.12-00703.22] 如果說對於這兩個行政集官
[00703.22-00706.82] 就針對於這個事件到底該誰管發生了爭議怎麼辦
[00706.82-00709.08] 有爭議第一部先商量
[00709.08-00709.92] 商量不了
[00709.92-00714.26] 干嘛呢 把共同的上一集来进行指定
[00714.26-00717.10] 那这时候你可以去报情指定 也可以怎么样
[00717.10-00722.08] 也可以直接由我们所说的共同的上一集来进行
[00722.08-00724.56] 相用的直接指定 也收贵的
[00724.56-00726.82] 这个就是管一下全爭议的时候
[00726.82-00729.12] 我们需要去确定了一个点
[00729.12-00732.26] 那这是我们所说的行政普法的管想
[00732.26-00734.90] 所以行政普法管想呢 这里考理解行题目
[00734.90-00736.74] 他再去给我们设题的时候
[00736.74-00738.84] 那他一般情况下会给你一个案例说
[00738.84-00741.12] 这个是发生了他在规难地区管
[00741.12-00742.64] 那如果说这个是发生了
[00742.64-00744.40] A区也能处发款
[00744.40-00745.96] B区也能处发发款
[00745.96-00748.64] 那这个时候A区先立案了
[00748.64-00750.60] A区立案了两天之后
[00750.60-00752.36] 然后必须说发现了
[00752.36-00754.96] 比如说王某发现了王某实施了这个行为
[00754.96-00756.76] 然后必须要去管管王某
[00756.76-00759.76] 也给王某下达了处发的这样的相对决定
[00759.76-00760.92] 那这里面来看一下
[00760.92-00762.36] A区和B区都能管
[00762.36-00763.76] 是不是出现了管车的争业
[00763.76-00766.64] 管车争业水现来由A区先管
[00766.64-00768.04] A区相能不能线管
[00768.04-00768.54] 那拜拜
[00768.54-00769.80] 但这时候必须不服啊
[00769.80-00771.02] 比如说平常你现在呢
[00771.02-00771.32] 对吧
[00771.32-00772.78] 你假设你没有厉害
[00772.78-00773.74] 那我也想管一管
[00773.74-00774.38] 那这怎么办
[00774.38-00775.62] H和必须商量
[00775.62-00776.86] 商量不承论化怎么办
[00776.86-00779.74] H和必须找他们共同的上一集
[00779.74-00780.96] 行政机关来
[00780.96-00781.58] 指定管下
[00781.58-00782.38] 也可以怎么样
[00782.38-00783.58] 也可以直接
[00783.58-00785.04] 有共同的上一集指定管
[00785.04-00786.42] 就是上面的老大
[00786.42-00787.76] 看他要打得不可开销了
[00787.76-00789.20] 可以老大可以直接发生
[00789.20-00791.40] 也可以他们两个解决不了的去找老大
[00791.40-00792.12] 帮忙指定
[00792.12-00793.88] 都可以的
[00793.88-00794.44] 那这个呢
[00794.44-00797.08] 就是我们所说的有关于管下的问题
[00797.08-00798.72] 所以都管一下这个地方
[00798.72-00799.88] 大家一定要注意一下
[00799.88-00801.32] 你就简单的去实际就行了
[00801.32-00802.84] 因为一般情况在管一下这个地方
[00802.84-00804.48] 考得不会特别的难
[00804.48-00806.00] 所以在这里面大家注意
[00806.00-00808.28] 只是形容处罚的管下问题
[00808.28-00810.40] 缺定了形容处罚的管下之后
[00810.40-00812.08] 我们就来简单的回忆一下
[00812.08-00814.20] 就是形容处罚它的实施问题
[00814.20-00815.16] 形容处罚的实施
[00815.16-00816.80] 第一个实施的主体我们说了
[00816.80-00818.68] 就是谁能够管民
[00818.68-00819.00] 对吧
[00819.00-00819.72] 关管你
[00819.72-00821.52] 所以我们在这里讲的形容机关
[00821.52-00822.84] 形容机关的大家要注意一下
[00822.84-00825.00] 这里面的集中处罚的问题
[00825.00-00828.08] 就是并不是说你想怎么定的
[00828.08-00830.48] 所以在这里只有国务院和省政府来决定
[00830.48-00833.64] 第二个价值集中处法并不是所有的
[00833.64-00836.24] 它都能反行政居留它就做不了
[00836.24-00839.36] 所以在这里行政居留只能由公安集官来形势
[00839.36-00840.60] 被受权的组织
[00840.60-00842.40] 被委组织组织
[00842.40-00843.48] 咱们前面也讲过
[00843.48-00845.08] 这两点了解一下就行了
[00845.08-00846.56] 行政处法的话
[00847.28-00849.56] 在这里面太会涉一到管瞎的问题
[00849.56-00850.60] 首先第一个
[00850.60-00853.16] 我们要知道是有现金以上相应的
[00853.16-00854.96] 我们所说的形容机关来
[00854.96-00855.60] 关下
[00855.60-00856.74] 第二个是由
[00856.74-00858.72] 违法行为发生地的
[00858.72-00860.60] 我们所说的机关来关下
[00860.60-00862.76] 这是我们所说的所确定的地域关下
[00862.76-00864.56] 那如果两个地区都能关怎么办
[00864.56-00865.60] 最先利亚的管
[00865.60-00866.60] 那如果没有利亚
[00866.60-00867.80] 两个地区还都能关
[00867.80-00869.08] 那这有说些商量
[00869.08-00869.72] 商量不成
[00869.72-00870.32] 找谁
[00870.32-00870.92] 找老大
[00870.92-00872.36] 你就记得商量不成
[00872.36-00873.12] 找老大
[00874.60-00875.88] 就记得一个点
[00875.88-00877.32] 商量不成
[00877.60-00878.36] 找大哥
[00878.36-00879.08] 走开了
[00879.08-00883.98] 这个就是我们所说的行政处伐
[00883.98-00886.88] 它的一个管想和实施的问题
[00886.88-00889.08] 那么说了行政处伐比如说
[00889.08-00891.08] 它要把我关起来几天
[00891.08-00893.78] 或者说它要对我今天法款
[00893.78-00896.38] 或者是莫说我的非法财务
[00896.38-00898.08] 或者是非法所的反正无论怎么样
[00898.08-00900.78] 它只要是几位我相应的行政处伐
[00900.78-00902.38] 它是不是都要给我下达行政处伐
[00902.38-00903.18] 就一定说
[00903.18-00905.38] 所以在这里面就会设到一个什么问题
[00905.38-00906.58] 就是行政处伐
[00906.58-00908.58] 它的一个决定程序问题
[00908.58-00911.90] 因为他知道这形状处发决定书给我下起来
[00911.90-00913.94] 到他最后让我买款
[00913.94-00916.78] 然后我把他款交到相应的什么
[00916.78-00918.94] 相应的银行或者是指定的电子
[00918.94-00919.78] 支付系统等等
[00919.78-00921.26] 他其实需要一个过程了
[00921.26-00923.06] 所以这个地方就会睡到有问题
[00923.06-00924.78] 就是这个处发的程序
[00924.78-00927.78] 他到底是如何一步一步调定下来的
[00927.78-00930.06] 这个我们就要来看一下第六个问题
[00930.06-00932.30] 叫做形状处发的决定程序
[00932.30-00934.18] 这个形状的处发的决定程序
[00934.18-00936.78] 从红弯上来说的叫做一总
[00936.78-00938.78] 三成绪
[00938.78-00942.58] 这个一种只得就是我们要去了解一下
[00942.58-00944.38] 对形状处罚来说
[00944.38-00947.38] 他有哪些总的一般的规定
[00949.78-00951.78] 总的一般的规定
[00951.78-00953.58] 而这三个成绪分别是什么呢
[00953.58-00956.18] 这三个成绪分别是剪一成绪
[00956.18-00958.98] 第二个是一般成绪
[00958.98-00961.58] 第三个就是听正成绪
[00961.58-00962.58] 大家注意一下
[00962.58-00964.98] 这个点他的决定成绪考什么
[00964.98-00969.94] 第一個考察程序有哪些考察程序有哪些
[00969.94-00971.26] 如果說是變態的話
[00971.26-00974.74] 深臺考察過程序的派序這是第一個點
[00974.74-00979.42] 那第二個就是要考察各程序當中所包含那些細節
[00979.42-00982.94] 像這種處法程序它其實考理一些形的題目很難考
[00982.94-00986.30] 所以在細節這個地方往往會考中和變細的題目
[00986.30-00987.46] 所以大家注意一下
[00987.46-00991.18] 形容處法更多的內容其實在於大家的背順和記憶
[00991.18-00992.58] 它跟敏法不太一樣
[00992.58-00993.86] 民法这些内容呢
[00993.86-00995.14] 他就在我们生活身边
[00995.14-00997.06] 其实通过案例就能够分析出来
[00997.06-00998.86] 但是形政法这些东西
[00998.86-01001.10] 他其实更多的对我们来说一世呢
[01001.10-01002.70] 他对于大碰同的来说
[01002.70-01004.34] 他里我们生活比较远
[01004.34-01005.38] 第二个呢就是
[01005.38-01006.42] 他确实
[01006.42-01008.58] 如果小考历节人体目的内容呢
[01008.58-01009.86] 他的难度和深度
[01009.86-01011.34] 都相对来说会显一些
[01011.34-01013.18] 所以这地方大部分的内容呢
[01013.18-01014.86] 只是被送和记忆会骗多
[01014.86-01017.06] 所以在这里面大家可能要在形政法上去
[01017.06-01018.66] 像一些大的功夫
[01018.66-01020.42] 那这是他在考察上
[01020.42-01023.10] 他阻礼到的两个考察的角度
[01023.34-01025.02] 那理解了他怎么考之后呢
[01025.22-01026.38] 我们就来先来看一下
[01026.38-01029.82] 第一个就是有关于形容处法程序当中的一总
[01029.82-01032.14] 就是来看一下一个处法决定
[01032.14-01034.74] 他无论是实施核种程序
[01034.74-01036.02] 这个不能叫一般程序
[01036.02-01037.22] 这个普通程序
[01038.50-01039.38] 我解答写
[01039.94-01040.74] 普通程序
[01040.74-01042.66] 他无论实施哪一种程序
[01042.66-01046.34] 他都必须体现一定的程序原则
[01046.34-01049.22] 那这些程序原则就叫做一般规定
[01049.22-01052.62] 那这一般规定当中一般是5个
[01052.62-01054.42] 而我们在这里打讲
[01054.42-01057.26] 这个大家讲几个小的细节一点
[01057.26-01058.46] 因为其他的三个不讲
[01058.46-01059.10] 所以我们在这儿呢
[01059.10-01059.94] 这个他检话了
[01059.94-01061.82] 我们来看一下在一般规定当中
[01061.82-01063.30] 就是我们所提到的
[01063.30-01064.14] 这三个程序
[01064.14-01066.02] 他可能都遵循的一些规则
[01066.02-01067.02] 到底有哪些
[01067.02-01067.94] 首先第一个呢
[01067.94-01069.22] 同时在说话一下
[01069.22-01070.66] 他说行政处罚呢
[01070.66-01071.98] 应当话观点此
[01071.98-01073.54] 我在这里给来标注出来
[01073.54-01075.46] 说应当有
[01075.46-01080.38] 看一下 有具有行政執法資格的執法人員實施
[01080.38-01084.94] 也就是在這裡面他提到的第一個點 就是想要行政處法
[01084.94-01089.54] 他必須是這個機關當中的正式工作人員
[01089.54-01092.02] 聯實公行項 聯實公指的是不行的
[01092.02-01093.22] 所以在這裡面他注意一下
[01093.22-01094.66] 小時候是行政處法
[01094.66-01098.50] 他應到有具有行政執法資格的執法人員
[01098.50-01100.30] 來實施 聯實公是不行的
[01100.30-01103.30] 你必須是一個單位通過正常的招頻度
[01103.30-01105.34] 用所招路的正常工作人員
[01105.34-01108.48] 在边的 明白吧 连市公不行 这是第一个细节
[01108.48-01111.38] 第二个就是 它如果要对进行行政处罚的话
[01111.38-01113.56] 一般请问一下 执法人员不得少于几任
[01113.56-01116.94] 不得少于两个人 不得少于两任
[01116.94-01118.66] 所以这是第一个细节
[01118.66-01121.90] 它如果说行政处罚应当有相应的工作人员
[01121.90-01124.34] 那不是普通的工作人员 临时工就不行
[01124.34-01127.54] 一人来进行执法不行 两人
[01127.54-01128.94] 至少不得少于两人
[01128.94-01132.02] 所以这是第一个我们所说的人数上的要求
[01132.02-01135.54] 第二个就是在我们除了人数要求之外的
[01135.54-01137.14] 还有一个就是回避要求
[01137.14-01138.58] 回避要求直法人员
[01138.58-01141.06] 如果与案件有直接的历害关系的话
[01141.06-01143.14] 比如说想要基于你相当的形容触发
[01143.14-01146.34] 你发现比如说我在马路上把人给大了
[01146.34-01148.74] 这个时候公安局警察师傅
[01148.74-01150.50] 他说就来处理这个事情
[01150.50-01152.74] 然后这两个人就说你是不是就结瑞
[01152.74-01153.54] 我是设计师
[01153.54-01154.42] 他说你收拔他大了
[01154.42-01155.14] 我是设计师
[01155.14-01156.74] 是把人后逃压打掉了
[01156.74-01157.38] 我是设计师
[01157.38-01158.18] 他说那好的
[01158.18-01159.70] 说登句之安管理触发法
[01159.70-01160.90] 或者是根据什么什么法
[01160.90-01161.30] 对吧
[01161.30-01162.84] 然后你呢因为打人这个事儿
[01162.84-01165.40] 然后呢我们要急于你什么要的形容处理
