[00000.00-00004.74] 稍分大家好,今天我們接著來學習民法的內容
[00609.56-00610.46] 大家注意一下
[00611.06-00611.70] 这是第一个
[00611.70-00613.22] 叫做書面形式
[00613.22-00614.82] 第二个就口头形式
[00614.82-00617.30] 口头形式就是以对话的方式呈现的
[00617.30-00619.50] 它没有我们所说的有形的在体
[00619.50-00621.86] 所以在富內容的追蹤就叫做扣頭
[00621.86-00623.46] 比如說我舉個簡單的例子
[00623.46-00625.62] 我說愛由你人不錯
[00625.62-00626.82] 我說你學習很努力
[00626.82-00627.74] 我也很喜歡你
[00627.74-00628.46] 對不對
[00628.46-00629.50] 那你看這樣吧
[00629.50-00631.22] 為了鼓勵大家成功上案
[00631.22-00632.14] 我這個人呢
[00632.14-00632.90] 別的沒有
[00632.90-00633.82] 我只有什麼呢
[00633.82-00637.18] 我只有一個祖传的小天才兒通手錶
[00637.18-00637.54] 對吧
[00637.54-00639.06] 我這個小天才兒通手錶
[00639.06-00640.98] 從很多本人以前就開始傳了
[00640.98-00642.98] 如果你要是考上的話
[00642.98-00645.18] 那我就把小天才兒通手錶
[00645.18-00645.86] 送給你
[00645.86-00647.74] 我說這個小天才兒通手錶
[00647.74-00649.06] 價值200元
[00649.06-00652.02] 價格不肥喔 你一天我的天啊 對吧
[00652.02-00654.26] 錢不錢都不重要 組穿不組穿不重要
[00654.26-00656.46] 重要的是想要這個小天才會同手錶
[00656.46-00658.06] 然後我把這段話
[00658.06-00660.02] plypala給你一頓飆輸出的時候
[00660.02-00661.74] 你說OK老師
[00661.74-00662.98] no problem
[00662.98-00665.14] 你看 我在向你去陳叔叔
[00665.14-00666.74] 如果你考上了
[00666.74-00668.58] 我就把我的小天才
[00668.58-00672.14] 講我就把我價值兩代人的小天才會同手錶
[00672.14-00673.34] 縱給你
[00673.34-00674.82] 這是會向你發出了
[00674.82-00677.38] 要約啊 你說老師OKno problem
[00677.38-00678.94] 你就說給了我做出了什麼
[00678.94-00680.74] 承諾而這承諾也到達給我了
[00680.74-00683.22] 這時候你看它有沒有有形的在體
[00683.22-00683.82] 沒有
[00683.82-00685.82] 但是這一刻在說完的時候
[00685.82-00686.78] 增於合同
[00686.78-00689.54] 或者是要復條件的增於合同就要成立了
[00689.54-00690.98] 這個就是什麼形式
[00690.98-00692.38] 這個就是我們所說的
[00692.38-00693.66] 口頭形式
[00693.66-00695.34] 所以在這裡面我們看一下
[00695.34-00697.50] 它是由我們所說的有書面有口頭
[00697.50-00698.70] 當然合同的定例
[00698.70-00699.58] 還有一些其他的形式
[00699.58-00702.02] 比如說行為等等這些些都算
[00702.02-00703.74] 但是在考試當中最長好的
[00703.74-00705.38] 就是書面和口頭
[00705.38-00706.74] 這地方考察
[00706.74-00708.58] 它就會給你一個安利
[00708.58-00710.06] 这家案例考不就表简单
[00710.06-00711.98] 给你说了什么一大对应
[00711.98-00712.34] 对吧
[00712.34-00713.66] 一会儿我们做题的说会看到
[00713.66-00714.18] 然后问
[00714.18-00715.82] 说他这个合同的定例
[00715.82-00717.42] 他是采取的什么形式
[00717.42-00719.94] 你只要看到是由有型的在体的
[00719.94-00722.02] 他都属于什么
[00722.02-00723.58] 数面形式就可以了
[00723.58-00725.74] 所以这是第一个合同的形式
[00725.74-00727.74] 在这里面所设计到的考虑
[00727.74-00728.74] 打住一下
[00728.74-00729.74] 这是第一个
[00729.74-00730.78] 那知道了合同
[00730.78-00734.22] 他要么是数面的这种表达形式
[00734.22-00736.50] 要么是这种扣头的这种表达形式
[00736.50-00737.82] 这都没有问题 对吧
[00737.82-00740.74] 但是问题就在于我们了解了河通形势之后
[00740.74-00742.54] 我们还要进一步地去探纠
[00742.54-00746.78] 这个河通到底是怎么一步一步形成的
[00746.78-00750.50] 有很多同学在这里就会产生一个概念上的一个混乡
[00750.50-00752.82] 说老师这个河通的形成很简单
[00752.82-00754.22] 我们经常就看到说
[00754.22-00756.46] 你看现在什么大公司
[00756.46-00758.26] 有可能有同学就是学法律專業的
[00758.26-00759.82] 对吧你之前做过法务
[00759.82-00761.46] 我们天天就给人你河通
[00761.46-00762.70] 你比如说想过小们对吧
[00762.70-00763.74] 他就反应着专业了
[00763.74-00765.06] 他现在在高德
[00765.06-00766.26] 然后天天给人做法务
[00766.26-00767.88] 搞那种合同 天天去使
[00767.88-00770.60] 人老师那就是把这个合同
[00770.60-00772.80] 就是去使人一下 把那种写出来
[00772.80-00774.52] 这个时候合同不就成一了吗
[00774.52-00776.40] 同们咱们的意义上
[00776.40-00778.14] 咱们的理解的物具上在什么
[00778.14-00780.38] 你说老师比如说什么什么什么
[00780.38-00781.94] 合同说 对吧
[00781.94-00783.90] 人老师我是把这个合同
[00783.90-00785.90] 条款都给你写出来
[00785.90-00789.54] 这个时候 然后这上面写上 夹方
[00789.54-00790.78] 然后以方
[00790.78-00793.10] 你说老师我就咖啡在这天子是不是就行了
[00793.10-00794.50] 这个合同就定力了
[00794.50-00796.02] 同一们你会屋以为
[00796.02-00800.58] 我所写的合同书里面的所调判就叫做合同
[00800.58-00802.82] 而我这个调判就意味着合同的定力
[00802.82-00803.66] 其实不是的
[00803.66-00806.14] 合同书里面这一行一行的文字
[00806.14-00808.38] 他叫做合同的内容
[00808.38-00812.42] 而我们所说的合同是如何成立的成立是一个什么
[00812.42-00814.18] 成立是一个过程
[00814.18-00818.50] 在合同定立的这个过程里面内容只是其中的一个部分
[00818.50-00820.54] 我们接下来要去学习的是什么
[00820.54-00821.78] 要去学习的是
[00821.78-00822.78] 去看一看
[00822.78-00826.74] 这个合同是如何一步一步的签定的
[00826.74-00830.34] 如何一步一步的约定双方当事人的
[00830.34-00833.10] 它是一个过程一个步骤一个流程
[00833.10-00836.46] 这个时候合同的成立或者合同的定例
[00836.46-00840.02] 它就会涉及到一些时间点位上的概念
[00840.02-00841.14] 能理解这个意思吧
[00841.14-00842.82] 所以我们接下来就来看一下
[00842.82-00846.74] 我们所说的合同它到底是如何成立的
[00846.74-00848.82] 合同成立或者合同定例
[00848.82-00851.58] 它的一般方式是要经过两个步骤的
[00851.58-00854.90] 一个部长叫做要约一个叫做承诺
[00854.90-00857.22] 也就是整个在时间线上
[00857.22-00860.62] 我们如何一步一步的去让这河头约定双方当时人
[00860.62-00863.46] 那就一定是有两个部长
[00863.46-00865.06] 第一个部长叫做要约
[00865.06-00866.42] 你说老师傻是要约呢
[00866.42-00867.70] 咱们来看一下
[00868.42-00869.18] 他说
[00869.18-00871.06] 说这个要约
[00871.06-00875.90] 他说是希望和他人定力合同的意思表示
[00875.90-00877.86] 所以你看河头的成立
[00877.86-00880.06] 一定是先有一方当时人有一
[00880.06-00883.78] 比如说我想把我的小天才而通收表增与给你
[00883.78-00885.86] 那我一定是先要有一个什么
[00885.86-00888.38] 相有一个增与的意思表示
[00888.38-00889.78] 对吧所以在这里你看
[00889.78-00894.10] 所有的要乐就是希望和他人定力合同的意思表示
[00894.10-00895.86] 就是一定是有一方当时先啟动
[00895.86-00898.70] 他产生这个想法才能达成说方的合意
[00898.70-00901.14] 所以在要乐的概念上
[00901.14-00903.74] 大家注意一下就做希望和他人定力合同
[00903.74-00907.50] 就是我想把我的小天才而通收表增与给你
[00907.50-00909.30] 但是在这里面有一个考虑
[00909.30-00913.10] 就是所謂的要願 它其實就做意思表示
[00913.10-00915.10] 你如果老師意思表示是什麼呢
[00915.10-00918.22] 意思表示我們去理解它 就是拆分
[00918.22-00920.22] 我之前其實給大家說過我說
[00920.22-00921.98] 民法其實就是要做什麼
[00921.98-00923.18] 就是做解釋嘛
[00923.18-00926.22] 就是把這裡面的一些詞都給它拆解開來
[00926.22-00928.18] 你就知道它是啥意思了
[00928.18-00930.06] 希望和它人定力合同
[00930.06-00931.70] 這本身是一個我的什麼
[00931.70-00932.90] 那在想法
[00933.54-00934.74] 所以意思表示呢
[00934.74-00936.62] 它其實是有兩種的
[00936.62-00938.06] 第一個叫做意思
[00938.06-00941.54] 意思他同学们看一下他是内在的还是外显的
[00941.86-00945.82] 我说我就坐在这,我说这个同学真不就在坐在这儿就在想啊
[00945.98-00949.46] 我感觉大家还是比较支持我讲课的时候
[00949.46-00952.78] 我这个时候就每天坐在那个地方不断的编辞子就很感动
[00952.78-00958.06] 然后就不断的有同学在后台私线跟我去聊天儿聊学戏上的一些新的和交流
[00958.06-00960.14] 我当然就想一样,这同学真不错
[00960.14-00962.34] 我说他真的是能够考上的
[00962.34-00963.90] 然后我就天天坐在那儿想
[00963.90-00965.70] 我就在想说他太有秀了
[00965.70-00969.90] 那心里就是开始各种想法文思全有
[00969.90-00971.10] 那些问哪分头吗
[00971.10-00973.90] 我当初就想过一定要等他考上之后
[00973.90-00978.30] 把我的价值200块钱的小天才是同手表送给他
[00978.30-00981.10] 你看这个时候是我自己坐在那里想
[00981.10-00982.30] 明白吗同学们
[00982.30-00985.10] 我坐在那里想这个就叫做什么意思
[00985.10-00987.70] 意思他其实是你的主观
[00987.70-00990.10] 或者是内心的这样的一个想法
[00990.10-00992.50] 这是你在心里的这个叫做意思
[00992.50-00996.42] 但是我说了如果这个想法一直在我的心里
[00996.42-00999.38] 我能不能让对方知道不能让对方知道
[00999.38-01000.86] 所以你这个意思一定要怎么样
[01000.86-01002.14] 一定要外换
[01002.14-01004.82] 所以要对外要怎么样表示出来
[01005.98-01007.10] 对外要表示出来
[01007.10-01009.82] 所以表示它就是一个外部
[01009.82-01011.90] 所以什么叫做钥与同学
[01011.90-01015.54] 所以的钥与就是你有一个内心的想法
[01015.54-01018.54] 你要把你这个内心的想法表现出来
[01018.54-01021.38] 所以这个就叫做意思表示
[01021.38-01022.78] 这个就要做意识表示
[01022.78-01024.78] 所以在这里面大家一定要注意
[01024.78-01026.14] 我们来看一下
[01026.14-01028.06] 要运它是一种意思表示
[01028.06-01028.94] 换句话说就是
[01028.94-01032.22] 把你想跟人定力合同的内心的小法
[01032.22-01033.42] 外话出来
[01033.42-01035.26] 这个就叫做意思表示
[01035.26-01037.30] 我们来看一下要运
[01037.30-01038.50] 也就是意思表示
[01038.50-01040.18] 它有什么样的特征
[01040.18-01041.62] 特征在这个地方
[01041.62-01045.74] 它给到了说要运是有特定人做出的意思表示
[01045.74-01047.10] 啥哪个特定人
[01047.10-01048.22] 就是要运人
[01048.22-01049.14] 就是我
[01049.14-01052.10] 就是我想资源你小天才会从手表的我
[01052.10-01054.62] 必须是由一方当时做出的
[01054.62-01058.30] 所以他说要约是特定人做出的意思表示
[01058.30-01059.78] 这个地方了解一下就行了
[01059.78-01060.66] 第二个呢
[01060.66-01064.94] 他说要约必须要具有定力合同的意图
[01064.94-01067.50] 因为我们现在讲的就是合同的成立
[01067.50-01069.86] 如果我不想跟你定力合同
[01069.86-01071.26] 我对你发出的这个要约
[01071.26-01073.02] 他没有办法产出约数作用
[01073.02-01076.02] 所以在这里他说必须有定力合同的意思表示
[01076.02-01077.70] 就是我想跟你定力合同
[01077.70-01081.10] 所以要約人必須向受要約人發出
[01081.10-01082.50] 什麼叫受要約人發出呢
[01082.50-01084.50] 就是你想和誰定力合同
[01085.10-01087.50] 你就給誰發要約就行了
[01087.50-01088.30] 也就換句話說
[01088.30-01090.50] 我想和誰定力正與合同
[01090.50-01092.10] 我就把我內心的想法
[01092.10-01093.70] 向誰訴說就行了
[01093.70-01097.10] 你說老師為什麼他必須是想受要人發出呢
[01097.10-01098.50] 因為我們在講合同的時候
[01098.50-01099.90] 經常會用到一個原理
[01099.90-01101.90] 叫合同的相對性
[01101.90-01103.50] 有著合同是約說
[01103.50-01106.30] 雙方或者是多方當事人的
[01106.30-01108.62] 如果你不像受要有人發出
[01108.62-01111.62] 那這個時候他不接受意思約束
[01111.62-01112.98] 合同沒有跟他成立
[01112.98-01115.34] 如果他不接受你的意思表示
[01115.34-01116.74] 不接受這個約束的話
[01116.74-01118.58] 最後責任誰承擔呢
[01118.58-01119.70] 一無誰旅行呢
[01119.70-01120.86] 這時候就不特定了
[01120.86-01124.66] 所以在這裡他說了必須像受要人發出
[01124.66-01126.38] 那這些都是相對來說
[01126.38-01127.38] 比較簡單的
[01127.38-01129.10] 一二三看一下就行了
[01129.10-01132.06] 為了防止同學們給他背下來為了圈插掉
[01132.06-01133.26] 周年在那呢
[01133.26-01134.38] 周年在第四個點
[01134.38-01136.06] 同一把第四點話出來
[01136.06-01139.44] 它是一个理解形面的一个细节上的点
[01139.44-01141.30] 它说要约的内容
[01141.30-01144.32] 也就是我那些意思的这个表示
[01144.32-01147.88] 它必须是具体的确定的
[01147.88-01149.12] 你把这个画出来
[01149.12-01152.48] 就是要约的内容必须是具体的确定的
[01153.08-01154.16] 把它画出来
[01154.16-01157.32] 就是要约的内容必须是具体的确定的
[01157.32-01160.56] 这个要约的内容它必须是具体的确定的
[01160.56-01164.70] 它的整体上它会有一个混小的考察点
[01164.70-01166.94] 咱們先來看一下什麼叫做具體確定
[01166.94-01168.50] 它所謂的具體
[01168.50-01170.30] 是只要約的內容
[01170.30-01173.22] 也就是我想對你發出的意思表示
[01173.22-01173.74] 明白吧
[01173.74-01175.14] 這個叫做要約的內容
[01175.14-01177.38] 它說要約的內容是
[01177.90-01182.22] 跨下是合同成立所必須的條款
[01182.22-01184.06] 也就是主要條款
[01184.06-01186.34] 這個叫做什麼叫具體業
[01186.34-01188.46] 第二個叫做確定
[01188.46-01192.06] 這個確定是內容必須免確
