[00000.00-00004.76] 好,那我们了解了河通是如何一部一部定力之后呢?
[00174.04-00175.56] 也认为在这个地方李外里
[00175.56-00178.12] 其实出现了两份合同关系
[00178.12-00179.52] 所以在这里面大家注意一下
[00179.52-00180.72] 这是第一个清常
[00180.72-00183.32] 但是清常正常情况之下就是你按照
[00183.32-00184.88] 合同约定去旅行
[00184.88-00186.96] 但是如果女旅行不了的
[00186.96-00188.12] 接规已经到满了
[00188.12-00190.52] 那这个时候就有一个代务清常在
[00190.52-00192.36] 所以出现了代务清常
[00192.36-00193.88] 同时不要墨生 好吧
[00193.88-00196.00] 这是我们所说的第一个
[00196.00-00198.00] 有关于清常的问题
[00198.00-00202.00] 那第二个呢就在这里面提到了叫做底销
[00202.00-00203.50] 底销是啥意思呢
[00203.50-00208.50] 其实底销在本质上就是说咱们两个双方互富战权战务
[00208.50-00211.00] 我千年十万块钱
[00211.00-00213.00] 你也千我十万块钱
[00213.00-00215.00] 当然了这个数顾不一定都是十万十万
[00215.00-00219.00] 但是大概就是这个意思就是双方互富战权
[00219.00-00221.00] 互富战务也就是我们所说的
[00221.00-00223.00] 底销他存在的条件
[00223.00-00226.20] 第一个是双方一定是存在互战的
[00226.20-00227.48] 我欠你钱
[00227.48-00228.48] 你也欠我钱
[00228.48-00229.56] 不仅是互战
[00229.56-00232.16] 而且要求咱们两个双方债务的
[00232.16-00234.88] 标地务一定是同类的
[00234.88-00237.08] 比如说都是金钱之债
[00237.08-00238.88] 或者都是几副之债
[00238.88-00241.64] 同时我们所说的叫做主动债权
[00241.64-00242.48] 以到期
[00242.48-00244.48] 这个时候到期的这一方
[00245.40-00247.08] 叫主动债权
[00247.08-00248.32] 以到期
[00248.32-00250.12] 这个时候到期的那一方
[00250.12-00251.80] 就可以主动提出来
[00251.80-00252.96] 我们所说的什么
[00252.96-00253.96] 这五底销
[00253.96-00256.36] 九个简单的例子还是小一核小弊
[00256.36-00258.36] 小A小小弊
[00258.36-00260.52] 接了十万块钱
[00260.52-00261.96] 接了十万
[00261.96-00264.36] 这十万是用于生产的
[00264.36-00266.36] 借七为一年
[00266.36-00268.40] 那这个时候到一年之后
[00268.40-00270.12] 小A没有还上小弊的钱
[00270.12-00272.20] 这个时候小B突然想起来说小A
[00272.20-00273.56] 所以就钱不用花了
[00273.56-00275.76] 说早在两年前
[00275.76-00277.40] 早在两年前
[00277.40-00278.04] 你呢
[00278.04-00279.96] 接了五十万块钱
[00279.96-00283.36] 那这种情况之下你看
[00283.36-00287.20] 是不是一年之后小业和小弊之间的战券这无关系到期
[00287.20-00291.60] 但是早在两年前小弊也问小A借了十万块钱
[00291.60-00296.16] 那这里面我们会发现他们两个首先是不是恢复战务的
[00296.16-00298.60] 也就是小A借小B钱小B借小以前
[00298.60-00300.16] 这个叫做第一个护战
[00300.16-00302.36] 第二个他们两个之间的这个战
[00302.36-00303.56] 标地务都是什么
[00303.56-00306.76] 都是金钱都是金钱货币之战
[00306.76-00307.16] 对不对
[00307.16-00308.96] 所以在这里他是同类的
[00308.96-00311.06] 第三个是主动战略到期
[00311.06-00312.56] 在这里面两年前
[00312.56-00314.56] 小毕竟应该把钱还给小爷了
[00314.56-00315.86] 但可能是小毕忘了
[00315.86-00320.16] 突然小爷借气了前面还上的是小毕突然太脑的想起的事
[00320.16-00324.06] 于是小毕他就主动提出跟小爷说他这样
[00324.06-00326.56] 这个钱怎么样就不用还给我了
[00326.56-00326.96] 对吧
[00326.96-00328.60] 那这个就是我们所说的什么
[00328.60-00329.24] 底销
[00329.24-00331.74] 所以底销的条件要求护债同类
[00331.74-00332.96] 主动战略到期
[00332.96-00334.56] 你说老师如果不底销
[00334.56-00335.96] 不底销多麻烦
[00335.96-00338.16] 小毕先把钱还给小爷
[00338.16-00339.76] 小爷拿到时安快捷说获
[00339.76-00341.24] 你把钱还我了对不对
[00341.24-00342.24] 我也欠你时安
[00342.24-00343.96] 我在把这时安快钱给你
[00343.96-00345.80] 你这不是属于FRVN事吗
[00345.80-00346.08] 对吧
[00346.08-00348.04] 所以在这里面就可以提什么
[00348.04-00348.92] 就可以提
[00348.92-00349.80] 底销案
[00349.80-00351.36] 所以在这里大家知道底销
[00351.36-00352.80] 它大概是什么情况
[00352.80-00354.80] 你在这里面它的细节的点
[00354.80-00356.80] 就是在我们所提到的
[00356.80-00360.80] 比例是双方户户户的是什么
[00360.80-00361.80] 是同类的
[00361.80-00363.32] 我们所说的这种债权
[00363.32-00364.80] 我刚才所说了双方
[00364.80-00366.84] 借钱都是我们所说的
[00366.84-00371.18] 貨幣之戰 那如果說一方欠錢 一方欠東西
[00371.18-00373.12] 這個時候能不能抵消 不行
[00373.12-00375.74] 因為他們兩個之間不是同類的
[00375.74-00379.12] 所以在抵消這塊 戰術戰術戰務關係也可以消滅
[00379.12-00380.78] 這個戰權戰務關係的消滅
[00380.78-00383.12] 被稱為合同權利物的終止
[00383.12-00386.56] 這是抵消 那造反下的就是提存
[00386.56-00389.36] 提存咱們在前面其實有見過
[00389.36-00390.90] 我不知道大家有沒有印象了
[00390.90-00393.20] 我們再講 目前的時候
[00393.20-00394.40] 又给大家说到
[00394.40-00396.28] 误权当中的第2权
[00396.28-00398.56] 我们说了第2权他不转一站有
[00398.56-00399.36] 也就意味着
[00399.36-00401.00] 如果你去设立第2权的时候
[00401.00-00402.72] 第5是拍在你手脸
[00402.72-00405.32] 如果第5还在你手里的话
[00405.32-00406.60] 这个东西就是你的
[00406.60-00408.08] 你怎么处分他
[00408.08-00408.84] 都不过分
[00408.84-00409.68] 可不可以吗
[00409.68-00410.28] 可以
[00410.28-00411.84] 可不可以再给别人设立第2权
[00411.84-00412.28] 可以
[00412.28-00412.96] 可不可以再这个
[00412.96-00414.84] 误权在设立这下权可以
[00414.84-00416.40] 你想怎么搞就怎么搞
[00416.40-00417.28] 只我在这里
[00417.28-00419.12] 我们再讲处分的时候提到一个点
[00419.12-00421.12] 这是如果你站有第5
[00421.12-00423.12] 比如说你把你的房子给我了
[00423.92-00424.52] 对吧
[00424.52-00426.48] 你把房子给我之后呢
[00426.48-00428.04] 已经办理完了
[00428.04-00429.12] 底压登记
[00429.12-00430.72] 底压权已经涉利了
[00430.72-00431.96] 但是你住了一个时间说
[00431.96-00433.44] 这房子我不想住了
[00433.44-00435.44] 你把这个房子卖出去
[00435.44-00436.24] 我们说了
[00436.24-00438.52] 涉利底压权的不动产
[00438.52-00440.40] 你在对外卖的时候
[00440.40-00441.36] 可不可以卖
[00441.36-00442.88] 当然可以卖东西是你的
[00442.88-00444.08] 你像咱卖就咱卖
[00444.08-00445.60] 续不需要经过我
[00445.60-00446.16] 同意啊
[00446.16-00447.44] 因为你把房子给我了
[00447.44-00448.80] 我是底压权人
[00448.80-00450.56] 续不需要经过我同意
[00450.56-00451.64] 当然不需要
[00451.64-00453.76] 既然不需要经过我的同意的话
[00453.76-00455.96] 那这个时候有同学就非常善良
[00455.96-00457.36] 他就担心了老师
[00457.36-00459.32] 你看你是迭权人呐
[00459.32-00460.80] 他把你的房子卖掉了也
[00460.80-00462.04] 他把你的房子
[00462.04-00463.20] 他把房子卖掉了也
[00463.20-00465.28] 他是不是会亲爱你的权异
[00465.28-00467.28] 你的担心非常正确
[00467.28-00468.60] 一点都不多于
[00468.60-00470.08] 那这个时候我可以怎么办
[00470.08-00471.52] 他是不是即使通知我
[00471.52-00473.52] 他要把这个房子卖出去
[00473.52-00476.52] 如果我认为他卖房子的行为
[00476.52-00477.68] 将亲爱我的权异
[00477.68-00478.88] 咱们当时怎么说的
[00478.88-00482.12] 说可以要求抵挨人提前清常債務
[00482.12-00482.56] 对吧
[00482.56-00484.28] 你可以卖房间先把钱还我吗
[00484.28-00485.44] 这要提前清常
[00485.44-00489.20] 或者就是卖的架款提存
[00489.20-00491.88] 这个时候我们是不是提到了一个概念叫做提存
[00491.88-00492.64] 提存
[00492.64-00494.32] 它也是债权债务关系
[00494.32-00495.96] 消灭的原因之一
[00495.96-00497.08] 很多同学
[00497.08-00498.00] 他就说老师
[00498.00-00499.00] 这个提存
[00499.00-00500.20] 他到底是啥意思呢
[00500.20-00501.28] 就是我
[00502.24-00503.40] 在这种情况之下
[00503.40-00505.00] 比如说这个房子卖卖了
[00505.00-00505.88] 房子卖卖了之后
[00505.88-00506.52] 这个钱
[00506.52-00507.92] 你放在提存机关
[00507.92-00508.64] 不要动
[00508.64-00510.42] 因為我怕你到時候還不上啊
[00510.42-00513.90] 所以在這裡面就可以把錢放在提存機關這一塊
[00513.90-00518.54] 所以所謂的提存是在全人無正當理由拒絕受理
[00518.54-00519.86] 就是我想罵先給你
[00519.86-00522.26] 或者是在這裡面我想把東西給你
[00522.26-00523.66] 你不要那這時候怎麼辦
[00523.66-00525.20] 我就像提存機關提存
[00525.20-00528.02] 讓提存機關幫我保管到棄的時候
[00528.02-00531.50] 你想這個在全人像提存機關就那一定費用的時候
[00531.50-00532.46] 把東西拿走
[00532.46-00534.50] 比如在這裡面找到了一個中間人
[00534.50-00536.10] 這你說老師還有人
[00536.10-00536.82] 还有人这样呢
[00536.82-00537.94] 这是我还他东西
[00537.94-00538.82] 他居然不要
[00538.82-00540.66] 这个现任生活当中有很多的
[00540.66-00543.66] 因为比如说你要提前像我清澹債務的时候
[00543.66-00546.46] 你把你家的大翻斗车给我
[00546.46-00546.94] 对吧
[00546.94-00549.30] 那翻斗车我朝那儿放啊
[00549.30-00549.54] 对吧
[00549.54-00550.38] 我也没地方放我
[00550.38-00551.46] 我觉得反而很麻烦
[00551.46-00552.54] 所以这个东西我就说
[00552.54-00553.50] 你要像我还債
[00553.50-00554.22] 我呢
[00554.22-00556.26] 看了到你要给我还債的这个信息
[00556.26-00557.06] 但我没理你
[00557.06-00559.06] 我也电话我也不接你的
[00559.06-00560.30] 然后微信念联系不上
[00560.30-00561.18] 短信我也不回
[00561.18-00562.86] 你这个时候你实在没有办法了
[00562.86-00564.06] 你又说到期了
[00564.06-00564.78] 你要还債
[00564.78-00566.06] 你不想承担为一个责任
[00566.06-00568.06] 你又找不到还在的这个人怎么办
[00568.06-00569.40] 像提存机关提存
[00569.90-00571.70] 所以一旦像提存机关提存
[00571.70-00573.74] 就意味着你的债务理经
[00573.74-00574.64] 旅行完毕了
[00574.64-00575.74] 债程债务关系
[00575.74-00576.56] 小面
[00576.56-00578.22] 所以大家知道这个提存
[00578.22-00580.66] 它是债权人无证当旅游拒绝领售
[00580.66-00581.42] 就可以了
[00582.26-00584.18] 那这是第三个提存人
[00584.18-00586.02] 第四个呢就叫做面厨
[00586.02-00586.86] 面厨很简单
[00586.86-00587.90] 就是三个月点好了
[00587.90-00588.86] 我跟你说 iW说
[00589.62-00590.38] 我不要了
[00590.38-00590.70] 对吧
[00590.70-00591.46] 你比如说
[00591.86-00592.86] 小业和小闭
[00592.86-00594.26] 小业借了小闭
[00594.26-00597.08] 十按 小 A 问 小 币 借了十按块钱
[00597.08-00598.86] 到期之后 小 币就说
[00598.86-00600.90] 行了 这钱 我不要了吧 对吧
[00600.90-00603.22] 那这里面其实最少个是嘛 面厨
[00603.22-00605.34] 所以面厨是也消灭
[00605.34-00608.86] 在为目的 像战务人做出 抛弃战权的行为
[00608.86-00611.10] 就是你不要了 主动放弃 对吧
[00611.10-00613.72] 所以在这里面大家注意下 这是面厨
[00613.72-00616.28] 那造了下 就提到了做 混同
[00616.28-00617.56] 混同是啥意思呢
[00617.56-00619.10] 大家注意下 混同
[00619.10-00620.62] 你在这里击个简单的概念
[00620.62-00622.94] 你只要能判断出来 它是混同就行
[00622.94-00627.54] 所以混同就是戰權人和戰務人是同一個人
[00629.34-00635.74] 戰權人是同一個人
[00637.28-00639.08] 或者說老師還能這麼玩呢?
[00639.08-00640.86] 所以戰權人和戰務人是同一個人啊
[00640.86-00644.44] 那這種情況之下在生活當中也是很多的
[00644.44-00646.44] 比如说小 A
[00647.90-00648.54] 像
[00649.04-00650.58] 大 A 借钱
[00650.84-00652.38] 老师小一大一什么关系
[00652.64-00654.68] 小一和大A是负责关系
[00656.74-00657.88] 所以这里面你看
[00658.00-00659.28] 小一像大A借钱
[00659.54-00661.08] 也就是像他爹借了个二人
[00661.34-00662.10] 借了十万块钱
[00662.36-00666.20] 然后还没有等到像他父亲还款的时候他的父亲
[00666.46-00667.74] 已经1200岁了
[00668.00-00670.80] 1200岁之后怎么样最后受中政权和爹去世了
[00670.80-00675.36] 那这个时候你看如果说大一区是之后会出现什么情况
[00675.36-00679.76] 大一区是之后小业是不是基层了大一的小业基层了大一的财产
[00679.76-00684.16] 贷扣基层就记忆基层他的财产也基层了他的责物
[00684.16-00688.16] 对吧所以这个时候你看说出现了小业基层了大一的财产
[00688.16-00689.60] 大一所有的钱都小业的
[00689.60-00691.44] 也贷扣基层了大一的责物
[00691.44-00695.12] 那当时大一的责物里面是为有小业相自己借的
[00695.12-00698.40] 十万块钱的所以你看原本小业是什么
[00698.40-00700.12] 小夜市债物人
[00700.12-00701.96] 但是他父親去世之後小夜
[00701.96-00703.52] 又是自己的债權人
[00703.52-00706.56] 是不是债權和债物是同位同一個人
[00706.56-00708.24] 债權债物同一個人的話
[00708.24-00709.52] 這個時候就叫有什麼
[00709.52-00710.48] 就叫做混同
[00710.48-00712.08] 那你覺得债有不要嗎
[00712.08-00714.16] 有不要說小夜相特的父親
[00714.16-00715.36] 把這個錢燒過去
[00715.36-00716.56] 然後燒過去之後
[00716.56-00717.40] 小朋友父親緩緩
[00717.40-00719.52] 然後他在繼承上父親的一場
[00719.52-00720.24] 大可不必
[00720.24-00721.60] 在也沒有這麼操作的
[00721.60-00723.20] 所以在這裡面大家注意一下
[00723.20-00725.52] 這種情況之下叫做混同
[00725.52-00726.00] 好吧
[00726.00-00728.24] 所以大家知道混同是什麼意思就OK了
[00728.24-00732.94] 那最後一個全力物終止的原因就叫做解除
[00732.94-00733.84] 就叫做解除
[00733.84-00735.74] 那也是我們重點要跟大家講的
[00735.74-00738.24] 那河通的全力物消滅
[00738.84-00739.84] 大家注意一下
[00739.84-00741.04] 河通的全力物消滅
[00741.04-00742.94] 我們一共講了這集中眼睛
[00742.94-00745.04] 這種原因都是法律民文規定的
[00745.04-00748.44] 但是可能在考察當中會出現考察的是什麼
[00748.44-00749.94] 大家注意一下這裡面的
[00749.94-00751.14] 帶物清常
[00751.14-00752.04] 我們剛才給大家說了
[00752.04-00753.44] 就是我還不上的時候
[00753.44-00755.64] 我可以找我的另外一個東西
[00755.64-00758.72] 你切了防抑、化折、表啊
[00758.72-00760.24] 对吧,这个叫代物清厂
[00760.24-00761.44] 这个点要注意一下
[00761.44-00762.76] 第二个是底销
[00762.76-00764.40] 可以比销它是有条件的
[00764.40-00766.00] 并不是任何债务都底销
[00766.00-00767.88] 一定是双方护复
[00767.88-00769.96] 统类的债权债务
[00769.96-00772.60] 而且其中的一方已经到期了
[00772.60-00774.84] 由到期的那一方主动提出底销
[00774.84-00776.84] 没有到期的债权不能提底销的
[00776.84-00779.28] 所以这个是我们所说的底销的条件
[00779.28-00780.32] 这两个点
[00780.32-00782.40] 我还是建议同学们去掌握一下
[00782.40-00784.44] 好吧,那这是清厂和底销
[00784.44-00788.44] 那還有一個就是我們今天要給大家重點講解的就要做解除
[00788.44-00789.44] 就要做解除
[00790.44-00794.44] 那我們接下來就詳細來看一下合同的解除
[00794.44-00797.44] 第一個我們先來了解一下合同解除到底是啥意思
[00797.44-00801.44] 他說合同的解除是指合同有效成立後
[00801.44-00807.44] 說通過當時單方行為或者是雙方合議中止合同效率的行為
[00807.44-00809.44] 這個就叫做合同解除
[00809.44-00812.44] 他說合同解除是對有效合同的解除
[00812.44-00814.44] 就是必须具备解释条件
[00814.44-00817.70] 目的使有效合通的关系规约消灭
[00817.70-00820.44] 也就是我们所提到的合通的解释
[00820.44-00822.94] 就是双方本来已经达成合意了
[00822.94-00823.92] 我已经说了
[00823.92-00827.36] 小天那通社表在城东上之后
[00827.36-00828.64] 可以送给你
[00828.64-00829.92] 你也给我做出城东了
[00829.92-00831.52] 这时候合通成立
[00831.52-00832.88] 那在什么条件之下
[00832.88-00834.98] 我送你小天才会通社表的事
[00834.98-00836.12] 他就不做输了
[00836.12-00838.36] 咱们之间的权力无关系都终止了
[00838.36-00842.16] 这种情况之下就可能会涉理到就做合通的解释
[00842.16-00844.84] 那河东解除当中 它有一个前提
[00844.84-00847.16] 它的前提是什么呢 在书上说了
[00847.16-00849.00] 它说河东解除是
[00849.00-00852.20] 河东有效成立之后发生的
[00852.20-00855.28] 也就是想要解除河东 前提是啥
[00855.28-00858.56] 前提是你待有河东可解采刑
[00858.56-00862.60] 如果它给你的一个行为是无效的明示法律行为
[00862.60-00865.08] 这个时候会被摄影到河东解除的问题
[00866.08-00869.36] 不会的 对吧 所以河东解除的前提
[00869.36-00872.84] 是什么是有河通科技
[00872.84-00876.40] 就是前提它一定是个有效河通才行
[00876.40-00879.88] 如果在这个里面它给我们设置了一个提干
[00879.88-00885.36] 这个提干当中说小A和小B共同串某
[00885.36-00889.44] 对吧就是两个人就是恶意串通損害小C的权益
[00889.44-00891.16] 然后这个时候就搞了很多的
[00891.16-00892.60] 我们所说的话场子
[00892.60-00894.56] 然后这个时候说小黑字导字也搜片
[00894.56-00895.92] 小C至少最搜片了
[00895.92-00898.52] 说小C它能不能形势解出权
[00899.36-00902.44] 不行 为啥 因为我刚才说了小英和小弊
[00902.44-00905.16] 乐意穿通的行为 属于什么
[00905.16-00907.28] 属于无效的民事法律行为
[00907.28-00909.72] 竟然无效的民事法律行为的话
[00909.72-00913.48] 小塞 它有没有或者是小英和小弊的认议方
[00913.48-00915.68] 它有没有解除权
[00915.68-00917.92] 没有解除权 因为解除解除
[00917.92-00920.72] 它的前提一定是有合同可以解
[00920.72-00923.96] 无效的民事法律行为自属无效当然无效
[00923.96-00925.92] 对吧 所以这里就根本不需要什么
[00925.92-00928.04] 根本不需要解除的问题
[00928.04-00931.44] 所以在这里面大家稍微注意一下这个细节的点就OK了
[00931.64-00933.64] 这个点呢它可能会考
[00933.74-00937.44] 但如果考的话呢也只能是做一个理解行的提概
[00937.44-00939.94] 让我们去变息就是合同解除的全体
[00939.94-00943.04] 你稍微有一个感觉就行了
[00943.04-00944.24] 它如果提高合同解除
[00944.24-00946.94] 你稍微知道它的前提一定是有合同科技
[00947.04-00951.04] 我们在民事法律行为当中提到的无效的民事法律行为
[00951.24-00952.94] 可撤销的民事法律行为
[00952.94-00954.64] 它都是无合同科技的
[00954.64-00956.94] 那这个其实不在合同解除的范围之内
[00956.94-00958.94] 这个点大家稍微注意一下
[00958.94-00960.78] 但是它可靠性很低
[00960.78-00963.30] 但是我怕它在这个地方给咱们使办子
[00963.30-00964.98] 所以我再这多体内嘴
[00964.98-00967.14] 那这是我们所说的它的前体
[00967.14-00969.42] 我们来看一下河通解除的类型
[00969.42-00970.30] 有哪些
[00970.78-00971.78] 在这才说了
[00971.78-00975.70] 这河通的解除可以通过当时人的单方行为
[00975.70-00978.30] 就是双方其中的人一方体
[00978.30-00980.14] 也可以是双方怎么样
[00980.14-00983.42] 合意终止和通效力的行为
[00983.42-00985.46] 这个就叫做河通解除的类型
[00985.46-00987.74] 所以我们可以给它输里的框架
[00987.74-00989.18] 可动解除的类型
[00989.18-00990.74] 一共就两种情况
[00990.74-00993.18] 一种是双方合意终止
[00994.62-00997.86] 叫做双方合意终止
[00997.86-01001.46] 这个其实就是我们所说的叫做协议解除
[01003.90-01005.46] 叫做协议解除
[01005.46-01007.98] 还一种就是单方行为终止
[01007.98-01013.46] 单方行为中止
[01013.46-01018.70] 就是一方做出了某种行为或者是一方体数来解除合同
[01018.70-01020.26] 那就不需要双方商量
[01020.26-01021.82] 这个时候合同就怎么样
[01021.82-01023.18] 合同就中止了
[01023.18-01024.62] 全力五关系就规约
[01024.62-01025.42] 小灭了
[01025.42-01028.42] 这个我们把它称之为叫做单方解除
[01032.02-01032.98] 单方解除
[01032.98-01033.94] 单方解除
[01033.94-01034.70] 它分情况
[01034.70-01035.50] 同们注意一下
[01035.50-01037.90] 当方解除可以是第一个
[01038.90-01040.18] 约定解出去
[01043.50-01044.94] 这个约定解出去
[01044.94-01046.98] 其实也是根据双方的合意来的
[01046.98-01049.94] 比如说咱们两个在定例合同的时候
[01049.94-01051.62] 就已经在合同当中说了
[01051.62-01053.90] 说如果出现了什么情况
[01053.90-01057.94] 我一方就想有一定的什么解出去
[01057.94-01059.66] 这个是在定例合同时候
[01059.66-01061.06] 约定解出是有的
[01064.70-01066.50] 叫做約定解除
[01066.50-01067.50] 是有
[01067.50-01070.10] 這個就是我們所說的約定就是選
[01070.10-01070.98] 比如說
[01070.98-01072.30] 舉個簡單的例子
[01072.30-01073.78] 什麼叫做約定解除
[01073.78-01075.10] 我還是一樣的
[01075.10-01076.78] 我說了如果你要商量的話
[01076.78-01078.78] 我就把這個小天才兒通收錶
[01078.78-01079.54] 送給你
[01079.54-01081.50] 對吧小天才兒通收錶
[01081.50-01082.62] 送給你
[01082.62-01084.70] 但是我在這個地方附了條件
[01084.70-01085.46] 什麼條件呢
[01085.46-01086.18] 我當時那個你說了
[01086.18-01086.78] 我說
[01086.78-01087.66] 如果我把收錶
[01087.66-01088.26] 賜給你
[01088.26-01089.34] 你這個收錶怎麼辦
[01089.34-01091.06] 只能自己用
[01092.46-01093.78] 只能自己用
[01093.78-01096.50] 不能卖不行
[01097.34-01099.18] 转送给别人也不行
[01099.18-01100.74] 如果卖了或者转送了
[01100.74-01103.34] 这个时候我就可以把这个东西掉回来
[01103.34-01105.66] 所以你看我这个总理合同当中
[01105.66-01108.34] 是不是冤定了我可以形使什么
[01108.34-01110.78] 形使彻销解除的事有
[01110.78-01111.78] 这个你看
[01111.78-01113.18] 我假设你考上了
[01113.18-01115.62] 我真的是把这个小天才会通说不要送给你了
[01115.62-01116.82] 然后你看了一下说
[01116.82-01118.62] 这个老师真的是窮的经浪想
[01118.62-01120.90] 这么个破手表还给我定了一个
[01120.90-01122.70] 什么还给我复了一个条件
[01122.70-01125.22] 然后你偷偷地就把这个小天才会说表
[01125.22-01127.90] 以100块钱的价格卖给了别人
[01127.90-01128.90] 然后这个事儿呢
[01128.90-01130.54] 大家知道人在做天在看
[01130.54-01132.78] 妈妈下去的最后被我知道了
[01132.78-01135.82] 那你看你的行为是不是为贝了咱俩
[01135.82-01138.46] 在和同当中冤定的市有啊
[01138.46-01140.14] 因为我在这里面说了我说
[01140.14-01141.06] 你如果卖了
[01141.06-01141.98] 我就可以怎么样
[01141.98-01144.58] 我就可以行这几初选几初合同把东西要回来
[01144.58-01145.42] 所以你看
[01145.42-01148.18] 咱们两个如果在这里冤定了市有的话
[01148.18-01149.94] 那这种情况之下怎么办呢
[01149.94-01150.86] 我们所说的
[01150.86-01151.62] 那
[01151.62-01154.70] 違反 條件會一無規定的一方
[01154.94-01157.76] 這個時候你就不再享有收錶這個權力
[01158.02-01159.04] 另外一方就可以怎麼樣
[01159.30-01162.38] 就可以 我就可以單方解除我們兩支件的總理合同
[01162.62-01165.44] 明白這個意思吧 所以這個就叫做約定解除權
[01167.24-01169.28] 所以大家注意一下 這個叫約定解除
[01169.54-01175.94] 除了有約定解除權之外呢 這個是在合同定例的時候就一老早就在合同當中寫名了約定解除的市有
[01176.20-01179.26] 那還以為總就是沒有約定 但是是有法律規定的
[01179.26-01181.82] 这种继续叫做法定解除权
[01183.82-01187.38] 法定解除权才是我们要为大家讲解的一个重点
[01187.38-01190.34] 只我在这里面为大家把这个类型输离下
[01190.34-01192.82] 你就要知道除了法定解除权之外
[01192.82-01195.18] 我们还有其他的这种解除是有
[01195.18-01196.74] 你如果在体验当中看到
[01196.74-01199.22] 你就大概知道什么情况之下可以解除
[01199.22-01203.46] 所以在这里面我们要看一下单方解除当中的法定解除权
[01203.46-01206.70] 在这个法定解除权当中需要通行们掌握的
[01206.70-01208.86] 或者他考察的时候他怎么考察
[01208.86-01211.30] 他往往是以按立的形式来考察
[01211.30-01214.66] 他了考察重点有这么几个
[01214.66-01218.78] 第一个就是用哪些情形出现了
[01218.78-01220.46] 可以形式法定解除
[01220.46-01222.74] 就是咱们两个也没有达成合议
[01222.74-01224.98] 然后咱们两个也没有在合同定立的时候
