[00000.00-00003.58] 接着来看一下第七个明确
[00674.02-00675.62] 都能行为对吧
[00675.62-00676.82] 而且内侧说了说
[00676.82-00678.02] 所有的这些
[00678.02-00680.22] 我们可以对外展示的这些东西
[00680.22-00682.62] 已经是我们运用的比较熟练的这些了
[00682.62-00684.02] 所以当时大家就在忙说
[00684.02-00686.02] 中国人的几凉是什么构成的
[00686.02-00687.02] 中国人的几凉
[00687.02-00688.42] 就是由这些东西组成的
[00688.42-00689.22] 要把挺职了
[00689.22-00692.02] 那是因为咱们有足够强的国防力量
[00692.02-00693.42] 而大家没有注意到的就是
[00693.42-00695.22] 就是在这一次我们所说的
[00695.22-00700.62] 月明解釋之後就很多的經濟學家就對於內詞的月明去進行了一個調查
[00700.62-00703.22] 發現我們所說的這些軍工武器
[00703.22-00706.02] 它一些個別的領埔家當然是不是重要的核心技術
[00706.02-00706.86] 依舊是國家
[00706.86-00710.62] 它的這些製造其實是有一部分民營企業才能到裡面的
[00710.62-00714.42] 這就是一個什麼混合縮制當中的一個點性
[00714.42-00717.42] 所以在混合縮制當中大家都知道當年考得那道體
[00717.42-00720.22] 所以下一關於混合縮制改革說法正確錯誤的是
[00720.22-00724.42] 你要知道它是為了增強國企的競爭力和活力
[00724.42-00727.12] 所以把民間資本引入到其中
[00727.12-00729.68] 那這種就是我們所說的什麼混合所知
[00729.68-00731.46] 也就是它即不是純粹的國有
[00731.46-00733.44] 也不是純粹的民營282個
[00733.44-00734.26] 搞在一塊了
[00734.26-00736.96] 所以這個點我希望大家能夠理解充分到位
[00736.96-00740.08] 我就不主意把這幾個考點給大家在這裡寫上了
[00740.08-00741.80] 能夠理解這個意思就OK了
[00741.80-00743.36] 那這是我們所說的什麼
[00743.36-00745.56] 購物之經濟的組成形式
[00745.56-00747.20] 那我說了公有之公有之
[00747.20-00748.58] 公有之他是什麼
[00748.58-00749.44] 主體地位
[00749.44-00752.30] 所以第二個我們來看一下公有之位主體
[00752.30-00754.66] 那为什么说一电让让公有之位主体呢
[00754.66-00758.44] 因为只有公有之位主体在形势上财富和什么
[00758.44-00759.86] 社会主义的要求
[00759.86-00761.98] 咱在前面讲到到平理对的时候说了
[00761.98-00763.70] 社会主有两个根本原则
[00763.70-00765.38] 低于根本原则是共同富裕
[00765.38-00766.50] 低而根本原则是啊
[00766.50-00767.32] 公有之
[00767.32-00768.62] 你做一个社会主义国家
[00768.62-00770.22] 你如果都不是公有之的话
[00770.94-00772.26] 那则很难平啊
[00772.26-00772.74] 对吧
[00772.74-00773.62] 所以我们说了
[00773.62-00775.98] 公有之他一定要占去主体地位
[00775.98-00778.54] 他必须是这个国家在发展过程当中
[00778.54-00780.62] 主要矛盾的主要方面
[00780.62-00782.58] 所以我们才说过有志为主体
[00782.58-00784.70] 而过有志为主体回归到本质上
[00785.50-00788.82] 他能够更好的保障人民群众的权益
[00788.82-00790.66] 因为公有就意味着什么
[00790.66-00791.62] 归权民所有
[00791.62-00793.42] 我再往上看了一个端子
[00793.42-00794.50] 我当时觉得听了意思
[00794.50-00795.74] 那个端子就是
[00796.02-00800.58] 他其实从那个端子可以从側面的反应处
[00800.58-00802.34] 过有制他的一个本质是什么
[00802.34-00803.42] 当然那个端子是这样的
[00803.42-00804.42] 就是有一个人
[00804.42-00806.22] 然后他接到一个炸体那话
[00806.22-00808.42] 他经常就是接到这种炸体那话
[00808.42-00810.42] 但是他就是很容易
[00810.42-00812.82] 讓那種債庫天化那邊的工作人員
[00812.82-00814.82] 就是有一點諾新的人
[00814.82-00815.54] 換句話人說
[00815.54-00817.42] 這就是經常調系電話那邊的人
[00817.42-00818.82] 然後有一天他接到一個電話
[00818.82-00820.30] 然後那個電話打給他的時候
[00820.30-00821.54] 他就說為你好
[00821.54-00824.02] 然後對面說什麼某某先生你好
[00824.02-00825.38] 說我們這邊是什麼
[00825.38-00828.82] 金融公司的請問你最近有什麼貸款的這樣一個需要嗎
[00828.82-00830.02] 然後這個人一看
[00830.02-00831.22] 如果是這樣的話
[00831.22-00833.22] 那就一定是稍微有點猛逆
[00833.22-00835.18] 他說請問你們是正位公司
[00835.18-00835.94] 對方說是的
[00835.94-00837.30] 我們是正位的金融公司
[00837.30-00840.12] 可以帮您承拌一切你所需要的进入业务
[00840.38-00843.70] 然后他说那我需要需要这个箱的进入业务
[00843.70-00846.26] 他说我想需要贷款然后对方呢就一听说
[00846.52-00851.12] 那如果需要贷款的话我们这边可以其实马上为您提供箱的贷款的数预
[00851.12-00853.94] 只需要您提供您箱的身份信息以及箱的
[00854.20-00855.72] 只是银行卡信息就可以了
[00855.98-00857.78] 都要提供身份信息和银行卡信息
[00858.04-00860.34] 你说真很明显是骗子然后那个人就知道
[00860.86-00864.18] 这对方一定不是什么好人他就决定去锁门人家一下
[00864.68-00867.26] 然后他说他说是这样的他说我贷款的这个数预
[00867.30-00868.30] 有一點大
[00868.30-00871.30] 他說不知道你們能不能把這個錢發放給我
[00871.30-00873.30] 他說然後對方那個公司就說
[00873.30-00874.30] 說沒有問題啊
[00874.30-00875.30] 說如果你需要的數字
[00875.30-00876.30] 特別大我們這邊
[00876.30-00877.30] 進行相當的東西
[00877.30-00878.30] 你有相當的底下
[00878.30-00879.30] 我們是可以給你辦理的
[00879.30-00880.30] 然後他說請問你
[00880.30-00882.30] 你請你需要帶款多少
[00882.30-00884.30] 然後這個對方這個人
[00884.30-00886.30] 他就說說我帶款的這個數字
[00886.30-00888.30] 也不是特別多
[00888.30-00890.30] 就是一個1吧
[00890.30-00892.30] 然後當時對方1聽1
[00892.30-00893.30] 一個1啊
[00893.30-00894.30] 也就是有帶紅了
[00894.30-00895.30] 但是就沒有多想啊
[00895.30-00896.30] 所以那個詐騙公司
[00896.30-00897.84] 甚至他的話說他說
[00897.84-00900.14] 一個意義的數額對我們公司來說特別大
[00900.14-00901.92] 也不是不能給你辦理
[00901.92-00904.38] 你只要提供你的相當深分信息就可以了
[00904.38-00906.80] 但是你還需要相用的底壓才行
[00906.80-00908.54] 你有什麼可以作為底壓的嗎
[00908.54-00910.64] 然後這個接電話的就是說
[00910.64-00912.26] 他說我有這個底壓
[00912.26-00914.46] 就是我底壓就是我在北京有房
[00914.46-00916.02] 然後大使對方一聽北京有房的
[00916.02-00917.66] 肯定就是一個肥養外
[00917.66-00919.08] 然後當時說
[00919.08-00920.74] 你北京的這套房產
[00920.74-00922.92] 我們需要根據當地的市值情況
[00922.92-00924.06] 來進行作家蘋果
[00924.06-00927.90] 你方便透露一下你的房子到底是在什么地方吗
[00927.90-00931.74] 当时那个人就说说在北京的一二环附近吧
[00931.74-00934.42] 当时一天一二环附近那指定了没死了 对吧
[00934.42-00937.74] 然后他说可以可以他说能说一下具体的方位呢
[00937.74-00941.18] 他说在我们都知道的那个广场附近
[00941.18-00942.78] 他说那你能够具体的
[00942.78-00945.10] 说一下在广场附近的哪一个位置吗
[00945.10-00946.30] 是哪动楼吗
[00946.30-00949.74] 然后当时这个几点话人就说说这个楼外大家都很熟悉
[00949.74-00951.26] 他说是天门成楼
[00951.26-00952.54] 然后对方当时就问
[00952.54-00955.54] 说你是什么人 怕说我是社会主义 解完人
[00955.54-00957.14] 当这就说了这么一个段子
[00957.14-00960.02] 但是从这个段子当中我们能够侧面反处一个情况
[00960.02-00962.02] 这是当东西归大家所有的时候
[00962.02-00965.26] 说明比如说公有这条件之下东西归大家所有
[00965.26-00968.14] 我们就是什么 就是这个国家的主人
[00968.14-00970.74] 比如说国家所有的土地归全密所有
[00970.74-00972.94] 只不过是我们所说的国务院或者是国家一些
[00972.94-00973.90] 结果我们代管
[00973.90-00976.86] 那其实归公有制所有
[00976.86-00979.14] 其实就是本身上归随所有 全密所有
[00979.14-00981.34] 所以国有制在本身上还是为了人民
[00981.34-00984.42] 所以我们才说想要符合社会主义的要求
[00984.92-00987.00] 想要在实质上也实现社会主义
[00987.00-00988.76] 必须坚持过有这个什么地元
[00989.54-00990.56] 主体地位
[00990.56-00992.86] 所以在这里才有了我们所说的过有这位主体
[00992.86-00996.00] 那过有这的主体地位体现在哪几个方面呢
[00996.00-00996.70] 那还注意下
[00996.70-00998.74] 它其实是一层一层剥离开的
[00998.74-01001.14] 过有这的主体地位在进行考察的时候呢
[01001.14-01002.84] 它经常就会考察一些
[01003.36-01004.70] 张观理待的考法
[01004.70-01006.68] 咱们先把它的主体地位进行一个书理
[01006.68-01008.48] 首先第一个同时在旁标主一下
[01008.48-01010.78] 过有这主体地位首先第一个体现在
[01010.78-01020.78] 公有資產,在社會總資產中戰優勢
[01020.78-01026.78] 公有資產,在社會總資產中戰優勢
[01026.78-01033.78] 這是第一個點,大家要知道,第二句話,現在旁邊叫國有經濟
[01033.78-01039.92] 国有经济控制国民经济的命运
[01039.92-01046.32] 国有经济控制国民经济的命运
[01046.32-01049.40] 在国民经济发展到辑道主导作用
[01049.40-01051.44] 然后再跨到辑写上主导
[01051.44-01055.04] 当然我们在政策文件到辑只有这三句话
[01055.04-01057.08] 但是在考只有这两句话
[01057.08-01058.86] 但是在考是当中会考第三句话
[01058.86-01059.90] 第三句话是什么呢
[01059.90-01060.92] 是国有企业
[01060.92-01065.60] 如果有企业是我们所说的党执政新国的重要之处
[01066.00-01068.24] 在旁边国有企业
[01069.24-01070.04] 是
[01070.44-01071.44] 执承
[01071.44-01073.08] 当时没有说是执执承
[01073.08-01074.44] 就简单是执承就可以了
[01074.44-01076.24] 所以这是他们三个的地位
[01076.24-01077.64] 大家注意一下在考试的时候
[01077.64-01078.40] 它会怎么考呢
[01078.40-01079.88] 在这里大家起来了之后
[01079.88-01080.88] 化三个官件此
[01080.88-01082.44] 低官此就有工有资产
[01082.44-01083.48] 把工有资产化出来
[01083.48-01084.76] 第二个就有国有经济
[01084.76-01085.64] 把国有经济化出来
[01085.64-01086.84] 第三个就有国有企业
[01086.84-01087.80] 把国有企业化出来
[01087.80-01089.96] 他们三个其实是从从玻璃之
[01089.96-01091.48] 曾曾波理的關係
[01091.48-01093.56] 所謂的曾曾波理的關係就體現在
[01093.56-01094.40] 大駐一樣
[01094.40-01096.52] 公有智慧主體的公有智
[01096.52-01098.12] 它其實本質上體現的就是
[01098.12-01099.04] 公有資產
[01099.04-01101.40] 公有資產包括那些通行嗎
[01101.40-01103.84] 公有資產包括國有經濟
[01103.84-01104.60] 集體經濟
[01104.60-01107.96] 混合所有智當中的國有成分和集體成分
[01107.96-01111.00] 這些我們把它稱之為叫做公有資產
[01111.00-01112.04] 這個能明確版
[01112.04-01113.40] 公有資產干嘛
[01113.40-01115.60] 公有資產叫做戰優勢
[01115.60-01117.32] 這個優勢體現在
[01117.32-01121.42] 它在整体经济控制的制装战友士
[01121.42-01123.12] 而不再它的量上
[01123.12-01124.92] 举个简单的例子来说
[01124.92-01125.58] 比如说
[01125.58-01129.72] 公有之经济一定会占全国经济总量的百分之五世以上吗
[01129.72-01130.22] 不一样
[01130.22-01133.42] 那为什么公有之能够起到主体地位能够
[01133.42-01135.32] 我们所说的这样的一个战友士
[01135.32-01138.92] 是为它控制的都是我们所说的重要的这样的下行业
[01138.92-01142.22] 比如说水,电,大型能源,机械製造
[01142.22-01147.60] 石油等等这些 它控制的所有的这种经济形势的治量非常高
[01147.60-01151.96] 风险非常低 所以我们才说了公有资产干嘛战友士
[01151.96-01155.80] 而公有资产当中我们知道它的力量最强的
[01155.80-01159.38] 你看 公有资产当中 力量最强的应该是国有经济吧
[01159.38-01161.42] 因为国有资产中 第一个就是国有经济
[01161.42-01163.14] 所以国有经济起什么
[01163.14-01167.30] 国有经济起也主导 控制国民经济的命卖
[01167.30-01170.64] 所以从国有资产中找到一个能力最强的
[01170.64-01171.92] 那就是國有經濟
[01171.92-01174.74] 所以國有經濟控制國民經濟的命蔓
[01174.74-01176.48] 水、電等等
[01176.48-01179.48] 是不是都是控制國民生產行業的這些領域
[01179.48-01181.76] 所以它是控制國民經濟的命蔓
[01181.76-01182.88] 而我問一下大家
[01182.88-01185.00] 國有經濟的表現形式非常多
[01185.00-01186.26] 最典型的是什麼
[01186.26-01187.20] 國有企業
[01187.20-01188.80] 所以你看國有企業是什麼
[01188.80-01190.04] 是支撐
[01190.04-01190.80] 在這裡
[01190.80-01192.28] 所以說國有企業是支撐
[01192.28-01193.28] 緣去在這
[01193.28-01195.28] 而它考試的時候經常會張管理戴
[01195.28-01198.02] 說國有經濟戰優勢
[01198.02-01199.60] 公有資產起主導
[01199.60-01200.32] 对不对
[01201.48-01202.42] 我在说一下
[01202.42-01203.76] 国有经济战友士
[01203.76-01204.80] 公有资产起逐岛
[01204.80-01205.80] 重说法对不对
[01205.80-01207.36] 重说法很明显就是
[01207.36-01207.96] 错的
[01207.96-01209.68] 我在这里特别特术强调
[01209.68-01211.52] 他是一层一层波理下来了
[01211.52-01213.40] 你不要把这个地位去给我整会了
