[00000.00-00003.40] 我们讲完了生物的基本支持之后
[00727.80-00729.44] 大家去注重
[00729.44-00731.54] 條件反射非常非常反射就行了
[00731.54-00732.54] 這是第二個
[00732.74-00735.08] 第三一個就是內分密系統
[00735.08-00737.22] 內分密系統在這裡考試的時候
[00737.22-00740.28] 考的比較多也是考的比較細的
[00740.28-00741.18] 首先第一個點
[00741.18-00742.62] 頭就要去去分
[00742.62-00743.86] 它考過一道體
[00743.86-00746.42] 就是當時考的是一道生物學之傻
[00746.42-00748.50] 說以下關於相關生物學
[00748.50-00750.30] 只是說還正確會錯誤的事
[00750.30-00751.38] 就考了一個
[00751.38-00754.20] 内分密线和外分密线的区分
[00754.20-00756.24] 所以在这里面我们来看一下
[00756.24-00760.14] 分密线分为内分密线和外分密线
[00760.14-00763.54] 那那到底考的是内分密线和外分密线的区分
[00763.54-00765.46] 咱们去区分大助一下
[00765.46-00768.40] 它说内分密线和外分密线的区分
[00768.40-00772.12] 就看这个分密线它有无排泄果
[00772.12-00775.96] 它有没有排泄果就意味着它会会产生相用的废物
[00775.96-00779.02] 如果它有排泄果能够产生相用的废物
[00779.02-00781.30] 大家注意一下這個庫物是可見的
[00781.30-00783.30] 就是能看到的有形的東西
[00783.30-00784.80] 如果是這樣的話
[00784.80-00787.18] 這種情況之下就是外分一些
[00787.18-00788.94] 如果它沒有排鮮管
[00788.94-00791.30] 你也看不出來它分密的東西是什麼
[00791.30-00793.94] 這種情況之下就是我們所說的什麼
[00793.94-00794.66] 內分的線
[00794.66-00796.46] 我說這個庫物有一點不太準確
[00796.46-00797.86] 那我們就寫分密物
[00797.86-00798.02] 好吧
[00798.02-00800.42] 就是你看能不能通過這個排鮮管
[00800.42-00802.10] 去看到它的分密物
[00803.62-00805.22] 但大部分情況之下
[00805.22-00807.82] 常見的像庫密物類的比較多
[00807.82-00810.54] 那我就寫分裏5,可能会比较跟准确一些
[00810.54-00812.70] 那这种分裏5是一种可适的
[00812.70-00813.74] 所以你可以看见
[00813.74-00817.58] 那如果说你这个现体
[00817.58-00820.14] 它分裏的东西你是可以看到的
[00820.14-00821.26] 那它就属于什么
[00821.26-00823.42] 它就属于外分线
[00824.54-00826.06] 那它就属于外分线
[00826.06-00829.02] 如果分裏的东西你是通过肉眼
[00829.02-00830.30] 没有把它关车到的
[00830.30-00832.22] 那这个时候它就属于内分线
[00832.22-00833.42] 我举个简单的类子
[00833.42-00835.58] 比如说类线,同样的类线
[00835.58-00837.58] 它属于外分线,那类线
[00837.58-00840.86] 你就判斷他的分裕物 你能不能看见
[00840.86-00842.70] 如果能看见的属于外分的线
[00842.70-00844.66] 类线分裕什么 眼耳
[00844.66-00846.94] 眼耳能不能看见 能能看见
[00846.94-00848.34] 眼耳能就属于什么
[00848.34-00850.50] 他就属于外分的线
[00850.50-00851.26] 没办法这个意思吧
[00851.26-00852.82] 所以你判断他的声就看
[00852.82-00854.34] 他排除的这个东西
[00854.34-00856.62] 他的分裕物 你能不能看的线
[00856.62-00859.14] 如果你能够看的线 那他就属于外分的线
[00859.14-00862.06] 如果你看不见就属于内分的线 比如说
[00862.06-00864.06] 脱叶 脱叶线
[00864.06-00866.58] 脱叶线 属于外分的线
[00866.58-00867.74] 有很多同說脫椅
[00867.74-00868.98] 還能不在嘴裡嗎
[00868.98-00870.18] 那應該屬於內分局線
[00870.18-00871.22] 但問題是在於
[00871.22-00872.74] 看它是內分底
[00872.74-00873.42] 還外分一些
[00873.42-00874.62] 不看它長在那
[00874.62-00874.98] 對吧
[00874.98-00877.66] 而是看它的分密物是否可見
[00877.66-00879.18] 就是看它有沒有排線管
[00879.18-00880.66] 那脫椅能不能看到
[00880.66-00881.66] 只能看到
[00881.66-00882.58] 你看那個人不順眼
[00882.58-00883.70] 你上去就很可以
[00883.70-00884.34] 對吧
[00884.34-00885.22] 你脫椅身
[00885.22-00886.30] 能夠重新忘記一下
[00886.30-00887.46] 你是能看到脫椅的
[00887.46-00889.06] 脫椅也是可視的分密物
[00889.06-00890.26] 那就意味著脫椅線
[00890.26-00891.14] 它屬於什麼
[00891.14-00893.50] 脫椅線它屬於外分底線
[00893.50-00894.18] 明白了吧
[00894.18-00896.06] 所以這種就是內外分底線的
[00896.06-00898.34] 这个地方考过一道体
[00898.34-00899.44] 而且当时考的就是
[00899.44-00900.58] 区分内外分明线
[00900.58-00901.50] 大家注意一下
[00901.50-00902.70] 这是第一个点
[00902.70-00903.70] 第一个点
[00903.70-00904.46] 大家注意
[00904.46-00905.46] 这是分明线的
[00905.46-00906.14] 华分
[00906.14-00907.52] 大家这里面我们强调
[00907.52-00909.18] 或者是我们特别突出强调
[00909.18-00910.78] 其实是内分明线
[00910.78-00911.62] 也是我们所说的
[00911.62-00912.46] 内分立系统
[00912.46-00913.22] 那么长电的
[00913.22-00914.40] 内分明线在这里
[00914.40-00915.26] 大家注意一下
[00916.14-00917.86] 分为这么几个情况
[00917.86-00919.14] 首先第一个在这里
[00919.14-00920.06] 就是我们所说的
[00920.06-00920.70] 一线
[00920.70-00922.10] 一线它不要特殊
[00922.10-00923.90] 同时把一线标住出来
[00923.90-00926.74] 很把鱼線調出來
[00926.74-00928.94] 鱼線是比較特殊的線體
[00928.94-00932.54] 這是鱼線它可以即使內分明線
[00932.54-00934.54] 也可以是外分明線
[00934.54-00936.82] 它是內分明線和外分明線
[00936.82-00938.26] 這是兩個是一個
[00938.26-00939.90] 這個就是我們所說的鱼線
[00939.90-00941.26] 如果在精準一點的話
[00941.26-00942.62] 就是一般球下鱼線
[00942.62-00944.06] 它是否分明鱼線
[00944.06-00946.26] 它分明的鱼線
[00946.26-00947.70] 你是可以看到的
[00947.70-00949.86] 其實鱼線的東西是可視的
[00949.86-00951.02] 鱼線
[00951.02-00953.02] 我还是写一下
[00953.02-00955.02] 它是分密一夜的
[00955.02-00957.02] 而一夜这个东西它是要可适的
[00957.02-00958.02] 这是能够看的
[00958.02-00960.02] 或者是我们在收决当中
[00960.02-00962.02] 通过肉眼是能够关车道的
[00962.02-00963.02] 你说老时候怎么关的
[00963.02-00964.02] 都得花一块
[00964.02-00966.02] 这是你在一学的肉眼角
[00966.02-00967.02] 都是可以看到的
[00967.02-00968.02] 这个一夜
[00968.02-00969.02] 对吧
[00969.02-00971.02] 所以这里面我们所说能看到
[00971.02-00972.02] 分密物
[00972.02-00973.02] 它有排泄馆
[00973.02-00975.02] 它其实是属于我们所说的外分纪线
[00975.02-00976.02] 但是我们所说
[00976.02-00978.02] 这个一线当中还有一个东西是什么
[00978.02-00979.02] 就是一导
[00981.02-00983.34] 1到1到3mm什么同学们
[00983.34-00985.50] 1到3mm的1到速
[00990.74-00992.48] 1到3mm是1到速
[00992.48-00993.98] 1到速能看见吗?
[00993.98-00995.64] 1到速看不见
[00995.64-00997.12] 1到速看不见的话
[00997.12-00998.72] 这有时候它分裏的就是什么?
[00998.72-00999.86] 就是机速
[00999.86-01001.84] 那分裏线都是分裏机速的
[01001.84-01004.34] 所以在这里面1到3mm的1到速看见
[01004.34-01005.84] 这时候1到它就属于什么?
[01005.84-01007.84] 它就属于那分裏线
[01007.84-01010.64] 而考察的时候就会考察这个1到速
[01010.64-01014.40] 一到速一般情况之下我们认为它有生血糖的
[01014.40-01015.68] 也有降血糖的
[01015.68-01016.76] 还有意志
[01016.76-01019.16] 我们所说的这种一老合成的这种
[01019.16-01019.60] 对吧
[01019.60-01020.84] 所以在这里面我就记得
[01020.84-01023.16] 这个一到速它有生血糖的
[01025.64-01027.96] 还有我们所说的降血糖的
[01032.20-01034.20] 而这种降血糖的一到速
[01034.20-01035.20] 我们说了一般情况
[01035.20-01037.00] 是用在什么上糖尿病上
[01037.00-01040.48] 床廖比上
[01040.48-01043.64] 这个地方一般就是通过这种降血汤一老素
[01043.64-01046.08] 这有时候就是我们所说的外员一导了
[01046.08-01047.52] 所以在这里面大家注意
[01047.52-01050.32] 并不是所有的一老素都是生血汤会降血汤的
[01050.32-01052.96] 并不是所有的一老素都是降血汤的
[01052.96-01056.72] 这个内分比现它分裏的一老素有四种情况
[01056.72-01060.60] 比较长电的就是有生血汤的一老素还有降血汤一老素
[01060.60-01063.92] 只有降血汤的一老素才会使用在我们所说的什么事
[01063.92-01067.10] 才会是用在我们所说的这个调料并上
[01067.10-01070.06] 所以这个点 同时标主一下是我们需要在这
[01070.06-01074.42] 让同时掌握的第二个点 就是在一导塑这一块大家要注意一下
[01074.42-01076.32] 这是第二个 一线
[01076.32-01078.96] 在内分明线上 还有一个就是圣上线
[01078.96-01080.12] 圣上线分明 什么呢
[01080.12-01083.12] 我们都知道 圣上线分明 圣上线塑
[01083.12-01087.12] 圣上线塑的它能够刺激人的我们所说的身体
[01087.12-01090.02] 这种情况之下 就是人出现了特别凶分
[01090.02-01091.92] 紧张 或者是恐惧中感觉
[01091.92-01094.64] 就是能够让你的身体机能一下子都爆发出来
[01094.64-01095.88] 举个简单的例子
[01095.88-01098.08] 大家应该看到有很多那种
[01098.08-01099.84] 什么客观点呀
[01099.84-01101.04] 或者是英雄店呀
[01101.04-01102.28] 或者是特工店呀
[01102.28-01102.80] 等等
[01102.80-01103.80] 他就讨就会说
[01103.80-01104.32] 这个人呢
[01104.32-01105.20] 他受了很中的声音
[01105.20-01106.04] 然后又要救他的时候
[01106.04-01107.16] 给他扎什么东西
[01107.16-01109.28] 给他扎一扎的一扎之后
[01109.28-01110.56] 你会发现那个人特别的控股
[01110.56-01112.16] 婚生又在地上好久
[01112.16-01113.56] 给他打的那一扎之后什么
[01113.56-01114.80] 就是圣上线素
[01114.80-01115.80] 这个圣上线素
[01115.80-01117.68] 就是产生其大的这种
