[00000.00-00001.40] 大家好 我是杰瑞
[00001.40-00002.76] 咱們書接上回
[00338.66-00341.74] 但它放在一块我就不知道它说的是什么呢
[00341.74-00344.30] 或者同时会有这种感觉就多完了之后
[00344.30-00346.10] 我好像能改成它说什么
[00346.10-00348.14] 但是我又说不清楚就说什么对吧
[00348.14-00349.54] 那就是哲學的特點
[00349.54-00350.66] 那我們來看一下
[00350.66-00351.78] 這個本質裡面
[00351.78-00353.54] 他其實給到了三個關鍵詞
[00353.54-00354.70] 他說第一個就是
[00354.70-00357.50] 意識必須是產生在人鬧當中的
[00357.50-00359.90] 第二個就是意識他應設的是
[00359.90-00360.86] 外部環境
[00360.86-00362.50] 第三個意識的本質
[00362.50-00365.26] 是你對這種外部環境的一種反應
[00365.26-00366.06] 你說老師
[00366.06-00367.50] 你說了和沒說一樣
[00367.50-00369.10] 我舉個簡單的例子來說
[00369.10-00370.86] 咱們現在就把你的大腦
[00370.86-00371.78] 想像成熟成的
[00371.78-00374.14] 把你的大腦想成成一個加工廠
[00374.14-00375.26] 你的大腦就是
[00375.26-00377.38] 唇天然的自在這樣的一個功能
[00377.38-00379.38] 大家看到外部世界的时候
[00379.38-00380.78] 他就会在脑海当中
[00380.78-00383.30] 产生一定的想法观点和看法
[00383.30-00385.30] 所以在这里你的人脑
[00386.50-00388.38] 就是一个家工厂
[00388.38-00389.54] 而外界的
[00389.54-00391.70] 他所谓的这个客观存在
[00393.70-00395.58] 同学们就可以举向他的理解
[00395.58-00397.66] 他就相当于家工厂外的什么呢
[00397.66-00398.62] 原材料
[00399.62-00402.42] 而一旦有原材料进入到家工厂之后
[00402.42-00403.82] 家工厂一定要干嘛
[00403.82-00406.58] 一定要产出个什么东西才行吧
[00406.58-00408.38] 那他产出的这个东西
[00408.38-00412.18] 其实就是在你脑海章中的一种想法
[00413.58-00414.58] 观点
[00416.98-00418.18] 看法
[00419.18-00421.18] 甚至包括你的情感
[00421.98-00423.78] 包括你的喜好
[00423.98-00428.06] 这些东西其实都是你接触外部事务之后
[00428.06-00430.78] 所产生的完比如说你今天心情特别好
[00430.98-00433.78] 你心情特别好的时候你看到外面有一朵花
[00433.78-00436.86] 那这个时候花就应受到李大脑当中
[00436.86-00438.90] 于是你会产生一个想法说
[00438.90-00441.70] 今天的花真美
[00441.70-00442.30] 对吧
[00442.30-00445.38] 你看这个时候是你大海脑海当中的一种想法
[00445.38-00447.10] 那这是我们所说一种情况
[00447.10-00448.62] 那又或者是一种什么情况的
[00448.62-00449.58] 比如说你今天
[00449.58-00451.70] 打问的美美的穿得非常的帅气
[00451.70-00452.74] 然后走在大街上
[00452.74-00454.94] 当时就感觉我就是这条街最亮的在
[00454.94-00456.18] 突然有一个人
[00456.18-00457.54] 他从你前面走过
[00457.54-00458.86] 然后走到你前面之后
[00458.86-00460.06] 随地突了一口谈
[00460.06-00461.94] 你这时候心下就会产生
[00461.94-00462.98] 你是不是 你看
[00462.98-00464.34] 他在你面前随利土壇
[00464.34-00466.54] 這是不一個外部環境的一個刺激
[00466.54-00467.44] 那這時候
[00467.44-00469.28] 他進入到你的人老當中去
[00469.28-00471.04] 你會產生一種什麼樣的情感
[00471.04-00472.10] 你說要死吧
[00472.10-00472.94] 随利亂土壇
[00472.94-00474.14] 真不要臉配
[00474.14-00474.94] 你也突裂一口
[00474.94-00475.64] 那你看
[00475.64-00475.94] 你看
[00475.94-00477.64] 他產生了一種厭物的情緒
[00477.64-00479.04] 或者是厭物的情感
[00479.04-00480.04] 同位有發現
[00480.04-00482.04] 只要是你接觸外不是我
[00482.04-00482.64] 你的大腦
[00482.64-00485.74] 他就會自覺不自覺的自動生成一個東西
[00485.74-00488.94] 這個東西他可能是情感觀點看法
[00488.94-00490.94] 可能是你的一種習慣
[00490.94-00492.90] 一种你的思维方式
[00492.90-00494.10] 总而言之
[00494.10-00497.10] 他对外产出的这一系列的东西
[00497.10-00498.58] 无论是哪一个都好
[00498.58-00500.30] 我们把它统成为什么
[00500.30-00502.62] 统成为意识
[00502.62-00505.06] 所以统成为在这里去理解意识的时候
[00505.06-00506.42] 不要被意识的概念
[00506.42-00508.46] 因为意识的概念本身不考
[00508.46-00509.90] 我在这里给大家解释这么多
[00509.90-00513.42] 就是希望统成能够去理解到底合理意识
[00513.42-00515.58] 意识它不是很难的东西
[00515.58-00517.86] 意识就是你接触了一个电视
[00517.86-00519.26] 它在脑海当中生成的
[00519.26-00521.02] 我在这里快给你一个嘴巴了
[00521.02-00522.46] 你说反应是什么
[00522.46-00523.34] 我在打回来
[00523.34-00523.58] 对吧
[00523.58-00524.74] 你看这种
[00524.74-00526.06] 你在老海当中这个想法
[00526.06-00527.10] 说我要打回来的
[00527.10-00528.30] 这个想法在老海当中
[00528.30-00529.30] 是闪过的时候
[00529.30-00531.18] 意识就产生了
[00531.18-00532.30] 所以意识不是什么
[00532.30-00533.54] 高落在上的东西
[00533.54-00534.54] 不是我们所说的
[00534.54-00535.74] 行尔上学的东西
[00535.74-00537.06] 它其实就在我们什么边
[00537.06-00538.82] 只是你没有察觉它而已
[00538.82-00540.46] 所以这个就是我们所说的
[00540.46-00541.22] 意识
[00541.22-00543.46] 但这里面会涉一到一个点
[00543.46-00544.30] 同样注意
[00544.30-00545.50] 涉一到一个什么点
[00545.50-00546.70] 换乱来看一下
[00546.70-00549.14] 当你老海当中闪过一种想法
[00549.14-00552.62] 一种观点 一种看法情感的时候
[00552.62-00554.18] 你不把他表达出来
[00554.18-00555.86] 我能能盖他到你的想法
[00555.86-00557.54] 比如说我 我看到了一个
[00557.54-00559.86] 我非常心疑的一个对象 后面前走过
[00559.86-00562.42] 然后我在这里表现了特别的高冷
[00562.42-00563.62] 我的内心都已经
[00563.62-00564.38] 这怎么说呢
[00564.38-00565.62] 都已经火山盘发了
[00565.62-00567.26] 但是我的表面特别的高冷
[00567.26-00569.10] 我就是木血式的看着他
[00569.10-00570.90] 对吧 我那种眼关比比关心
[00570.90-00572.34] 我就对他一点就不看
[00572.34-00574.30] 我如果没有把内心的一种
[00574.30-00576.06] 烤海极杨机动的这种想法
[00576.06-00576.62] 表达出来
[00576.62-00578.06] 对方能不能盖他这个点
[00578.06-00579.46] 对方是盖的不到的
[00579.46-00580.42] 那条一类者
[00580.42-00581.58] 意识这个东西
[00581.58-00585.02] 它只是停留在你的脑海当中
[00585.02-00587.46] 你如果不把意识的表达出来
[00587.46-00589.34] 我其实接收不到意识的
[00589.34-00590.34] 换句话说
[00590.34-00592.34] 意识是无形的
[00592.34-00593.94] 你想要把意识释放出来
[00593.94-00595.42] 你必须要借助什么
[00595.42-00597.02] 你必须要借助
[00597.02-00598.66] 一定有的方式和手段
[00600.94-00603.26] 你一定要借助一定的方式和手段
[00603.26-00604.42] 表达意识
[00604.42-00606.26] 那你借助的方式和手段
[00606.26-00607.50] 那就很多了
[00607.50-00610.06] 比如说我想表达对一个人的喜欢之前
[00610.06-00611.82] 我可以干嘛可以给个写情说啊
[00613.10-00613.66] 对吧
[00613.66-00616.58] 那你看 情说他就是一个在体
[00616.58-00619.78] 情说上的内容就是你意识的什么表达
[00619.78-00621.98] 又或者我可以怎么把我可以给个写哥啊
[00623.30-00624.90] 对吧 我给写哥
[00624.90-00625.70] 我就给他写
[00625.70-00628.26] 我说你听策都眼某的
[00628.26-00629.70] 你与纯的眼某怎么样
[00629.70-00630.86] 我就可以给个写哥
[00630.86-00634.50] 那你看歌曲他是一个意识的表达在体
[00634.50-00637.58] 但是歌曲的内容就是你意识的一个体现
[00637.58-00638.46] 又或者我可以干嘛
[00638.46-00639.62] 可以给个协本说
[00639.62-00640.86] 对吧 写书
[00640.86-00642.38] 我或者可以干嘛呢
[00642.38-00644.58] 可以给个写识等等
[00644.58-00647.10] 所以我们会发现意识是无形的
[00647.10-00649.34] 你想要表达意识的方法
[00649.34-00650.34] 有很多
[00650.34-00653.38] 而你这种表达意识的方式是因人而意的
[00653.38-00654.58] 有的人擅长写歌
[00654.58-00655.86] 有的人擅长写识
[00655.86-00657.30] 有的人擅长写书
[00657.30-00659.38] 有的人擅长讲故事
[00659.38-00660.70] 所以我们会发现
[00660.70-00662.18] 意识的表达形式
[00662.18-00663.30] 是不多种多样
[00663.30-00664.26] 因人而一
[00664.26-00666.78] 所以在这里面就确定了一个点
[00666.78-00667.58] 什么点呢
[00667.58-00668.46] 我们要知道
[00668.46-00671.62] 意识它的这种想法观点
[00671.62-00676.26] 看法的来源是来自于外部世界的
[00676.26-00678.98] 所以我们可以用另外一种方式来说
[00678.98-00680.46] 就是意识它的什么
[00680.46-00683.10] 它的内容是客观的
[00683.10-00684.46] 所以的意识的内容
[00684.46-00686.90] 就是你的想法所表达的那个对象
[00686.90-00688.42] 它是来自于外部世界
[00688.42-00690.78] 所以在这里它的内容是客观的
[00690.78-00693.98] 但是每个人表达意识的方式和形式一步一样
[00693.98-00696.38] 表達意識的方式和形式不一樣
[00696.38-00697.54] 因人而意
[00697.54-00700.70] 所以每個人選擇表達意識的手段都不同
[00700.70-00702.06] 這種情況之下
[00702.06-00704.34] 形式就具有了個人的特色
[00704.34-00705.94] 所以形式就具有了什麼樣
[00705.94-00707.06] 主觀性
[00707.06-00708.70] 所以在這裡面同樣注意
[00708.70-00709.86] 書上有一句話
[00709.86-00710.70] 他就說到了
[00710.70-00713.26] 他說意識是內容式客觀的
[00713.26-00714.94] 形式主觀的
[00714.94-00717.30] 這句話是不是就能理解了
[00717.30-00718.18] 所以到這
[00718.18-00720.34] 我們就算是把意識是什麼
[00720.34-00722.30] 給大家解釋清楚了
[00722.30-00724.10] 所以你就想啥也得去理解
[00724.10-00725.32] 意識就是一種想法
[00725.32-00727.22] 你接觸了一個15年老海
[00727.22-00728.84] 就像一個很神奇的東西
[00728.84-00729.68] 崩累一下
[00729.68-00731.76] 就會談出一些觀點看法的想法
[00731.76-00733.30] 談出來的那些東西
[00733.30-00735.36] 停留在你脑子剛住的那些東西
[00735.36-00737.66] 你沒有宣知與口的這些東西
[00737.66-00739.66] 它就是你的意識
[00739.66-00742.02] 所以這就是我們所說的意識
[00742.02-00744.84] 所以先從紅官上去理解它
[00744.84-00746.62] 理解到了最草同學們
[00746.62-00747.64] 接下來的考點
[00747.64-00749.60] 對你們來說非常非常簡單
[00749.60-00750.58] 咱們理解了什麼事
[00750.58-00751.26] 意識之後
[00751.26-00753.26] 接下来咱们就要去拆考点了
[00754.14-00758.82] 咱们要从一时的本质以及意识的特性上去拆考点
[00759.02-00761.86] 咱们来看一下首先第一个从一时的本质上来看
[00762.06-00765.74] 东西意识是人闹对客观存在的主观影像
[00765.94-00769.26] 在这里面出现了第一个细节考点是啥呢
[00769.26-00771.42] 第一个细节考点就是人闹
[00771.42-00772.38] 同时买人闹
[00772.38-00773.02] 华出来
[00773.74-00775.26] 首先第一个我们要知道
[00775.26-00777.82] 意识竟然是从人闹当中产生的
[00777.82-00784.22] 那就一位正,沒有人呢,則沒有意識,所以在這裡寫上一話,叫意識是為人所特有的
[00785.24-00791.90] 寫上案,叫意識是為人所特有的
[00792.42-00799.06] 所以小毛小狗,小花小草,他有沒有什麼意識啊?他其實是沒有意識的,這是第一個,大家要知道
[00799.06-00807.78] 那第二個呢,就是有了人腦之後才能產生意識,所以我說人腦是意識產生的物質奇怪
[00807.82-00814.82] 人老是意识产生的物质器官
[00814.82-00819.82] 他必须有一个东西能够装着你的想法
[00819.82-00823.82] 对吧,你看到一个东西有一个小孩产生的小孩装在哪呢
[00823.82-00826.82] 若老是装在心里,这本身是装在脑子里
[00826.82-00830.82] 所以在这里,他说意识人老是意识产生的物质器官
[00830.82-00832.82] 而你的大脑就是这么神奇
[00832.82-00834.82] 他淡凡接触到什么东西
[00834.82-00837.58] 它就會把這個東西加工改造
[00837.58-00838.98] 根據你以往的經驗
[00838.98-00840.42] 标上你的屬性
[00840.42-00841.86] 形成你的想法
[00841.86-00842.86] 所以在這裡
[00842.86-00843.78] 就能夠看到
[00843.78-00845.86] 意思它就是大腦的一種功能
[00845.86-00848.74] 所以意思是人腦的激腦
[00852.82-00854.74] 意思是人腦的激腦
[00854.74-00856.06] 這裡面有兩個點
[00856.06-00857.66] 同一面一定要格外注意
[00857.66-00858.46] 哪兩個點
[00858.46-00860.54] 我在這裡用其他顏色給它標準出來
[00860.54-00861.70] 第一個就是
[00861.70-00864.46] 人腦是意識產生的物質器官
[00864.46-00868.04] 他就只是一个装着意识的气面而已
[00868.04-00868.94] 明白了吗
[00868.94-00870.60] 他不是意识的什么
[00870.60-00872.54] 他不是意识的来源
[00872.54-00874.12] 他就是一个家工厂
[00874.12-00876.38] 意识的来源是家工厂外的
[00876.38-00878.70] 世界是家工厂外的原材料
[00878.70-00881.02] 所以他如果说人闹是意识的来源
[00881.02-00882.12] 众说法对不对
[00882.12-00882.66] 不对
[00882.66-00884.18] 他只是一个气面
[00884.18-00886.40] 只是一个装着意识的气观而已
[00886.40-00887.58] 这个点不要搞混
[00887.58-00888.46] 这个第一个
[00888.46-00890.78] 第二个他说意识是人闹的什么
[00890.78-00891.66] 激弄
[00891.66-00893.14] 为什么会产生意识
[00893.14-00894.38] 我们也在研究
[00894.38-00897.30] 对吧 包括现在的医学家也在研究为什么会产生医生
[00897.30-00898.90] 它就是你大脑特定的功能
[00898.90-00900.58] 你大脑就是这么神奇
[00900.58-00902.26] 我的妈也好神奇 对吧
[00902.26-00904.14] 所以叫做人脑的激脑
[00904.14-00906.62] 但是有一种考察方式经常会在说
[00906.62-00909.22] 所以医生是人脑的分密物
[00910.50-00912.46] 那如果一旦出现这种说法
[00912.46-00913.66] 就大错特错了
[00913.66-00914.86] 分密物是物质
[00914.86-00917.98] 那他就是等同于把物质和医生怎么样
[00917.98-00918.78] 混乡了
[00918.78-00920.14] 所以在这里大家知道
[00920.14-00923.98] 意思是人老的激能而不是他的分明物
[00923.98-00925.50] 大家要明白这个点
[00925.50-00927.74] 所以这是第一个从人老当中
[00927.74-00928.94] 延伸出来的靠电
[00928.94-00930.22] 第二个他说了
[00930.22-00934.06] 意思是人老对客观存在的主义印象
[00934.06-00937.58] 也是人老对外界环境的一种反应
[00937.58-00940.06] 既然是对客观存在的主义印象
[00940.06-00940.98] 就意味着
[00940.98-00943.34] 意思的内容是客观的
[00943.34-00946.22] 你就想想我给你讲的加工厂的事
[00946.22-00946.74] 对吧
[00946.74-00948.28] 大脑就是加工厂
[00948.28-00950.84] 你产生产出的产成品
[00950.84-00952.12] 它就是意识
[00952.12-00955.58] 产成品来自于外界的原材料
[00955.58-00956.62] 所以在这里
[00956.62-00958.52] 它是对客观存在的主案印象
[00958.52-00960.56] 就意味着它的内容是客观的
[00960.56-00962.36] 从某种程度上来说
[00962.36-00965.42] 意识具有客观性
[00965.42-00966.70] 老师疯了吧
[00966.70-00968.38] 意识怎么可能就有客观性
[00968.38-00969.90] 意识的客观性
[00969.90-00972.34] 强调的是它的内容客观
[00972.34-00973.62] 大家要注意一下
[00973.62-00976.68] 第二个是对客观世界的主观印象
[00976.68-00978.08] 而这个主观印象
[00978.08-00980.48] 主观就意味着意识的表现不同
[00980.48-00982.08] 表达形式不同
[00982.08-00984.52] 它的形式是主观的
[00984.52-00985.52] 所以在这里
[00985.52-00987.04] 意识又具有了什么性呢
[00987.04-00989.16] 意识又具有了主观性
[00989.16-00991.48] 所以在这出现了第三句话
[00991.48-00993.00] 同能标准在旁边
[00993.00-00994.56] 如果他说意识就
[00994.56-00996.60] 刻关性和主观性的属性
[00996.60-00999.04] 正说法也是正确的
[00999.04-01000.20] 也是正确的
[01000.20-01001.48] 所以大家一定要注意
[01001.48-01003.00] 这是第三个点
[01003.00-01005.16] 这说我们所说的意识的
[01005.16-01007.46] 本質一直到點是什麼
[01007.46-01009.96] 理解一世的喊一的技術之上
[01009.96-01011.30] 在把這三個靠電
[01011.30-01012.58] 也生出來
[01012.58-01014.64] 我們說了一世的產生
[01014.64-01016.42] 也說了一世的本質
[01016.42-01017.96] 了解了一世到點是什麼
[01017.96-01019.76] 接下來我們回到一個熱點
[01019.76-01020.52] 當中去
[01020.52-01023.32] 現在我們探討的比較多的
[01023.32-01026.16] 插著GPT
[01026.16-01028.02] 我嘴不太好使
[01028.02-01029.74] 你看像這個插著這個東西
[01029.74-01030.50] 但出來的時候
[01030.50-01033.82] 其實在我們所說的整個社會的發展
[01033.82-01036.34] 先起了一个比较狂热的一个讨论
[01036.34-01037.86] 就说这个人工智能
[01037.86-01040.94] 它到底能不能超越人类的这样的一个问题
[01040.94-01042.06] 因为最开始的时候
[01042.06-01043.94] 你看像菜的最开始出来的时候
[01043.94-01047.30] 很多的大学期对菜的进行了一个测试
[01047.30-01051.06] 有时候当时并兮反尼亚大学的反学院对菜的进行测试发现
[01051.06-01055.02] 它可以轻松的通过人没有办法通过的这种考试
[01055.02-01057.62] 而且给所有的月转老师带来了个感觉
[01057.62-01059.46] 就是这不是一个机器
[01059.46-01060.30] 再去做的是
[01060.30-01062.18] 而是人在去打这个体
[01062.18-01064.06] 你就说当时他打的那个题目当中
[01064.06-01066.18] 他故意翻了几个
[01066.82-01068.02] 特别小的六错误
[01068.02-01070.62] 然后当时月月老师看了他们这个世界主说
[01070.62-01073.26] 这个学生的理论工底非常的身后
[01073.46-01075.26] 但是他翻了他有一点马活
[01075.26-01076.70] 他翻了几个小小的错误
[01076.86-01078.10] 当时就有人就讨论说
[01078.10-01079.98] 那这个菜的他不可能翻了
[01080.10-01081.06] 微小的错误
[01081.06-01083.94] 那是不是就意味着他在隐藏什么东西
[01084.18-01086.62] 所以在这里面就会产生一系列的讨论
[01086.62-01087.78] 就是人工智能啊
[01087.78-01091.38] 他到底会被产生自我意识这样的问题
[01091.38-01094.18] 大家就說那電人當中的場景會變成現實
[01094.18-01096.06] 你比如說像機械機那個電影
[01096.06-01097.70] 但我想想都覺得可怕
[01097.70-01099.74] 像這樣一個問題的討論
[01099.74-01100.66] 其實也引發了
[01100.66-01101.82] 持續上的一些探討
[01101.82-01103.82] 以及我們在考試過程當中
[01103.82-01106.10] 哲學和熱點相結合的一個內容
[01106.10-01108.66] 大家知道人工只能探護了發展的再好
[01108.66-01111.54] 人工只能他也不會擁有人鬧
[01111.54-01112.74] 他學習鬧力很強
[01112.74-01113.78] 他計算能力很強
[01113.78-01115.14] 但是他因為缺乏人鬧
[01115.14-01116.62] 所以他有很多的東西
[01116.62-01119.30] 他沒有辦法從人的情感上去判斷
[01119.30-01122.12] 没有办法从人的主观能动性上去判断
[01122.12-01126.86] 包括我们所看到的流浪地球2里面的墨石 对吧
[01127.50-01128.58] 所以在这个地方
[01128.58-01130.86] 我说这得到一句话就可以了
[01130.86-01132.22] 你只要把我就是一个点
[01132.22-01133.66] 他出现在判断体浪中
[01133.66-01134.78] 穿单线体浪中
[01134.78-01136.22] 你众把我一个点就行了
[01136.22-01138.62] 人工只能无论发展的再好
[01138.62-01142.06] 他不能代替人来
[01144.90-01148.42] 他也不可能产生所谓的哲学上的一时
[01149.30-01153.30] 为什么?因为他没有人
[01153.30-01154.30] 因为他没有人
[01154.30-01155.30] 你说老师那不对
[01155.30-01157.30] 我就觉得他能产生独立意识
[01157.30-01158.30] 那是你觉得
[01158.30-01159.30] 那你觉得你觉得吧
[01159.30-01160.30] 你在考试的时候
[01160.30-01161.30] 别这么觉得就行了
[01161.30-01163.30] 因为在咱们考试折穴当中
[01163.30-01165.30] 我们认为意识是为人所
[01165.30-01166.30] 特有的
[01166.30-01167.30] 人工只能不具有人脑
[01167.30-01169.30] 所以不能产生意识
[01169.30-01170.30] 所以在这里就这一个点
[01170.30-01172.30] 消通你们去注意
[01172.30-01173.30] 好吧
[01173.30-01176.30] 这个就是我们从折穴的角度去分析什么事
[01176.30-01177.30] 意识
[01177.30-01179.10] 回顾一下这些客的内容
[01179.10-01181.66] 首先第一个我们从意识的产生当中知道了
[01181.66-01185.30] 意识是自然结合人类社会长期发展的产物
[01185.30-01187.30] 而在人类社会的发展过程当中
[01187.30-01189.10] 劳动起到了决定作用
[01189.10-01190.78] 为什么劳动起到决定作用呢
[01190.78-01193.30] 因为劳动产生了人脑
[01193.30-01195.86] 近而人脑是意识产生的物质器官
[01195.86-01198.06] 意识是人脑的机能
[01198.06-01201.66] 而意识他就是我们所说的人脑
[01202.46-01204.30] 做一个加工厂
[01204.30-01207.38] 他對於外部的刺激
[01207.38-01210.44] 會產生一定的反應
[01210.44-01211.72] 也是外部的刺激
